# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/scripts/extend_go_genes.pl on Mon Oct  1 12:06:18 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/gos_complete_table_BPonly.txt
# Filtered with: grep -v "GO:0008150" /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/genes_gos_extended.txt | grep -v "GO:0001906" | grep -v "GO:0002376" | grep -v "GO:0006791"| grep -v "GO:0008152"| grep -v "GO:0009758"| grep -v "GO:0009987"| grep -v "GO:0015976"| grep -v "GO:0019740"| grep -v "GO:0022414"| grep -v "GO:0022610"| grep -v "GO:0023052"| grep -v "GO:0032502"| grep -v "GO:0040011"| grep -v "GO:0050896"| grep -v "GO:0051179"| grep -v "GO:0051704"| grep -v "GO:0065007"| grep -v "GO:0071840"| grep -v "GO:0098754" > /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/genes_gos_extended_no12.txt 
# Genes	GO	GO branch  
mtlA	GO:0015850	P
sgcC	GO:0015850	P
shiA	GO:0015850	P
tolC	GO:0015850	P
adeP	GO:0015851	P
adeQ	GO:0015851	P
codB	GO:0015851	P
ghxP	GO:0015851	P
ghxQ	GO:0015851	P
rutG	GO:0015851	P
uacT	GO:0015851	P
uraA	GO:0015851	P
xanP	GO:0015851	P
xanQ	GO:0015851	P
ybbW	GO:0015851	P
ybbY	GO:0015851	P
adeP	GO:0015853	P
adeQ	GO:0015853	P
ghxP	GO:0015854	P
ghxQ	GO:0015854	P
codB	GO:0015855	P
rutG	GO:0015855	P
uraA	GO:0015855	P
codB	GO:0015856	P
rutG	GO:0015857	P
uraA	GO:0015857	P
nepI	GO:0015858	P
nupC	GO:0015858	P
nupG	GO:0015858	P
nupX	GO:0015858	P
pnuC	GO:0015858	P
psuT	GO:0015858	P
tsx	GO:0015858	P
xapB	GO:0015858	P
yegT	GO:0015858	P
nepI	GO:0015860	P
nupG	GO:0015860	P
nupC	GO:0015861	P
nupG	GO:0015861	P
nupC	GO:0015862	P
nupG	GO:0015862	P
xapB	GO:0015863	P
nupC	GO:0015864	P
nupG	GO:0015864	P
betT	GO:0015871	P
emrE	GO:0015871	P
mdtI	GO:0015871	P
mdtJ	GO:0015871	P
proW	GO:0015871	P
bioP	GO:0015878	P
caiT	GO:0015879	P
ulaA	GO:0015882	P
ulaB	GO:0015882	P
ulaC	GO:0015882	P
ccmA	GO:0015886	P
ccmC	GO:0015886	P
ccmD	GO:0015886	P
ccmE	GO:0015886	P
dppA	GO:0015886	P
dppB	GO:0015886	P
dppC	GO:0015886	P
dppD	GO:0015886	P
dppF	GO:0015886	P
panF	GO:0015887	P
tbpA	GO:0015888	P
btuB	GO:0015889	P
btuC	GO:0015889	P
btuD	GO:0015889	P
btuE	GO:0015889	P
btuF	GO:0015889	P
exbB	GO:0015889	P
tonB	GO:0015889	P
cirA	GO:0015891	P
entS	GO:0015891	P
exbB	GO:0015891	P
fepA	GO:0015891	P
fepB	GO:0015891	P
fepC	GO:0015891	P
fepD	GO:0015891	P
fepE	GO:0015891	P
fepG	GO:0015891	P
fhuB	GO:0015891	P
fhuC	GO:0015891	P
fhuD	GO:0015891	P
fiu	GO:0015891	P
tolC	GO:0015891	P
tonB	GO:0015891	P
aaeA	GO:0015893	P
acrA	GO:0015893	P
acrB	GO:0015893	P
acrD	GO:0015893	P
acrE	GO:0015893	P
actP	GO:0015893	P
amtB	GO:0015893	P
argO	GO:0015893	P
argT	GO:0015893	P
artJ	GO:0015893	P
artM	GO:0015893	P
artP	GO:0015893	P
artQ	GO:0015893	P
bcr	GO:0015893	P
bioP	GO:0015893	P
brnQ	GO:0015893	P
btuB	GO:0015893	P
btuC	GO:0015893	P
btuD	GO:0015893	P
btuE	GO:0015893	P
btuF	GO:0015893	P
cadB	GO:0015893	P
caiT	GO:0015893	P
cirA	GO:0015893	P
cycA	GO:0015893	P
dauA	GO:0015893	P
dctA	GO:0015893	P
dsdX	GO:0015893	P
dtpA	GO:0015893	P
dtpB	GO:0015893	P
emrD	GO:0015893	P
emrE	GO:0015893	P
exbB	GO:0015893	P
fepA	GO:0015893	P
fiu	GO:0015893	P
focA	GO:0015893	P
focB	GO:0015893	P
gltI	GO:0015893	P
gltP	GO:0015893	P
gltS	GO:0015893	P
hisP	GO:0015893	P
hisQ	GO:0015893	P
livF	GO:0015893	P
livG	GO:0015893	P
livH	GO:0015893	P
livM	GO:0015893	P
lysO	GO:0015893	P
lysP	GO:0015893	P
macA	GO:0015893	P
macB	GO:0015893	P
mdfA	GO:0015893	P
mdlA	GO:0015893	P
mdlB	GO:0015893	P
mdtA	GO:0015893	P
mdtB	GO:0015893	P
mdtC	GO:0015893	P
mdtE	GO:0015893	P
mdtF	GO:0015893	P
mdtG	GO:0015893	P
mdtK	GO:0015893	P
mdtL	GO:0015893	P
mdtM	GO:0015893	P
mdtN	GO:0015893	P
mdtO	GO:0015893	P
mdtP	GO:0015893	P
nagE	GO:0015893	P
nupG	GO:0015893	P
ompF	GO:0015893	P
potE	GO:0015893	P
rutG	GO:0015893	P
satP	GO:0015893	P
sbmA	GO:0015893	P
sugE	GO:0015893	P
tbpA	GO:0015893	P
thiP	GO:0015893	P
thiQ	GO:0015893	P
tolA	GO:0015893	P
tolB	GO:0015893	P
tolQ	GO:0015893	P
tolR	GO:0015893	P
tonB	GO:0015893	P
uraA	GO:0015893	P
ybhF	GO:0015893	P
ybhR	GO:0015893	P
ybhS	GO:0015893	P
ydcO	GO:0015893	P
ydhC	GO:0015893	P
ydhJ	GO:0015893	P
yejA	GO:0015893	P
yejB	GO:0015893	P
yejE	GO:0015893	P
yejF	GO:0015893	P
yfdC	GO:0015893	P
ygaH	GO:0015893	P
ygaZ	GO:0015893	P
yjeH	GO:0015893	P
yojI	GO:0015893	P
aaeA	GO:0015906	P
mdtN	GO:0015906	P
mdtO	GO:0015906	P
mdtP	GO:0015906	P
ydhJ	GO:0015906	P
fadL	GO:0015908	P
putP	GO:0015908	P
fadL	GO:0015909	P
putP	GO:0015912	P
lplT	GO:0015914	P
mlaB	GO:0015914	P
mlaC	GO:0015914	P
mlaD	GO:0015914	P
mlaE	GO:0015914	P
mlaF	GO:0015914	P
ompC	GO:0015914	P
lptA	GO:0015920	P
lptB	GO:0015920	P
lptC	GO:0015920	P
lptD	GO:0015920	P
lptE	GO:0015920	P
lptF	GO:0015920	P
lptG	GO:0015920	P
msbA	GO:0015920	P
yhjD	GO:0015920	P
nepI	GO:0015931	P
nupC	GO:0015931	P
nupG	GO:0015931	P
nupX	GO:0015931	P
pnuC	GO:0015931	P
psuT	GO:0015931	P
sxy	GO:0015931	P
tsx	GO:0015931	P
xapB	GO:0015931	P
ydcS	GO:0015931	P
yeeO	GO:0015931	P
yegT	GO:0015931	P
coaA	GO:0015936	P
coaD	GO:0015936	P
coaE	GO:0015936	P
dfp	GO:0015936	P
coaA	GO:0015937	P
coaD	GO:0015937	P
coaE	GO:0015937	P
dfp	GO:0015937	P
cmk	GO:0015939	P
panB	GO:0015939	P
panC	GO:0015939	P
panE	GO:0015939	P
panZ	GO:0015939	P
cmk	GO:0015940	P
panB	GO:0015940	P
panC	GO:0015940	P
panE	GO:0015940	P
panZ	GO:0015940	P
dcuC	GO:0015942	P
fdhF	GO:0015942	P
fdnG	GO:0015942	P
fdnH	GO:0015942	P
fdnI	GO:0015942	P
fdoG	GO:0015942	P
fdoH	GO:0015942	P
fdoI	GO:0015942	P
ldhA	GO:0015942	P
fdhF	GO:0015944	P
fdnG	GO:0015944	P
fdnH	GO:0015944	P
fdnI	GO:0015944	P
fdoG	GO:0015944	P
fdoH	GO:0015944	P
fdoI	GO:0015944	P
add	GO:0015949	P
adk	GO:0015949	P
apaH	GO:0015949	P
cdd	GO:0015949	P
cmk	GO:0015949	P
dcd	GO:0015949	P
deoC	GO:0015949	P
deoD	GO:0015949	P
dgt	GO:0015949	P
gpp	GO:0015949	P
gppA	GO:0015949	P
guaC	GO:0015949	P
nrdA	GO:0015949	P
nrdB	GO:0015949	P
nrdD	GO:0015949	P
nrdE	GO:0015949	P
nrdG	GO:0015949	P
pphB	GO:0015949	P
purA	GO:0015949	P
pyrF	GO:0015949	P
relA	GO:0015949	P
spoT	GO:0015949	P
tmk	GO:0015949	P
xapA	GO:0015949	P
add	GO:0015950	P
adk	GO:0015950	P
guaC	GO:0015950	P
adk	GO:0015951	P
guaC	GO:0015951	P
rplK	GO:0015968	P
relA	GO:0015969	P
spoT	GO:0015969	P
acnA	GO:0015980	P
appB	GO:0015980	P
appC	GO:0015980	P
bisC	GO:0015980	P
cydA	GO:0015980	P
cydB	GO:0015980	P
cyoA	GO:0015980	P
cyoB	GO:0015980	P
cyoC	GO:0015980	P
cyoD	GO:0015980	P
cyoE	GO:0015980	P
dcuA	GO:0015980	P
dcuB	GO:0015980	P
dcuC	GO:0015980	P
dld	GO:0015980	P
dmsA	GO:0015980	P
dmsB	GO:0015980	P
dmsC	GO:0015980	P
erpA	GO:0015980	P
fdnG	GO:0015980	P
fdnH	GO:0015980	P
fdnI	GO:0015980	P
fdoG	GO:0015980	P
fdoH	GO:0015980	P
fdoI	GO:0015980	P
fnr	GO:0015980	P
frdA	GO:0015980	P
frdB	GO:0015980	P
frdC	GO:0015980	P
frdD	GO:0015980	P
gldA	GO:0015980	P
glgA	GO:0015980	P
glgB	GO:0015980	P
glgC	GO:0015980	P
glgP	GO:0015980	P
glgX	GO:0015980	P
glpA	GO:0015980	P
glpB	GO:0015980	P
glpC	GO:0015980	P
glpD	GO:0015980	P
hyaA	GO:0015980	P
hyaB	GO:0015980	P
hyaC	GO:0015980	P
hybA	GO:0015980	P
hybB	GO:0015980	P
hybC	GO:0015980	P
hybO	GO:0015980	P
ldhA	GO:0015980	P
lldD	GO:0015980	P
malP	GO:0015980	P
malQ	GO:0015980	P
mdh	GO:0015980	P
napA	GO:0015980	P
napB	GO:0015980	P
napC	GO:0015980	P
narG	GO:0015980	P
narH	GO:0015980	P
narI	GO:0015980	P
narV	GO:0015980	P
narY	GO:0015980	P
narZ	GO:0015980	P
ndh	GO:0015980	P
nirB	GO:0015980	P
nirD	GO:0015980	P
nuoB	GO:0015980	P
nuoF	GO:0015980	P
nuoG	GO:0015980	P
nuoH	GO:0015980	P
nuoI	GO:0015980	P
nuoM	GO:0015980	P
nuoN	GO:0015980	P
pgm	GO:0015980	P
sdhA	GO:0015980	P
sdhB	GO:0015980	P
sdhC	GO:0015980	P
sdhD	GO:0015980	P
tdcD	GO:0015980	P
torA	GO:0015980	P
torC	GO:0015980	P
torS	GO:0015980	P
torY	GO:0015980	P
torZ	GO:0015980	P
yjjI	GO:0015980	P
ynfE	GO:0015980	P
ynfF	GO:0015980	P
ynfH	GO:0015980	P
atpA	GO:0015985	P
atpB	GO:0015985	P
atpC	GO:0015985	P
atpE	GO:0015985	P
atpA	GO:0015986	P
atpB	GO:0015986	P
atpC	GO:0015986	P
atpE	GO:0015986	P
cyoA	GO:0015988	P
cyoB	GO:0015988	P
cyoC	GO:0015988	P
cyoD	GO:0015988	P
nuoB	GO:0015988	P
nuoL	GO:0015988	P
nuoM	GO:0015988	P
nuoN	GO:0015988	P
cyoA	GO:0015990	P
cyoB	GO:0015990	P
cyoC	GO:0015990	P
cyoD	GO:0015990	P
nuoB	GO:0015990	P
nuoL	GO:0015990	P
nuoM	GO:0015990	P
nuoN	GO:0015990	P
cdsA	GO:0016024	P
dnaJ	GO:0016032	P
essD	GO:0016032	P
groL	GO:0016032	P
groS	GO:0016032	P
hflX	GO:0016032	P
intA	GO:0016032	P
intE	GO:0016032	P
intQ	GO:0016032	P
intS	GO:0016032	P
intZ	GO:0016032	P
rrrD	GO:0016032	P
rrrQ	GO:0016032	P
rzoD	GO:0016032	P
rzoR	GO:0016032	P
rzpD	GO:0016032	P
rzpR	GO:0016032	P
xisR	GO:0016032	P
ydfD	GO:0016032	P
appA	GO:0016036	P
appY	GO:0016036	P
iraP	GO:0016036	P
phoR	GO:0016036	P
phoU	GO:0016036	P
waaH	GO:0016036	P
acnB	GO:0016042	P
atoB	GO:0016042	P
caiD	GO:0016042	P
cdh	GO:0016042	P
fadA	GO:0016042	P
fadB	GO:0016042	P
fadD	GO:0016042	P
fadE	GO:0016042	P
fadH	GO:0016042	P
fadI	GO:0016042	P
fadJ	GO:0016042	P
fadM	GO:0016042	P
fixB	GO:0016042	P
oxc	GO:0016042	P
paaF	GO:0016042	P
paaG	GO:0016042	P
paaJ	GO:0016042	P
prpB	GO:0016042	P
rssA	GO:0016042	P
scpB	GO:0016042	P
tesB	GO:0016042	P
ydiR	GO:0016042	P
yjjU	GO:0016042	P
yqeF	GO:0016042	P
aldA	GO:0016043	P
ansB	GO:0016043	P
aqpZ	GO:0016043	P
arnA	GO:0016043	P
atoB	GO:0016043	P
bamA	GO:0016043	P
bamB	GO:0016043	P
bamC	GO:0016043	P
bamD	GO:0016043	P
bamE	GO:0016043	P
betB	GO:0016043	P
bipA	GO:0016043	P
cas1	GO:0016043	P
cas2	GO:0016043	P
casD	GO:0016043	P
ccmE	GO:0016043	P
ccmF	GO:0016043	P
ccmG	GO:0016043	P
ccmH	GO:0016043	P
chbA	GO:0016043	P
cmoB	GO:0016043	P
cpdA	GO:0016043	P
cpoB	GO:0016043	P
csdE	GO:0016043	P
csgA	GO:0016043	P
csgB	GO:0016043	P
csiD	GO:0016043	P
cusC	GO:0016043	P
cutA	GO:0016043	P
cvrA	GO:0016043	P
cyaY	GO:0016043	P
dacB	GO:0016043	P
dbpA	GO:0016043	P
dcuS	GO:0016043	P
deaD	GO:0016043	P
der	GO:0016043	P
dinG	GO:0016043	P
dnaB	GO:0016043	P
dnaT	GO:0016043	P
dsbD	GO:0016043	P
elfC	GO:0016043	P
elfD	GO:0016043	P
entA	GO:0016043	P
era	GO:0016043	P
erpA	GO:0016043	P
fabI	GO:0016043	P
fbp	GO:0016043	P
fdx	GO:0016043	P
feaB	GO:0016043	P
fhlA	GO:0016043	P
fimD	GO:0016043	P
fimF	GO:0016043	P
fimG	GO:0016043	P
fimI	GO:0016043	P
fis	GO:0016043	P
flgK	GO:0016043	P
flhA	GO:0016043	P
flhE	GO:0016043	P
fliG	GO:0016043	P
fliS	GO:0016043	P
fpr	GO:0016043	P
frdA	GO:0016043	P
frdB	GO:0016043	P
frdC	GO:0016043	P
frr	GO:0016043	P
ftsI	GO:0016043	P
ftsN	GO:0016043	P
ftsQ	GO:0016043	P
ftsZ	GO:0016043	P
galU	GO:0016043	P
glgC	GO:0016043	P
glsA	GO:0016043	P
gyrA	GO:0016043	P
gyrB	GO:0016043	P
hdhA	GO:0016043	P
helD	GO:0016043	P
hflX	GO:0016043	P
htrE	GO:0016043	P
infC	GO:0016043	P
iscA	GO:0016043	P
iscS	GO:0016043	P
iscU	GO:0016043	P
iscX	GO:0016043	P
kbaY	GO:0016043	P
kch	GO:0016043	P
kdsA	GO:0016043	P
lptD	GO:0016043	P
lptE	GO:0016043	P
lpxT	GO:0016043	P
lysP	GO:0016043	P
maa	GO:0016043	P
maoP	GO:0016043	P
matP	GO:0016043	P
menE	GO:0016043	P
metF	GO:0016043	P
mfd	GO:0016043	P
minC	GO:0016043	P
mltG	GO:0016043	P
moaC	GO:0016043	P
mraY	GO:0016043	P
mrdA	GO:0016043	P
mrdB	GO:0016043	P
mrp	GO:0016043	P
msbA	GO:0016043	P
mscK	GO:0016043	P
mscL	GO:0016043	P
mscS	GO:0016043	P
mukB	GO:0016043	P
murB	GO:0016043	P
murJ	GO:0016043	P
nagA	GO:0016043	P
narJ	GO:0016043	P
narW	GO:0016043	P
nfuA	GO:0016043	P
nlpD	GO:0016043	P
norV	GO:0016043	P
nrfE	GO:0016043	P
nrfF	GO:0016043	P
nrfG	GO:0016043	P
obgE	GO:0016043	P
parC	GO:0016043	P
parE	GO:0016043	P
patZ	GO:0016043	P
pbpG	GO:0016043	P
pfkA	GO:0016043	P
poxB	GO:0016043	P
prfA	GO:0016043	P
prfB	GO:0016043	P
prfC	GO:0016043	P
priA	GO:0016043	P
prmC	GO:0016043	P
psuG	GO:0016043	P
pykA	GO:0016043	P
pykF	GO:0016043	P
recB	GO:0016043	P
recC	GO:0016043	P
recG	GO:0016043	P
recQ	GO:0016043	P
recT	GO:0016043	P
rep	GO:0016043	P
rfe	GO:0016043	P
rhlE	GO:0016043	P
rimM	GO:0016043	P
rimP	GO:0016043	P
rlmE	GO:0016043	P
rlpA	GO:0016043	P
rluD	GO:0016043	P
rne	GO:0016043	P
rplE	GO:0016043	P
rplF	GO:0016043	P
rplK	GO:0016043	P
rplT	GO:0016043	P
rplW	GO:0016043	P
rpsG	GO:0016043	P
rpsK	GO:0016043	P
rpsP	GO:0016043	P
rpsS	GO:0016043	P
rsmA	GO:0016043	P
ruvA	GO:0016043	P
ruvB	GO:0016043	P
sdhC	GO:0016043	P
sdhD	GO:0016043	P
sdhE	GO:0016043	P
seqA	GO:0016043	P
sfmC	GO:0016043	P
sfmD	GO:0016043	P
skp	GO:0016043	P
speG	GO:0016043	P
srmB	GO:0016043	P
ssuE	GO:0016043	P
sufA	GO:0016043	P
sufB	GO:0016043	P
sufC	GO:0016043	P
sufD	GO:0016043	P
sufS	GO:0016043	P
surA	GO:0016043	P
tnaA	GO:0016043	P
topA	GO:0016043	P
udp	GO:0016043	P
uidA	GO:0016043	P
uvrD	GO:0016043	P
wecA	GO:0016043	P
wrbA	GO:0016043	P
xapA	GO:0016043	P
yadV	GO:0016043	P
yafQ	GO:0016043	P
ybgQ	GO:0016043	P
ybjN	GO:0016043	P
yciH	GO:0016043	P
ydeT	GO:0016043	P
ydiF	GO:0016043	P
yehB	GO:0016043	P
yehC	GO:0016043	P
yeiG	GO:0016043	P
yfcS	GO:0016043	P
yfcU	GO:0016043	P
ygfZ	GO:0016043	P
yhbY	GO:0016043	P
yhcD	GO:0016043	P
yidC	GO:0016043	P
yieL	GO:0016043	P
ypjD	GO:0016043	P
yqiG	GO:0016043	P
yraI	GO:0016043	P
yraJ	GO:0016043	P
yrdA	GO:0016043	P
ytfE	GO:0016043	P
zapA	GO:0016043	P
zapB	GO:0016043	P
zipA	GO:0016043	P
acpP	GO:0016051	P
arnB	GO:0016051	P
arnT	GO:0016051	P
bcsA	GO:0016051	P
bcsQ	GO:0016051	P
cpsB	GO:0016051	P
eptA	GO:0016051	P
eptB	GO:0016051	P
eptC	GO:0016051	P
fbaA	GO:0016051	P
fbp	GO:0016051	P
fepE	GO:0016051	P
galE	GO:0016051	P
galU	GO:0016051	P
glgA	GO:0016051	P
glgB	GO:0016051	P
glgC	GO:0016051	P
glpX	GO:0016051	P
gmhB	GO:0016051	P
gpmA	GO:0016051	P
gutQ	GO:0016051	P
kdsA	GO:0016051	P
kdsB	GO:0016051	P
kdsC	GO:0016051	P
kdsD	GO:0016051	P
lpcA	GO:0016051	P
lpxB	GO:0016051	P
lpxC	GO:0016051	P
lpxD	GO:0016051	P
lpxH	GO:0016051	P
lpxK	GO:0016051	P
lpxL	GO:0016051	P
lpxM	GO:0016051	P
lpxP	GO:0016051	P
maeA	GO:0016051	P
manA	GO:0016051	P
mcbA	GO:0016051	P
mdoD	GO:0016051	P
mdoG	GO:0016051	P
opgE	GO:0016051	P
opgG	GO:0016051	P
opgH	GO:0016051	P
otsA	GO:0016051	P
otsB	GO:0016051	P
pagP	GO:0016051	P
pck	GO:0016051	P
pckA	GO:0016051	P
pgm	GO:0016051	P
ppsA	GO:0016051	P
rcsF	GO:0016051	P
rfaB	GO:0016051	P
rfaC	GO:0016051	P
rfaD	GO:0016051	P
rfaF	GO:0016051	P
rfaG	GO:0016051	P
rfaQ	GO:0016051	P
rfbB	GO:0016051	P
rfbC	GO:0016051	P
rfbD	GO:0016051	P
rfe	GO:0016051	P
rffC	GO:0016051	P
rffG	GO:0016051	P
rffH	GO:0016051	P
rffM	GO:0016051	P
rffT	GO:0016051	P
tpiA	GO:0016051	P
ugd	GO:0016051	P
waaA	GO:0016051	P
waaB	GO:0016051	P
waaC	GO:0016051	P
waaF	GO:0016051	P
waaG	GO:0016051	P
waaJ	GO:0016051	P
waaL	GO:0016051	P
waaO	GO:0016051	P
waaP	GO:0016051	P
waaQ	GO:0016051	P
waaS	GO:0016051	P
waaU	GO:0016051	P
waaY	GO:0016051	P
waaZ	GO:0016051	P
wbbK	GO:0016051	P
wcaC	GO:0016051	P
wcaJ	GO:0016051	P
wecA	GO:0016051	P
wecB	GO:0016051	P
wecC	GO:0016051	P
wecE	GO:0016051	P
wzb	GO:0016051	P
wzc	GO:0016051	P
wzyE	GO:0016051	P
wzzB	GO:0016051	P
wzzE	GO:0016051	P
yeeL	GO:0016051	P
yggF	GO:0016051	P
yhbX	GO:0016051	P
yhjR	GO:0016051	P
yjbE	GO:0016051	P
yjbF	GO:0016051	P
yjbG	GO:0016051	P
yjbH	GO:0016051	P
yjgX	GO:0016051	P
ypdI	GO:0016051	P
agp	GO:0016052	P
aldA	GO:0016052	P
alsE	GO:0016052	P
alsK	GO:0016052	P
araA	GO:0016052	P
araB	GO:0016052	P
araC	GO:0016052	P
araD	GO:0016052	P
ascB	GO:0016052	P
bglX	GO:0016052	P
cra	GO:0016052	P
deoC	GO:0016052	P
dgoA	GO:0016052	P
dgoD	GO:0016052	P
dgoK	GO:0016052	P
dhaK	GO:0016052	P
dhaL	GO:0016052	P
ebgA	GO:0016052	P
edd	GO:0016052	P
eno	GO:0016052	P
fbaA	GO:0016052	P
fpr	GO:0016052	P
fruK	GO:0016052	P
fucA	GO:0016052	P
fucI	GO:0016052	P
fucK	GO:0016052	P
fucO	GO:0016052	P
galE	GO:0016052	P
galK	GO:0016052	P
galM	GO:0016052	P
galT	GO:0016052	P
galU	GO:0016052	P
gapA	GO:0016052	P
garD	GO:0016052	P
garK	GO:0016052	P
garL	GO:0016052	P
garR	GO:0016052	P
gatD	GO:0016052	P
gatY	GO:0016052	P
gcd	GO:0016052	P
ghrB	GO:0016052	P
gldA	GO:0016052	P
glgP	GO:0016052	P
glgX	GO:0016052	P
glk	GO:0016052	P
glpK	GO:0016052	P
gnd	GO:0016052	P
gntK	GO:0016052	P
gpmA	GO:0016052	P
gudD	GO:0016052	P
hexR	GO:0016052	P
hybA	GO:0016052	P
idnD	GO:0016052	P
idnK	GO:0016052	P
idnO	GO:0016052	P
kdgK	GO:0016052	P
kduD	GO:0016052	P
kduI	GO:0016052	P
lacZ	GO:0016052	P
lgoD	GO:0016052	P
lgoR	GO:0016052	P
lldD	GO:0016052	P
malP	GO:0016052	P
malQ	GO:0016052	P
malS	GO:0016052	P
malZ	GO:0016052	P
manA	GO:0016052	P
mdh	GO:0016052	P
melA	GO:0016052	P
mtlD	GO:0016052	P
murR	GO:0016052	P
pfkA	GO:0016052	P
pfkB	GO:0016052	P
pgi	GO:0016052	P
pgk	GO:0016052	P
pgm	GO:0016052	P
pykA	GO:0016052	P
pykF	GO:0016052	P
rbsD	GO:0016052	P
rbsK	GO:0016052	P
rhaA	GO:0016052	P
rhaB	GO:0016052	P
rhaD	GO:0016052	P
rhaM	GO:0016052	P
rpe	GO:0016052	P
rpiB	GO:0016052	P
rpiR	GO:0016052	P
sgbE	GO:0016052	P
sgbH	GO:0016052	P
sgcE	GO:0016052	P
srlD	GO:0016052	P
tpiA	GO:0016052	P
treA	GO:0016052	P
treC	GO:0016052	P
treF	GO:0016052	P
uidA	GO:0016052	P
ulaD	GO:0016052	P
ulaF	GO:0016052	P
ulaG	GO:0016052	P
uxaA	GO:0016052	P
uxaB	GO:0016052	P
uxaC	GO:0016052	P
uxuA	GO:0016052	P
uxuB	GO:0016052	P
xylA	GO:0016052	P
xylB	GO:0016052	P
yagE	GO:0016052	P
yagF	GO:0016052	P
yfhH	GO:0016052	P
ygbL	GO:0016052	P
yidR	GO:0016052	P
yihR	GO:0016052	P
yjhG	GO:0016052	P
yjhH	GO:0016052	P
yphB	GO:0016052	P
accA	GO:0016053	P
accB	GO:0016053	P
accC	GO:0016053	P
accD	GO:0016053	P
ackA	GO:0016053	P
acpH	GO:0016053	P
acpP	GO:0016053	P
acpS	GO:0016053	P
acpT	GO:0016053	P
alaA	GO:0016053	P
alaC	GO:0016053	P
alr	GO:0016053	P
argA	GO:0016053	P
argB	GO:0016053	P
argC	GO:0016053	P
argD	GO:0016053	P
argE	GO:0016053	P
argF	GO:0016053	P
argG	GO:0016053	P
argH	GO:0016053	P
argI	GO:0016053	P
aroA	GO:0016053	P
aroB	GO:0016053	P
aroC	GO:0016053	P
aroD	GO:0016053	P
aroE	GO:0016053	P
aroF	GO:0016053	P
aroG	GO:0016053	P
aroH	GO:0016053	P
aroK	GO:0016053	P
aroL	GO:0016053	P
asd	GO:0016053	P
asnA	GO:0016053	P
asnB	GO:0016053	P
aspA	GO:0016053	P
aspC	GO:0016053	P
astC	GO:0016053	P
avtA	GO:0016053	P
bioA	GO:0016053	P
bioB	GO:0016053	P
bioC	GO:0016053	P
bioD	GO:0016053	P
bioD1	GO:0016053	P
bioD2	GO:0016053	P
bioF	GO:0016053	P
bioH	GO:0016053	P
birA	GO:0016053	P
carA	GO:0016053	P
carB	GO:0016053	P
cmk	GO:0016053	P
cra	GO:0016053	P
cysE	GO:0016053	P
cysK	GO:0016053	P
cysM	GO:0016053	P
cysZ	GO:0016053	P
dapA	GO:0016053	P
dapB	GO:0016053	P
dapD	GO:0016053	P
dapF	GO:0016053	P
eno	GO:0016053	P
entC	GO:0016053	P
fabA	GO:0016053	P
fabB	GO:0016053	P
fabD	GO:0016053	P
fabG	GO:0016053	P
fabI	GO:0016053	P
fabZ	GO:0016053	P
fau	GO:0016053	P
fbaA	GO:0016053	P
folA	GO:0016053	P
folC	GO:0016053	P
folM	GO:0016053	P
folP	GO:0016053	P
gabT	GO:0016053	P
gapA	GO:0016053	P
gdhA	GO:0016053	P
ggt	GO:0016053	P
glk	GO:0016053	P
glnA	GO:0016053	P
glsA	GO:0016053	P
glsA1	GO:0016053	P
glsA2	GO:0016053	P
glsB	GO:0016053	P
gltB	GO:0016053	P
gltD	GO:0016053	P
glyA	GO:0016053	P
gnsB	GO:0016053	P
gpmA	GO:0016053	P
gutQ	GO:0016053	P
hchA	GO:0016053	P
hemE	GO:0016053	P
hexR	GO:0016053	P
hisA	GO:0016053	P
hisB	GO:0016053	P
hisC	GO:0016053	P
hisD	GO:0016053	P
hisF	GO:0016053	P
hisG	GO:0016053	P
hisH	GO:0016053	P
hisI	GO:0016053	P
ilvA	GO:0016053	P
ilvB	GO:0016053	P
ilvC	GO:0016053	P
ilvD	GO:0016053	P
ilvE	GO:0016053	P
ilvH	GO:0016053	P
ilvI	GO:0016053	P
ilvL	GO:0016053	P
ilvM	GO:0016053	P
ilvN	GO:0016053	P
ivbL	GO:0016053	P
kdsA	GO:0016053	P
kdsB	GO:0016053	P
kdsD	GO:0016053	P
leuA	GO:0016053	P
leuB	GO:0016053	P
leuC	GO:0016053	P
leuD	GO:0016053	P
lipA	GO:0016053	P
lipB	GO:0016053	P
lpxM	GO:0016053	P
lpxP	GO:0016053	P
lrp	GO:0016053	P
ltaE	GO:0016053	P
luxS	GO:0016053	P
lysA	GO:0016053	P
lysC	GO:0016053	P
lysR	GO:0016053	P
mdh	GO:0016053	P
menF	GO:0016053	P
metB	GO:0016053	P
metE	GO:0016053	P
metF	GO:0016053	P
metH	GO:0016053	P
metL	GO:0016053	P
mioC	GO:0016053	P
mmuP	GO:0016053	P
mtn	GO:0016053	P
mtnN	GO:0016053	P
murR	GO:0016053	P
nadA	GO:0016053	P
nudB	GO:0016053	P
pabA	GO:0016053	P
pabB	GO:0016053	P
pabC	GO:0016053	P
panB	GO:0016053	P
panC	GO:0016053	P
panE	GO:0016053	P
panZ	GO:0016053	P
