# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Mon May 14 20:53:54 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
EG12316	acnB	RXN-14047//ACONITATEHYDR-RXN//ACONITATEDEHYDR-RXN//4.2.1.99-RXN//
EG12318	cueO	RXN0-2945//RXN0-2943//RXN0-1483//
EG12381	nrdF	RXN0-748//RXN0-747//RXN0-722//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//
EG12387	lhgO	RXN0-5364//
EG12399	dhaM	2.7.1.121-RXN//
EG12417	gatD	1.1.1.251-RXN//
EG12419	gatY	TAGAALDOL-RXN//
EG12423	tauD	RXN0-299//
EG12440	mpl	RXN0-2361//
EG12522	garD	GALACTARDEHYDRA-RXN//
EG12629	gntK	GLUCONOKIN-RXN//
EG12712	luxS	RIBOSYLHOMOCYSTEINASE-RXN//
EG12734	uxaA	ALTRODEHYDRAT-RXN//
EG12768	kbaY	TAGAALDOL-RXN//
EG12957	glk	GLUCOKIN-RXN//
EG13139	tynA	RXN-9597//AMINEPHEN-RXN//AMINEOXID-RXN//AMACETOXID-RXN//
EG13236	mngB	RXN0-5216//
EG20080	glcB	MALSYN-RXN//
EG20248	uxuB	MANNONOXIDOREDUCT-RXN//
EG20257	nrdE	RXN0-748//RXN0-747//RXN0-722//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//
EG30069	rnpB	3.1.26.5-RXN//RXN0-6480//
EG50005	nfsB	RXN-13853//1.5.1.34-RXN//
EG50009	gadA	GLUTDECARBOX-RXN//
G0-8601	glcF	GLYCOLATEDEHYDRO-RXN//
G36	fadH	DIENOYLCOAREDUCT-RXN//
G6105	fadE	ACYLCOADEHYDROG-RXN//
G6115	dinB	DNA-DIRECTED-DNA-POLYMERASE-RXN//
G6196	prpB	METHYLISOCITRATE-LYASE-RXN//
G6198	prpC	CITSYN-RXN//2-METHYLCITRATE-SYNTHASE-RXN//
G6199	prpD	2-METHYLCITRATE-DEHYDRATASE-RXN//
G6200	prpE	PROPIONATE--COA-LIGASE-RXN//
G6205	mhpE	MHPELY-RXN//
G6244	fadM	RXN0-5390//
G6261	ybaS	GLUTAMIN-RXN//
G6275	allA	UREIDOGLYCOLATE-LYASE-RXN//
G6277	hyi	RXN0-305//
G6278	glxR	RXN0-5289//
G6281	allB	ALLANTOINASE-RXN//
G6283	glxK	GKI-RXN//
G6284	allE	URUR-RXN//
G6285	allC	ALLANTOATE-DEIMINASE-RXN//
G6286	allD	RXN0-7024//
G6339	citG	2.7.8.25-RXN//
G6340	citX	2.7.7.61-RXN//
G6341	citF	CITLY-RXN//CITTRANS-RXN//CITRYLY-RXN//
G6342	citE	CITLY-RXN//CITTRANS-RXN//CITRYLY-RXN//
G6343	citD	CITLY-RXN//CITTRANS-RXN//CITRYLY-RXN//
G6344	citC	CITC-RXN//
G6422	ldtB	RXN-16665//RXN-16664//
G6439	ybjG	UNDECAPRENYL-DIPHOSPHATASE-RXN//
G6457	hcp	HYDROXYLAMINE-REDUCTASE-RXN//
G6477	ssuD	RXN0-280//RXN-15341//RXN-13418//RXN0-6973//
G6479	ssuE	RXN-12444//
G6519	rutE	RXN-8974//
G6520	rutD	RXN0-6452//
G6521	rutC	RXN0-6461//
G6522	rutB	RXN-12896//RXN-12895//RXN-12894//RXN0-6460//RXN0-6451//
G6523	rutA	RXN-12886//RXN0-6444//
G6528	pgaD	RXN0-5413//
G6529	pgaC	RXN0-5413//
G6530	pgaB	RXN0-5414//
G6571	ldtC	RXN-16665//RXN-16664//
G6626	dhaL	2.7.1.121-RXN//
G6627	dhaK	2.7.1.121-RXN//
G6639	pdeR	RXN0-4181//
G6644	puuA	RXN0-3901//
G6645	puuD	RXN0-3942//
G6646	puuE	GABATRANSAM-RXN//
G6661	ycjG	RXN0-5228//
G6662	mpaA	RXN0-961//
G6708	paaZ	RXN0-6511//3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN//RXNMETA-12672//RXNMETA-12671//
G6709	paaA	RXN0-2042//
G6710	paaB	RXN0-2042//
G6711	paaC	RXN0-2042//
G6713	paaE	RXN0-2042//
G6714	paaF	RXN0-6513//
G6715	paaG	RXN0-6510//
G6716	paaH	RXN0-2044//
G6717	paaI	RXN0-7104//RXN0-5065//
G6718	paaJ	RXN-3641//RXN0-6512//
G6719	paaK	RXN-10819//
G6721	paaY	RXN0-7103//
G6755	patD	AMINOBUTDEHYDROG-RXN//
G6798	lsrK	RXN0-5461//
G6804	lsrF	RXN-15943//
G6805	lsrG	RXN-15216//RXN0-6720//
G6806	tam	RXN0-2441//
G6845	ynfE	RXN0-2101//
G6846	ynfF	RXN0-2101//
G6847	ynfG	RXN0-2101//
G6848	ynfH	RXN0-2101//
G6890	nemA	RXN0-5101//
G6891	gloA	GLYOXI-RXN//
G6906	sufS	RXN0-308//RXN0-279//SELENOCYSTEINE-LYASE-RXN//
G6940	astE	SUCCGLUDESUCC-RXN//
G6941	astB	SUCCARGDIHYDRO-RXN//
G6942	astD	SUCCGLUALDDEHYD-RXN//
G6943	astA	ARGININE-N-SUCCINYLTRANSFERASE-RXN//
G6944	astC	ACETYLORNTRANSAM-RXN//SUCCORNTRANSAM-RXN//
G6967	yeaE	RXN0-4281//
G6969	yeaG	PROTEIN-KINASE-RXN//
G7105	wzc	2.7.10.1-RXN//
G7106	wzb	PROTEIN-TYROSINE-PHOSPHATASE-RXN//
G7128	gatZ	TAGAALDOL-RXN//
G7129	fbaB	F16ALDOLASE-RXN//
G7185	yfbR	RXN-14161//RXN-14143//RXN-14142//THYMIDYLATE-5-PHOSPHATASE-RXN//RXN0-5292//RXN0-3741//
G7212	fadJ	RXN-7931//RXN-14393//OHBUTYRYL-COA-EPIM-RXN//OHACYL-COA-DEHYDROG-RXN//ENOYL-COA-HYDRAT-RXN//ENOYL-COA-DELTA-ISOM-RXN//
G7213	fadI	KETOACYLCOATHIOL-RXN//
G7234	yfdE	RXN0-7075//
G7236	oxc	OXALYL-COA-DECARBOXYLASE-RXN//
G7237	frc	RXN0-1382//
G7242	alaC	ALANINE-AMINOTRANSFERASE-RXN//
G7263	murQ	RXN0-4641//
G7325	iscS	RXN0-308//RXN-14382//
G7334	hcaC	RXN-12072//HCAMULTI-RXN//
G7335	hcaB	RXN-12071//PHENPRODIOLDEHYDROG-RXN//
G7336	hcaD	RXN-12072//HCAMULTI-RXN//
G7445	gudD	GLUCARDEHYDRA-RXN//RXN0-5285//
G7544	glcE	GLYCOLATEDEHYDRO-RXN//
G7545	glcD	GLYCOLATEDEHYDRO-RXN//
G7564	yqhD	RXN-15744//RXN-15743//ALDEHYDE-DEHYDROGENASE-NADP+-RXN//ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN//RXN0-7154//RXN0-6487//RXN0-4281//RXN0-3962//
G7565	dkgA	RXN0-1941//RXN0-7119//RXN0-7020//RXN0-4281//
G7593	yqjH	RXN0-6941//RXN0-6555//
G7596	patA	PUTTRANSAM-RXN//2.6.1.82-RXN//DIAMTRANSAM-RXN//
G7624	tdcG	RXN-15125//4.3.1.17-RXN//
G7627	tdcE	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
G7631	kbaZ	TAGAALDOL-RXN//
G7676	nanK	NANK-RXN//
G7677	nanE	NANE-RXN//
G7800	rffT	FUC4NACTRANS-RXN//
G7855	ulaG	RXN0-5214//
G7858	ulaD	RXN0-705//
G7859	ulaE	LXULRU5P-RXN//
G7860	ulaF	RIBULPEPIM-RXN//
G7892	idnO	GLUCONATE-5-DEHYDROGENASE-RXN//RXN0-7101//
G7893	idnD	1.1.1.264-RXN//
G7920	nanM	RXN0-5329//
G7961	feaB	PHENDEHYD-RXN//
G81	uxaC	GLUCUROISOM-RXN//GALACTUROISOM-RXN//
G85	xapA	INOPHOSPHOR-RXN//XANTHOSINEPHOSPHORY-RXN//RXN0-7092//RXN0-5199//
M009	hcaE	RXN-12072//HCAMULTI-RXN//
M010	mhpA	RXN-10040//MHPHYDROXY-RXN//
M011	mhpB	RXN-12073//1.13.11.16-RXN//
M012	mhpC	RXN-12070//MHPCHYDROL-RXN//
M013	mhpD	2-OXOPENT-4-ENOATE-HYDRATASE-RXN//
M014	mhpF	ACETALD-DEHYDROG-RXN//
M015	hcaF	RXN-12072//HCAMULTI-RXN//
RUVA	ruvA	3.1.22.4-RXN//
RUVB	ruvB	3.1.22.4-RXN//
