#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	sroA//
livJ	b0200//
livKHMGF	b1975//b2143//b2131//b2146//b2023//
lldPRD	b1550//b1312//b2927//
loiP	b1788//
lolA-rarA	b4055//b1794//
lolB-ispE-prs	b0584//b1896//b0600//
lolCDE	b2879//b3630//b1879//
lomR_2-stfR-tfaR	b3234//b2644//b3275//
lon	b3079//
lpcA	b2311//
lpd	b3306//
lpoA	b0748//
lpp	b3756//
lptAB	b4546//b4177//
lptB-rpoN-hpf-ptsN-rapZ	b2849//b0938//b2054//b3624//b0970//
lptD	b3008//
lptD-surA-pdxA	b4106//b4005//b0998//
lptFG	b0178//b2364//
lpxC	b4368//
lpxD	b4189//
lpxL	ydbA_1//
lpxM	b1475//
lpxP	b0396//
lrhA	b4155//
lrp	b2016//
lspA-fkpB-ispH	b2122//b2778//b2511//
lsrACDBFG-tam	b0441//b3868//b4046//b2846//b0518//b0657//b2318//
lsrK	b0409//
lsrRK	b0884//b3746//
ltaE-ybjT	b1159//b0506//
luxS	b1848//
lysA	b2625//
lysC	b0787//
lysO	b3170//
lysP	b0440//
lysQ	b4662//
lysR	b0255//
lysT-valT-lysW	b0041//b0605//b1018//
lysU	b4460//
lysZ	b0028//
maa	b0730//
macAB	b1105//b1409//
macB	b1534//
maeA	b4136//
maeB	b1091//
mak	b4139//
malEFG	b4195//b1712//b1528//
malI	b1701//
malK-lamB-malM	b0761//b2546//b0576//
malPQ	b1832//b2459//
malQ	b1329//
malS	b3261//
malT	b1606//
malXY	b2032//b1322//
malZ	b1156//
manA	b1728//
manXYZ	C0465//b3983//b1708//
maoP	b3640//
map-glnD-dapD	b1967//b2904//b3309//
marC	b4208//
marRAB	b2398//b1220//b1793//
matP	b2334//
mazEFG	b1919//b3527//b0198//
mcaS	b0817//
mcbA	b2205//
mcbR	b3689//
mcrA	b1812//
mcrBC	b3331//b0061//
mdaB	b0732//
mdfA	b1692//
mdh	b3041//
mdlAB	b2905//b3849//
mdtABCD-baeSR	b1861//b0869//b0827//b0748//b3564//b2732//
mdtEF	b2399//b1714//
mdtG	b3752//
mdtH	b3227//
mdtJI	b0990//b0556//
mdtK	ydbA_2//
mdtL	b1109//
mdtM-yjiN	b0150//b1257//
mdtNOP	b1306//b3786//b2407//
mdtQ	b3590//
melAB	b1360//ybeM_2//
melR	b4243//
menA-rraA	b3414//b4524//
menBCE	b4184//b0481//b1144//
menDHBCE	b1655//b2631//b4109//b2372//b3915//
menFDHBCE	b1684//b4098//b0918//b0430//b2876//b4204//
mepH	b2864//
mepM	b3539//
mepS	b1608//
metA	b4202//
metBL	b2029//b1710//
metC	b4185//
metE	b1994//
metF	b1689//
metG	b1060//
metH	b1760//
metJ	b2673//
metK	b1074//
metNIQ	b3632//b0431//b2159//
metR	b3835//
metT-leuW-glnUW-metU-glnVX	b2343//b0006//b4392//b1807//b1078//b0542//b3045//
metY	b1027//
metY-rimP-nusA-infB	b4066//b3887//b3211//b1668//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	insAB-6//b2384//b4204//b2487//b0941//b0582//b2787//b0641//
metZWV	b2447//b1853//b3570//
mfd	b3257//
mglAC	b1822//b3186//
mglBAC	tfaS//b1864//b0813//
mgrB	b3630//
mgrR	b4539//
mgsA	b0576//
mgtLA	b2609//b1895//
mhpABCDFE	b1599//b4004//b3220//b4300//b2156//b0318//
mhpR-lacI	b4196//b2982//
mhpT	b3997//
miaA-hfq-hflXKC	maoP//b1977//b1651//b1740//b3697//
miaB	b0708//
micA	b2938//
micC	yrhA//
micF	b2825//
micL	b2579//
minCDE	b2114//b2935//b1950//
mioC	b3154//
mipA	b3018//
mlaA	b4413//
mlaFEDCB	b4285//qorB//b0740//b0896//b0194//
mlc	b0619//
mlc-ynfK	b2275//b4397//
mliC	b3189//
mlrA	b0597//
mltA	b0748//
mltB	b0913//
mltD	b3491//
mltF	b1560//
mmuPM	b3582//b2285//
mnaT-ydcZ	b1832//b3829//
mngAB	b2701//b3889//
mngR	b0759//
mnmA	b0615//
mnmC	b3269//
mnmE	ecpB//
mnmG-rsmG	b3085//b2801//
mntH	b1712//
mntP	b2784//
mntR-ybiR	b2565//b1092//
moaABCDE	b0805//b2294//b0210//b1181//b2709//
moaBCDE	b3288//b2072//b0491//b1042//
mobAB	b1000//b3045//
mocA	b0383//
modABC	b2520//b1770//b3944//
modEF	b3155//b1076//
moeAB	b3874//b1369//
mog	b1268//
mokB	b3643//
mokC-hokC	b4598//b0152//
molR_1	b3472//
molR_2	b1943//
molR_3-yehI	b0145//b2950//
motAB-cheAW	b0277//b0833//b0907//b2329//
mpaA	b3277//
mpl	b1049//
mppA	b0848//
mprA-emrAB	b2681//b0571//b0515//
mqo	b1757//
mqsRA	b3977//b0040//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b2357//b2702//b2989//b0020//b1297//b3155//b0752//b4471//b1243//b4036//eaeH//b1288//b2259//b0542//b1997//b0726//
mrcA	b2906//
mrcB	b1237//
mreB	b3915//
mreBCD	b2845//b4460//b2097//
mreCD	b1730//b3291//
mrp	b0735//
mrr	b1915//
mscK	b4167//
mscL	b2551//
mscS	b1954//
msrA	b0216//
msrB	b4383//
msrC	b1668//
msrPQ	b1504//b1867//
msyB	b4663//
mtfA	b3497//
mtlADR	b2553//b3710//b4309//
mtn-btuF-yadS	b0404//b1783//b4520//
mtr	b2414//
mug	b1742//
murA	b2997//
murB-birA	b3774//b3944//
murJ	b0200//
murQP	b4266//b3830//
murQP-yfeW	b4535//b0516//b1403//
murR	b2716//
mutH	b4485//
mutL-miaA-hfq-hflXKC	b2542//b1834//b1249//b1305//b3129//b3590//
mutM	b0542//
mutS	b1366//
mutY-yggX	b3647//b3806//
mutY-yggX-mltC	b2173//b2103//insCD-1//
mutY-yggX-mltC-nupG	insEF-4//b1296//b1569//b4308//
nac	b0507//
nadA-pnuC	b3107//yjgX_2//
nadB	b2915//
nadC	b2409//
nadE	b0058//
nadK	b1544//
nagA	b0179//
nagBAC-umpH	b0124//b1130//b2274//b3637//
nagC	b3716//
nagE	b3505//
nagK-cobB	b1839//b1867//
nanA	b2735//
nanATEK-yhcH	b2824//b1182//b4284//b0367//b3984//
nanC	b3496//
nanCM	b0818//b3509//
nanCMS	b0369//b3510//b1684//
nanR	b1402//
nanS	b0149//
napFDAGHBC	b3593//b3446//b4356//b2688//b1194//b3440//b1636//
napFDAGHBC-ccmABCDEFGH	b1413//b3220//b1463//b4663//b3098//b0924//b3642//b1647//b3531//b4288//b3444//yedN_1//b2241//b0131//b0134//
narGHJI	b3433//b0573//b0685//b1951//
narK	b1414//
narP	b0662//
narQ	b3319//
narU	b2460//
narWV	b3606//b1606//
narXL	b2352//b0724//
narZYWV	C0362//b0345//b0388//b4698//
ndh	b2904//
ndk	b1087//
nemA	b2586//
nemR	b3241//
nemRA	b0764//b1915//
nemRA-gloA	b2280//b1905//b2553//
nepI	b4364//
nfo	b2423//
nfrBA	b1817//b4399//
nfsB	b2399//
nfuA	b0710//
nhaAR	b4348//b0216//
nhaB	b1109//
nhaR	b0810//
nhoA	b4375//
nikABCDER	b4056//b3647//b2966//b4702//b2739//b0771//
nikR	b0004//
nimR	b4412//
nimT	b2321//
nirBDC-cysG	b2188//b1547//b4316//b0320//
nlpA	b1207//
nlpC	b2769//
nlpD-rpoS	b1660//b2638//
nlpI	b0388//
nmpC	sdsN//
nohA-ydfN-tfaQ	b2525//b3024//b0404//
nohB	b3272//
norR	b0502//
norVW	b2259//b3461//
nrdAB-yfaE	b1896//b0834//b3003//
nrdDG	b3648//b1390//
nrdG	yjhW//
nrdHIEF	b4087//b2979//b0279//ecpB//
nrdR-ribDE-nusB-thiL-pgpA	b3200//b0223//b2661//b4109//b2913//b1188//
nrfABCDEFG	b0179//b3104//b0107//b3170//b2841//b1974//b4409//
nsrR-rnr-rlmB-yjfI	b4432//b4509//b2277//b2279//
nudB-yebC-ruvC	b3807//b3398//b1411//
nudC-hemE-nfi	b2580//b1323//b0095//
nudE	b4239//
nudF-yqiB-cpdA-yqiA-parE	b2239//b2264//b1918//b3653//b4423//
nudG	b2464//
nudI	b0453//
nudK	b2047//
nuoABCEFGHIJKLMN	b0460//b3482//b4149//b1061//b3678//b4401//b1004//b0836//b1024//b2513//b4424//b0878//b0016//
nuoMN	b2614//b3724//
nupC	b4251//
nupG	b0806//
nupX	b1708//
ogrK	b1387//
ogt	b1704//
ohsC	b3912//
ompA	b3297//
ompC	b4458//
ompF	b2199//
ompG	b2435//
ompL	b1463//
ompN	b2318//
ompR-envZ	b3955//b0063//
ompT	b4419//
ompW	b4222//
ompX	b1133//
omrA	b0620//
omrB	b0507//
opgB	b0244//
opgC	b0110//
opgD	b2669//
opgE	b3966//
opgGH	b2994//b1153//
oppABCDF	b3611//b2851//b0628//b2935//b1360//
orn	b2754//
ortT	b0591//
osmB	b0603//
osmC	b3320//
osmE	b1932//
osmF-yehYXW	b4086//b4365//b0924//b4099//
osmY	b0133//
otsA	b0425//
otsBA	b2595//b1840//
oxc	b1852//
oxyR	b3526//
oxyS	b3045//
paaABCDEFGHIJK	b2046//b0801//b4431//b0994//b0319//b1074//b4145//b1787//b3891//b2666//b3402//
paaXY	b1521//b4071//
paaZ	b4304//
pabA	b4454//
pabB-nudL	b3627//b2018//
pabC-mltG-tmk-holB-ycfH	b1422//b2918//b4057//b0835//b3785//
pagP	b3449//
panBC	b2289//b2035//
panD	b1093//
panE-yajL	b3249//b3895//
panZ	b0035//
paoABCD	b2354//b0831//b2760//C0067//
parC	b2907//
patA	b3241//
patD	b2715//
patZ	b2944//
pbl	b2448//
pbpG	b2962//
pck	b2808//
pcnB-folK	b0042//b0736//
pdeA	b1310//
pdeB	b3897//
pdeC	b2990//
pdeD	b1162//
pdeF	b0316//
pdeG	b4186//
pdeH	b2924//
pdeI-dgcI	b0681//b3367//
pdeK	b1697//
pdeL	b2852//
pdeN	b2142//
pdeR	b2979//
pdhR-aceEF-lpd	b1967//b0206//b4243//b3780//
pdxA-rsmA	b4390//b2817//
pdxA-rsmA-apaGH	b3484//b2359//b2455//b1769//
pdxB-usg-truA-dedA	b1887//b2869//b2251//b2235//
pdxH-tyrS-pdxY	b4509//b3563//b2366//
pdxJ-acpS	b0821//b1579//
pdxK	b2015//
pdxY	b0481//
pepA	b3615//
pepB	b2715//
pepD	b2805//
pepE	b3221//
pepN	b0147//
pepQ-yigZ-trkH-hemG	b4376//b1328//b4059//b3218//
pepT	b3033//
perR	b4216//
pfkA	b2205//
pfkB	b1275//
pflA	b1567//
pflB	b2771//
pflDC	b0179//b0812//
pgaABCD	b3060//b3124//b2649//b2993//
pgi	b1386//
pgk	b1198//
pgk-fbaA	rhsE//b3293//
pgl	b3545//
pgpB	b0687//
pgpC-tadA	b0999//b0559//
pgrR	b2949//
pgsA	b2202//
pheLA	b0220//b1163//
pheM	b3361//
pheMST-ihfA	b2396//b0971//b0157//b3320//
pheP	b4155//
pheU	b0887//
pheV	b4097//
phnCDE_1E_2FGHIJKLMNOP	b3445//b2090//b1624//b0188//b0343//b0163//b1960//b2921//b4071//b0759//b2570//b1333//b4082//b1922//b0727//
phnLMNOP	b0103//b0627//b0006//b4021//b2959//
phoA-psiF	b2528//b1967//
phoBR	b1958//b4001//
phoE	b4227//
phoH	b2148//
phoPQ	b3067//b3634//
phoQ	b1771//
phoU	b0127//
phr	b2150//
pinE	b0800//
pinH	b1848//
pinQ	b3565//
pinR	b0331//
pitA	b4290//
pitB	b0393//
plaP	b0433//
pldA	b0537//
pldB-yigL	b2124//b3660//
pliG	b2719//
plsB	b0833//
plsC	b4471//
plsX-fabHDG	b3470//b0189//b2113//b0875//
pmbA	b0815//
pmrD	b3613//
pncB	b4036//
pncC	b0757//
pnp	b1581//
pntAB	b2930//b1672//
polA	b2169//
polB	b1245//
potABCD	b0132//b0933//b0543//sroA//
potFGHI	b1591//b2300//b3667//b1209//
poxB	b2419//
poxB-ltaE-ybjT	b3535//b3055//b1191//
ppa	b3129//
ppc	b3700//
ppdAB-ygdB-ppdC-recC	b2101//b0417//b1457//b3829//b0305//
ppdD-hofBC	b2082//b1501//b4087//
pphA	b2081//
pphB	b3542//
ppiA	b3518//
ppiB-lpxH	b0111//b1913//
ppiC	b4166//
ppiD	b0060//
ppk-ppx	b3586//b0335//
pppA	b1560//
ppsA	b1153//
ppsR	b0285//
pptA	b0695//
pqiAB	b0661//b4324//
pqqL	b2301//
preTA	b3022//b0843//
prfB-lysS	b0727//b3907//
prfC	b0508//
priA	b2350//
priC-ybaM	b1562//b1368//
prkB	b0265//
prlC-rsmJ	b3397//b2784//
prlF-yhaV	b0468//ybfG//
prmB-aroC-mepA-yfcA-epmC-yfcL	b2002//b1078//b4346//b1813//b2384//b0427//
proBA	b4354//b1199//
proC	b1583//
proK	b2883//
proL	b3946//
proP	b1438//
proQ-prc	b2496//b3800//
proS	b0529//
proVWX	b0183//b0756//b1983//
prpBCDE	b0962//b3862//b1606//b3310//
prpR	b0689//
prs	b4539//
psd-mscM	insAB-5//b1217//
psiE	b3021//
pspABCDE	b1166//b3535//b0446//b0274//b2809//
pspBCDE	b4064//b2541//b0540//b2104//
pspE	b2726//
pspF	b2079//
pspG	b2057//
pssA	b3795//
pstB-phoU	b2089//b1843//
pstCAB-phoU	b2822//b3560//b3847//b0497//
pstS	b0984//
pstSCA	b3575//b4707//b4466//
pstSCAB-phoU	b4337//b2907//b1686//b2189//b3594//
psuKG	b0854//b4515//
psuT	b3256//
pta	b4449//
pth-ychF	b1366//b0459//
ptrA	b1599//
ptrA-recBD	b0446//b4361//b4702//
ptrB	b1931//
ptsA-fsaB-gldA	b3706//b2436//b0465//
ptsG	b1234//
ptsHI-crr	b3897//b4380//b3519//
purA	b0508//
purC	b4471//
purEK	b2557//b2757//
purHD	b3685//ecpB//
purL	b3520//
purMN	b0835//b1381//
purR	b3759//
purT	b2221//
purU	b2432//
putA	b3101//
putP	b1834//
puuAP	b3160//b4053//
puuCBE	b0350//b3748//b0586//
puuDRCBE	b3928//b3303//b3628//b1536//b3500//
puuP	b3564//
pykA	b2933//
pykF	b0783//
pyrC	b1332//
pyrD	b4189//
pyrF-yciH	b0908//b0586//
pyrG-eno	b2226//b0643//
pyrH	b0904//
pyrLBI	b1877//b4094//b2533//
qmcA-ybbJ	qorB//b3829//
qor	b2709//
qorB	b0014//
qseBC	b3395//b4212//
qseG	b2983//
queA	b1331//
queC	b2496//
queD	b2244//
queE	b1794//
queF	b1773//
queG	b3188//
racC	b1487//
racR	b2179//
radA-nadR	b2078//b2169//
radD	b2818//
raiA	b1450//
ralA	b2622//
rapA	b0764//
rapA-rluA	b0400//b3635//
rarD	b2384//
ratAB	b4286//b2553//
ravA-viaA	b3793//b1906//
rayT	b3585//
rbn	b2231//
rbsDACBKR	b4392//b4476//b3568//b2717//b2631//b4064//
rcdA	b1655//
rclABC	b0473//b0330//b0192//
rclBC	b4373//icdC//
rclR	b2703//
rcnAB	b0483//b0885//
rcnB	yncK_1//
rcnR	b4040//
rcsA	b3140//
rcsB	b1515//
rcsC	b0002//
rcsDB	b0196//b1171//
rcsF-trmO	yedS_3//b3469//
rdgB-yggW	b3097//b0743//
rdgC	b0856//
rdlA	b1977//
rdlB	b1434//
rdlC	b2480//
rdlD	b0243//
rdoA-dsbA	b3944//b1706//
recA	b3059//
recAX	b4293//b2799//
recC	b3726//
recET-ralR-ydaC-xisR-intR	b4487//b1731//b0817//b0783//insCD-3//b2623//
recF	b0412//
recG	b1853//
recN	b0112//
recQ	b3639//
relA	b2606//
relA-mazEF	b2918//b4422//b1273//
relBE	b2157//b0634//
relBE-hokD	b0511//b4057//b3627//
rem	b2587//
renD-emrE	b0322//b4320//
rep	b3010//
rfaD-waaFCL	b0642//b1635//b2601//b0759//
rfaE	b0374//
rfaH	b4334//
rfbACX	b1995//b4325//b4308//
rfbBDACX	b4176//b3238//b1639//b2800//b0823//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	b1136//b3688//b4300//b4128//b1867//b0976//b1168//b0201//b3278//b0779//b1682//b1198//
rhaBAD	yegZ//b1256//b1223//
rhaD	b1859//
rhaM	b0380//
rhaSR	b3561//b0059//
rhaT	b3089//
rhlB	b1669//
rhlE	xisR//
rhoL	b0999//
rhoL-rho	b2548//b4188//
rhsA-yibA	b0862//b1192//
rhsB	b0613//
rhsC-ybfB	b2197//b0411//
rhsD-ybbC-ylbH-ybbD	b0187//b3863//b1998//b3624//
rhsE-ydcD	b4286//b4365//
rhtA	b0789//
rhtB	b0643//
rhtC	b1427//
ribA	b2393//
ribC	b1072//
ribE-nusB-thiL-pgpA	b2961//b0680//b0838//b0247//
ribF-ileS-lspA-fkpB-ispH	insCD-1//b4234//b0840//b1151//b4283//
ridA	b4043//
rihA	b0177//
rihB	b3856//
rihC	b1770//
rimJ	b3657//
rimK-ybjN	b0037//b2266//
rimL	b4480//
rimO	b1015//
rimP-nusA-infB	b1943//b3874//b0255//
rirA-waaQGPSBOJYZU	b0368//b0139//b2908//b4423//b1854//b4546//b2718//b3668//b0660//b0720//b3745//
rlmA	b4241//
rlmD	b1692//
rlmE-ftsH	b0965//b2487//
rlmF	ykfJ//
rlmG	b1626//
rlmI	b4150//
rlmJ	b2948//
rlmL-uup	b0831//b2216//
rlmM	b3180//
rlmN	b0214//
rluB	b3674//
rluC	b3697//
rluD-yfiH	b1458//b3153//
rluE-nudJ	b2846//b1040//
rluF	b3875//
rmf	C0299//
rmuC	b0921//
rna	b1142//
rnb	b0682//
rnc-era	b3894//b1326//
rnc-era-recO-pdxJ-acpS	b3542//b4134//b3377//b1907//b3158//
rnd	b2463//
rne	b3346//
rnhA	b4450//
rnk	b1009//
rnlA	b0637//
rnlAB	insAB-3//b1395//
rnlB	b3792//
rnpB	b2100//
rnt-lhr	b0004//b0732//
rob	yedS_1//
rodZ	b3444//
roxA	b2521//
rpe-gph-trpS	b2724//b3432//b1284//
rph	b2389//
rph-pyrE	b3752//b1295//
rpiA	b1227//
rpiB	b3979//
rpiR-alsBACE	b1270//b3742//b2138//b1092//b2370//
rplJL-rpoBC	b0850//b3941//b0854//b2161//
rplKAJL-rpoBC	b3034//b3201//b0593//b1147//b3053//b1250//
rplL	b0792//
rplM-rpsI	b4673//b3098//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	yghX_1//b1112//b1238//b3601//b1172//b3515//b3864//b2935//b3908//b3993//b3136//yifN//
rplT	b0406//
rplT-pheM	b4609//b2374//
rplU-rpmA	b0886//b0308//
rplU-rpmA-yhbE-obgE	b0882//b1433//b3810//b2526//
rplY	b2361//
rpmBG	b1379//b2041//
rpmBG-mutM	b0791//b2855//C0067//
rpmE	b4219//
rpmF-plsX-fabHDG	b0738//b0391//b2339//b1435//b2397//
rpmH-rnpA	b3734//b0836//
rpmI-rplT	b0710//b4440//
rpoBC	b2732//b0857//
rpoD	b2486//
rpoE-rseABC	b0247//yfaS_2//yeeL_2//b0097//
rpoH	b3629//
rpoN-hpf-ptsN-rapZ-npr	b2226//b3807//b0049//b0388//b2563//
rpoS	b3036//
rpoZ-spoT-trmH-recG	b1153//b2106//b1200//b0797//
rppH-ptsP	b0755//b3279//
rprA	b4061//
rpsA-ihfB	b3946//b1667//
rpsF-priB-rpsR-rplI	b2633//b0800//b0557//b2039//
rpsI	b1702//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	b3905//b3169//b1813//b3820//b1639//pbl//b2348//b1402//b0408//b2330//b0187//
rpsLG-fusA-tufA	b0544//b2136//b2819//b4316//
rpsMKD-rpoA-rplQ	b1068//b4204//b0178//b2857//b2709//
rpsO	b0161//
rpsO-pnp	b0318//b1348//
rpsP-rimM-trmD-rplS	b4283//b1058//b4513//b0569//
rpsT	b0174//
rpsU	b1882//
rpsU-dnaG-rpoD	b1360//b0694//b1012//
rraA	b2987//
rraB	b1312//
rrfG	b2535//
rrlA-rrfA	b3897//b1713//
rrlB-rrfB	b2183//b0329//
rrlE-rrfE	b0383//b2702//
rrlH-rrfH	b0098//b2548//
rrsA-ileT-alaT-rrlA-rrfA	b1828//b0730//b3701//b3456//b4299//
rrsB-gltT-rrlB-rrfB	b4544//b4409//b1802//b4687//
rrsC-gltU-rrlC-rrfC	b0732//b1637//b3663//b0088//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	b3012//b0319//b2914//b3540//b0201//b3235//b3916//
rrsE-gltV-rrlE-rrfE	b2831//b0980//b0258//b4414//
rrsG-gltW-rrlG-rrfG	b3645//b1426//b2047//b3785//
rrsH-ileV-alaV-rrlH-rrfH	b3640//b0856//b0478//b3562//b4460//
rsd	b3257//
rseABC	b3755//b2700//b4547//
rseP	b0597//
rseX	b3117//
rsfS-rlmH-mrdAB-rlpA	b4366//b1314//b1677//b0240//b0243//
rsgA	b2335//
rsmA-apaGH	b1812//b0610//b4454//
rsmB	b3861//
rsmC	b0110//
rsmD-yhhL	b2625//b2244//
rsmE-gshB	b1928//b1835//
rsmF	b0411//
rsmG	b2881//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b1347//b4271//b3894//b3599//b1063//b0452//b0850//b3708//b0184//b3605//b2706//b1104//b0744//b0528//b2308//
rsmI	b0850//
rspAB	b0660//b1665//
rssAB	b0994//b1287//
rssB	b4322//
rstAB	b3816//b3745//
rsuA	b0335//
rsxABCDGE-nth	b1951//b2098//b2265//b2135//b1566//b1973//b3770//
rtcBA	b4254//sroA//
rtcR	b2378//
rttR	b4136//
rutABCDEFG	b1191//b3664//b1544//b0900//b0244//b0852//b3746//
rutR	b4691//
ruvAB	b3593//b0344//
ruvC	b3992//
rybA-mntS	b3917//b2068//
rybB	b2578//
rydB	b0318//
rydC	b4082//
ryeA	b3357//
ryfA	b2301//
ryfD	b4176//
ryhB	b4087//
ryjA	b2351//
ryjB	b2611//
rzoD	b3917//
rzoR	b1304//
sad	b1575//
safA-ydeO	b2549//b0774//
sanA-yeiS	b1987//b0413//
sapABCDF	b3541//b2588//b2370//rhmD//b1328//
satP	b2464//
sbcB	b2072//
sbcDC	b0432//b1424//
sbmA-yaiW	b2079//b4368//
sbmC	b4161//
sbp	b0860//
scpA-argK-scpBC	b1598//b1113//insCD-5//b3916//
sdaA	b1709//
sdaCB	b4115//b3387//
sdhCDAB-sucABCD	b2523//b3199//yedS_1//ycgH_1//b2570//b0163//b3574//yeeL_1//
sdhDAB	b2061//b1183//b4099//
sdhE-cptA	b1657//b4046//
sdiA	b0219//
sdsN	b2412//
sdsR	b3829//
secB-gpsA	b0549//b0369//
secE-nusG	b0330//b0610//
secG	b0045//
secG-leuU	b4388//b2355//
secMA-mutT	b2940//b1501//b2434//
selAB	b2572//b0107//
selC	b2456//
selD-topB	b2408//b3393//
selU	b1926//
seqA-pgm	b3447//b0051//
serA	b0697//
serB	ybfO//
serB-radA	b4421//b2443//
serC	b2491//
serC-aroA	b3531//b0348//
serS	b2020//
serT	b3521//
serU	b3949//
serV-argVYZQ	b1109//b0621//b2586//b3202//b1119//
serW	b3772//
serX	b1215//
setB	b1850//
setC	rhmD//
sfmA	b1225//
sfmCD	b0429//b3530//
sfmHF	b0213//b2986//
sfsA-dksA	b3999//b1949//
sfsB	b1891//
sgcXBCQAER	b1800//b3582//b3475//b2948//b2515//b2133//b1895//
sgrR-sroA-tbpA-thiPQ	b2274//b1586//b1848//b2381//b3819//
sgrST-setA	b1070//b3736//b3835//
shiA	b2788//
shoB	b0096//
sibA	b1908//
sibB	b4465//
sibC	b2832//
sibD	b1746//
sibE	b4249//
sieB	b1815//
sixA	sroA//
skp-lpxD-fabZ-lpxA	b0288//b4024//b3141//b3601//
slp-dctR	b3480//b2333//
slt	b1213//
slyA	b4410//
slyB	b2745//
slyD	b4285//
slyX	b0710//
smf	b3342//
smg	b1048//
smpB	b4270//
smrA	b0628//
smrB	b3100//
sodA	b1334//
sodB	b3326//
sodC	b4509//
sohB	b0875//
sokB	b2449//
sokC	b1439//
solA-yceO	b0621//b3867//
soxR	b4252//
soxS	b1292//
speAB	b4206//b2325//
speB	b0121//
speC	b3353//
speF-potE	b2121//b1844//
spf	b1990//
sppA	b3233//
spy	b3485//
sra	b0090//
sraA	b2907//
sraB	b2827//
sraG	b2196//
srlAEBD-gutM-srlR-gutQ	b0125//b3020//b1849//b3863//b3560//b1484//insCD-1//
srlR	b2734//
srmB	b1386//
sroA	b1361//
sroG-ribB	b4387//b1145//
sroH	b3798//
ssb	b2408//
sseA	b1599//
sseB	b1799//
ssnA	b1393//
sspAB	b2631//b3901//
ssrA	b4113//
ssrS	b2800//
ssrS-fau	b1212//ykfJ//
sstT	b2713//
ssuEADCB	b0886//b4443//b0782//b2880//b4356//
stfE-tfaE	b2312//b3101//
sthA	b2326//
stpA	b0767//
sucAB	b3413//b2661//
sucABCD	b0658//b0439//b0549//b0283//
sufABCDSE	b1296//b2477//b3572//b3557//b1213//b2532//
sugE	b1650//
suhB	b1794//
sulA	b2870//
surA-pdxA-rsmA-apaGH	b0890//b2204//b2046//b1376//b4398//
sutR	b1259//
sxy	b4436//
syd	b2156//
symE	b4152//
symR	b3047//
tabA	b0702//
tag-yiaC	b2762//b3386//
talA	b1916//
talA-tktB	b3442//b1331//
talB	b0557//
tam	b3276//
tamAB-ytfP	b4469//b3484//b0853//
tar-tap-cheRBYZ	b1857//b3243//b0484//b2166//b0121//b1586//
tas	b4449//
tatABC	b2734//b1220//b0910//
tatABCD	b4144//b0962//b0399//b2454//
tatD	b2206//
tatE	b4136//
tauABCD	b0264//b3655//b1727//xisR//
tcdA	ychG_1//
tcyJ	b0547//
tcyP	b4008//
tdcABCDEFG	b1445//b1916//b1051//b0758//b2372//b2849//b2824//
tdcBCDEFG	b1645//b3493//b2398//b0341//b0099//b3624//
tdcR	b3940//
tdk	b0548//
tehAB	b1143//b3350//
tesA-ybbO	C0465//b3588//
tesB	b4073//
tfaD	b0565//
tfaS	b2062//
tfaX	b2786//
tff-rpsB-tsf	b4300//b4314//b1546//
tgt-yajC	b0728//ygaQ//
thiCEFSGH	b0257//b2961//b1549//b2163//b2274//b1599//
thiI	b3062//
thiMD	b1819//b2042//
thpR	b4213//
thrL	b3887//
thrLABC	b1111//b4372//b4291//b0375//
thrS-infC	b1330//ykfJ//
thrS-infC-rpmI-rplT-pheMST-ihfA	b2428//b2847//b3501//b4202//b4178//b1739//b3017//b0255//
thrU-tyrU-glyT-thrT-tufB	b1294//b4192//b4423//b0407//b2541//
thrW	b3686//
thyA	b0523//
tig	b4015//
tilS	b4160//
tisB	b0835//
tktA	b4006//
tktB	b2689//
tldD	b4318//
tnaC	b3980//
tnaCAB	b0280//b0160//b3627//
tolB-pal-cpoB	b1376//b4094//b1517//
tolC-ygiABC	b2047//b1929//b4025//b1313//
tomB-hha	b2916//b3874//
tonB	b1961//
topA	b3627//
topAI-yjhQ	b4070//b4528//
torCAD	b1822//b0884//b2832//
torI	b2487//
torR	b2675//
torS	b3720//
torT	b1803//
torYZ	b0961//b3421//
tp2	b1000//
tpiA	b3845//
tpke11	b1332//
tpke70	b3138//
tpx	b3337//
tqsA	b3091//
treA	b3500//
treBC	b1143//b0890//
treF	b2348//
treR	b3189//
trg	b1792//
trkA	b2951//
trkG	b0102//
trmA	b2718//
trmI-yggL	istR-1//b3460//
trmJ	b1794//
trmL	b1749//
trpCBA	b1757//b4059//b1743//
trpL	b0772//
