#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	insAB-4//
livKHMGF	b0033//b2488//b0623//b4202//b4003//
lldPRD	b2006//b3137//b2754//
loiP	b4406//
lolA-rarA	b1796//b2556//
lolB-ispE-prs	b1647//b0066//b0721//
lolCDE	b2605//b3377//b2977//
lomR_2-stfR-tfaR	b3044//b3338//b2323//
lon	b1829//
lpcA	b2143//
lpd	b3896//
lpoA	b2567//
lpp	b1860//
lptAB	b1214//b3008//
lptB-rpoN-hpf-ptsN-rapZ	b1325//b4424//b1159//b0437//b2100//
lptD	b0417//
lptD-surA-pdxA	ecpE//b1938//b3869//
lptFG	b1697//b3200//
lpxC	b0842//
lpxD	b3424//
lpxL	b3465//
lpxM	b3665//
lpxP	b4482//
lrhA	b1997//
lrp	b1999//
lspA-fkpB-ispH	b3170//b2436//b0437//
lsrACDBFG-tam	b1341//b0586//b1368//b3922//b3218//b3651//b3028//
lsrK	b4036//
lsrRK	b0161//b3058//
ltaE-ybjT	b2393//b2327//
luxS	b3003//
lysA	b4412//
lysC	b4076//
lysO	b2358//
lysP	b1612//
lysQ	b4239//
lysR	b0977//
lysT-valT-lysW	b0509//b1363//b3855//
lysU	b1677//
lysZ	b2545//
maa	b0639//
macAB	yghE//b4248//
macB	b2384//
maeA	b0801//
maeB	b2125//
mak	b4018//
malEFG	yjiV//b2792//b3336//
malI	b3856//
malK-lamB-malM	b1370//b2087//b2899//
malPQ	b1345//b1032//
malQ	b1662//
malS	b1243//
malT	b2143//
malXY	b0968//b3747//
malZ	b1371//
manA	b3562//
manXYZ	b3502//b2565//b2750//
maoP	b0550//
map-glnD-dapD	b3521//b4541//b3759//
marC	b3088//
marRAB	b3955//b1345//b2941//
matP	b1251//
mazEFG	b2192//b2762//b0527//
mcaS	b2875//
mcbA	b2216//
mcbR	b0685//
mcrA	b3375//
mcrBC	b1460//b3339//
mdaB	b1748//
mdfA	b4381//
mdh	b2030//
mdlAB	b4261//b4357//
mdtABCD-baeSR	b2101//b2946//b3725//b4078//b4625//b0158//
mdtEF	b3665//b4295//
mdtG	b2927//
mdtH	b0732//
mdtJI	b2226//b3448//
mdtK	b0401//
mdtL	b0852//
mdtM-yjiN	b1526//b1654//
mdtNOP	b2035//b0223//b3345//
mdtQ	b4130//
melAB	b0194//b4373//
melR	b1098//
menA-rraA	b0355//b0882//
menBCE	b0362//b3320//b1580//
menDHBCE	b2218//b1864//b2366//b2531//b0929//
menFDHBCE	b1530//b0027//b4052//b3524//b1734//b0758//
mepH	b0386//
mepM	b4671//
mepS	b2283//
metA	b4010//
metBL	b1245//yjgX_1//
metC	b4270//
metE	b0381//
metF	b1814//
metG	b2231//
metH	b3874//
metJ	b4293//
metK	b2390//
metNIQ	b1832//b2142//b2192//
metR	b1138//
metT-leuW-glnUW-metU-glnVX	b4289//b0010//b0843//b3374//b1609//b3883//b3531//
metY	b1325//
metY-rimP-nusA-infB	b1852//b2197//b3635//b2504//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	b3284//b0310//b1163//b0482//b3788//b1208//b4159//b3463//
metZWV	b0406//b1539//b4076//
mfd	b0597//
mglAC	b2569//b4164//
mglBAC	b2976//b1143//b2066//
mgrB	b1790//
mgrR	b4714//
mgsA	b1550//
mgtLA	b4078//b3017//
mhpABCDFE	b3190//b2757//b3766//b4521//b1668//b2067//
mhpR-lacI	b2895//b2246//
mhpT	b3829//
miaA-hfq-hflXKC	b0101//b0948//b3745//b3956//b3585//
miaB	b1953//
micA	b0323//
micC	b3786//
micF	b3527//
micL	b2468//
minCDE	b1527//b3736//b2069//
mioC	b1891//
mipA	b2171//
mlaA	b3318//
mlaFEDCB	b0738//b0814//b1083//b1676//b3838//
mlc	b1540//
mlc-ynfK	b0846//eaeH//
mliC	b4124//
mlrA	b3454//
mltA	b2902//
mltB	b0319//
mltD	b2585//
mltF	b0851//
mmuPM	b2727//b3044//
mnaT-ydcZ	b4140//b3055//
mngAB	b3857//b4210//
mngR	b2492//
mnmA	b1694//
mnmC	b3469//
mnmE	b2739//
mnmG-rsmG	b0132//b2206//
mntH	b4432//
mntP	b0014//
mntR-ybiR	b3370//b2829//
moaABCDE	b0860//b3316//b1458//b2020//b2619//
moaBCDE	b0675//b3951//b3809//b1403//
mobAB	b0844//b2839//
mocA	b0643//
modABC	b3606//b3030//b0285//
modEF	b1451//b3795//
moeAB	b2416//b1200//
mog	b0080//
mokB	b0382//
mokC-hokC	b2983//b0695//
molR_1	b0971//
molR_2	b0895//
molR_3-yehI	b1630//b1550//
motAB-cheAW	b3028//b2602//b0495//b1713//
mpaA	b2027//
mpl	b2129//
mppA	b0665//
mprA-emrAB	b0406//b2834//b4685//
mqo	b0916//
mqsRA	b3949//b3498//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b4217//b4345//b0567//b1609//b4168//b1045//b2054//b1547//b2930//b1352//b1607//b2678//b1271//b0150//b0529//b3758//
mrcA	b0648//
mrcB	b0132//
mreB	b3571//
mreBCD	b2677//b3946//b3456//
mreCD	b0735//b2281//
mrp	b3980//
mrr	b2175//
mscK	b0531//
mscL	b2824//
mscS	b1457//
msrA	b0270//
msrB	b4502//
msrC	b1271//
msrPQ	b3444//b2050//
msyB	b4089//
mtfA	b1193//
mtlADR	b3315//b2862//b4425//
mtn-btuF-yadS	b0953//b1929//b3633//
mtr	b4110//
mug	b2349//
murA	b0412//
murB-birA	b3817//b0325//
murJ	b1225//
murQP	b4568//b4071//
murQP-yfeW	b1151//b2282//b3019//
murR	b0845//
mutH	yeeL_1//
mutL-miaA-hfq-hflXKC	b4354//b3950//b2678//b4036//b2886//b1864//
mutM	b4371//
mutS	b0518//
mutY-yggX	b0855//b0417//
mutY-yggX-mltC	b3317//b2009//b2991//
mutY-yggX-mltC-nupG	b1464//b0624//b0938//b1516//
nac	b3712//
nadA-pnuC	b3998//b2164//
nadB	b1582//
nadC	b2398//
nadE	b1883//
nadK	b3374//
nagA	b4060//
nagBAC-umpH	b2332//b1501//yedS_1//b1995//
nagC	b2371//
nagE	b2982//
nagK-cobB	arpB_2//b0203//
nanA	b1650//
nanATEK-yhcH	b1835//b1851//b0601//b2225//b0569//
nanC	b0075//
nanCM	b1413//phnE_2//
nanCMS	b0379//b2826//b4333//
nanR	b3597//
nanS	b2315//
napFDAGHBC	b3568//b3495//b2528//b2435//yfaS_2//b0253//b4437//
napFDAGHBC-ccmABCDEFGH	b1730//b3632//b1827//b3882//b4132//b0848//b1277//b1059//b0908//b1479//b2736//b2957//b4194//b1907//b2958//
narGHJI	b2128//b2063//b2470//b4214//
narK	b0860//
narP	b2118//
narQ	b2848//
narU	b0180//
narWV	b1685//b3734//
narXL	b3300//b1211//
narZYWV	b0869//b2256//ygeN//b0551//
ndh	b4699//
ndk	b0951//
nemA	b3470//
nemR	b1284//
nemRA	b2815//b3867//
nemRA-gloA	b2588//b3502//b0735//
nepI	b2482//
nfo	b0862//
nfrBA	b1281//b0393//
nfsB	b1064//
nfuA	b1852//
nhaAR	ilvG_1//b1946//
nhaB	b3772//
nhaR	b0668//
nhoA	b3559//
nikABCDER	b0586//b3267//b4328//b1730//b2405//b3020//
nikR	b2016//
nimR	b0729//
nimT	b3960//
nirBDC-cysG	b4346//b3811//b3842//b2982//
nlpA	b0694//
nlpC	b3981//
nlpD-rpoS	b3296//b2554//
nlpI	b2079//
nmpC	b0779//
nohA-ydfN-tfaQ	b3594//b0511//b2967//
nohB	b3138//
norR	b2943//
norVW	b0715//b1786//
nrdAB-yfaE	b4521//b1667//b4203//
nrdDG	b1570//b2845//
nrdG	b1700//
nrdHIEF	b1890//b2016//b2223//b3723//
nrdR-ribDE-nusB-thiL-pgpA	b4110//b0286//istR-1//b2568//b1562//b2002//
nrfABCDEFG	b0887//b2304//b4426//b1920//b2047//b0806//b4240//
nsrR-rnr-rlmB-yjfI	b3442//b3562//b1852//b0093//
nudB-yebC-ruvC	b0661//b1510//b2052//
nudC-hemE-nfi	b0878//b0091//b1351//
nudE	b0673//
nudF-yqiB-cpdA-yqiA-parE	b2014//b0273//b0765//b0844//b1190//
nudG	b2119//
nudI	b3230//
nudK	b4382//
nuoABCEFGHIJKLMN	b1962//b0847//b3102//b2053//b3894//b3643//b4319//b2501//b3635//b3480//b3678//b1700//b0989//
nuoMN	b0272//b0977//
nupC	b1112//
nupG	b2072//
nupX	maoP//
ogrK	b3400//
ogt	b3270//
ohsC	b0141//
ompA	b1766//
ompC	b2120//
ompF	b3743//
ompG	b2934//
ompL	b0678//
ompN	b2299//
ompR-envZ	b4407//b2096//
ompT	b2537//
ompW	b1254//
ompX	b2086//
omrA	b1268//
omrB	b2323//
opgB	b0922//
opgC	b0040//
opgD	b1561//
opgE	b4251//
opgGH	b3374//b3087//
oppABCDF	b3794//b4338//b1639//b0279//b3005//
orn	b3605//
ortT	b1009//
osmB	b4146//
osmC	b3238//
osmE	b0937//
osmF-yehYXW	b3018//b1855//b4284//b0651//
osmY	b3142//
otsA	b4369//
otsBA	b3689//b0431//
oxc	b0766//
oxyR	b3202//
oxyS	b1464//
paaABCDEFGHIJK	b1596//maoP//b1560//b1337//b4172//b0444//b4210//b0094//b3512//b0534//b3626//
paaXY	b0577//b3147//
paaZ	b4081//
pabA	b3623//
pabB-nudL	b3439//b1235//
pabC-mltG-tmk-holB-ycfH	b1953//b3868//b2124//b0707//b2934//
pagP	b2719//
panBC	b2294//b3107//
panD	b0038//
panE-yajL	b4337//b1214//
panZ	b1579//
paoABCD	b1803//b1530//b3041//b2757//
parC	b3268//
patA	b2382//
patD	b4067//
patZ	b0741//
pbl	b3639//
pbpG	b3452//
pck	b4121//
pcnB-folK	b1618//b3615//
pdeA	b4307//
pdeB	b0637//
pdeC	b2143//
pdeD	b2479//
pdeF	b4010//
pdeG	b1212//
pdeH	b2497//
pdeI-dgcI	b2474//b2209//
pdeK	b0516//
pdeL	b3839//
pdeN	b1703//
pdeR	b4515//
pdhR-aceEF-lpd	b2085//b2246//b2903//b3943//
pdxA-rsmA	b1582//b1996//
pdxA-rsmA-apaGH	b2216//b3118//b3357//b0594//
pdxB-usg-truA-dedA	b4230//b0758//b4353//b0779//
pdxH-tyrS-pdxY	b0914//b1387//b2196//
pdxJ-acpS	yedS_1//b3872//
pdxK	b1415//
pdxY	b3287//
pepA	b4502//
pepB	b3940//
pepD	b1892//
pepE	b2620//
pepN	b3468//
pepQ-yigZ-trkH-hemG	b1142//b1247//b4311//b4319//
pepT	b2423//
perR	b4013//
pfkA	b3166//
pfkB	b1891//
pflA	b1113//
pflB	b3232//
pflDC	b0300//b2841//
pgaABCD	b2213//b2892//b2510//b0966//
pgi	b3229//
pgk	b2055//
pgk-fbaA	b1270//b1783//
pgl	b3264//
pgpB	b2695//
pgpC-tadA	b0880//b0698//
pgrR	b4516//
pgsA	b0450//
pheLA	b2623//b0077//
pheM	b4086//
pheMST-ihfA	b3703//b3312//b3721//b2536//
pheP	b3463//
pheU	b1095//
pheV	b2697//
phnCDE_1E_2FGHIJKLMNOP	b1375//b0576//b3808//b1593//b3395//b1516//b4246//b1246//qorB//b1180//b1376//b0715//b0552//b3591//lfhA//
phnLMNOP	b3460//b3101//b3383//b2174//b3670//
phoA-psiF	b0685//b4068//
phoBR	b3855//b4546//
phoE	b3152//
phoH	b3993//
phoPQ	b0381//b4018//
phoQ	b1732//
phoU	b0287//
phr	b2424//
pinE	b0431//
pinH	b1318//
pinQ	b1199//
pinR	b2951//
pitA	b1520//
pitB	b2363//
plaP	b0320//
pldA	b3939//
pldB-yigL	b4002//b0548//
pliG	b1753//
plsB	b1604//
plsC	b2762//
plsX-fabHDG	b0939//b1773//b3861//b3672//
pmbA	b3795//
pmrD	b1000//
pncB	gadF//
pncC	b4328//
pnp	b2232//
pntAB	b1915//b0518//
polA	b1638//
polB	b4346//
potABCD	b0101//b3774//b1545//b1101//
potFGHI	b3017//b1665//b0627//b3495//
poxB	b1320//
poxB-ltaE-ybjT	b1609//b2272//b0288//
ppa	b0220//
ppc	b3769//
ppdAB-ygdB-ppdC-recC	b0480//b2643//b0559//b3231//b1072//
ppdD-hofBC	b3183//b2194//b3995//
pphA	b1197//
pphB	b0922//
ppiA	b1722//
ppiB-lpxH	b4417//b4398//
ppiC	b4132//
ppiD	b3780//
ppk-ppx	b1809//b3879//
pppA	b1186//
ppsA	b3881//
ppsR	b0694//
pptA	b0115//
pqiAB	b0163//b1862//
pqqL	b1108//
preTA	b2314//b0352//
prfB-lysS	b0321//b1588//
prfC	b2598//
priA	b4399//
priC-ybaM	b1888//b1023//
prkB	b0256//
prlC-rsmJ	b1949//b1679//
prlF-yhaV	b4163//b2330//
prmB-aroC-mepA-yfcA-epmC-yfcL	b0709//b0892//b0578//b3051//b1776//b4280//
proBA	b4110//b3842//
proC	b2946//
proK	b1729//
proL	b2852//
proP	b0367//
proQ-prc	b4303//b1572//
proS	b3493//
proVWX	b1447//b3160//b0918//
prpBCDE	b3775//b3154//b0168//b3150//
prpR	b1741//
prs	b0307//
psd-mscM	b1488//b1879//
psiE	b3568//
pspABCDE	b0254//b3753//b1108//b3455//b2304//
pspBCDE	b0506//b4220//insB-7_2//ychG_1//
pspE	b2609//
pspF	b0060//
pspG	b4075//
pssA	b0001//
pstB-phoU	insEF-2//b4455//
pstCAB-phoU	b3516//b3161//b0517//b1907//
pstS	b1767//
pstSCA	b4192//b3087//b2464//
pstSCAB-phoU	b4216//b2156//b1241//b0377//b1014//
psuKG	b3287//b0393//
psuT	b1137//
pta	b1967//
pth-ychF	b0252//b2798//
ptrA	b0918//
ptrA-recBD	b2455//b3151//b0571//
ptrB	b4147//
ptsA-fsaB-gldA	b1696//b3305//b0603//
ptsG	b0047//
ptsHI-crr	b1925//b0167//b3118//
purA	tp2//
purC	b3866//
purEK	b2274//b0150//
purHD	b4565//b4257//
purL	b1449//
purMN	b1190//b2151//
purR	b3475//
purT	b0657//
purU	b2201//
putA	b1434//
putP	b0766//
puuAP	b3080//b0090//
puuCBE	b4104//sroE//b0490//
puuDRCBE	b0040//b3430//b1595//b3680//b2784//
puuP	ychE_2//
pykA	b0846//
pykF	b1172//
pyrC	b3555//
pyrD	b4152//
pyrF-yciH	b3940//b2370//
pyrG-eno	b4129//b0192//
pyrH	b0879//
pyrLBI	b3381//b2012//b4400//
qmcA-ybbJ	b2954//b1599//
qor	b4027//
qorB	b3312//
qseBC	b2213//b0166//
qseG	b0070//
queA	b1006//
queC	b0659//
queD	b2514//
queE	b3387//
queF	b4420//
queG	b3984//
racC	b3261//
racR	b4042//
radA-nadR	b1234//b1661//
radD	b4049//
raiA	b1316//
ralA	b2334//
rapA	b3872//
rapA-rluA	b2798//b3134//
rarD	b2855//
ratAB	b1625//b3103//
ravA-viaA	b1198//sraA//
rayT	b1828//
rbn	b2619//
rbsDACBKR	b1608//b0801//b4671//b1309//b3279//b3859//
rcdA	b2052//
rclABC	b3921//b0336//b4024//
rclBC	b3647//b1737//
rclR	b3166//
rcnAB	b1900//b1399//
rcnB	b3269//
rcnR	b1938//
rcsA	b0210//
rcsB	b2325//
rcsC	b0350//
rcsDB	b1831//b3560//
rcsF-trmO	b3022//b2928//
rdgB-yggW	b3267//b0166//
rdgC	b2862//
rdlA	b1544//
rdlB	b0399//
rdlC	b3908//
rdlD	b0321//
rdoA-dsbA	b0141//b4190//
recA	b1863//
recAX	b1830//b1866//
recC	b3036//
recET-ralR-ydaC-xisR-intR	b0819//b1211//b0786//b1335//b0437//b0177//
recF	b2814//
recG	b0665//
recN	b4196//
recQ	b0767//
relA	b2009//
relA-mazEF	b3537//b1039//b2113//
relBE	b0783//b1378//
relBE-hokD	b4550//b3365//b3471//
rem	b4328//
renD-emrE	b2041//b2137//
rep	b0518//
rfaD-waaFCL	b1552//b2995//b2439//b1975//
rfaE	b2205//
rfaH	b3792//
rfbACX	b2738//b3347//b4443//
rfbBDACX	b2049//b2540//b0046//b2574//b3174//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	b0548//b1681//yjhE//b2722//b2451//b1878//b2968//b1969//b1150//b1365//b1842//b3346//
rhaBAD	b3602//b2293//b0827//
rhaD	b3488//
rhaM	b3408//
rhaSR	b2423//b1347//
rhaT	b0265//
rhlB	b1503//
rhlE	b0311//
rhoL	b0193//
rhoL-rho	b2868//b2138//
rhsA-yibA	b4203//b2382//
rhsB	b4559//
rhsC-ybfB	b3095//b2288//
rhsD-ybbC-ylbH-ybbD	b2675//b1594//b3075//b1429//
rhsE-ydcD	b0038//b0980//
rhtA	b4485//
rhtB	b1494//
rhtC	b0524//
ribA	eaeH//
ribC	b0445//
ribE-nusB-thiL-pgpA	b4219//b3450//b2743//b4458//
ribF-ileS-lspA-fkpB-ispH	b2650//b4268//b2560//b1175//b1434//
ridA	b4327//
rihA	b3014//
rihB	b3047//
rihC	b0231//
rimJ	b1235//
rimK-ybjN	b2708//b1424//
rimL	b2377//
rimO	b4004//
rimP-nusA-infB	b2205//b0039//b2100//
rirA-waaQGPSBOJYZU	b2912//b2584//b1153//b0911//b1478//b2283//b0745//yedN_1//b3220//b1663//b2891//
rlmA	b0950//
rlmD	b2574//
rlmE-ftsH	b4246//b2540//
rlmF	b3743//
rlmG	b4224//
rlmI	b3817//
rlmJ	b4265//
rlmL-uup	b0973//b3472//
rlmM	b1012//
rlmN	b2571//
rluB	b3498//
rluC	b2739//
rluD-yfiH	b0172//b0788//
rluE-nudJ	b1807//b1962//
rluF	b3883//
rmf	b0164//
rmuC	b2528//
rna	b1783//
rnb	b0338//
rnc-era	b3236//b2387//
rnc-era-recO-pdxJ-acpS	b2588//b1299//b1431//b1078//b1197//
rnd	b0970//
rne	b1945//
rnhA	b1564//
rnk	b3145//
rnlA	b2994//
rnlAB	b0114//b0186//
rnlB	b4134//
rnpB	b0184//
rnt-lhr	b0849//b1522//
rob	b1815//
rodZ	b2472//
roxA	b3283//
rpe-gph-trpS	b3875//b1486//b0473//
rph	b1436//
rph-pyrE	b0025//b0042//
rpiA	b1751//
rpiB	b1513//
rpiR-alsBACE	b2687//b3232//b0421//b1857//b2519//
rplJL-rpoBC	b1376//b1785//b3921//b2835//
rplKAJL-rpoBC	b0766//b3562//b3042//b2411//b4209//b1264//
rplL	b0352//
rplM-rpsI	b0607//b0799//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	b4362//b0581//b0814//b0747//b3573//b4042//b2800//b0886//b0773//b1259//b2473//b2398//
rplT	b0357//
rplT-pheM	b4230//b0467//
rplU-rpmA	b1789//b3146//
rplU-rpmA-yhbE-obgE	b3929//b0642//b2549//b2899//
rplY	b0798//
rpmBG	b2776//b0125//
rpmBG-mutM	b2471//b0009//b3010//
rpmE	b1342//
rpmF-plsX-fabHDG	b4568//b4341//b1056//b1749//b3506//
rpmH-rnpA	b0313//b3166//
rpmI-rplT	b2928//b3650//
rpoBC	b2246//b0618//
rpoD	b4260//
rpoE-rseABC	b4386//b2841//b3018//b3238//
rpoH	b0711//
rpoN-hpf-ptsN-rapZ-npr	b2647//b1684//b3408//b0567//b3989//
rpoS	b3490//
rpoZ-spoT-trmH-recG	b3488//b2262//b1125//b2810//
rppH-ptsP	b3553//b0561//
rprA	b1476//
rpsA-ihfB	b1145//b2920//
rpsF-priB-rpsR-rplI	b3439//b4086//b0878//b2190//
rpsI	b4027//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	b2616//b1490//b3816//b0641//b3978//b2139//b1121//b1223//b2496//b4052//b2194//
rpsLG-fusA-tufA	b1236//b4346//b3942//b1852//
rpsMKD-rpoA-rplQ	b4237//b3395//b0554//b4428//b1106//
rpsO	b4365//
rpsO-pnp	b0632//b0634//
rpsP-rimM-trmD-rplS	b3700//b0036//b3069//b3468//
rpsT	b2575//
rpsU	b4132//
rpsU-dnaG-rpoD	b4061//b3098//b2895//
rraA	b1287//
rraB	b4525//
rrfG	b4545//
rrlA-rrfA	b0982//b0804//
rrlB-rrfB	b1445//b4253//
rrlE-rrfE	3'ETS<sup><i>leuZ</i></sup>//b2287//
rrlH-rrfH	b2025//b4016//
rrsA-ileT-alaT-rrlA-rrfA	b4340//b3864//b1601//b3574//b3405//
rrsB-gltT-rrlB-rrfB	b2746//b3961//b2545//b1663//
rrsC-gltU-rrlC-rrfC	b0657//b2707//b2374//b3704//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	b0357//b2862//b1552//b3191//b0086//b3267//b4350//
rrsE-gltV-rrlE-rrfE	b1640//b4551//b3616//b0527//
rrsG-gltW-rrlG-rrfG	b4537//b0660//b2128//b2979//
rrsH-ileV-alaV-rrlH-rrfH	b3547//b0716//b2618//b0823//b3125//
rsd	b2822//
rseABC	b2900//b2025//b1495//
rseP	b3855//
rseX	b3603//
rsfS-rlmH-mrdAB-rlpA	b0638//b0874//b1257//b0445//b0475//
rsgA	b2540//
rsmA-apaGH	b2552//b2053//b0371//
rsmB	b3366//
rsmC	b0278//
rsmD-yhhL	b1729//b4168//
rsmE-gshB	b3949//b2295//
rsmF	b3987//
rsmG	b2220//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0933//b2127//b3272//b0123//b3324//b4011//b2196//b1134//b2183//b2038//b3915//b2570//b2701//b1242//b2285//
rsmI	b1053//
rspAB	b1321//b0028//
rssAB	b3087//ychG_1//
rssB	b0417//
rstAB	b4618//b3460//
rsuA	b2714//
rsxABCDGE-nth	b4164//b1495//b1044//b0710//b1858//b0013//b1287//
rtcBA	b1281//b2681//
rtcR	b1651//
rttR	b3890//
rutABCDEFG	b4421//b3957//b2504//b2033//b2539//b0347//b0955//
rutR	b2987//
ruvAB	b3702//b0122//
ruvC	b0661//
rybA-mntS	b3009//msrP//
rybB	b1770//
rydB	b0089//
rydC	b1532//
ryeA	b3320//
ryfA	b3868//
ryfD	b2080//
ryhB	b1709//
ryjA	b0051//
ryjB	b1868//
rzoD	b3799//
rzoR	b1249//
sad	b1059//
safA-ydeO	b2955//b4352//
sanA-yeiS	b3323//b4429//
sapABCDF	b0569//b0125//b1268//b3272//b2225//
satP	b3233//
sbcB	b2544//
sbcDC	b2729//b0192//
sbmA-yaiW	b3066//b0597//
sbmC	b3087//
sbp	b2181//
scpA-argK-scpBC	b3206//b2579//b4438//b2167//
sdaA	b1403//
sdaCB	b4205//b3303//
sdhCDAB-sucABCD	b0554//b3895//b3759//b0335//b1770//b2984//b1467//b1426//
sdhDAB	b2616//b2157//b0940//
sdhE-cptA	b3656//b1414//
sdiA	b2376//
sdsN	b3826//
sdsR	b3661//
secB-gpsA	b3621//b3855//
secE-nusG	b2119//b0434//
secG	b1848//
secG-leuU	b3222//b0806//
secMA-mutT	b0858//b2020//b1327//
selAB	b0260//b0076//
selC	b1297//
selD-topB	b0842//b3778//
selU	b3026//
seqA-pgm	b3020//b0570//
serA	b2321//
serB	b0273//
serB-radA	b0348//b1598//
serC	b2689//
serC-aroA	b3934//b2019//
serS	b1643//
serT	b1696//
serU	b0341//
serV-argVYZQ	b4059//b1702//b3180//b0509//b0923//
serW	b3736//
serX	b4254//
setB	b2883//
setC	b1339//
sfmA	b1525//
sfmCD	ychG_2//b3390//
sfmHF	b3656//b1023//
sfsA-dksA	b0932//b3444//
sfsB	b3832//
sgcXBCQAER	b0410//b2839//b4698//b2051//b1540//b4303//b3032//
sgrR-sroA-tbpA-thiPQ	b0660//b1815//b3877//b2985//b4005//
sgrST-setA	b1466//b3630//b2507//
shiA	b0158//
shoB	b4360//
sibA	b0419//
sibB	b4360//
sibC	b4450//
sibD	b0684//
sibE	b2394//
sieB	b0088//
sixA	b0841//
skp-lpxD-fabZ-lpxA	b0972//b2528//b3761//b2397//
slp-dctR	b1621//b4297//
slt	b4184//
slyA	b2216//
slyB	b4259//
slyD	b1752//
slyX	b2379//
smf	b3978//
smg	b0173//
smpB	b4238//
smrA	b0427//
smrB	b0541//
sodA	b4184//
sodB	tpke11//
sodC	b1937//
sohB	b0568//
sokB	b0494//
sokC	b2754//
solA-yceO	b0050//b0606//
soxR	b0571//
soxS	b3168//
speAB	b1723//b2892//
speB	b1020//
speC	b3447//
speF-potE	b4525//b3367//
spf	b3439//
sppA	b1981//
spy	b3964//
sra	b2995//
sraA	b1428//
sraB	insB-7_1//
sraG	b3265//
srlAEBD-gutM-srlR-gutQ	b2479//b4319//b0349//b2434//b3353//b3571//b4156//
srlR	b3713//
srmB	b2571//
sroA	b4559//
sroG-ribB	b3303//b0066//
sroH	b1203//
ssb	b3219//
sseA	b2849//
sseB	b0265//
ssnA	b1025//
sspAB	b0052//b0836//
ssrA	b1273//
ssrS	b1450//
ssrS-fau	b1504//b0633//
sstT	b3824//
ssuEADCB	b4476//b1804//b3126//b2737//b3774//
stfE-tfaE	b2749//b1480//
sthA	b3585//
stpA	b2719//
sucAB	b3507//b2296//
sucABCD	b0899//b0772//b1159//b3460//
sufABCDSE	b2917//b3604//b3133//b0473//b3689//b3169//
sugE	b2520//
suhB	b2703//
sulA	b3736//
surA-pdxA-rsmA-apaGH	b0988//b3823//b0059//b3216//b4391//
sutR	b1959//
sxy	b1386//
syd	b3944//
symE	b3968//
symR	b1188//
tabA	b1661//
tag-yiaC	b2953//b0028//
talA	b2157//
talA-tktB	b0660//b2676//
talB	b0888//
tam	b3403//
tamAB-ytfP	b0431//b1155//b2795//
tar-tap-cheRBYZ	b4510//b4053//b2150//b2865//b4568//b2460//
tas	b3842//
tatABC	b3333//b2124//b3800//
tatABCD	b0860//b1889//b2976//b3519//
tatD	b4365//
tatE	b2427//
tauABCD	b1615//b1828//b3458//b4039//
tcdA	b0499//
tcyJ	b0475//
tcyP	b2341//
tdcABCDEFG	b0206//b2433//b2420//b2475//b3263//b0589//b0824//
tdcBCDEFG	b3225//b1900//b1121//b0654//b1848//b3918//
tdcR	b1921//
tdk	b0973//
tehAB	b1338//b3021//
tesA-ybbO	b0819//b2537//
tesB	b1095//
tfaD	b3604//
tfaS	b0106//
tfaX	b4402//
tff-rpsB-tsf	b2906//b1349//b3990//
tgt-yajC	b0936//b2468//
thiCEFSGH	b3102//b0942//b1111//b4196//b2903//b1877//
thiI	b2834//
thiMD	b0587//b4707//
thpR	b1308//
thrL	b0007//
thrLABC	b3716//b2122//b0367//b4258//
thrS-infC	b1841//b0687//
thrS-infC-rpmI-rplT-pheMST-ihfA	b4463//b2492//b2413//b3664//b2947//b0405//b4184//b0277//
thrU-tyrU-glyT-thrT-tufB	b3625//b3271//b1520//b0433//b2045//
thrW	b0775//
thyA	b2501//
tig	b3872//
tilS	b2715//
tisB	b0518//
tktA	b2802//
tktB	b0890//
tldD	b3439//
tnaC	b4167//
tnaCAB	b3952//b0917//b2162//
tolB-pal-cpoB	b0160//b0346//b0194//
tolC-ygiABC	b0568//b0149//b2963//b0841//
tomB-hha	b4303//b1275//
tonB	b0022//
topA	b0533//
topAI-yjhQ	b1308//b4322//
torCAD	b4533//b0114//b0225//
torI	b2828//
torR	b3512//
torS	b2184//
torT	b0552//
torYZ	b0757//b0468//
tp2	b2432//
tpiA	b0482//
tpke11	b2162//
tpke70	b2992//
tpx	b0884//
tqsA	b0578//
treA	b3492//
treBC	b2304//b0937//
treF	b3343//
treR	b2816//
trg	b0339//
trkA	b1307//
trkG	b1827//
trmA	b1717//
trmI-yggL	b3983//b2893//
trmJ	ecpE//
trmL	b2775//
trpCBA	b3937//b1266//b2414//
trpL	b0617//
trpLEDCBA	b1795//b4465//b0174//b1990//gadF//b1773//
trpR	b2008//
