#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	artM//ycbU//gcvP//lysU//
GO_0009113_5	mug//yhaO//glpR//hicB//bamE//
GO_0009114_8	tesB//
GO_0009116_5	nrdR//pdhR//yqcG//glcF//malQ//fdoG//tabA//ycaN//rlmB//gsiA//lysS//bolA//yjaZ//nikD//eno//ppsA//rpoS//arnT//ulaR//yidC//garR//ynfL//nanC//rbsK//ychO//yfeW//trkA//basS//tolQ//xerC//fhuD//aqpZ//crcB//coaE//yqaE//fliD//bluF//treR//ydiQ//yaaJ//
GO_0009117_6	speC//tsgA//bcr//oppD//rep//aroF//dinB//ilvB//livH//malI//nuoI//rcsD//yihS//nikC//xanP//mdtC//pdeR//ptsG//manZ//melR//frr//nirC//puuC//atpD//ycjD//hemH//murG//dosP//aroL//dxr//lysP//fhuD//rdgC//ilvI//ydiF//garD//dam//ppk//argS//hchA//ttdB//tyrS//mmuP//paaC//bdm//purB//melR//mntR//rpiB//dusC//cdgI//bioA//lysU//ulaD//thiC//nudB//kch//atpD//dnaJ//hflX//yoeB//znuC//pgm//panZ//kilR//flgB//nanR//ydaN//yoaA//cusA//seqA//cysU//upp//yehU//ycfL//yehP//purR//fumB//yidZ//mdtP//nanC//ddpA//rhlB//ydiP//yidC//rpmF//cydA//pmbA//alpA//rhaS//holA//hycH//nhaR//thiD//cbrC//mtnN//fadB//atpA//gnd//ygbL//speC//ilvA//tgt//nrfF//
GO_0009119_6	insA-2//hmp//tdcA//alr//ydiK//yjaA//xseB//metH//yagU//csdE//ymgC//tatB//cobS//tilS//rfaC//yqgF//yagU//treC//lipB//rpmC//ugd//yraK//leuC//uhpA//dam//yihO//asnS//rluC//pdeK//ydeO//higB//frdD//yjaA//insB-2//ygfZ//
GO_0009120_6	folD//betB//pgaC//cfa//
GO_0009123_6	kdgT//yfiC//gadE//livK//glnB//yfcF//yagJ//ubiC//yahN//fre//rhsD//yddA//menD//dtd//ivy//ycaN//cydD//mutL//yedX//rhsD//lgoR//yciF//lldD//hyaA//lldP//rhaM//ychF//yiaU//ydeP//gluQ//fiu//gpmM//tcyJ//mdtL//moaB//adiY//fabI//yahD//cdh//nagD//pinQ//rplS//hybF//hemH//intE//glsA2//
GO_0009124_7	rsmI//yqjH//gshA//ftsZ//csdE//kch//scpC//ftsY//ihfB//hyi//acrA//pyrG//cobB//ynfK//yiaJ//rho//yfeO//mhpD//hslV//ogrK//zupT//sgrR//tadA//cutA//ptsN//sapA//elyC//yaaY//polA//entD//ppsA//insK//psuT//pfkB//plsX//ydcO//actP//
GO_0009125_7	cobT//roxA//murB//murB//yhjC//
GO_0009126_7	panC//ivy//cdsA//rraA//ppx//ybcQ//yegT//mlaE//garD//glpR//pta//dnaJ//cobT//cbrA//zraS//ldhA//upp//treR//tig//hsrA//ccmC//lolE//uof//dacC//gcvR//yebQ//lpxP//gfcE//phoE//apaH//yiiD//dnaN//tqsA//ampG//
GO_0009127_8	mpaA//ttcA//rutG//yejF//aroA//recG//ftnB//rbsC//mtlD//ybjC//ugpE//hisI//add//nrfA//gspJ//yidH//pdeH//ydjE//sapA//nikC//eutB//ltaE//ttcA//murE//pabC//torI//ynjA//aroC//tsaC//pepA//
GO_0009129_7	pgm//ydeE//panC//lgt//mdoD//fimF//hisH//hsdR//ftsE//yehC//
GO_0009130_8	adiA//fabG//ndh//panD//yfaX//
GO_0009131_8	hycI//yihI//tatC//flgC//soxS//
GO_0009132_6	trpA//alpA//purR//uxuB//pflB//ybjL//glnD//sbmC//pcnB//fau//lplA//ygiN//sucD//bglB//mrcB//lsrD//ygiW//sfmH//suhB//cptB//hmp//tonB//kdpB//rihB//yfdG//
GO_0009133_7	iraP//pyrG//opgB//
GO_0009135_7	fabI//hyaD//mog//gadB//mltG//yaaA//artJ//caiB//pgi//erpA//ynaE//dcuS//yciV//nagK//mutL//yihT//nmpC//yraI//rhoL//yiaU//fumB//gltL//rstB//
GO_0009136_8	prpD//
GO_0009138_7	rssB//metG//
GO_0009139_8	hscA//iraD//
GO_0009141_6	sgcE//smpB//gstB//trpR//ybhA//ghxQ//yejA//frmR//yejF//panE//ttdB//erpA//yehD//rpmB//dacD//phoR//dgcZ//citE//yjjW//yhaM//atpD//speE//yihX//tisB//nikR//elaB//pdxJ//yfcV//yafO//hycB//yjhH//fsr//yqgF//yneJ//htrE//opgE//setC//hybE//
GO_0009142_7	leuS//basR//rimI//fbp//ybdR//dcuS//pgk//rpsA//gpr//hda//appC//pnuC//eptB//ghoS//yahO//msrB//rpmJ//cysZ//yihO//hprS//slyD//hisS//rclA//coaD//cysP//zraR//sdaC//rpsB//
GO_0009143_7	etp//degS//mgtL//ubiF//
GO_0009144_7	borD//pgi//rnlA//amiB//ybiW//msrB//kbaZ//rlmC//tldD//gadA//glmU//hipB//rseB//dcuB//elaD//rplT//cobS//tisB//argA//katG//mgtL//moaA//uacT//dld//rutG//lpxL//coaE//glpT//entH//yjgX//tdcA//
GO_0009145_8	cysQ//artJ//marA//yqaA//setB//hscA//hdeD//ldtB//rluB//pnuC//gyrA//mepA//rimO//rbsB//lasT//pyrH//sapC//lasT//sfsA//satP//ung//ymfA//tcyN//
GO_0009146_8	mug//dgkA//
GO_0009147_7	srmB//caiB//cpdB//lexA//
GO_0009148_8	rbsA//ypdA//
GO_0009149_8	ugpB//malS//
GO_0009150_7	nudF//kbaZ//fecA//rclB//yaaA//casD//tig//mltC//rfaH//iraM//fhuD//yraR//yhfS//cydC//rspB//cydC//etk//psuG//psuG//pepA//grpE//recB//kilR//aes//holE//phoP//lolD//hiuH//fimC//flgA//ftsH//fhuB//panB//lspA//napA//dnaG//narL//uhpA//lipB//nirD//putP//crp//gcvP//plsB//iscA//secA//lasT//yidK//
GO_0009151_7	cstA//ygiB//
GO_0009152_8	npr//yhdX//mraZ//dctA//bfr//lgoR//ygaV//citX//ygiV//dicA//ndk//galE//garD//srlB//yahD//yjjW//hsdR//hycI//gntR//lrp//prmC//syd//rsgA//orn//moeB//cycA//pepN//yhcD//fbp//ulaG//rpsO//insH-5//atpF//erfK//pitB//glpD//lsrR//
GO_0009155_7	hofP//agaA//
GO_0009156_8	sbcD//hexR//btuB//aaeR//ydfG//gadW//chiP//avtA//yhbQ//yeeL//rstB//ubiE//nikR//speF//srlR//ldtB//ygiW//rlmI//pgaB//yjhC//nadC//tldD//tynA//yneE//ydeP//puuA//dgcN//adeQ//rplR//thiQ//glk//atpG//ulaG//
GO_0009157_8	rutR//clpA//cobB//yidL//
GO_0009158_8	msrC//yfeD//yajR//trmJ//yjjG//
GO_0009161_7	gntP//rpsB//glnK//lapB//yehW//alsE//gnsB//narI//tufA//efp//dacA//nuoB//paoC//menF//tauC//slmA//macA//zinT//fliL//hemH//ybeY//kefB//chpS//mdtA//tnaA//yieL//pdxA//ynjD//fucK//rnr//uidC//yeiG//flgA//npr//dhaM//ispF//aldA//cfa//hemB//udp//frwB//yccS//
GO_0009162_7	yfeX//hyfA//hofN//zapE//
GO_0009163_6	citE//rfaD//eno//clsA//nfuA//xanP//fimZ//malS//menD//tyrR//abpA//hofP//elfC//ilvM//yadM//yahB//dauA//potB//xapR//
GO_0009164_6	mhpB//ppiA//accD//citE//eptA//secY//ttcA//glk//kefF//dnaE//puuC//rplD//opgC//
GO_0009165_7	yjjQ//ndk//tar//lpxL//fimF//tcyN//dgcJ//yoaA//zitB//nadA//ybiI//hisA//lsrG//add//gcl//eco//aldB//malY//mgtL//nagZ//rbsB//torI//yhbY//sad//nhaA//mnmC//tbpA//cmoA//ydfD//bacA//waaF//chpB//rcnR//nagD//rzpD//ydfH//malI//dppD//yjgX//msrC//htpG//rdgB//flgK//elfA//tatD//ftsE//zraR//pcnB//arnA//phnM//lpxK//rimI//gadB//bamD//mdtD//nadA//sodB//mltA//yfjV//agaD//fimE//citG//phoB//grxD//glpR//yohD//rbsB//fepB//cycA//ftsK//umuC//
GO_0009166_7	rapZ//ldtA//ccmH//aer//recE//purC//plaP//ibsC//yjiQ//yafC//agaR//pcnB//yneJ//hipB//intZ//modA//panB//glcC//sufB//paaF//pal//tsf//dicB//hybB//hiuH//rpe//yjhP//aroE//rayT//uhpT//ydiK//
GO_0009167_8	bioF//otsB//soxS//yieK//ydcR//acs//rzoR//nemA//gloB//purB//sfmC//emrK//potA//yfcP//bioD//asnB//narY//nuoE//rfaB//yidQ//pepD//gltD//caiD//potG//pstC//nikE//manZ//fdx//aceB//yfcR//betI//tsaB//glnQ//yeaE//
GO_0009168_9	nadA//gdhA//gcvA//ydiZ//araE//yddL//rapZ//mepS//yqaB//caiT//melA//ydeE//queG//rpnB//ldtD//lpxM//mrdA//kduD//lrp//scpB//yiaL//pgi//rbn//opgB//relB//htpG//sohB//trmO//ompW//bolA//
GO_0009173_8	tauA//sufA//ygaH//sufA//mlaD//csgB//tktA//
GO_0009174_9	alsE//ubiC//
GO_0009175_9	uspC//tufA//yhbY//manZ//narG//
GO_0009176_8	ydhC//nhaA//ybcL//
GO_0009177_9	frdC//yjcO//rplT//
GO_0009179_8	pyrL//gatY//pyrG//dmlA//prlF//trpC//ldrA//artP//ppx//glgX//guaB//wcaB//gatZ//rpnD//uof//fucI//lptF//sgcX//dgkA//frdC//ydjK//glpT//pntA//
GO_0009180_9	ydeO//
GO_0009185_7	waaA//acrZ//yfcP//narG//ycfL//mrdB//ybiS//frdB//yhdX//yhjR//dacB//fliG//nlpA//yihS//allD//insI-2//narH//xerC//tnaB//prkB//tdcE//rfbD//elfC//lolD//
GO_0009186_7	lldD//
GO_0009187_7	mdtO//waaF//
GO_0009188_8	galR//yciT//
GO_0009189_8	rpmG//
GO_0009190_8	fdnG//zraR//
GO_0009193_8	nuoM//
GO_0009194_9	mdtG//
GO_0009196_8	glgS//
GO_0009197_9	gudX//
GO_0009199_7	sgrR//rsmI//yrbG//cobC//alaE//ygbN//yfcQ//ilvD//ycfS//sdaA//garP//gph//mreD//rffT//potE//yhjA//yebK//yfeD//nikE//cydB//pepQ//cho//waaS//kdsA//mutH//tamA//metL//accA//argK//yihX//yjjI//
GO_0009200_7	dfp//tyrR//hpt//dhaM//
GO_0009201_8	nuoG//agp//appY//rpoS//manA//garD//rfbB//rseC//ushA//glsB//ribE//mhpD//yebC//nepI//ycbV//ynbD//nrdD//rpoH//ycaO//bluR//bioA//pdeD//satP//bamA//
GO_0009202_8	hyaC//
GO_0009203_8	yeeA//
GO_0009204_8	menI//uspF//serS//
GO_0009205_8	narJ//cof//speC//acnA//lptD//gadC//tsx//rzoD//xylG//fepC//tpiA//yhiM//napC//yrbG//lysO//yjhH//yjaZ//purL//ybcQ//dtpC//ampH//rimM//moaA//frmA//iraD//zraR//narY//trkG//yjjW//
GO_0009206_9	ygbI//ftsY//gpt//ilvB//ptsN//agp//lgt//cdsA//cyoB//ygiN//xerC//fadB//yidL//dgcT//recR//citT//mscL//mnmG//ygjH//uvrB//speB//yjbB//waaO//
GO_0009208_8	gntP//nagE//
GO_0009209_9	sapA//
GO_0009210_9	glpK//
GO_0009211_8	modC//ddpA//fhlA//
GO_0009212_9	waaB//
GO_0009213_9	fepG//rhaT//
GO_0009215_8	adhP//xylF//
GO_0009217_9	yraJ//metI//
GO_0009218_7	udk//yebZ//ybiV//rlpA//ybbW//ibsE//phnK//yafC//yafE//folP//hyaC//yjiY//
GO_0009219_7	fruK//sugE//folM//malF//ftsE//
GO_0009220_8	marR//napB//pckA//thrC//pbpC//phnH//
GO_0009221_8	acnA//gatB//arsC//fadI//
GO_0009222_7	cbrA//crp//dkgB//trmA//mutT//rhmD//
GO_0009223_7	bamE//rlmD//
GO_0009224_9	potD//rplO//
GO_0009225_5	lysA//nlpE//waaU//dcuD//tusD//nuoB//ndk//yigB//tag//hslU//trpE//fhuB//fdoH//rpsA//csgB//
GO_0009226_6	cusR//tsr//hslU//cobC//treR//yiaF//yhdZ//pyrB//ynbB//recR//trpE//marA//menH//
GO_0009228_7	livJ//gor//lpp//ybhJ//mglC//rpsI//yhdJ//modA//insI4//focB//
GO_0009229_6	kduD//fadB//
GO_0009231_6	yjbB//casA//frdD//yahN//mrr//matP//ahr//
GO_0009233_6	ydeO//oppA//gspF//pgpB//phnN//lysC//rpmH//hmp//cysW//murP//
GO_0009234_7	aqpZ//ftsL//rng//glk//recO//codA//waaA//ogt//cheW//folP//
GO_0009235_5	dmsC//livF//gpmM//leuC//ascB//yghU//
GO_0009236_6	gshA//rlmG//fliS//gsiB//pdxB//rplK//
GO_0009237_4	soxS//fadA//alpA//ubiG//pyrL//dgt//hybO//tnaA//chiP//
GO_0009238_5	hemG//yehY//ymjB//lpxH//abgA//thiD//hypT//aroF//cysG//
GO_0009239_6	rhmR//caiB//rpsG//atpF//ynfE//yfdO//thiC//glcF//
GO_0009240_6	crr//ftnB//yfaX//eutA//narG//
GO_0009242_6	fecD//rutR//der//nrfB//murJ//cysI//yiaM//ybiT//nuoN//ispU//gltS//
GO_0009243_7	iscA//
GO_0009244_7	envY//menE//tusE//ppiC//ibsA//hisD//waaZ//rhmR//yibT//phnC//gsiC//hdeA//sucD//yciT//glxK//dkgB//glxK//ybaL//ribA//yjhP//tsaE//idnO//tusC//folP//gcvH//rapA//mazG//recQ//rimO//
GO_0009245_6	acrA//phnO//rlmL//leuE//ycbU//aroA//fadI//ynfF//ydjJ//dcyD//
GO_0009246_6	yeaG//yihQ//hslV//frvR//amiD//torA//aphA//lolE//sbmC//
GO_0009247_6	pphB//hsdM//yagG//tsx//yiaF//alsK//intQ//lolB//rzoR//sgcB//yfiC//gsiB//
GO_0009249_6	metH//yqjA//feaR//
GO_0009250_7	cyaY//xerD//truB//cueR//insH-6//yjjG//gspJ//ampD//dppF//clcB//rlmA//sufC//murF//ccmH//
GO_0009251_7	casA//hisQ//yafQ//yfbS//ynfH//pldB//
GO_0009252_7	uhpT//rclC//wecC//glsA1//rseP//atpA//yihI//ivbL//yddM//ygaH//phnI//ycdX//metQ//ccmC//fabD//potF//topB//rpnB//frc//puuA//ldhA//sgcR//yihT//gloB//ybaT//cysE//hybA//nuoI//tdcR//aldA//yhcF//gatC//purD//emrE//oxyR//sanA//dhaK//fabG//nth//
GO_0009253_8	hldE//aroE//hflX//greA//fdoG//cvrA//aroG//xylG//def//yadC//
GO_0009254_8	sulA//ynbC//cpdB//hexR//speB//yggD//narP//entE//artI//yccA//
GO_0009256_7	ftp//fadM//pckA//argK//
GO_0009257_8	tolB//gspF//yehT//yeiL//
GO_0009259_6	secG//rusA//rclC//ybaE//mhpR//sgcA//mngB//dauA//narQ//rpsL//yhjB//yneJ//rzpR//pdeD//kbaY//ygiS//exbD//yqhC//dcp//yfdR//lolC//ybiO//dinG//fetB//yieK//zitB//ygjK//rpiB//dhaL//alkA//zinT//phnM//rnd//wcaC//ygdG//iraM//flhA//emrD//yidZ//ybgP//cspD//argS//ygbI//bluR//yhjB//glmS//yeiE//srlA//blr//lsrA//malQ//srlB//yhaM//cbtA//sodA//rhtC//amiC//sgcC//yieE//carB//cbeA//
GO_0009260_7	elaB//djlC//dsbA//rimM//ygeX//dpiB//recG//rutA//cbrC//hupA//mioC//bdm//cpxA//acrB//ispU//guaC//thiC//metR//bglB//csgE//mdtD//rlmE//cysP//glpK//folX//tsr//lasT//torR//ccmD//livF//xseB//dgcE//ybaL//nudG//hybO//rnt//narP//guaA//essD//eptC//gspE//groL//yggX//ugpA//
GO_0009261_6	rfaB//pinE//yhdW//dicC//prs//ppsA//
GO_0009262_5	rusA//feaB//lldD//ytfR//ampD//spoT//gsiB//kdgR//metN//secY//hyfA//yjiQ//thiH//
GO_0009263_6	chpB//bioA//dsdA//leuD//luxS//mreD//cpdB//cyoA//idnT//
GO_0009264_6	nadA//fimI//ykgF//waaC//ybdG//
GO_0009265_7	guaD//yebS//torA//gph//tmcA//
GO_0009266_4	rpiB//yheT//menB//holD//paaC//sufS//ybdN//nikC//yqjH//glnH//yfiF//potF//artI//sthA//pepN//marR//ldrD//ddlB//clcB//alkB//treC//artI//fdoG//aldA//malQ//ftsX//ybdO//endA//dcuS//mobA//dcp//yiaJ//tyrR//ftsI//tesB//pinE//yajD//gntU//ibsD//waaS//sgrT//cobS//purN//mlaF//zur//truC//intS//ygcW//ycjP//ybiX//hflD//mfd//blc//yacG//ybjN//thiG//tufA//kduD//lpxT//fumA//puuP//atpC//rimK//narL//mltF//cmk//csgF//scpB//galU//adiY//nuoI//cheW//yiaA//pgk//mdfA//leuD//fdhE//ulaR//rsfS//ynfF//pfkA//acpH//
GO_0009267_5	glrK//galU//kdgR//rplR//nmpC//nagD//phoU//ibaG//yaaA//znuB//rcsF//serA//grcA//ftsP//nemR//yqaA//yjjQ//yebG//moeA//aqpZ//cynX//dcyD//srlE//yihU//yagF//lptB//
GO_0009268_4	nagZ//gutQ//yedP//degP//aroP//ubiJ//deoC//rutE//mdlB//ybgI//tamA//sapC//yfdO//rcdA//btuD//mhpD//yhjD//rbn//chbF//yibT//dgcE//ugpA//gstB//aroD//dgkA//leuD//frc//
GO_0009271_4	cusC//hisG//mtfA//
GO_0009273_5	pitB//gnsB//citT//yoeE//hsdR//alkB//murI//tamA//lptE//recT//
GO_0009290_6	yjbB//edd//
GO_0009292_4	ynaI//gutQ//
GO_0009294_5	yfgI//coaD//
GO_0009297_6	idnO//nupC//nuoM//galT//rpsE//yjbG//yacG//sdaB//rclA//rihA//ccmE//elbB//rpsS//argD//
GO_0009298_7	eamA//kdsC//puuP//
GO_0009305_7	thiE//
GO_0009306_4	yjbH//hybO//ydcR//yceK//yebG//araG//allC//
GO_0009308_5	frdB//mnmC//sodC//uspB//hemG//frlB//yihU//eutK//lpxK//treC//rpsD//mcbA//rcsC//yjjW//epmB//panZ//potD//betI//dnaK//murP//ygaZ//hcaE//yoaB//bioP//lolD//napF//ydbK//
GO_0009309_6	nrfE//yceK//cas1//yadI//blc//hscA//hokB//gcvP//selU//rnhB//yidA//cspA//ydjH//pdxH//
GO_0009310_6	sufD//menD//kgtP//dnaQ//nadB//yjiA//wecA//yccS//yacG//recA//mrcA//ptsG//murI//
GO_0009311_5	lpxH//tamB//casE//emrE//mnmC//bioP//rlmE//nirB//mtlD//recC//argH//hcaF//gntP//phoB//yihU//rho//araB//glpG//dgcZ//mhpA//yddL//yabI//yidE//rpsL//cobB//yigB//ispA//yciK//rfaG//yhcF//cysQ//insB-4//ynbC//nanT//yahN//gltP//guaA//ypdF//ghoS//allC//pncB//minC//hiuH//macB//ygiN//manX//thrA//cusS//yejA//fryC//manY//yebQ//ybdH//
GO_0009312_6	yecS//speA//lpxC//uxuR//eutK//hcaF//waaP//clsC//caiF//panF//puuE//ygeW//psuT//yehC//osmC//pyrD//leuS//ybcF//frlB//hisD//ydcO//serB//cheA//poxB//ycfS//rpmJ//yeaV//mdtG//tatD//elbB//phnI//actP//yqaA//ykfM//relA//nrfD//zraS//skp//dgoT//rpsG//cspE//pabB//
GO_0009313_6	lldR//ygbN//yhbY//cpxR//cbpM//ung//gloC//rdgC//brnQ//ydfG//
GO_0009314_4	uvrY//ydjE//paaF//wecA//dgcM//ydiP//cadC//msbA//btuF//ccmF//secY//nusG//pyrC//rho//yqeG//xylA//yjbE//ybhA//yafQ//rpoD//hybE//gltD//atoS//hxpB//gapA//puuD//fimZ//coaA//yodD//cobT//otsA//yegD//xylF//artP//aceB//sfmD//yihP//yeiE//acrF//lsrC//lgoR//mutT//rplW//rplY//mhpD//yciV//hprR//torZ//chaC//thrL//groS//chbA//yafE//yhgF//psuT//mdtB//yohC//lsrG//yeiG//epd//clpP//ftsH//yagU//prpB//yagU//yjhP//csiR//hsdR//ybhJ//asnB//rcnA//puuC//entF//tusD//uvrY//hns//lolD//clpB//tynA//hcaF//hyfA//narL//hemH//yggF//sucD//dinD//rplC//intZ//rlmH//katG//yiaJ//dxr//
GO_0009372_5	rutF//hemN//rutC//
GO_0009394_6	arfA//ubiD//pliG//mepH//yfeR//caiT//mltB//
GO_0009395_6	aaeB//
GO_0009396_6	xthA//setC//cysK//recO//relE//gmk//ogrK//ais//yidR//mutH//melB//
GO_0009397_6	wcaC//sixA//
GO_0009398_7	yhiM//
GO_0009401_7	fimF//speA//fliA//dnaT//emrB//gadE//argF//arnE//radA//frsA//uxaA//paaJ//yeiL//puuA//zntA//dacA//sfmH//dacC//sdaB//cadC//ldrB//rraA//azoR//glpX//cpdB//cpxA//rpoE//folC//alaE//dusC//slyD//nimT//caiE//lolB//dnaJ//ybaL//nrdR//mnaT//msrP//csgA//yghG//frmB//atpD//gmd//mdtM//fdnI//dgcT//mrcB//deoR//ghrB//efeO//ihfB//
GO_0009403_5	dnaC//
GO_0009404_4	rof//ptrA//pyrL//rarD//tatE//grpE//dpiB//adeD//rspB//ycjY//flgF//fixB//fryB//sstT//yiaJ//nirB//tpx//ftsP//adeQ//
GO_0009405_4	chbC//selD//ulaF//
GO_0009407_3	yjcE//glpF//menF//tdcG//yigL//thrC//ymfA//hypE//lepB//rluE//yafE//shiA//mtgA//ymfA//rbn//tsf//
GO_0009408_4	ybjX//moaD//fes//insK//yjjU//dgcF//lgt//fre//yahD//opgB//ompL//agaW//proS//ispA//artI//basS//ydhJ//selB//hcaF//yhdZ//copA//yabI//ydcM//rsmC//oppA//frr//ybcC//yihQ//yiaF//mutY//caiT//ppc//flhA//nrdB//yjaZ//galF//bcsA//cutC//tusA//holA//rplK//valS//ycjP//alsA//glnD//csrA//tadA//caiD//ldtD//lsrG//srlB//dcuS//dkgA//rhlE//gshA//entC//diaA//dcm//yeiE//yibF//
GO_0009409_4	bglX//bepA//oppA//cueR//araH//purT//waaC//rplM//mscL//cydB//murD//yiaO//nagE//mlaE//ytfT//argA//ynfE//trmO//
GO_0009410_4	sdhC//
GO_0009411_6	xseA//rfaD//cpdB//ydbD//talB//yfdC//hemG//xylG//yfeW//mlaC//hsrA//deoR//leuB//kbp//acrB//trpA//
GO_0009415_4	relA//
GO_0009416_5	pspD//cdd//ygdG//ftnA//sspB//mdlB//acpT//yidZ//pstC//ada//rpsB//thiG//folD//lptF//hexR//flgB//cydC//yibH//hyfA//
GO_0009423_8	rutG//treR//borD//tsgA//
GO_0009432_5	pcnB//ilvM//yfiR//ygfA//waaA//sodA//hofM//sgrT//flgF//ibsC//ygiB//yjbF//ybiH//murQ//crfC//fnr//ybiH//rcsD//feaR//trmA//rne//yaaU//
GO_0009435_9	pgpA//ydaV//rnr//mdtG//gstB//yhcN//yagI//apt//acnB//
GO_0009436_6	ybcM//yciV//mltC//thiD//
GO_0009437_5	rimJ//fliT//dcyD//paaB//rsmH//queD//pepQ//
GO_0009438_5	glsB//apaH//sfmD//yahN//appA//pabA//ydhC//abpA//abgA//gdhA//mdtB//ade//yfeD//ytfP//rpsR//fimB//mdtE//pykA//frmR//yiiD//prc//yajD//frdC//fumA//mtlD//rlmF//yfjR//paaH//tsaE//rhaM//
GO_0009439_5	ribB//cedA//yraR//
GO_0009440_6	pflC//rhaS//mazF//
GO_0009441_5	pgrR//guaB//topAI//hemD//pdxY//
GO_0009442_7	cusS//cysC//feaR//mepA//abgA//
GO_0009443_5	rpsL//paaX//ytfQ//
GO_0009445_5	ycfH//gadE//yehP//phnI//rplN//dapB//fdhD//pheP//cysI//kgtP//
GO_0009446_6	kgtP//hisH//
GO_0009447_6	ykgA//dld//yecS//ynbD//astC//ravA//nfi//narP//
GO_0009448_5	mdtB//frvB//aceF//intA//
GO_0009450_6	panZ//sbcC//yehP//pnp//
GO_0009451_6	xisE//ebgR//yjhC//bioB//pyrB//yaaY//accA//relA//ypdB//mog//yfjV//rpiA//rnpA//yddA//yrbG//speE//rsmD//barA//acrZ//iraP//cyoA//pcm//ddlA//soxS//secM//mdtO//hemB//paaJ//ugpB//metH//pepD//hokE//rne//entH//pfkA//hemB//gpt//rutG//nrfC//mltF//ynhG//yejF//glmS//leuB//lysU//ligB//yidH//opgH//mltG//ycgV//ftnB//rsmB//pgaD//malS//yhdZ//rplM//ygaZ//mntH//malK//pabC//pdxH//djlC//bisC//yiaL//atpA//crp//mgsA//ycbB//ydcP//ydbD//cnu//rlmB//glmM//yoeB//srlR//yeeO//elaD//yhcF//panE//menH//ulaR//torC//cra//
GO_0009453_4	parE//
GO_0009454_5	secF//
GO_0009593_4	csgD//hybB//
GO_0009597_5	mraY//
GO_0009605_3	trpA//yghB//ybhF//rrrQ//htrE//mepA//mlaE//ycjP//glk//shiA//argD//map//malQ//ompW//ftp//pspC//yihS//fimG//flgD//fliG//rclR//malP//insE-1//rpsG//hisB//lldR//ptsP//oxyR//dnaX//yahB//yjaA//yobA//feaR//prpD//ybiO//nrdF//metK//nudC//proV//ygiW//envC//satP//syd//eutN//ydaC//hyaC//djlC//basS//rfaH//rlmL//nfuA//rutF//rutE//csdE//ydeO//paoC//ade//ompC//adeD//arsC//nusG//rpoH//rpsM//msrA//yjiR//norV//rsmB//gcl//ybhD//speE//yahO//ampE//dgt//artI//arfB//nanS//hemC//
GO_0009607_3	folP//zupT//mliC//mdlA//metL//argP//ydcP//rbbA//phnK//yjjW//tatC//ycgR//bluF//yhdW//
GO_0009615_4	bamD//mltD//hemA//sdhD//uxuB//rihC//dsdA//macB//dgoT//rssB//rpmA//acrF//dfp//sdaC//
GO_0009628_3	glmU//ybbW//setC//aer//ybjL//nagD//selD//yfcQ//rseC//nuoE//yagJ//hdfR//narJ//ybhR//cspI//mdfA//fepG//cysA//rbsC//ibsB//paaB//arcA//fryA//argP//torC//csgD//argF//ynhG//narH//hyfC//yihO//ridA//ilvL//yigB//ydiO//fruK//ompG//xdhB//rfaC//narI//dcyD//uxaC//hslU//ydaV//pnp//rbbA//arsR//xanQ//cobS//nimT//rhmD//ubiJ//kdpB//slt//yehB//yieE//rutA//fimB//ddlB//cpsB//waaL//mntR//queA//dgcQ//rplT//cutC//amtB//glgX//lysU//nfsB//dicC//emrD//kduD//chaA//cecR//rnb//yiiM//hemB//hybA//fhlA//dacD//syd//wecB//secM//aaeR//mdtP//rpsT//cspG//xylF//hofQ//prlC//uidC//gadA//dmlA//pstC//mutT//grcA//queC//cycA//yigB//cydB//yahO//menE//insI4//yjfF//yqjI//dnaA//cbl//rutA//tusC//tamA//dkgB//gpmA//hfq//bepA//yjjV//fruA//xseB//mhpA//mhpR//potE//folD//hemL//arnB//metH//yfhH//yigB//uidC//tgt//ynaI//gspE//wzyE//xapB//fnr//gpmA//alkA//ynbC//yggX//ybiV//pykA//rplB//aer//betA//galM//yfcV//gspE//gabD//envZ//yobA//ypdB//hiuH//hypD//puuC//rrrQ//thiP//arnD//trpB//malP//hybD//rhaB//nrfB//rplJ//appB//yggN//manX//pinE//curA//ykgF//rmf//mdfA//yihO//lolE//gutQ//ynfK//pspA//ribA//frdC//lldD//ynaI//metQ//yqgB//hslU//msrQ//mlaE//perR//hdeA//rbn//rlmH//pepN//ilvN//cmoM//yebZ//ribE//gadX//nrfC//ytfQ//tolC//tsaC//mtr//rhsD//ulaC//pitA//rhlB//manZ//exoX//plsX//tatE//rpnD//atpE//arfB//elaB//casE//yqgB//yjeI//proS//eutB//narX//eptB//maa//cyoE//cspC//ybeQ//glnA//malZ//serB//metG//ghoS//phr//rzoR//mppA//
GO_0009635_4	zipA//
GO_0009636_4	tpx//mscK//yidQ//yedL//pepA//bamC//pliG//thyA//yiaF//araH//argD//dctR//yrbG//glcB//lplA//glpD//pgpB//dgcN//yebK//recO//sbp//ykfM//cspA//fryC//napA//sodC//setB//lyxK//lit//tufA//treB//
GO_0009637_6	yjjV//
GO_0009651_5	yiaT//alsA//uspG//flgD//ppsA//metR//
GO_0009653_3	pheM//
GO_0009696_4	yegD//
