#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	greB//cdaR//iscA//hslO//
GO_0009057_5	purF//ushA//rplI//argC//lysP//uxaA//bioF//lptG//flgK//clsA//leuA//dpiB//ldtD//gutM//prmA//moaB//cysW//rpnC//ibsE//nemA//hemC//ulaA//bioD//kbp//gcd//mdtA//panE//ycgB//ygcW//macB//yfdS//hrsA//recO//cspD//msrA//ygeW//srkA//yddG//fliA//dinG//ibsD//yahD//hofO//cmoM//alkA//yafC//yedX//pdxJ//nrdF//nrfD//mhpA//mepH//acnB//lptD//
GO_0009058_3	sbcD//napC//ygfI//ubiB//gntK//narZ//sgrR//kdsA//rrrQ//nlpE//cydB//lptA//pflC//xapA//tsaD//ompR//murF//aidB//hisG//djlC//dhaL//speB//priB//umuD//rlmG//def//entB//infC//hofC//cueO//fimH//yibH//ogt//ldtC//yafQ//lpxP//garK//fucO//hisH//fimC//gadX//potB//dcuA//osmE//yadC//tcdA//rho//evgA//rarA//prfB//srlB//elfG//trpC//yedF//yhjV//yfgI//phnC//pitB//pspD//ttdB//rbfA//mazF//fbaA//cysH//rpnA//tsaC//sbcB//lolD//corA//nagB//sutR//sufS//yedP//rhlE//frmA//gnd//ydcO//pliG//hybG//insI4//panB//nadA//rpmE//tisB//ybiY//sspA//uhpT//gph//lon//hldE//narI//hsdM//efp//pepD//dctA//msrQ//clpB//bioD2//pck//tldD//uhpB//tatA//cbpM//yfjV//dnaA//paaX//bglJ//entC//cpxR//hycA//dcuD//puuP//mgtL//gadC//ynfF//dgoR//actP//skp//lpxL//dmsB//rfbB//yegT//ldcA//xylR//yiiE//bioD1//mglB//shoB//yieE//infC//pstB//ybbW//ycgB//napC//argR//yraJ//aslB//birA//yihS//pflB//ycfS//sdhA//mscM//ridA//ygeA//ybhA//holE//kdpF//tcyJ//sbcD//ydhJ//ypdF//ytfQ//abgA//lpxM//yfdR//orn//rluA//dcuR//iap//yraH//rapZ//pppA//mdtK//uspC//dgt//bglH//ribB//fliT//higB//chbB//alsE//potI//recG//sapB//rpsT//cmoB//gntP//yebZ//gfcE//mhpB//yeaV//leuO//pflA//dgoR//slt//arcC//ygbL//yigB//hybB//pepA//hprS//sdhC//slt//pyrD//yneL//menF//rutG//sfmA//yhdX//fadE//plsB//seqA//tcyL//idnO//feoA//ascF//wzc//hcaF//smpB//gcvP//yfdC//rzoD//nsrR//yfdO//rluC//cas1//proP//yhjB//deoB//gadB//rdgC//lapA//ygjK//bcsQ//xapB//btuB//npr//clsC//ttcA//chpB//glmM//mscS//intS//nfo//phoB//hdhA//rsmI//chbR//fimF//narU//rapA//ydbK//dsbB//rhaA//thiQ//murR//purU//kdpB//eutN//srlB//iscS//yfaE//ybaT//secY//ribE//aroH//cysH//yraK//yahI//sdhD//argO//rluA//mlaB//hemF//ldtC//amiA//hycA//ydiR//rihA//ybbN//mrdB//ftsQ//gutQ//aidB//kup//hflC//rcdA//ytfQ//dgkA//yfdO//yheT//hisB//hycH//mdtI//lit//lysA//yeeL//mgrB//yohC//yfaU//ybiX//aqpZ//purU//nuoM//mcbR//cpxP//yibT//fimC//mdfA//argH//mqsR//cueO//rsmG//mreB//ubiG//yfcG//patA//cpxR//fhuD//alsB//entD//dcuR//fkpB//spy//prlF//holD//priC//cytR//ulaD//pstS//sgcE//ybiA//ivy//purD//btuC//rzoD//yggP//araB//cvrA//shiA//fliS//yjcE//msrQ//arfA//nikB//rpmJ//crcB//menF//btuC//apt//hpf//proC//ybdN//ydcM//hybO//glxK//bioD1//gltP//rcnB//mdtM//kdpF//sbcB//rhaM//bssS//pheA//cyaY//ackA//cysQ//yjjB//modA//fes//gltK//rnt//abgT//rlmL//yfjR//manY//rpoE//ribB//yggP//rhmD//mnmE//wzzE//lit//gadC//paaG//ygaH//arnT//ydiQ//livK//flgD//arnA//ygcW//mppA//uhpC//mutM//uspG//sugE//yccS//galM//serC//mtlA//prmA//yjjV//nlpA//fadD//ybiS//mtnN//yhdH//phoP//insH-5//mngR//phnC//hicA//waaS//aqpZ//cyoD//rcsA//nrdB//yqcG//ldrD//yiaL//ilvD//rsmI//adiA//chbC//rtcB//yibH//uvrD//yfeX//wbbK//pdxK//ndh//rsuA//ruvC//lsrD//ccmA//mdtI//ybfE//hemC//fimI//acrF//helD//rpnB//yceD//barA//obgE//ung//tyrB//aaeR//pppA//glpB//yccA//rfaG//cysZ//dps//mdtB//exbD//aspA//rhtB//sgcC//cydA//metE//hmp//panF//purL//hybF//fadL//casC//zraR//torD//gpr//oppD//yhhT//allC//ynfF//rpsI//yebQ//ftsE//fkpA//mutH//pgpB//fepG//nikB//ssuC//folA//nudC//ribE//argP//ygbM//trmH//erfK//oppD//slt//epmA//arcC//ogrK//gcvT//rpmC//livJ//hcaT//ftsI//wrbA//mobA//htrE//pepN//insE-1//pgi//cyoE//hpt//idnT//dps//dhaR//gpr//recX//purF//yehT//uspB//ybcC//yidL//gpp//glnH//adiY//lptE//fimA//yejA//sthA//lysA//ilvC//yegT//tldD//moaA//ygbL//phoP//mmuP//rcnR//glsA2//aldA//yciH//mdaB//abpA//ubiE//aroK//yihX//ybdH//fruB//lgt//nuoM//yjiQ//curA//ppc//yhdW//elbB//epd//ybhF//fucI//ppk//rfaG//flgB//rclC//grxD//ygbI//paaE//mliC//trpC//yahD//thrL//emrB//glvC//fic//secA//tig//rng//btuB//trkA//btuB//araC//dgcN//fepD//gpmA//ldtB//cof//gspI//amiD//murC//araG//yqjI//ldtC//plsB//folP//nanC//rlmH//lldR//ydcP//cpdA//fecA//ycbX//macB//rplT//ruvA//nuoF//norV//glcB//ssuC//ynfL//kdsB//atpE//mak//argI//yafN//ygcO//dgcZ//malG//frwC//mntP//nudB//prfA//hprR//recN//gmhB//csgG//pdhR//elaD//moaE//mmuM//argK//yggX//yegS//barA//rcsB//pntB//yoaA//ihfB//soxR//insK//rlmL//ytfQ//gltL//tusB//hdhA//ycbB//decR//wecC//yghW//intE//pbpG//yhgH//acrB//hinT//abgT//ampD//gadA//yihT//hiuH//nikD//katG//artQ//cof//rclR//fadH//trpGD//ydcM//nanK//ykgA//ycjP//ytfP//tnaB//sufB//ynfK//yqcG//pck//waaF//accB//tmk//nagD//fabB//yjiX//napC//uof//ptsG//rlmF//ybdO//mltG//ulaF//yejF//fimA//ydaC//hda//nrdR//tufB//ftsA//sfmF//rzpR//thiI//menB//cspI//zinT//argF//yiaT//kdpF//higA//solA//mtn//creC//glxR//cpxR//moaA//ibpB//citX//cirA//intS//rsmJ//ygfX//ydiF//pflB//betI//yidP//yciE//ppx//pnuC//metG//sfsB//holB//lpxB//ftsQ//cspD//rutA//yiaM//yedA//hybE//flgC//potA//sgrT//ykfM//ynjA//menB//flgA//ulaA//elbB//yfdO//sufS//yqjI//trxA//ygbI//yjcS//soxS//sdhD//ydeM//phoA//waaU//rutB//ompT//rlmA//fmt//nirB//etp//entE//phoR//bglA//fepB//epd//trpS//bamD//glpA//gsiD//cadB//ftnB//yhjR//gatZ//fadH//livH//ydhC//yjbH//ydjH//argI//marA//
GO_0009059_5	frvR//atpF//holA//spoT//sfmH//cspG//tbpA//uhpC//ybaM//fimZ//yejF//lptE//fdoG//gltD//rssA//fucA//entF//hinT//trkG//aaeB//acrR//mepH//rpsQ//pitB//rcsB//phnO//agaB//rpoH//yqjH//citG//abgR//mgrB//smpB//xisE//cysW//gudD//torZ//malX//eptC//zapA//paaK//menH//guaB//btuD//rbsA//groS//radD//rpsA//purF//gph//yfgO//pitA//ilvB//ygfI//efeO//yceD//gadC//hdhA//agaD//yhjX//rpsA//rhaT//apt//mpaA//flgG//lhr//mdtQ//opgB//ydgA//aroP//rbfA//fimD//nudC//lptG//tauC//mntH//ruvB//yebC//soxR//lpoB//cobS//cas3//alpA//borD//ydiV//tamB//artP//mdfA//rzpD//ssuE//pflC//gabT//fabG//kbaZ//yciA//lpxB//nikE//emrY//araH//glrR//ilvB//iraM//mgrB//lpxH//nrdR//garR//ymdB//phnM//dgoR//fklB//dmsA//puuR//csgE//narY//uxuR//yfaX//mqsR//dfp//recE//cycA//hexR//elbB//hyi//rcdA//moaE//dicB//ppsR//yehA//lldP//aroP//fdnI//csgB//wzc//murP//waaS//dnaN//ypjD//hexR//ecpR//rclB//rhmR//yjbG//cyoD//tcyN//exoX//hybO//murA//agp//argK//trmA//yajR//era//lptD//gspJ//hofC//yqcG//potI//gluQ//glpG//fliZ//cheA//yoeE//fryA//elfD//aroG//bioD2//folC//pntB//dgcJ//yebC//purU//thiD//ymgF//serS//mhpB//nupX//ygjR//gltX//uhpC//nadC//ubiG//gloB//ubiC//ettA//priA//lolC//ydiB//frmB//tpiA//cmoB//yhjR//ygjK//thiP//sfmH//ggt//yihO//pbpG//ampE//crr//narZ//mgtA//secG//artI//mliC//nrdB//pitA//nagD//thiM//glnQ//serS//ygjR//folM//iscU//setB//rluF//ibaG//potI//rfaQ//dgkA//yihX//leuA//ldrB//rffM//kefF//ygfA//dxr//pgi//pdxA//ycjD//lptF//cho//ssb//dpiB//lspA//fkpB//hcp//torA//yjbB//adeD//intZ//ibsE//waaL//accD//dgoA//paaB//holD//lptE//kdpF//livM//znuB//garL//frlB//yfiE//ydfG//ccmC//accA//yhcH//ssb//yhdJ//araA//mlaB//narX//yjiM//cysN//katG//ppc//fixC//xseB//emrK//yhcH//dicA//yehA//yeeY//tatB//epd//ybhF//yneL//rclC//kdpB//rnpA//rplD//ytfP//lspA//yhjB//mntS//hisA//moaC//norV//hchA//ybeF//pykA//livG//yggW//ycjY//yidK//leuS//cyaA//blc//paoC//rzoD//borD//galF//sfmA//dkgB//tcdA//napA//cca//rsmG//opgB//zupT//frmR//gmhB//basS//yfcP//kch//csgD//csdE//
GO_0009060_6	rlmI//gsiA//dinG//glsA1//dicA//malK//mdlA//cca//bioD2//dppB//opgC//rzoR//tdcE//dgoR//thrB//puuC//yibH//yodD//tilS//ygiW//menB//envY//recJ//hisI//tktB//kbaY//
GO_0009061_6	hslU//pdeF//pnuC//dhaL//mdtQ//pstB//rhaS//ompL//mltA//cbpM//yihL//mngR//yidK//yihW//paaB//maa//folP//hybB//sfmC//slyA//araD//rpnC//upp//gloB//dps//tgt//ychO//envZ//waaQ//purL//gsiB//ydjK//yjhI//ispH//nfi//atpA//uspB//umpG//yfgJ//yhjG//ydeT//uidA//argR//lsrR//rbsC//kefB//azoR//nadK//narU//yqiI//sapC//alaC//ycjU//fabG//srlB//
GO_0009062_6	dctR//mdfA//pnp//nirB//purD//gltD//guaD//wbbK//lpoA//menC//aidB//yigL//rstB//dadA//btuB//allR//paaB//xylH//shiA//pagP//folA//
GO_0009063_5	narI//agaC//cutC//yddA//cobU//pitB//tsaE//mdtG//nlpE//yjtD//yhiM//moaB//mepS//cusC//glgX//yebG//dppF//yjiX//rpsJ//yhjV//glyS//queA//afuC//ulaF//intE//entC//eamB//nfuA//fecC//fau//yfeR//dppB//lldP//mhpC//acs//hlyE//recX//rffT//pdxB//proC//acrF//recD//yhdJ//mepA//dgkA//nuoG//mltG//mntH//ccmG//moaD//yoeB//citX//fepE//glpC//lspA//
GO_0009064_6	eutK//phnL//gutQ//ubiJ//hslV//glgP//hybC//barA//plaP//rplP//murF//mltF//glnK//clsC//yihU//brnQ//yahI//shoB//ansA//yihT//yhhT//yggE//mmuP//qseB//paaG//rrrD//msrA//ldrA//icd//pgpC//fimE//lapA//blr//priB//feaR//rfaQ//ppk//arsC//yaiV//alaE//arsR//malG//tcyJ//yijE//ynfH//lpxH//
GO_0009065_7	deoR//yggE//nrdB//djlC//ybiH//viaA//alaS//yfiE//kefG//modB//nfo//dcd//wecC//yebQ//mdfA//dgcJ//hofM//yaaJ//
GO_0009066_6	glnQ//csgB//yfjV//yheT//rfaQ//aroL//hflD//puuD//ybiT//galR//ccmA//cmtA//yceO//glrK//sgbE//pabC//dapD//agaD//yegS//kdsA//flgC//yraI//narH//dppA//accA//xapA//yiaM//gpp//hscB//phnO//cmoA//csgB//acs//clcB//alaC//xanP//mdtD//fhuD//ptsG//tatB//ytfP//opgH//serA//moaE//yjjV//plsB//mnmC//fliG//
GO_0009067_7	potC//smpB//gadX//lgoR//manA//idnD//uhpT//fimA//ybcQ//lrp//moeB//intE//agaV//mliC//gltD//opgB//ridA//rbbA//glgC//yjhI//sapC//hyaC//cydD//ftsL//uidA//grcA//
GO_0009068_7	cheR//phoA//sspB//artJ//trmO//paaA//aes//cycA//uspE//ynfL//hofN//fhuB//insB-2//
GO_0009069_6	yfaL//yiaF//mutT//zinT//nuoI//phoQ//yciV//dbpA//zapE//ratA//acrR//serC//sfmD//aspA//rnpA//phoU//dtd//uxaA//helD//paoC//yeeJ//ftnB//hldE//alpA//yjhH//yafQ//insI-2//ybbW//fimA//mog//yjiM//rpsS//thiI//rnt//rnlB//ttdR//
GO_0009070_7	ugpE//yqjA//malF//rplT//casC//hmp//ycjD//cdd//narJ//recA//hslJ//mglB//yjfF//yddL//prpB//mcbR//ygbM//dauA//phnN//decR//
GO_0009071_7	flhE//nmpC//nhaB//malQ//lolA//hemA//ycdX//potB//tolR//ffh//ygaV//yieL//rplT//actP//
GO_0009072_5	ligA//ptsP//uxaA//ftsE//yfdK//osmE//rpmC//nadB//rluF//rpsL//fetA//secG//lsrB//ybeY//ulaA//nrfB//cyoC//nimR//trg//uxuA//uvrB//rplW//ais//slyA//
GO_0009073_6	nudC//nimT//coaD//adeP//yfcU//dsdX//uspG//kup//ispB//glgS//yegT//fadJ//uspE//tdcG//pstA//yceD//fimA//hybE//htrE//hemC//fbp//
GO_0009074_6	selB//holC//cvpA//
GO_0009078_6	mgrB//bipA//amiC//tilS//glvC//kduI//mraZ//
GO_0009079_7	rzpR//cpoB//ulaB//grcA//
GO_0009080_7	tusE//tdcR//lysU//
GO_0009081_5	fabA//elaD//pta//gatD//tdcE//yehD//ykgO//crl//trpD//yggX//rplX//nrdG//dcyD//sufB//chaC//alsK//yhhZ//prfA//ydaN//gluQ//yfeO//dgcZ//
GO_0009082_6	actP//gatY//aroB//recO//yidA//sucB//cspC//cysP//pmbA//ydgA//msrB//uhpC//ubiX//csgG//flhA//cpxP//ttdR//sfmA//
GO_0009084_7	yiaN//torR//nuoH//iaaA//csdE//yihI//tsx//galU//xylG//uacT//rpoD//prs//amiB//yfdG//rnr//hofC//ygcO//fdhD//htpG//zapC//yfeW//acrD//maa//fimE//rpsQ//
GO_0009085_8	alkB//tig//ydaN//fur//yhhT//gltS//ybjC//rpnC//fhlA//ybhF//ghoT//argE//
GO_0009086_7	rhaB//fepB//lptB//frvR//sugE//etk//phnJ//murR//caiB//
GO_0009088_8	acnB//yjjB//
GO_0009089_6	gltB//hyfR//ytfP//lolC//glcB//insI1//ydiO//fabH//ycjD//
GO_0009090_8	yieL//trpGD//leuB//ydiP//
GO_0009092_7	rnb//yhjX//cyoE//zraS//yiaT//intE//
GO_0009093_7	ilvE//agaV//yfdS//rtcB//insI-2//
GO_0009094_6	uvrC//cysI//araB//ltaE//
GO_0009095_7	proB//mdtP//phoP//ssuE//
GO_0009097_7	tus//yfiF//ilvN//mgtA//mglC//tisB//yggW//
GO_0009098_7	sbmC//cpsB//rhaR//napB//gltD//mltG//acnA//
GO_0009099_7	lysS//slt//rutC//ugpC//recT//idnD//tdcA//dnaA//ynfK//yjcS//
GO_0009100_5	bdm//sbp//hslV//zipA//hisD//
GO_0009101_6	plsB//
GO_0009102_6	speA//ecpR//rclB//ade//fliT//yahF//aspA//mcrA//fadI//hxpB//lgt//cysE//tbpA//
GO_0009103_6	yehU//nikE//dpiA//cyoE//cysP//oxc//tnaB//malK//bdm//rplX//caiT//
GO_0009106_5	flgE//ypdC//
GO_0009107_6	nanE//yhgF//
GO_0009108_6	soxR//acrB//bdcR//yadG//arsR//ppsA//yghB//tsaD//yaaY//yjjG//bglB//fimZ//oppF//garP//ptrA//mscS//rdgC//lldP//hyaB//rlmM//uup//mobA//dgoD//mobA//entE//gudP//znuC//zntA//pgl//rpsN//rpsN//pflA//cysA//yaiV//gpp//holC//yobA//abgT//glpK//tsx//speC//lacZ//sucC//katE//metH//bamC//topA//mscK//ppsR//cbl//yphC//casB//yjiR//yaaU//hyfF//prfC//dps//livM//talB//uvrD//glcF//fpr//ubiC//ydjL//lysR//frvB//yraN//hns//lipB//ybcC//aaeR//ptsI//fadH//ubiH//flgD//caiF//casB//ampD//ygfI//dicC//aroA//fimZ//gatA//nlpA//pgaB//fabB//guaB//nrfG//glmS//sufC//rpsA//ompW//gapC//prc//cra//yhgF//yifB//gltB//mepH//hrpA//yihT//nuoG//lptC//mntP//mlaD//fetB//glgA//rsmG//yidZ//ybjN//
GO_0009109_6	yjaA//yiiD//pheM//nlpI//narQ//
GO_0009110_5	ompC//tdk//ykfM//insA-1//prpC//ybiV//cof//citE//gudD//bhsA//mazF//yjaZ//appY//insI3//ycgB//pyrL//bioF//ynbB//rpmJ//mnmC//rfaF//speB//rihC//ynaI//ydeE//talB//yneL//rclR//hisI//yhiM//tdh//menF//hypA//recX//yahI//yneE//yahO//hybO//ynhF//pflA//secG//lysO//araB//chaA//srlD//yciH//ynfL//mprA//torR//hemG//wecC//frlR//trpD//ydaC//proX//acrZ//ybdM//
GO_0009111_5	alsB//allR//gltL//cobT//
GO_0009112_5	essD//hypE//flgD//ydfG//elfD//pgm//appB//gloC//degP//ggt//yaiP//ldrA//sufA//rfbB//srlB//dhaL//cadB//trpC//rhaS//recA//citC//rstB//ampH//iscX//tpiA//gntK//yedA//ssuB//glcF//gpmM//phnG//ilvH//talB//cusB//hscC//fadM//
GO_0009113_5	cmoB//fixA//tauB//fucP//tatD//
GO_0009114_8	frlB//
GO_0009116_5	lplA//gcvA//insK//rzpD//napF//cysI//tnaB//ybiJ//scpC//pgpB//ybjG//yijO//sapC//lplA//pal//rpsM//sucB//pdxK//nudG//sad//pitA//nagB//ybhA//msbA//hybC//proS//tolB//codB//envY//ycbU//cvpA//plaP//wzb//recC//yfcF//agaA//rph//pgpC//mltC//hemL//
GO_0009117_6	leuB//rbsC//folM//mhpC//fadB//atpA//tcyN//chbC//kdpD//rpsD//nagC//ydiV//rfaE//rsgA//allC//sapA//mntS//ssuD//ydeO//cbrA//wecA//fic//opgD//argP//rdgC//carB//brnQ//lon//cysE//tdcB//glgA//paaX//hypF//zapB//preT//plsC//yihT//folD//tsaC//gabP//sugE//erpA//ldcA//spy//dnaK//kdpB//yfhH//ypdC//zipA//ptsH//yfcP//yggN//secY//envZ//cstA//dapB//mrcA//tsaE//deaD//ydeI//narY//waaS//yhgH//dinI//caiT//gatA//yneL//wza//yggP//recC//dppC//yihT//gadC//yafC//ggt//adiA//ivbL//abgA//deoC//bdcR//dgcF//yphB//mipA//allR//cpxP//tamB//xerD//degS//ddlB//rplX//ecpR//aer//phoU//mngR//ybcJ//gspI//rpmC//holC//ftsA//yafE//rpsE//rhaT//tcyJ//ccmA//
GO_0009119_6	mepH//purR//rutA//potF//lptE//dsdX//casA//ilvH//entA//fdoI//rfbX//btuD//rhtB//dctA//emrD//yegD//rodZ//nrdH//yadG//mutS//phoA//yoaB//astB//rcnR//cyaA//yhcN//lptG//kdsD//ybfE//mdlB//thrA//ycjQ//pabB//hisF//fdx//
GO_0009120_6	rpsH//srlR//murB//dapB//
GO_0009123_6	priA//fucA//yjiA//narG//yiiD//rpsN//sdhD//dsdC//ccmF//csgG//waaP//insI-2//mlaD//cysE//pckA//argC//fabI//yjcS//rseC//rimJ//ilvM//mazF//flgB//yiaB//uxaA//cbrA//ycfJ//zitB//pflB//yjbF//lgoR//dgcE//proB//appY//lpp//ybiW//aldB//hisF//trmI//malE//envC//ybhP//psd//dacD//ychH//yraN//
GO_0009124_7	rclA//znuC//cyoA//yadI//thrS//fsr//mscK//bglH//fiu//ynjA//recR//yhjC//crp//yjjV//thiD//adeD//cof//dapD//phoQ//yaaU//plsC//rutB//tsx//yqaE//hyi//uidR//alkB//nanC//rplP//yihQ//oppA//cusB//asr//yjcO//chbA//djlC//mrp//
GO_0009125_7	argB//satP//rnhA//ycbV//yejA//
GO_0009126_7	yieL//rpmJ//pcm//ymgC//yfgI//ycdX//serB//intQ//ypdI//cheA//tktA//metG//pyrG//stpA//nadE//waaQ//mdtP//mdtJ//lldP//mlc//alsB//purF//flgD//cysW//dnaT//malK//ypjD//lpxK//ybiV//cysI//nrdD//marA//yfcA//rhaB//
GO_0009127_8	viaA//sgcE//yfcU//tsf//ribA//ybeY//arnT//lpoB//pspF//nhaA//malK//ydhC//leuE//dcm//nuoL//trpR//ydbD//chbG//aroH//yehX//alsB//yceK//bamA//bioD//yfeW//araG//kup//uhpB//etp//rffT//
GO_0009129_7	cbrA//cyoB//rcdA//yifB//oppF//dppB//waaB//citX//pdeK//cyoA//
GO_0009130_8	pykF//yjcE//metB//yajD//tmk//
GO_0009131_8	mutY//yhbQ//pgpC//ubiE//nanK//
GO_0009132_6	hisC//clcA//ddlA//tnaA//ibsD//yhbX//cspC//atpG//truD//tcyP//ydiR//ais//purL//casD//dppB//proA//gldA//ycaO//lptA//yigL//fabB//fepE//deoB//mutL//cysW//
GO_0009133_7	dmsA//hisS//yjgX//
GO_0009135_7	glgX//ybiT//ldrA//bamD//ybiS//entH//yagF//yehZ//uvrC//csgD//gstA//gppA//glpC//lnt//pstS//intS//sufS//trpGD//murB//uxaA//yijO//hycH//napF//
GO_0009136_8	ybdG//
GO_0009138_7	helD//csgE//
GO_0009139_8	metR//gnsB//
GO_0009141_6	ycgR//clcA//cca//rutD//gcd//pabC//ettA//fdnH//sdiA//yagU//ycjW//yacG//rluB//dnaG//crp//gltB//nagC//nfi//yahK//ampD//rplR//mdtM//ybhJ//holC//yegS//gsiA//narG//hlyE//pyrL//elbB//rimI//yafE//nei//ldtD//eamA//dacD//dnaX//ubiJ//
GO_0009142_7	yidD//rapA//tdcA//yidH//acpH//ychH//trmJ//potB//caiD//xylH//tdcB//secA//gor//rffC//tusE//lsrR//mutY//fkpA//bglA//cspC//recQ//aldA//etk//yabI//glnH//napA//lgt//cobB//
GO_0009143_7	tusA//cirA//ybhP//purA//
GO_0009144_7	holD//uxaB//yedF//yfeD//torR//abpB//mutY//mntS//ddpA//ybaQ//citC//ygfX//zntA//glrK//trpE//yacG//yidK//proP//ilvE//intS//phoP//yajL//clcB//hslV//rnhB//xapA//fixB//zitB//narZ//hinT//elaA//
GO_0009145_8	lptC//gapC//ssuB//bfr//pdxK//elaD//ybiS//yebQ//lpd//treA//cmtB//uspG//livJ//argA//emrD//kefG//ratA//betB//fimG//dld//arfB//lhr//ygbN//
GO_0009146_8	fhuD//fliG//
GO_0009147_7	creB//tdcC//rhsD//yfdC//
GO_0009148_8	bglA//cynX//
GO_0009149_8	tsx//mgtL//
GO_0009150_7	purN//rodZ//aceB//ygdG//purU//rpmC//metK//gcvA//ghxQ//fhuC//yqgF//ghxQ//waaJ//uspG//queA//folA//prfA//rpoD//ppiD//paaC//alaS//rpsL//malI//yhaM//dhaK//rffH//nuoG//caiF//mlaF//insI-1//hisD//nagE//nuoL//yddA//lysU//lptC//nusA//prs//narI//garL//melB//ptsI//ttdT//pgrR//ynfF//pth//mrcA//maeA//
GO_0009151_7	rplO//tauD//
GO_0009152_8	intZ//sgcE//fabD//prlF//glxR//yciG//cysW//pgpA//ibaG//elyC//pspA//murJ//astB//waaQ//torC//tadA//mprA//codB//pdhR//yhbQ//cbeA//serA//ridA//solA//ybjI//rcnA//yjbB//oppB//ulaD//ebgR//ftsA//purL//pck//trpS//nudF//potE//gudX//
GO_0009155_7	nanS//aroG//
GO_0009156_8	yraK//tsgA//rlmI//malS//frwB//hdeA//csrD//xylR//bglJ//yedA//pyrE//tap//secB//ygbM//queC//ydeM//trpE//mltG//yggN//cycA//rplM//fliS//rseP//serC//rzoD//clpP//rnlB//gmd//groL//yfbV//arfA//ybcL//betA//
GO_0009157_8	citE//yihS//cpxR//tcdA//
GO_0009158_8	eno//yfaL//mdtC//seqA//adhP//
GO_0009161_7	nanS//dedD//dctR//ybbY//mazG//mazF//frmB//valS//rfbC//tsgA//ilvL//rne//yehZ//yhiM//rplO//rssB//aer//rutC//ptsI//yagF//ydiF//fimB//rpe//sdaB//rutA//clpA//alaE//tyrR//basR//pckA//ygiB//frdC//ydiR//entD//pntB//truD//ydjE//cobC//wbbK//xapA//yaaU//chaA//
GO_0009162_7	tbpA//ubiE//kch//frlC//
GO_0009163_6	hflD//acs//dusB//yebG//aceB//argS//paaJ//cvpA//ybiW//ydgA//rpoD//cyoC//nanS//yagF//rpsI//priB//ypdI//uhpC//dmlR//
GO_0009164_6	hokE//hsrA//cadB//rfe//livM//narU//evgS//phnH//hdeB//gudX//hemC//nikD//citC//
GO_0009165_7	araB//mdoD//pagP//murP//entD//fsr//eutN//ydjK//pepT//ihfB//cspI//iraP//mutT//dctR//yabI//insA-1//nrdA//glcB//rpsB//thrC//xylF//rnhA//leuS//yfcU//rpsQ//rmuC//hslR//rayT//ubiI//rlmG//yjcS//yjbE//yciH//pdhR//ygbM//mtlA//pheA//yghG//rstB//speC//secG//yeaV//fimF//add//tauC//macB//mgtL//glgS//araE//nrfD//mdtP//folM//fabA//putA//rlmN//alpA//yahD//hisM//yddM//rpsD//cpoB//chaC//ompA//mrdB//pstB//ygbM//uvrA//yeeY//alkB//atpD//rpmA//
GO_0009166_7	iscA//torA//glnA//yjaA//ymjB//gabT//nudG//frdB//gadW//yraN//lpxH//trmI//yidL//lptF//rarA//ompF//yjcS//ycbV//tolB//yiaA//oppC//abgT//recX//ydjJ//uxaB//epmB//xisE//gnsB//potA//purR//ftnA//
GO_0009167_8	ghxQ//cadB//mgsA//ldcA//rpsJ//puuE//wzzB//wecB//lsrK//rcsF//ruvA//pyrH//dnaG//chaC//acrF//ybdR//sugE//mtn//cpdB//kdsB//chbC//hyaC//fadB//hslO//exbB//fecC//ycjP//dicB//melR//xapB//fimF//iscS//cra//hypA//
GO_0009168_9	xseB//iscA//yidL//hemD//matP//bepA//secD//argR//yhbQ//atpA//pheS//yeeA//nagZ//efp//elaB//agaD//garP//fsr//nuoN//xisE//dgoT//proV//etp//bamC//hcaB//mmuM//rpsK//aroD//nuoF//dnaE//
GO_0009173_8	rapA//paaG//ycjW//pyrG//aer//livK//sapD//
GO_0009174_9	narL//fdhD//
GO_0009175_9	ribF//pbpC//rzpD//pfkB//hiuH//
GO_0009176_8	mlaD//nuoH//ibsC//
GO_0009177_9	prpB//rplY//hlyE//
GO_0009179_8	rpmF//yfiR//gmhB//tap//nanE//yiaJ//alsA//tisB//focA//yaiV//patA//cueR//alaA//glpB//recR//sgrR//ycfS//zapB//hicA//mdtQ//lpxC//tatE//hflK//
GO_0009180_9	dauA//
GO_0009185_7	rimL//leuE//clsC//arfB//phoQ//ssb//tusC//rtcB//ribA//yaiV//exoX//sugE//ortT//glnH//yciT//xisR//gntT//tnaC//ycbU//cvpA//rcsA//eamB//yjiQ//purD//
GO_0009186_7	birA//
GO_0009187_7	ydcT//ydiZ//
GO_0009188_8	yqaB//rhlE//
GO_0009189_8	rfbB//
GO_0009190_8	umpH//rnlB//
GO_0009193_8	ssuA//
GO_0009194_9	metR//
GO_0009196_8	fklB//
GO_0009197_9	rbsB//
GO_0009199_7	tar//elfC//nlpA//dgcZ//bepA//gspI//opgC//fepB//cobS//matP//lptG//paaZ//gapC//narL//gph//ispF//rnhA//mltC//ivbL//moaC//cobS//uspE//tmk//citE//zapC//thiL//ccmD//mug//artM//hemA//pmbA//
GO_0009200_7	dnaB//waaY//nikA//ybdR//
