#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	flgA//thrL//yedP//fryA//
GO_0009893_5	pck//mglB//yhjA//serA//cbpM//rbn//thyA//tcyJ//tnaC//mcrA//ybjL//gpr//gor//paaC//yhaJ//moaE//oxyR//aroE//yidD//araH//ubiH//kbp//serA//hcaD//rffC//sucD//ssuC//treB//bamE//hisD//sulA//nuoI//ybcC//ybiH//bglF//parC//mnaT//glsA1//yjjG//yihV//dhaK//relA//mtlD//hcaE//sapC//yhcF//tolB//yqjH//hiuH//dosP//sufD//rcsD//rseC//yraN//rsmI//mog//livH//phnH//tdk//rusA//yqaE//hypA//arcB//yegD//ydjM//yciH//yajQ//treC//hinT//paaX//ptsP//cusR//gatD//ycbV//setC//cysH//mltD//mdtB//waaG//rraB//basS//queG//nuoE//tolA//nhaB//puuB//bssS//pheP//puuC//kgtP//ghrB//narX//nikE//chbG//ybeF//ymdB//mtlR//narL//pyrH//
GO_0009894_5	tamA//hemE//lolE//lysA//ibsA//nrdD//ilvN//ybdG//cbtA//ugpA//cspE//gmhB//fetA//pbpC//
GO_0009895_6	dkgA//sapC//galF//dps//
GO_0009896_6	mltF//umuD//lgoT//
GO_0009966_5	setB//
GO_0009968_6	atoB//
GO_0009970_6	tesB//dusB//lldP//
GO_0009972_10	udp//
GO_0009991_4	frmR//radA//queG//rnc//thiG//osmE//rutR//cysB//minC//csgB//envR//nfi//wecC//yobF//panD//yhaO//mntS//acrF//rpe//yodD//eptB//ycjP//uof//ytfQ//abpB//rcnB//ortT//mpaA//rrrD//ybjI//nanE//infC//pstB//dsbD//cptB//speE//dkgB//lspA//mfd//yejA//fryC//pdxH//ecpR//yaiV//pdeF//phoQ//creC//ubiG//glxR//dsbD//ppk//abgB//afuC//ompC//mcbR//brnQ//serC//hycH//frlB//insA-2//rlmF//gntP//yhjG//
GO_0009992_5	trpGD//araG//ygbN//hokB//
GO_0010033_4	yidQ//msrQ//udk//exbB//idnD//uhpT//napD//ibsE//ygdG//ydiF//yehB//mhpB//ghrB//yrdA//ygjK//rpe//kduI//tatD//entB//glgB//menH//pyrH//rhaB//ybaM//paaB//rnr//solA//appY//plsC//metK//emrY//tdcC//nadE//cra//tusD//gcl//lptA//metI//rffG//ccmE//chaA//mdtP//glcD//
GO_0010035_4	cysS//fimD//suhB//degP//der//galT//glpR//cra//lgt//yagG//rcnR//serB//phnK//speF//ygbN//aroG//glcF//deoD//sseA//wrbA//umuD//yhdH//mpaA//ibsB//ybaE//ydiO//lolD//kbp//cmoA//flhA//treA//rpmB//iscX//feaR//potI//yhbS//purC//gltP//argG//rplQ//waaF//basR//aaeB//gcvA//pgpB//proS//caiD//ftsI//lacI//yhjB//rluD//lptC//hlyE//cysI//hyaC//bepA//mlaD//ycjQ//aceA//fucO//dsbD//yeaE//dppA//tufA//zraS//gpt//ybaO//atoB//cas1//yciE//ynfH//xapA//yebK//yjfP//glgB//rsmF//
GO_0010038_5	alkA//lpxC//yfaE//ycjU//cyoD//sapD//lsrG//treR//pfkB//yiaO//lolA//tpx//dgcZ//trkA//mnaT//ulaF//gor//treR//hcaB//alaE//casA//yihW//yeeY//ydfD//ypjD//alsK//yahB//mltB//phnM//nikD//dauA//cheY//moaE//trxA//plsX//cyoA//uof//kup//allC//intS//dhaR//hokE//tabA//lsrR//entA//
GO_0010039_6	fruB//ompL//gyrB//yjbB//dnaJ//trmA//yiiM//
GO_0010041_7	trmB//glgA//rutC//napB//yehA//uvrA//
GO_0010042_6	ybiH//ldrB//
GO_0010043_6	atoB//insA-2//uvrB//sdhB//bdcR//sapF//
GO_0010045_6	exoX//nudB//rcdA//
GO_0010106_6	lsrR//
GO_0010124_4	yidL//lit//opgB//yedL//ymfK//cytR//bisC//hypA//glgB//yfiF//cynS//gsiC//mdtI//
GO_0010133_7	yhdJ//
GO_0010139_7	potG//
GO_0010165_6	tolB//aspS//envC//araE//fre//dpiB//fliZ//ubiX//mlaE//deaD//ackA//nfo//rpiA//rpsN//hyi//pgpC//
GO_0010167_5	soxS//sapB//
GO_0010212_5	agaV//nsrR//nlpA//ccmH//galR//tsaD//rpsE//glpF//ynfH//pspA//mgtA//slt//rof//hypB//ydbD//ybgI//csgA//torY//dcm//rpsB//ygjH//fimG//gyrB//ghxQ//gmhB//deoD//glgP//dauA//
GO_0010226_6	ygcW//
GO_0010243_5	chiP//yejF//paaB//elaA//rsmF//ibpA//nfuA//rfaC//xanP//ascB//ampE//qorA//dauA//smrA//recN//fixB//
GO_0010269_5	lipA//
GO_0010272_6	kgtP//ygaH//xylA//proP//gstB//holC//
GO_0010273_4	bcp//bioD//ilvB//rraB//yihU//recB//
GO_0010288_6	yfjV//
GO_0010312_3	bsmA//
GO_0010332_6	yfjR//
GO_0010350_6	eutA//pdxB//
GO_0010438_6	fepA//bacA//pgaD//amtB//
GO_0010447_5	yjaA//ubiB//treA//rmuC//yeeL//murC//selU//dgcT//ghrB//yidA//fucI//ade//bfr//yiaO//glmM//yoaA//hflX//mukB//aceA//katG//fliT//
GO_0010466_7	mcrB//cdh//
GO_0010468_6	zntA//rimL//intA//ytfT//narX//gadX//tolB//ybhG//nsrR//yadG//opgG//dacC//lhr//flgH//tolQ//ymfK//mhpA//leuA//fecD//wecA//nusA//der//dsdX//pphA//cysI//yghW//gloB//glmS//yciG//sufD//ybaE//pgaB//eutA//tilS//cspE//pepD//rffG//paaG//yjjG//yadV//pdxY//rpsP//mioC//nagE//ebgR//ycgV//tyrB//nadD//cydD//ndk//envC//dnaC//trpGD//leuB//clpP//yfeD//hemB//ulaD//lolC//yfeX//holC//yfaL//lpxD//fadE//ugpA//eptA//lsrK//fhuF//xseB//pgaB//yfjV//yraJ//rimJ//leuC//pcnB//asd//glnE//sanA//deoD//yfaU//elfA//rpsG//ddpA//rsgA//metL//btuD//yhjD//ftsY//mltD//tdcF//fimB//dnaB//bcp//yafQ//clsB//uxuA//argA//waaO//rpiR//nikB//glgB//ydhC//kch//poxB//chbB//ycdY//aes//curA//puuP//kdpD//djlC//yfcP//codA//elaD//marA//nfo//yibT//sthA//yjjU//fbp//ychO//elaB//mdoD//rnpA//fucO//yedF//hcaC//ytfQ//rng//yccS//ymdB//yiiD//argO//yjhG//yfdK//dapB//ptrA//puuB//ydeO//yjiA//uxuA//frmR//ybhP//lpxL//ybiT//ygeA//tbpA//yidA//glnB//gntR//rnlB//dedD//wecE//purT//pckA//pdeH//gnsB//eamA//mreB//ycbX//mdlA//sohB//sufE//basS//fruK//ygaH//cysG//araF//nuoH//yihO//dppA//yhjV//ycbV//rlmE//nemR//lysO//emrY//fadB//sdhE//rihB//yjcS//rseP//yidH//ytfQ//nrfD//rplJ//lnt//yjbB//fcl//fecB//ydhJ//yagE//tamB//frmB//ymdB//holC//dmsA//ftsH//murG//ribF//dppC//rutA//waaL//nfuA//lpxK//nrdI//ygiW//yhcN//napF//yhdH//ynfE//yadM//gnsB//yidR//yciH//lysC//folP//relA//nuoE//groL//uhpB//iaaA//ycgV//paaA//ilvA//amiA//wzyE//yghG//elyC//iclR//moaD//yafE//glmU//ftsH//waaU//cheB//murF//hemG//hpf//rna//wecC//topB//ilvB//pgpB//tesB//yhbX//intZ//yeeL//pbpC//recA//poxB//recJ//lgoD//rho//emrB//ypdI//queE//dsbB//yciE//rfbC//hybG//oxc//betA//rnhB//yhaO//uspB//insH-5//dsbG//rpsL//ghxQ//cyaY//cspA//wzzE//maa//murI//chpB//rmf//amiD//narG//mutT//entS//idnD//yeiL//yihO//pdxY//caiT//lysU//glnA//rtcR//ybhJ//trmI//umuD//frmR//treC//rraB//tamA//azoR//aaeB//rpoD//gadA//rplQ//modC//ispH//topAI//dnaJ//nuoL//mraZ//fmt//ygbL//mgrB//dgcE//sufE//insB-2//dcd//lsrC//trxC//rapA//pitB//
GO_0010498_6	wcaJ//
GO_0010501_7	yijO//rutA//puuR//radA//yjhG//yebZ//tesB//lit//ung//
GO_0010528_5	argP//
GO_0010556_6	insH-5//paaB//frdC//dinJ//dadA//cirA//torZ//bssR//entD//cbpM//mlaD//greB//soxR//pinE//asnC//ilvE//trmI//mscK//gyrA//rpmJ//yhgH//kdpF//sfmD//ccmG//iraM//lptG//eamB//fimH//rpiA//pmbA//cysS//rstB//glgB//bamD//mdtE//gadW//pspF//tynA//fliL//yqcG//intE//pabA//rsmF//hipA//dld//uspC//yfhH//pstC//ubiA//nrdH//ybhS//galM//cutC//yjhI//narH//rsmJ//yjbF//pspG//gshB//casB//tatA//pmbA//fadJ//hisG//rpsR//sixA//ulaF//yceD//lsrB//rpsK//actP//rbsC//ppsR//prfA//glvB//ychH//gloC//casC//rpoA//ydaN//dnaC//yeaD//fryA//aes//trpS//cspI//btuE//mdfA//glnP//purR//yddA//zapA//yhfK//yjhI//cynS//rzpR//ompW//ychF//eco//agaI//insI4//rutR//yjiA//guaD//sufS//afuB//yohC//proX//dinB//rplE//melR//proP//yihI//dusB//phoB//agaA//yccA//ppiA//cdgI//nfsB//dapB//dsbA//rffG//chbG//ibsA//deoD//nusG//dtpA//psuT//phnL//ispF//lptE//hyaB//pheP//selA//folP//cysD//narY//bamD//fecA//mnmA//mdoG//ydfH//yqjA//yibT//zipA//hyfR//ihfA//btuB//rpsN//umuC//gcvA//yneJ//fhuD//yeaV//cysI//yagG//tonB//ldhA//lacI//azoR//uspG//argR//yobF//yjjB//yggT//codA//yfaX//pepT//yobA//proC//lacI//lpoA//hycB//torC//tehB//adeP//rclR//paaA//hflD//glyS//ydiF//wbbK//rpe//nrfF//curA//tdh//waaH//ubiF//metR//cho//nuoI//frdB//aaeA//lacI//ybiJ//cspA//tyrA//cas3//tcyJ//maeA//gltS//soxR//pdxJ//tamB//ycgB//pagP//prfB//yqgF//rfaC//yjjW//raiA//ppsR//glpB//dinI//dnaQ//leuD//hsdM//polB//phnH//pdeD//sppA//hslJ//lapA//ygcO//ygiV//panF//kdpF//msrB//yqcC//lsrB//speG//gfcE//nadE//mdtA//csdE//gntT//serC//lptA//yhjA//livM//insB-2//yeiL//rbsA//puuR//eutR//malX//yeaK//cobC//betB//acpP//rnr//ygeV//map//bioB//nrfF//ytfT//yqiI//mglC//hcaB//aqpZ//intZ//bepA//npr//mdtA//actP//mutH//lamB//ppiC//mioC//ybjX//bioP//ygaV//glsA1//idnO//ddpX//dinG//moaC//hrsA//gatY//fixB//fixA//tatD//pntA//chbB//flgH//frvB//arnT//panF//folC//hflX//ygiN//hicA//rbsA//mzrA//rapZ//idnO//prc//msbA//nemR//narV//kbp//hybC//yahF//rstB//ascF//uvrY//phnM//yidQ//ydeE//mpaA//recA//
GO_0010557_7	rimO//yghB//yajR//yhbQ//eco//lhr//mdtI//iraP//gabT//creB//waaH//hchA//rluC//bsmA//dctR//appA//rpiA//ygiW//fdrA//uhpC//rsmD//yagJ//uhpB//uidC//ycgV//yedF//gcvH//fryC//xseB//hybO//dauA//fklB//lpxK//eutA//pflC//udp//pagP//nadD//nlpD//rluC//rffC//map//mrcB//hybF//yadK//ugd//uxaC//ulaC//torD//glgP//iscR//yajQ//sufC//nikE//entS//rplR//sufB//lysP//waaP//yedP//puuP//dgcM//rplY//betA//xylA//aldB//epmC//syd//rpmH//dapA//ttdT//rusA//yfeX//glvB//cysI//gsiA//ribE//yajD//yiaO//yqiJ//lspA//yggX//
GO_0010558_7	ubiX//cobU//sapB//elfA//frvR//wrbA//paaK//fimE//cobS//adeP//glrR//narH//phnK//ariR//leuA//ibsB//ydjL//yaaJ//insH-6//deoB//degQ//rsuA//mhpC//rraA//pykF//asnA//napA//cpxA//prpR//yjiX//idnD//ynaE//bglX//uspC//mltG//dcm//oppD//cobS//ygaV//fryB//yfcQ//dppF//purA//chbB//prpD//yiiM//katE//elaA//glcA//gcvP//yhcD//dusC//kdsA//yebZ//bamC//yegS//cobC//rihC//yfdC//rpmA//ptsG//katE//insI-1//mlaE//artP//frmA//ggt//serA//allB//fadI//iraD//rzoR//ygbN//rplI//rhaR//ygfI//tldD//evgS//yfbS//cspG//plaP//yebZ//nrdF//torA//chbR//fryB//paaH//ydfD//manX//rpsB//araD//yedX//yfbR//ydfH//ivy//lgoT//nanS//lysR//rhsD//ycaN//rzpD//yhbS//ybgI//ascB//cdd//fieF//znuA//dgcE//narG//paaF//alaA//yehB//ldtB//ynfK//rusA//yigL//ycgR//yqaE//msrP//yddA//
GO_0010562_7	srlD//nuoI//
GO_0010563_7	zapB//mdtA//
GO_0010564_6	srlB//fhuB//pdhR//bcp//yhhT//
GO_0010565_6	arnE//deoC//yjaA//yfdC//umuD//mlaE//
GO_0010604_6	caiF//yjiR//yebS//lolD//menI//acpH//rutG//thrA//sucA//ebgR//gshA//pal//lptE//murR//xseA//psuG//rpsO//yedA//rcsA//waaQ//cbeA//nuoL//yggE//ybdG//ghoT//ralR//ybfA//ubiX//cysU//fur//obgE//katE//dhaM//fklB//rfaE//mepA//lysC//livK//iscX//phnP//rbsA//hokB//cobC//ahr//yeaE//phoP//yfcR//nuoI//yraH//mcrA//ghxP//ompG//scpB//prmB//rpsT//sgbE//dnaB//gshB//rlmA//csgE//uhpA//fliK//psuG//rutA//arcA//znuA//hypE//rlmC//ssb//sfmF//yjjG//entH//glpX//rimM//ddpA//elbB//melB//guaD//pinQ//pncB//bamB//yjbE//tyrB//artJ//lolE//pgaC//tpiA//ybdZ//cmtA//mog//tsx//ibaG//ybgQ//
GO_0010605_6	csiR//rhmD//tsr//yajD//mutH//chiP//rodZ//sufS//ybcF//malZ//glsA2//insI-2//aroC//dsdC//fucA//yjjG//yhcF//yhbS//topAI//prmA//rimJ//frdC//tdh//yabI//proX//nlpD//ppsR//yhaC//mprA//otsA//speD//htpX//narJ//symE//serC//fixB//yehX//gmhB//ansA//uxuB//fhuD//dedD//rzpD//ycjR//relA//mhpC//fadJ//ycgB//torR//kdsA//appB//nadK//mog//dnaT//fadM//mdtC//bsmA//yidR//rlmL//cysI//yhjG//hisC//wzb//slyD//livJ//yhjX//hpf//ascB//mrp//fdoG//ybaQ//kefC//srlA//pspD//thiC//yacG//menE//rclC//cusC//fdoG//lsrC//ygeR//recD//yabI//rseB//folM//bioC//malP//ais//hupB//panB//higB//yfeW//pdeF//queF//hyfA//ypdF//arcA//dmsA//nupG//rluF//ssuD//mdtM//ttcA//rarD//chbR//yqgB//rne//gadC//rhlB//yacG//flgM//ispH//trpGD//agp//bglH//cysZ//ydjM//osmF//modA//ridA//ykgF//secB//rdgC//cmtA//uidR//flgH//murQ//rsmD//mreD//rapA//dcuB//truA//proQ//yohD//tldD//ygcR//rlmD//seqA//rplD//yejB//yfcV//gcvR//folA//
GO_0010608_7	gutM//rbsR//degS//leuD//trkH//yidA//ptrA//yihU//acrZ//fadR//fabR//sodB//rutD//pntA//yciF//rdgC//queF//gltL//def//gutM//flgA//chbF//napF//betA//chpB//gadC//dhaM//evgS//msrC//uhpA//tpiA//cspD//crfC//yqeG//queF//ydjE//yidH//yjjG//frwD//ompF//pabC//waaS//dosP//pitA//
GO_0010628_7	yoaA//fumA//iscX//garL//ribE//nupG//ypdC//artQ//mlaB//xylG//moeB//caiE//ubiI//cysG//lldR//cysN//dcuR//yddL//arnA//osmY//ybeQ//uspF//pdxJ//rpoH//mrdB//insI3//rlmB//ariR//hemG//eutA//rzpR//pdxJ//dmsB//casB//gloA//aroP//dgcM//lsrK//flhC//lrhA//rbfA//ycfH//yajL//ybjL//rcsB//sgcA//focA//rhmR//lacZ//rimL//sodC//hemL//yihI//narL//lgoT//yafQ//ymgF//fumA//znuA//eutR//wrbA//yfeD//glnS//folP//gpmM//lptC//ygeX//ydcO//ynhF//aqpZ//ftsK//xylH//yfdC//dgcQ//uvrB//rlmE//recF//hokB//atpG//ansA//araC//ynjA//rlmA//
GO_0010629_7	yebZ//yddL//mdaB//secG//mtnN//nhaR//paaJ//hcaB//fadD//yqeF//hycA//napB//citT//sfmF//sstT//cspE//rutR//fes//rlmD//hdeA//citT//atpC//thrC//paoC//amiB//hyaC//mzrA//ymfA//mdtJ//ftsA//nac//ilvE//sbcC//ftnB//yccX//tusC//rapZ//yfbS//pyrD//yceK//insI-2//mdtA//bglX//hcaT//rnlA//holA//pck//nudG//ileS//lpcA//mdtL//hybE//hyi//glpX//livF//maeA//cspC//yhbY//yghG//rfaF//narK//dgoA//yoeE//rhaA//waaU//yiaO//dinI//araE//ndh//arcB//yieL//malE//cynS//dxr//appY//mhpT//dgoA//malS//ypdB//btuD//fiu//acs//flgF//trmH//appB//dnaX//ydjK//yehW//ymfK//intE//cobS//rcsD//dnaG//deoD//prpC//yieE//ahpC//bssS//gltS//tdcE//dhaK//lptG//yfcU//mqsR//rcsF//thrL//nikB//cutC//acrB//luxS//leuD//lpxH//lptA//dld//fbaA//cydA//ubiJ//mprA//ydcO//yfcR//gntU//dinI//eutA//yjhH//tolC//phnJ//recR//frwC//
GO_0010638_7	topA//pth//
GO_0010639_7	zapB//hemD//hflK//
GO_0010646_5	fadJ//
GO_0010648_6	yehA//
GO_0010675_6	ispA//hemE//acnA//glpB//kdgT//fepG//
GO_0010676_7	ybaT//casD//
GO_0010677_7	mreD//
GO_0010699_4	insB-2//phoP//
GO_0010810_5	glnL//dapB//
GO_0010817_4	dsbB//yeeL//dapA//higA//ypdB//cynX//rplX//patA//ascF//ypdI//dsdC//thrS//frwB//yfcP//
GO_0010827_7	pyrL//
GO_0010829_7	arnD//
GO_0010876_4	actP//
GO_0010906_6	tusE//nrfC//
GO_0010907_7	yqiJ//
GO_0010911_5	yciH//gntU//dicA//
GO_0010921_6	wzzE//eutA//gloB//chbB//
GO_0010941_5	pgpA//
GO_0010948_7	rzoR//mazF//
GO_0010951_8	rhaB//tolC//
GO_0010962_7	uspB//waaC//
GO_0010966_8	cysM//
GO_0010967_6	btuF//
GO_0010974_7	frvR//
GO_0012501_4	murJ//speG//glcE//chbF//alsC//cyoA//yfaU//patA//malY//ileS//tdcF//waaQ//murC//
GO_0014070_5	elaB//lysC//
GO_0015031_5	fes//puuC//hisG//feoA//livK//sapA//ybjG//paaF//hscB//osmF//rcsC//ais//livM//paaH//frsA//clsB//sdaA//betI//rraA//prpD//agaB//yraJ//sdhB//nadE//argS//menB//tdcF//flgG//insI4//tauA//trpC//rph//ibsA//frc//nikA//erpA//xseA//cmoM//ebgR//argC//rfbD//
GO_0015074_6	lon//intS//frlR//sfmC//ydcR//aceK//cof//
GO_0015628_5	gyrA//ilvH//cysM//glvB//lldP//
GO_0015669_5	mglA//
GO_0015670_6	dppC//
GO_0015672_7	ydcO//ulaE//paoC//yfcF//rplE//hofP//ompT//exoX//rbsC//yjjQ//elbB//mscM//tdcC//yqjH//srlA//maa//rcnA//kdpF//ldcA//cmk//dgcZ//idi//bcp//tcyP//ydiQ//mdtI//pntB//yjfF//selD//yihV//abgB//mdlA//amiB//truA//leuD//purU//murR//nikR//add//ybiA//yjiX//mppA//cusR//
GO_0015673_9	treA//
GO_0015675_9	entC//flgI//pdeF//panZ//moeA//insH-5//ybgP//phnJ//
GO_0015679_10	ampD//sfsB//
GO_0015682_8	satP//rbsA//yoaB//rlmH//adiA//yfiE//fucP//yciH//dhaK//tyrS//uup//metQ//
GO_0015684_9	feaB//umuC//nuoL//speE//ugpE//
GO_0015685_8	flhC//nfo//dsbG//pitA//ybaE//yiaN//
GO_0015687_7	sapF//btuF//araF//xanP//
GO_0015688_6	rihB//accC//sodA//acrR//ypdB//fucO//galR//ppc//tdcF//ppiD//yoaB//hcaD//gltB//putA//ulaF//fucO//tauB//yggD//
GO_0015689_8	xapR//ibsA//ynhF//
GO_0015691_9	sbcD//zapB//hcaT//dmlA//
GO_0015692_8	chpS//
GO_0015693_9	treA//pdxJ//
GO_0015695_6	nrdD//rbbA//mscL//wza//ahr//nadA//uspE//pckA//yoeE//rne//narK//lolB//hisS//deoR//argP//tdk//tsx//hisH//clpX//pepQ//phoR//yhcH//rffM//yejA//thiH//gltB//nrdF//yaaJ//coaA//yebS//
GO_0015696_6	srlA//pdeK//fbp//tusA//ybiA//nrfD//rihB//rlmB//garK//cstA//yidC//leuE//panZ//rfaG//rcnB//yehB//gpmM//astC//ettA//rhaR//tig//pgsA//ibsE//rpsR//ybcF//phoA//yggE//ydcR//yfeX//pdeH//trpGD//
GO_0015697_7	panF//lysP//atpD//dinB//nagZ//pgl//yceD//trpC//xylH//polB//rplK//ybiA//xylE//
GO_0015698_7	ydjK//tpx//ppx//tehA//mcrB//ydeO//hemL//mntR//atpG//ybdR//yjbB//pdeK//yqaB//holE//yggD//folP//xseB//agaB//pepQ//yahN//wcaB//menE//bolA//lpxP//nusA//opgH//envZ//leuE//nusA//hemG//fimG//tgt//metB//rffH//cydC//sbmA//azoR//deoA//glnA//gpmA//yihP//
GO_0015699_8	puuR//
GO_0015700_8	ygbI//yihX//
GO_0015706_6	ybdO//aroE//fabB//
GO_0015707_6	mfd//gluQ//rraA//tsaE//fetA//nrdG//
GO_0015709_6	ycfJ//
GO_0015710_8	mhpD//rusA//
GO_0015711_6	gapA//emrY//yeaG//trmI//wcaB//yahF//tdcD//fimC//sapF//rpsS//agaS//paaA//hemB//yddA//ftsP//uidA//mltD//mnmC//ygfX//yfdO//yccX//ralR//uspB//clsC//ypdB//yhdJ//yihT//adeP//obgE//pabB//hicA//yhcH//ompC//cydC//ydaC//yaaJ//aroH//mmuP//ygiW//kch//yedX//lptG//ypdB//treF//rhaA//yajQ//tesB//norV//metN//trmB//chbR//smrA//cbrC//hsdM//mazF//yoaA//ileS//soxS//waaZ//modA//mtr//ubiJ//purT//pyrB//artJ//zipA//rutD//narP//dhaL//dinB//metL//truA//htpG//ddlB//yggT//cdgI//clpS//argP//hcaT//yihT//yadM//narY//rluF//dpiB//yhhT//ybcQ//kduD//insI3//csdA//spoT//opgD//queG//aaeB//aaeB//hemH//tauB//chbA//nirB//cbrA//gcvP//glmM//ytfR//rhlE//rnr//rpnD//ydjE//tdk//tmk//alkA//sseA//gspI//smpB//mdtJ//aaeA//malX//alpA//rutC//phoP//envC//glnB//cvpA//otsB//ydeO//bcsA//fimB//yceD//ynfH//yfdS//btuF//ompT//asnC//flhA//yojI//abpB//paaB//yggN//nikD//thiC//sufE//ybaT//yfcG//lpxM//iscA//yahF//
GO_0015712_7	mdh//
GO_0015718_8	eutN//yidR//yiaF//fimC//yjbG//grpE//hupB//cspI//xylR//trmI//topB//yjfP//lolB//yfeW//proQ//ssuE//gcl//nrfF//yqjH//dcuD//rffT//era//nuoL//yqiG//
GO_0015721_7	tatC//lplA//
GO_0015724_7	hmp//mgrB//bamB//
GO_0015726_8	pabA//
GO_0015727_7	rlmM//cheR//
GO_0015733_7	fetB//
GO_0015734_6	rsmH//oppD//fepC//
GO_0015735_8	frmA//
GO_0015736_9	recJ//
GO_0015739_7	ortT//
GO_0015740_9	yfjV//ubiB//sgcC//rhaB//yagU//etk//hslO//dgcF//bioD1//
GO_0015741_10	codB//ulaG//
GO_0015743_10	sbmA//
GO_0015744_6	yqjI//ugpC//dppB//
GO_0015747_6	ftsN//
GO_0015748_6	ribA//udp//ackA//maa//holA//suhB//yqgF//recE//pdhR//cusA//skp//sgrT//ybhR//ykfI//mdtO//
GO_0015749_7	yfiC//ravA//ldrB//rplF//ahr//dmsA//wecE//garK//ybaT//yjjW//pyrE//mscL//ycdY//ygbN//iscR//mnaT//ompR//frsA//panD//ybaK//rplT//ansB//smrA//gadC//tdcR//yjiM//dacA//ibpA//tdk//waaS//yiaA//cpxP//gdhA//pstC//mzrA//bamD//glsA//luxS//galE//scpC//tisB//ydhQ//ihfB//cadC//cdd//
GO_0015750_8	asnS//syd//idi//gpp//fixB//yfcS//envR//fucK//sgcX//nuoG//opgC//elbB//artM//
GO_0015751_9	ilvL//lacZ//ydbD//yegT//rnb//clpB//
GO_0015752_9	livH//ssb//yhcH//asnS//slyA//recQ//
GO_0015753_9	seqA//yciT//codB//
GO_0015754_9	ycbB//ydjJ//holD//
GO_0015755_9	bcp//cmoB//gadW//rzoD//hisC//hemD//clpX//yfjR//aaeR//agaV//pstA//
GO_0015756_9	fadK//hofC//
GO_0015757_9	eptC//tusA//yihL//ydjK//recA//rayT//phnM//
GO_0015760_8	mscL//
GO_0015761_9	cpoB//rffT//emrY//
GO_0015762_9	rluE//
GO_0015764_7	rsmH//yfcV//galS//holD//
GO_0015765_8	nusA//hypD//corA//torR//
GO_0015766_8	intQ//insI-1//hprS//lptC//smrA//minC//cyaY//yadC//ssuB//arfB//cyoE//flhC//dctR//yiaO//
GO_0015767_9	pdxK//xisE//sufE//napF//
GO_0015768_9	iaaA//lasT//xisE//insI1//dinI//tus//
GO_0015769_9	fetB//
GO_0015771_9	trkA//yjhI//rfaH//dmsC//
GO_0015772_7	gatZ//malY//nsrR//frmA//mntR//yheT//murB//dppA//birA//pheM//gshA//nuoL//pmbA//nuoH//nirB//cyoD//yfeX//
GO_0015774_7	npr//nikE//yphF//yqhD//lysO//arnB//
GO_0015778_7	nfo//
GO_0015791_7	hisQ//efp//argI//ybhS//opgE//yrdA//araA//uxuA//
GO_0015793_7	priC//artP//
GO_0015794_7	radA//ssuD//dosP//aes//uxuB//
GO_0015795_7	soxS//
GO_0015796_7	arnD//znuC//yihO//ydiR//
GO_0015797_7	feoB//cheY//
GO_0015800_7	aroK//wzzE//ygeA//acrD//
GO_0015801_7	qseB//lpxK//hrpA//iscS//nimR//amiB//poxB//pykA//
GO_0015802_7	hcaF//fpr//fabG//rpnB//greA//yeiE//degQ//
GO_0015803_7	hisI//ompN//yehX//entD//nadB//xanQ//alsB//galK//hflD//ygdG//mutT//
GO_0015804_7	uvrC//leuB//cspC//yrdA//talB//ydcI//yjjG//aceB//sanA//yibA//lpp//vsr//ndh//mtlA//adk//ppsR//paaA//ugpE//hofO//adk//rlmC//waaS//argS//elaB//hybA//degQ//fecA//narH//uup//ybiV//asnS//proX//dam//
GO_0015806_6	glpR//
GO_0015807_7	tsx//accD//pheS//yqeA//manY//asnS//yafS//fliA//nirB//aroL//paaJ//ycbV//creC//insE-1//mdtF//mraY//atpF//ydbK//glyS//wzb//dgoA//ftsQ//clcA//mrcB//yhiM//tsf//mntS//lsrG//yedP//rrrQ//sfmC//yqjA//mlaD//betT//cheY//sfmF//panC//viaA//
GO_0015808_8	ybjC//fdhD//
GO_0015809_7	mngR//frlR//rhoL//ybhS//fcl//menF//
GO_0015810_8	cho//ispF//
GO_0015811_7	betB//umuD//glxR//ispF//dinG//
GO_0015813_6	truA//ilvC//exuT//
GO_0015814_7	ibsA//
GO_0015816_6	cca//
GO_0015817_7	glgA//
GO_0015818_7	hybA//lptF//glxR//ydcP//serA//hpf//ydaV//
GO_0015820_7	atpB//asnC//ompA//ghxQ//rutR//wzzE//gadB//ghxP//bssR//
GO_0015821_7	tqsA//deoB//appC//priB//ghoT//
GO_0015822_7	livJ//cusR//
GO_0015823_7	dnaN//nrdF//metN//hycH//agaA//cmk//fabB//
GO_0015824_7	sapB//ibsD//
GO_0015825_8	csdA//
GO_0015826_7	rpsN//hybD//fixC//
GO_0015827_7	mnaT//lpoB//sulA//
GO_0015828_7	nimR//fixC//
GO_0015829_7	pheM//ligB//mdtG//xseA//pheM//pphA//fadK//cdd//rlmI//
GO_0015830_7	queF//yafQ//yjhB//
