#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rfaE//mdtM//setC//paaB//
GO_0008614_5	pckA//nagD//glgB//glvB//gdhA//ribC//tolB//
GO_0008615_6	mltC//narP//ubiE//sfsB//gltX//tolC//acpH//
GO_0008616_8	btuC//lolA//gcl//uspG//dld//mtlR//yeaG//
GO_0008617_9	rffT//
GO_0008643_6	glnA//rplQ//insI1//ygbL//crcB//hcaR//rzpR//yeeJ//thiP//dcuR//yibA//yehX//rluE//tehA//gspI//cysM//ycfH//rffT//lptC//dtpB//abpB//yceK//aroA//yeaK//arcC//ykgF//ulaR//hokE//sutR//nuoN//livG//qorA//aes//argF//fliT//mdtI//glsA2//nagC//yhjD//gmhB//nupG//dxs//guaA//fiu//flhE//rhtC//ssb//rfbX//thrA//fdhE//atpE//casC//gshB//yejE//purF//mcbA//arsC//cysG//pgaB//yfiF//yihU//yiaB//nagZ//epd//cas2//dppA//dxs//shoB//era//rpe//rpsT//frlC//ppk//mmuP//tnaA//mdtM//hokB//groL//insI-2//metL//ydiK//yafQ//garK//tnaA//rluF//pepQ//ybiT//cpxR//yagF//ansB//mlaF//tilS//ydeT//yeeA//orn//yigB//ttdB//hyi//iclR//gcvH//frwD//hycH//argC//higB//sutR//nupG//rsmH//srlD//elfD//csdA//rimK//ilvA//lgoR//prpD//
GO_0008645_8	csgE//oxyR//galE//yddL//proB//sbmA//galP//rnb//rlmF//gapA//fimH//agaB//adiC//mqsR//rssB//tdcC//lpd//rcnR//ttdT//cysH//pfkA//dsbC//tktB//waaG//
GO_0008652_5	glnE//uspG//yajD//uspF//mrdA//abgA//hdeB//dedD//hyaA//rpoS//ibsD//rpnB//yhaO//ydiV//fadD//entH//yraK//pepA//argK//sapF//gabP//rfaB//fbaA//argP//truC//tatC//nuoH//pgsA//tsx//fimD//gloC//yjjW//yafO//yjjG//zinT//yrfG//dhaR//pyrB//otsA//gcvH//hslJ//yehU//aphA//ldtB//flgB//casC//yejB//yedF//prpR//ydhC//hpf//topAI//yfaL//ampG//pdxY//dtpD//glcA//proQ//ftsQ//yahO//intF//secA//baeS//metC//yibH//livK//yeeJ//yiaN//glsA2//surA//ygaV//glsA//tehA//yhbS//ravA//yidA//cvrA//yadC//manZ//tnaC//ygcO//yfcQ//cysK//degP//ybiV//osmC//btuC//hpf//sodB//argO//yibF//fdnI//ldtE//hemA//pitA//fepB//bamD//fecD//ppsR//recF//hycA//yoaB//dcuD//nemR//ssuE//qorA//mliC//hdeB//uhpC//mdtQ//glpK//htpG//shiA//rpsM//
GO_0008653_5	nanS//rzpD//nrdH//garD//yggP//dnaB//yadN//bsmA//dxr//hybF//rlmE//yahN//cobU//
GO_0008654_5	poxB//cvrA//sulA//frvA//ascB//cbtA//yhhT//yfaE//kdsA//murD//ybhP//yjtD//tpiA//trpB//insE-1//apaH//argS//opgH//ygaV//pdxA//cutC//moaE//srkA//yfdS//ybdG//luxS//frlB//galT//yeeL//hslO//icd//pdeR//glk//rraB//malS//
GO_0008655_5	rrrD//asnC//yggE//rnlB//casD//rbsD//ybdM//
GO_0009050_6	rlmE//mfd//
GO_0009052_6	yohC//yadN//hcaR//flgD//proQ//yhiM//priC//
GO_0009056_3	pdxJ//yfgI//fdoG//yehZ//yfgI//appA//torZ//cmtA//yfdS//ccmC//hxpA//sodC//abpB//csiR//yihW//thiI//oxc//acrZ//xisE//ruvA//xapR//bamB//araE//waaS//pinR//tktB//yiaL//yddG//chbR//pepD//ynbD//umuD//napC//pdeD//pdeK//metH//uspG//insK//ecpR//sbcB//setC//chbF//rlmD//ais//tsf//ddpX//recT//melB//dnaG//rnt//relE//tbpA//yejA//entH//dgoA//pgpC//artJ//cmtB//yeeA//rpmG//uxaA//lamB//sbp//yehW//ytfQ//hemH//ycjR//yphD//yphF//ydcR//phoA//kdgR//lpxP//yciV//gltB//pnp//arnB//pdeF//yieK//rsgA//fryB//adk//fadL//manZ//proA//yqcG//mdfA//ugpC//acnB//aspA//modC//ispU//fepD//xdhB//tusB//phoE//narG//cheR//yjbF//bdm//lamB//dmlR//dnaQ//gshB//asnS//ligA//aroD//metE//hybD//uvrB//hycA//yeeL//fadH//mtn//prc//mqsR//ibsA//yjiA//yjcO//cdgI//paaK//ivy//rnt//srlA//dadA//mpaA//hslV//perR//proQ//appC//pheT//cpdA//dcuB//ftsH//yjjU//aroA//dnaE//mscL//yiaM//dmsA//fryA//narU//sdhA//grxD//dauA//lptG//ynfH//queD//fdhE//murB//tusC//atpC//ydaN//hrpA//phoE//glnL//livM//glxR//qorA//deoB//ssuB//ftsP//atpF//argP//pdeK//yebG//sapB//abgT//mltC//mug//fadI//fcl//hda//tdcF//ymgF//xdhB//narY//ydeT//arcB//hldE//shiA//yfdG//tsgA//nuoI//ffh//ldtC//yfiF//nupC//dgt//rnlB//trmJ//tdcA//bioC//rarA//bioB//ttdB//araG//waaU//iraD//xerC//eutD//mppA//mutL//treC//cyoE//dgcT//glcA//frlC//mnmG//glgX//dtpD//cyaY//stpA//yeaE//rfaC//mglA//malF//ansB//ycfH//yjiR//thiE//epmC//sucA//ghxQ//ybhG//mepM//mlaF//tisB//proC//narW//secF//rfbD//ortT//zwf//epd//skp//phnO//fadL//fhuD//alkA//yihX//wcaJ//nikA//ybdG//hisP//ymgF//msrQ//ttdA//hyfC//iscX//kdpC//ytfQ//aer//acs//rfaE//xseA//sucB//menD//agaB//oxc//dppA//dam//clpP//torS//panC//yidL//mdaB//yabI//ppiA//xerC//rseP//menI//ulaB//seqA//topAI//fixB//cobB//truB//pflA//mscM//clsC//yqaE//blr//rnlA//serS//thiM//entF//yecS//mobA//pepA//yfeO//flgB//slt//yieL//ptsP//tatD//rlmM//fixA//ycjP//ynhG//yjjX//mdoG//ydbD//rplL//hisB//fau//ymfK//rutA//yiaF//adiC//glxR//ybaM//ygiN//yadN//dacC//dmsA//ycfS//mmuP//yiaO//rbsA//acnA//ppiD//yaiW//folX//malE//hofO//nikA//ycjW//pck//ygiV//fliZ//mntR//ybcJ//dcuR//aas//yjjI//yhdZ//malS//rnt//thyA//pheP//recF//pgaB//aroE//ompA//yehW//frwB//rzpR//uhpC//serB//yabI//bacA//coaE//deoD//pheT//dicA//ygaH//greB//ubiA//spy//bamD//yciK//garP//cdd//yhjV//lsrA//nlpE//pgpA//cpdA//cra//glsB//ybhJ//agp//elyC//agaC//yegT//mtn//yagG//envY//yfgO//acpH//dusC//alsB//mgtL//malK//cspI//lysO//preT//gsiC//ribA//fklB//ytfP//hxpA//dsdA//lspA//iraM//aroF//prfC//rimK//sodC//wecC//cysQ//hxpA//trkG//hisP//rnlA//narP//ptsN//yebS//ttdB//glcD//curA//yccS//ygiW//yneJ//yedF//
GO_0009057_5	hicB//sbmC//truB//lysO//wzb//ghoS//ymgA//dgoA//bglF//recB//chbG//caiF//hemH//hpf//fryC//sdaC//prkB//mdfA//hyaD//csiR//gspE//dpiA//yejF//nrfB//mnmC//hybG//aroD//fsr//gpr//ykgO//acrF//tilS//citE//ftsX//chbG//menA//udp//ugpA//ydaC//rnlA//yfaE//gloA//pbpG//rpmB//nikR//cspG//rplK//cysE//gatZ//fadE//ynjA//lsrD//rsmD//rfbB//
GO_0009058_3	umuD//hypT//napF//fimG//proS//rraB//suhB//cyaY//araG//dppA//nuoI//leuA//glrK//yhjX//malE//serB//yfeD//ybgP//rplK//tap//nlpI//ykfM//aroA//artP//yddG//flgK//potF//xseB//sstT//rph//yefM//chbG//ccmF//baeS//zwf//queD//rppH//sapA//ibsB//yjjW//aaeR//norV//srlA//sucD//rclB//yjhC//ycjP//rspB//mprA//mdtE//yafE//ygiW//glrR//torI//oppC//yggX//fucP//yidE//rcdA//dnaA//ybaM//hyfC//metE//pyrD//mltC//dctR//yjbE//mliC//yjiY//secA//evgA//prmB//dauA//yeaK//yijE//rpmB//aaeA//yohC//mepH//ssuA//yadM//ascB//ytfR//lplA//ldrB//hldE//yehB//avtA//rcsF//ftsX//zapC//trpB//tyrR//selU//fdoG//ada//recT//nuoG//phnJ//gpr//creC//rffM//mzrA//glrK//folA//ivy//narL//fnr//caiE//pmbA//yibH//sodC//rhaM//lolE//yjbF//fdnI//cusB//potF//sgcX//msrC//elaB//mdtP//yjiM//yaaU//fadJ//pepN//gabT//rclA//yieH//emrB//ttcA//prfA//hha//zraS//truC//endA//ulaB//hpt//epd//xylF//gor//dtpC//clcB//phnO//mreC//yqhC//yehX//glpK//waaP//rcnR//clsB//deoA//rsmI//rclA//rplP//umuD//menF//fliM//ynfH//tcyP//hipB//ubiD//hinT//elfC//gntT//yiaJ//dnaC//etk//evgA//wecB//rcsB//phnN//entS//narG//umuC//manZ//gcd//frvA//yiiD//alaA//ssuC//rimO//trmI//yidC//lyxK//hypE//proV//gspE//menA//queG//hupA//ruvA//prpC//aspC//rsmF//pstC//luxS//erfK//glnB//elfC//rlmH//ycjW//djlC//yjiQ//yadG//ydbK//adiC//npr//insB-2//ypdB//ulaA//gloB//diaA//lpxK//nadK//yhjG//uidR//hdfR//rng//yagI//rlmJ//ulaE//fic//ycfS//ybeQ//ybiH//lsrB//soxR//waaS//galR//ycbX//murB//rpe//fimH//yccS//yqiG//ugpC//carB//speG//hisI//rffG//gloB//yahF//sucD//ydeE//bglB//tdcE//nanT//mtgA//rsmE//cadB//fliK//rsmI//fucA//mhpA//cysG//rclC//elfC//rimP//araF//dld//fhuB//moaE//fabA//aspC//clsA//rsmH//mnmA//argC//yobA//lpxT//csdE//frwC//ypdB//ftsQ//tehB//kefG//proV//lptE//araC//yfcU//garD//feoC//glyA//dppD//nrfB//cueR//abgB//lpxP//ymgF//ybhS//mrdB//kdpB//glgS//sbmA//ybjX//xapR//yqgF//dedD//ygbM//mpaA//wecE//topB//yihR//rutD//yhbO//fadI//dinB//fadL//frr//rpsD//ybbW//rnb//setC//alaA//dgoT//purR//hcaR//agaB//gadA//narK//lolB//torC//rlmN//melB//lptB//rsfS//garL//pstA//pfkB//sgcA//nuoL//yoaB//rpsP//ybcM//dgcJ//tatE//abgB//modB//fimC//yehP//rimI//metI//speA//mdtL//artQ//yqiJ//yehT//ccmF//potH//yacG//nanA//pykF//yraJ//phoQ//kup//fadL//dctR//blc//ulaG//glpD//glcA//asnA//lacY//nsrR//tsaE//livK//araE//yagG//lapB//nfi//sfsA//yfaU//ridA//trmO//yjaA//ubiE//ybcQ//ndk//citG//btuF//dgt//scpB//ibsD//rpsG//exbD//zinT//rluE//ibaG//sdaA//pstS//rrrQ//flgA//pcm//pfkA//ykfI//frlB//ycgV//sdhA//iscR//yhdW//recE//mscM//yeaE//trg//efp//hybO//xylB//grcA//ahpC//glpC//metE//hscB//yieE//nanK//yfaL//gabD//greA//malS//torY//baeS//appA//narI//ybdN//flgC//dmlR//afuC//yahN//ttdB//cbeA//rsgA//phr//livF//dacC//dnaG//rcsD//birA//glpC//dgkA//abgA//era//osmF//thrA//mreD//feoB//glrR//oppB//yajR//iscS//nanK//caiT//yiaN//bluR//agaS//rplD//frmR//cyoE//pdeL//ccmA//ybhP//srlE//ldtC//ynfH//kbaZ//nrfE//yehZ//rhtB//alaE//oppB//cobT//maoP//ygjH//apaH//glvC//recF//tig//eptA//ppsR//ompN//yibF//der//adiC//dxr//elfA//ybcF//umpG//nrfA//insI1//yhhT//metC//rpoD//araG//cobU//ydcO//yqeF//eptA//pdxB//ldtA//fimI//narU//rfe//gyrA//rbn//sulA//minC//mpaA//tktB//queC//mltA//tdcR//abpA//ilvN//bolA//trkG//caiF//potE//yhcN//argH//hmp//nhaB//tpx//yihX//gcvH//glsB//tamB//elaA//thrL//hemG//uxaA//fimF//rplY//yegT//ibsE//dkgB//mepS//alr//lsrK//yiaM//tauA//fepD//rbsD//ydfG//nrdB//yhdZ//mlaD//metE//puuD//ratA//yhcF//maoP//envZ//yidE//btuF//mreC//srlE//nrfA//accC//yfdG//hemC//caiD//araA//codA//lgoR//ybiA//hexR//tusC//fic//rnt//hybB//yodD//lptF//era//yqjA//bioD//rbsK//murP//ydjE//pntA//rpsD//ebgA//epmA//glcB//yjhI//tyrA//argE//bluR//yqiI//perR//amiA//yejA//cutC//mhpD//fecD//tehA//tdh//yhjB//cyoB//manZ//rplA//sppA//tgt//otsA//bamD//tolR//atoC//glpB//argP//minD//blr//yhgF//polA//ulaF//panZ//ygiW//rclB//secY//frsA//yafE//frwB//bssS//artQ//yiiE//hemB//pgsA//lpxB//mcrB//yjjQ//acnB//yidC//nhaR//gpp//pdeH//rpoS//ldtA//ynfK//tmk//fimC//fliG//aaeR//ydaC//napB//ettA//yehX//gadC//cmoA//torR//yeaG//perR//lgoT//kdpC//secE//yfaL//bglJ//ygbL//cnu//hha//cbeA//gcvR//recG//tyrB//trpR//atpF//acnB//plsC//slmA//ptsH//galU//dcm//gltK//trpA//fryA//tonB//thrS//pheS//ilvE//dicB//setA//wecE//wbbK//ydhQ//rnb//fixB//adhE//ypjD//rbbA//yjjX//sohB//ftsQ//yojI//rpsS//fpr//carB//gstB//citE//mog//yhfS//nanE//hofQ//yccS//xylB//kdsB//yhjC//rpmH//avtA//yhjA//lpxB//lsrK//rihA//lsrD//ybdH//tolQ//fetB//ascF//ribD//sucC//cysG//yfaL//nanT//uhpA//argH//yfcQ//codB//glsA1//rhaD//ygcW//csgF//kduI//ulaG//fabG//gapA//hemG//guaB//hycA//ispU//hyi//yoaB//holA//panD//hflD//ubiI//chaC//ibaG//rzpR//mnmG//secY//rsfS//waaU//rpmF//uspF//edd//gltD//cysS//yafC//cysD//baeS//wzb//sucA//yfaE//paaK//emrY//sdiA//dctA//ygeR//yobF//rnlA//rihA//fdhF//
GO_0009059_5	phr//phnJ//hofC//ilvL//yafN//xanP//rpmB//purC//argT//ppk//mlaB//agaI//kduI//kup//yegD//gapA//yejB//uxaC//blr//yijE//yjbG//rph//chaC//nanS//cptB//cpxA//malQ//yaiP//fis//lptB//hyfF//bluR//baeS//argS//pstC//afuB//intQ//ycjY//ahr//pncB//aceA//pdhR//sgrT//yejB//rcsA//ascB//rhaS//phnM//ulaD//gadX//atpF//frwC//ycjU//csgB//intS//yciF//rutD//manY//ybiI//amyA//trkG//dxs//trkA//rnlA//cusF//paaG//panE//rlmL//nadA//cysC//wcaJ//rdgC//yedL//ftsP//nrdB//yebC//yiaL//sgbU//tdcB//tktA//setA//minC//tdcF//kdgT//fixC//tyrS//kdpF//ygjK//rutD//baeS//yhbQ//clpX//hdhA//eptA//yccX//rhaA//yraK//ycbU//ydiP//ygbI//ycgR//iclR//sucD//yfdR//hofC//zapC//clpS//rpsH//mnaT//selU//yraR//ydeO//yajR//murR//yidH//yfiE//ldhA//asnC//ynbD//pal//insI4//secD//nemA//cpdA//rhmR//clcB//ydiF//cydC//hybO//mnaT//dcuB//ygeX//ettA//rna//rlmF//prlF//malP//nadA//yceK//gnd//pgk//mutL//chaA//yhiM//ydiP//etk//trg//dsbD//lrhA//lepA//mutM//ftsH//garL//slmA//hslO//rlmC//fliT//yoaB//iaaA//frlA//kduI//ynfL//mutS//alkB//rclR//yhbO//yifB//gudP//rhaD//glmU//fdoG//ppsA//wecB//bluF//ybiT//bsmA//ycjR//sad//yjeI//ubiD//uvrB//frmB//hemH//holC//kdpA//ubiH//ydiZ//yfhM//sufA//iraD//perR//yjiR//yejE//yhfK//chiP//garL//ynfF//glrK//insI1//napF//rbsB//mltF//yhhT//nlpD//narI//insB-4//sufS//oxyR//rfaG//pyrF//ybbW//gltL//ileS//dgcZ//lgoT//cvrA//oppA//rhmR//htpX//gatC//bamC//accD//ygbI//aroP//ycjQ//rraB//yhaM//marA//ghxP//arfA//ybiJ//nupG//melB//yegD//emrY//ompA//ygaZ//sgcC//dgcE//srlR//yhiM//ldtE//zapE//rpsA//gcvR//argT//treF//gltB//hdfR//tktB//galR//truB//asd//cheB//araC//dcuC//cheR//agp//rfaF//gshB//yfbS//lacZ//yddM//aslB//ymgA//lapA//aroK//pdxK//yrfG//rpiB//osmF//menF//narG//pth//pppA//mltG//shoB//yaiP//rluB//amiA//allR//rimK//cheR//nirB//fadK//yaaU//pppA//exuR//yibF//sdhC//gudP//acpT//ypdI//kduI//recR//folD//eamB//cirA//fimE//yfcF//wecC//rlmL//malE//ydcM//rrrD//fixB//recO//yibH//uvrY//hcp//mtfA//cheY//uxuB//prpC//kduD//aceK//pta//
GO_0009060_6	mqsA//citC//rlmE//aer//ycjW//dinQ//ihfB//dfp//ptsG//btuE//clpS//ogt//rcsB//aphA//cca//phoB//agaB//garD//yjiQ//yfdS//yehU//yghU//fryC//yfbU//rnlA//hisS//
GO_0009061_6	setB//ftsW//yhcH//mreB//accD//panC//tsaD//mmuM//panF//dkgA//agaW//dapA//yhdZ//mdtL//elfC//prlF//rseC//ybjL//menC//pyrF//uvrA//hyaC//btuD//yehD//rplE//syd//hfq//ygiN//rseB//exuR//bioH//mdtJ//yedA//panC//fadB//sucB//amtB//cysI//infC//ampD//glmM//cusA//melR//puuA//skp//rbn//pgpC//maeA//frlC//yhaM//aer//clpB//wecA//frmA//ackA//
GO_0009062_6	psuT//guaC//hisQ//dsbG//nfuA//ybcQ//fieF//dtpA//nagK//acpH//ompC//pgpA//selD//cusR//mdtJ//nrfA//frdD//ydiQ//zur//yfeO//iap//
GO_0009063_5	pgaB//yfeD//slt//raiA//dcuD//yehU//mscK//bioC//leuC//nlpD//dhaR//cpsB//yrdA//hdeB//nadK//iscR//pinQ//evgS//alsB//yghW//thrL//priC//pdxK//pgi//hcp//alaS//mepA//yibH//rpsD//pgrR//cheZ//mqsR//yiiD//yqaE//wzzE//borD//yadI//yhdJ//insH-5//bfr//ygiS//yfbU//gldA//ynfH//cutC//yfaU//pabA//flhA//yfbU//gyrA//rplC//fadB//yidK//lysO//mngB//
GO_0009064_6	ghoS//hypB//qseB//yciV//elbB//matP//dicB//yihL//ung//tar//elaD//sfmA//comR//yhjG//rhsD//hypA//plsC//cynS//fimB//ynfF//cdh//pgpA//gltL//dicC//fis//garP//yadV//ybhF//plsC//mhpT//actP//hdhA//crr//ppsA//gatB//rcnB//emrK//mdh//sucC//alaS//dtpB//nuoG//prmA//ypdB//nudC//rimM//
GO_0009065_7	ftsX//rpmA//yrfG//puuA//frwC//rpsS//fabZ//glsA2//xanP//aqpZ//ubiG//yfcS//artP//ycjR//nikE//nlpI//trpL//rpoD//
GO_0009066_6	rplM//rpsK//ybfA//chbB//pyrH//deoD//rplP//speB//rplN//afuB//pheP//nfuA//argD//bioD1//ade//phoB//yfiC//diaA//recQ//uof//nlpD//hyaB//ygjH//waaA//nudC//tyrR//cheY//fliZ//flgI//insI-2//sbmA//kdpF//ytfR//sanA//yieL//ghxQ//yhbX//yidD//uidR//yehW//leuC//nadA//rutR//uidR//lsrR//yddM//ymgF//yibT//
GO_0009067_7	diaA//prs//dcuD//kdsC//rfbD//ppc//purD//pheM//fhuF//csiD//rlmF//iscU//ybbW//menI//dmsC//sanA//yibT//ykgM//yidK//plsX//kefB//gutQ//higB//parE//phnN//ribC//
GO_0009068_7	nagZ//accC//hycA//fimE//fiu//yidD//holE//btuD//fdnH//yfjR//kbaY//sdhA//rof//
GO_0009069_6	rnc//tsr//argC//rfbC//gltK//mltB//iscU//aroG//metQ//fimE//modB//mipA//mocA//zraR//rpmH//mutY//holE//ycdY//proS//tusA//pepB//amyA//degP//yjhC//rodZ//appC//sgrT//hokB//fhuF//agaV//btuR//gspF//pfkA//leuD//mhpD//ccmA//
GO_0009070_7	tus//rluE//avtA//proV//nrdI//yfeR//intQ//yigB//ulaE//yadM//ihfA//aroG//nadD//rsmH//ynfE//yhaC//rluB//yohC//yhaM//sutR//
GO_0009071_7	malE//yfbR//ybdG//yddL//dtd//msrP//fliM//fmt//sfsB//yidC//aroG//rlmL//kdpE//ushA//
GO_0009072_5	rhsD//uof//fdrA//hcaC//lsrC//tyrS//lptD//sulA//upp//sufS//higA//yghO//casA//mfd//yfeD//yjhH//sapF//ybiA//infC//phnN//cof//ulaC//lacY//yhcD//
GO_0009073_6	puuA//hofO//nfuA//glcE//nikB//nagE//preT//agaA//entB//ycjR//rpsJ//cirA//idnK//folE//bamB//fimZ//fiu//pyrG//atoB//wecB//fetA//
GO_0009074_6	citT//paaH//yebG//
GO_0009078_6	napA//purN//ompG//yjhI//cfa//ygaZ//chaC//
GO_0009079_7	phnC//yibH//glrR//mdtP//
GO_0009080_7	yoeB//gpp//ldrA//
GO_0009081_5	yraI//mlaE//secG//mepM//ydiV//rclA//wrbA//ybeF//nupG//insB-2//endA//phnL//uvrA//hofC//purT//fabB//accB//accA//rplI//plsB//alsE//speB//
GO_0009082_6	phnC//yiiD//hisG//asmA//symE//mliC//yjiX//folD//abgT//rep//lsrB//flhE//sapB//hyaD//pmbA//dgoK//yfeR//yfdC//
GO_0009084_7	ydiO//gpsA//mltB//yafC//narI//thiQ//cpxR//dgcF//yqiJ//cadC//gntP//garK//cas2//ddlA//modC//araF//yrdA//trmJ//mpaA//ycjW//valS//mdlB//mglB//hcaC//ispU//
GO_0009085_8	frmA//yhaM//ghoS//epmC//ftsI//mntR//metI//paaC//rcsD//treB//pdeL//yoeB//
GO_0009086_7	yabI//secF//mdtL//aroC//cspI//erpA//frmA//oppA//ybjG//
GO_0009088_8	bhsA//fimA//
GO_0009089_6	artP//proP//deoC//aroE//folP//helD//treB//ftsX//nadA//
GO_0009090_8	hisG//pgrR//plsX//chpS//
GO_0009092_7	xdhB//pyrG//csgB//ybaT//atpC//hscC//
GO_0009093_7	glsA//ftsX//fryC//yfbR//fimG//
GO_0009094_6	dinQ//gadX//flgB//insA-1//
GO_0009095_7	dppD//murR//mltG//trxC//
GO_0009097_7	rluF//malZ//dicB//uspC//opgG//queA//yihQ//
GO_0009098_7	yjjI//bssR//amiC//araH//ypdI//trpL//flgD//
GO_0009099_7	yiaB//clsA//yedP//mdtP//flgD//alaA//arnB//chaC//metF//mtr//
GO_0009100_5	rseP//yjiX//oxyR//hcaE//wecE//
GO_0009101_6	exbB//
GO_0009102_6	ttdT//dsdC//codB//asnA//opgB//brnQ//nikD//rspB//sucC//potD//sdhD//ilvC//malS//
GO_0009103_6	rpsK//nudB//sfmH//tauA//idnT//fucP//sgcE//frlR//lysR//idnT//nuoI//
GO_0009106_5	ung//araB//
GO_0009107_6	kdpD//patA//
GO_0009108_6	cmoM//eptA//cyaY//yjbF//ymgA//rmuC//rhlE//aas//yeaD//frwD//yfcP//yaaJ//rplR//cusS//livG//rhtC//opgH//cca//yddA//purR//ykgF//sad//lsrC//gmhB//yraI//cbrA//pflC//mnmC//purA//grpE//envZ//yehU//ycjP//aslB//cstA//recO//citC//nanR//rseC//yidE//paaZ//betA//opgE//narZ//yajQ//insK//rlmL//tyrS//wecA//rph//yqgF//acrR//rluF//fliG//purA//lpxD//tilS//hemH//cutA//ompG//yiiE//tag//nanC//sucC//wza//ybiT//atpF//ftsX//bcr//focB//pdeD//ybiH//pheS//gshB//yafN//yfgJ//sodA//yciH//guaA//feoA//rpoH//hybE//cecR//aceK//narG//yeaG//sufE//lldP//aspA//yqaB//bioD2//codA//ybiX//rpsS//opgG//avtA//mdtK//srlR//fdx//proW//gsiA//yjtD//metC//fimZ//clpA//sgcX//sgcC//ygeW//mtgA//nagE//
GO_0009109_6	argK//argR//gcd//phnO//yafE//
GO_0009110_5	murF//ybiX//sodA//alkB//ldtA//yfeX//pppA//yciA//thiD//ynfL//sufS//tehB//metL//bdcR//pgaA//tatB//dcuS//phnK//tdcR//dcuC//rmuC//yjbG//queF//rpsO//galT//treA//argE//argB//cysS//hrsA//purC//yghO//yaaA//ubiB//ulaC//ettA//gspJ//xerD//yiiD//norW//opgC//yagI//ariR//btuB//appC//ndk//ygeV//cobS//guaA//yrfG//sppA//ycjU//argG//umuC//yrdA//mioC//hcp//
GO_0009111_5	argE//ais//rclR//gyrA//
GO_0009112_5	elfD//tdcA//paaF//gudP//ppx//nepI//gmk//fur//pntA//prfB//cydA//pstA//sapA//motA//yihU//yjjU//yegT//trmH//nagD//syd//asnA//yqeG//fepD//rhaA//adhP//ybbN//mcbR//metG//fecA//cnu//insI-2//nrfG//clsB//ivbL//leuD//mgtA//
GO_0009113_5	ydfD//cusA//ybaM//fabH//ddlB//
GO_0009114_8	hslU//
GO_0009116_5	rluA//yhbX//yhdJ//trxA//yraI//hxpA//xseA//yceD//artJ//osmY//rlmI//fdrA//guaA//gudP//ycgR//yabI//yceD//yfiR//yfdC//clpX//ligB//ycbV//yccX//waaL//araE//rutB//rmuC//araB//clpX//yqgB//gshB//arsR//ompG//rclB//secA//ibpA//ybiH//phr//hflX//pyrG//
GO_0009117_6	setA//cheW//tatB//ompW//elaB//tatA//ykgO//rrrQ//zapA//rhtC//pinE//dinJ//truB//feoA//modC//yqjI//recN//idi//csiR//focA//ompL//ydiO//yraK//borD//hypC//yeaE//yqjA//clsC//hemE//htpX//deoA//edd//intE//hybO//mak//yeaG//yraJ//osmE//yhbO//ygeR//birA//yadK//yfbV//yfeW//malY//yehC//asmA//intZ//rpnA//yeiE//zinT//prpB//nrfG//yeaD//gppA//selB//sanA//lpcA//mepS//dgcF//flgA//gluQ//gmd//tdcR//torY//ycjU//thiD//yjbE//nupX//shoB//hupA//flgA//yqeA//glnK//yciT//fucP//yjjW//acrF//sfmD//apt//yphC//nhaB//artJ//yihO//rlmI//selA//entA//sbmC//rmuC//ung//tdcF//bdm//ygaV//tolR//bglA//narP//ycjR//folP//dppC//ydeM//ydiO//yjjG//ogrK//gmhB//
GO_0009119_6	mdtG//dapF//hxpA//fmt//yafS//yehW//insE-1//actP//gntK//napC//aroG//flgI//rnlB//glnH//flhD//phnL//bipA//atpF//flgF//modB//tilS//fic//cysG//yibT//yfaV//fixA//ykgM//solA//malY//hdeB//fecB//ydeE//dicA//tynA//yfbS//
GO_0009120_6	gpmM//ynbD//hupA//ldtA//
GO_0009123_6	plaP//fieF//dacB//ilvL//guaB//cysB//nanR//frlB//rsmB//pgaC//murQ//ghoS//pfkA//lpoB//gspE//casA//mntH//pheT//recA//hcp//greB//yaaA//dtpC//frvR//lptB//sucD//yadI//osmC//ybdR//ycgB//kgtP//dhaM//phoB//argH//ortT//mrcB//glvB//pgaC//leuS//dgkA//tesB//manX//emrB//tynA//ybgP//mdh//
GO_0009124_7	csgD//iclR//dgoR//hpf//metK//ispG//argG//ilvB//frdC//cyaY//eutB//fimC//lpxL//atpB//cmoB//pinE//dtpD//trxC//yehZ//ygbL//iap//adiA//livJ//amiD//yafE//ispA//adiC//ulaG//ydjL//prlF//lepA//sfsB//uspC//yciE//yehT//wecA//entS//
GO_0009125_7	frmB//mreD//adeQ//ybbW//ftsA//
GO_0009126_7	yehU//nirD//yoaB//arnD//yhfK//yihS//ratA//ibpB//yihL//phnM//gntK//chpS//yebG//rng//sohB//yehP//rfbC//gatY//rimP//ydfK//ybhP//pdxA//yfcV//ycjW//waaL//rep//cutA//yqeA//priA//manZ//hprS//gcvH//phnL//yciV//
GO_0009127_8	tusB//yiaO//zinT//hybF//pncB//insE-1//mdtK//matP//tus//pgrR//mntH//rph//glpG//sgcC//dppD//rclA//crcB//fixC//murP//truC//ykfI//dmlR//caiE//ynfK//ortT//yidD//rsmD//envY//bluR//amiC//
GO_0009129_7	ftnB//umpG//hcp//prc//yqeA//nanS//nagA//napA//ppsA//gcvP//
GO_0009130_8	fliZ//lipA//agaI//wcaB//ycgR//
GO_0009131_8	gadE//sufE//rlmG//tcyJ//ftp//
