#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	dtpD//fdx//glrK//gnsB//
GO_0006733_6	uhpT//ycdX//atpH//tyrS//cueO//asd//ybiT//fumA//ypdC//guaD//acnA//nikC//yqjA//cpxR//entB//folM//yaiP//lsrC//murB//ycbB//pbpC//yfdC//tufB//tatB//apaH//rseB//amiD//ycfL//amiC//elaD//clpB//amiB//atpD//gcvP//ridA//guaC//cobU//ubiJ//yafS//lpxT//queC//glcC//znuB//arfA//ygjH//arnT//ycjW//glpB//ycbX//rutR//elyC//ilvH//ubiE//
GO_0006734_9	lptA//
GO_0006739_8	acnB//ftnA//ytfT//cyoA//pflA//phnG//minE//mioC//yfeR//
GO_0006740_4	malX//dosP//
GO_0006741_9	ulaB//
GO_0006742_8	mutL//
GO_0006743_6	dgcE//kch//dusB//cas2//scpB//sbcB//yaaA//ykgO//osmF//norR//leuS//endA//nuoB//hcaF//yhjX//
GO_0006744_7	fumA//sbmC//ascF//otsA//galU//pinE//mfd//napC//yfdC//mtlR//yceD//xylE//mtgA//gpsA//menB//
GO_0006749_5	mlaD//chbB//yphD//selB//ais//yegD//cysW//
GO_0006750_6	uidC//yehB//
GO_0006751_6	paoC//cas3//
GO_0006753_5	trpE//lpoB//sseA//hycI//folP//ybjL//rmf//thrS//yibH//yhiM//gnsB//glnE//sodB//araE//yoaA//yggT//ycjY//cynT//narW//frmB//ispF//zur//baeR//yebZ//recX//pstB//lsrK//yfeX//uup//sapC//gudD//rrrD//cobT//hsdR//puuE//cmoB//groL//frmB//cstA//allR//adhE//pppA//ortT//gltX//proW//carB//mfd//yebK//yagU//fimZ//acrD//ydaV//fdrA//ptsN//folD//zipA//rluD//pdhR//yohC//lpcA//trmI//pheT//rfaH//abgA//nadE//tap//yggW//mqsA//gph//lptC//bioA//amiC//xerD//yidK//btuE//eamA//nrdB//fhlA//murD//hemD//sdaC//yeeL//hycA//ynjA//yfdR//pdeR//htrE//gshB//dsbG//kefB//ygeV//yddL//deoB//glnB//nusG//dgkA//ldtC//gapC//mrdA//slt//napA//rcsD//ilvI//ttdT//yedP//yagU//clcA//envC//iraM//
GO_0006754_6	aroL//fliS//cusR//tdcC//puuD//topA//tyrB//ycjP//rpmC//dtpA//lolD//ygiS//yidE//glcF//argP//ppiA//cdaR//cysG//tcdA//aqpZ//ssuB//yohD//
GO_0006757_5	add//bamC//adeD//yeeJ//bipA//yjjW//pgm//prfB//prfC//fdoI//flgM//yceK//kefG//recR//ydhC//dacC//yidA//ybeQ//osmF//
GO_0006760_5	dsdX//uspG//otsA//mqsR//flhC//panF//fepB//argP//dosP//hcaE//hokE//bcsA//yhcH//lpxD//fixC//amiA//
GO_0006761_7	xseA//
GO_0006766_4	xthA//mipA//clsC//yidP//acrD//gltD//nadE//yagU//tolA//mtn//waaG//pyrF//actP//pdxB//kdpA//ydcT//ybdO//hpt//potC//lptE//bamB//ftsB//yagU//flgH//ispA//rplW//erpA//ygjR//yhjG//yhjX//dgcF//rne//nfsB//yaaA//acrZ//ydhK//yejB//hdfR//yneE//yagE//tadA//ybcJ//fur//cusA//ydbK//yhgF//csgF//rpsM//rhsD//yhaM//casA//aroP//baeR//metL//ubiB//envC//puuB//glpF//dgoD//pgaD//cspB//yaiW//rep//bglJ//tag//cbl//csdA//
GO_0006767_5	carA//glpK//mnmC//yhaJ//frmA//ihfB//mngR//mntH//sdaA//hofN//mdh//gcvA//waaS//mdtN//gntT//hemE//rusA//eutD//fepG//msrA//aer//dsdA//suhB//mlaB//sbcB//yfbU//yohC//zupT//dtpB//selA//bioD1//hsdM//rlmE//rutG//yfbR//frmA//ibsD//rsmE//ycaO//grxD//leuB//ybfA//envC//cbl//yagJ//basS//rffH//dgcF//lolA//thrA//asnC//ssb//yidP//pgpA//bcp//ybhP//tdcB//ydiR//aaeR//rutR//zipA//hybD//hisB//uvrB//recJ//sgbE//
GO_0006768_5	flgE//surA//secB//entC//tolC//xapB//feaB//arcC//baeS//slmA//xseA//rplT//sufE//
GO_0006771_5	ralR//narP//garD//frvA//recF//lysO//holC//rpoD//
GO_0006772_6	ubiH//yfcP//kdgK//yedP//gppA//rplL//yejE//psd//acrF//entE//yicJ//rpiR//
GO_0006775_5	ghoS//
GO_0006777_5	tsr//ftsB//cysD//yfcF//cysE//rzpD//thrA//galK//ybaQ//
GO_0006778_5	fucA//dnaG//flgJ//ymfA//araD//eamA//pbpC//flgI//ibsD//pdxJ//proX//waaS//ydcI//yafN//yieL//
GO_0006779_6	opgD//rfe//trpL//creC//mnmG//yadV//hcaF//chbF//bssS//xdhB//yqjH//argB//yjiX//argD//sdaA//
GO_0006780_7	rzpD//
GO_0006782_7	chbG//puuE//yiiM//ynfK//acrA//cysI//upp//
GO_0006783_5	crr//frsA//yjaZ//folM//rapA//ompN//rseB//kdpC//citT//
GO_0006790_4	pgk//sapF//folA//kdgK//radA//ykgM//eco//rbsR//mog//rpmC//uxaA//nanR//yhbY//metQ//rstB//rlmC//srlE//hslU//yhjG//evgS//ascB//zwf//torR//galM//yafQ//yijE//eutK//pdeK//sufA//yhjR//xapA//nlpE//allB//lpxB//argA//csgF//tyrS//ulaA//mltB//ribE//narL//yhhT//idnK//priB//cspC//menB//paaH//betI//ulaB//yihL//pgaC//rppH//cra//crl//gltI//yhjG//yoaA//rpoH//frdC//gspJ//cydC//proC//araC//dgoA//fucP//kdsD//add//pdxA//cdsA//xthA//rfbC//tomB//hyaA//yehW//hemH//rplF//livK//hofN//narV//pepN//rsmI//nuoF//tnaC//phoE//csgF//selB//gapA//guaB//dsbD//argC//acnB//rapA//sfmH//cysB//phoE//waaQ//yieF//yjiQ//cobU//yceK//bamA//phoB//fliA//fixA//
GO_0006792_4	rrrD//
GO_0006793_4	gapC//kup//moaE//clsB//rplF//yiaM//gntT//bglJ//yraI//pabB//fadI//gyrB//sodC//rsmG//rplF//frsA//creC//fadB//ridA//yegT//emrD//yhdJ//argK//fecC//aaeR//hokE//holD//rrrQ//ymgF//gapC//hdeB//tbpA//paaH//pdeL//bluF//lptC//dnaJ//rpsS//phnG//rfaB//asnC//ycbU//stpA//phnI//yccA//hslR//ptsG//ybaT//gudD//coaE//yajO//cspE//idnT//rraA//afuC//cpxP//borD//zapB//relB//tauC//acpH//fliZ//tadA//yfbV//clpS//slyD//fepC//sdaA//yraI//frdB//mdtF//wcaB//mdtD//yeiE//trpS//envZ//yjhP//adhE//glk//htpX//ydhJ//alkA//patD//ycfL//rep//mrr//rhaM//rlpA//yccS//asmA//trmL//murC//mdtJ//yjhP//dtpA//priC//yqcG//ravA//ycbV//gsiC//yjjQ//surA//nusG//yccX//yfeW//rbn//lolB//intZ//cyoD//dcp//hemA//pagP//cvrA//slmA//treA//ybeF//dsdX//fklB//secM//ydiF//pth//ampH//ftp//eutN//cyoC//nuoG//ftsX//fabD//paaB//adiC//fadH//flhA//hofO//fadB//yhaO//fliS//yqgF//rsfS//fadM//rhsD//ldrB//nepI//hxpB//rpoA//mutT//prfA//lpxC//rpmJ//dnaX//rplD//csgB//xerD//rpsO//ynfK//phoQ//queA//yphD//ppiC//yfjR//yejE//lgoT//yjeI//tyrR//coaE//mltD//csgB//rzoR//yjhB//mprA//uup//msrQ//ttcA//ascG//frmB//idnO//yigL//gabD//thyA//rpnD//garD//ilvL//polA//otsA//hprS//idnO//argF//citG//iscR//rbn//sgcX//ygcW//coaD//ispF//fmt//ulaC//fnr//thyA//wzc//rpnB//dmlA//rpsL//yejB//nupG//lysS//yhjG//clpX//yadV//pckA//ynhF//rpiB//tsaB//gatA//gluQ//rhaR//aldA//aceK//tdcE//tolB//ssuD//tusC//ypjD//pheA//amiA//ftsB//tynA//yjhB//tnaB//recE//intS//csiD//asmA//fimD//ybeF//fdnH//secY//cheB//fieF//pykA//gltD//udp//thrS//yfdK//mntP//coaE//tusD//nrdI//ydcM//hyaA//ansB//rlmJ//tmk//mntP//yodD//pdxH//fdx//acpH//dicC//aroD//ampD//yhaV//bioD1//ynhF//hisA//yehU//gshB//pdeH//arsC//yebQ//pykF//yedF//rpsD//dinG//leuE//ruvC//ggt//hyaB//ydfG//phnP//manA//scpB//thiG//gfcE//holE//trmJ//holD//mfd//cpxP//metL//bamC//ybcC//xylR//hypB//tauC//ydeI//tsaD//treC//aroG//cof//cmtB//asd//proB//cyoD//alpA//nuoL//ftsB//oppB//znuA//sufE//rmuC//aroG//oppC//argH//ygfI//rpnB//glnK//dsbC//sulA//kbaZ//gadB//ugpC//yqeG//hrpA//araA//yciA//ycjU//yafE//yqcG//flgF//mdtE//btuF//ytfT//ldtB//betA//manA//
GO_0006796_5	puuR//tsaE//mprA//yhaO//rplD//hemG//pdeR//cyoB//phoQ//hofQ//gdhA//yggW//rluC//pheS//ruvA//cpsG//cedA//sppA//prkB//lpxK//malQ//yhjA//lapB//pfkB//metK//csgA//corA//gntK//ilvD//hcaR//eutA//yjiY//gltI//pgk//dctA//cbtA//aroB//rplR//yqiG//rplD//rihB//cedA//ydiQ//atpA//yahB//intQ//rhsD//entA//hflC//ychF//aceB//yggW//mntH//nuoB//murB//ygeR//fucP//rpiR//rutC//ibsB//modC//fliG//gluQ//cysA//hslR//pyrD//cdaR//relE//miaB//paaD//acrF//iraP//yfdC//ydiZ//kdpD//mobA//ftsY//zntA//zapC//yejF//murI//pntA//ydeI//fur//alaE//iap//ubiJ//gadE//proX//ychO//ppiC//feaR//wzzB//priA//lysO//rplK//secE//yraI//ybgP//potG//pykF//tomB//ispF//mtlA//hisF//glmM//pykF//lrhA//caiD//nrdR//hofP//argH//ycjQ//lit//yjeI//ybhS//cbpM//pinQ//gatY//betB//nhaR//relE//deoR//trmJ//rseB//agaV//hexR//tehB//asnS//gcvP//thiH//abgR//aroG//rcsA//macB//dnaB//dcuS//cspB//cueO//uhpA//htpX//dhaR//yqeG//mreC//fdnH//puuC//nfo//mcbR//hofP//hofC//rpsG//purT//yhbX//folC//tsr//vsr//sbcC//narK//gnsB//caiT//mglA//glpX//pheM//purL//pepD//cyoD//pgi//eamA//yojI//argP//ygbI//uvrB//paaF//ribE//dinJ//yidK//pmbA//ulaA//mrcB//waaA//topA//yieH//yghU//ydfD//zntA//rnc//puuE//purL//ldhA//waaJ//glpB//rimP//panB//ynaE//pmbA//murI//yhjR//yciA//cspD//fcl//selU//araF//lapB//atoC//fdrA//iraD//fimZ//blc//idnT//deaD//yghO//gshA//ydiF//nrfA//fdhE//yqjI//wcaJ//artJ//glpT//hcaT//metI//yebZ//rluF//gfcE//modA//minC//tolA//dhaL//yoaB//osmC//oppA//lolA//ycdX//sutR//malZ//gapC//ydbK//ibsC//frlA//epmB//bioP//yphF//casC//cheR//ydhQ//uhpC//rihC//ruvC//yraN//agaR//livM//ascF//prfB//ascB//nupC//glsA//mhpC//lysA//ftsB//ansB//gutQ//abgB//baeS//minE//dgoK//cspB//yeeL//deoB//queG//torZ//narH//yecS//ybdH//xylA//hslR//ebgR//serB//yadI//prmC//yefM//dcp//mepH//yqaE//gltP//ybgP//murD//pfkB//acrE//cysG//mrr//dld//yihW//tdcE//ibsB//yeaD//motA//sbcC//fepA//treR//yhbX//kefB//ybbW//ulaG//tusA//dicB//xisE//bioB//slmA//murF//tgt//thiL//
GO_0006797_5	rnb//mdaB//
GO_0006798_5	fdx//
GO_0006799_5	mltB//
GO_0006801_5	yggT//cmtA//ydjK//
GO_0006805_4	allR//hipB//elfC//recG//dnaG//diaA//tsr//yhjC//rhaB//ydhC//nemR//cobC//hldE//melA//speD//yoeB//aroA//msrQ//nuoM//hscB//fis//uvrY//paaB//ytfR//
GO_0006807_3	yjhB//yiiM//hybE//etp//ynjA//fecC//pdeD//tdh//uidA//rssB//cstA//rppH//ybbW//aes//ycgB//ydhC//glrK//dmsB//glpG//ahr//bglF//yhdZ//cas3//ppsA//atpB//rpoH//iraD//yggP//dsbG//trkG//moaE//hemH//yfjR//mdtD//chaA//guaA//htpG//tyrB//cmtA//yfdK//pdxJ//rspB//allR//fnr//flgG//creB//glpF//sbp//phnJ//yphC//murP//insA-1//thiI//hemD//agaI//dtpD//thrB//cobB//hybA//insI-2//focB//nrdB//aslB//ygeX//marA//patA//yjjX//lysS//btuE//ubiI//rutF//mlaF//ygfA//cutC//mltB//yihT//rpsA//hybD//mutY//ubiG//ybjX//tdcA//yheT//yiaN//nagK//atpC//ftsH//gpmM//gcvH//glcE//mglA//rplW//serB//ftsB//ubiE//sdhA//rbsK//fryA//elaD//yihQ//yefM//yfcA//pth//malK//dgoA//icd//gutM//pphB//mnmE//elaA//feaR//bcr//yaaA//parE//lpxC//panE//soxS//torZ//selD//slyD//ydjH//avtA//yfeW//lipA//iscX//yjhG//napC//allR//dtpA//ruvA//yddG//msrB//groL//dtpD//clsC//rpmJ//folD//psuT//proV//dsdA//mscK//trpC//yraH//hslO//fliD//wzzE//rlmL//argP//yciK//kdsA//bioD//clpS//bioH//tauC//ydjJ//ynfL//ybhF//rhtA//ybdM//csgE//otsA//ybaE//metI//prpD//btuD//lpxP//rbfA//bglA//rlpA//ccmC//rlmE//trpR//dgcT//gntP//crl//aldB//pdxH//yebZ//pyrD//paaE//dicB//yceO//proX//trpR//ihfB//carA//mscK//ttdR//hypC//fkpB//ygcR//sgcB//guaA//phoE//rpiR//ybhI//osmE//ygjK//glcD//dauA//znuC//adeQ//ddpA//xdhB//yfcS//accC//acpT//rffG//glpA//rluE//rmf//fkpB//elbB//rpsE//chaC//yhaO//dtpC//ydhQ//fiu//cysN//ycfJ//mdlB//rayT//paoC//fabB//rfaB//cusR//murE//surE//hycA//ompR//leuO//rtcB//patZ//xylF//map//fadA//gabP//tus//yibA//mepH//apaH//htrE//ybjC//flgG//rpnB//yfcG//icd//eptA//glpG//appC//sgrT//motA//hcp//potE//yfcS//ndk//basS//gnd//fimA//ydhQ//sucA//dcuB//umpH//higB//dmlR//pdxH//tdcF//dnaC//recJ//mliC//ubiH//argE//malX//ruvC//araB//rpiR//rpmG//purR//garL//acrD//fabZ//dcuD//narY//phoA//ilvN//cysW//emrB//frvB//hybO//dusC//nrdA//uxuB//dppF//gsiA//rhtC//rfaC//yedL//mdtG//ybhS//pdeF//flgG//agaD//rhtB//bamD//dadA//ogt//dcuA//ligA//yajO//xylA//argS//rplR//pflA//narI//btuE//yjjI//uidR//csgD//gloA//rbsD//waaU//uvrC//xylG//ibpA//clpS//araC//waaH//csiR//der//yjaA//ybhA//uspG//yedX//insI1//rpsA//stpA//mnmC//curA//hemN//yciG//yfiR//hiuH//phnM//ykgM//ynaE//secG//yceD//ivy//waaH//hybE//rrrD//lpxP//glnS//rimP//tus//queF//pepD//nikR//ampH//yebG//glcB//aroF//infB//elfA//oppF//sthA//arfB//yfbV//nrdA//mscM//cysI//hisS//narQ//pflA//ycjY//yifB//rpoS//cadA//yhdJ//yfaV//alr//pgaD//oppC//yjjI//dgcE//secM//rhaD//hycA//recJ//yjiR//ribE//rseC//mutM//ruvB//aidB//ilvE//yjeH//ynbB//phoU//lptC//gcl//yjiA//pyrC//hupA//rep//appB//tbpA//clpB//emrE//mngR//ybhR//tolR//glcE//narZ//cstA//nanS//tdcG//hofM//pldB//sfsB//pyrB//nuoI//paoC//erfK//psuT//pyrE//preA//cecR//pepB//exuT//apaH//fimD//bssS//ypdB//yoeE//udk//uhpC//eutK//apt//argD//rpsA//cytR//pgi//murQ//rpsR//cmoB//secG//frdD//pepN//frmR//mltD//argC//yadM//speG//yhdJ//deoD//metC//holC//lrhA//malQ//nuoE//focB//nirD//argC//pphA//dsbA//eutA//gspJ//caiD//adiC//fieF//dctR//yehX//minD//pstA//ycbX//nuoF//oppF//rcsF//rrrQ//rpsR//uhpT//gdhA//sbcC//yhaO//nanT//ddlB//rpmE//rluA//csgF//ais//aceB//yojI//oppD//glnS//lhr//ygeR//sgcE//fumB//glyS//allC//ftnB//bamB//bipA//cmoA//cusR//rhaA//potE//nirB//cyoD//sapC//ftsY//hycB//lolB//ygiW//yfhM//dinB//uvrY//yibH//mlaE//tmk//nfo//yqiH//aroL//tilS//gspI//ppsR//ybcC//waaB//ygfX//alsB//selB//yfbS//csdE//gspI//rpiA//waaY//clpX//ssb//hiuH//yhcN//mhpC//tdcB//trmB//trmL//lplT//mlaD//fimG//mhpT//atoC//waaJ//ftsY//frsA//frlB//acpH//dsbC//bluF//hyfA//dacA//yneE//uraA//cmoA//yjhH//entF//yfjR//sbp//mcrB//gshA//uvrA//ybdN//dapA//wecA//pgaB//fepD//fdx//srlB//ydeP//cmk//ubiB//trmI//lysC//guaB//gltL//hcaF//aroA//lysS//tolR//qseB//rfaD//cpdB//amtB//yddA//dmsC//pabA//fdnG//setA//mcbR//yphC//trmH//sxy//tonB//mtn//araE//intE//ypdC//yraK//prpR//potH//galE//potA//cysN//nadK//nuoG//kdpD//cysZ//cheB//flhA//gadW//yajD//cydB//cyoD//ydhC//dkgB//trmO//narP//ratA//ibsE//guaA//hslV//hdeA//hflD//yjfP//yoaB//hypD//bisC//rhaR//xerD//insI-1//uof//pntA//rlmD//flgF//rclA//tpiA//potI//coaD//ybjD//lrp//kbp//ppiC//adiY//rsmJ//idi//symE//yjjQ//kdpE//adiA//clcA//ldrD//cysS//gmk//dsdC//yiaA//fdoI//udk//narG//cnu//lsrD//hisQ//sdhD//yeaG//surA//intQ//rfe//ompN//caiB//ycjD//ygjR//yoeE//diaA//dusB//ycaO//xapR//rcsB//hypB//entD//matP//mgrB//yehA//yqaA//ftsL//priA//nlpE//ynjA//fklB//yiiE//uspE//gpmM//pckA//otsB//relE//efp//nrdR//elaB//hybO//srlA//waaC//yeaV//arnE//ampH//yohD//mrdA//ypdF//nikD//rtcB//hybB//kdsC//yqiH//thiI//cusF//holC//endA//rcdA//ybfA//murJ//nudC//fhuF//ahr//galF//rbbA//cbl//ybfA//sgbH//elaD//glnH//chaC//hyfC//rsmD//lpxP//srkA//dpiA//puuB//paaC//ghrB//menA//cueR//pheP//aceK//birA//fdx//argO//ppiD//pdxK//iaaA//ldcC//cvpA//nlpI//gpr//rcdA//torA//mrcB//nusA//hsrA//ompT//creC//purU//polB//ruvA//tdcA//glcA//cdaR//cspB//yfbR//mhpD//hflD//nrdH//mtr//thrS//fdoH//yjbF//yggF//yeaG//rutE//cusA//lacY//yghW//murC//aroG//bioB//yhjR//thrB//mntP//mepA//holD//fiu//nfo//gudX//sgcC//elaA//corA//flgH//fixB//gmd//livH//torY//ribC//borD//emrD//rluA//topB//yehY//yfcS//glxK//fruK//pyrD//exuT//rnr//nikE//yqgF//pgaD//yadN//acrF//yahI//srkA//srlA//yciH//rfbD//borD//pykF//vsr//lit//ftsX//malX//yafO//lysP//mglC//betI//pncB//rplB//ydiV//rhaB//pheS//yegD//prpR//aldB//uxaB//ycjU//secY//fecC//prfC//abgB//shiA//ybhI//tig//cas2//murF//argD//xseA//envC//panE//yciA//efp//ydjM//rhaB//fumB//fadA//gudP//menA//thyA//yidR//ssuE//waaP//casD//fecB//yccX//hipA//ydeP//pspC//gpr//ulaG//ftsN//ybiW//ulaF//ycjU//bhsA//sgrT//dld//macB//yphD//rdgC//mdtB//panF//fabG//hokE//torC//yfcA//yifB//xisE//sufC//holB//ddlA//paaB//sgcB//phoQ//cbtA//yajR//cyoE//glgB//rpsR//ettA//ftsN//fis//insH-6//pepN//cynT//birA//dacC//ubiF//evgA//manA//ndk//codB//entE//sbp//xylF//mtlR//bisC//betB//edd//xthA//hemE//yibH//rapZ//argR//rng//bluF//nikC//rpiB//zapC//mdaB//insI-2//minD//opgC//tonB//mocA//dicC//ycaN//fimD//elaB//mdtP//yeaV//zapB//glcA//glcC//aceF//argS//waaS//rplR//udp//glpD//psd//nimT//hfq//cpxA//waaQ//hupA//gpmA//flgH//cysG//yfdO//ivy//frlR//ydaN//dadA//proB//znuC//kdpF//yebQ//ffh//lpxD//xseB//purL//yghB//citC//ybiX//dtpA//rpsI//arnE//nagZ//ydfK//flhD//murP//prmC//pppA//caiT//gatB//sspB//glnK//fadJ//ydeT//msrA//rarD//osmF//ssuB//ortT//mdtG//tonB//ompR//yggF//valS//rplF//dosP//ispB//arsC//holD//mhpD//hrsA//ibsE//hupB//pnuC//insA-1//yafS//rsmC//dinQ//dtpA//bglF//acpS//exuR//yhgF//priC//hcaB//msrC//alsE//cysH//ldcC//cstA//fadI//pyrB//wzc//aroK//glcB//yjbE//ftsA//hexR//hisS//rhaR//plaP//moeB//ybcM//exuT//viaA//hinT//tatC//iscX//gcl//zraS//rbsR//emrB//pheS//yieL//kdpF//nrdR//panZ//tdk//yccX//waaS//tktA//tisB//glgX//rutE//ribF//frmA//epmB//cydA//yqgB//puuD//pdxH//yrbG//ydiV//clcA//rplF//rapA//arfA//ynfK//fadE//ndh//argS//speD//cysM//dgcZ//xseA//ybjG//ybhP//artQ//yjhP//acnA//sufB//ycbB//ydaC//torD//galP//fhuD//tdcE//yggE//mog//qseC//nagK//yahO//asnC//mdtJ//livF//agaV//pgpA//rbbA//cadC//rimJ//tatC//yciV//hdeA//proA//cutC//lolB//dapD//pinQ//csgG//caiT//rnc//metR//ygeR//pykA//dinJ//tmk//rpsH//ycjQ//yeaG//pdeK//glpR//tas//dcuC//ilvC//sbcC//rhaB//ftsK//artP//livM//fimZ//yibT//baeR//napD//ibaG//clcB//lacI//alsE//crl//rfaC//narL//etp//pgaD//lldP//ispA//malX//def//yagE//fes//atoB//ygeR//dgcE//yehT//ynbD//gstB//purF//feoC//sgbE//gluQ//tcyN//hslR//cysU//nuoM//nadC//ispG//cheY//mtr//accB//flgI//yhjC//yaaU//rpsM//elfG//metI//hycB//arnF//rplS//yfeX//lepA//mngA//cspD//rseC//aroC//tamA//artP//
GO_0006808_4	srlB//rimP//roxA//
GO_0006810_4	rimJ//ydfH//csiR//hybF//yahF//rseP//rhmR//kduD//ppiD//ynjD//cysB//entE//argG//entA//modA//malY//lipA//napF//rhaB//surA//mutL//dhaM//yhdJ//pgaB//artM//lysS//yqeF//pgaB//hcaR//ygbI//tus//rlmN//dedD//umpH//basR//sapF//thrA//bamD//lptG//kefF//dnaB//yrbG//glvC//gcvP//ybcQ//gmd//efp//hmp//iscU//yidA//gspF//lptE//adiA//yhhY//manX//yiaA//metR//entC//rhoL//ybbN//pgaD//fimH//rusA//mgtA//ibsD//crl//aaeB//ybdZ//rsmF//yraH//degP//yidC//lgt//phnM//greA//cdh//holE//rpnC//galR//yhhZ//hmp//kdpC//rluB//gatZ//prc//clpB//agaW//plsC//hpf//tpx//cdaR//frmR//rpsB//menE//udk//dgcJ//prfA//opgC//fadI//hyfF//lptD//yhjA//ddpA//yggP//phoQ//yedP//mdtJ//napD//torZ//yqhD//yafS//dacB//gltB//iclR//ortT//rcdA//bioH//yggW//ygcO//lptE//pstB//cra//csgE//ygfI//lptA//tdk//tqsA//yeaK//yadK//moaC//lepA//potI//yadV//rbn//fryA//hycH//yajQ//cpxA//tgt//pgl//epd//rbsA//thiM//leuS//nlpD//umuD//rutR//guaA//ydfG//yiaU//hybG//rpiA//ppsR//alaS//cueO//prmA//csgE//ghoT//rimJ//ygfI//azoR//pdxB//ybhR//flhD//ypjD//thiP//rutA//yaaU//rbsR//ydjJ//frwB//uhpT//iscA//tamA//sdhE//hrsA//yciK//narY//yjcS//prlC//flgJ//rpsK//tdcF//ycaO//coaD//cspD//osmC//blr//pagP//murI//gdhA//gldA//trpC//frlR//znuC//epmB//amiB//dcuC//rplW//accD//ypdI//coaE//potF//galU//nhaA//rlmI//rimM//entS//macA//betT//pepB//nhaB//folA//dpiB//yghO//tdcF//trmD//fkpB//fryC//purL//rplX//citC//iraP//puuP//hypB//yqhC//znuA//pphA//ygdG//mcbR//mlaF//rfaG//narL//fur//nrfA//flhD//chbC//mnmE//hemB//pgrR//yjbB//yghW//lptA//malE//decR//pdxK//ynhG//glk//adiA//lysU//yjiY//phr//hdfR//cyoC//ubiD//malK//insA-1//thiE//menD//yfbU//umpH//ecpR//lolC//csiR//putA//insH-5//pyrL//dgcT//galU//tdk//rsmB//argP//mrr//murJ//yghU//leuB//dtpC//argP//agaI//mscS//rpmE//kduD//tar//nanS//malF//mcrA//phnI//gatA//hslR//gatD//yfeD//sodB//yfbS//btuC//dcd//ugpC//elbB//yghG//rnb//fadD//frwC//thiG//leuO//truD//hupA//yihU//rplT//srlE//blc//hybF//rtcR//dnaB//nadE//preA//yeeO//tomB//mqsR//rbsC//cysI//adk//aaeA//glpK//ygaV//yobA//lon//hyaA//yggW//alsC//dgcQ//appY//blr//yciK//radD//uidR//lpxD//coaD//rimI//ybjX//glnK//nimR//cydA//rhtA//cas1//yhjA//pfkA//sufS//treF//gmd//tdh//srlB//nhaR//glxR//pabA//rpnC//pgpA//mzrA//rng//azoR//lexA//hofP//gshB//ghrB//qseC//rclA//yfeW//accA//yobA//nikR//ynhF//cusR//yjbG//mutY//cysD//endA//gadW//obgE//ykgM//kdgR//wbbK//fryC//uxaA//rarA//hypD//ssuD//mnaT//satP//cheY//yeaE//gcd//zupT//ybcL//fruB//fimD//dapA//sgrT//mlaB//holE//hycA//mlaF//dkgA//chbR//ccmH//mutY//ycdY//cheZ//lsrB//yiaN//rffT//nagC//rpoA//guaD//yjjV//secD//exbB//mcrA//nrfE//yjjW//rpsG//pagP//mhpT//rlpA//rffM//nlpI//yhhT//tufA//rpsM//argC//menD//dppC//pspC//pdxB//crp//asr//alsC//dgoT//agaS//tauD//araC//atoC//sgcA//dcuA//dxr//araG//pcm//ybiH//gpsA//ydjL//nuoE//trmL//prlC//chbF//pgaA//hxpB//aroK//uidR//yggW//sixA//yedF//ruvC//fryB//napD//betI//zntR//yajD//torS//sapF//adiY//cobS//lepB//mltF//kdgT//menH//dmsB//bssR//iscX//rseP//ynfF//fadI//chbR//yadC//entC//degP//ykgA//dppC//coaE//ybiY//rpiB//yjhI//ydfD//hofO//rhaM//aceB//lpp//pnp//yihX//nrdI//yfeO//smpB//dapF//ydiZ//oppF//tusB//ynhF//moaE//hinT//hybE//dusB//nrdG//shoB//yjiX//cheY//torR//rlpA//rsmD//mltA//kefG//yqeG//trpL//sbcD//xylF//uvrD//ecpR//yehT//lacY//cirA//mprA//yjjQ//yobA//gutM//umuD//argA//yiaJ//mgrB//kch//umpG//sodB//cynX//nrfF//ycbB//uhpT//thrB//lpcA//fliS//frdA//ycfH//pgsA//mmuM//tomB//fic//bssS//ykgF//gcvH//dapA//ispF//glxR//intA//wzyE//casE//icd//prmB//osmC//hlyE//aldA//lpd//gntT//rclA//crp//potI//melR//rbsC//galT//rnpA//rbsD//nupC//dxr//csgE//nac//ydcS//sgbH//talB//lysS//lipA//yaiW//gudP//aroD//putA//pyrG//hupB//ftsY//yieE//relA//nfuA//ruvA//lpoA//wcaC//bssS//fkpB//moaA//
