#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	alpA//intS//gltB//prfB//
GO_0006952_4	ychF//lldD//sfmA//yfcR//ygfA//aphA//parE//cbpM//murG//yehD//ydcM//leuC//
GO_0006970_4	shiA//hupB//fabG//frlA//feoC//trmH//rfbC//ybdG//tap//acnB//uvrB//pgaA//gsiA//ybaM//frmR//insI1//cbeA//iscA//flhD//ghoS//pdxK//yedF//fliT//bioC//ybiY//folP//yqhC//fepD//holD//ulaA//rutD//alsE//rfaB//envY//panF//cadB//yoaA//ompT//
GO_0006972_5	kch//tehB//rtcR//fliT//ilvL//nlpI//hypD//fieF//appA//suhB//lptE//mtnN//lsrD//obgE//
GO_0006974_5	secM//lsrD//treR//eptB//ybaM//ihfA//frlC//aslB//lpxK//fur//opgG//envZ//nei//dgcE//minD//efeO//gntK//appY//aceB//nikC//cptB//miaB//bisC//adiY//ompF//hybC//lolB//glcA//ppiA//lptE//bglA//eutA//yieH//hpf//yqcG//aroB//rlmF//skp//copA//ybaL//mutH//ibsE//metB//gltI//fecB//yibF//maoP//cyoA//wecE//rplD//fdrA//aas//dcuR//ruvB//ruvA//puuB//rhtC//accD//rplA//yheT//ldtB//frwC//bamC//syd//fabZ//dpiB//nagZ//pckA//hprS//ynfH//acrZ//yhcF//ribE//gntT//acrF//mdtJ//cysU//aaeA//nuoF//recB//aroC//ycjQ//oxyR//cysN//rpsG//blc//opgB//ybgI//glcE//pldB//ybdO//menC//asnS//dusC//mgsA//adk//selD//speA//agaW//gnsB//sfmF//ygcO//grcA//dxs//ybiS//ybdM//hrsA//ddlB//aphA//livM//ilvN//agaD//folC//fadI//pntA//pdxA//mrcA//bcp//trmD//setA//murP//aslB//gltK//basR//rffH//hemH//potA//ridA//frwD//cysE//symE//rpsL//kdpE//ada//rmuC//nupG//insA-1//ycaO//pckA//yceO//ydiB//dhaR//menA//alsE//gspJ//waaF//eamA//dgcM//pncB//rsmF//parE//tnaC//kefG//yqhC//ilvD//rlmM//hmp//nadK//gcvH//xylB//recA//clsC//uxaB//rnhB//acnA//mngA//pheM//pagP//yraJ//ibaG//der//cheB//clsB//tolQ//actP//spoT//cdh//nrdE//hyi//hslR//btuD//argH//ybdG//btuF//pdhR//xylF//hemH//yeiE//hdeD//hisF//cbl//ybiH//bglF//clcB//tisB//sdhB//glgA//lnt//ubiC//bcp//rfaB//glxR//ykgM//purL//cusB//mdlA//cas2//chiP//glpC//ubiE//rlmL//ribC//mraZ//hyaB//yfcR//nirC//rarA//yhgH//yegT//ulaD//mnmA//yqhD//rhaA//purB//yfcS//ompF//acrB//fimH//agp//yfaL//ykgF//ybiA//fcl//atpC//nanK//ybiH//recJ//lsrA//yhjA//rssA//iraD//ycjR//epd//katE//ygcO//rsmG//
GO_0006979_4	rpnA//htpG//aroD//mlaE//ftnA//fes//yehD//greB//prlF//yadN//rsmI//ibpB//agaA//atpF//cyoD//creB//degP//rbsD//ypdC//lptF//msrA//tcyN//caiE//ybcQ//tpiA//ybdH//accB//ibpA//ssb//ilvE//ggt//fetB//ghrB//thiD//narI//nagB//radD//relA//mglB//potH//nadK//cysB//marR//mhpC//cpdB//amiD//lhr//casD//flgI//thiC//nrdE//recC//rfbC//rmf//tatB//fepC//gshB//cspE//dsbB//ispB//ompT//aroH//tolA//rpsH//pdxB//rpmA//yqiI//uspE//patA//mdoD//csiD//mdoD//zwf//gadC//csiD//dmsC//guaD//rluE//aceA//skp//infB//pflA//cyoE//ybjC//hscB//fnr//
GO_0006986_5	frlB//yodD//hscC//eptA//nagD//hha//
GO_0006995_6	fadR//hslJ//
GO_0006996_4	rayT//acrE//nlpD//glcA//metN//mzrA//mukB//yieL//yebK//mscS//gadE//yejF//mntR//lpxK//ulaC//yggF//queA//fklB//elfG//yjcE//yqiI//napF//tolR//mnmA//ynfL//ybcM//relB//pyrC//greA//mhpD//yfdC//yjjQ//yqjA//puuB//rpmE//btuE//thiI//ydcZ//feoA//
GO_0007010_5	norW//
GO_0007059_3	aas//dgcJ//flgE//lgoD//ytfR//ihfA//kbaY//artQ//nhaA//pppA//
GO_0007062_4	ompW//yhhT//ydhC//ynfK//
GO_0007154_3	cdaR//rnt//garD//fadJ//setC//ulaA//arnA//hcaT//accD//ghrB//hokE//cadC//yafO//chbB//gspJ//livK//gudP//ispU//ymjB//dgcZ//ycbU//yhaO//yacG//ycdY//dnaK//rimM//yrdA//lolB//malI//edd//yiaA//lldD//ynfL//iap//sfsA//topB//nuoF//rpsE//amiC//znuB//yiaL//parE//lpxP//polB//flgD//aspS//intE//selB//ypdB//ykgF//proX//yiaL//cyoE//modA//thrS//
GO_0007155_3	dacD//trkA//uidC//stpA//nimT//rsmJ//mug//xisE//uxaB//rraB//tolC//macA//mpaA//ydiR//pncB//rlmC//rplP//menB//rph//appA//udk//fumA//wcaB//paaE//rsfS//adiA//yjjB//yphD//proA//pdeR//ppx//menA//yceD//sodC//ybjG//
GO_0007163_3	yhjX//
GO_0007165_3	mtr//mdtP//rlpA//glgS//cdsA//ilvA//tatB//rhaA//apt//yadM//degS//hemN//srlA//exuR//sfmH//yhbO//chbB//pncB//yhcD//mqsA//gadE//zupT//crcB//rsmI//motA//accD//sfmH//aaeA//cysE//fdnI//rpsN//lolA//setA//folP//zur//yfdG//tar//folX//speC//truD//lysA//dhaK//fliA//yafS//rsmB//mdfA//yfbU//kdpD//yhjA//gcvT//dapA//puuA//sdhC//yebG//topAI//pcm//kefC//yibF//yfcU//setB//
GO_0007166_4	prmA//tsaC//mscS//hisQ//
GO_0007215_5	bioB//yrfG//cas1//clsB//
GO_0007231_4	rsmF//
GO_0007234_5	yijE//
GO_0007267_3	dnaN//yiaM//
GO_0007346_6	cysE//lolD//rbsA//
GO_0007584_4	ogt//hisS//yqhD//thiD//
GO_0008033_9	focA//ppiD//folM//ycbV//frdC//csgA//rspB//glrR//ycbU//ldrB//ampH//dppF//galS//metG//glnQ//evgS//mdtQ//ydcP//glvB//purU//yghU//ykfI//bsmA//map//radD//wecC//kdpC//fau//hybO//yehP//ydaN//mgtA//hemL//dinB//ftsX//dcp//baeS//cspD//rzoD//ygfI//secA//ymgF//yhbY//yafE//murQ//gspF//thyA//ydiQ//yeeA//kdpD//mhpD//yfcU//ltaE//paaD//rffH//bhsA//
GO_0008104_4	deoA//idi//yigL//bisC//sspA//yjiM//mazF//deoB//sfmC//yidZ//rlmM//lpxP//yjiY//rhsD//fau//yihR//ydbK//ynfE//sdaA//mlaF//rbsD//yqeF//kdsB//tqsA//fimG//dtpA//ynjD//alsC//bacA//treB//sdaC//pgi//prkB//trmJ//malI//trmB//rbsR//ftnB//fetA//ribC//yfcF//lpxK//truD//mak//menD//yjjB//opgG//tqsA//rimP//
GO_0008156_8	cynX//ynaI//rne//ydgA//ppiC//pgk//
GO_0008202_5	nadC//
GO_0008206_5	mepH//
GO_0008213_7	pdhR//rsmE//yggT//ydcS//kbaY//ruvC//metI//orn//
GO_0008216_5	prpD//ppsA//wcaB//
GO_0008219_3	hemB//nanE//ybjG//yciE//caiD//waaC//ytfE//cptB//ppiD//ydjM//atpE//ygcW//yggD//rng//nadC//
GO_0008272_6	mlaD//phoE//mdaB//csgA//ndk//uxaA//cysS//
GO_0008295_6	mukB//ybjL//dapB//
GO_0008299_5	atpB//yidR//ybdO//hemF//nadD//pal//
GO_0008360_4	tusA//ghxP//amiA//pgpB//ompA//sxy//ccmC//pdxA//nrdG//arsC//mglA//gloC//glvC//rhaD//yhhT//ttdR//
GO_0008361_5	ydfG//ybiY//smrA//ibsA//lacZ//
GO_0008380_8	yggE//
GO_0008610_5	yeeO//pdxY//frmB//mdh//yggW//prkB//galS//azoR//zinT//rpmE//dnaQ//rdgC//agaC//yggE//dusB//dsdC//hemC//casA//waaP//cysA//pgaD//adk//ubiA//flhC//ftsK//argE//nagK//ssuB//dpiA//yjiA//yadC//trpB//yihT//ubiB//araG//nrdB//kdgR//tcyJ//rbfA//ytfR//yidK//ybiJ//amiD//adeD//nepI//ppiA//mntR//glcF//ydeE//fimC//prfC//mtfA//nrfC//phoB//thrC//dhaL//yhdJ//mdtO//yaiP//ibpA//proA//flhC//kdpB//mltA//hexR//hipB//npr//
GO_0008614_5	metH//yhjR//lsrC//mreB//prmA//fixB//trmI//
GO_0008615_6	ynfK//cyaY//blc//higA//rng//gloB//galS//
GO_0008616_8	lsrB//lpcA//ybcM//glpF//apt//moaA//patA//
GO_0008617_9	rlmJ//
GO_0008643_6	eutD//yrdA//ompL//ykgO//hybD//pgi//bisC//gcvT//hemA//entH//sthA//ydfD//sufA//hemB//metN//phnI//ansA//acpT//cecR//yiaB//mntP//dnaK//speD//ebgR//rfe//cysB//rnlA//nanS//map//yqeG//hemE//torC//argS//hcaR//tqsA//glsA1//pheM//gntP//deoB//sdhA//malF//cbpM//lyxK//rbsC//pabC//bglJ//cedA//rplD//pdeR//uspF//prpD//yagE//puuA//bipA//nrfE//acrA//nac//clpA//garR//ygiS//agaB//mraZ//tcyL//ppk//ascB//rfaC//mazF//allR//hslO//frlR//ynbB//insI-1//rfbD//exuR//phoB//nikR//purL//trg//cecR//wcaB//rplJ//rhaD//lysC//ydcZ//viaA//sapB//coaD//dsdC//proC//dsbB//pdxA//tolA//tpiA//rsmI//ybbW//clpS//mutH//rluB//opgC//glgP//serS//greB//sgrR//hemF//rpnD//panE//msrA//tatD//serC//ldcC//trpS//menB//paaZ//minD//
GO_0008645_8	rzpR//ybcC//fabB//manY//yiaA//dnaB//nemA//flgF//higA//hfq//speE//rssB//hybD//fecB//purC//scpB//murA//mdtQ//ybhR//cpsG//wzc//ydfK//ivbL//atpA//
GO_0008652_5	cydA//cmtB//menF//pheM//ynhF//glnH//yhcF//opgE//lldD//gatZ//zraR//yehZ//rseB//ascF//ydgA//cstA//pheP//menA//gntU//folC//mlaB//bglJ//sxy//frwD//cptB//hofO//tbpA//zinT//adeP//gpsA//nupC//clsC//ynjA//sbcD//rffH//cyaA//icd//pbpG//yjaZ//rhmR//ihfA//ybhJ//yfgJ//pppA//rlmB//yciG//rmf//yiaF//bioD2//hsrA//deoC//cpdB//elaB//agaC//phnP//srlA//arnE//yqaE//rne//yfeW//tyrA//ldrB//mdtN//hofP//aroF//sdhA//argG//lolC//dppB//ccmA//yjiM//glpD//ybdG//bdcA//rpe//ykgM//qseC//ompG//tig//hflD//fepB//selA//ymfK//metQ//nudC//clcB//roxA//rutE//ycfL//ykgF//nac//pstA//atpE//gmk//tcyJ//pheS//yhjG//alsC//yccX//ydhJ//spy//dicA//mazF//cusF//uvrB//argF//phnC//glnP//lexA//sodC//rpsT//nepI//chbB//xylR//
GO_0008653_5	napD//ftsH//gadE//rbsD//pdeR//ravA//dapA//ykgA//purR//murB//sbcC//rbsC//dcd//
GO_0008654_5	cnu//ychH//coaA//rimK//nikD//ybbN//chpS//rsmI//phnH//cbrA//rpoA//rbfA//dcuR//thiQ//pepQ//rapZ//ynbD//fadA//fadL//ampE//rpsO//degQ//envY//rclR//xisR//nac//exuR//tag//napF//mlc//puuR//dcuB//gspF//rhtB//otsB//
GO_0008655_5	ydfH//emrD//tdcE//yaaA//fdnH//shoB//bamB//
GO_0009050_6	ydhC//arnA//
GO_0009052_6	yehX//ftsK//cedA//surE//crcB//mgsA//insH-5//
GO_0009056_3	napA//ybgI//leuC//kduI//artI//gfcE//mrcB//accC//yqgB//yehW//surE//metE//cyoC//dtpC//yidP//umpH//clpS//yraN//cusA//ycjY//treA//ccmH//trmL//apaH//hybO//mrdA//sufD//dnaK//yehA//yjiY//lolC//pabC//speC//arcC//yihT//paaH//clpX//mhpD//hdeA//ycgB//yhiM//yedP//waaG//fhlA//kdpB//yfjV//soxS//mutY//proW//flhC//potE//tyrR//narH//yjjG//ybhR//tdcE//ruvB//dgcM//rnr//malG//proW//gapA//rtcR//phnJ//yjjV//queF//rclA//ubiX//yoeE//yadI//lysP//thiP//yiaN//ydcM//dsdX//gpr//deaD//paaB//sbmA//speG//secB//sgcR//lsrK//sfsA//ccmG//mhpC//dppB//nagE//ybjG//rpsK//fic//lpp//tmcA//fcl//rfbD//rhmR//pheA//ulaE//gspI//secE//mreB//yegT//mqsR//yggT//metH//cusC//umuC//moeA//yhaC//cof//yjhB//gloC//gsiA//nikC//hinT//marA//fiu//bioC//mdfA//ldcA//clpP//nuoG//napB//citC//skp//exbB//csgA//ampE//galE//ghxP//hisD//arnD//cytR//yqeA//kdsA//rluB//hofP//ptsH//fryA//ytfR//rclC//araD//yghG//ygjK//uxuB//hemL//tap//rutR//yrbG//amiA//recJ//trpB//sbcD//pgsA//tas//atoB//citT//polB//mtfA//phnJ//tufB//holB//gltS//yjjQ//hofM//ydcM//gcvR//pckA//pgsA//tsgA//rpmF//ascB//yccX//pyrF//pntA//panB//tufA//ybiT//waaA//tdcE//nepI//csgF//pth//aas//yfdC//glcB//uxuR//nlpD//ssuD//yjjG//pepA//ftsQ//cstA//tusC//metB//tdcG//btuR//sseA//rppH//fimE//rzpR//yiaO//fliT//slyD//eco//dinD//yeaG//panF//phoA//asnC//rfbB//fabH//zraS//lldD//topB//zapE//cheR//ung//lplT//prpB//prc//agaA//ybjN//glrR//acnA//cspA//dsbD//yehT//der//amiD//pyrG//cbl//ybhR//mdtB//fimH//rimO//fumA//cspB//helD//pheS//narW//torZ//cadC//ynfL//mngR//rplN//hyaB//narH//dgt//wzc//fixA//tnaA//gsiA//yhfK//glsA//fbp//rplT//glpF//ydfK//rraB//insA-1//cbl//ilvH//hinT//focB//ydbD//entS//kdpD//hofC//hyfR//sufD//fixA//uidC//ompA//atpC//wzc//pbpG//qseB//ymfA//ybhF//gntK//ycjW//lysC//yphB//treA//ptsI//aroH//rpsK//dsbG//rpsG//kefF//allC//degP//pgpC//entC//appY//ygjK//speD//prfA//murP//selD//ydjH//gyrB//actP//cpoB//yeiE//trxC//agaB//ynbB//preA//ydcP//yacG//birA//dmsC//fucP//frvB//yobF//nanT//yqgB//cpxP//pyrL//yraH//csrD//aroL//mepM//crl//pdeR//moeA//yehD//mdtG//hybA//hcaD//ygcO//kdgK//napA//mmuP//secD//lapB//fdx//ubiD//ycgV//efeO//yggF//kefG//iraP//gcl//pgaB//pepT//yiaF//yciT//ibaG//betI//eptC//flgH//sbcB//sfmD//truB//kdpB//pntA//crcB//ldtD//cra//cyoC//ebgA//mdaB//rluC//rof//ldtB//mdoD//fadA//mdoG//clpA//yoaB//rne//hicA//curA//erfK//yjgX//torS//ybhA//artM//tmcA//ycbU//yjbH//sufA//ampG//bglH//pldB//secA//yehA//ybiV//ymgA//yciF//xylR//entB//sucC//iscA//selB//ydjK//fdoI//hofN//ghrB//slyD//truA//idnK//yabI//exbD//ydjM//ynaE//lipB//dacB//rna//hycI//fimF//rbsR//ybjD//
GO_0009057_5	ddpA//zntA//hcaF//gadW//nrfD//rplO//ftsZ//proB//emrK//dicB//rmf//vsr//yddL//ibaG//lspA//aphA//sfmH//yiaJ//murI//cbpM//vsr//lldR//yieE//ybaM//xanP//ytfE//modC//nuoB//fliS//rihA//hrsA//sdhD//ygbL//yqcC//ompN//pflB//ygjR//prpR//dnaC//cysS//glcB//rhaM//alsK//actP//frwC//uhpT//yidA//argG//yiaU//fliL//rplD//sufA//moaB//frwB//
GO_0009058_3	lexA//serC//lolC//cnu//rfaG//btuD//yahD//atpC//rplC//cobT//murC//rfe//panF//nagA//uhpT//rpoD//yraH//ubiX//fadM//lpxK//ytfE//erfK//torC//tdcF//ybiJ//rstB//ltaE//manZ//ssb//yeiG//acrE//manY//rpmJ//waaQ//ubiC//fetB//cyoC//zur//xerC//amyA//fliL//pdxA//trxA//ychO//ahpC//ilvA//allR//lldD//ydiF//nrdF//rph//tnaB//serA//groS//yagF//mqsA//dgcZ//yfiR//sohB//higB//ychF//araC//pspD//flhA//ybhI//ftsK//rpmC//yfdS//kefF//pspC//entE//htpX//aidB//livF//glpB//xapB//csgE//flgF//yfcP//yedF//htpG//ampE//uidC//rpsI//yhcD//citX//cmtB//cysN//hscC//csiR//hxpA//dgoD//ravA//insI3//murJ//dcuA//yaaA//lacI//pinE//nrfE//rsmE//ppk//fdoI//chbA//bamE//yghW//rclC//bhsA//rpoD//epmB//erfK//yahK//sbcC//sgcC//fadR//yifB//proA//rpmE//poxB//hybG//murF//agaV//mhpD//mfd//casC//nepI//glk//ppk//thiE//fucI//yrfG//uhpB//rplO//argC//pitB//yjiY//pppA//yjfF//nusA//xseB//argI//yjbG//rpmG//fdoI//fadH//tmk//glpT//nadK//rplM//tsr//ulaG//pflC//uxaC//ftsA//dam//kefC//menB//yedP//argB//fadA//phr//yabI//fecB//recD//acpP//astC//yejE//glmM//ulaD//exbB//ftsI//ebgR//syd//ymgC//cnu//xthA//agaI//mgtL//yehD//ygiN//sdiA//yijE//yheT//hchA//murB//eutN//ffh//rseP//hypB//yfdO//rplE//cpdA//nusA//gsiC//hemD//metI//argG//lysS//hcaR//zupT//treR//nagE//yqiH//mmuP//entA//ybhJ//lolD//agaD//nadB//dmsC//frr//argE//ssb//rluA//gspI//murG//sfmH//wcaB//alaS//ybfA//sdaB//ilvD//ftsX//torD//frvB//malQ//glrR//hinT//nrfA//katE//ydcO//ascG//mltA//mdtI//fadR//yqjI//glgA//clcB//adk//ygaZ//ettA//pgk//atpB//ychF//fklB//malE//ubiG//rplY//ompA//gadC//yfcR//ygjH//yibF//purA//lepB//entA//phoR//yjeH//yhfK//pspC//thrB//mreD//yiaU//afuB//mprA//yqaE//treF//sfmD//rarA//yjiA//hcaD//cutA//ybhS//cvrA//phnH//lgoT//hisC//fadK//hxpA//hpf//cysQ//astC//yhbQ//ackA//atpD//sufS//intZ//pgpA//yfdO//tmk//yjeH//adeQ//accD//ybcL//yfbV//aroE//arfA//pdxB//hpt//rapZ//mtnN//casE//fdnH//qorA//panC//hypD//dnaJ//alsK//ygaH//btuE//yiaL//adiA//dgoD//hybC//recJ//uspB//pitB//pabA//sulA//acnB//rpsS//thiH//ycbU//rho//ydhJ//rutE//tadA//ribA//ycfH//cca//glnK//envC//insI4//dgcZ//yeeY//ompR//hyfF//preA//hscA//bipA//kdgT//guaC//cheB//fadI//paaJ//yghB//manA//cueO//hslJ//rof//glyA//yhjA//pdeK//cueR//allD//arnE//mltF//chbF//murD//opgH//rffH//insH-5//hscC//btuR//rpiB//ybdO//nadD//mglB//tsgA//selD//hemH//baeR//sucB//yjhG//torI//dsdX//lysA//xapB//waaA//priA//fruA//cobB//ttcA//ldcA//sbmC//gloC//gltD//osmC//truB//thiI//sodB//nudC//holA//yihV//pdeH//mrr//rlmI//putP//curA//argA//ybjX//abgA//gcvR//yagF//ribA//bcsQ//tusA//arnD//yjiA//dnaK//iclR//ade//dmlA//ruvA//yebG//aldB//cadC//csiR//acpT//cbtA//cueO//yhcD//basR//ycjU//iscS//clpA//zwf//dgoK//gcvR//ruvA//exbD//lysR//cysW//eutA//yehY//xanQ//glxR//pflC//mnmE//fes//clsA//rcdA//uspG//hslO//cmoA//cdgI//ydiB//yahB//mug//mdtB//ycfS//rdgC//yfgJ//bioP//tsaD//trxC//garP//yjjV//ybhF//hinT//aldB//elfG//aaeR//yoeB//osmY//nudC//hisP//fadH//yegT//arnA//purU//yceK//pgpC//ytfE//sanA//rodZ//ygiW//frmA//yqiI//fimD//ghxQ//dnaN//thiH//rtcR//araA//malY//tusA//yaiV//sbcB//yjjI//rplC//bluR//phnL//iclR//speB//casA//cueR//alaE//ygbL//yqhD//insI3//yaiW//sixA//iraD//thiL//mraZ//talB//yfaE//ampD//sodB//bdcA//dacC//rclB//ybeQ//flgG//ahr//afuC//yfbU//yebQ//ycdY//btuE//cusR//nadC//hicB//fliL//yicJ//srkA//dhaK//ispG//rhoL//livF//glpC//ytfQ//miaB//glpT//queE//flgK//gntP//yjjX//insI1//yeeY//fdx//dgoR//ychF//sseA//fucO//mmuM//patA//yadK//pspG//ycfJ//aphA//atpE//citX//deoD//hsdR//casC//curA//ispF//glnE//lpp//fabA//yfeR//casB//cytR//nikA//ptsI//yjjG//yfcP//betT//phoU//fliT//lsrR//yrfG//slyD//mutL//chbG//idnK//ulaG//dsbA//mhpR//yfgI//btuE//waaC//moaD//clpX//def//rsmH//grxD//yhdH//pdxJ//paaD//gldA//poxB//cyoC//avtA//thiC//yfcF//nlpD//serC//lpoA//rraA//zapD//grxD//ybcC//aceK//eamB//tauC//rplQ//amiD//frvR//dauA//gpmA//tomB//edd//mltB//ompL//folP//ydeM//cpdB//dfp//yjaA//waaP//yadN//yoeB//hokB//modB//rhmR//thrS//plaP//narX//hofP//yidE//tamA//zraS//yijE//glxR//mpaA//yjbB//kefB//ftsA//yehD//csgD//lipA//arnE//xisE//ymgC//purB//srlE//fhuD//rclB//sapF//nrdG//puuD//dppF//mltD//sstT//atpA//rzoR//ispG//dhaL//rppH//cysI//hyfA//glpC//hupB//tomB//uup//ybiT//rnb//yjcE//aroH//ais//gmhB//rarD//yqiJ//pgpB//yraN//gstA//ycfJ//recB//gsiA//chpB//purN//rplX//yfiR//fimB//xerC//hisD//cheA//ydaC//mtnN//focB//trmH//guaC//ynbC//pspC//lsrA//stpA//yciA//yjhG//yhhZ//puuC//rsmA//yfcP//ydjL//ptsN//phnI//ybjI//hyfF//trpL//ibsC//glxK//lgt//ygaV//rhoL//iap//rpoS//ybfA//viaA//xylG//waaZ//manZ//agaI//dnaN//gor//puuP//nudC//hcaE//yebQ//yidH//fabD//livM//iscU//waaB//rpmA//folD//rplL//hemG//oppB//araE//ccmG//mdh//aldA//yihT//hldE//gsiD//rlmD//argT//aceA//cmoA//gsiD//ynjD//gltI//rhaB//trpL//betT//cysP//ybjN//alaE//cmoM//hscC//manA//crfC//rhtA//yejE//torS//
GO_0009059_5	guaB//narG//ilvA//csgB//chbC//sapF//hcaR//recB//sgrT//dusC//narZ//hslU//mtnN//ypdF//ftsH//spoT//mrdB//ogrK//narL//hexR//yadK//manA//rlmG//mgtL//ycaN//miaB//yrbG//hyaD//nrfA//acrA//ortT//insI1//metH//psuG//cspA//adeP//fumC//yfjR//rfaE//glxK//oppC//hybD//fkpA//glgC//hcaB//yahD//fimG//preT//yaaJ//pdhR//ybiV//cusS//lysA//yqgF//queG//fadM//ubiJ//hxpA//flgI//pheT//fieF//yciH//ykgM//sppA//pcm//tdk//rlmF//hyfC//trpS//ftsH//queF//chbB//ygiW//ubiG//appC//efp//galT//ptsG//pppA//yhjX//dmsC//asmA//xseB//ttdA//bioB//cyoE//clpX//rluF//tcdA//yqgF//metQ//yhhZ//bglH//ydiR//ytfP//rpsK//yhaO//ileS//aphA//ahpC//yagJ//sodA//manA//yieF//recD//ibsE//cedA//cmoB//fepA//gatD//birA//fhuB//mutL//ydiB//valS//cmoM//lgoT//kefG//cdaR//lpxC//ygfI//hdeD//atoB//yraJ//rimO//livK//hcaD//hofM//fhuD//torD//yfcQ//appC//yidE//rbfA//ybdR//pstA//queA//artQ//ulaB//ycbB//yggD//gltP//hda//gadB//ispH//rhoL//puuE//yqeA//recN//cyaA//tnaB//tusB//appB//frwC//argH//acrR//yqjA//rdgB//lacY//hisM//dmsC//ycfS//mltD//dmsA//trxA//yiiD//hofQ//hofC//yahN//yfjV//cyaA//infC//potA//amiB//kdsB//ybbY//gmk//ppiA//fliS//cobT//bioD2//ghxP//ridA//norR//gntU//sodA//prlF//phnI//yfaV//focB//rodZ//rpmE//cyaY//cyoB//metE//yadN//ybdG//ais//rhaM//entC//yihU//ynbB//tap//minC//speF//pgpC//rplD//yiiM//ynhG//tusA//gcvT//tyrA//tmcA//flgE//allC//yfaX//bioD1//lgoD//sgbU//pyrG//dps//csgD//dnaE//scpC//roxA//fetA//mug//mdfA//folP//ghxQ//ugpB//yafE//yhiM//zntA//yhaV//lsrC//napB//cysZ//napF//btuF//coaD//epmB//acrR//ybjG//ygeV//ampH//ebgA//xisR//murQ//glcA//mdtJ//npr//birA//flgD//nirC//creB//rnpA//ggt//waaU//mmuP//lrp//gnsB//yghU//lacY//lipB//yggE//rseP//idi//potF//mak//casB//yafE//eutD//ridA//argD//yqaA//atpH//pabB//mutM//fimF//rplX//mpaA//ychF//thiG//cysB//intZ//napD//ygeX//fimF//ygjR//bamE//ibsA//cbrA//mtn//hycB//yahO//yjjV//ulaF//uidA//purB//sfsB//mdtN//pitA//rluE//sgcA//glnA//glgS//yfcF//yhbS//insE-1//nlpE//dgcM//nupX//tusC//ldtE//yhcN//bluF//
GO_0009060_6	chpB//emrY//topAI//csiD//ydcO//mlaC//cspA//clsA//ykfI//eptA//dhaK//apaH//mhpC//agaW//malP//abgT//wbbK//fliL//murG//atpA//yjjX//araF//frwD//udk//purD//yfdR//
GO_0009061_6	rraB//trmD//rmuC//cusB//dsbG//fetB//hscB//xthA//nuoB//metN//seqA//intE//rsmB//rpsK//ycdY//hybA//artQ//yiaB//lyxK//thyA//nagZ//yjaZ//ppx//gatA//ynfL//fepE//sfmF//yfbU//yaaY//hflX//uhpT//dkgA//hchA//frlA//yebS//dcm//fhlA//rzoR//ubiC//phnH//lldP//ribA//trmI//basR//pppA//prfC//thrL//gpmM//lysC//rhsD//metB//fecB//yddG//gcl//dcuS//
GO_0009062_6	cpsB//ptsH//tolC//sdhD//hokE//mlaF//yjiY//trpE//ybcQ//rpsO//kgtP//fryC//marA//adiC//ybdR//yjbB//rep//rpoE//ldtC//yfiE//lacI//
GO_0009063_5	livJ//basS//flgC//rsmD//nrdI//dacB//gpsA//rlmM//gpsA//ybjL//ddpA//cbl//mglC//lolC//yneL//dsdA//curA//wecA//dsbD//ilvB//dapD//sohB//nagE//insI-2//cyoE//yhfK//yggF//sdiA//yehW//recB//lptG//hfq//nrdH//rsmC//fryA//aroF//comR//amiC//ybjI//hisI//bioD1//katG//rffH//glnA//bfr//lgoR//dapB//dgoR//gpmA//glyS//mqsA//rpiA//gppA//yhdJ//tufA//
GO_0009064_6	dpiA//fes//fdnI//ilvL//mqsR//rfaG//ybdR//accC//dam//chpS//arsC//yhjD//arcC//fumC//bsmA//ybjN//betI//ugpA//yneJ//pheP//mobA//ldrD//agp//yiaU//tcdA//ybhG//menF//lhr//sgcE//dppA//mdtP//rpsQ//nth//rpe//higA//rpoH//trmJ//trmD//amiD//kbaZ//glnA//murQ//yhcF//citC//cysZ//queD//
GO_0009065_7	trpD//yaaU//nikC//glnP//yidC//nth//ydhQ//ybcF//serS//diaA//glcE//fadI//hybB//emrB//acpP//thiL//dtpC//waaU//
GO_0009066_6	scpC//pflB//sucA//fadJ//argT//gluQ//cyoA//thiE//tdcB//gatZ//ccmE//dcuA//ybiO//apt//hisH//fecA//cysA//recA//ldtA//prpR//dgoR//thiD//bglJ//minD//tnaB//gnsB//hybO//tktB//truA//pdeH//ghoS//dnaN//serB//yciG//glpA//minD//trxA//livJ//rplS//lacZ//citT//lolD//nadK//rfaF//tsf//grcA//ybiI//phoE//
GO_0009067_7	pabC//radD//purF//puuD//ybjN//essD//gntT//nsrR//bluF//yhjC//nfo//nanE//frwC//ldrA//nudG//gadA//yidK//rlmD//hypF//hslR//patZ//glsA//gatZ//ydgA//csdA//frvR//
GO_0009068_7	nuoB//kefB//pheT//yahD//murA//symE//yfcU//nadE//uxuA//intQ//hcaE//tdcD//cspA//
GO_0009069_6	ycaN//frc//treR//agaS//yifB//sutR//pgrR//tusD//pepN//allR//yddA//yoeE//yaaY//cspG//rutC//csgE//rimK//cas3//rutD//yraI//dinG//soxR//mqsR//satP//grxD//lpxC//sdhD//cheY//rcsD//xylF//kdgK//smpB//cdgI//cyoB//trpA//gppA//
