#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	bdcR//ssb//gcvP//gnsB//
GO_0009126_7	tbpA//xylB//dgcF//arnT//lpxK//dsbD//focA//viaA//dinQ//mobA//plaP//frdB//ybiI//cysA//chbC//gcl//rpsT//puuA//pdeH//dctR//rutF//ftsN//cvrA//kgtP//ihfB//umuC//lplA//grpE//cobB//yidP//entH//emrD//envR//cdh//
GO_0009127_8	spoT//bglA//acpT//atpB//entE//ybiH//entF//aceA//codA//gcvP//pta//narU//ldtB//paoC//trkA//waaZ//edd//hybG//sufA//yhcD//cydD//aspC//mtn//eutR//ubiB//tsx//dgcF//ycjQ//nikE//sufS//
GO_0009129_7	sbcB//rihB//rmuC//livJ//ghoT//yhjX//moeA//lpxP//ybhI//kdpB//
GO_0009130_8	tyrS//ftsK//crcB//mltG//frlR//
GO_0009131_8	yahN//atpG//yhaC//yahB//yhbX//
GO_0009132_6	leuD//ubiB//yibT//yibF//gyrA//ybiH//idnT//yhjV//yeiE//purT//sfmF//glpB//mobA//eco//uhpC//xylG//uspG//poxB//ydiV//sodC//murC//cueO//trpE//ydeP//ygbL//
GO_0009133_7	uxaB//glcC//gatD//
GO_0009135_7	rzpD//dnaN//tag//mlaD//rna//gluQ//eno//emrD//srmB//uspE//talB//ubiH//lexA//rffM//pinE//poxB//dpiB//yhbQ//feoC//yajR//cysG//ybiO//ydcS//
GO_0009136_8	araE//
GO_0009138_7	yrdA//dicA//
GO_0009139_8	pstA//cheB//
GO_0009141_6	thiL//hyaD//elfA//lysA//pck//dppF//rcnB//malZ//rluC//speB//pyrC//rdgB//fre//pepA//allD//ldhA//hslU//recN//atpF//lsrB//elaB//tcyJ//ybcM//rna//mlaF//patD//yoaB//uup//lolD//recA//citC//ybfE//mhpD//ycjQ//chbF//rodZ//abpB//nagK//
GO_0009142_7	zapB//ycjY//ppsR//dgcZ//glnE//mrp//xylH//rbsC//agaI//metR//bioB//dinG//ybjN//yifB//wecC//soxS//yedP//coaD//xerC//sdaC//betA//yhgH//melR//rnlA//lpxL//hsdM//hipA//tisB//
GO_0009143_7	zraS//fixA//gpr//hybA//
GO_0009144_7	ubiG//torA//afuC//fdx//cysG//yhbX//hycI//nuoI//flgC//pgl//glcB//gabP//prmA//sfmH//fimI//rfbC//mrcA//sgcE//cpsB//pagP//rnb//ycfL//glsA2//dfp//accA//pitB//pyrF//yfgI//basR//astB//sdhC//
GO_0009145_8	narU//znuC//asd//dgcJ//yieF//ilvE//yagI//glxK//recC//gabD//rbsB//recJ//frlR//rph//purB//rimM//tehA//tmk//mutT//glgS//sdaC//blc//yjbB//
GO_0009146_8	arnF//uvrC//
GO_0009147_7	gltB//exbD//yciG//ogt//
GO_0009148_8	aroE//xylH//
GO_0009149_8	sdaB//argP//
GO_0009150_7	mug//yidR//allS//trmI//cmtA//thiL//melB//rclR//uxaA//nudB//rihA//rihB//yajO//yadI//glpT//aroH//livK//kefG//xylA//gsiD//pgpC//rutF//ybiO//frvB//hslO//bssR//cas2//hicA//yhdX//ygeA//yhjR//endA//aceA//csgF//ydjK//hypB//ruvC//hiuH//ydiR//mdtL//fimD//uvrY//rssA//mtfA//mpaA//zapE//rlmN//ubiB//
GO_0009151_7	tolA//ygeW//
GO_0009152_8	gor//opgC//arnF//trkA//mglA//panC//fhuF//sutR//ldtE//hycI//proX//purA//asd//yagF//hisA//solA//sbcC//ykgM//cca//trmD//kefF//mdtB//mog//trmJ//bioC//fimI//elbB//tatE//fic//aroF//proB//nadD//feoB//suhB//pbpC//tdk//hslO//
GO_0009155_7	prpB//dapF//
GO_0009156_8	yacG//srlA//yccA//uspE//dcuB//hupA//hofP//cysH//crp//lepA//hisA//yabI//rfbD//mukB//bioF//blr//glyA//fliD//clcA//ymdB//xseB//ybiJ//pfkB//fucK//cysQ//lasT//ugd//sspA//ftsZ//moeB//lolA//ilvB//btuB//
GO_0009157_8	yfbU//epmC//folX//treC//
GO_0009158_8	bdm//hybF//hcaR//norV//aroG//
GO_0009161_7	rnb//rsmA//aslB//dcuA//spy//yieH//sfmH//pliG//kdsD//waaJ//rhaR//pcnB//rhaR//narG//yhiM//fadM//cpoB//arnE//mioC//yafO//potC//fimF//yghU//nac//yadI//pliG//moeB//yeaK//galP//rlmE//folC//frmR//pgl//ybjG//nrdI//ybaO//frlB//glvC//alpA//adeD//pyrE//tmk//
GO_0009162_7	mltG//rrrQ//yqhD//yidD//
GO_0009163_6	obgE//rpiA//yajO//basR//eptC//ispG//ftsI//tyrS//rutE//gfcE//oppB//ftsP//rplM//uhpA//allD//ascF//yadN//fryA//creC//
GO_0009164_6	ydgA//rpiB//envC//yqeA//wrbA//yneE//fliD//nrdE//yihL//aaeA//yfdR//iscA//ldrD//
GO_0009165_7	mog//mscM//ygbL//fhuD//yiaT//yhhT//yidZ//focA//asnA//hcaB//borD//nrfD//ecpR//sapC//wza//prfC//recA//btuR//gor//folP//mdtI//dgcF//betT//ybiH//yhgH//rpsI//pldB//ccmD//cpxP//fucK//phnN//narH//rpsN//atpB//cysP//citC//thiQ//ygfA//betA//fliL//tusB//rpsO//rpmB//hisQ//dnaQ//uxuB//ldtE//ruvA//mntS//ahr//aroL//fixC//glgS//gstB//holD//ynjD//yjtD//ybjD//pitA//rsmJ//ytfT//lacZ//fadM//bsmA//yjfF//yqjI//hemG//aceA//tmk//lgoT//yfjV//
GO_0009166_7	soxS//bamD//amiB//zntR//eptB//dfp//dcuS//uxaC//insA-2//ytfT//abgR//sugE//gpsA//yehX//waaZ//kdgK//nadC//relB//rluE//puuB//fadA//cysB//araC//waaF//pinR//lrp//potH//yraJ//yadG//ibpB//yraR//
GO_0009167_8	gppA//chbB//speD//gsiD//hycI//recQ//guaB//cysD//tyrB//ycgV//puuP//cas3//yagJ//ytfT//patA//dgoR//bolA//argF//rsfS//hflD//fis//yphD//blr//glgB//queG//relA//yiiM//ompL//dusB//hipA//yajL//hyfF//hisH//ftsW//
GO_0009168_9	ghxQ//viaA//azoR//mdtL//murJ//ybeQ//nadD//opgD//glcC//mrdA//rhtC//adhP//lsrB//galU//rfaH//ydcS//cueR//afuB//fecD//uspC//hcaD//dgt//ydeM//yidR//narY//pabB//aceF//ycaN//dhaL//luxS//
GO_0009173_8	rpsB//pitA//mtgA//yqjH//kefG//fucP//priC//
GO_0009174_9	lpxL//pntB//
GO_0009175_9	cdgI//yfeX//argK//yrdA//ligB//
GO_0009176_8	ynfL//chbC//rapA//
GO_0009177_9	yccX//frdD//eutB//
GO_0009179_8	dhaR//aldA//serC//dtd//leuA//dgcM//nfuA//garP//fecD//tnaA//yqhC//mdlA//livH//galE//hisD//ycbV//tamB//nrfF//nepI//pabB//pdeD//gcl//minE//
GO_0009180_9	ydjH//
GO_0009185_7	proX//carA//fabD//ybcM//rpe//sdaA//potC//yccX//mhpR//rlmM//yqjA//sfsA//phoE//glxR//intQ//panB//nanA//glcC//gldA//rpnC//ybcL//gspF//leuO//adiY//
GO_0009186_7	eutN//
GO_0009187_7	sdhA//npr//
GO_0009188_8	ubiF//intQ//
GO_0009189_8	emrE//
GO_0009190_8	valS//dgcZ//
GO_0009193_8	yfhH//
GO_0009194_9	dmsA//
GO_0009196_8	yneJ//
GO_0009197_9	yddL//
GO_0009199_7	sapB//thiD//panC//yggF//yehT//deoR//ldrA//glpX//fliA//cutA//murR//yodD//lgoT//perR//rpmF//insA-2//yfcP//epmB//cusR//nagC//proV//ptrA//yfdG//thiG//fdoI//cspG//tsx//lgoT//hsrA//glnA//gluQ//
GO_0009200_7	wzyE//preA//insI4//phnM//
GO_0009201_8	yjjX//gcvR//rbsA//nrfE//phoE//paaA//yghG//clsB//dfp//yajQ//hycA//efp//wzzE//rplA//metB//trpL//yadV//acpH//rimK//wecB//garR//ilvM//clsB//ftsL//
GO_0009202_8	tnaA//
GO_0009203_8	mdh//
GO_0009204_8	fabB//bcp//fadJ//
GO_0009205_8	ais//ybjG//gntR//waaC//mipA//ybgP//ybcJ//tsaE//rluC//kduI//mdaB//iscA//rplR//yaaY//sucA//essD//ydcS//idnK//rpoS//yaiV//mqsR//envY//potG//elaA//rlmJ//prpR//kbaY//rplS//dgoA//
GO_0009206_9	afuC//rspB//yhjA//tqsA//gltD//cas1//accC//grpE//yphF//cpxP//trpS//ompF//casB//tnaC//yadG//prlF//yfdK//cpxA//pck//dcp//ribE//purF//ycjU//
GO_0009208_8	yejB//sdhE//
GO_0009209_9	psuT//
GO_0009210_9	tonB//
GO_0009211_8	ilvA//ascF//mliC//
GO_0009212_9	trxC//
GO_0009213_9	rcnB//rfaQ//
GO_0009215_8	trmA//folC//
GO_0009217_9	aroA//glpB//
GO_0009218_7	dsbB//mdtE//oppF//gsiC//mdtI//pdeF//yebK//umpG//accA//tdcA//udp//napD//
GO_0009219_7	pinE//uxuB//ibsD//wcaJ//csdE//
GO_0009220_8	accD//gcvT//secY//ycfH//yieH//carB//
GO_0009221_8	rlmM//ydaV//yciE//dgcQ//
GO_0009222_7	adeD//ybfA//trxC//cvpA//fucP//paaD//
GO_0009223_7	mscL//recJ//
GO_0009224_9	ebgA//murR//
GO_0009225_5	ompN//ynaI//speA//glyA//glpB//pgsA//msbA//rluA//ybbN//dnaT//yddG//ilvC//ynfF//ydfG//nupX//
GO_0009226_6	paaE//proV//narG//ybiO//cycA//ariR//glnL//gltS//ycbX//rraB//udk//rbn//ilvM//
GO_0009228_7	yebC//ygiV//rbsR//argO//ompT//alkB//oppF//ispB//glpF//galK//
GO_0009229_6	leuB//spoT//
GO_0009231_6	cysG//pstB//emrE//flgD//raiA//ydbK//ybjL//
GO_0009233_6	frmB//fdrA//serB//menA//yehA//fepD//ubiF//mdoG//modC//gpsA//
GO_0009234_7	hslO//mnmG//glpA//gsiA//idi//lplA//pdxA//rhsD//cusB//ybbY//
GO_0009235_5	rzpR//hemA//ydiZ//moaD//yhiM//waaH//
GO_0009236_6	rfaE//uidA//yfeX//cusR//nagD//phnG//
GO_0009237_4	focB//tolB//yciH//gatB//aroP//ynhG//btuC//prpC//hslJ//
GO_0009238_5	fucA//ybiS//yhbS//cusB//gor//purA//rhtC//cspI//lpxH//
GO_0009239_6	trxA//yadK//appC//hemC//rpsE//araB//pldB//nrfB//
GO_0009240_6	nadK//rluA//ybjX//yebQ//rhaS//
GO_0009242_6	ydbK//glnS//ygfZ//higA//acrZ//rnr//iraD//dmsC//sucD//tsf//rsfS//
GO_0009243_7	clcA//
GO_0009244_7	nadD//nikR//bamE//serA//cueO//waaH//tauC//ffh//nrdB//basR//rsmB//lipA//sgcB//carA//pinE//fixA//ydiQ//rsgA//lysU//iscR//ptsP//tamA//yjjG//ydcZ//focA//pgk//dcuD//lpoB//flhC//
GO_0009245_6	tnaB//abgR//otsB//gspJ//sufE//envC//yhhZ//kgtP//garR//rfbD//
GO_0009246_6	pfkB//mscL//xerD//intE//mdtI//flgF//cadA//yccS//amiA//
GO_0009247_6	trkH//dinD//perR//nuoG//thiC//purR//panE//hyaB//panD//atoC//aes//yacG//
GO_0009249_6	yqcG//lpxK//ygjR//
GO_0009250_7	basR//truB//ygeW//maa//csrD//kbaY//dapA//yifB//nrfE//cueR//rplR//rnpA//livJ//ldtC//
GO_0009251_7	wzzB//yiaF//ycbU//cspB//pdxJ//sapD//
GO_0009252_7	fliA//yefM//cysP//cvrA//insI3//ycdX//yjaA//ssb//rfaH//yiiE//galK//yedL//ybcM//uxaB//abgB//uvrB//argS//rimK//gldA//xylE//hprR//feoA//fdoI//tatD//dgcM//sufD//ghrB//sdiA//pyrH//dapF//lolC//folC//kilR//eutK//rpsK//groS//acpH//nemA//purC//
GO_0009253_8	dnaB//alr//ycbU//blr//xapR//panC//ravA//allS//nrdF//basS//
GO_0009254_8	bepA//cpdA//ppsA//yieF//ybiA//ushA//zapB//fliA//ygcO//mdoD//
GO_0009256_7	miaB//glnL//cedA//menF//
GO_0009257_8	fre//gstA//soxS//bioB//
GO_0009259_6	curA//mglA//arnD//tgt//bglJ//cysG//rplD//bioF//frmR//argC//qseC//galK//rplR//yfcG//barA//ynfK//ycbU//emrY//artI//torR//nfuA//xapB//hisI//hisP//rapA//rsmA//dsbC//dkgB//nfo//ldrD//lolA//rpsB//rbsA//yifB//yfdC//talB//entB//bioD//yhjX//ygcO//rsgA//yafS//purF//moaE//uspE//rho//fucK//insI-1//priB//tnaB//rhaR//hyfF//csrA//fadL//sfmD//argP//ttcA//lplA//macA//hlyE//mutL//
GO_0009260_7	cueR//decR//rsmH//lplT//mngA//tldD//ydfH//hrsA//ydeI//yihL//focA//citE//sgrT//pphB//manY//mrcB//rapA//hycB//ygbN//dgcT//frdC//cyaY//folM//tusC//yaaU//thiI//opgB//astB//ynjD//argH//comR//rfaE//truB//topA//clsB//zapA//sad//nudF//ldcA//adiY//rlmE//feoC//nhaB//rhoL//
GO_0009261_6	ubiF//yciA//yfjR//galU//fumC//ygfX//
GO_0009262_5	btuC//proB//mtr//casB//gltX//menC//ackA//zraR//yidC//accC//sgrT//gyrB//yoeB//
GO_0009263_6	bipA//holB//rna//fecD//rplM//atoS//hscB//rhaB//rsmJ//
GO_0009264_6	feoA//tesB//phoP//paaX//rbfA//
GO_0009265_7	torD//hcaT//paaJ//murJ//preT//
GO_0009266_4	ynjD//yccX//yqjI//ycbX//ascG//rcnB//bacA//ybdO//bisC//entD//tisB//metF//yjeI//yfcG//gatB//rpsO//yheT//nuoI//yhjA//hypC//ymfK//fhuD//ybdR//bdcA//rimI//lysS//cysM//citG//mug//sufB//mgrB//frmB//hlyE//rluD//uvrB//recJ//sufA//ybbW//tomB//nrfD//fdhF//manA//plaP//mukB//tdcF//waaL//metG//hycB//setB//ybgP//artM//dedD//fimI//ompL//ydcS//tisB//caiD//yqhD//rplW//dinJ//yihR//dnaN//sbmC//hyaC//ycgB//sfsA//uvrB//nuoH//ugpB//wecE//ppiA//yhbQ//gyrB//yneL//bamD//rlmN//ynaE//cheW//ridA//ybjC//lldP//xseB//
GO_0009267_5	ghxQ//marR//csiR//agaR//sbmC//yhdX//fabH//hrpA//elbB//glsB//tktA//pphA//yqeF//ccmD//rplA//ydhJ//waaG//rdgB//dsbB//elfG//hcaT//thrL//dnaC//ackA//thiE//exbB//
GO_0009268_4	sfmC//mdtF//yggX//ilvC//gdhA//galP//ahpC//gfcE//ndk//lpd//rzpD//ubiH//adiC//garK//zapB//cvrA//nrdA//glpR//ssuA//flgD//alpA//yfdG//chaC//agaS//pepB//cyoA//hrsA//
GO_0009271_4	uxaB//puuC//gmd//
GO_0009273_5	yraJ//tgt//yehT//zapC//rpmG//nhaB//fadI//casB//lepB//pnuC//
GO_0009290_6	yoeB//yqgF//
GO_0009292_4	deoD//kefB//
GO_0009294_5	livG//rlmA//
GO_0009297_6	araE//lapB//gatB//epd//basR//nadB//lamB//tauC//yegV//yeiE//mtfA//yijO//fabR//dmsC//
GO_0009298_7	sdhA//cobT//ybiW//
GO_0009305_7	rhaA//
GO_0009306_4	hcaF//yhbS//yciE//uhpC//groS//cyoA//azoR//
GO_0009308_5	dicB//rep//fdrA//plsB//holE//ettA//tolR//treA//dppA//dcp//hypB//ybaT//rimJ//ldtE//mgtL//ycgB//mutY//ldtA//adiC//pgaC//fixB//rodZ//narP//glrK//yciF//yphD//ghoS//
GO_0009309_6	sspB//dsbC//dmlR//fumA//tilS//acrZ//nikR//rfaE//pepD//dcuS//fabD//ushA//erpA//yfcQ//
GO_0009310_6	hdeA//araC//slt//cueR//ribD//pspF//ghxQ//yefM//yjaA//amiC//pdxK//zapB//gspI//
GO_0009311_5	rlmM//yfgO//clpB//cpdB//rutB//fbaA//eutA//csdE//umuD//dgcF//yidL//ynbD//hemD//tcyL//narY//yajR//trpD//yfiF//ilvE//cfa//rplP//ycdY//rffC//pinE//lplT//yjiA//insH-5//yraI//lpxT//sdaA//rutD//cheZ//frlB//glnH//mtgA//hypC//umuD//rrrD//moaD//iaaA//dmlR//clcB//xylB//insI3//yfbV//topB//recG//guaC//oppA//abgB//cas3//yjcS//endA//
GO_0009312_6	ibpA//crr//ravA//kduD//torD//mdtG//ung//hldE//rutF//trkA//yafC//gcvH//nanR//ompN//mreC//idnK//msbA//waaH//tdcD//rpiB//wecC//phnP//envZ//hybO//glk//lspA//yhgH//narL//nudG//ptrA//maoP//yjeH//ispB//xylB//yeaV//tpx//flgK//hemH//fetB//ftsE//folP//ansB//
GO_0009313_6	ycjP//fdoI//speE//sapB//rne//satP//ydhJ//rodZ//dcuA//agaW//
GO_0009314_4	rlmC//uxuR//agaI//dkgB//gcvR//tesB//csgA//ldrA//yegT//pcnB//pdhR//hemC//flhD//cvpA//nhaR//xapB//intS//mmuP//yabI//uxuR//eamB//hisS//aspC//ybhI//hdfR//pykF//wcaC//ung//rlmL//phoR//rimL//ygiS//ompN//amiB//ytfQ//waaO//serB//sodC//recQ//tdcR//nuoM//hybC//sbcD//fliL//yidH//nlpD//ssuC//fes//ydhQ//plaP//eutB//rpsQ//moaC//opgC//ilvL//mhpB//yggF//gph//bglJ//trmJ//rfaH//hofM//mtfA//fruA//caiE//ydiV//oxyR//ubiG//modC//hofO//hofO//cueO//yadM//djlC//xisE//ascB//tbpA//cspE//rhaR//rsfS//grcA//mazG//ydcO//ydjK//hisC//tcdA//pgaA//glcA//murP//yieE//wzb//yfdC//
GO_0009372_5	cdgI//lasT//ycjQ//
GO_0009394_6	ispU//fliK//lysA//clsC//ychH//nrdF//yidE//
GO_0009395_6	hycB//
GO_0009396_6	apt//intS//fecD//rng//rnb//sbmC//groS//exuR//osmE//entC//rsmH//
GO_0009397_6	yjhB//yadV//
GO_0009398_7	argT//
GO_0009401_7	pgaD//frvA//waaJ//ubiD//kch//endA//yjjW//dacA//dcuS//rsmD//casC//modA//ftsI//dhaK//argR//hofC//topA//mzrA//tehA//rplJ//bamB//ariR//xylG//glgS//fadM//dbpA//yfdK//proX//mdtF//rplA//cusR//hycA//hemL//melB//sseA//fabG//ldhA//cutA//yqgB//tpx//hupB//eutR//atpG//pyrG//trpA//yciV//pgpA//leuB//hemD//yhaC//insE-1//dppB//
GO_0009403_5	ybaT//
GO_0009404_4	bsmA//recQ//uof//pyrE//adiA//ubiB//oppF//lldR//ftsQ//sfmH//baeS//entF//acpT//moeB//nlpE//rssB//fre//xseA//leuD//
GO_0009405_4	thiP//ybjC//aaeR//
GO_0009407_3	cdd//prfC//katE//yadC//pinE//bamE//yidQ//tusB//ilvL//ftsX//nlpI//hycB//ybiI//pth//ypdI//rfaF//
GO_0009408_4	mprA//tilS//rzoD//rpsA//glsA//bglB//sugE//rlmI//fhuB//dinJ//adiY//fhuD//mppA//purD//ispH//rpmC//zupT//yajR//glnP//nlpE//ldrD//ykgM//insA-1//phnN//cspB//lgt//fdnG//ftsK//sixA//dkgB//lrp//fimA//recR//rseC//ppx//yggT//leuS//nrdR//yhbQ//rapZ//folC//asnA//putP//tusB//dut//fimZ//ygiN//ybhG//ogrK//tusB//mcbA//yadM//narI//gpmA//pgaA//narX//hybO//malZ//appB//rzoR//
GO_0009409_4	pykA//hcaB//hflK//phnO//treB//yedL//rpsK//yqiI//cysA//ppiA//cysU//nanA//ttdB//uup//rhtA//rutB//yciH//aceA//
GO_0009410_4	ilvI//
GO_0009411_6	fadI//fimB//lptF//rdgC//tatC//garK//atpD//cyoA//fadA//emrY//yjbH//hyaC//ymdB//glk//mtlD//fdnH//
GO_0009415_4	agaI//
GO_0009416_5	atpG//pckA//kdsA//xylR//ugpC//narI//nfsB//purA//ldrA//pdeR//thiD//mltG//lysO//yjtD//yhjX//glgS//iraD//cysB//aroB//
GO_0009423_8	intF//pta//fryB//rssB//
GO_0009432_5	amiA//yjtD//glgS//adiA//ybiH//trxC//trmL//rlmL//mmuM//gcd//nimT//panC//dbpA//rpoS//yqhD//msrP//queD//carB//dtpD//xanQ//glsB//rclB//
GO_0009435_9	murJ//eptB//metK//yehU//entD//argG//csgE//betI//rng//
GO_0009436_6	ygeV//sbcB//bioB//sufD//
GO_0009437_5	atpB//ynhG//waaA//trpS//umpH//fnr//flgI//
GO_0009438_5	appC//intZ//tadA//nuoH//agaS//yidR//glsB//yaaA//rpoS//hybA//bioD//fklB//accD//tatB//uvrY//dusB//frdA//yfcG//pth//yhdZ//plsC//hxpA//mutY//dsbA//nadE//ribB//nagC//yigL//ymgF//yebG//
GO_0009439_5	iclR//rsmE//hemH//
GO_0009440_6	glpG//feoA//nrdF//
GO_0009441_5	gcvR//dcuC//glvB//pdxJ//ttcA//
GO_0009442_7	ycdX//dnaC//mltB//mocA//bioA//
GO_0009443_5	serA//nrfB//gcl//
GO_0009445_5	shiA//yphD//xerC//ompC//ygfZ//pyrG//fdhE//phoU//ybhJ//ampG//
GO_0009446_6	rbsR//frr//
GO_0009447_6	menA//mazF//yqaB//metR//lptA//folM//hofC//yiaB//
GO_0009448_5	pabB//nei//mscM//fucA//
GO_0009450_6	pdhR//yjcE//lpcA//dtpA//
GO_0009451_6	zapA//dinQ//yqiH//rdgB//chbR//yfbS//panD//cysM//curA//fixB//ypdB//gltB//ygjH//yiaA//rimP//rfaD//slmA//dmsB//uspB//glgP//mprA//panF//fimA//rpsT//allC//bioH//hslR//ecpR//alaE//cpoB//ygbM//rhmD//djlC//yjbE//rspB//add//zraR//yihI//ynhF//yedX//ydcS//cusA//rrrD//chbC//sgbE//fecD//nagB//gmhB//hipB//ybjG//adhP//hslR//yidD//wzyE//nhaR//yggT//ogt//surE//phoP//yhbS//sfmC//rbbA//elyC//marA//pntB//gluQ//dsbA//uhpA//paaB//yddA//acpS//dapD//lptC//srkA//moeB//xapR//murQ//nupX//eptB//nagD//rtcB//glrR//ycjU//
GO_0009453_4	mliC//
GO_0009454_5	lsrG//
GO_0009593_4	yjaA//ygiN//
GO_0009597_5	lpoA//
GO_0009605_3	deoD//gshA//yihT//csrD//yhdZ//folP//rlmL//yghW//cbeA//fdx//xylG//yghO//secF//ybdN//rluB//elfA//torC//fabH//ypdC//citX//dgkA//aroC//dinD//ygjR//dusC//fklB//narU//uidA//ymgC//flhA//barA//yihW//mraY//rnlB//ihfA//ghxP//cheW//rcdA//dcuR//secG//prfB//pinQ//metK//sodC//ccmD//macA//ybiX//nhaA//rcnR//ybhI//frlR//fdnI//galP//fruB//fruB//thrS//ymjB//hdeB//htrE//thiE//chbA//decR//entE//ypdB//ppc//narQ//hisA//waaL//hdeB//ybdM//yjjV//glnD//bcr//ydiZ//rng//ytfT//kdsC//
GO_0009607_3	phoR//dmsB//ttdR//yhhT//truA//ycjQ//ypdB//dcuR//clpB//wza//ybhJ//fbaA//nrdG//yqeA//
GO_0009615_4	cysC//mdh//lipB//ybjL//xylB//idnD//hcaT//ibsD//elaA//mzrA//ptsP//clpX//gsiC//ygcO//
GO_0009628_3	xylA//atpA//rplL//yajO//fucO//bglB//xthA//bssS//yjiX//uspE//rhaT//fruA//xapA//insH-5//yfdK//mnmE//ygiB//yjiM//ydcI//lapA//hemG//gcvT//mdtM//tufA//ygeW//yahD//qseB//mpaA//ycaO//umpH//elfD//mrdA//paaX//entE//scpC//ahpC//sbmC//adiY//ydhK//comR//frwD//mltA//ydiZ//hinT//aroC//lpxK//lasT//elaA//hypE//yegS//kdsD//gluQ//lolE//cobU//araE//rpnD//fabG//ygcW//rcsF//fdoH//yfaV//epmB//sgcE//norW//norV//yieK//gsiC//sodA//fabI//yeeY//zapE//erpA//rimO//nanE//macB//nrfE//modB//fucI//pitB//eutD//gcd//trxC//tsaE//glsA2//menD//acpS//acrD//ybiI//ynfH//phr//dapA//mutH//yjiX//pheA//csiD//phnG//evgA//yahF//lsrK//waaP//dcd//recG//yjjV//lgoT//cdd//yghB//speG//yciV//cdgI//udk//trkH//mgtL//lpxK//gcvR//dinJ//ghxQ//dsdC//opgH//rhaB//greB//hofQ//yidA//adiC//yebS//puuB//cfa//dnaQ//nagE//cyoE//viaA//tatC//yidR//arnF//yajD//yrbG//rzpD//prkB//srlB//pinE//rhaM//uspE//xisR//thrS//msrQ//rpsO//hisF//tusE//yjcS//rpsI//yfaX//gnsB//agaB//rpsT//ygfI//nrdB//insA-1//btuD//fecD//bhsA//glpR//casB//leuB//yaaA//ndh//ebgA//hns//yeaG//osmC//alaE//lysP//wbbK//phnO//murF//cbpM//proV//ynfL//hypC//higB//yibA//rpsT//flgC//ftsK//tdcR//ychF//tsx//glpR//kup//bioB//pykF//gdhA//adk//potB//hslO//envZ//rplA//ortT//pinQ//malZ//leuE//tap//bolA//asmA//yibH//hns//yfjV//zapD//ybeQ//truB//yrfG//livM//zraR//nfo//zipA//yciF//pyrG//recC//panD//cspB//phnJ//dgcZ//fdnH//holD//gcvP//yhjX//recF//cpsG//yeeA//ubiF//pstS//tatB//
GO_0009635_4	mutS//
GO_0009636_4	rlmB//hinT//folM//cmoA//ybjN//gspJ//ampE//ygeR//bioD1//yebC//adeD//sgrT//dinJ//dbpA//yddM//tcyP//dtpD//potG//yggP//yfiR//mqsA//ibaG//trpA//ispA//dld//rpoA//rpsH//fkpA//ychF//aroD//dmlA//
GO_0009637_6	mraZ//
GO_0009651_5	dacA//mgtL//mutM//rluD//phoB//rhaA//
GO_0009653_3	rimM//
GO_0009696_4	fliM//
GO_0009697_5	upp//
GO_0009698_4	ldtD//
GO_0009712_6	yafS//dcuD//essD//gcvT//tsaB//yfeR//fdoI//glmS//yiaT//fdoH//
GO_0009713_7	waaO//kefC//lptD//mlaD//ycjY//ruvB//pyrF//yihQ//atpC//
GO_0009719_3	yraK//rsmJ//agaS//
GO_0009730_5	yccA//
GO_0009743_5	ybjX//
GO_0009785_5	arfA//
GO_0009850_4	elfA//arsB//gloC//dgcN//fdhF//trmO//ydiQ//hofQ//alsC//yijE//ymfA//mutH//hslU//
GO_0009852_5	garR//rnhB//cirA//barA//phoQ//ade//yfiE//mug//lrhA//mdtM//hisB//fsr//livF//
