#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hyfC//crp//rplA//lysP//
GO_0009223_7	rcsF//aidB//
GO_0009224_9	ydiF//shiA//
GO_0009225_5	mcbA//rclB//iscS//epmA//ydcS//ubiI//mprA//yghB//asnB//phoA//ydjJ//kefF//mazG//insI1//tig//
GO_0009226_6	yjiY//ftsH//ygeX//bamB//cynX//cyoD//sgrR//purA//udp//yfaV//hflC//ampH//prlF//
GO_0009228_7	yfgO//rsfS//cpxA//setA//dhaM//otsA//yqhD//ycfH//ltaE//ydjH//
GO_0009229_6	trg//patZ//
GO_0009231_6	lysC//rusA//artJ//slt//grcA//dnaT//yiaJ//
GO_0009233_6	speB//epmB//ydhK//torY//pdxH//hyfR//mtlR//tsgA//pstA//dadA//
GO_0009234_7	pgrR//higA//ccmH//glpF//pgaC//dnaC//iraM//metG//ddpA//fimD//
GO_0009235_5	umuC//acrF//rrrD//hflK//fic//yfhH//
GO_0009236_6	entF//ydjE//psuG//rsfS//ybbN//yfaE//
GO_0009237_4	ybcF//kdgT//cspE//envZ//dinB//arfB//acrF//pgaA//guaC//
GO_0009238_5	lldD//yqcG//yahD//pabC//prmA//panF//ssuC//yijE//yciK//
GO_0009239_6	bsmA//fnr//radD//mscK//paaH//yphD//moeA//hdeB//
GO_0009240_6	gcvH//ssuB//zraR//surA//norW//
GO_0009242_6	bamB//cmtB//mscK//uhpT//gmhB//tauC//yfeX//fumB//potE//oppD//yidR//
GO_0009243_7	emrB//
GO_0009244_7	ade//rnb//nanC//rplE//mdtC//dfp//adhP//higA//lolA//alaS//yihI//pheA//nuoN//tpiA//ibsB//acnA//srkA//intA//panB//betT//msrB//torZ//lipA//frsA//sgbU//qseB//uidR//sfsB//proQ//
GO_0009245_6	lolB//gcvH//yqiJ//garK//nadB//pdeL//gspF//slt//maeA//yjbB//
GO_0009246_6	phnG//ilvE//pepD//yehX//insA-1//uup//yjbE//dhaL//yphC//
GO_0009247_6	opgG//mmuP//dtpA//scpB//iaaA//csrD//yghW//pyrE//dgcE//rcsF//lpxP//crcB//
GO_0009249_6	paaF//rpoS//rimL//
GO_0009250_7	btuB//hsdR//csgE//glvB//rffG//ymdB//bamB//uof//fepD//lolB//dctR//lplT//seqA//yafN//
GO_0009251_7	cysU//wzzE//ivy//csgG//trpA//zitB//
GO_0009252_7	panB//nuoG//yifB//yqiI//hybO//cmoA//feoB//secM//rutG//rfaD//hyfR//atoS//scpC//yehW//galS//fmt//bssR//sbmA//yfeX//rlmM//iscS//yjbE//ydeP//fimH//sfmF//kdpF//flgC//mdtI//flgH//hemB//xseB//mtlA//trmL//rihA//yeaV//yebS//aspC//gntU//agaI//
GO_0009253_8	hsdR//cdsA//xerD//sohB//paaF//nudC//hofO//yidZ//yjhP//yggD//
GO_0009254_8	yqaA//hyaC//yagG//recN//cusF//yibF//nfi//insH-5//tsf//dusC//
GO_0009256_7	ygiN//pppA//hha//secD//
GO_0009257_8	nfi//galT//pyrF//yjiX//
GO_0009259_6	ssuA//rffC//umuC//mdtO//csiR//holA//ubiF//hofQ//prlC//cecR//ydiK//ybjL//hflX//dnaN//dnaB//umpH//kgtP//yaaU//flgG//waaC//hisM//napC//yaaU//argH//rpmE//zipA//argG//rhtA//mppA//uidA//cysC//rclR//wzzB//ybiA//cspD//ggt//aroC//hypE//mobA//hisI//narL//mqsA//zupT//fliZ//pdxY//potE//adiA//iscX//flgC//epmA//ycjD//sgcA//rnlB//trkG//moaA//alkB//atoB//iraM//yidL//aspS//uxaB//
GO_0009260_7	atoB//bglJ//ftsK//phnI//ubiG//plaP//rpmE//hcaD//dosP//hflX//yjfP//arsC//prs//ycfS//glpX//yhjV//mtn//yhaJ//potH//bglA//ydiO//hisD//yjeH//priA//yhcH//garR//insI3//cho//gabP//fadA//tonB//xerD//gmk//yagU//ralR//pcnB//ibsE//folE//lapB//pdeR//pdeH//ubiF//dnaJ//ompL//
GO_0009261_6	gcvR//amiC//nimT//paaK//perR//aroK//
GO_0009262_5	yihL//murF//lpxB//asnA//selB//fau//bacA//sfsB//selA//proA//pepA//mscL//agaA//
GO_0009263_6	fadJ//umpG//fdoI//dacB//trxA//narY//pdxB//carA//yebG//
GO_0009264_6	rlmJ//ypdI//ydeP//ssuB//ycbB//
GO_0009265_7	pabC//rna//ybiV//rffM//pdxK//
GO_0009266_4	yqeF//recJ//fepB//codA//waaC//bamB//bolA//trmH//ldhA//rodZ//yfgO//fumC//trpA//hemF//lsrC//ybaO//artJ//rpiB//glmM//mdtO//metI//yijE//yhcD//lysO//zapC//fliL//ybdG//kbp//phnJ//yeaE//mlaD//frwC//uhpT//treR//speF//mlc//rpmG//rlmJ//ynaE//phnP//potB//prpD//amtB//lsrC//yeeA//yfdR//flhA//rplK//yjiY//rhmR//ybaO//fadI//rhaB//argR//leuC//bsmA//mltD//rpsL//rsuA//malS//gcd//rhtA//ccmD//phnM//ycjP//pncB//pldB//purT//ibsE//rsmG//queA//symE//emrB//flgC//paaB//basS//ilvL//trmA//mhpA//yidE//tdk//birA//
GO_0009267_5	crr//yfdR//asnB//fadR//yojI//rmuC//hrsA//gadE//ybbY//pdxJ//cbpM//yciG//dcd//ydeO//mdtK//waaH//trmO//yjhB//pykF//deoA//dsdA//cbl//insI-2//araE//arsC//opgH//
GO_0009268_4	murC//fieF//dgoK//menD//glnL//rbsC//coaD//arnB//alsC//exuR//recB//lptB//glsA1//ssuC//fur//hldE//cobS//fadM//mdtO//ybiW//wecE//flgK//arnD//lolB//codA//ydiP//panZ//
GO_0009271_4	focB//opgG//yfbV//
GO_0009273_5	flgK//leuO//nupC//yfcV//cpsG//ilvA//cpxA//polA//metK//yddL//
GO_0009290_6	arfA//dtpB//
GO_0009292_4	ydfG//mdtJ//
GO_0009294_5	gpr//yjjB//
GO_0009297_6	norW//cvpA//kdpE//yidP//argE//rnr//orn//ilvA//yfjR//mgtL//fabD//murJ//ispA//ycdX//
GO_0009298_7	mdlB//bluR//epmB//
GO_0009305_7	rlmD//
GO_0009306_4	fucP//fliK//mhpD//yohC//dpiB//fruB//yceO//
GO_0009308_5	ibpB//nudC//emrK//znuC//murE//entA//casB//rpmA//tyrS//ygbM//glrK//dmlA//mdtP//yebS//curA//proV//era//alpA//menC//acpT//yfbR//ybjI//paaH//bcp//sdiA//yjbG//gsiB//
GO_0009309_6	tldD//folX//sgrT//yfaU//rbfA//pal//acrF//mhpT//yciA//tusD//rusA//hyfF//rfbX//solA//
GO_0009310_6	nrfC//rfaH//tsaC//yhaV//gltX//ybhA//mlaE//rplP//alsK//rsuA//ftnB//purD//tehB//
GO_0009311_5	rbsK//tcyJ//rnhA//prfA//yahB//fliA//adiA//tcdA//araA//hybA//yihT//aceB//pstB//gltK//dmsC//efp//yjaZ//lptF//wzzB//narJ//rdgC//asnS//abpB//icd//chbR//yfaE//tsf//nusG//lpxC//avtA//aaeR//hyfA//rhsD//elfD//pinQ//ihfB//yqiG//dpiB//melA//pspF//gspJ//metH//aroC//agaA//cobC//yhfS//yobA//eco//astB//fabD//fabB//ilvM//yhaC//
GO_0009312_6	yddG//yraH//rffH//ybfE//mtgA//galM//rfaH//fdoI//leuS//skp//ahr//rutD//ispG//flgM//secG//guaD//trpC//sucA//nrfD//ynfE//hemN//tpiA//fryA//fsr//yphC//dnaK//serS//cysQ//sucC//insA-1//rplP//insK//chbA//edd//wrbA//uxuR//paaZ//yehY//rihA//znuC//chbA//hicA//
GO_0009313_6	aspS//rutR//rluF//lolE//hypB//mdtC//asnA//pgaB//nac//ybeQ//
GO_0009314_4	lysO//ydjM//pspC//fhlA//rsfS//yhjV//mutT//fliK//hybG//nagZ//ydcM//xthA//fabB//rclR//prpC//prs//yqeF//ydaC//rplW//aroF//etp//arsB//thyA//narL//yahO//adiC//nrfD//yeaG//rpoS//rof//hokB//dxs//kdpB//gsiB//phnC//clsB//puuR//yjjI//fcl//thiM//rhsD//cadA//malZ//yfaX//yieF//uxuB//narG//mltG//proV//yihP//zapC//ynhF//yciE//yeeJ//dinB//secB//lrp//casA//rplM//ycgB//serC//cbeA//ygeW//rihB//appA//ghxQ//proC//zur//ybfA//yihT//pstB//btuC//crfC//fucP//accB//napF//nrdA//wzzB//ompR//ibpA//yfdR//cyoA//yafC//panE//rfbC//sgcX//yafQ//tcyL//tap//prfC//yghG//yehP//
GO_0009372_5	frwB//mdtB//der//
GO_0009394_6	rfbD//ltaE//gldA//yiaO//uspC//yqhD//metK//
GO_0009395_6	rpnD//
GO_0009396_6	nanK//rplP//dtpD//acs//ispB//yhjX//dmsB//rseC//ybiH//mprA//mdtB//
GO_0009397_6	hemD//rhaA//
GO_0009398_7	hflD//
GO_0009401_7	bdcA//sodC//flhD//dicB//hcaR//eco//rpsP//narU//nlpA//nei//cstA//nanA//tusD//uxaB//fabR//mdtG//torD//pta//fixB//cpoB//mraY//arnF//potH//rpsO//glgX//cusR//dsbC//dtpA//ulaR//rnlA//puuB//pgpA//recD//nagZ//rluD//rplM//flgG//tktA//sdhE//hycA//yaiW//cspB//prfC//ycfL//rplF//argC//waaQ//rlmJ//rfaE//atpF//maoP//glsA//
GO_0009403_5	malP//
GO_0009404_4	pdeF//hisI//umpG//galR//tdh//yadM//fadA//lptF//hdfR//fetA//sodB//gatZ//prpD//cydB//mhpR//mglC//dacB//crcB//wcaJ//
GO_0009405_4	yqaE//yigB//bamE//
GO_0009407_3	yciE//kefG//yheT//trpL//cysK//fliT//hycB//yggF//glgB//yihR//umuD//opgD//entH//galM//atpB//potE//
GO_0009408_4	kduI//cmoB//feaB//tpiA//lysC//yagI//yieK//rluC//sufB//rbsK//fbp//ribA//envC//srlB//recG//yiaM//rimI//cdh//hrsA//yehU//ispB//ftsX//uidC//dcp//rfaG//yihP//murD//tsf//ldcC//sbcB//yfiE//fliG//tusD//comR//betT//feoB//elaD//exoX//lacZ//ypdA//ybfA//cobB//tolQ//ydiO//tolQ//uxuR//exbB//rhaT//yqhC//tusA//potD//pgi//sufC//yhdJ//fliS//recG//ung//gnd//gfcE//rlpA//
GO_0009409_4	hcaF//acnB//mltC//mepS//yciG//yafO//lsrG//hscB//tatE//cysH//opgG//pgaB//speF//yecS//ycbU//cysZ//mdlB//clpX//
GO_0009410_4	sucB//
GO_0009411_6	fepA//srlE//uidA//yehU//mrp//yqeF//nfuA//manA//uhpB//cspE//narQ//rpsS//yfgJ//rsmE//mtgA//yphD//
GO_0009415_4	yiaN//
GO_0009416_5	rfaD//gpmA//phnI//ymgF//fadK//kefB//sgbE//yhjB//spy//pgl//ydfG//rpoD//tyrA//suhB//arnB//yfcV//recE//rhlB//ydaN//
GO_0009423_8	ltaE//mglB//ygdG//yfiF//
GO_0009432_5	fecD//rplX//nhaR//norR//cydD//pdhR//tatA//pheT//rplS//pheT//ptsH//ycfJ//tig//acrA//ybdO//yieK//lpxD//pflB//menD//prmC//ibpA//yhbY//
GO_0009435_9	waaJ//fadB//acpH//alsC//lptG//opgG//aspA//betI//ibpA//
GO_0009436_6	ynfK//mdtB//rfaF//menH//
GO_0009437_5	melA//cysG//mnmC//soxS//ettA//ybfE//corA//
GO_0009438_5	uspF//lolD//gltL//dnaC//csdA//yjjW//yqgB//araF//ruvB//glnE//rclC//zupT//nuoB//mdtI//frdC//puuE//tusC//opgC//cynT//ydbK//secY//aceB//yieE//csgB//metC//tdcC//yjjQ//crfC//plsC//mrdB//
GO_0009439_5	pgl//erfK//rluA//
GO_0009440_6	livJ//feoA//aidB//
GO_0009441_5	yidR//dkgA//ygfI//nuoL//icd//
GO_0009442_7	ykgM//mdtD//sucD//secM//tehB//
GO_0009443_5	ytfQ//alkB//grpE//
GO_0009445_5	ttdR//dadA//dsbC//endA//gntR//yadI//rpoH//yejB//wzzE//dinG//
GO_0009446_6	kdsA//ais//
GO_0009447_6	mglC//recF//yafE//fpr//bioD2//fixB//yfcS//rluD//
GO_0009448_5	glpR//tcyN//dctR//zapD//
GO_0009450_6	rluC//uhpA//mcrB//lpoA//
GO_0009451_6	torD//hipB//gatZ//waaC//adiC//glvC//arnF//yacG//dhaL//menI//yhjV//ybhS//cirA//rplM//metI//ynaI//caiF//thrL//eptB//grcA//artQ//hldE//dmsC//ispF//lhr//yjfP//yejF//endA//ydjL//araG//cpdA//ascF//ilvC//trkH//ykfI//gdhA//mdtN//xanQ//rnb//sdiA//mntP//ptsP//uvrB//frlB//queE//endA//mlc//wcaJ//ydiZ//setC//yiaF//hcaF//galK//tufA//pcm//srlE//acrF//seqA//priA//paaX//yphB//ydcZ//hycA//moeA//flgC//mnmC//yfdO//hypC//yidA//marA//yfcU//pspD//nupX//yibT//rcnA//argT//aceB//galP//fepD//cynS//queG//ilvH//ykfM//
GO_0009453_4	guaC//
GO_0009454_5	nadE//
GO_0009593_4	nemR//ybeY//
GO_0009597_5	pdeH//
GO_0009605_3	glmS//efp//yhcN//tcdA//gpt//iscS//plsC//puuD//csdE//abgA//proS//trxA//grxD//yghO//chaA//insE-1//waaS//melR//dctR//gltL//mdtQ//clsC//tamB//trg//yieE//mltB//tehA//lpxT//aroD//xapB//ydfG//fryB//pldB//yagE//folD//ybaM//eptA//rplI//yidZ//cobC//phnP//ydbD//rutE//garK//frvA//tufA//livJ//nemA//allD//yohC//yhhT//glk//ghxP//mltF//yegT//suhB//cof//lgoT//ppiC//rpmG//abgT//fieF//hemL//mhpT//gcvT//nrdG//rffM//hmp//mltD//mhpB//gcvT//pncB//yggT//rsmB//tktA//dacC//yieK//
GO_0009607_3	aaeB//metG//zapE//sulA//rffH//abpA//nagB//hcaC//fau//yedA//insK//oppD//rnlA//creC//
GO_0009615_4	yceD//rffG//kgtP//ygdG//trpB//nirC//rppH//ybdG//yidL//ubiB//cheR//rcsF//zapA//yhhY//
GO_0009628_3	srlA//dinG//rpsL//fimD//fimH//narU//garD//ribE//rclR//fabA//acrZ//trmD//xylR//acs//dapA//hisA//codB//nmpC//acrB//aroE//pspF//ycbB//entH//trpS//tolQ//dapF//fimF//dsdC//ghxQ//cheR//ppiC//yfaE//ymfK//wzzE//flgE//rbsR//rapZ//galR//frmA//hslU//moaE//yhdZ//xisR//dppD//dedD//asd//dkgB//ftsL//hycB//pcnB//edd//nikR//bioF//sgcA//alsB//ycfJ//accC//hisP//hyaD//menC//yqcC//cbrC//purC//gltS//narH//gmd//topA//yraN//lapB//bepA//cydC//coaA//cysB//rseC//rcnB//dnaN//yqgB//metR//moaE//lepA//pyrG//yegD//yhjC//rsmG//pppA//gatZ//mnmE//treF//mscL//sseA//argB//yphD//sgcC//map//fruA//ttdA//sapD//hchA//speA//ppsR//mdoD//fabZ//cysZ//npr//rsmJ//syd//frlR//rutF//ubiD//fabB//sucB//asnS//murC//xapA//hokE//prpD//lptD//uhpT//fimI//gspF//cueR//ugd//dgoT//phoR//hisC//fes//elaB//leuA//tehB//ycaN//mmuM//lpcA//panZ//yhjC//ydeI//folP//aroH//yebG//fruK//ybeF//csiR//hybG//sanA//yehD//ascB//mazF//menH//degP//ftp//gspI//rzoR//gloA//eptB//pphA//yfhM//nupX//ybjX//hypF//rpsN//yejB//elaD//lamB//yfcP//aroE//folD//paaC//ldcC//mlaB//narJ//glgC//cecR//fepB//spoT//epmC//spoT//yphF//insI1//nhaB//yehX//ydiQ//fadR//yihI//xseA//ribE//norV//gapC//hlyE//opgE//rfaD//leuB//mltG//ybiY//asd//ttdB//nanE//mioC//ypjD//pdhR//nagK//dpiA//yfdG//ptsI//ybfA//ydgA//pheP//yneE//fryC//ycgR//degQ//mppA//hpt//rplP//yefM//yjeI//fucA//yehU//lsrC//cusA//dicB//dsbB//suhB//ompF//yaaY//lplT//argI//rtcB//efeO//pmbA//mhpB//yjbG//
GO_0009635_4	ftsZ//
GO_0009636_4	pstB//pppA//cspC//kefF//nhaR//yhhY//frvA//arcC//gdhA//cydA//malZ//thrS//amiD//xylG//obgE//cedA//ygiV//nfsB//yehU//erpA//fdhE//copA//torR//sdaB//cpdA//fumB//hsdR//ispF//dgcN//yfeD//poxB//
GO_0009637_6	ybjL//
GO_0009651_5	pflA//ompT//cyoC//rplQ//yqhC//cusB//
GO_0009653_3	secA//
GO_0009696_4	rhaR//
GO_0009697_5	hcaB//
GO_0009698_4	intA//
GO_0009712_6	rrrD//tktB//dgcN//uxaB//hypB//dinQ//purN//yfiC//ldtE//gcvT//
GO_0009713_7	mepS//ridA//bioC//uvrB//rcsC//norW//ssuC//dtpD//rzoR//
GO_0009719_3	decR//narQ//arnB//
GO_0009730_5	clpA//
GO_0009743_5	uhpA//
GO_0009785_5	yfbR//
GO_0009850_4	raiA//artJ//yihO//dsbB//elbB//fumC//ftsQ//umuD//sgcB//ruvA//metE//rplW//yidR//
GO_0009852_5	rplL//tcyN//metN//insB-4//argB//lacI//creB//yjiR//lsrB//trkG//rutR//yeeA//chbA//
GO_0009889_5	dnaG//potD//higA//ptsH//modA//queG//sgrR//cysE//wza//aer//yahD//modB//yahB//ldtB//eno//mdtI//phoA//btuE//pflB//nrdR//yehC//ybcJ//bamE//gshA//ilvE//argS//lsrC//nrfD//yhjV//cpxA//ydeE//rpiR//ytfQ//yaaY//lgoT//glvB//pstA//yccX//lpd//ruvC//yfaE//ycfJ//yjjW//rdgB//ydjE//thrC//elfD//hipA//phnM//waaJ//yhaO//livG//ubiI//kdpD//ispH//nikR//yfhH//fliA//mcrA//ygeA//ldrD//casB//mlaF//abpB//gpmA//proB//intZ//ydiP//nrdI//ubiJ//srlA//ulaB//ffh//narQ//satP//osmE//cbrC//rpnB//bglB//rhsD//sgcB//ybdN//mraZ//ilvA//waaO//rlmL//flhA//yfiC//dppF//ptrA//rzpR//frdD//yiaA//patA//psuG//rsmG//yafE//phnM//yojI//ispF//nikR//hofC//curA//hemE//matP//yqiI//atoC//dicA//rzoD//hycH//hypT//copA//glpF//epmA//dgcN//lapB//glnQ//mfd//dhaL//cpoB//cysQ//mtlD//ygcW//ykfM//tauA//nemA//ybbW//degP//mprA//frdB//dmlA//wzb//ppsR//holB//clpP//rpsO//hdfR//pnp//acpT//cmtB//envR//yaaU//phnI//dicC//yhaO//uraA//ygeA//yadG//glgS//wcaJ//argA//phnL//yggF//msrA//ybiT//yjiR//cspC//ompN//aceA//fumA//udk//phnG//sulA//hprS//tus//bsmA//rhoL//pdxB//uxaB//dosP//rfe//cdgI//rcsC//prfC//phnM//dcuC//rihB//ssuB//sutR//dgoT//gsiA//yojI//gppA//lysA//yggD//fepC//nuoE//mngR//glpD//sad//rsmI//yjhI//ybjD//nrfE//nikC//fadL//yehY//dtpC//mrdB//ynfL//ycfS//yidA//gpmM//arnA//mdtB//rng//yadC//nudB//metF//yfjV//yoeE//lptF//srkA//gspE//napD//rimI//tap//yiiM//wrbA//ycbX//bcp//glnP//fdnG//sthA//yiaL//glpG//groS//rplP//gudP//cadA//rplN//rodZ//prfA//phoA//fimD//flhA//tusC//arnB//bdm//prpD//atpB//lptF//lpxC//iclR//ileS//rpmJ//ynjA//yqiG//mdtA//ytfT//ruvA//tolA//menI//ugpC//phnP//mnmA//pdeL//phnM//pphB//pgpA//acs//nanE//yejF//glrK//rpsM//csrD//feoB//caiB//hypD//acpP//mlaD//insE-1//chbR//uvrY//ileS//solA//rraA//exuT//intZ//acnB//orn//tyrR//yjhG//rluF//xerC//dmsA//psuT//plsB//guaD//arcB//bioD//fdoI//mlaE//epmA//garL//glcF//dicC//sgcB//cysW//yhjG//zwf//glcF//cdaR//yidR//dicB//recJ//mepH//rfaB//ybcL//yfgJ//cadA//galS//purN//ybjN//casA//insF-1//
GO_0009890_6	pdxJ//udk//hypT//psd//ymgF//glmS//fnr//yebK//cyaA//dctA//uxaB//purC//msrQ//araD//fabG//wbbK//rbfA//ydhK//ydeI//cheY//nrfC//rplT//yhjX//sdhE//mppA//xylR//deoA//mazG//yagU//proW//plaP//yebZ//fryC//lysS//feoB//pepN//yebG//yeeY//acrA//garL//folC//ccmH//avtA//panD//lldD//treA//glmS//nadC//udk//dusB//dgkA//pdxY//araF//ybiW//rplO//dinJ//ung//elfD//phoR//ypdF//ytfQ//thiH//metN//ptrA//dnaG//yiaM//ycfJ//kdgT//fdoG//cmk//focA//chaA//yeaE//bcr//livJ//sucA//exbD//narU//mtnN//dcd//ybiO//deoD//fdhF//ygfI//truD//mtlR//ascB//glcD//plsB//mltC//vsr//mcrB//ygcR//yihR//yebC//ynfL//hxpB//tsx//dmlR//tadA//yihI//ftsX//gsiD//baeR//yejB//xylG//ygjR//yhjB//mnmC//rplJ//ompR//murQ//dld//mtnN//yajD//mnmC//pckA//ybcF//bepA//proV//atpA//
GO_0009891_6	acrF//aceF//yjiX//flgM//yciE//sucA//ydjE//cheW//dppD//hisA//yjcS//recD//bioC//gpmA//sppA//metI//rof//melA//yfcS//yjjU//mltC//fliT//cusR//carA//ygiV//lrp//rsmB//pinR//frlR//bluF//betA//nagC//mltF//grcA//osmE//fabG//tpx//ygbN//qseC//ais//trkG//glcC//fhuF//ykgA//yciE//yhbY//yceD//rpoS//melB//yqiI//fdrA//dnaG//nikB//yciH//nac//gpt//rcsC//ompR//dppB//hsdM//yiiD//rsfS//yfdR//ycfS//pgpB//fepB//fdrA//ispH//gutQ//lysP//dgoT//pldB//phnG//lipA//folE//dcp//hfq//yajO//feoA//tynA//pabB//yiaN//gadA//
GO_0009892_5	waaA//proW//nepI//ybcJ//aceB//gatZ//hofM//fadK//yiaO//yjhG//cusA//pgaC//eco//ldtD//ftsQ//yefM//yehP//mcrA//amiB//znuC//rhlE//hscA//lgoD//priA//zapD//ligB//casB//radD//yjjG//uhpC//napD//hemE//thrS//insI3//dnaX//ulaE//mdtG//ymfK//trg//uvrC//higB//murB//lysR//aer//cysA//murD//lsrB//secB//glpG//blr//dosP//glpR//pspG//lasT//yheT//entB//clsA//nudF//tehB//frdC//phnJ//aceF//ompT//yfiR//hemL//lsrR//xdhB//rimK//valS//ydhQ//gatD//ppx//bioD1//opgC//alpA//atpA//yafC//flgE//paaJ//melA//zwf//yfcQ//tag//slmA//mdtM//paaE//sohB//fadI//ilvB//gntT//nagE//yhfS//ftsW//ldrA//yaiP//lysC//clcB//gshA//degS//eptB//rlmG//mdoD//yfdR//nupX//yfdK//preA//yfhH//znuB//hyfF//yebK//crfC//menF//viaA//gntK//rapA//yibF//abpB//aroK//evgA//rfaB//ygcR//recD//pth//cydD//holD//cusR//hcaC//ppsR//cbrA//pdeR//hemL//arsR//malX//fdoI//nanC//speE//tas//folD//btuE//csgD//sdhB//yafE//elaD//recE//lptD//gltB//
GO_0009893_5	rapZ//mfd//yegS//hemD//cynT//ybbY//sdiA//purN//ynfK//corA//ppsR//nirD//cirA//waaZ//ccmD//yeeA//lolE//ycjQ//fieF//yohD//glcC//glyA//cusA//gcvT//cyoA//ribF//hrpA//nmpC//nadB//fimE//arsR//rdgC//efp//yhaC//yjjI//hslV//dkgA//ybhR//yadV//ygcR//pfkA//yieF//thiH//mug//ykgA//dld//cspB//waaZ//appA//sufS//cueR//sdhC//ddlA//hyfR//ybdH//mqsR//gshA//hcaF//yhfK//rffT//mtr//maoP//speD//uhpB//napC//secM//lpoB//lpxL//hda//focA//exbD//amtB//yafC//iap//frdD//nemA//basR//pykA//norV//lpxL//gspI//dmlR//cysU//uup//hflC//exoX//yjiX//pbpC//yqiG//lptD//blc//rpmF//ybaK//cas1//pdxH//thiC//araD//maa//iraD//
GO_0009894_5	flgB//yeeY//dppA//cpsG//rlmJ//ccmF//acrA//rarD//lsrA//yhdX//ldcC//sdaA//pheP//lptB//
GO_0009895_6	livG//mreD//lolE//flhE//
GO_0009896_6	dgoD//yihW//rsuA//
GO_0009966_5	glgA//
GO_0009968_6	leuA//
GO_0009970_6	trpC//arcB//mtlR//
GO_0009972_10	rclA//
GO_0009991_4	slyD//ybhS//ribD//rho//ydiQ//menF//phnN//cytR//fsr//lgt//rclC//ydhC//insI1//citT//lgoR//rspB//sgcA//lptC//yqeF//rpnA//psuG//fes//tehA//psuT//ybcL//xylH//tcdA//ynhF//yehB//hfq//fliA//secE//feaR//atpB//fepB//ygbM//kilR//zapA//cyoB//fumC//gppA//dacB//kdpE//sulA//prpC//hha//sgbH//hemC//hprR//yajD//ubiC//bcr//dinI//yohC//hemH//ppiC//leuA//nupC//bamC//mscL//nrfF//ycgB//plsB//
GO_0009992_5	aspC//srkA//rnd//citG//
GO_0010033_4	fnr//malF//cmoA//gltL//glnD//zipA//nac//ygjH//uxuR//idnK//dps//caiE//yebC//glxK//paaC//glk//ydcT//tamA//cspD//alkB//gnsB//yhcH//glnK//mdtE//gsiC//yfdO//dapA//glsB//menE//purD//yfeO//adeQ//nlpI//rplA//yhjR//ydcP//udk//envZ//iraM//ruvA//macB//gmhB//dpiA//
GO_0010035_4	ppsA//pgsA//ygaH//dfp//yihU//hda//pspA//ribC//nhaB//ygfI//gntT//essD//phoR//cydC//mdtI//znuB//clpS//ydcT//nemR//groS//thiE//opgB//bdcA//eno//yihI//araC//sgbE//ybjG//yqaE//asnC//mlaB//btuD//ynfK//yhbS//cca//pinQ//ydjL//yijO//insH-5//nanK//tcdA//ftsY//tomB//oppD//mdtE//dmsB//dinD//infB//nemA//sfmF//yehP//cho//ykgA//fdoG//aceB//iscX//rnc//yibH//aroG//speD//trxA//frwD//tcyN//recJ//elaB//nagB//btuR//msrQ//mntP//ybhP//ssuA//greA//thiH//caiE//elaD//mdtM//
GO_0010038_5	tyrA//satP//agaV//yfjV//sspB//sapD//rna//amyA//modC//yojI//cmk//ybhI//tcyJ//rplA//nadE//priC//flgD//yfaV//ygeV//ileS//dgcJ//fdoH//mtr//ynfL//trpL//narV//emrY//tap//degS//flgI//appA//focB//asr//betA//yggD//yhbO//metB//sgcB//cydD//otsA//yhfK//melR//gloB//argS//dapB//
GO_0010039_6	rsmG//araB//araD//lpoA//fimC//yfhH//ybhF//
GO_0010041_7	bglF//mltG//lacY//galP//rffC//yebZ//
GO_0010042_6	yijO//yejA//
GO_0010043_6	sdhD//mobA//hyaA//ibsB//gltK//dgcQ//
GO_0010045_6	gltS//viaA//emrE//
GO_0010106_6	mdoG//
GO_0010124_4	folA//waaF//pspA//mhpC//gltS//trpA//pcm//rlmM//gsiA//potB//pphA//ymgC//ruvA//
GO_0010133_7	hupA//
GO_0010139_7	bssR//
GO_0010165_6	cbeA//mreC//panD//yfiC//ydhK//hslJ//yjbE//ibpA//dauA//folE//clpP//trpD//yegT//ppsR//decR//yafQ//
GO_0010167_5	malK//trmI//
GO_0010212_5	actP//ftsE//sfmF//phr//hiuH//hofC//gabT//yjiX//arfA//topA//nagE//bamA//trkA//artJ//ytfQ//nikE//yfiR//dnaX//nanE//napF//preA//rplN//yeaV//erfK//queE//gudD//dcm//gldA//
GO_0010226_6	aroB//
GO_0010243_5	cbtA//ybcM//yjiX//hofQ//ompG//paaG//fdoI//pyrB//rimK//higB//waaS//recD//nusG//rfbX//livH//bfr//
GO_0010269_5	mdtJ//
GO_0010272_6	sdhA//yfcR//adeQ//arcB//ybeQ//xthA//
GO_0010273_4	fabZ//helD//lpoB//manZ//dgcF//hycH//
GO_0010288_6	lgoD//
GO_0010312_3	hyi//
GO_0010332_6	mhpC//
GO_0010350_6	yagF//bioB//
GO_0010438_6	ubiE//sgcB//prkB//secG//
GO_0010447_5	nfsB//waaS//cusC//mdtI//ydbD//fur//frwD//ompG//dcuC//chaC//cusF//pnp//hemA//fucI//rodZ//trmH//srlA//bglB//yghU//ssuC//rcsD//
GO_0010466_7	mhpB//insF-1//
