#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lldD//hypB//gstB//pabC//
GO_0006808_4	glpX//lpp//rraA//
GO_0006810_4	flgH//prs//yqhD//rlmI//purN//hxpA//paaH//panD//fimD//argT//spoT//sulA//ribA//nagA//rfaH//emrE//ruvC//rpiB//murG//lldP//fucP//yjhC//ilvB//clpB//yghO//atpA//leuE//yhbS//udk//fadR//alsK//melB//amiD//rraA//araA//hscB//rplO//mcbR//yjfF//metF//eno//yfcA//casE//pgpA//nemR//pheM//glpR//fpr//tsx//ycjP//hexR//rpsQ//trmB//nanE//prlC//rodZ//glpC//fryA//entE//lon//nrdA//glnK//osmE//menB//bssR//rnr//purR//ybiT//ykgM//torA//nrfA//pepA//gnd//murI//prpB//aspA//waaY//rsmA//glcF//ycfL//ppiC//emrK//ghoT//tatD//purB//rpsJ//arnA//cca//ybaO//blr//hyaA//elyC//iap//rihA//ybbW//xylH//ybcC//ybaO//nrfB//mlaD//xerC//yjcE//yghG//yghW//cysP//tbpA//rppH//dusC//rdgB//lsrD//uvrY//mutT//clpA//dnaG//ybiV//glxR//yciK//tap//cysE//pdeK//fhlA//dmlA//dkgB//nagE//coaE//uvrA//acnB//glk//preA//bacA//selB//ddlB//pdxJ//sodC//dppC//tsr//rpsA//metQ//greA//ytfQ//bamB//paaZ//flhC//mmuM//ralR//tdcF//prmA//fimE//yiaL//tdcD//mazG//kefB//clpS//mfd//ugpE//puuC//yjbF//fryC//hipB//uidA//dnaJ//nuoE//fimB//rpnC//yfbU//rplC//xylH//cbtA//glpA//zitB//cedA//abpB//appB//ybcQ//potA//rpsN//yiiM//yibA//xthA//araH//thrC//plaP//yfcU//ynfH//mrcB//plsX//yaiV//viaA//aroH//wzzB//serB//yidZ//metE//nadC//ebgA//aceF//serB//mrp//hicB//luxS//ubiB//nepI//dsbB//yfgJ//csdA//hisC//ilvM//crr//hyaD//sgbH//rluA//ybjG//hofO//gudD//yahF//ygeV//ltaE//queD//hypE//cytR//sufD//srlB//cpxR//rsuA//atpB//secG//betT//pyrF//cbtA//uspB//nirC//yieH//trpE//gph//trpA//rpsP//yegD//wzzE//rseP//dinG//dnaA//hyaD//bhsA//dicA//yhjG//dgoA//rfaQ//fimI//waaU//mltB//sapD//tufB//ybhJ//yehU//relE//yjhH//avtA//cbrC//insI4//insI1//shoB//wcaB//mdoD//iaaA//eptA//clsA//asnB//thrB//priA//citG//ybhR//chbB//guaD//hemB//psd//hcaB//secY//macA//rho//soxR//yhbX//yehT//adhP//yojI//malG//cpsG//nsrR//lplT//tusC//zupT//ycjY//waaZ//moaA//iraM//ada//rclR//acrB//hisG//ynfK//yjbE//rplL//ssuD//cadC//cynT//amiA//adeD//narQ//patD//napB//ompL//pbpC//osmC//panC//malG//lgoD//pabA//rbfA//yfaU//yicJ//cobT//hypA//cysE//ridA//yajQ//eutR//bglF//erfK//dxs//agaD//aqpZ//degP//hemE//pdxB//ychO//ybeY//hda//yphF//zwf//ybjD//mntP//adhP//nusG//ompW//xseB//mcbA//ynaE//rplD//elaD//plsB//kdsD//bglA//yfcS//cheA//pdxA//fabB//mdtO//cho//yddA//nrfG//cysQ//thrS//dtpC//yiiD//ddpA//yfeW//clpS//melR//glnK//tsaE//rhoL//bluF//cbl//yafN//bdcA//yhiM//nemA//fhuB//alr//araD//fecD//gudX//mntH//mnmA//ahr//yidE//mazG//pth//yhjV//ddlB//potC//yfeO//fau//zur//rffG//insF-1//sapF//rplN//yihV//nrdA//hycH//gadB//uxuA//degS//erpA//gmk//rzpD//yhaC//sad//nrfB//glpR//rfaF//yqaB//araC//yjeI//rapZ//bioH//nrfF//dgcN//ygiB//fieF//alsE//rhsD//nadC//elaB//yajR//upp//rnt//xylH//ybaK//opgC//tmcA//kbaY//cfa//pgl//arcC//pth//lpp//narK//gpt//yfdG//nuoH//hyfR//dgoK//cysA//norR//gudD//pnp//rluF//araA//argK//thiE//yihL//insE-1//ftsW//glcF//lpxC//recO//srlR//fadM//iscS//zraS//glpK//glnS//ddlB//yiiM//ygcO//yjbH//hslV//rpmH//prpR//yehD//yoeB//pta//bipA//pdeF//ypdB//prpD//ydhJ//ydaC//ppk//leuO//brnQ//patD//paaK//oxyR//puuA//ung//sbcB//rpoH//ligA//sfmC//otsB//hslJ//fumA//sucC//ygaH//rpmF//phoU//rlmD//btuE//lspA//flhA//endA//srlE//tdk//ydhQ//yaaU//hcaR//ftsX//mdtO//cyoA//ugpA//osmC//yahK//pntB//atpG//yebQ//rbbA//speA//hyaB//ftp//selA//ptsN//hypC//intZ//yhaM//dtpB//ptrA//dsbD//ydjJ//fnr//mdtM//kdpA//yaaA//yidH//rfaG//hemL//pcm//fimZ//livJ//atpE//potB//lpxL//uhpC//cmoA//aslB//thrC//uvrC//plsB//ydcT//fumC//mlaB//barA//surA//skp//intF//dxs//ygcR//ptsI//frwB//ynbC//ytfQ//holD//gloC//rzpD//ymfK//cysA//carA//lepB//rhlE//gltP//ycfH//ycdY//yhdJ//folA//ynaI//tyrA//hslV//pgaD//idi//marA//glnL//lipA//yiaT//fabG//argF//ybdG//gstB//galM//helD//relE//wecE//ibsC//entS//entC//preA//arnF//bamE//
GO_0006811_5	intQ//epmA//araG//glpK//nrdH//mhpB//ygiS//exoX//yiaT//torA//matP//rpe//yehD//ygiN//rppH//eptC//asnB//cedA//gabP//oppF//pdxY//yahD//tag//glgP//adiA//zraS//yjeI//yjjU//poxB//aaeB//thiP//mqsR//gltS//hsdM//cobB//lpxM//lysC//baeR//uhpB//tus//hcaC//emrB//seqA//cutC//sdhA//gshA//garD//alsB//rsmF//yaaA//nrdR//yigB//ybdN//ycjU//rplT//mhpT//lon//ybhA//rpsI//rlmN//iraP//rffM//yihT//surE//ubiG//yfeD//cof//yohC//yfcQ//xerC//cpdB//panF//rutC//fepG//fliS//pspD//comR//mntR//hyfC//lldD//malZ//acrZ//relB//sdhC//ldcC//groS//cueR//sdhB//recA//cca//pepQ//yhjR//rnb//yhdH//araG//sseA//insA-2//hxpA//araG//bsmA//yiiD//rbsD//tsaD//fumB//rlpA//fcl//rplI//cysW//npr//alsK//speF//yggT//dcd//mazF//clsC//yciG//feoC//sgcA//ygaV//yibT//yciT//polA//pstA//ghoT//flgD//curA//aes//narG//murQ//dmsB//yieF//fliT//csgA//speC//priA//mtlD//mtn//alr//lyxK//hybC//mnmA//crfC//groS//kduI//ilvA//serA//dgoD//argA//ompF//nikD//dppC//yqiI//bamA//baeR//ligA//accA//marA//yhgH//rsmD//ybaM//yqcG//trpS//tyrS//kdsB//dapA//cynS//livH//rutG//norV//yagG//lsrK//bglF//flhE//potG//ymfA//yibH//puuA//yggE//hisG//yhbQ//yejE//yihR//chbG//dnaT//hypD//prkB//tsaC//mrr//dpiB//higA//yaiP//ilvD//deaD//ilvD//yfcG//appC//sspA//pncB//pheP//nagD//yddL//lgoD//hemB//pstC//nikD//pdeK//hns//hflC//tolB//phoR//hybD//paaA//bssS//cedA//nadK//cspB//tmk//cedA//hyaC//uacT//dnaC//ispA//pykA//cysB//ldrA//bcp//truB//csiR//ypdF//galK//phoP//pck//csgB//ibpB//yeeA//tusE//cusS//hofC//glpC//hypF//speD//bamE//lit//add//hslO//rlmI//fis//aroF//manZ//chbG//phnJ//cpoB//mhpC//ycjW//yhhT//dnaC//hyfC//potH//ubiX//hiuH//ybhJ//yihI//putP//pldB//yihS//fdx//idnD//uhpC//uxaC//lpxB//yejA//lsrK//prpR//yehU//fadM//xylE//tatE//ybdG//zur//yjhC//narW//yhjV//mppA//pflC//opgD//yafE//ulaE//
GO_0006812_6	allB//folD//agaB//epmB//artM//astC//melB//atpE//rpsN//yibF//cspE//dpiB//xanP//ypjD//hcaB//acs//cadC//phnM//dkgA//yejE//rimP//hcp//phnH//kbaZ//agp//tolQ//gcvA//pgpC//frlA//paaB//artI//frvA//tatA//yiaM//dapD//putP//thiI//kdsB//fumB//gshB//ugpC//xerC//cof//recR//nadK//cydA//sufD//rspB//mngB//xseB//mscK//ackA//yhcD//cutC//ftsY//ycbX//chbG//ftsW//frmB//fadI//ubiG//citT//ygiB//dps//ppsR//hypT//relB//uxaB//yddG//putP//blr//insI4//rarD//yjhB//gppA//citE//deoA//yjgX//mnaT//rclA//sfmD//pepT//glvC//dcuA//dppA//wzzE//hcaD//rplT//ulaF//tdcF//rpmA//phr//nanS//matP//btuR//ydcR//tbpA//arnA//gshB//ydjL//narJ//frmA//rpnC//rlmN//alaE//rbsA//xisE//lpp//rhmR//pmbA//waaA//cysU//ahpC//cbeA//ydiK//dld//rutC//yidP//dhaL//tolA//ydbK//frlB//frdA//rpmH//dkgA//dnaG//chbR//thrB//yaaU//gloB//truC//crl//phnM//smpB//ssb//amiB//fixB//hdeB//mliC//greA//dinG//zntA//tdcG//yhaM//fryC//yfcP//cpsG//cyaA//pyrG//dgcT//otsA//metQ//kdpE//focA//kdgR//sstT//gluQ//rplD//yqgB//ynbB//galM//ampH//degP//gutQ//edd//ypdB//mdtE//yeiG//tynA//uxaC//gabP//
GO_0006813_8	prkB//ykgO//afuB//yiaJ//menB//hyaD//ydiF//guaA//caiF//flhE//eutB//uhpA//creB//bioD//uspB//potI//chbA//
GO_0006814_8	insI1//grpE//hycI//thiQ//pth//nrdA//rppH//yicJ//narJ//
GO_0006816_9	gppA//
GO_0006817_8	pflA//dps//zapD//ydhQ//apt//edd//znuB//ymgA//mreB//
GO_0006820_6	tauB//mngA//appC//yobF//btuE//wza//araE//aroD//livF//argA//tusD//lpxM//ynfK//fabA//trkA//sdhD//yehW//lldR//hyaC//fadL//gatY//yehC//zipA//clsC//ghoS//yjjV//rffM//elfG//rcnA//exbB//yaaU//araE//prlF//flhC//ybiI//yahK//metR//dnaQ//gltK//perR//dgcM//rseP//yfdO//yobF//yobA//malS//yjtD//phnM//argG//pitB//glgX//serA//opgG//ybeF//gcvT//cyoA//rpmB//yghW//dsbA//acnB//fepD//rfaB//hupA//yhbO//ybjN//gcvA//dauA//yphC//fimA//araE//yqcG//arcA//yegD//btuF//skp//mlc//sucC//topAI//yadM//yfcP//rhoL//dbpA//agaD//yidZ//yggN//proX//hscA//astC//fecA//hemD//ilvI//argD//rcsD//nudF//dnaT//iscX//ydaC//yqaA//aspS//galM//ymgC//ybdO//murJ//lepB//argT//cho//ynhG//menI//pphA//rpsB//cyoC//mqsA//mazG//ybjC//flgA//eutK//potC//lysS//grcA//ygiB//hflK//mtnN//dinD//yoeE//csgG//torA//cedA//ydiB//ynhF//lnt//thrS//azoR//ompG//ftsW//rsmD//ebgA//gabT//nmpC//lysO//gadC//rseP//ompA//agaW//sbmC//csgF//sgcX//hisH//ilvB//rdgC//soxS//ung//yghU//focB//xapA//tnaC//pstS//paaB//tas//ftp//nrdE//btuF//thiM//puuA//clpX//panD//oppB//yjiY//trpR//aer//pgrR//fepA//tdcA//ghoT//yfcG//tufB//yhbX//cobS//
GO_0006821_8	rsmE//rcsA//pdxY//
GO_0006824_8	slt//yjbH//cobT//thiM//
GO_0006825_9	yfhH//bioD1//gluQ//hexR//yehA//phoA//slt//
GO_0006826_9	pal//yhcF//mglB//rnd//flgK//yqeA//rhoL//lolC//rpiR//pdxK//idnO//mdtM//wzzE//sthA//sbp//ygiW//wecB//
GO_0006828_9	yebQ//nirB//yqjI//
GO_0006829_9	glsA2//yjaZ//atoC//mdoD//ydeP//waaY//hflD//ulaD//yhjV//
GO_0006833_6	argE//
GO_0006835_8	ulaG//glnS//adhE//nudG//rpsI//agaV//ldtB//trkA//araC//tauA//trpC//grxD//rpnB//sanA//
GO_0006836_5	glsA2//kdpC//dinG//znuA//mnmE//guaA//kdpD//mtfA//rutC//nrfA//
GO_0006846_7	betB//ddlB//
GO_0006847_8	mpaA//
GO_0006855_6	pdeH//ssb//ftsW//rfaD//ilvD//smpB//gltX//allR//fadR//lpxT//ttcA//elfD//yjgX//yebK//hsdR//yihL//prpC//gltS//yfiC//rnc//proP//ybeQ//cyoD//tmcA//lldP//yciA//glcA//metQ//mdoG//ybaK//yccA//priB//sufD//ascF//sdhC//emrB//kdsC//ycjD//holC//hyaB//uhpB//nrdI//ascG//fimE//cobC//potC//yfdO//plsC//fkpA//gmk//argS//rplK//nanK//yaiV//modA//mukB//yiaJ//udp//
GO_0006857_7	nhaR//tolC//pdxY//ybdN//ygiW//cnu//cysB//gltL//rpmG//lrp//ribF//tatA//frr//rrrQ//yhaM//fabZ//gatY//nudC//frvR//yccX//ypdI//yifB//rhaD//yjcS//rbsC//trpGD//secY//
GO_0006862_7	ariR//
GO_0006863_7	tufA//ynfK//yhcH//eutK//appC//norR//sbmA//mlaD//
GO_0006865_6	yeeY//kbaZ//selB//ygbL//yeeL//fepG//bipA//nrdR//uvrB//yrbG//tolC//aroD//yciH//eno//nuoN//glvB//yqaA//treR//kgtP//gyrA//preT//garP//xisR//abpA//speB//yfhM//ydhK//flhD//gadB//rpmC//ubiB//tufA//torC//yfiE//putP//yjbB//ydcT//hisG//yidC//nuoI//pgi//cysD//yedP//yghW//gsiC//hypF//bluF//qseB//lyxK//feoB//nuoN//potG//yghB//yqaE//bioB//ssuA//pheT//radD//hdhA//ydfG//lpxC//agp//yihW//uspG//ldrA//yeeO//metB//yadC//ycjY//hisQ//rcnB//ldcC//chiP//
GO_0006868_7	mdtG//glsA//artM//
GO_0006869_6	rffC//bioP//yhgF//ligA//yiaO//rplB//osmC//waaH//yeaV//gntK//ybdH//accB//yeaK//aldA//hisF//tatA//yraK//fabB//torS//lpp//xseB//udk//yidP//
GO_0006873_5	yqcG//ynbB//guaB//ynbC//recG//fimF//rsfS//envR//yihR//ybhF//puuC//ydiB//mdtK//xylH//wecC//citE//acpP//ssuC//cysI//dnaQ//greB//insI-2//kefB//yadN//hisB//eno//agaS//ygiB//skp//fepE//
GO_0006874_8	def//
GO_0006875_7	phnN//blc//mltD//bcsQ//curA//osmF//pheS//caiB//nanS//aaeB//focA//ybfE//sgcB//asr//yggD//rseP//ygjH//macA//torI//fhlA//agaA//
GO_0006876_8	nuoM//
GO_0006878_9	nrdG//ldtE//pncB//trpE//ycjD//
GO_0006879_9	nfo//mdtO//hypA//xanP//napF//intS//dcuC//yiaU//nrdH//pyrF//modA//
GO_0006880_4	acrD//waaC//parE//
GO_0006882_8	ompT//
GO_0006883_8	rpiA//kdpB//ycjQ//
GO_0006884_4	nusA//focA//yhgF//ssuD//yidP//
GO_0006885_9	map//cusC//dauA//spy//yfbS//cmoM//pyrL//kefF//agaA//uhpT//rplL//
GO_0006886_5	clpA//ydiP//nac//rssA//mreC//csgD//kdpB//ydcS//plsX//ygeV//hpf//
GO_0006928_3	basS//fimG//uxuR//surA//glgS//glpC//yjjW//motA//pflB//flhD//rutE//kch//truA//rnlA//adeQ//ybjN//waaJ//parC//mscK//cnu//rhaD//basS//osmE//fklB//cyaY//hyaD//rplN//ccmG//asnC//pdeD//mltG//appA//truA//minD//gstB//perR//ybhG//dsdA//uxuA//ispF//cycA//otsA//araA//ybdO//
GO_0006935_4	yhjD//agaR//amtB//rraA//yfcP//tig//mpaA//rcdA//znuA//yibT//potE//lptD//yghB//waaP//gntT//ydeE//
GO_0006950_3	tatA//yedA//kdgK//kdpA//tdcB//yjgX//waaA//torS//glcC//tsaD//gadE//ygeR//lptB//gltK//mgtA//dtpC//mtlD//tatB//dnaB//evgA//pdeD//cynT//idi//nlpD//thrS//yhaO//barA//treC//nlpE//dnaT//kdpC//yidA//treA//phnG//dgkA//glvB//entA//yddG//mfd//wcaJ//livJ//cspC//yqgF//mdtD//scpB//rpmA//gatC//hemC//queE//ybbW//ytfE//yjeI//chpS//higA//fur//dtpC//fucI//pheA//fixA//yiaF//rpsD//galR//yibA//hisD//dtpD//cyoE//basS//cdgI//entC//ppsR//gntP//rhlE//aer//tag//tqsA//nfsB//curA//clpP//comR//nagK//fryB//pgk//cobB//yhcH//ykfI//dgcJ//mtlA//frdB//hipA//kup//greB//fabA//sgcC//slyA//rnt//cobB//sixA//torI//yifB//yfaV//gcvR//mgsA//dapB//nikR//gpp//yagG//lplA//mhpA//ydeP//ybaL//luxS//rsmB//recR//csgD//rnt//dmsA//mliC//narX//nlpI//pstA//wzzE//emrY//glsA1//bioD//adiC//aaeA//nepI//ccmF//lysP//yeaV//proC//glnH//yqiI//ftsZ//dgcZ//ynbC//dctA//sgcB//ssuB//yidZ//cobB//paoC//kdpA//sgcB//murF//ytfP//marA//yidD//ogt//ydaC//ulaA//puuR//ycfL//serC//rimL//basS//ccmD//mog//dgcF//codB//pyrL//ycaN//preA//csgD//pgi//trxA//uup//sfmA//rffG//mazF//aphA//sapC//cpdA//ybaQ//ubiB//pnuC//qorA//rimP//fau//yehT//actP//opgE//hisG//pitA//ftsI//gmhB//rluF//hyfR//ais//yfcS//yaaA//norR//fadH//adhE//poxB//pinE//brnQ//waaO//macB//rarD//uspC//ribD//ttdB//proW//thrL//manY//uhpA//argA//yieH//pdeD//znuC//atoS//fecB//setC//tag//yajQ//sgrT//mngR//xerC//ybdZ//mreD//tcdA//uxaB//cadC//wecB//ybjX//intE//recE//rhoL//yagU//dosP//pntA//leuB//evgS//yegS//ycjP//narV//nfuA//apaH//pnp//yeeL//dgoD//sucC//leuO//prmB//ccmG//emrD//metR//gatZ//nemA//srkA//leuA//tehB//lgoD//etk//umpG//yecS//yfdK//afuB//fdrA//rfbX//ybdR//matP//kdsA//prfB//hcaE//aer//ptsH//dgt//stpA//yraJ//aroG//ymjB//oppA//livG//ydjM//torY//mreD//garR//scpC//yedA//oppD//ompF//hyaB//rapA//dppD//ugpA//ycgB//znuB//yhaO//bcr//frdC//yghO//putA//creC//uvrC//murA//yadM//rssB//ubiD//rimJ//elyC//shoB//hisI//rarA//serS//otsB//envY//trpE//sxy//fecD//ymfK//argP//mipA//yqgF//zapE//lysU//panF//tdcF//aroH//trkH//oppA//yheT//hycA//hflD//rpsS//cmtB//yecS//entB//yqeA//mrdA//shoB//ychH//cnu//yahN//cmtB//rne//torY//fur//gnsB//tdcA//ltaE//yedA//lpp//xylB//prpB//yqcG//thrL//glnE//essD//bamB//marA//nrfF//yraK//greA//mhpT//mglC//aroF//rpsH//gsiB//kilR//iscU//ybaQ//ycjY//pdxK//mrr//lpxL//ybdZ//yhcF//tamB//frsA//infC//tdcR//wcaB//yciV//yjhH//uxaC//yeaD//gloB//phoB//minD//mntR//nupX//manZ//lapA//lgt//rluB//panB//ribA//ssuA//frmB//hybB//uxaB//uspB//yajO//acrZ//hofM//yebZ//rhaS//dcyD//yrfG//betT//trpR//scpC//ompF//hisP//rnb//hcaR//poxB//casE//mutH//pgk//intF//pspA//trpC//pitB//rnlB//dadA//yciK//tsgA//yfdC//puuD//yihU//ispF//yidR//hemG//cynS//glsA//gyrB//dinG//yjhI//xseA//viaA//corA//ydaN//hdeD//rfaB//cirA//mdtN//ilvI//hflC//tdh//yedA//yhhT//zraR//alsB//yfcR//mepA//allR//bioA//tas//yjcO//slt//speB//ycfJ//lpxL//tktA//yiiM//bisC//yaaA//rsmF//ydfK//dauA//creC//yfiC//ygbN//narQ//hdeB//thrC//dcuD//allB//rlpA//fucA//yfgI//phnC//ubiD//pflC//garP//yciV//fumC//ilvL//yqhC//
GO_0006952_4	cheZ//cbeA//hdeA//murE//fliD//phnP//gatC//prmC//fimG//yhgF//tnaC//mqsR//
GO_0006970_4	mdfA//gltK//nikR//rna//galM//dapF//purL//yciV//flhD//metC//cysU//ulaA//adeQ//yghG//ssuB//hiuH//sstT//sufC//yjjW//fepC//trpGD//cho//prfB//cas3//sdhC//mdtN//sapB//mipA//mutS//argB//asr//glpT//yjcE//gshB//aas//elfD//tusD//cysM//
GO_0006972_5	yoeB//lgoR//holA//cusS//rfaB//galU//prpD//secD//hipA//rfaH//putA//yidK//icd//pyrF//
GO_0006974_5	ybdR//msrC//fumC//lptB//prlC//mltA//thrS//gutM//uspC//mrdB//yiaM//gcvP//yoaA//xthA//paaJ//cptB//prc//yihX//hsdR//uraA//recC//ydeT//potF//ydjL//argI//zapA//nac//ycgB//entC//cysW//maoP//tolQ//argH//lpxL//rnhB//kch//waaB//sfsB//ytfQ//malX//adiY//nhaR//rsgA//puuC//bdm//tsf//rzoR//yhjG//allB//cpxR//ruvC//pdeL//pdeF//hycI//sapC//rpsT//dacC//thyA//yjiA//yfdC//umuC//zapB//dnaN//ispA//deoD//xylE//dtpC//prc//yfbU//waaC//cysG//tatC//dsdC//ybcQ//yraI//flhD//setC//ftsX//mngR//murC//hybO//ygaV//idi//yobA//recQ//waaA//cbl//kefG//uidC//ygiS//yieE//gltS//treR//ddlA//metL//clsC//napC//gudD//yihT//acnB//glvC//evgA//rep//grxD//treA//ybdR//yfiF//yeaV//pspC//hslO//ligA//thrB//cyoC//murQ//orn//ymgC//ldhA//panF//artP//lysA//maoP//srlE//cptB//fdhF//gltB//serA//yejB//yfiF//bioD//aroK//rbsC//priB//hypE//ssuA//plaP//amiA//hisA//rnb//atpA//yjbG//cysU//fnr//fetB//flgJ//elaB//yoeB//mhpC//ybgQ//glpC//higA//ulaF//dbpA//rlmB//yibH//rbsA//tyrS//pgi//yfbS//fieF//dapF//ydjL//rusA//bacA//yeaV//prpC//mngR//yihT//pdeR//grxD//yjiA//cirA//lysR//mhpT//garK//yjhG//nrfC//vsr//tusB//der//rsmJ//exuR//betB//rimK//mhpR//speG//rcsC//rbfA//efp//topB//ilvI//folM//glyS//artP//yciH//smpB//yddA//zntA//prs//npr//map//rpmB//aidB//ypdF//kdpB//rpmA//lgt//yfjV//manX//cpdA//glnP//mdtA//agaV//recC//ybhD//xylG//metL//ccmC//uxaA//rpe//malQ//rhaA//nikE//artQ//mreB//ptsP//hypB//ybbN//yahN//argE//gcvA//intF//fhuF//tdk//tdk//nrdR//ptrA//uvrD//rzoD//nuoB//ynjA//cysM//dnaQ//cmtB//sgcB//sgcA//mntR//
GO_0006979_4	hybA//yrfG//ydcR//hslJ//radA//cptB//garP//barA//torD//yfdC//mepS//artJ//pheM//fecD//gatY//pepQ//hypT//prs//corA//xylA//cysI//miaB//livM//gpt//gdhA//tdcG//paaH//glgS//arcB//ybiV//ygfZ//ymgA//metC//yieE//rutR//srlR//kdgR//rtcB//wzb//efp//gutQ//yihL//idnT//ybcC//zitB//uspF//ydiV//rlmD//aspS//waaG//yagE//umpH//uhpB//sbcC//gpp//acnB//cueO//yajL//sxy//relA//ligA//rpiR//yphF//nrfD//ugpA//znuB//ygiV//osmY//qorA//caiB//entD//hexR//frr//kefB//hrsA//gloC//yiaN//purF//idnO//tdh//yibH//ydiZ//ydiZ//rhaD//argD//yneL//
GO_0006986_5	fliZ//tusB//thrA//ydaV//ydjM//slyD//
GO_0006995_6	ybiX//uup//
GO_0006996_4	ribD//hdeA//flgG//cysZ//sapF//metR//ribF//fecA//kefG//insE-1//ygeX//ibpA//insA-2//fimZ//yjjI//yddG//hha//lysA//pdeH//yieL//sdhB//yihW//frlA//aceA//hofP//fucK//bioC//flgE//yadV//galF//phnM//endA//deoA//ibaG//glpT//tehA//cytR//insH-5//cysW//
GO_0007010_5	rpmE//
GO_0007059_3	selD//yggE//murC//purB//gshA//tynA//fre//pabB//rsmD//leuA//
GO_0007062_4	nrfD//cpsB//grpE//bioP//
GO_0007154_3	narQ//paaZ//marR//yhjA//cspG//satP//srkA//yggD//speD//narW//rhlE//ypdA//yfaX//ynjA//uhpT//frlA//rpsA//amiD//menA//menE//rimI//sufS//ralR//yidP//paoC//ribE//wecB//yfcS//tyrA//pspF//ftsN//sgrT//tgt//mlaC//yeeL//srlR//dmlA//rsmG//yobA//pepT//sdhC//yjaZ//insA-2//lptC//mdaB//fepC//phoB//adhE//cspE//yrbG//hmp//basR//yohC//mepA//bioP//
GO_0007155_3	nanK//hemC//ydcO//ascF//ftsX//ydfK//yfcA//caiD//yqaA//ccmE//gmk//rsmD//yeaE//nrdH//rfbC//treA//rsmG//gpmA//rpmG//glgA//malX//yhjV//pdeF//ycjU//rpe//murB//lsrR//galS//cueO//rutC//caiF//epd//suhB//fucP//rpoD//
GO_0007163_3	yejF//
GO_0007165_3	rfe//rof//rffH//ushA//frdD//hybF//dinD//hokB//menI//fabG//casA//aroG//gmhB//rhaB//hxpB//galU//adeQ//ycgR//mraZ//nanE//argC//ybfA//nlpA//rpsT//gudX//minD//csrD//lpp//yccX//nrdG//frdA//ftp//prpB//yiaF//amiB//ycgV//ivy//ppc//ybhA//yhbX//glsA//waaC//satP//ygiS//pppA//yaiV//dnaA//yfcR//ldcC//mlaF//clcB//yjbF//murJ//yebG//pepN//ftsX//yidH//acpS//artJ//zapA//
GO_0007166_4	dxr//baeS//paaC//lacI//
GO_0007215_5	nupC//betT//murC//hisG//
GO_0007231_4	rapZ//
GO_0007234_5	rfbB//
GO_0007267_3	gnd//yhhZ//
GO_0007346_6	rplW//glpK//zwf//
GO_0007584_4	yhbS//rutF//kdpD//prpC//
GO_0008033_9	malQ//murP//ihfA//mscL//yhdJ//dxs//yfbR//flgG//yhjC//tdcR//yadI//dcuA//hokB//ybiY//citC//gapC//clpP//holD//pyrC//dbpA//cbpM//dapA//sbcB//adhE//cbeA//rrrD//murD//bcp//queF//pfkB//yjcO//flgK//rnhA//ubiB//dinG//prmC//uhpB//yfeW//torC//hslU//glnP//fre//dcp//tpx//rfaC//sugE//gph//caiE//pheM//thrC//ynfF//ynjA//nrfC//elaB//yqaB//ihfB//
GO_0008104_4	tauD//gsiC//endA//trpB//rpsP//polB//yobF//kdpD//glk//ebgR//mreC//yfeW//gudD//malE//clpS//ilvE//hisB//mmuP//cpxA//tsaD//fabD//yfdC//gstA//prpB//nrfA//lpxP//fkpA//ulaC//arnD//csdE//bamA//ydiF//ispB//rclC//feoB//arsR//macB//garR//gnd//mutM//recN//tehB//pinR//glnK//hsrA//rutC//bdcR//plsB//nuoI//
GO_0008156_8	cheA//bisC//arnD//rclB//flhA//focA//
GO_0008202_5	ybcM//
GO_0008206_5	bioD1//
GO_0008213_7	crfC//casD//csiR//hyaA//tdcC//yjeI//moeB//glnH//
GO_0008216_5	lnt//yehY//yhbX//
GO_0008219_3	dcp//ftsX//tyrA//waaU//hdeB//ydcZ//gabT//dhaK//ddpA//potA//mntR//ydiO//truB//agaD//yjjG//
GO_0008272_6	arnD//hdeA//murQ//nagD//rffM//pspA//yebG//
GO_0008295_6	cydD//fimA//aceB//
GO_0008299_5	xylA//yhjA//hokE//yeeA//aroP//lon//
GO_0008360_4	wbbK//dinG//rplI//yigB//rpmA//psuT//yigB//psd//yrfG//rbsA//kdgK//yggX//cysM//rfaC//bcsA//tusA//
GO_0008361_5	ftnA//ibpB//torA//rne//iscR//
GO_0008380_8	hisM//
GO_0008610_5	ligB//ynfE//ymfA//pth//bglH//yphC//zipA//ubiE//ftsZ//rseC//yehT//ybhS//rbsD//rcsA//mscK//gabD//glxK//ligB//dgcZ//fimA//purA//mlaB//pcnB//dxs//minD//lptA//uvrA//exbD//mug//murG//dctR//lysU//pcm//sdhE//paaK//corA//gltS//yqcC//entA//hybA//lgoR//fucA//bdm//zraS//ynbC//elfA//ydcR//tusE//hdeB//yhhT//tgt//exbB//dppC//gntK//yeiG//mmuP//lyxK//fabB//ybfA//mfd//yehB//ygcO//glgX//cecR//lepA//miaB//flgE//
GO_0008614_5	nrfG//mepM//flhE//gdhA//ompT//lsrC//puuB//
GO_0008615_6	tehA//ygeV//sufC//atpE//ydbK//ycgV//fabA//
GO_0008616_8	essD//mngR//fadJ//mqsR//suhB//pta//qorA//
GO_0008617_9	dgoA//
