#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	recA//speG//tpiA//dnaA//
GO_0009057_5	cheA//udp//yqeG//trpB//thyA//ynhG//dgcF//ycfJ//yjjU//yieK//glcF//flgE//nhaR//tgt//nagK//paaK//chpS//yjbF//mtnN//epd//lpoA//dadA//carB//ssuB//acrB//tdcA//gadB//ftsA//dacD//hisS//recT//rpnB//rsmC//trmI//rnlB//amiB//zapC//hemC//selA//ais//dauA//ispU//idnK//mcbR//csrA//gloC//dgcQ//ulaD//elfC//rihA//metI//pdeD//ydiQ//rpe//
GO_0009058_3	dnaQ//yajR//torY//tldD//rpnA//queG//ydiO//pheT//aroH//sdaC//hokE//casC//ilvH//yigL//nth//aas//yqhD//yfiE//gatD//cas2//bipA//mltC//cusR//uxuR//thiQ//narX//cmoA//yqjI//yhjG//recQ//talB//yjjG//ygcO//trmB//pntA//mdh//insI3//paaZ//elfG//ispA//emrE//citX//dnaC//cas1//ivbL//iraD//mscK//ygaH//cysZ//lipA//psd//mtgA//glnP//nupC//rplF//rne//msrA//mocA//htrE//rsmJ//yihO//yiaM//yneJ//ahpC//ybhI//hyaB//fryB//zipA//mdh//cynX//agaV//roxA//cytR//nrdA//skp//lpxH//osmC//tdcR//norR//nrfC//rfbX//yagG//ldrD//hdhA//relB//dedD//hisI//argB//ynfE//fre//ugpA//ribD//ygaZ//rfbX//moaA//fryA//accA//fadR//shiA//ilvC//wza//insI1//ldtD//dld//kdpD//folD//rcsB//yihW//plsC//cysQ//pgaA//gpsA//dgcE//pdxA//rplY//oxc//emrY//cynS//rpmJ//ettA//nikR//hslO//yhbX//narW//kdpF//bglH//dkgB//rne//yfcG//phnK//pheM//fliG//ffh//nemR//fetA//tehB//fimI//aspC//rsmH//rclC//sohB//mnmE//deoD//yiaL//fhuD//bglF//fhuB//ogt//rlmH//yeeO//mocA//yciH//dnaX//cyoC//pepQ//waaZ//zraR//metK//dgt//paaA//dmsB//ssuC//yeeO//cysW//ydbK//gpp//yegT//ydiB//ftsB//ycdY//ubiX//ynaE//ycfJ//yhjA//recT//mhpR//yjiX//yjcE//mtr//cspD//dsdC//sapF//mutH//intA//raiA//tufA//sbcC//nrdE//btuR//rplN//yjhH//ydfG//mrp//tufA//fklB//lpoA//cheY//yihW//ynbB//ycgR//ydiQ//ftsQ//nuoM//rsmD//aceA//alaC//gltB//yhbY//cnu//sdhD//yhaC//holA//mqsR//yphC//mscS//dnaG//ribA//pgpB//ftnA//yddL//yieE//umpG//lpp//trmA//ykgM//scpB//thiI//wbbK//menD//ybaQ//dgkA//rbsD//yihQ//rplJ//ccmH//yhaV//sdaB//manA//ompL//ycjR//ycjR//yedP//frlR//tsr//cstA//lpxK//glsA1//deoR//ibsB//rutB//ldtC//pheA//sstT//xylH//flhE//nrdE//dicB//yjhG//yeeJ//secM//alr//ftsZ//tynA//alsA//dcd//fdnI//mhpB//proB//ulaC//ldtA//rpmG//tcyL//envC//insI-1//corA//pflC//znuC//uof//glgX//nlpA//hexR//ygeX//ghoT//rfbB//flgB//alsC//kefC//selA//ybhD//argF//hybB//gapA//nadE//uidA//yehW//fepG//secY//glpA//hyfR//uspF//codA//ftnA//dapF//rutA//adeP//mhpT//ydcS//malK//cyoC//tdcB//arfB//pnuC//glpK//mdlB//bhsA//trxA//dapD//yegD//dnaG//fimF//sufD//murJ//thrL//hrpA//melB//rihC//nanC//puuD//nuoG//purC//yehX//marA//osmF//ghoS//murR//mrdB//fabR//putA//rpsO//psuG//yoeB//ssuA//fimE//sapD//ruvA//potC//dicB//yhfK//appY//mlaE//syd//yjiA//ydjK//fklB//mltB//uvrB//torS//yfeW//ridA//rpsO//frmB//rpmF//rhlE//hisA//nuoH//hemF//sppA//cadC//rplK//mmuP//mgrB//znuC//purB//glnE//iscX//mglC//yefM//motA//atpD//uspE//yoeE//yaiV//uacT//yeeJ//yejE//betB//nikD//pdeF//gyrA//fabH//rutG//kdpC//pyrB//yehA//gntT//ygcR//oppD//yedF//yidE//yjiA//smrA//hemL//abpA//waaP//yebG//ilvH//paaX//higB//yiaU//flgC//yadI//ygiN//glcB//gph//dcuR//dgoK//uhpC//hmp//rpsT//gcvP//cedA//gloB//hisI//minE//rplT//yihT//tcyP//dkgB//narU//agaI//hprR//dgcJ//infB//dnaB//trmI//yaiW//fucO//ridA//ilvC//cysQ//ybiX//flgM//dmsB//glnP//ilvB//fdhD//lpxH//mltF//htrE//pstB//idnD//yjiM//trpS//pitB//gcvA//iap//spy//actP//tufA//fliT//yoeE//hybE//holE//gudP//paaH//yihR//mtr//rffT//ybcF//ydhJ//bioF//rhmR//mgsA//cysZ//glyA//mhpR//exbB//thiG//fimC//cspB//gadW//metR//sbmC//cynS//agaA//rluE//lptG//phnH//yihI//gph//cdd//yeeA//panD//ydiZ//yphB//alaA//waaQ//arcC//mipA//pntA//thiD//hpt//flgA//metG//prpD//uup//fadE//insI3//arcC//hipA//yhbO//xdhB//dbpA//xapA//dsdC//ebgA//alaC//mgtL//dapF//livF//pcm//elfA//ascG//crcB//cyoA//rpmH//yhbS//tdcE//bepA//murJ//nth//uidC//ftsI//ulaR//nrfB//aroC//uvrC//xanQ//rimJ//rutE//eutK//ompT//glcD//roxA//acrF//ompT//moeB//yhgH//tdk//flgD//mutM//alpA//rplP//sgrT//malZ//yhfK//potD//eno//malS//nhaB//yciA//citG//tsr//glgB//hemC//nei//hybB//oxyR//rep//lldD//frlR//rbsC//mlc//uvrY//chpB//wcaC//caiF//sucB//nadB//zitB//cspC//prlF//yfcU//yjjI//minD//gntK//uhpT//cheR//alkA//yjhB//cca//dgoT//infB//tbpA//ispH//ybeY//mhpC//gltD//upp//valS//ais//roxA//tauB//luxS//pyrH//metI//ribC//phnJ//metB//caiB//recJ//cspE//greB//fdoG//adeQ//recQ//nrfE//pabC//prmA//ycdY//nsrR//sdhD//paaD//udp//hyaA//hscC//kefC//yiiM//yfcV//dmlR//ugd//fadL//nikB//gltI//ebgA//trpS//hdhA//argH//alpA//coaA//ptsI//selB//parE//sad//srkA//gatD//dxr//cyaA//yiaL//ynhF//garL//relB//nadD//trg//recO//abgT//atpF//mngR//csgF//narG//alaC//ligB//grxD//fbaA//yehD//cusS//insI1//emrE//tdcE//nrdH//dppC//hcaF//ihfB//appY//cecR//ldrD//pgaD//yaiP//phnI//ligA//tolR//adhE//pta//fur//cas1//cysC//tus//gspF//rhmD//mnmG//fixB//ulaA//pykF//zapB//menC//ygeA//ydcM//evgA//cpsG//rplC//yijE//yfiR//proQ//glcB//malZ//uraA//fimZ//dcuC//secG//metK//gcvR//murB//hyfR//blc//cmk//rapZ//aer//araD//mtn//rpoS//preT//yqhC//proA//yidR//hslJ//ymgC//flgF//ppiD//hisB//dcuB//mutS//ushA//ybaE//acrD//plaP//emrK//rna//hisS//ymgF//vsr//mdtJ//fadJ//glpG//rsmF//ppx//yhbS//lysO//putA//aroA//proA//puuB//ynaE//manA//pstS//fucO//lepB//yahO//speG//slyD//acpH//helD//selD//ydcS//iraM//lon//insI-2//rhsD//
GO_0009059_5	ydhC//tgt//tdcA//chbB//yadM//yihV//endA//yciT//pfkB//zupT//dnaT//uvrC//gntU//hyaB//rihB//yjbG//oxyR//cysZ//rcnA//groS//ldcA//livH//lacZ//ybcF//rhaT//fimG//hybD//arsB//trmB//ycaN//zraR//frvB//panZ//cysB//atoB//fecC//yieH//cysU//yhjB//secY//yieH//efp//uidA//sufE//lolA//soxR//proB//ggt//yhjG//sdhC//hslR//livH//zapA//fliM//aer//rimP//menC//rmuC//yhdW//rlmH//mrdA//zinT//ygeW//glvB//truC//yihI//argG//argB//nusG//cbeA//cobB//rsmA//hsdR//lpoA//rpoH//grcA//hokE//yfcF//yqcC//entD//purB//dld//rpsG//ybjL//adhE//lysU//yjhP//mltA//yfeX//recG//purR//arcC//ibsB//insH-5//psd//xylF//dkgA//gltP//rihA//sutR//yihQ//modA//hypA//arsC//rplN//rplK//ybbN//hemH//ubiA//ybjC//aroD//oppF//ybjL//rfbB//napC//elfC//hicA//psuT//topB//tamB//yiiD//chpB//mdtB//roxA//aes//der//yhaJ//gnd//patD//rfaE//tilS//menC//mfd//yhhZ//fabD//yahF//yfcV//bioF//ydiF//glgB//flhD//polA//rpmB//chbC//ycjY//insF-1//yiaJ//tsaD//oppA//truD//nuoM//fimZ//hokE//yphB//gcvP//rpmF//chaC//rarD//lldP//ompG//hisD//uacT//hofP//ilvM//yjbG//ibsA//sdaB//araF//ydiB//ldhA//yieK//agaI//rsuA//rsuA//plsB//dmsB//aldB//hscB//lrp//crfC//ldtE//azoR//paaA//holA//tonB//cmoA//ltaE//yidA//nadC//ycjP//zapC//bamE//rpsS//pspC//gcvP//preT//rimO//ybjD//proX//nagA//yagF//rhaM//uacT//yhiM//ycbB//putA//glxR//zraS//acrB//kch//recC//insI4//sapA//gabD//rpoD//metI//slyD//sgcR//rsmE//hyaD//clsB//msrC//agp//gcvT//artM//greA//yfaU//alaE//fryB//panD//sppA//tsaE//der//yfjR//insA-1//elfA//rnr//xerD//tcdA//ybiJ//sucA//hyfF//intS//qseC//ttdR//cydB//ulaC//fucO//dinI//dapA//uxaA//sugE//yggN//ulaG//metE//rpe//rimP//rpsK//ptsG//aphA//pal//lysR//hofP//atoS//recN//envY//insB-4//ackA//nrfG//nuoG//alsK//hofC//recN//ydjK//allC//intE//barA//lgoR//ybbW//ttcA//lgt//fepA//mdaB//yohD//rffT//ydeI//hyaA//msrQ//prmC//waaS//ampE//nrdA//tdcR//clpP//ribA//rpmC//ddlB//artM//sugE//waaA//wza//prfC//ygfZ//rcdA//infC//sgbH//cdd//arcB//mdtD//arfA//ccmG//recB//ymgF//lysR//gsiC//mtfA//ubiA//
GO_0009060_6	treA//yhjA//zapE//apt//caiT//glxK//ybjX//hemC//galF//ppiD//yahK//birA//bcsQ//rhlB//yagU//gspF//lldR//frvR//lacZ//gyrA//exbB//fimD//mntP//pflA//glsA2//guaC//
GO_0009061_6	rsmA//accB//galM//xylA//ycjW//galM//hycI//pykF//asmA//ltaE//cpxA//ompA//msrQ//ybdM//mrdB//msrQ//yghU//dicA//ribA//sapA//yibF//tolQ//ileS//zapB//accC//kdsB//tdk//ogt//fecA//argP//ulaB//yadV//yraI//prpD//rraA//ybiJ//yhbO//cdgI//prmC//pal//basS//ftsY//fixC//yfdK//osmC//yihS//folA//rpsA//ushA//yhdJ//aldA//mepA//rfaD//dcuS//umuD//
GO_0009062_6	cysH//fbp//pstS//glyS//rfe//chpS//yqgF//yjaA//gabD//mngB//slyD//hemN//glgC//idnT//dinD//mdtM//ubiD//nrdD//envZ//nmpC//xerC//
GO_0009063_5	psuT//yccA//rluF//agaW//bfr//miaA//ilvL//uxaB//cobB//nrdH//pdeL//ybiV//ynbB//dgcQ//sbmC//tcyP//nadA//mutH//yhbY//yqjA//murG//rlmF//pck//bhsA//yfcF//pgpC//metN//lpxB//chiP//xerC//narX//hypB//lysO//araH//ydeE//potE//wcaC//uidR//cysE//xylR//degP//dkgA//acrZ//ydcP//ymfA//grpE//atpG//htrE//sdhE//ldtE//pinR//uhpA//fucI//crr//ftsX//
GO_0009064_6	rsmG//ymfA//dfp//ynfH//yfcR//yecS//ssuA//cspC//agaB//degQ//pncB//iscA//recC//puuA//yiiE//ybeF//folD//erpA//acnA//cbl//elaD//atpG//sufC//ppiD//ykfI//fimB//xapR//pspF//zraS//fliT//ygcO//fieF//elbB//truC//oppA//insA-2//rpsJ//yihV//aspA//glnB//cysN//ybbY//galK//nac//accD//ompT//
GO_0009065_7	arnB//yjiM//insI1//yfhH//idnD//bacA//clsA//nemR//dppF//crfC//speB//hrpA//lysS//ydiV//asnA//yfbR//osmF//yhaV//
GO_0009066_6	gntU//basR//cusR//rlmE//fdx//pcnB//ybhG//chpB//yfgJ//elaA//hyaB//rzoR//yijO//yjbG//mntS//ascG//srmB//selA//nuoN//ybfE//smrA//agaA//radA//rhoL//yiaN//pinR//rffM//lysR//moeA//gph//grpE//mscL//degP//tcyL//dcm//rclR//bglX//arcA//ydhJ//rlpA//frdD//yhcD//plsB//waaZ//feoB//kduI//yedP//yphC//
GO_0009067_7	perR//tdcR//glvB//yjhG//lolD//dfp//hemG//recO//yefM//nanR//napF//hsdR//polB//hcaT//pdeF//nudG//ybjD//cdgI//cnu//nepI//hisC//hcaF//yjjU//tqsA//mnmE//chbR//
GO_0009068_7	fadI//xylE//yihU//dapB//secE//abgA//hha//yeiE//thrL//lolC//yidA//yieF//ycaN//
GO_0009069_6	elfG//yqaA//mdtI//aspS//rcsB//tusE//rcsF//yohD//crfC//acrZ//lplT//lpxC//tatE//gsiD//leuO//fdrA//plsB//recA//panZ//mutH//xthA//xseB//ydjH//tsr//mhpB//ltaE//glpF//fepD//leuB//ilvI//prfA//mdlB//puuE//rarA//acpT//mscM//
GO_0009070_7	rcnR//rpsL//ybjG//rffH//ybcJ//btuB//chaA//acrE//rpsO//gntK//xisR//yeaD//entS//cyaA//ompR//rffM//casC//recA//cpsG//kch//
GO_0009071_7	pagP//uacT//tdcB//fhuD//fadH//yjhH//asnC//cueR//pgaD//maa//glpD//htpG//yacG//ypdA//
GO_0009072_5	livF//fbp//tsx//rpsO//alsB//polB//potC//dhaL//ilvM//ispA//sbmC//cheR//tauC//lpoA//pstB//pdeR//yidP//fecB//fur//ribF//leuO//mcbA//yoeB//exuR//
GO_0009073_6	adeD//waaP//yghG//fabR//ybjI//msrQ//hpt//tatE//lysA//ghxQ//fabR//mfd//dapA//hemH//tamB//feoB//msbA//yhdW//fucO//rpsK//slt//
GO_0009074_6	metR//ytfT//tsf//
GO_0009078_6	amiA//dbpA//ulaG//greA//lepA//pgaA//btuD//
GO_0009079_7	zupT//potB//yahN//cutC//
GO_0009080_7	uspF//garR//eno//
GO_0009081_5	ade//ymgC//ccmC//eno//zupT//hpf//rbsA//sufS//ybaQ//dauA//yciE//fklB//dacC//topAI//melB//hcaE//panZ//narV//ybiT//nagZ//tdk//frlR//
GO_0009082_6	mutY//cusA//cadB//yafN//sufA//ftsY//flgJ//znuB//frsA//glgS//ppk//lolD//potH//rcnB//lpxK//sdaB//oxyR//mdtG//
GO_0009084_7	ydiZ//yadN//yehP//crr//metK//yccA//cdh//cyoD//lolA//macB//glcA//tpx//dppD//umpH//obgE//allC//gcvA//rutE//ygfA//sbp//rsmD//yhdZ//waaS//udp//ygfI//
GO_0009085_8	sufA//srlA//afuC//ghoT//iaaA//eptA//dnaN//metN//eutN//yhdW//tatA//tabA//
GO_0009086_7	yadI//yahN//cheW//gpp//curA//rpsH//agaB//tusB//paaB//
GO_0009088_8	rnc//fadH//
GO_0009089_6	mdtJ//bcp//rhlB//phnG//caiE//srlE//wzb//chbA//ydeO//
GO_0009090_8	potE//asnA//fadK//yhaM//
GO_0009092_7	rpsJ//wcaC//mdtP//lpxM//cptB//sgcR//
GO_0009093_7	putP//lptD//citG//nikE//fic//
GO_0009094_6	xisE//paaX//yjeI//gutQ//
GO_0009095_7	ygdG//ydiR//recO//sdaA//
GO_0009097_7	sfmC//dsbA//rhsD//rpoS//ycbB//ybdG//yhjG//
GO_0009098_7	nrdG//ampD//ruvB//iaaA//yfgO//waaQ//chbF//
GO_0009099_7	sohB//phoE//amyA//iraP//dnaC//sbmA//trmJ//aphA//kch//wecA//
GO_0009100_5	yahD//acrF//nuoL//mrdA//yfdS//
GO_0009101_6	gatA//
GO_0009102_6	glcC//csgE//waaH//ftsL//ldrB//hofM//rnb//yjiQ//hisS//aroA//gsiA//lldP//atpH//
GO_0009103_6	leuO//ydbD//oxyR//tusE//pdhR//accB//tgt//fepB//rraB//mcbR//pgpA//
GO_0009106_5	trxC//hyaB//
GO_0009107_6	deoD//pheP//
GO_0009108_6	araB//basR//nadD//yjbB//torI//udk//yjbG//yciA//cysE//ilvA//xapA//msrC//purA//rssB//galF//sufD//yciG//holE//mdfA//ybaL//ddpA//nrdG//hicB//der//fliT//dcp//yafS//ybiI//pnp//mglA//fdoG//yjjW//yeaK//folM//yfeR//fliD//torS//bssS//wecC//yahK//yhbX//grxD//tolR//folA//tufB//msrP//rsmB//trpC//rlmH//ftsI//treF//rplE//ubiX//dmlA//ydcM//alaS//maoP//lrhA//galE//mdtE//murE//ybiA//cvrA//ilvE//yphB//narZ//pdeL//dcuC//yfdG//clsB//ycfS//mpaA//yiaF//serB//dnaC//gltX//yijE//deoA//ravA//coaA//pdhR//uvrB//ydhC//ghoS//nudB//rlmC//chbB//murI//ycjW//nhaB//aroL//paoC//ssuB//gcvR//ydaC//ydiP//sfmD//treC//yhjV//entH//nanS//yehZ//zupT//aldB//kdgR//yggW//deoA//zapA//exoX//acrZ//
GO_0009109_6	ymjB//pdhR//mtr//idnT//phnM//
GO_0009110_5	ybcM//glnK//mzrA//rseP//lolD//yebS//codB//recG//patD//acpH//araA//rcsD//msrB//argS//gnd//ygaH//rsmC//ybeY//deoB//yieF//ampH//nlpD//ynbB//xanP//ychF//ydeI//idnK//hokE//ybjX//yidZ//fklB//fimI//hemD//rpnC//hlyE//adk//kdgK//mipA//trmI//recB//dusC//dinG//yjjI//dgcJ//pnp//arsR//fimB//fklB//osmE//speB//gmk//hcaB//glgA//ubiC//rcnR//hisF//rpoA//
GO_0009111_5	modC//sufC//udp//pheP//
GO_0009112_5	aldA//rhoL//hisP//kdpB//rsmA//yfcS//waaO//abpA//alsB//ribD//setB//xseB//gcd//mltG//dinQ//hemC//moaB//ycbU//kdpD//ynfF//proS//yiiD//yhhZ//lolA//dsbC//nadD//rnhB//queA//fabH//gltX//qseB//satP//nlpE//afuC//ycdY//rnt//
GO_0009113_5	cysH//fliG//pabA//malS//uidC//
GO_0009114_8	birA//
GO_0009116_5	tdcR//mlaE//pheM//minE//msrC//rapA//pmbA//brnQ//btuD//yjiY//exbD//mrcB//mliC//speD//pflA//bdcA//nrdA//murR//fabR//rfaH//yfcP//metR//deoA//yijO//asmA//hcp//rplK//higA//yphB//ybeY//ghrB//frvR//yahD//azoR//mdtE//sbmC//elaD//wecE//parE//rbsD//
GO_0009117_6	rpsL//thrL//tehB//ydaV//ugpE//pmbA//yphB//icd//modC//dcuA//ompG//tolQ//cspC//yhbX//nanA//ydcP//ldrD//frdA//glsA2//betA//ykfI//paaX//rhaA//glnQ//basS//tauA//gloB//dgcM//acrR//maeA//cbl//tyrA//yraJ//ortT//ccmG//aaeR//ycbB//frmR//bamA//yneE//sgbU//fimD//hslO//accD//opgH//puuB//cas3//yehB//rluA//mntS//pabA//ptsN//rpsA//lpxK//mngR//trmD//folC//dinG//cobS//idnT//pyrD//argA//yidD//cydC//mutL//yhbO//sfmA//ssuC//arnB//rplE//ubiJ//pspA//yfbS//recG//zapD//hcaB//hns//rffG//rutD//csgF//ybjN//nth//feoA//cpsG//emrB//argO//ykgM//paaC//sufA//yhjV//nanR//ibsE//ynfE//sdhE//serA//kduD//ygiN//casD//rcdA//ydiO//lpcA//pflA//pepQ//ygeV//
GO_0009119_6	ytfT//rpoA//yjgX//pstA//eutA//yijO//rlmM//rplE//motA//dcd//hxpB//rsmD//mltB//truA//hpt//ribE//prfC//trmA//waaS//cyoB//frvA//ydcR//malQ//prpC//atpH//paaD//rnb//nimT//uhpC//fumA//lsrC//mhpC//yrfG//holB//degQ//
GO_0009120_6	sgcR//ampG//dgcQ//srmB//
GO_0009123_6	sucD//yfjV//mdtM//panZ//yohC//tdcA//ydjJ//tolA//rpsQ//nuoN//hybD//yfaU//hisI//moaA//creC//fdnG//mntS//srmB//yegS//rlmI//clsC//fruA//flgC//ygeW//ygcR//potF//htrE//ldtB//macA//ydeT//ybhR//yqcC//malP//gyrA//aspA//ycaN//trxC//opgC//puuE//yoaA//pyrC//gshA//osmY//ttdR//pgk//tonB//
GO_0009124_7	ygiB//zipA//rplN//otsA//cysZ//trxC//lgoR//afuC//yfgJ//rpoS//fis//deaD//spoT//cadB//cobT//gstA//phnN//lapB//galF//bipA//scpB//srlD//treR//yiaN//metC//phnC//holA//pykA//hisP//prlF//alaA//fdnG//ggt//lexA//ruvC//uvrC//gmd//
GO_0009125_7	macB//ydcZ//ruvA//pdeL//lhr//
GO_0009126_7	phoR//ulaC//rfbD//purA//mdtD//apaH//umuC//ybhP//nagD//nadD//trpD//folD//pheA//xanP//cysK//iaaA//ibsA//sapA//rpmE//ynbC//rhaD//menA//ynhG//glmU//ydhK//panC//gfcE//nth//mepH//dgcQ//dpiA//garR//araC//gspE//
GO_0009127_8	ychH//hypE//ydiZ//sfmC//rutR//bamA//crp//rhtA//mhpA//tsaD//torI//cheA//nanT//glnS//yajO//ybjC//lpd//alsK//ubiE//radD//mntH//folX//yfgJ//acrD//tauD//ldrB//argH//hycH//glmS//prmB//
GO_0009129_7	nmpC//araE//cbeA//selD//ftsZ//caiD//opgG//araB//pyrG//aspC//
GO_0009130_8	csgE//ydjH//sufS//fruB//hupA//
GO_0009131_8	mcbA//chaC//rplA//sdaB//dapF//
GO_0009132_6	frvA//mepM//ais//trkH//yfaE//artI//yhaM//glpB//ybgQ//ynjD//lrp//arsR//cpxA//cas2//minE//ybhA//aaeB//recA//eco//trg//bioB//add//betT//hxpA//glpG//
GO_0009133_7	pdxA//hofP//yedL//
GO_0009135_7	mutH//ybbW//elaB//cbrA//cnu//mhpD//fadJ//elaA//mcrA//hprR//mdtN//secG//ytfE//pbpC//rpmG//elaA//speA//fimB//ymgF//fliA//mltA//ggt//treR//
GO_0009136_8	tgt//
GO_0009138_7	carB//sbmA//
GO_0009139_8	tonB//cedA//
GO_0009141_6	uvrB//plaP//ldtB//htrE//iclR//ybaQ//lgoT//nfsB//ldcA//yqjH//ynhF//dut//ilvE//glpD//rng//chbG//creB//dtpD//yebC//rhmR//fhuF//ypdF//mepS//yfeR//csgF//ilvB//xapB//queD//hcaC//ung//potB//yeeO//murC//kdpA//opgC//recG//secM//yqiJ//
GO_0009142_7	cusB//argR//xdhB//fepA//aspC//greB//fhlA//xisE//glgP//ttdA//ompL//abgR//sodB//ppiA//yfeR//tisB//ynbD//potC//oppA//tolR//amtB//dcd//hyaD//thiE//rpoH//menA//hicA//dcuD//
GO_0009143_7	ccmF//ssuB//degQ//afuC//
GO_0009144_7	cysQ//pspC//pgk//betI//nemR//ccmE//araC//rarD//codA//ispF//treC//gpt//pepT//hyfA//osmE//yadK//rplI//nupG//gudP//mhpR//glyA//aroF//tus//mglC//waaZ//yfiC//yhcF//rrrQ//alsE//ulaF//pdeR//
GO_0009145_8	narP//rluB//hslU//tabA//dmsC//rplB//tauC//pagP//cpxP//spoT//cyaA//casA//ycbX//clpX//aidB//ygaV//cspD//katG//srmB//ahr//pgrR//ydiZ//entB//
GO_0009146_8	opgG//mdoG//
GO_0009147_7	bcsQ//ushA//rarA//ligA//
GO_0009148_8	yjjW//ybgQ//
GO_0009149_8	lit//yjbH//
GO_0009150_7	ribE//rsuA//yegT//rplR//lolE//fliG//modB//xylG//ompA//mdtA//malZ//dhaR//lpxB//map//dicB//ydaN//ffh//rseB//agaW//hisP//kbaY//secE//sdaA//wzc//fimF//ybgI//purR//sapD//yieF//rlmC//ribE//topA//rutB//yagE//tcdA//nrdI//cysN//iscX//yhjD//trpR//tsaC//tsaB//glmS//rplQ//malS//pitA//xdhB//rpmB//
GO_0009151_7	iraM//ynhG//
GO_0009152_8	yihI//appC//ibsA//ybiS//ftsH//lolB//cmoM//ydcT//ogrK//pntB//bamB//lldP//mutS//ybaE//intS//proB//yjbB//opgE//sstT//lspA//lsrC//zipA//uxuR//purU//frmR//yegV//yoaB//atpC//pgpC//waaG//tcyJ//fliK//ssuA//cyoC//entE//cysI//lgoT//
GO_0009155_7	dinB//sfmF//
GO_0009156_8	ugpE//secB//yagJ//tamA//ygeV//cheY//pgi//rlpA//rpnD//hcaB//norR//hcp//envC//bioD//tas//bhsA//dnaC//dgoA//yfeW//abpB//lldR//rffG//yraH//fliM//mtlA//yhdW//sapD//uvrD//xseB//insA-1//fadI//yebZ//ynjD//
GO_0009157_8	cmoA//hcaB//citE//tusE//
GO_0009158_8	rimO//ycaO//cysN//rlmI//ytfP//
GO_0009161_7	lasT//yjcS//zupT//cynS//ydeI//tynA//ygfX//rnpA//asmA//ddlB//mnmG//mcbR//eutR//zapE//dkgB//gfcE//cusR//yajQ//rfaG//yraK//hiuH//iraP//trmJ//rutD//fruA//eamA//dnaJ//glpD//nadC//dmlA//yhbY//cecR//glsA1//recF//tcyN//pyrE//purC//tsr//pepA//srlE//pdeF//nfuA//
GO_0009162_7	bglA//rlmI//opgG//rstB//
GO_0009163_6	lgoD//pdeL//ydjE//lpd//yihL//alaS//ftsW//hcaB//lpxD//minE//mdfA//flgA//fliG//tbpA//pppA//yqeA//kefC//mhpR//tatB//
GO_0009164_6	tbpA//rpnC//yfhH//ybhJ//ynfL//panZ//dtpB//sufS//fdnH//insI-2//dacA//sodC//dcuR//
GO_0009165_7	yhjV//hflX//sodA//panF//ydhC//mlaE//epmC//aphA//phoE//zapE//hldE//leuO//gnsB//iraD//csgF//tauC//perR//dbpA//dsdA//rnb//ccmA//abgA//hyfA//entC//frlA//lsrK//gcl//ibsC//higB//ydhK//ybbW//evgA//rraA//bdcR//fadE//dtpD//glgB//hmp//tatA//mntS//hyfF//xylF//feaB//ygcR//ogrK//radA//nmpC//fadR//metQ//pdeL//tmk//ilvI//insH-5//leuA//murQ//pspG//intA//dgcJ//ddlA//torA//yfhH//serC//gcvA//ftsB//rhaT//lpxH//puuE//mog//ydgA//yieL//ilvI//
GO_0009166_7	ygeX//clsB//rfbD//csrA//casE//mtlD//ppiC//bacA//dhaK//cpxR//rhaB//comR//trmA//mscK//bamC//hprS//pgrR//sbp//malE//ldrD//yehW//bhsA//ppsA//fliK//proW//yhdJ//grxD//sapB//lysR//ompG//yedL//
GO_0009167_8	rhaR//agaC//lysU//yhcN//essD//gor//frwB//yahD//ycbU//bdcR//rdgB//rpsS//cysC//yhaO//accD//ydiR//waaL//mntS//ogt//arnD//mlaB//modC//yihU//sgrR//solA//dacA//rpmG//yqcC//ydeP//gltD//yidA//yegT//metF//ybdR//
GO_0009168_9	ydaC//rplB//galU//fic//cfa//chiP//thiH//ldtD//ybdH//rppH//fdnI//mazF//htrE//ybaT//tdcB//cdgI//xseB//rpsE//nanK//oxyR//radD//ompW//kduD//mqsR//birA//ais//cyoD//casD//ulaB//thrB//
GO_0009173_8	gpp//fepC//rpmC//gloA//lpoB//nadB//hyaB//
GO_0009174_9	rnd//yojI//
GO_0009175_9	preT//atpG//nikD//ubiA//yehP//
GO_0009176_8	cheR//zapD//insF-1//
GO_0009177_9	degQ//argE//pdeR//
GO_0009179_8	dsbC//ybfA//bamC//hemN//mlaD//hemC//scpB//cysA//ddlB//ygaZ//yaaA//pgaD//napC//mlaF//ilvL//entC//ytfE//lamB//rplW//murE//waaH//elfC//aroB//
GO_0009180_9	hyi//
GO_0009185_7	rffG//btuE//ynbC//kefB//tsaE//tynA//mscS//mgrB//nadB//exbD//gcd//hemG//mngR//btuF//ynfL//torI//mdtE//yfeX//pcnB//casA//aspA//fetB//glnA//queE//
GO_0009186_7	ycgB//
GO_0009187_7	csgG//rplT//
GO_0009188_8	rho//atpD//
GO_0009189_8	ykgO//
GO_0009190_8	ldtE//lsrR//
GO_0009193_8	glpG//
GO_0009194_9	yqhD//
GO_0009196_8	betI//
GO_0009197_9	rhmD//
