#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cbpM//dacD//murA//yrbG//
GO_0006733_6	glpF//rhaB//tatC//sufS//cysK//metN//trxA//ssuD//prmB//hslO//uspF//yiaB//clsA//rfbD//dgcQ//lon//ubiA//yehX//ynfF//cusA//greA//ansA//zapD//bioA//prpD//intA//blc//dicA//feaB//evgA//gntR//cyaA//feoC//tusA//gpt//abpA//mrdA//ffh//emrD//grcA//proP//relA//lptG//fimC//ugpE//intF//dhaL//hicB//nlpD//tesB//rpsA//pnuC//yihR//
GO_0006734_9	rluF//
GO_0006739_8	ybiJ//recG//yfgI//fixA//glpC//aroH//coaE//kduI//rpmJ//
GO_0006740_4	pstB//idnT//
GO_0006741_9	araG//
GO_0006742_8	phnM//
GO_0006743_6	yihI//dnaA//citT//casC//yigB//ygfZ//queE//yegD//rluD//chbF//yeeL//pgpB//yghB//yehY//cysE//
GO_0006744_7	lgt//csgF//yidE//aspA//pheP//ygcO//dppC//ftnB//surE//yajL//mreC//glrK//mcbA//cysS//cmtB//
GO_0006749_5	yjjV//asmA//cspC//topAI//ynfL//rsmE//cpsB//
GO_0006750_6	napB//rutE//
GO_0006751_6	bglA//yiaF//
GO_0006753_5	yidP//fhuB//yphD//aspA//alsA//mgsA//mreD//hmp//hyaA//chpB//gsiB//rhoL//ybfA//dsbA//lit//ycgB//potE//pyrL//setC//csdA//glcE//dhaM//nlpD//narU//rutB//yedP//proX//msrC//fadM//rapZ//yfeD//ybjD//lsrB//tcyP//argE//rutD//yjtD//groS//rplJ//arnE//rpsQ//waaF//waaZ//elfD//yghW//ilvI//yfbU//gntU//holD//dpiA//gatA//hslU//hyfF//sbp//rodZ//crl//envY//xerC//pmbA//queD//gloC//qorA//ftsE//kdgK//ompL//rfbX//xdhB//uspG//zraR//sgcB//cspG//ycjU//cysB//rnt//insK//fimZ//mdtO//adhE//cheZ//minC//ridA//rplB//hybC//cpxP//kbp//ltaE//ynhF//ispB//queE//tsaE//rplJ//dinD//yciE//nanC//mliC//lysS//mobA//uhpT//fadR//selA//tehB//atpG//dsbC//panE//hfq//fadK//frmB//gpmM//vsr//
GO_0006754_6	dtd//entE//hflX//psuG//ybdG//comR//ptsH//fliM//rplL//topA//zur//speC//hisH//yahN//ybaT//clsC//gabT//clsB//yegD//yaiV//yhbO//rnt//
GO_0006757_5	ybfA//cutC//rsfS//fimB//ubiF//dicA//dtd//ibsD//gltB//murJ//avtA//opgD//cobC//crr//sfsB//rpmC//glpT//ymfA//rlpA//
GO_0006760_5	lgoD//ybiS//sxy//mtfA//rimO//dppB//nagK//pepA//garD//intZ//hipA//chpB//gluQ//leuS//rplJ//bioP//
GO_0006761_7	sthA//
GO_0006766_4	degQ//acpS//dcuR//cheZ//afuB//umpH//epd//yjjI//ynaI//panE//bdcA//nadE//kdsB//topAI//cysB//tcyJ//rpsB//bsmA//dxs//yiiE//ralR//narQ//dacB//yhdZ//hslO//hfq//bcr//ftsY//panB//recG//ygdG//rseP//rffC//arnA//rlmA//dinI//opgD//hyfR//dtpD//yiaB//speG//sfmA//ldhA//rdgC//gyrA//parC//ulaC//hybD//ibsB//kefB//amyA//hicA//ygiV//narX//mdtK//yahO//flgF//yheT//poxB//ndk//tldD//mrdA//mdtC//rpmC//yagE//yehC//atoS//
GO_0006767_5	nhaA//napD//rhaB//ydcI//fdnG//fre//ompN//pyrL//yjaZ//caiT//lsrB//setB//uvrD//rpsS//yeiG//atpC//dacC//rimI//yqgB//lpxL//cydC//zapE//betA//secG//gluQ//lamB//rimK//casA//ampD//abgA//dsbC//argA//eutB//dxs//mhpT//rimL//torC//pinE//dnaN//rsmC//rhlE//gpmA//amiA//dtd//yiiM//tqsA//mngB//psd//tsx//alaC//insF-1//kgtP//thrA//otsB//ssuC//insK//galM//yddL//ptsN//pliG//cysA//aroK//pgaD//tnaA//upp//pstS//
GO_0006768_5	rbsR//acrD//sohB//fecB//borD//rhaT//yqgF//cspG//rssB//prpD//yibH//ybhR//cysH//
GO_0006771_5	rlmE//ileS//narP//yjjW//ligA//dgoK//hdeA//coaA//
GO_0006772_6	ybaL//yfdR//mnmG//rimI//yceO//rhaA//lptA//gcd//iclR//coaD//gcvP//ldtE//
GO_0006775_5	cysN//
GO_0006777_5	fimF//tusB//torZ//hflD//aspA//hisF//exuT//pspA//atpH//
GO_0006778_5	tolQ//cysU//ribA//ompL//nagD//hda//yidE//creB//cheW//cas1//phoP//ydbK//yhaM//mhpD//rpmC//
GO_0006779_6	barA//hiuH//narI//mdtN//pckA//hiuH//blr//bioD//etp//purB//yifB//mepM//yccX//pheP//galK//
GO_0006780_7	ynjD//
GO_0006782_7	thrS//aroC//hypT//rppH//glxK//hyaA//yggT//
GO_0006783_5	dppA//mdtL//pgrR//yiaM//radD//ptsG//wbbK//btuB//aphA//
GO_0006790_4	yagG//acs//dgcQ//mltC//murJ//galU//bglX//cobU//yadG//xdhB//rssB//mntP//recB//yidL//mhpT//glnS//yqgF//yjbB//malX//yqaE//yijE//secB//ytfR//yaiW//tnaA//eamB//dadA//sapA//gltL//degQ//potB//perR//fliD//lamB//ydhJ//rluC//etk//adiY//yfjV//yccA//tyrA//glnP//ogrK//yeaD//glcB//napC//wcaC//hprS//artQ//pitA//yjtD//ydiF//rpoH//plsC//ybbY//sufB//gltP//ybbN//hemC//acrB//motA//mutS//glpC//hsrA//tdk//thiI//gltK//rpsI//lacZ//norR//rhlB//proS//zinT//queG//yjaA//rapZ//asnC//metB//ygaH//yobA//artM//chbG//ulaB//ybhR//purT//yhdJ//tufA//fliZ//metC//ybjG//nfo//yafN//lnt//lhr//alkB//yehC//yghW//mntR//ulaC//rpsB//menI//yhcD//surA//yciK//
GO_0006792_4	hybF//
GO_0006793_4	yidE//yihI//yaaY//pdeL//mutT//nanK//fucK//hicA//hscA//hypB//ynfL//dinD//ttdR//cysQ//mltB//rplB//potD//ykgM//mrcB//menF//map//yagU//yfbU//sucC//gshA//grxD//pyrG//yegD//fliG//hybF//napF//tsr//mepH//wecB//aaeB//speA//psd//cheY//hxpB//hfq//rarD//basR//dsbA//ybjI//mdlB//csdA//sfmH//rsmF//lolD//znuB//fau//gadA//xylE//frdB//otsA//sucB//sodA//yafC//pgk//tgt//ydeE//ynfH//ruvC//suhB//fimF//yejA//mltD//rpoA//sanA//ydiF//flgD//thiQ//thrA//hcp//pdxA//ybcQ//lsrR//qseC//rlmE//cutA//mak//nrfD//pgrR//ydjK//mutM//nadA//fruB//mprA//rpiR//fliS//yjcE//yeeJ//yfdK//sfsB//livJ//nikA//yehW//yhjB//nadK//mcrB//cysA//cheY//fhuD//comR//sfmD//elfD//osmC//potH//yadK//rutE//npr//tsaB//uxuR//paaZ//srlA//macA//yggX//yjjU//dgcT//glk//ggt//poxB//hybG//bglH//trmB//dnaK//ugpC//glcD//soxS//nanE//kduI//wzb//shoB//yqaB//pyrH//panB//cbl//yaaY//speC//srkA//efeO//yneE//fis//fabA//tap//hybD//glrK//fumA//pdxH//hycH//uxuA//paaA//hemA//tolB//agaW//eco//mdtA//ghoT//torY//bdm//ilvA//scpC//dgcJ//pagP//glgX//hisA//intQ//yceO//fepE//fdhE//kgtP//cobT//crl//ccmE//nadC//xylR//uvrA//lolE//rhtC//hflX//yafS//glcA//acpS//symE//insA-2//cyoC//tyrR//cyaA//murE//ygcR//mscL//yejB//nrdB//ybeY//allB//nuoI//bglF//cueR//ilvD//kbaY//nadB//yhgF//ftsE//glsA//ynbD//dsbG//mrdA//rpnA//yehP//purU//nuoB//waaY//nhaR//dnaC//nadD//hldE//frr//dnaT//pyrC//ynbC//aroE//miaA//ybfE//ydcR//yejE//yiaU//efeO//ushA//ybbW//nrdE//cas3//sbcB//yoeB//cusS//yigB//tusB//rsuA//def//talB//yfbU//gfcE//maa//yqcC//glnS//mak//betB//rpmG//insK//prpB//hxpA//barA//aspA//proC//rbn//dinI//secE//norV//frwC//folP//hsdM//rpsT//citC//recA//rplT//argB//tktA//mutL//yqgF//rimL//cecR//dnaK//kdgT//pdeL//polA//macA//mltF//lapB//yafS//yihQ//fryB//cusA//putP//dsdC//potE//cmoA//hemA//rlmF//nagC//panE//yjeI//ppsA//mmuP//maeA//yfbV//hsdR//ytfR//wzyE//aldA//hisC//mscL//rutE//etk//yahN//cheW//dacC//nuoG//otsA//slmA//thiP//tyrB//glmM//etp//putP//yajO//alaC//trmI//bisC//crcB//yeeO//tldD//mngA//yeeJ//insI4//dam//rpnC//mdtQ//fadE//hprS//rbsD//ldrB//infB//frdC//ltaE//lptG//
GO_0006796_5	ybcC//tqsA//oppF//tcyP//yhaM//yhbQ//ppsR//ibsE//cobS//torD//recF//caiE//xerC//narI//lplA//yifB//glcF//yhbY//dacA//bglX//rapZ//coaE//aslB//iaaA//mrcB//lsrC//gnd//yheT//nrdF//rsmI//nrfB//nrfE//yahF//ykgO//mobA//allD//lgoD//rbsK//paaK//dsbD//ybiW//rzoD//cadB//recO//fimH//queF//brnQ//fabG//rcnA//nrdE//hlyE//yghW//rlmG//aspA//arfB//sucC//abgT//ymfK//rsmE//nsrR//tktB//opgH//ubiE//mscM//ybhP//wecB//cyoA//ccmF//polB//yajD//dnaG//yidL//chpB//crp//panD//acrD//yehZ//proW//mscS//rpmF//rfaF//xisR//dnaE//ssuE//tolA//yhhT//mtr//cbl//ogt//agaR//rpsH//cysK//ycbB//fliD//mdtK//metR//citE//ydiP//aroA//tyrR//yhdJ//baeS//csgG//ydiZ//glnP//mntP//mdtD//pyrG//flgI//dsbB//fsr//yhbX//csgF//citG//zur//waaQ//ydfK//pheT//gutQ//kdgK//cdh//hybD//glk//gpp//caiT//yehZ//secY//rseC//yhjV//glnA//trpD//alsA//tktA//rfaC//umuD//yjjI//lpxP//kdgK//yqjH//rfaC//mutT//pphA//tadA//glgS//ftsH//tap//trpGD//mdtG//fdoI//purR//casA//yfdK//mreC//prlF//artJ//rihB//azoR//allB//pppA//hiuH//carA//rfaB//cheR//apaH//tdcB//pepD//iap//fpr//dgcJ//btuC//potG//bioP//gadC//casB//hmp//ymfA//bdm//bglX//trmO//secA//udp//dxs//fimI//dps//yqeF//rplJ//fklB//eco//ychH//pcnB//abgT//dgcT//narH//btuB//proW//glnQ//nirD//ghoT//nemA//ygfI//murI//aspC//ghxQ//yqeG//tsaB//nirC//yqaB//chbG//yjjU//chbG//csrD//hypA//ttdR//ivbL//pgk//hns//ahr//dgoD//yhaJ//tdk//yiiE//hupB//gatZ//xylH//pdeF//dsdX//rihB//yjiA//panD//mdtE//elyC//queA//ompF//mcbR//cysP//cdh//yihL//ddpX//sapA//guaB//hlyE//sucB//bcsQ//baeS//ygjK//dnaJ//ptsP//glpG//orn//yhdZ//proC//hyaA//yraI//lpcA//mutM//glpC//pphA//tnaA//yehX//speC//nuoH//yhgH//fadI//hofQ//ompG//cfa//fkpA//ybiV//yghG//ydcR//puuP//uxuB//hexR//dps//rsmF//dacB//dicC//mdlB//ygjK//cmtA//alr//speE//yneL//rsmB//holA//ydfD//ycbB//mdlB//artJ//panE//waaA//lepB//rfaE//menF//pgi//envR//yfcQ//ytfE//tyrR//tsaC//bioD//ybiW//ybiI//torI//yjjB//dtpB//mug//potC//yijO//tig//cdaR//
GO_0006797_5	mlaD//fryA//
GO_0006798_5	yggF//
GO_0006799_5	tsaC//
GO_0006801_5	yafE//ybbY//purB//
GO_0006805_4	cof//yhjR//ulaR//vsr//nrdH//accD//flgA//hybA//frvA//agaC//yfbU//zraS//yqcG//ompW//nrfD//hprS//ygeX//prkB//ycdX//speE//fdhE//aspS//potA//mug//
GO_0006807_3	ydjE//radD//ssuA//surA//ykgO//waaG//ompA//tyrB//betI//rpsT//recC//glnQ//fabH//casD//blc//dcuC//cecR//cpxP//waaO//infC//uxaC//ulaF//yiiD//ldhA//agaD//wzyE//lpxP//mrdA//ybbY//ilvN//rplS//nimR//yaaA//thrA//nudC//flgB//trg//mtr//uxuA//sstT//lepB//narW//bcr//diaA//hpt//uvrA//rssB//ccmA//lptB//artJ//clsA//ycbV//ftsL//symE//ygiS//artQ//yjbB//hcaE//bisC//hpt//uspF//gloC//ycjW//fieF//yraR//nrfC//rhsD//gatC//clcB//artJ//nrfC//lpd//carB//rof//ycjU//ribA//ihfA//rrrD//trkH//treA//yebQ//aceB//moaD//hdeA//yagF//dppA//ribA//mntS//thiI//soxR//sfsA//purD//ynbC//dsdC//adk//surE//waaB//ulaB//ymgC//entC//hicA//holB//yraI//csdA//murC//yidQ//rfbX//rpsI//thiL//mocA//cysE//cbpM//hybB//hcaB//hprS//trg//malG//entH//priA//uspE//ftsK//ydcZ//rseP//agaB//icd//tsaC//dmsA//cspA//fryA//yigB//lplA//trkA//rpmF//citC//bdcR//yneJ//cstA//nrdE//araA//btuC//proS//rsmC//argA//ldrB//pyrF//araD//minE//gluQ//sohB//yceD//rimP//ydbD//cydC//yehT//dapF//gltS//xdhB//holC//cysE//cpsB//idnD//garL//hyfA//torI//rof//icd//fadD//frwD//hcaC//rpsK//nhaB//waaJ//degS//yohD//bioH//tomB//seqA//dapB//mnaT//rhaD//tktB//tusE//oppB//cynX//lysU//ampD//agp//ilvE//tdcE//mcrA//emrK//moaD//tatA//idi//lpxT//trpB//preA//msrB//flgD//fabD//hybC//dtd//otsA//dnaG//livJ//hisC//menI//rhtC//rffC//fimZ//entS//evgA//malI//fliA//prmB//hcaD//miaA//leuO//glpC//ygiV//ggt//rlmH//deoR//uxuR//argG//ynaE//cdsA//mutY//insB-2//nlpE//dgcE//bamE//allD//acrZ//yfcQ//csdE//cadA//potF//cysH//narZ//ypdB//sanA//ychO//queD//hslR//mhpT//yihP//mltC//aqpZ//dinQ//waaY//nlpE//yiaL//tolB//glmM//blc//fdoI//nadD//ybiI//yfdO//greB//hisS//yjjX//ibpB//hypD//relA//clsB//yehW//opgG//agaD//lpxB//nimR//yobA//potB//mdoG//narV//arcA//yhbY//pinR//upp//rplC//bacA//dapB//azoR//queE//sstT//cysM//rapA//araC//ratA//srlD//slmA//sucC//hflK//ygjK//folE//cpxR//sdhE//queA//yeaD//fryB//ygcR//asd//yafO//rpsR//metE//cspG//eutA//yejF//feaR//ccmH//sdaB//ptsG//yjcE//zapA//frwC//yraJ//hypE//ygaZ//rfbB//thiE//minE//hicB//gcvA//sbcC//exuR//idi//yqcG//idnD//gpmA//pnp//gntK//thiQ//folE//tdcE//bisC//ycjU//alsB//tag//arnD//galM//cedA//sbp//selU//nuoF//rsgA//raiA//uspF//treA//gpmM//chaC//adeP//gloB//yobA//tcyL//dinQ//caiT//phnL//menB//thiE//ydcT//pabC//folX//cmoA//ydiK//dgcZ//fepB//yahO//dnaG//frlR//pspA//uvrC//treC//leuB//pdeD//xylR//waaA//rlmI//yoeE//mglA//dcuD//yebK//ykgF//yjjB//rplO//dsbG//elfG//waaB//mlc//nagC//cutC//yedL//ibsE//secD//ydcT//glpF//holA//lsrB//yciK//tauC//dppF//katE//yhiM//prlF//fepC//mutH//raiA//eptC//ais//mhpR//ychO//pgaB//sucB//arsC//yadC//rcsA//glnL//pgsA//sapD//fixC//panZ//ascG//gloC//perR//pstS//sufC//pdxA//selB//fliA//gltP//thiD//intA//trpC//tpx//mhpT//sstT//cvpA//dinD//sdhD//selA//rapZ//tqsA//ydbK//serS//gloB//cysH//ariR//csdA//hicB//mog//ybeF//ydjJ//ygaV//xylR//aaeB//crp//fepD//pncB//ubiI//sapB//rcsB//qorA//gadB//chiP//hemN//uspE//eutA//sxy//uhpC//acs//moeA//ebgR//mntH//fieF//macA//ydiB//era//mfd//glnH//mdfA//yihW//baeS//frdD//proP//fadB//rhaA//pgaD//tauD//rpsD//xdhB//rfbC//queC//cobC//lamB//yhjC//lon//ydiO//zraR//rhlE//yagU//adhE//bioD2//iscR//alpA//uspG//bcp//yacG//hchA//mdlB//rep//ygfX//paaZ//yafE//dcuC//birA//yhjC//dxs//tatA//gloB//mgtA//bioD1//purT//fabA//yfcF//btuR//intE//nirB//elaD//trpL//mfd//dgoR//artM//pntB//hycI//rdgB//eutA//mppA//surE//msrB//nikD//murG//dsbD//iraD//hybO//purB//speF//yagI//eco//yhhY//malG//fadE//yohD//nanS//cbrC//eptB//ygeW//lpd//exuR//yjjU//cmtB//afuB//agaV//alaE//yccX//aceB//lplA//dsdX//kdsC//psuT//mhpR//mgsA//gltL//dxr//ligB//pnuC//rplA//tamA//yagI//bisC//sbcD//prmB//zinT//mutS//syd//metI//mraY//idi//mipA//pspG//ypjD//malQ//malZ//ltaE//hrpA//potC//focA//citE//yggF//xapR//zntR//betI//mfd//manY//mnmC//cas1//cusS//ybcJ//arfA//oxc//sbp//modA//casA//yegV//rcsF//rlmI//ybgQ//ybgI//ghrB//caiF//rluA//minE//holD//yejF//ymgA//lhr//fadH//hxpB//lacI//eamA//xthA//mrr//gppA//purA//fimC//agaD//rtcB//ibsD//mepM//rfaC//modC//puuC//glpG//rbsK//hycA//fabA//yegD//yieL//alsE//ygfZ//nanC//acrZ//amtB//yahB//ydjL//yiaF//rnhA//wzyE//aceF//clsB//luxS//holA//gapA//alsE//xseA//queD//lpxC//oppF//ybaK//glnL//yjjW//entB//yiaF//sfmC//ung//frmR//hprS//gltS//acs//prmB//ulaG//ispF//nsrR//gfcE//zraR//srmB//ygeA//relE//rnd//yraH//accB//codB//ulaB//hofO//fimG//yjjI//cpoB//yhbS//lolD//hicB//mgtA//mfd//wzzE//ugpE//prc//yohD//cueO//lepB//bioH//wzzE//chbG//fetB//copA//gnd//exbD//rhaR//dmsA//ynbB//sapF//clsC//rzoD//wcaJ//ccmC//fimZ//uxuA//rutF//yadK//sufB//yhgH//ycjD//prlC//yfdR//codA//plaP//glpF//kilR//dsdC//cytR//casB//pgi//cspB//trmD//gutM//mdtB//uvrB//fdrA//mrdB//xylA//manA//pcm//dacA//flhA//yigL//yjcO//fimG//yabI//tusB//hslU//paaC//rstB//thiL//rpmH//envC//tamB//pgrR//lpxM//rsmF//yhgH//ynjD//yraH//eutA//rhaB//slyA//rplS//ispF//nmpC//rpsM//ybaO//gspI//narI//yigL//yjiY//alr//hybG//betB//idnK//yjiX//tdcE//norW//gpmA//ynfE//yhjA//lolA//rayT//gsiD//dedD//ydfD//dcuB//mfd//mepH//alaA//nemA//bamB//pinQ//envC//ompW//yjcO//fcl//pfkB//tdcG//ralR//ttdR//groS//yijO//cysK//copA//argF//yadC//recT//ycjY//mscM//ygfZ//rsmH//umuD//ispF//efp//amtB//tldD//phoR//soxR//tolR//fecD//mlaB//ydjM//ybcJ//ybdR//tauC//yjaZ//nlpI//yiaF//tamA//ychH//ycbU//rep//gatB//yobF//alsC//ygbN//htpG//panB//ribC//ebgR//kefB//yccA//recB//yjeI//emrY//hofQ//thiG//sufD//rlmH//yadG//rbfA//ribF//mnmG//insH-6//mlaC//flgB//yfcG//rplQ//nuoF//yibA//dsdC//gutQ//slyA//pphB//trxC//treR//tabA//paaD//yjhI//pstS//emrB//clsC//yjcO//secD//cpdB//lysS//recB//cheZ//tktA//metE//sapB//mprA//araD//iaaA//fryB//pgl//ivy//djlC//waaC//frdB//gadW//frmR//gatB//leuE//phnH//yhcD//yfcV//yebG//pgk//artP//mrdA//ydeM//atoB//dinQ//betB//blr//argC//rlmE//cspB//thrB//ydiZ//hybO//htpX//ecpR//fecD//rimO//rnd//pabC//panC//dauA//yaaA//ftsZ//ibsC//yidK//clpS//rplP//adeP//pdhR//ptsG//ydcP//yhaM//ppk//ykfI//ibsA//entB//folM//ydiQ//macA//yfeR//yfcQ//ribB//mazG//xthA//waaP//yadK//potC//sdiA//mtr//fur//ydeO//aroC//ubiF//norV//ydiB//trpC//hcaR//fadJ//speF//flhC//ugpA//carB//dgoK//eco//sfsA//phoQ//maa//crr//rep//cueR//paaJ//citE//fabH//amtB//yhjG//yieH//frwC//adeD//ubiG//fixA//lpxP//wcaJ//phr//dmsB//mqsR//fabG//parE//mdlB//fadR//insI-2//cobS//soxS//nanA//malS//zntA//ihfB//flgG//ybcM//rpmB//yodD//ldhA//mog//betA//fre//uidA//yccS//eptB//prlC//amiA//cspC//bglA//uxaC//yedX//pliG//envC//purU//metB//gcvH//selU//purC//ygfA//dkgA//phnM//dtpB//yohC//srkA//murQ//yobA//accD//yhiM//sfsB//ecpR//yaaJ//dgkA//ynaE//dtpB//yidH//ogt//lasT//rpoE//gyrA//rihA//thiQ//sfmH//lysO//ldcC//gsiD//ldrD//yagJ//yejA//rhsD//betB//nlpI//fumA//ldtE//ivbL//holA//yedX//lpd//ubiA//araD//tatE//hyaA//parE//uxaC//paaK//barA//htpX//atoS//frvR//yrfG//metK//tolC//yhhT//tatD//yfhH//uspC//zntR//pdxB//ggt//ykfI//yagE//ada//dhaM//hisC//dacB//hchA//yqeF//xanP//glvC//fre//lpxD//ibpA//ligA//ydcS//tolC//rplN//fliA//yihS//arnB//topA//hcaF//yifB//sbmC//glcC//yciK//zapA//ybiW//treA//tsx//metB//cysA//putA//dnaC//ftsK//cyoC//psuT//fabZ//rlmD//copA//chiP//mntP//phnG//corA//emrE//lldP//nikA//ispA//potI//aer//opgC//otsA//queC//wzyE//panD//tsf//menD//ubiF//ybdR//folC//recC//prc//talB//ttdB//sgcA//citE//tauA//narV//msrQ//hisG//panF//trg//yihU//wcaC//hokB//ybiA//mdtD//xapA//ubiG//bsmA//moeA//ispA//ligA//nemR//yjjV//ydhK//emrK//lsrA//ykgF//dppF//fumC//recG//cysQ//elaA//argK//yabI//fdhE//priB//mltC//trpC//rapA//murC//selA//amiC//metH//frvA//rnlA//yjbE//tnaC//rpsH//ogt//
GO_0006808_4	polA//icd//frlB//
GO_0006810_4	thiG//yadG//intS//aceB//rrrQ//frlA//uraA//ilvN//rpe//cyoC//cca//mdtM//napD//xylG//yhcD//poxB//phnP//hxpB//acrD//dsbG//insA-1//ppk//fiu//gsiC//pspG//garL//argS//secD//gatD//grxD//rplN//dgoA//yfcU//iclR//preT//ispB//mnaT//nei//ybhD//malY//yhbY//yraH//dnaX//pgaA//prmA//leuC//flgH//yfdR//xapB//fadA//pepB//tdcA//mraZ//cyaA//ynjD//hicB//potD//ykgO//tufB//yidR//ilvB//feoC//ycdY//xanQ//yfdC//yeeL//trpB//ghoS//yfdR//yfhH//yjhP//agaD//torA//pdeD//recE//cstA//aroL//chpS//tmk//truC//ybcC//ispB//cusC//proV//puuB//fadM//tusE//mglA//insF-1//ccmC//rodZ//ssuB//rplO//rssB//ompR//yohC//hyfC//nsrR//pspA//tcyJ//ybhR//dld//dnaG//surA//yagF//glnE//ydhJ//fetA//qseB//yohC//cca//topB//yihL//rna//greA//rplC//yihX//bdm//yehU//dppC//dbpA//pyrC//pspG//hxpB//bglJ//queG//ulaF//bglJ//yqiJ//cheZ//thiQ//yejF//yhjR//uvrA//mscK//gudD//adiY//umpG//yhjC//yraJ//dkgB//yfgO//speF//fliA//hslU//yebQ//rihA//mlaC//lapB//cysD//cas1//yjhC//fepG//pgpB//mepH//fliA//btuC//yddG//fre//hdeB//abgB//ygiS//yiaJ//ompW//malF//frwD//ccmH//yefM//panD//flgC//pstA//prfB//cobC//chbF//sseA//speG//ynfH//tdcA//potB//yeeA//rpoH//ybjX//mdtN//yhjV//insF-1//fucK//hslV//sohB//yagJ//srkA//mrr//rnd//eamB//ilvD//mhpR//gcvA//rapA//rfaB//yfiF//rsfS//fau//msrA//mglC//msrQ//ydjE//yraN//yiaL//rpsQ//ymjB//sstT//birA//yddL//ldrA//artM//ynbC//fliT//yehW//ampE//yjhP//pdxB//uxuB//ybcJ//aceA//iraP//gltB//aroL//frlA//insH-6//hemL//yggT//ubiI//hpt//fimB//iscU//glsA1//tamB//rcsD//hisG//yfcP//prfA//ydbD//eutD//hemB//rlmC//cpdA//plsB//yqcG//tig//pdeD//mutT//rhoL//yagJ//rluC//nrdF//rluA//ycdX//rfaC//ihfB//waaZ//mnmG//fkpA//serA//tauA//mutS//cheW//hupB//ybiW//xylE//rusA//pck//ycdX//yihO//fre//rplX//yjiX//yagI//gshA//ftsW//thrA//ygiW//gcl//murB//rrrD//aaeB//tdcG//yjaZ//ivbL//mdtF//waaG//cysU//yieK//yhbQ//narJ//cueR//mltA//accA//clpS//potC//syd//dsbG//asnS//hsrA//glyS//kefF//gntR//ybcF//glmM//pagP//yadI//ulaC//tnaB//yehP//ansA//iaaA//rpsN//yfdO//folP//hisD//sgbH//dgoT//uidR//phnC//yhiM//fimI//rpsN//mltG//yedP//mhpR//dcuB//hypB//mdtB//kup//ybhI//aceK//setC//gltI//sgcR//rihA//hpt//ansA//yciE//srlE//fnr//mcbA//yfcA//cydA//yjfF//eutD//psuG//tag//ettA//yciA//ydbK//yfbU//recO//bluR//topB//accD//ogrK//alsE//trmA//yhaJ//mdtL//cdd//relE//ybhG//galR//amiB//yaiP//nupX//insE-1//pinR//yfeR//rihB//mocA//citE//purC//sodA//yihX//acrE//lpxH//cheA//rbsA//dusC//ais//arsB//topB//insA-1//glgP//apt//yjhP//galR//rimM//mtnN//yghU//cpxR//moaD//gshB//rhmD//ydcS//cas1//ydiF//caiF//potD//recR//agaS//nsrR//fabA//ymdB//napC//pgk//ltaE//pgaB//yggD//yhdH//rapZ//pdhR//iraD//ispG//ribE//degP//entA//hokE//mltG//sapA//fryB//dtpB//ygeR//dicB//csgF//tehB//waaF//thiC//ydeP//csgG//rlmC//fecB//mngR//topB//glpK//prpD//cynT//rodZ//pnuC//mnmE//osmY//rsmG//ygfZ//rhaA//syd//yfhM//rne//rssA//ybaQ//atoC//arnD//cspD//dapD//flgK//stpA//glnP//rffG//yebG//aslB//polA//tufA//ybjN//cdh//cptB//bioB//prpC//lgoD//ortT//dcm//yedX//ndk//yciA//ubiB//hchA//pfkB//bssR//atoB//opgB//fabH//rbsD//galU//setB//argE//rplI//narY//bssS//hybF//ydfG//clcB//rutF//gcvH//rplC//rpsG//lsrC//yejB//sufA//lysS//allS//acpT//ulaR//betB//rhlB//hcp//yadN//selU//cdaR//rimO//ybaL//uspF//cynX//mltG//ffh//yciF//pstS//ulaF//apt//ilvD//pspA//bhsA//secB//puuD//htrE//tcyJ//eutB//phoA//btuD//cspG//mdh//iraP//feoC//minC//ftnB//rplQ//lptD//patA//nadA//epmB//fadM//waaU//nikR//fucK//ulaR//nrdH//relA//asnA//waaA//entD//flhA//gntR//ybjI//mdtL//glcC//ascB//chbB//rclA//tus//ydjJ//lpoB//ulaG//entA//tcyN//bssR//ldtE//bglX//hisF//potI//yneJ//ydeE//ftsL//waaF//sgcA//tusD//potH//hycH//envY//pnuC//dacD//waaJ//hxpB//nanR//asmA//hypE//rplT//ybiV//potC//mscK//galS//tdcE//murG//yoeE//rsfS//tpiA//soxS//
