#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	argS//fadR//secD//fadM//
GO_0009440_6	glpX//lysS//rffC//
GO_0009441_5	dinJ//exbD//ompL//zntA//yphF//
GO_0009442_7	hrpA//glrK//artJ//putP//mutS//
GO_0009443_5	ycfL//mhpB//focB//
GO_0009445_5	xylR//yaiP//scpB//degP//znuA//fkpA//mrdA//cysE//ihfA//araE//
GO_0009446_6	pgsA//exbD//
GO_0009447_6	focB//rpsH//mug//rsmF//sapD//ygiB//sfsB//kdpF//
GO_0009448_5	tnaC//betI//cobT//putA//
GO_0009450_6	thiE//glpT//cynT//parE//
GO_0009451_6	gshA//acrA//coaA//yiiE//tusC//livK//caiF//hxpB//stpA//yadC//sgcE//nanC//yhfS//cspA//dsbD//tamB//rlmI//dinI//ybjG//dsbA//cyoA//yccS//eutR//grxD//hpt//glvB//tisB//pitA//uspG//yafN//lpoB//yafQ//idnT//acrD//hofN//yjbE//yjbG//umuD//mlc//pyrE//umuC//alr//sdaB//secB//barA//casE//yjcO//aldA//ydcO//wrbA//yqeG//cbpM//ypdI//prpD//ydgA//hlyE//gspF//ybjI//rph//rpsK//yahN//fkpB//spoT//menE//purU//ubiJ//gudX//ybiV//mcrB//fpr//bipA//cutA//rof//narZ//gmd//pspF//ldtA//ybhG//rpsI//rraB//ygcO//yfjV//gsiB//
GO_0009453_4	fliZ//
GO_0009454_5	yeaK//
GO_0009593_4	fucK//ldcA//
GO_0009597_5	purB//
GO_0009605_3	mdlA//yeaG//torY//etp//glpD//ykfI//cysN//aidB//ttdB//hybD//rnc//glk//rbsA//csgB//ptsH//uraA//pth//nlpD//ulaF//nuoF//poxB//yieE//yahN//ydiV//lpxD//acnB//glnA//rmuC//cutC//ydiP//fhuD//yqcG//rpsQ//hybC//ffh//dppD//eptC//lyxK//flgG//sucB//rnlA//zupT//yqiH//sapA//pspG//fbaA//entH//bamE//yhjA//cydD//lpxC//bioC//cysW//artP//thiQ//ettA//fadA//nikA//rplT//ilvA//rfaQ//fucA//tadA//chaA//qseC//smrA//cvpA//potA//gfcE//rpmF//araC//rcsD//menI//mdtK//gmd//exbD//pgaA//
GO_0009607_3	ompN//phnI//pabB//yehA//recX//plsC//zapE//yoeE//soxR//recF//ybgP//ygiW//purB//fau//
GO_0009615_4	cutC//murC//ygaV//yraJ//narG//aas//rpsT//lplA//asnC//glnP//recD//acpP//hslU//selB//
GO_0009628_3	hemN//ldtE//dnaJ//fkpB//cheZ//argP//menE//yjiX//yadK//sthA//lsrK//qseB//zitB//mhpD//prmA//dusC//prlF//gpt//secB//yaiW//ampE//waaB//rpmF//tsaC//yieE//ydbK//phoU//nadK//fkpB//envC//ompR//ygeR//csrA//napB//yddG//ribD//lsrB//nei//pgsA//fliA//hemB//ygiS//yfbR//rspB//uacT//cysI//lacZ//yeiL//mltB//napF//frr//tehA//rlmG//ubiC//potI//metB//idnO//guaB//mntR//yfeO//ggt//ybdO//ortT//livM//potE//pntA//bluF//hldE//lpd//tas//dgoA//pflA//oppC//torA//dnaJ//nuoF//hprR//rph//corA//ldcC//fruK//glpX//mdtQ//ascB//gatA//insB-2//mutM//mhpB//paaF//rpsM//alsA//prs//panD//rhtC//narY//hyi//pepT//dcm//metL//ydaC//rpsL//cueR//surA//pgaC//ygiB//zwf//sgcX//fhuC//rpsJ//ddpX//icd//mlaF//dgcM//nrfE//cysK//tadA//paaZ//xylH//nepI//oxyR//dppB//msbA//tdcR//nuoH//dsdX//tauC//nrdG//ydiV//adhP//aceK//mrcB//otsB//mepM//exuT//aroC//ynjA//yidQ//dmsB//yfcG//ubiJ//kefB//bioB//ygfX//gatC//ybhD//fryC//nadA//dcp//yiaO//flgG//yejB//queC//lsrC//yddG//yghB//pfkB//hyi//degQ//rzpR//ydiZ//ettA//yfiE//dadA//rnlA//nirB//nirD//pphB//udp//purC//nupX//iraM//tcyJ//sbcB//rhaS//ycaO//rpsJ//accC//nuoM//rusA//pspD//otsA//yehY//mog//purD//rfbC//tnaC//glmS//rppH//queE//yccX//chbR//nanC//fdoG//umpH//phnP//nanT//ulaD//ibsE//dkgA//bepA//kdpC//bisC//rraB//tisB//dicC//mdoD//clpS//ratA//astB//gmk//mngR//xylG//hflC//yigB//ampD//recB//relA//tolQ//fliZ//pdeH//recE//clsA//hscC//btuB//asnS//rpe//hofC//yjaA//hpf//dcp//
GO_0009635_4	accB//
GO_0009636_4	nusA//marR//insI-1//helD//tusD//ydjJ//yqaA//rcdA//cfa//aaeB//nuoB//rcsC//setA//groS//adhE//yagF//ruvB//ada//lsrC//ompN//hypC//rnhB//fabR//eutN//accA//pabC//lepA//tus//thiD//yejB//bioF//
GO_0009637_6	ynjA//
GO_0009651_5	tauD//recG//dcuC//glpR//cfa//rluD//
GO_0009653_3	ynhF//
GO_0009696_4	torR//
GO_0009697_5	lrhA//
GO_0009698_4	mtnN//
GO_0009712_6	hupA//fadB//malP//rraA//yqcG//aroE//gyrB//bhsA//puuA//garK//
GO_0009713_7	dgoT//hldE//narX//ygeX//fecC//gatB//cynX//hisB//rmf//
GO_0009719_3	paaF//yheT//hxpA//
GO_0009730_5	tomB//
GO_0009743_5	argP//
GO_0009785_5	yfjV//
GO_0009850_4	gltD//fliG//ptrA//acrD//insA-1//thiM//sugE//cheB//dxr//cheZ//yciH//paaD//hiuH//
GO_0009852_5	birA//rnlA//trkG//tdcF//pgk//bglH//pspC//glyA//ldhA//aroG//acpP//dcuR//phnK//
GO_0009889_5	ybcC//sfmD//cbl//yjbF//ffh//hxpA//ykfI//yiiM//folD//hisD//yrdA//thiQ//msbA//sdhC//queE//treB//bdcR//yidR//yihX//araB//aldB//mtlD//rplL//nlpA//ycbB//gppA//yaaA//yiaB//gcvH//relA//yhbS//fdhE//lptG//yigL//rhoL//yhbO//ilvL//atoB//yhcN//hokE//cobS//proP//ygeX//yjjB//lpcA//rpsD//frdD//fsr//gloA//uxaA//glpT//trg//dosP//nudF//yjjU//opgD//dapF//ybhP//mnmG//rutC//idi//yadV//rplW//lsrB//ompF//glnS//alaS//gpmM//ytfE//dgcN//yibT//nemA//pdxY//caiB//srlA//gmk//nanA//yehT//waaL//mrp//ynfK//dsbB//glcE//lpxC//pheA//zapB//holB//lpxD//pstC//acpS//xseA//agaI//trmJ//metH//ydeT//yihO//focA//cedA//pfkB//osmY//creB//mlaB//casA//ispB//yfaX//pheT//fliM//iscS//gyrB//deoD//murD//glpK//tisB//dtpD//proV//yacG//rpsH//ybdZ//betI//ydhJ//ybaT//sbp//uvrC//fepD//kduD//ycbB//nfi//ynfL//aldB//hisI//sfmD//menI//citC//rplR//ghrB//yiiM//nfi//arfA//queA//ybhR//argH//cysB//rimI//narH//fepC//ftsH//dcm//rpmA//pbpC//tdcD//ilvH//nadB//kdgR//surA//aroF//lptA//iscX//fruB//nth//yfaV//malS//hisQ//aroB//insH-5//yfaX//sgcC//yijO//adhP//dcuR//blc//lysC//purA//pstB//cycA//kbp//ybjI//gapA//mglA//cysD//crr//betA//topB//citT//yeeA//ompW//yqjA//yciG//fbp//feaB//sdaC//fhuB//rffM//ybjL//nrfB//ybfA//dgcE//envY//sgcR//zwf//hprS//msrP//fieF//acs//hexR//csgF//araE//wecB//ybaO//proB//cbrA//panF//yacG//mdtG//sapC//leuO//ccmD//kgtP//tolA//glnL//hcaF//fadD//nsrR//fur//ung//narH//yeiE//fdoG//zinT//cnu//ynfH//feaR//queE//ompR//yjtD//ptsP//livM//prlC//apaH//rimO//trkH//znuB//dgoK//hemC//tauD//yejF//glcE//ydcS//dbpA//ushA//trpD//glpF//zntA//cysH//pabA//hypB//cca//ykgF//cvpA//mukB//prpB//yfeO//fdhF//ybiT//rtcR//argT//uhpB//rluB//wzc//kdgR//hyaA//ydhJ//thrA//rraA//cysW//radD//yjbE//ariR//mutS//deoC//sapB//lsrK//afuC//glpF//wzzE//idnO//gmd//fpr//ribF//dfp//rzpR//setC//pspA//tnaC//galP//yobA//uspE//pepB//holE//ppiD//wecE//pdeR//talB//manA//truB//ydaC//ldcC//rpsH//kbaY//nrdA//galU//alkB//dnaC//ibsB//rutD//secE//yddM//
GO_0009890_6	yfdO//nanE//yaiW//rsfS//ybdO//yghO//hmp//msrA//mazG//hofQ//yqeF//glcB//bioB//nth//sgrT//glpB//efeO//moeA//lptD//lipB//proP//roxA//hslV//rcsF//ycbX//ygbN//uhpC//ygiN//entB//acpS//nirD//nagB//yfbS//fixC//yggE//dctR//sgcC//yfeR//yfaV//glpX//sufC//bcsQ//yihU//sanA//rssA//alsE//galS//clsB//mukB//rof//tsaE//rpoH//macA//lacZ//nanS//eptB//grxD//rhtC//epmA//yijE//lldR//fucK//asnC//gpmM//ndk//rpnD//lyxK//htpX//evgS//selB//pcnB//dgt//ribD//glnH//ispG//add//ykgA//rdgB//mmuM//rimL//trkH//yhfK//lgoR//yafC//gshA//yciF//yebK//rmuC//rimJ//dcuD//entD//rhaB//tesB//yjhB//yojI//murG//fimI//flgG//lldP//yjiQ//hypD//pinE//fabI//preA//elfA//cysW//minD//rihC//plaP//ydiR//pyrC//yjeH//ydcO//hypF//ppiD//fixB//yeaG//dcuR//ygiB//clpX//uxaA//
GO_0009891_6	ilvM//ynbD//ompT//mhpD//menB//gcd//gpp//ybhP//tyrA//aspC//ynjD//kch//hisB//yjjX//rfaG//arnF//tsaB//ftsK//ybhI//recB//fabZ//yihX//emrB//dcuA//lamB//mdtG//yfcA//rpnB//pflC//acpT//tus//trkH//dsbC//hlyE//gadB//thiC//fdhE//ydcP//aceA//alaE//higA//puuB//fdoH//ridA//rimO//crl//betB//osmF//spy//hybF//yiaJ//gpmA//cadC//thrC//yafE//fruA//etk//norV//hyi//rihC//ilvL//guaC//vsr//hybO//waaJ//dicA//crcB//nuoL//ruvC//mipA//dedD//hypC//yceO//ypdF//tktB//cho//moaB//ldtE//oppF//sapB//dusC//hyfA//pepQ//
GO_0009892_5	rplS//artP//yhcF//ymfA//tusC//flgB//murJ//insI3//yobF//fadM//cheR//dgcZ//tdcC//pgm//glcD//cas2//tyrB//yciE//thiD//menD//prlF//potG//feoA//fabH//abpA//ychF//rpoH//ibsD//ybdR//nrfC//lldR//nagB//yhbO//proA//cysI//ldrB//frdC//yibH//pcnB//acpS//ftsB//yhiM//insI-1//yfbV//cysI//pyrL//slt//elaA//rpsT//arnA//yebG//dxr//rplL//tolC//ascF//mltF//phoU//elbB//ptsG//livH//yfeD//tufB//nanE//wzzE//melA//bhsA//recB//moaD//waaU//yfcS//ung//glpD//frlC//epd//glpK//trxA//hicB//hha//fepE//treA//ascF//ybiI//proP//xylA//rfaQ//ybcQ//cas2//sufS//menH//mlaE//tyrB//rpoE//mntS//birA//yciE//malE//ghrB//abgT//acrZ//kdpD//araG//rlmN//truB//recQ//actP//aceB//fecA//fieF//ydcM//ilvM//hisQ//wzb//skp//ibaG//tsaD//def//yihQ//metE//mlaD//pfkA//tadA//mltA//sstT//yahI//waaY//ldhA//argA//pgaD//yfaL//gspF//idi//aroF//yedX//zntR//narH//csgF//yadG//araA//cycA//feaR//ribC//nrdR//bamB//puuD//ahpC//insH-5//
GO_0009893_5	yfdC//yehC//bioB//fliD//ompA//iscA//dtd//mscK//sdhD//eutN//ppiA//zitB//dctR//putP//hypB//arsR//flgK//chbR//flgA//trpC//rpsI//ycbU//yghG//dcp//lit//uhpB//yhhZ//dnaQ//hcaE//prmC//fepB//rsmB//wcaB//trpS//bipA//wbbK//yjjX//nadE//metE//yfdG//uvrY//galP//ldtD//exbD//dmsA//yhdX//uidR//setA//yjhB//pyrH//hisF//dtd//appA//adiA//ispB//serS//fklB//fryA//yhgF//ydjL//mutH//ygbM//trkG//iscS//ftsW//osmY//ldhA//apt//ygjK//yihV//cheR//moeA//fnr//yjhP//gldA//lapA//dhaR//yidQ//nanR//tsaD//lysO//fdhE//mdoG//evgA//argI//clsA//bamE//fdnH//cadA//dapF//psd//ytfE//fucI//miaA//mltB//yggP//fadI//ung//rpnD//
GO_0009894_5	yjiA//thiD//paaF//yfjR//znuA//nadD//ycgR//hokE//queE//ulaC//ruvA//yhgF//rcnB//pth//
GO_0009895_6	rzoD//hmp//rodZ//yfaL//
GO_0009896_6	alsB//btuR//murP//
GO_0009966_5	fryC//
GO_0009968_6	era//
GO_0009970_6	queD//yghW//fruB//
GO_0009972_10	yhhT//
GO_0009991_4	wrbA//ppsA//fdx//dxs//ftnB//rspB//holB//rusA//flgI//pdxJ//tqsA//srlD//rhtA//agaS//decR//mdtG//yehU//bdm//yehX//metC//paaC//yhdX//srlA//fadJ//cspG//yraK//abpA//ftnB//fadR//yaaY//gshA//asd//murD//xylG//dgcT//yahB//ilvI//ycjR//ppiC//zinT//yeaD//bioA//ydhQ//endA//pdhR//prfA//cobB//menB//panZ//hemA//basR//agaR//tauD//dinB//pdxJ//speD//fdoI//folP//asr//pabB//queA//kdgR//lepA//
GO_0009992_5	frvA//ldrA//ftnA//dctA//
GO_0010033_4	wecA//yiaM//gnd//mlc//rhtC//nuoB//gabD//cadC//ypdB//dauA//pck//yceO//accA//rsmG//fimD//rmf//ydiB//cobB//orn//caiD//nlpD//pphB//cheW//mreC//ubiJ//galU//rhaM//recR//yggT//argG//lolD//entH//fieF//rbsR//yebG//glyA//cysP//puuC//rcsC//fliM//dpiA//hdeB//yfeO//
GO_0010035_4	gltS//phoU//ycbU//insF-1//cyoD//mocA//rcnA//add//ygaV//actP//rfbX//mdfA//nmpC//ygcW//uxuA//trmO//fdoG//cheW//ypdI//uspG//mgsA//suhB//dgt//ftsB//yahO//gppA//setB//ihfA//guaA//rodZ//gltB//bioD2//dgcT//ybcJ//yjbH//yneE//nagD//yehZ//ymfK//gyrA//katE//cadB//ytfQ//ulaD//speG//yehT//ihfA//adeP//btuB//paaD//cydC//pgaD//csdE//yfcU//yafS//msrP//proC//yjhH//mcrA//ppsA//waaG//ynjD//holC//pheT//livJ//rzoD//cdaR//yfgO//efeO//sspB//blr//macA//ilvC//yjjV//pbpC//dfp//
GO_0010038_5	ygfA//fixC//elaA//hybB//ydiP//rna//torC//nrdB//shiA//flhD//pgpB//fdnH//atoC//adeP//dctR//recT//galT//rpoE//rlmE//sbcB//argI//dgoT//yhdH//hypC//fhuF//gntR//chiP//lepB//mzrA//ubiD//uvrA//yiaL//ygiN//dauA//cyaY//dnaE//rplK//waaS//waaB//yqiG//sgbH//pepB//sdhE//yebQ//glcB//
GO_0010039_6	paaJ//rluC//ybaK//fecA//fabA//rpoH//pepA//
GO_0010041_7	mqsR//ebgA//greA//pcnB//insI1//ygiB//
GO_0010042_6	potH//pdhR//
GO_0010043_6	astC//udp//udp//ampD//yfcP//rpmF//
GO_0010045_6	hemB//bioP//ppsA//
GO_0010106_6	glcB//
GO_0010124_4	uxuR//ychO//ynfK//yecS//ydcP//holD//ynhG//abgT//alaS//mglA//lpxC//melB//ygaZ//
GO_0010133_7	tauC//
GO_0010139_7	rluA//
GO_0010165_6	ydbD//aaeB//hsdR//udp//rayT//rlmE//crfC//fdhF//yfbU//tdcF//prkB//bfr//polA//gcl//rhsD//ynfL//
GO_0010167_5	rph//fpr//
GO_0010212_5	btuF//garP//cynT//selU//tyrA//rnhB//hofN//fkpA//aroG//ygjK//yheT//glnS//fecC//rhsD//folD//fur//fecA//gabT//trmL//rfaG//bioP//pepD//kdpA//nth//garD//ivy//rffM//tnaC//
GO_0010226_6	opgG//
GO_0010243_5	ligB//aldA//acpT//hybG//ftnB//trmA//yegD//pgrR//ynaE//kdpB//ypjD//tauD//hdfR//hcaT//yahN//rffH//
GO_0010269_5	mglA//
GO_0010272_6	sbcD//rseB//nrdH//ydaV//opgB//mdh//
GO_0010273_4	ydbK//rffT//hdhA//treA//mrdA//mlaE//
GO_0010288_6	wcaB//
GO_0010312_3	mhpB//
GO_0010332_6	oxc//
GO_0010350_6	ugpB//hinT//
GO_0010438_6	guaA//lsrG//yehY//psd//
GO_0010447_5	queE//hinT//mltA//kilR//casE//yfdS//rplI//yjbB//yfdO//cbtA//brnQ//gadB//ugpE//cysI//nusA//tig//ynaI//cbl//idi//rplY//tyrS//
GO_0010466_7	tgt//dkgB//
GO_0010468_6	pflA//tcdA//rho//gnd//glgS//yjiA//hofQ//xylG//ycfS//yfdR//sanA//yehC//ralR//alkA//bamA//ydcS//artM//pstC//arfA//yjaA//sdhE//frwD//exuR//hlyE//yajL//folD//yhfS//glcC//fumC//srlB//gppA//cmk//aspC//tolR//flgK//yoaB//mdtP//sbmA//wbbK//pdxJ//murG//rlmG//deoD//asnB//ade//tynA//ffh//yihW//gltD//glrK//hofN//truC//paaK//fic//sucC//tcyN//dapD//hipB//insB-4//galS//hyfC//fdrA//argC//dgcN//waaY//emrD//paaB//frvB//ybiJ//rfaD//sdiA//tusA//arnF//gfcE//murR//gltP//ybiW//rimP//amiA//nagB//opgC//rsmH//ligA//nimT//yceD//clcA//caiB//ydiF//ttdA//phnJ//ilvN//wzb//lldD//waaG//ybhG//rpsS//yihO//yhcD//mpaA//treA//pinR//fdoG//ribC//ynfK//glcE//yihT//osmC//yraJ//tnaA//betI//paaA//ccmD//agaB//yrfG//thiI//ubiD//yibF//gdhA//hypE//mltC//evgS//bglX//rffH//uvrD//pgl//yehT//cspA//yidE//pdxB//abpB//phoQ//yggF//fliT//phoE//kdsD//yhbX//tusB//cycA//yphF//msrP//csgD//feaB//rna//ycgV//mutT//cydA//puuR//uspB//zntA//cspB//pgaD//pck//ygjH//trpE//yhaJ//aldA//arcC//nagC//lldP//efp//lapA//hemC//dgcE//gatB//ybjX//hypF//bamA//hlyE//eptB//gsiC//ccmH//comR//sbcC//frlA//ulaB//appC//glgX//proA//hpf//nanK//kdgK//tdcC//opgG//bioP//ftsB//yhfS//speB//insA-2//pdeL//murG//tatE//yadK//rplX//moaA//sutR//ygiN//ascG//rutD//hypC//pliG//yidA//insI3//manZ//purF//ybdN//ygeA//flhE//yhjR//deoA//mmuM//yjcS//dppF//ttdT//gltL//flhC//moaE//dgoD//opgH//glnD//nagZ//rlmF//recJ//ydjH//deoA//glnP//iscX//htpX//xylG//kbaY//hflX//umuD//phoP//mltA//thiE//truC//frwD//lon//ghoT//viaA//fepC//rdgB//nrfA//aslB//ygaZ//qorA//ycjY//torS//pepD//agaR//dppF//ygfA//trpR//clpX//abgB//ypdF//glmM//nrfC//fkpB//ynbD//btuC//sfsB//yciA//yfaV//murE//folC//mrcA//atoB//groS//mnmA//opgC//ydeE//mpaA//treR//yegD//mnmG//epmB//nuoG//ddpX//elaD//emrY//holE//rpsH//yiiE//lapA//nadK//trmO//ycfL//ghoS//nlpE//cspI//fdrA//yeeL//gph//ubiI//yhaJ//murR//ybiJ//dgoT//zur//hybA//pnp//hemB//gpmM//aslB//yraK//ubiA//gntP//queA//insI4//ugpC//fepC//hemN//rimO//nrfG//purR//tar//narW//allB//
GO_0010498_6	caiF//
GO_0010501_7	yehX//tsf//citC//mltA//fpr//lhr//rffH//exbD//pabB//
GO_0010528_5	modB//
GO_0010556_6	bglH//crr//nfo//psuT//tnaB//hybC//tolA//gspI//rpmH//zinT//ygcO//frvR//mpaA//lsrB//solA//yidQ//envR//rclR//rlmA//ilvH//asnA//holE//adhE//ampG//sapD//fbaA//hipB//ybhD//yagG//waaL//garD//fryB//pyrG//mutS//yigB//galK//rsmB//ansB//cedA//argR//napA//csgE//yjjV//focB//hyi//zinT//prpB//yqiJ//yjaZ//recT//ycdX//elaA//ydbK//yhgH//thiC//cbeA//yidK//hypF//lolD//waaL//rimI//yaaY//cpxP//nadC//narV//flgB//yciG//hslR//mraZ//lit//argF//rpiR//cysA//plaP//xylB//ettA//dppB//moaD//hdfR//torR//galR//mntS//sppA//btuE//ligA//rpsL//rfaC//gadC//aceK//yicJ//dxs//aroB//yadG//clpX//proB//rcsC//nfo//rlmI//frdD//yfeO//clsC//rimJ//tsaD//lpoB//ppsA//rlpA//araB//sfmD//hofP//serA//arnE//trpB//fumA//potB//tilS//lsrA//ycfH//amiC//ybbN//rhaA//tamA//sufC//ydiZ//pepD//pgaA//btuD//lapB//emrE//tusC//adiA//yhfS//ybhS//thyA//ybbW//viaA//uidC//ssuE//bioD2//kbaZ//rdgC//soxS//rutE//ariR//asmA//dctA//phnJ//hisF//fadA//trkH//dicB//mukB//torS//tolR//rplJ//scpC//nei//ybdH//ugpC//rlmG//bioD//zapD//mlaB//waaQ//kilR//tar//allC//sgbH//cmk//yjcS//rtcR//idnK//mhpT//rhtB//fbp//gspJ//ydiR//yajD//gntU//phoB//rlmE//dinB//menF//nth//lptA//ygcW//hslJ//alaC//galT//feoA//recE//narI//argE//bfr//pphB//mutS//rimL//lpxD//malK//hemH//yhhY//rpnB//fruA//hiuH//bamA//cecR//gfcE//mraZ//fliA//alkB//fetB//thrC//murA//ypdA//ypdA//emrB//gabD//fucK//prs//murQ//prpC//hsdM//yjbF//paaD//glpG//pnuC//holC//yaiP//minD//yfcP//tdcB//araG//aaeA//guaD//flhA//narZ//rclB//yaiV//agp//higA//trg//dnaE//yejB//tauD//fieF//mgrB//rho//yeeL//ebgA//yjhP//sapD//ydiQ//alaA//basR//acrD//paaJ//rclB//rplP//hypT//rbsC//glcA//ibsB//bioB//malZ//rpsP//ycgV//csrD//sdaC//lptD//ynbD//ygbI//proW//arcA//dsbB//hslJ//araB//tamA//ftsL//opgH//yraI//yfeO//gadW//mdtP//crfC//uvrC//ptsN//cpxA//xylG//ompG//speC//cusC//ydjH//clpB//srlE//greA//yiaO//zapB//cyoA//mrcB//gsiC//yafS//hycA//argI//dtpC//oxyR//yfeW//xapR//gspJ//ettA//rluC//nhaR//entA//araD//
GO_0010557_7	gcvT//rppH//rutR//yjeI//ettA//alsA//csgE//sucD//dadA//cbrA//ycbV//yohC//sufD//alkA//dgcF//bamA//ldtC//pstA//yhjV//yifB//ghrB//tehB//chiP//nuoG//arcC//lon//sseA//nupX//relB//alpA//yfcS//aes//lepB//rimO//mgtA//purC//rbfA//ypjD//rffC//msrP//yhjC//ccmH//ung//poxB//yfaU//pyrF//uhpT//hcaE//coaA//yihW//yfcP//ibsE//ndh//cysC//rodZ//rpsO//fepD//tpiA//gmhB//rbsD//ybjN//yraJ//oppC//hdeB//kdgK//uspC//ycbU//lapB//prmB//tag//bcp//rpoD//speB//galT//hokB//waaF//frmR//ftsI//alaS//yhaC//sucD//yhcN//
GO_0010558_7	pta//mtnN//ydhC//paaF//rpsD//ydjE//setB//sucD//ydjJ//ybhA//prmA//ompC//yjbB//yeeL//sucC//ybeQ//yfcS//trpR//fbp//rdgC//rlmE//speB//rutD//fetA//aldB//mhpC//yfbU//sdaC//tdcC//mdtF//trxC//ansB//nfi//prkB//ygfX//yqiG//lolA//dtpC//cydA//treC//ispU//priA//moaC//queF//lolA//artP//gmd//aslB//mprA//argB//tdh//paaF//dcuA//lptB//focB//mug//elfD//mobA//tsaE//ygeV//ybdO//higB//aspC//agaB//rnpA//dppD//ddpA//dnaA//smpB//hybB//ispU//glnA//ydcS//glxR//malP//grpE//potF//cdgI//yigL//fliT//yebK//nudB//hisM//folC//folM//arsB//udk//mug//sucB//rpnA//ybiT//sufE//rfaE//mliC//ydaC//insI1//otsB//ybiT//hyaD//tyrA//ynfK//lamB//yejA//murC//pheA//flgA//kch//yjjW//rarA//ydiQ//pyrC//rimO//flgI//rutA//norV//rnr//yafQ//aceA//tatA//rbn//
GO_0010562_7	dcyD//yfcS//
GO_0010563_7	frwB//acnB//
GO_0010564_6	frlR//acrD//mliC//nlpE//umuD//
GO_0010565_6	sgcE//rpmA//bdcA//carB//xthA//hpt//
GO_0010604_6	ygbL//ribD//cysQ//paaX//nuoF//yiaL//cpxP//ybbW//ompW//rpsR//argI//galK//araH//gudX//araD//malZ//ybgP//ubiB//dcuC//yafE//selU//yneL//yfaL//rlmJ//gudX//nuoL//narI//yfcP//cyoC//patZ//cysG//ade//rbsC//dinQ//rhlB//mprA//nmpC//ygeR//ygbI//adhE//sdhB//bioD1//gmd//tonB//rplM//yahO//emrK//rlmA//epmC//yfgI//deoR//yidQ//opgE//entS//ttdT//cheW//dcuS//otsB//pykF//lamB//atpD//dcuD//casC//narW//iscU//bglH//yidE//glsA2//kdsA//nuoH//leuC//waaF//glnL//ybhG//mdtN//uspF//ycfH//pgaC//ybiH//ytfP//yiaB//insI1//yqjA//ykgA//dcuA//yhhZ//fadA//waaG//pdeF//rcsA//parE//yciA//cmk//
GO_0010605_6	murA//gntP//cdh//bamD//tomB//mhpR//ynaE//wzb//appA//fabD//yphC//yodD//ygiB//cydB//rfaQ//gshB//miaA//amiA//chbR//ilvI//yiaF//agaC//aes//ung//yhjA//bdcR//djlC//hisA//ompW//cyaY//rluD//treA//ynfL//tdcC//artP//hslO//tolQ//mutY//hdeB//malI//yhgF//tyrB//yfcF//yihQ//pth//yhaV//rpsH//glgB//norW//metK//patD//nadB//yiaT//mnmE//chbR//menI//ratA//yigL//ypjD//feoA//bioA//yfeD//mntS//alaC//gfcE//yfdS//aaeB//rseP//ldtE//nagD//nrfG//gatB//yeaG//yraI//higB//priC//rng//ubiD//ydcO//nirC//aspA//yehP//yejA//yiaT//folA//envY//rutF//fimD//nuoN//yedP//ybaE//ybhJ//mug//ulaC//gloB//ldtE//degS//yehD//tamB//dcm//folP//dsbC//fadA//pliG//ybiY//rdgB//frdA//glrK//cmoB//cobS//rapZ//leuS//frdA//fliK//folE//trxC//napB//bioB//psd//glpG//rpsE//mnmC//pstB//tar//trpC//ribB//garD//tsgA//artQ//menD//yqhD//ssuD//mtgA//agaI//agaS//lit//gntU//clsC//ycjP//selU//yjjB//mazF//frwD//yegS//
GO_0010608_7	paaF//hisS//hycB//lysS//uspC//phoB//bssR//sucB//ftnB//agp//rpoA//trkH//dbpA//lyxK//gspJ//yfjR//sapA//envZ//csrD//hisD//fepB//gsiD//ampE//ykgA//folD//ymgC//eutB//psd//ulaE//abgT//fdnH//glpC//cmk//gpr//rutE//sdaC//yadC//mmuM//pheM//rdgB//rssA//mazF//ulaF//serB//
GO_0010628_7	cysA//seqA//cobU//ybiA//mukB//sspA//mdaB//yeaG//ppx//menF//menH//ycaO//potD//bioD//yhdX//yhaC//hprR//dnaC//rutE//frlB//mdtN//thrL//dppD//potB//pspC//uvrC//yfcG//yeiL//adeQ//yaaY//bfr//fucA//xanQ//ycgV//pyrE//frdD//ttcA//afuB//ykfM//gltB//fadA//tufA//hisQ//accC//bipA//glnL//rpsS//pdeL//flhA//gcvA//dsbD//yadM//uvrY//asnC//sugE//rlmL//napC//clpS//codB//mdtI//fdoH//mcrA//rclR//ansA//lgoR//hrsA//ypdA//cytR//gshB//ssuD//purF//mltB//yfbR//hofO//hupA//pcm//yjjV//xylB//yiiE//thiH//lsrG//ydiV//ybjG//
