#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hrsA//yedF//yjbF//lacZ//
GO_0006986_5	uvrY//casB//abgT//serA//tadA//prc//
GO_0006995_6	skp//lsrA//
GO_0006996_4	araF//pheS//codB//yagG//yhfK//hslR//paaE//cspE//xseA//ybaK//frlR//yfeR//yohD//gmhB//exuT//nudF//yejA//hyfC//cmk//rclA//tadA//yieF//ycbV//ddpX//gspI//uxaA//fieF//cynX//yhjC//fnr//fumB//metK//treC//lptC//yeeJ//garD//yafC//sfsB//rbsC//
GO_0007010_5	bluF//
GO_0007059_3	dnaK//yehX//tdh//dnaT//higB//rpmF//uvrB//ybhJ//glnP//yaaJ//
GO_0007062_4	elfC//fimF//yjiQ//yjjQ//
GO_0007154_3	cysA//psuG//hcaB//cysU//frdB//dut//csrD//glpX//araG//ynbC//fimD//acrD//ilvE//rtcR//recE//sfmF//paaF//hsrA//kefB//rne//btuB//trpGD//mzrA//rsgA//secG//dgcN//ssuC//tusA//rlmH//feoC//yiaT//garD//yibH//fadE//wzc//ypdB//pabB//yfcG//ccmD//cpoB//marA//hemL//rpiA//ybjC//tolB//mdtO//yadM//yceK//lptD//rutE//thiQ//rlmL//lspA//lolE//ubiX//
GO_0007155_3	cysZ//ydeI//nudF//yafN//hybG//rplY//ompA//yjjX//sapB//sgcX//emrB//aroA//torZ//nikB//nuoI//tsgA//hdfR//frlR//mrdB//rbbA//gcl//gadX//gntP//ssuB//nirB//glgP//ulaR//yadC//miaA//yciK//lpxK//ubiH//fadE//insI1//bioF//
GO_0007163_3	yeaK//
GO_0007165_3	rapZ//frwB//tufA//hcp//ribE//mglB//uxuB//rtcB//lysC//nuoL//phnO//fklB//alpA//sdhE//argI//lyxK//ynfK//dctA//acrR//tdcE//ompL//ribF//rho//selU//entC//eutN//avtA//atpH//tdcE//speD//comR//gltI//pspF//srlB//rpsJ//exbB//fumB//dgcT//amiA//paaF//glyA//relE//oppC//fetA//yjhG//dtd//envR//astC//prpC//potA//rpsN//tusB//ybiS//ybhR//nanT//rsmG//rhlB//tyrB//pdxJ//shiA//
GO_0007166_4	galU//kdsC//ybbY//yphD//
GO_0007215_5	ftnA//glgX//cbrC//dnaC//
GO_0007231_4	narV//
GO_0007234_5	ybdM//
GO_0007267_3	ydcR//dgcE//
GO_0007346_6	ykgF//yidL//yjjV//
GO_0007584_4	pliG//sodB//gsiC//bcp//
GO_0008033_9	iscA//cspB//ddpX//cysN//pheP//yihP//pitA//adeD//hemE//plsX//rluF//livM//rzoR//tauD//ybdG//frvR//waaB//rpmG//rpnB//dinD//tdcE//ibsA//ghxP//rihA//yohD//menB//sufD//ariR//thrC//bcp//yeeJ//fhuB//nikE//frwC//yiaO//rpe//tamB//yjhB//dnaE//cbl//mhpR//allS//mdtJ//ydiF//mscS//lptC//hcaT//dcyD//gltD//motA//sdhB//rsmC//nirC//yhjG//npr//glyA//
GO_0008104_4	gadE//ccmF//polB//mgsA//fdoG//lysR//yciV//yidZ//ygfX//narJ//yiiE//potC//ygaV//ycbX//matP//ebgR//dicA//gyrA//bdcA//frlR//spoT//rcnA//yiaM//galT//glsB//cheA//iclR//yfdG//sanA//ycfS//raiA//djlC//dut//pgaB//lexA//rep//uspG//glnA//osmE//rraB//arnD//yojI//potB//murJ//cpsB//sgcA//ugpE//ydcM//ugd//
GO_0008156_8	flhC//nrdB//wcaC//blc//ybhI//yaaY//
GO_0008202_5	appC//
GO_0008206_5	ulaG//
GO_0008213_7	pgsA//seqA//yeiL//fliD//hrpA//frvB//thiP//ybjN//
GO_0008216_5	csgA//etp//deoA//
GO_0008219_3	napB//frwC//murE//cdaR//yhaO//lpxP//bluR//speC//rzpR//ycjD//chpS//tehB//mog//gph//dgcJ//
GO_0008272_6	yihR//yhbX//yjhP//ypdF//phnN//lrhA//pspD//
GO_0008295_6	dgcJ//thrC//nrfD//
GO_0008299_5	lgoD//nhaA//rpnB//ppiD//sfsB//yfiE//
GO_0008360_4	gspF//alkB//rcsF//holE//cpdB//tauB//norV//hchA//hycI//uidR//mlc//luxS//cobS//sbcD//kdpC//nrdF//
GO_0008361_5	osmC//lpxP//ilvH//dusB//clcA//
GO_0008380_8	yfjV//
GO_0008610_5	citG//cspG//leuC//yfhH//cheW//xseA//ytfP//uidC//fepD//bfr//yjcS//ccmC//ycdX//nrfE//yeaV//yfgJ//kdgK//ttdA//mltG//caiD//ydhK//ptsN//mdtI//ftp//birA//atoS//purB//yphC//envY//kdpB//potD//phnO//yfiF//etp//nadK//yaaY//rbsK//ybjI//yddM//cyaY//ygbI//panE//lysU//ompF//dusC//groL//glgC//pgaB//setB//hypC//bglX//gluQ//hisB//rzoR//rcsA//pdxH//trmJ//perR//ycjW//glpG//nagE//ynfL//gspJ//fkpA//cyoE//ydhK//ftsK//
GO_0008614_5	modC//dcuS//yjfF//ptrA//aroA//intE//pth//
GO_0008615_6	aspC//gloA//mgtA//rlmN//dcuC//hybD//cyoD//
GO_0008616_8	glnA//ydjL//ccmF//ydhK//ascG//epmC//ygdG//
GO_0008617_9	ftsZ//
GO_0008643_6	ung//prpD//rbfA//ykgM//ydcO//tauB//yqgB//exuT//cynS//yhjR//cusC//artM//agaC//nuoH//argR//thiC//lgoT//pgaA//flgA//yhdJ//patA//diaA//pspA//narZ//yigL//mcbA//acrD//rayT//yehD//hfq//araA//aroB//hemN//atpH//uhpC//rfbD//yieE//yodD//gltK//mtlA//edd//ebgA//ascF//yghG//aes//rutA//argK//rph//nlpA//yiaN//ribB//lspA//folM//purB//gcd//yddL//lexA//rihA//cspA//yccA//yeaV//lysO//intF//phoQ//puuD//mtnN//ymfK//hybC//menD//eptB//tusD//hyfR//frlR//modB//yfdC//fdhF//adiC//bfr//nrdD//ribF//dtpB//fepE//yahD//cof//cusS//lacZ//frlR//hdeD//wzzE//moeB//rhaM//rpmC//ibsC//atoB//rsmB//yeaK//acpP//yfiE//aaeA//rpnC//hemN//pbpC//trmA//ybhJ//prmA//lptD//hslR//mdlB//ytfR//hsrA//ihfB//lacZ//pgpB//tusC//
GO_0008645_8	ghxP//acpT//allS//sseA//pyrH//dsdC//ibpB//dtd//hyaC//parC//fhuB//hisA//yjhI//rhtA//creB//mutT//yddG//frlR//hcp//focA//fetB//pepN//metI//rpsG//
GO_0008652_5	mdtG//ompL//kdpC//hexR//cysE//yebG//cbpM//agaV//waaO//aroF//uvrD//hha//mlaD//thrB//yfcG//yihV//recN//pepB//yceK//cspG//lexA//tus//ftsE//nikC//fic//waaP//yedF//yagJ//yagI//aroD//tag//degP//narG//murI//hofC//mcbA//pgaD//gpsA//gloA//glxR//ycbX//yadV//artQ//mnaT//gspE//yneE//cmoB//ccmA//dtd//ydiR//xylE//artM//mioC//pstC//fumC//intZ//gcl//mmuP//dut//fimE//ispU//leuA//ldhA//pdhR//caiB//nagK//rpsJ//xylA//narX//ispF//mrp//frlA//modB//yieF//ypdB//gadC//infC//uup//hofP//lldR//araB//yjjI//speD//mtlD//gor//lepA//alaC//lldD//mdtQ//sthA//lit//pyrB//purB//dgcM//rnt//kduD//sapA//xylH//rplE//rhaA//rpmC//nepI//iaaA//cmk//gadX//ycjR//rodZ//fmt//hypF//aceK//rcsA//casE//intS//purA//
GO_0008653_5	fabZ//yfcU//moeA//lgt//torA//glpK//mgtL//mzrA//kdsD//yabI//dgcQ//ssuC//ydjM//
GO_0008654_5	yqjH//paaF//hemC//hisG//ynaI//ugpA//syd//gpmM//ybiV//priA//atpD//gadW//tatD//yceD//rph//rbn//hyaB//yfaE//menD//rluD//bioD1//dmlR//yajD//kdgT//proX//mnmE//treC//nrfE//ykgF//prfC//ycaO//glcD//hicB//argH//yahF//
GO_0008655_5	pyrG//yhjX//waaU//malX//tsf//edd//ybdR//
GO_0009050_6	dgcE//ybdM//
GO_0009052_6	uidA//hscA//hcaF//murA//bamC//mdtM//dcuS//
GO_0009056_3	hyfR//pagP//ompG//ygcO//yaiP//fruK//rpsM//dmsC//yecS//sapD//sfmD//yahN//nanE//yfcS//cysH//lpxC//dppF//waaY//htpG//yadK//casB//shiA//prs//ydiQ//fepG//cyaA//hofO//iaaA//coaE//cbrC//malP//gldA//yqiH//gstB//ypdI//panD//yiaU//gpp//ybjC//mazG//lit//ariR//setB//leuO//yefM//hupB//rpsS//xerD//rpmJ//yhjR//uxuR//mntS//yidL//pal//dld//ccmH//uxuR//ymgC//flgK//pstS//ccmE//tdcG//yciA//hflK//secE//idnK//sucB//dosP//glmU//leuA//tsx//acrR//cysB//ilvC//yagJ//gor//dgoT//yhjD//polA//rpe//gcvT//btuD//rpsL//csgF//patD//fabH//rplM//rfaQ//nudC//cheA//pgaD//rpmA//dam//bioC//deoD//aroL//paaK//rsmG//gspI//ycbB//yojI//potH//fabH//recJ//metH//ybcC//fliZ//ilvB//ssuE//priA//rbfA//yhhY//codA//ebgR//gloB//rssA//pntA//yijE//patD//dgcF//sgcC//mdtJ//sfsB//ydhK//yceO//xisR//ppsA//cyaY//livJ//hcaF//hisM//arfA//yhaC//nagZ//ygcO//ccmC//gshB//yidD//xanQ//recF//kefF//zinT//dld//pldB//atpC//paoC//tatD//yhfS//fucA//tcyN//cpxR//brnQ//wcaB//ompG//cstA//ascB//hicA//glyA//gpp//yhbS//asd//hscC//artM//yneE//pykF//mfd//mdtN//ssuA//fcl//metL//narG//sfmA//sdaC//appA//dsdX//sufA//sdhD//recT//rof//fpr//tonB//gcvA//treB//arsC//pdxH//ynfK//prfC//argD//plsC//rfaC//glnD//yafQ//prpR//cysI//cobC//waaG//hsdM//adhP//ycjQ//mnaT//tolC//yieL//hemE//nuoL//ndh//waaQ//fabB//torI//yggD//rclB//rpsO//yohC//ycfL//ybcC//yggP//miaA//pepQ//ybaL//paaZ//wcaC//cas2//maeA//ulaE//citE//yiaN//purU//znuA//lsrD//insB-2//cedA//ydiK//ycfH//yiaT//hyfC//fur//csiD//ebgR//nimT//dgoD//gcvT//sfmD//rplX//glxK//rplS//yidP//hycB//ldhA//yfcF//yiaJ//cusF//acrZ//uvrC//dnaA//aaeR//potD//tadA//pinE//pyrF//mcrA//murD//yneL//yedF//gsiC//sgcC//emrY//ydjE//manY//lpoA//maeA//yqiH//ygeX//guaD//accA//yafS//tktA//rlmF//yieF//yeeJ//ptsG//mglA//cysK//yihT//minD//dam//atpG//hdhA//uvrA//gdhA//mmuP//glnQ//waaJ//priB//yfcS//yaiV//phnP//aroF//purA//pgm//glxR//proS//rapZ//aroK//yibT//fbp//ribA//ybdZ//nagC//rbfA//agaS//deoC//hypE//cynT//lolB//ygiN//crcB//yihO//elaB//ubiD//yfeD//frc//yqgF//rsfS//etk//torZ//yceO//grpE//lldD//rnt//phoB//hisI//prmC//yhaV//yfcU//tsf//fryC//rplN//wbbK//rlpA//panB//kch//clsC//clpP//cobT//yjhH//mzrA//ldcC//ypdB//ansB//lrhA//gadB//dtpA//fadL//yoeB//yciF//ygiV//idnO//cdh//tag//alr//ygaH//minC//cdgI//clpX//gluQ//frvB//yehP//wzzE//trkG//tehB//gspJ//ybcL//mntR//rimK//frwC//ybdG//ycbU//yebZ//hyaB//hybA//kch//sgbE//hycB//pabB//fhlA//bdcR//idnO//recQ//fadL//potB//leuC//pgsA//wecB//thiQ//dnaC//cutA//nrdD//rmuC//proB//ygeX//yciF//fimA//mhpT//araH//zwf//grcA//yifB//pgaC//rpoH//ybhS//stpA//ftp//cynS//ribB//hiuH//yneE//ymdB//
GO_0009057_5	wrbA//waaG//clpX//tsx//rpmG//gstB//trkA//sanA//ydeM//tig//pabB//ptsG//spy//phoR//ssuC//cydD//bamA//ybjC//pspF//rbsD//ydiP//rsmG//ykgF//recD//yggE//ulaD//trpA//curA//rpmE//ygfX//rseB//zupT//ftsE//yjeI//yggW//ulaC//cas3//umpG//chpS//kduD//basR//era//ibsE//sgcE//pdeL//hcp//rpsL//secB//pgi//lgoD//ycbB//eutN//insK//selA//
GO_0009058_3	nlpE//norV//gpp//mhpR//rutR//gadC//carB//casB//lpp//moaC//ftsK//cusF//hypF//relB//rbn//recD//ydeM//xisR//rplP//accA//icd//citX//nfi//potA//hybF//ilvM//glnL//yhcN//yhhZ//nanS//yijO//yfaX//gatC//ygiN//recJ//osmY//cysG//narL//tdcD//trpGD//betA//gsiA//atoC//mscS//bioD//mdtK//insI-1//ghoS//truC//yfaV//yddA//ychO//hcaE//dsdA//zraR//cysC//alaC//udp//fryC//mreB//ybcC//sapA//chbB//pykF//lpd//potA//cptB//narK//hdeB//zitB//elfG//dsbG//dgcJ//rimI//glnS//entF//etp//pspF//pstB//xerD//mzrA//yqiI//betT//yohC//yadG//insI-2//eutK//sdaB//mutY//astB//yfjR//fdx//abgT//soxR//htpG//eutR//ispH//ydaN//elaA//ugpE//rspB//yjiQ//hcaF//mdtK//intQ//dhaM//galM//bluF//lpxM//cheB//fucP//opgG//codB//pabA//gcd//yraN//mocA//rhoL//ymfA//dcyD//rssA//aroP//ttdT//ttdA//tldD//ribD//murD//pagP//bssS//sdhC//malE//yddM//manX//tdh//recF//rpsE//kdsC//rcnA//ypdI//rppH//yrfG//trmO//panE//pmbA//lldP//nrfD//entB//feaR//grxD//yagG//yagE//adiC//zinT//yidK//srlD//hokB//xylR//gadE//hcaD//fliA//tdcF//yfbR//mgrB//ybhG//gltB//cysS//tabA//umpH//ydiK//rarA//higB//spoT//rpiB//satP//lspA//ebgA//hsdM//malF//rihB//cysH//flgG//ibaG//dsbG//ulaD//yebC//erpA//truD//rplY//yahI//proS//ybaO//talB//seqA//prfB//btuD//flgG//rplQ//ymfK//yifB//argD//yhdJ//yfeD//yiaO//mhpC//feoB//cueO//csrD//aroF//tdcC//nagB//ribE//ppiD//yraH//diaA//tauD//pmbA//prmA//argF//gatY//cpdA//lpxB//abpA//waaB//ytfR//pphB//casC//yhcH//psd//asnS//btuF//gpp//melR//rplR//rpsE//ygeV//iscA//aes//yqiH//moaA//ybiX//yfeD//pntB//sseA//crr//pbpG//cheA//sspA//rpiA//yjgX//pheS//rseB//ydeT//rfaG//pyrL//putP//argK//kdpF//frwC//lepA//dinI//ygfA//rpmJ//argH//fadI//bisC//metF//ssuD//rffH//hpf//treC//bioD2//lysU//yqaE//xanP//folP//elaB//malI//sxy//iscS//pbpC//waaJ//nrfC//cyoE//hslO//argS//yfdO//rihA//uxuR//rpsD//dsdC//xapA//yhjG//lgoD//mqsA//mliC//cecR//glgP//ybcQ//puuB//hokB//cysH//yheT//hscA//tdcC//gsiD//hybE//ibsB//ymjB//hslR//ybjD//waaY//ddlB//yedA//mppA//msrP//fieF//amiC//ygdG//adeP//ppc//sdhE//recB//dsbG//yeiG//pflB//emrY//gudX//yibT//nfuA//dppB//hiuH//yjfP//arsB//ycfH//yfbV//lptA//yfaV//surA//ilvC//lpxC//rpsE//rho//bdcR//era//mutM//yjiQ//sgrT//rbfA//hemF//fic//pgaB//insA-2//yfiF//fepE//lapB//btuD//artP//melB//ubiC//dnaC//ttdB//mrr//ybaL//agp//zitB//recR//nikD//fre//rlmD//ampD//ydjH//argD//eutD//der//hypT//rihB//arcC//higA//iclR//pck//flgJ//crfC//rzoR//kefB//cdd//yhaV//pepA//glgS//mdtD//ycbB//rpmF//fucA//tauA//ssuD//cytR//cmoA//napA//ilvM//mnmE//ybcF//gpt//iraM//fliK//gltK//emrK//zinT//ccmG//casB//yebZ//bglA//yobF//mnmG//cbrA//edd//gcvT//elbB//ybiW//codB//queF//rppH//flgJ//alkB//nuoH//zntA//ybdM//fabD//srlE//ybhR//opgD//ycjW//mngR//yjbH//srlR//mzrA//rbn//chbF//yqcC//pepD//pagP//proQ//yiaF//nfo//abgA//tcyN//rpsR//tbpA//rhaS//tqsA//surA//dgoK//glcF//znuC//hscB//ibpA//ycfS//nudG//hprS//iscX//moaA//fbp//cueR//argG//dsbC//mnmE//mntS//dinJ//yieL//mrdA//crp//rnhB//paaD//gatZ//trpL//rph//dgoK//flgH//yiiD//ubiX//bglF//tig//hyfC//frvB//citC//pepB//yraJ//ykfI//codB//yihI//cdd//moaB//tdk//mtlA//yhaJ//yiiM//wza//rpnA//bluF//hchA//hycI//rutG//trpC//hemD//slyD//cspG//guaD//tus//rzpD//ynbB//argP//wbbK//fadI//fecB//rna//nadE//cyoB//yjjG//yqeF//insI4//cyaA//upp//chpB//rfbD//decR//rppH//chbF//pyrC//plaP//tcyL//uacT//nirB//yejA//ygeW//copA//puuA//frmR//aaeR//ygbN//csgB//rrrD//holC//kdsD//ibsD//rpmH//nikR//pgl//pepQ//cysM//nirB//yqiG//ndh//yefM//nudB//livF//proA//envZ//zapA//suhB//xthA//mngR//lpcA//hemD//rplQ//baeR//hyaC//glsA2//gloB//gadX//pgpB//hscB//tehA//mnmC//xisR//rbn//nikD//trmH//rlmN//yeaK//yfeR//mocA//ssuE//ftsL//topA//ycjR//atoB//glpD//hsrA//zntR//codA//envZ//hyaB//mepH//mhpA//fnr//glnD//nrfA//rpiR//cvpA//rplO//flhC//gadC//agaV//cytR//ycaN//msrA//maoP//cheZ//yggD//phnI//fadL//zraS//phnM//tatE//acrB//selD//yejA//yihX//mtlA//opgH//yigB//glmS//recO//thrC//yibA//dmsC//ybhF//potA//nrdR//ypdF//nrdH//cusS//rpsO//codA//ugpB//menH//murE//hokE//dcd//coaD//rplF//deoA//yraR//focA//yphC//hslJ//nuoG//murE//hflD//deoA//pal//dgcT//rimL//fepD//rplM//yejF//rplM//caiD//dnaC//dgcN//yggX//ddpA//pstC//tufA//chaC//yajO//yfcV//nepI//yjbG//recX//sseA//nrdE//ybhJ//cyoE//rpmF//mrdA//ynfH//trpC//tolR//gsiA//caiD//alaA//yrfG//rapZ//yddM//rsmB//ttdA//dtpD//gsiB//yidK//narW//ycjY//elfA//agaS//glpB//thiL//tusC//kbp//cysG//proB//purF//cpsG//fimD//lamB//entB//fabH//ycdX//iraD//mutH//nrfG//yfdG//mukB//yhaM//ispG//amiD//secF//rclC//npr//dgoD//fimG//rpsQ//hdfR//dauA//fimG//ibaG//mntP//yaiV//fimB//pheP//yehW//uvrA//yihR//lpxB//casE//ybiI//rhtB//metB//waaS//yahI//yiaM//caiT//lapA//rplP//dinD//hisM//kilR//chiP//nrdG//atoS//treB//fepB//tpx//ftnA//matP//dapF//mlaE//opgC//tdcB//agaI//yidR//alsK//yciT//hyi//ompC//ydiO//bglJ//ydfG//motA//lsrR//
GO_0009059_5	glvC//dcd//narP//putP//flgJ//nrfC//exoX//ldcA//ybhF//idnO//fixC//pth//rpoE//acrZ//yghG//uspE//ndk//wzc//cysD//rffG//frlR//adeQ//yidZ//dmlA//livJ//yhaC//gnsB//yidE//fdoI//ynaE//ybaK//insB-4//rsmD//nikA//gutM//exuR//cpoB//creB//paaF//rpsS//ravA//wecC//sapF//recD//recO//nikC//yihU//cysW//ybjI//bioD//cptB//mdtC//lysC//yjjX//nagZ//yeiG//ybgI//degS//cysD//hchA//cytR//ravA//mrp//yqcC//glgP//asr//ldrB//hcaT//asr//puuR//umpG//metI//ychH//mltB//mak//miaA//hybO//ssuE//ompF//yphD//fumA//wbbK//rpsS//aroG//mhpD//adeD//atpD//rcsF//ribB//mmuP//potA//melA//rfbC//solA//cho//frc//glcB//lplT//folM//ypdF//acpP//ibsD//rsmJ//yggW//yoaA//dps//yfhM//yfeD//sppA//sodC//dmlR//fhuC//mnmG//symE//aldB//metG//yidD//zntR//yoeE//basR//fliA//sfsB//ycfL//mak//queG//ykgF//yecS//tatC//spoT//paaH//dxs//hflC//nfi//higA//secM//sfmD//proW//ugpE//csgA//sbp//murR//secD//argT//gph//folE//rlmL//exuT//leuB//csiR//sohB//yfgI//iscA//yqcC//ftsX//afuB//fixB//rmuC//iscA//glrR//cynS//metN//fecD//fimH//yaiP//hisF//spoT//rplC//rimJ//gspJ//uxaA//hokB//dam//sfmF//aaeA//betT//nikB//astC//phnK//ynfH//gadE//fepA//aaeB//mltA//ppc//ydjL//ligB//purB//galM//glvB//yjiX//deoA//truA//epmC//sufA//rutE//sxy//cobT//skp//rpsJ//yfaE//lacI//flhC//adeP//msbA//fucA//chiP//flgB//rpmJ//sapC//fixC//murA//yijO//asnA//ompT//ycdX//aroK//rhaT//ybdO//ybiT//glcF//hdfR//yqjA//chpB//ydhC//ubiH//rnpA//clpA//secD//yahB//nuoI//uxuB//argP//lnt//acnB//otsB//fabI//uup//exuR//ulaG//hiuH//yadM//rlmA//malQ//pabA//fabA//paaD//ilvB//hybB//rnc//cdh//tufA//waaZ//ydiP//ppsA//yphB//fliZ//sdaB//cyoD//yihQ//yjbF//evgA//hokE//waaG//yhcF//yecS//slyA//flhE//rcsB//argK//kdsB//yrfG//dauA//ycgV//fdoG//relB//yqiI//ygiB//yiaU//exuR//tdcE//nac//ampG//lpxD//hha//ybbY//aroD//mepA//dppA//cbrA//ubiF//moeA//ribA//yajL//intF//ycfJ//ribB//rhmR//hpf//yhbX//mscL//sgbE//glpT//hslJ//ilvD//nanS//otsA//mug//dgcJ//flgG//rihC//rutC//ynfH//yqgF//hipA//mhpA//adk//nmpC//
GO_0009060_6	yfhH//rplA//yfdK//dnaB//narQ//yiaB//flgK//aspA//yihR//hisM//stpA//sapB//moaD//zntR//yghO//rplK//yrdA//uhpT//mdlB//gatY//yebG//hokE//nagZ//acpS//aroG//idnD//
GO_0009061_6	yadM//tcyP//ycjU//wzzB//clpS//ydbD//yobF//cyoB//cas2//zraS//rimO//uof//rpsJ//guaB//nagA//glnD//gspE//hisH//dnaE//murF//flgE//sdhE//yidH//yafO//idnT//glrK//ttcA//plsX//pheP//yhhZ//yoaB//pyrC//asr//ais//proP//yafS//leuO//mepH//katG//ytfR//spoT//rpsL//rpsQ//yhgH//moeA//yciA//cydD//ldrB//argG//yebK//amyA//dgoT//melR//yihV//mepH//
GO_0009062_6	afuC//tcdA//xseA//focB//gadA//hrsA//elfD//ybjL//chbC//fabA//yjbF//yghG//exbB//era//selB//speB//murI//eptA//hemF//tdcB//dhaM//
GO_0009063_5	sfmC//fdhD//ybiI//sseA//slyA//casB//gadA//hxpA//ldhA//lolD//cpsB//betT//hybC//ndk//acpS//nrfA//glcF//yheT//lysA//serS//adiA//waaU//appA//fimG//yfgO//prc//allC//yobF//rplM//fimD//flhA//argG//cyoD//endA//cydC//rraA//dgoA//csdA//insF-1//ddpX//djlC//yegS//eco//napB//cadA//cmtB//trkH//dapD//yphC//cspI//cysN//narQ//satP//yidH//mdaB//
GO_0009064_6	ypjD//ykgM//tsf//eamA//mqsR//hdfR//rsfS//cusR//dxr//purR//ssb//fimZ//abgA//ynfE//ompC//leuA//mltG//yjbG//hycI//decR//gspF//lptC//rpsN//aceF//mutL//rhsD//artP//dgcN//ytfR//tsaC//pheM//hemC//bhsA//ettA//proW//gadW//zitB//frr//ygiB//pgrR//ydfG//agaR//mltC//yhjD//manX//rho//
GO_0009065_7	speC//yedP//leuO//mmuP//greA//ycjY//insH-6//hybB//bamB//paaJ//ygcO//uvrC//argS//ydhQ//yihU//cutC//yhdJ//yfcR//
GO_0009066_6	trxA//rfaE//nadA//xanQ//rhmD//clpA//phnJ//sucB//ycfJ//livG//diaA//frwB//envY//kdpF//glgC//dinJ//rbsC//sanA//lsrK//yqaA//frmA//tdh//nrfD//sppA//idnD//purC//galE//ilvL//lapB//edd//rimK//bssS//gsiA//leuS//rhtB//ftsQ//ybaQ//yoaA//ilvN//xdhB//csgA//abpB//yhjG//cutA//marR//alsA//pfkA//hybD//
GO_0009067_7	mtn//eptB//rapZ//serS//uspC//dcuD//yjaZ//rihC//yjiX//dnaJ//yodD//pgm//chbA//rnhB//metF//dapB//guaD//priC//rplB//yahO//lolD//bglH//zntR//hcaC//fucP//fpr//
GO_0009068_7	tmcA//bioP//zapB//truC//cmoB//yjjI//thiH//frwD//rluE//atpF//yggP//nupC//yghG//
GO_0009069_6	mdoG//yadV//cheZ//ygfX//ydeO//ycjP//aroK//yibA//udk//phnJ//adhP//ybiJ//rpsM//hrpA//rtcB//rluF//rplJ//yidR//gpmM//alsB//sbcD//entS//hemF//fdhF//fimC//gadB//dnaX//opgH//eamA//pepD//azoR//gltL//nhaR//yahO//nirB//lsrR//
GO_0009070_7	yhfK//ybaL//tolQ//ydjH//carB//nanR//cyaY//astC//cusB//rplW//rplM//bamB//garR//serA//ubiI//metC//hisQ//fieF//ghrB//tatC//
GO_0009071_7	uxaA//dut//recC//rng//dhaR//yebZ//kefC//yghW//yghW//fimZ//yjiY//glgX//ssb//ispU//
GO_0009072_5	ycgR//hycB//ghoT//adiY//hofO//cspC//ybaQ//cyoC//lgoT//fucI//yejE//trpC//ydeM//gshB//psuG//gppA//cspB//rpsP//waaJ//cecR//kdgK//rplW//tauD//nanC//
GO_0009073_6	ddlA//ubiD//fliK//aaeB//fdnI//qseB//yedL//glnP//apaH//sufB//rluF//ycdX//ivbL//araH//yrdA//speE//yggW//trpS//ompC//rluF//patA//
GO_0009074_6	hcaC//ugpE//tusA//
GO_0009078_6	pta//chaA//potE//evgS//wrbA//tdcD//relE//
GO_0009079_7	entA//paaG//fabB//hypB//
GO_0009080_7	rpsO//uspE//mgsA//
GO_0009081_5	ccmC//mzrA//ynfK//truD//entE//rlmE//ulaC//melA//cyoA//asnB//ompC//tufB//lsrK//yraN//mreC//tusE//appY//ldrA//abpA//uhpB//elfD//yjhC//
GO_0009082_6	rhtA//ghoT//yciV//mreC//yhhZ//glnB//rdgB//hemF//nanA//tpiA//recF//tusD//csgG//recQ//cnu//amyA//yghO//tcyN//
GO_0009084_7	amiB//yajO//trpE//wcaB//narL//hyfR//lysU//hemA//preA//yqgF//ycaO//fepE//hdhA//ybaE//csdE//accB//rpsR//mdtA//ptsG//fixC//yphB//ssuE//rrrQ//flgI//malF//
GO_0009085_8	dgcM//yfcA//hprS//queF//slyA//gsiD//yggP//hybO//ulaF//mocA//chbG//intF//
GO_0009086_7	moeB//emrY//ddlA//yacG//uxuR//mdoD//fliT//mtfA//paaF//
GO_0009088_8	cysG//arsC//
GO_0009089_6	cynT//yqjI//mepM//yqcC//bglX//ackA//rbn//hdeA//iscU//
GO_0009090_8	bluF//tyrB//ycfH//hsrA//
GO_0009092_7	hda//ybbW//matP//nrdG//macA//dcuC//
GO_0009093_7	rplD//bioF//kdgT//gloA//potF//
GO_0009094_6	lysA//fimF//rplF//atpH//
GO_0009095_7	uxaC//wecB//lsrK//ybdO//
GO_0009097_7	ampH//nagB//yebG//asnB//dacC//cedA//essD//
GO_0009098_7	aroE//ybjC//yfiC//mngB//ahr//prlC//msrQ//
GO_0009099_7	uvrD//mhpR//ogt//tehA//cysW//galR//mrdB//amiA//ydjM//tamA//
GO_0009100_5	folC//msbA//exbD//mdfA//yhdW//
GO_0009101_6	metE//
GO_0009102_6	eptC//amyA//elaA//gloC//uhpB//prpR//tehB//rlmM//yhdZ//livM//mnmA//tcdA//acrR//
GO_0009103_6	wecA//torC//gatB//narJ//ilvE//speE//hofN//yahI//yahF//malX//ybjC//
GO_0009106_5	adhP//rpsJ//
GO_0009107_6	ycjU//waaY//
