#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	xthA//rfbC//ygiN//hyfA//
GO_0006808_4	yfdS//ddlB//gntK//
GO_0006810_4	minE//ynaE//gshB//ebgA//ubiJ//yaaY//yjhH//cdgI//rlmH//ydjL//epmA//rhaR//pgpC//araC//sgcE//napB//dtpB//rnhA//parE//glyS//nfuA//sugE//glmM//nadA//sgcA//idnD//aroA//lpoA//hisM//yiiM//yacG//bcsA//rzpR//rplI//mak//dapA//opgB//ybcM//cadA//ettA//napF//rnlA//rutD//pepT//pspD//nfuA//rhlE//glrR//cpdA//pyrB//yciE//atpH//dacD//rnb//rlmA//carB//yidZ//murC//xylR//cbl//insF-1//radA//pinR//lsrK//deoC//sapC//yjiA//flgF//mtr//roxA//nuoM//ghoS//rutR//mdoG//aroL//mprA//phoA//polA//ychH//malY//manY//yneL//fbp//proP//mrp//insA-1//ruvB//metE//entA//araD//yhfS//frmB//basR//yedF//hybB//yqaE//envZ//elyC//metL//frlB//yejB//yhaV//gpmM//yfbS//ssuC//srlA//agaB//msrA//sfmD//nhaA//potF//ynfH//modB//yohD//mtlR//yfiF//aqpZ//tomB//ygjK//arsB//ptsP//fumA//murQ//fmt//yjgX//fsr//maa//bioD1//hrpA//ilvD//ybhA//rpsA//fruK//sutR//menF//ybiY//lyxK//higA//lspA//fes//yefM//lolA//deoA//recF//lspA//rluB//macA//yahI//truD//fdnH//tcyJ//fpr//yebZ//thiI//dmsA//paaK//kdpD//uspB//trmO//rluD//secF//arnF//cas3//insH-6//yqaA//cirA//yabI//idnO//artJ//xylB//gsiD//yafO//yehD//clcA//lon//lnt//nemA//oppD//ydiK//frvB//yafC//valS//emrE//dinG//ftsK//alkA//hybF//recF//nsrR//sdhE//mqsA//yrbG//ugpC//epmA//mdlA//yegV//waaL//rpmH//arnD//dnaQ//rhaS//ttdT//ibsE//rutA//gpmA//yrdA//ybhI//potE//ybjD//mtnN//valS//mgrB//cheB//purN//sdhB//gadB//pepT//cspD//mgsA//ccmG//phnK//hicB//fsr//rpiB//pstS//nimT//glnQ//fimG//dgkA//pfkA//arsC//tgt//znuA//holE//yhjA//yagG//trmI//cysH//pnp//ftsX//nrdA//ybjD//glsB//dsbD//yihV//gadE//rplR//symE//ymfK//rlmC//yaaJ//mltD//glgX//rnc//chaA//aas//nadB//hcp//yqhC//preT//moaB//diaA//ynaI//pyrC//moaA//rzpD//cydB//bamE//ynhF//nikA//rpsN//rimL//sgcX//abpB//astC//htpG//dxs//menA//mnmE//prmC//proA//hrsA//yhjX//fepD//clpA//mazF//alsK//rpmJ//gadX//sfsB//dcuD//ftsA//ymdB//lepA//narJ//pck//mngB//purB//cydA//fdoI//hdfR//nlpA//trkH//valS//pphA//mscM//recQ//aceK//mgrB//ahr//nfsB//erpA//pheS//yihP//gatY//greA//asmA//dnaQ//fliK//pstB//pntA//ynjA//ycbU//menA//yjeI//ybaK//ugd//araC//trmB//rffT//serA//tauA//galP//fliK//ettA//allR//frmB//cstA//yhjC//viaA//pdeK//basS//ygiS//yfiF//hflC//comR//menD//malY//cysC//hcaE//rimO//dcuA//ycjP//cysS//rfbD//csrD//ygfZ//yajL//glcF//ydhQ//malG//ndk//ydgA//napB//sbmC//copA//alsK//mntR//zapB//trxC//cmtA//fimA//rpsG//intF//yghW//eptA//yciE//kbaY//tcyL//ndk//thrL//yghW//ebgR//torR//ybjL//udk//bioH//cheA//dacA//nemR//rsmI//phoU//rhaD//yifB//hofP//hcaR//intE//ftsZ//xerC//yidH//pspA//atoC//mcrB//puuB//yeaG//sgcC//tufB//ydaC//rnc//hofO//glpB//lipA//pdeH//artJ//ldcA//tbpA//dgt//caiE//pmbA//ivy//groL//mepH//fliD//ilvE//hda//ygdG//hybD//fdhD//thyA//ubiX//sutR//acnB//rpoS//dps//ybjX//yafO//menH//gntR//comR//pdxY//elbB//ldcC//sapA//dgoR//era//ugpC//frvB//pmbA//aldB//casE//idnT//proW//yqgB//accD//argT//ribB//yfeX//ugd//yigL//pth//glgC//rplO//mcrA//yjjI//leuB//rpmJ//araH//hupA//prpR//rpmC//yeeO//htpG//accD//chbG//fcl//rph//yggX//gntT//rpsD//envR//recB//sdaC//queD//mnmA//sufS//plaP//rpsG//gapA//degQ//ttdR//ccmE//oppF//dicB//gcvT//gpr//ybbY//gluQ//gabT//qseB//rseP//iraM//hscB//ybdM//pdeH//pdxK//nrdE//queC//pheA//atoC//mreB//ldrB//clpB//aroA//ybiI//guaD//abgR//uidC//mltD//ycbX//glpB//dusC//hdeD//yjjQ//ycjQ//lipA//holA//purR//yiaA//acrA//yneL//gudX//hslO//yadI//dcp//ruvB//yheT//yieH//pnuC//tus//mocA//lasT//preT//yodD//tag//ptrA//trmA//rhlE//wcaJ//cptB//mlaF//rcsA//asd//yfgI//wecE//pyrL//insI-1//mdoG//cusA//kdpE//kdpB//ubiA//cusF//ycbX//ftsW//iraD//yihP//emrK//mutS//uxaB//caiF//uhpA//srlD//ccmF//hinT//dppA//phnI//artI//yeaG//yodD//cca//ydfK//yjiR//shoB//rep//lgoR//hemF//tamB//clpA//phoR//ycjW//tauB//yiaB//mdtC//fpr//sapA//cyoC//dgkA//asnA//
GO_0006811_5	malG//yeiL//ptsG//glgA//yggF//hcaT//yobF//sxy//galM//ydcO//flgC//pitA//deaD//tadA//thrA//mltC//rseB//dsbA//trpE//elaB//asr//rzoD//ydfK//dnaC//prpB//yhjD//rrrD//rfaG//mscM//dcuC//yhjA//yfcF//mutL//aroH//plsC//tsaD//plaP//sufD//dtpD//ftp//nanT//ldtD//csgF//ydcI//ygbI//ynjA//uspB//fepA//ybiH//fliM//marA//asnC//nrfC//gspF//mdtK//tqsA//nupX//dgcF//rplP//trmO//ddlB//xerD//dgcZ//dnaT//mngA//malQ//nanT//rpsD//holA//rutA//bamC//hcaC//leuS//edd//glyS//rplW//rpsL//rcsB//hyfA//kdgK//tynA//aer//htpG//acrB//prfB//ribD//waaY//dmlA//glgS//fliL//tufB//htpX//ynhF//sufA//ilvM//hpf//ddlA//hipB//rpnC//rutA//yidL//sapA//insB-4//rspB//narL//ispG//entF//yieE//miaB//rpsT//ampG//ghrB//lolD//fdoI//cra//yebK//mhpT//wecC//ybdG//ampH//dhaM//srlD//fiu//trxC//potH//sufD//idnO//tynA//yfdR//secB//yciA//frdD//yciK//ygeA//mdh//ldrD//hemA//pdxY//purT//lrhA//murI//lysP//bcp//frr//insK//mdoG//argE//ruvA//priC//dgcT//phnO//kdsD//malY//rapA//bamB//cpxR//ybdN//nupG//aaeA//iscA//flhC//rpmF//yhdH//fimI//rcsF//potH//hslO//ldtC//elaD//menI//ghxQ//pgaC//cspG//csgG//mraY//fliT//lsrR//dppB//ppx//sapC//priA//cobT//ftsE//yadN//aceF//potE//norV//hdeD//aceB//ftsL//ygcW//frdB//rpsB//dinD//rfaH//ybiY//ygbN//yggF//pheA//ygbL//ribB//cyoD//ihfB//yqcC//sspB//yfcA//kch//rng//mpaA//yehA//yajL//yedX//ybbN//oppC//mltD//selD//mdtG//rhtB//yoeE//hflC//paaX//nuoM//tcdA//ybcM//yfbS//yiiM//hokE//mdtC//gnsB//purD//dppF//prmA//rpsE//yghG//purB//yraN//proQ//thiD//tdcR//dicB//lpxT//uxaC//atpA//fecD//ilvN//tusD//treR//bioD//sohB//yoeE//waaA//tsx//ispH//ilvA//yagU//xapR//tyrB//uhpT//xthA//yiaA//rutB//ybfA//sgcR//nanR//msrA//ppsR//hsdM//fhuD//narG//pspG//mlaF//yieE//slyD//treF//yddG//atpB//tmcA//rluF//ppx//dtpA//tauD//plsB//glgS//lolC//panC//ompL//ydeO//
GO_0006812_6	insE-1//znuA//ompF//uhpC//gltS//zapA//gspJ//rpsN//relE//rlmJ//glnH//waaS//sfmF//ytfE//citE//copA//rpmH//rnr//ypdF//rlmF//surE//ybdR//hybC//tcyN//xapR//pabA//ubiF//metF//folA//alaA//gadE//tauA//yibT//eno//zupT//rsgA//tsf//torS//hpt//gcd//yfcS//murA//yqhC//ibsB//recD//oppD//gstA//ulaR//pinQ//rcsD//yobA//bamB//caiE//deoC//rzoD//ftsY//rplJ//fabI//fumA//dicA//gpt//gcvP//fabH//marR//dapD//rseB//puuD//yfiR//cdh//gabT//thiM//rfaB//fetB//pepD//manA//malS//hyfA//fabH//uof//tnaB//rpiA//ulaA//recJ//tomB//ybaQ//yfcA//opgB//fabZ//rcnR//leuA//rpmB//lexA//glk//yehD//yibF//cysQ//sgcE//yiaL//rtcR//aslB//nadA//artM//cspG//ygfZ//carB//csgG//cysA//insI-1//hyi//osmF//ydeT//ribA//potB//murR//mlaB//oxyR//dsdC//tolQ//pfkB//rcnB//waaJ//xylB//yfdR//decR//rfaG//ygaH//mrcA//mhpD//dgcE//cheB//plsX//uxaB//proQ//ppc//ygeX//glpX//dhaL//comR//mtlA//pgm//yegS//citE//sapF//yhcF//yaiW//yhjV//ascG//parE//rfaQ//pliG//secY//truA//mnmG//nfi//metN//purT//tsgA//yfcQ//chbC//wzc//metG//pheP//yhbQ//ppc//yhbX//pfkB//yeeL//glcB//lamB//ispH//lptD//
GO_0006813_8	rplE//dcuS//hycA//dkgA//proW//mdtE//cytR//pdeR//cmk//glxR//rstB//melR//pitA//dicC//aspA//rihB//selD//
GO_0006814_8	yciG//fdhE//ybjN//lolA//galR//lolB//ascG//prpD//menH//
GO_0006816_9	gltI//
GO_0006817_8	rplO//emrD//guaA//yibT//prfC//ubiB//fes//rhaM//tas//
GO_0006820_6	fliM//kch//allS//upp//mdoD//purF//hokE//holA//elaA//proC//rhoL//selU//mrp//yagI//rsmJ//aspC//ybdR//rlmM//yehZ//lacY//hypA//purR//waaL//mepM//acrA//glpX//galU//yphF//sstT//folE//ibsA//norW//ribE//mntP//nudG//pgk//yraK//garR//eptA//oxc//yadN//lgoT//ompG//ydeO//rhtA//rbn//mtlA//gluQ//elyC//yhbQ//murD//hmp//mdtM//sdaC//osmC//dinD//ycfJ//gudD//gutM//ydhQ//yegT//chbG//dnaE//yaiW//wecA//waaJ//rutR//kduD//mglC//ydeT//aaeB//rpoA//thiE//ygjK//flgC//nanT//mdtG//evgA//dnaE//dusB//ldrA//caiT//kdpC//ribA//cyoE//ydbD//nagD//ygbN//ftsK//recF//ygeA//nrdA//rapA//bdcA//lsrK//tsr//dacC//insI3//rffM//phnJ//yfeR//hexR//fecB//xylR//cdd//bioF//hofN//sohB//rhmD//menI//murQ//entS//nrfG//ycjW//putA//artJ//talB//fsr//atoB//fucK//gpmM//ftsZ//rbsR//iscS//frvA//sdhC//oxyR//psuT//atpD//pckA//csgB//apt//betI//mnmC//trmB//fre//patD//tamB//dinJ//cheA//ygaZ//aqpZ//lolD//ypdC//sseA//npr//csgB//yhbQ//ynaI//moaD//arnA//norR//roxA//araF//aqpZ//yjgX//rutC//ldrB//rpsJ//ydjM//gltX//yfaU//gfcE//hyfR//ynbB//kdgR//ycgV//araB//yhbO//uvrD//rstB//lapB//rlmH//mtgA//arnT//rpmJ//cspC//
GO_0006821_8	nadC//ybdR//ttcA//
GO_0006824_8	xylB//leuD//ybeQ//arcA//
GO_0006825_9	yihV//ccmF//pheT//fepD//lptC//paaK//gpt//
GO_0006826_9	cas2//atpB//pmbA//csiD//yhgF//lacZ//yeaD//ypdA//cpoB//torR//amyA//wzb//yeaD//thyA//uidC//oppF//phr//
GO_0006828_9	iraD//yfdR//cspG//
GO_0006829_9	glsA2//ynhF//rffG//insI-2//pabB//edd//ycgB//yfcS//pgaD//
GO_0006833_6	mngB//
GO_0006835_8	atpE//ccmE//ascF//mrp//ynfE//rpsR//soxS//ymjB//torY//ftsB//tcdA//melB//frmA//yagE//
GO_0006836_5	rutG//dppB//emrY//mobA//satP//pntA//exuT//malY//pcnB//pinQ//
GO_0006846_7	dppB//deaD//
GO_0006847_8	ycbX//
GO_0006855_6	arcB//afuC//dbpA//ccmE//ftsI//araH//atpD//ydbD//yiiM//ybgQ//yajR//arsC//oppC//aqpZ//mltD//otsA//frlA//sgcR//mpaA//rhaA//gapA//dnaE//napB//hslJ//sthA//caiT//yeeJ//chbG//dgcM//alr//clcA//yahB//yfaX//lpxK//yeaK//trmI//dosP//rplJ//rsuA//hybC//yfaV//exbB//gntK//rlmE//yadG//ompN//yigL//eutD//mrp//recO//recO//yidE//osmY//sufC//raiA//dmlR//rluB//yegV//
GO_0006857_7	ybaK//rpmG//livG//yehY//pdxK//yejB//rssB//murA//cobU//yhdW//ubiG//phoA//pdeD//glsA1//waaU//argP//yidA//glgS//miaB//rpmG//livG//ydhK//secB//yceO//yebZ//rhtA//rpmA//
GO_0006862_7	glnA//
GO_0006863_7	rpsT//lexA//blr//glpG//cyoB//bioD1//ratA//rhlE//
GO_0006865_6	mqsR//argI//chbG//fnr//hexR//setB//narU//ddlA//rlmI//yehW//surA//ydiF//hypB//yjjU//uspB//ulaE//wbbK//yiaN//recB//yfaX//mipA//yiaU//ispG//napA//cydD//ygaH//glnE//acnA//dgt//galK//btuR//mdtB//panC//bfr//yhbO//yjfF//hcaT//hybD//hslV//kefF//tcyJ//phnL//ackA//ascF//glnD//pspA//hyfR//folM//dgcT//yeeY//acrD//ycfS//helD//ygeW//rplX//cydC//pldB//psuT//nadC//yrdA//yghU//mdtB//yqhD//atpE//cyoD//hinT//hpf//yfaX//mrcA//feaR//yfbU//hybA//tusA//
GO_0006868_7	waaH//ghoS//ansB//
GO_0006869_6	idnD//insA-1//hpt//bamE//yidC//yqiI//yodD//ccmC//thiM//ttdB//fruA//ybdG//thiE//gutM//pflA//pdxH//chbA//ppk//flgK//caiT//yehP//rfaC//mglC//
GO_0006873_5	torI//mdtI//rluA//dgt//yddA//nlpI//hdhA//afuB//lhr//aroP//kdpD//rpsR//bdcR//ompG//phnI//rfaE//pgpB//rplP//ybdG//plaP//zwf//yahF//oppF//pagP//rpsJ//mmuM//recT//dapF//ais//mglA//
GO_0006874_8	lsrK//
GO_0006875_7	tolQ//tas//endA//mepM//proX//dtpA//tolA//lplA//nfuA//sgbH//rplO//prpC//secA//waaB//pyrD//accD//uxaC//insI-1//ssb//feaR//iscU//
GO_0006876_8	cnu//
GO_0006878_9	lyxK//rplT//crp//mgtA//uvrD//
GO_0006879_9	hybO//yibH//cra//atpH//tsaD//cstA//chpS//nikA//bfr//yfcR//fepD//
GO_0006880_4	cspB//dgcM//rffH//
GO_0006882_8	djlC//
GO_0006883_8	hyfR//yagG//sgcE//
GO_0006884_4	yiaO//clsC//cptB//dcd//rplN//
GO_0006885_9	zapD//agp//fdrA//glpG//hrpA//ybaT//frmB//phnK//tsf//hemH//gltB//
GO_0006886_5	mnmC//bisC//amiB//tnaB//trmI//xisE//thiQ//gph//patA//yhbX//cydB//
GO_0006928_3	fepD//udk//rlmB//mmuM//yebG//purL//rluD//yihO//iap//cyoC//mhpB//mdlB//dhaK//sapB//lpxC//comR//hflD//evgA//ribC//pepB//hyi//alsA//betB//surA//ansB//panD//dld//paaZ//uspB//iraD//argP//selD//btuR//pyrG//ybhD//btuB//tatA//ytfR//hicA//coaD//mdh//rfaH//lpxT//tcyP//
GO_0006935_4	yjcO//chaA//pdeR//yfjR//radD//yfeW//nanA//sfmA//codA//ycjD//selA//dedD//rbbA//treA//dmlR//hslO//
GO_0006950_3	dut//ygcW//oppF//hcaE//sseA//ldhA//torS//tolA//yehB//mtgA//argF//dppA//rpmB//dedD//cbtA//insK//bglH//entE//ycjR//perR//rsmC//hemD//mdtK//flgM//xapA//pykF//focA//agaS//artP//tcdA//fhuF//pphB//ydbD//intA//dinG//rnd//aroB//speB//fadM//hflX//gpsA//lolC//hslV//yjjX//feoA//lpxT//hemL//treC//dapD//rzpR//aroD//cpoB//ihfA//yjiA//allC//xylA//fryA//yhbY//frlB//casB//fabG//sanA//uhpB//prc//ahr//gltD//wzyE//pyrE//yhdZ//pstC//cynS//ydjE//mnmE//cspG//yrdA//nusA//kbaZ//uacT//yihX//ybaT//narH//skp//ybiH//kgtP//tauD//yjgX//rsfS//sanA//fabH//ybhS//glnS//mglC//ybcC//waaC//puuB//ssuD//tdcA//menI//thiE//chbF//acrD//ybeQ//elaD//wza//ulaG//msrB//ydfH//folM//cydD//nrdE//ycbB//nudC//csrD//rsmA//metB//panE//grcA//cnu//ptrA//trmO//edd//fnr//paaD//azoR//yqcC//uvrB//aceB//hypT//ppc//purU//kdgK//rpsH//idi//folM//ygjR//cyaA//arnF//yphD//nhaR//alsE//mlaB//acpT//yafQ//aroK//hscB//wecB//potI//ybfE//hycH//ymjB//feoC//fhuB//rplE//ybdR//kefF//gapA//waaB//wecA//dppD//fliA//ydaN//yjhP//potB//znuC//yhiM//ygdG//hflK//wcaB//rcnR//livG//araB//waaQ//yfiE//yciH//ymjB//ptsG//yfiF//marA//hscA//dtpA//rpiA//perR//emrE//fruA//pfkB//insH-6//xapB//yiiM//yciG//yeeJ//higB//appA//glpB//ybiJ//erfK//xanQ//cusB//yieH//relB//cyaY//ftsL//rnlA//rutD//glvC//infB//dadA//higA//rlmM//ybhF//nrdF//sfmA//bamC//gatY//flgD//fdnH//feaB//ptsN//cyoE//pdxJ//ahpC//narJ//fryB//abgT//melR//dppD//tmcA//agaW//blr//agp//tamB//aceB//recE//cas3//ygbN//cyaY//ldtB//mngB//ynhG//hyaD//bamB//yciH//ptsH//ileS//caiT//narP//yegS//yfeR//pyrL//ibpB//rplS//ybiH//kbaZ//narI//prlC//elaB//mlaC//rssA//sseA//napB//sfmF//rfbB//yihO//hisP//oppC//hipB//gnd//uacT//insI1//yciG//frwD//msrA//yqgB//ugd//yecS//bssS//ompW//fliT//paoC//nudB//ulaF//manA//glgC//ydhQ//uxaC//ruvA//dhaK//tilS//ydcI//rpsS//caiB//cusA//hyfR//cutC//sgbU//bluF//gadX//nadC//pgm//hcaD//glnA//tus//putA//ykfI//pyrL//ltaE//moaA//asnS//ruvA//hyfC//rfaD//glcD//pdeF//sfmA//ytfP//mscM//folC//yqjI//glyS//gshB//ybhG//yhjC//glyA//pgm//tas//malF//ulaC//sufA//rodZ//rimK//nimT//eco//pdeD//glsA//glpK//yagU//casB//cusS//murI//waaH//dgt//narI//hemF//ulaR//caiE//cof//asnC//yabI//yceO//yagF//torA//ibsB//dnaT//ygcO//iap//ybjX//sfmD//glpB//phoP//intA//luxS//astB//hemG//dadA//gabT//zapA//rbfA//pdeK//yadV//mdtA//envR//sutR//tar//cdh//yfaE//lgoT//tomB//atpA//ettA//yhdW//ydbK//barA//gsiB//malE//pspG//phnL//aroF//higA//rpoS//ycjU//prpD//yhbO//dcuB//malQ//rzpD//csgG//nanA//rihC//hslR//yjfF//cbeA//ybhJ//fhuD//kdsB//fadE//kdpA//fadE//bfr//ccmD//comR//pagP//ydeO//thiD//ygjK//mdtO//yfgI//dsbD//ybhD//efp//yagI//gudX//recR//flgM//dauA//mrp//nrfE//proA//deoB//rsmG//yheT//uacT//recT//gcd//grcA//recT//carB//yehC//sufE//tolB//potA//ygeV//agaW//apt//uhpA//eamB//csiD//slmA//yggW//cysU//mcrA//mtlR//yraR//selD//hcaR//yadI//epmC//ybdG//rho//mlaE//kdpC//yddL//lptD//parE//purB//ycjU//htpG//hcaD//purN//tdcE//dapF//fadI//dnaE//ydiB//ybdH//epmB//secF//yhjX//holA//mutT//pstC//tar//ybeY//acrZ//
GO_0006952_4	yaaJ//tyrB//mraY//ulaB//cysD//oppD//nagZ//yciE//yjfP//cyoA//yhbY//evgS//
GO_0006970_4	abpB//dinB//barA//cmoA//gadC//greB//ydjM//lptG//plsB//mukB//csrD//rpoA//yhaJ//rpsT//bglJ//lldR//pstS//tauA//ilvH//cheY//rimK//gltK//nrdF//glpA//aphA//dsbG//wcaC//phnJ//glgX//ptsH//radA//rimI//metE//rihB//ygdG//tdh//speB//rimP//
GO_0006972_5	grcA//hrpA//nlpI//murF//yfcF//ftp//idnT//yghO//exuT//cusR//satP//garP//yciV//cydB//
GO_0006974_5	ygjH//accB//secD//thiH//rna//yjjQ//mnmE//chbB//rpsA//clpX//hycB//frc//copA//avtA//yjjV//elaB//hscA//mntH//dpiB//mhpD//yhhY//hcaB//infB//mngB//fkpB//hybO//chbR//nrdH//rplA//pdxA//rlmH//phnP//yejF//soxS//glpT//ulaE//mlaF//fabB//ibaG//menD//cheZ//afuC//rbbA//yagI//caiB//entE//yhhT//rzoR//yieE//puuC//cedA//ftsW//phoU//cpdA//arsC//xisR//malI//cheR//yjhG//cyoD//rcnA//hslO//hicA//eco//hdeB//rpmA//secD//rapA//nlpA//ddpA//edd//xdhB//yggT//glpB//leuS//fliM//hisH//tisB//ulaG//ldcA//dapB//yagU//yggE//gabD//cobB//yafQ//nlpI//lpxT//xylB//ydiV//mngA//metI//lptD//gltB//yigB//nlpE//uidR//tar//idi//atoC//ibpB//srlR//yohD//moaE//fepC//dgoA//fimZ//ilvE//gmk//glvB//xylG//fdrA//btuE//lgoT//thiM//pgsA//arsC//ybdZ//adiA//nuoF//rmf//galE//ldcA//uhpT//ygfA//rplC//gltB//yibT//hflD//gadW//mdtF//cheR//galS//mhpA//yfeO//cycA//pdxB//hybE//yggP//insI-1//tnaB//cstA//ygiW//topAI//waaJ//pncB//wzb//ulaG//sfsA//sapF//cyaY//yihI//yeaV//marA//groS//yefM//sfsB//yfcQ//rpsQ//glpT//gltB//intZ//puuA//hfq//aceK//rbn//glgX//pyrE//appY//melA//agp//ybbY//atpE//pfkA//clsA//rnhA//yoeE//ypdC//waaC//evgA//lldP//fadD//ygbN//murR//ybeF//hxpA//alkA//bdm//panB//dtd//ykfI//yiiM//yciE//pdeH//ppiD//lysC//cusF//uup//mhpT//appB//queF//ompL//lsrK//purC//coaA//pcm//yqiI//ybiX//ybhD//ygbN//dusB//rfaG//bglB//sfmA//minC//ybcF//gpp//slmA//dcuB//yifB//yfgI//yeeJ//proS//rlmE//hcaR//ybcQ//ynjA//ygaZ//hisG//nuoL//glsA//luxS//envC//mlaC//ada//amiB//fumA//mdtN//yhbX//yeeY//ubiF//menC//treF//rutB//mprA//opgB//
GO_0006979_4	ybfE//yggX//era//rtcB//cas2//btuE//aas//aaeB//tdh//bsmA//miaB//yodD//rpmF//queE//ribE//trkA//ycjY//rnt//sapB//napA//spoT//speE//pck//cho//nagC//ldtB//sixA//nrdR//uspF//betT//kdsB//narV//hupB//ilvM//yegS//dut//entC//polB//ygfI//hdeB//ttcA//ybiO//hofM//ytfE//fecD//lpp//ubiD//sutR//csgB//mhpC//pabC//cadC//htpX//adiY//fumA//nagC//bioA//ddlB//znuC//kbaZ//cutC//yehW//zntR//rplS//dapD//cobS//mhpB//hcaB//dadA//rnhB//fabB//yejA//ycfJ//glsA2//mdtA//insI-1//sbmC//asnS//napD//hcaD//proQ//hflC//flgI//yehD//gyrB//satP//
GO_0006986_5	nuoE//rpsM//nhaB//yfaV//gloB//galT//
GO_0006995_6	ykgA//atpD//
GO_0006996_4	rhaD//moaB//speG//djlC//acpH//bioH//dps//mzrA//fimH//astB//bglX//abgA//btuR//ftsE//prlC//dusB//ybaO//ulaD//psuG//elfC//nemR//lptA//serS//djlC//trmH//trmH//frsA//rpsR//mpaA//fimE//sbcC//hldE//rzoD//nrdB//phnN//caiB//yhbY//dtpB//pta//
GO_0007010_5	ispB//
GO_0007059_3	bfr//cpdA//yggP//comR//norR//fimH//chbF//asnB//dgoK//agaS//
GO_0007062_4	mlaC//pepD//aaeA//fepE//
GO_0007154_3	kefB//yehU//argC//nagC//araB//lgt//lacY//frr//emrE//setA//ydeT//lpd//rhaD//uvrA//yjtD//yjjQ//yfdK//trmB//rpsD//waaO//yfdK//gltI//hycI//yfdK//fucA//asr//trmJ//lapB//amiB//ivbL//torZ//ybfE//ccmG//glnD//thiD//ygiB//fecD//dnaA//pdxA//sgcA//fadE//glcF//nsrR//trpB//aroF//bcsA//chpB//yhdH//wrbA//glcC//rutF//modB//ridA//torR//dppD//
GO_0007155_3	mcbR//hslJ//rnb//yfjV//tatA//fliZ//rfaB//ybhP//cusS//tbpA//mtr//rpmG//ymfA//qorA//srlB//glpX//ydcM//grpE//acpP//glxR//dsdC//ynfE//sspA//recF//rluE//skp//rclA//nuoN//ycgR//eptA//hyaC//dnaA//gnd//arcA//pdeH//
GO_0007163_3	pldB//
GO_0007165_3	lptE//kdpA//dapD//rfaQ//dgoT//hypC//ydbD//lipB//yiiM//ybiX//hycI//glsB//preT//leuD//yggX//uhpB//paaA//yjjQ//roxA//argH//trmI//trpC//yhcN//cysA//wzzE//cdgI//sufA//hemN//ydhJ//ybhS//yqaE//lepB//yagF//yciF//pgpC//glpG//yddA//hipB//frlC//pphB//rfaF//ycjR//kdgK//tdcR//hyaA//rpsM//ftp//rimK//cheA//bioP//sutR//pykA//aroH//hicA//yehB//yjcO//yfiF//yfgO//cydB//rpmF//
GO_0007166_4	hypC//mnmE//yfiR//fepA//
GO_0007215_5	rusA//nrdD//cirA//yhaC//
GO_0007231_4	yhjD//
GO_0007234_5	bioP//
GO_0007267_3	soxS//sfsA//
GO_0007346_6	yebK//ybdM//aphA//
GO_0007584_4	yedA//ruvA//yafS//dgcF//
GO_0008033_9	ndh//atoS//zinT//ymgF//truD//glsA//rsmG//solA//rutD//baeS//ynfF//bioF//rhoL//yciA//ubiH//pdxY//allB//ppsR//ycjU//rmf//pspC//oppA//yiaM//betI//hslV//yfcG//bcsA//xthA//yehY//rhaR//ratA//melB//cutC//queF//mreC//rlmD//ydeE//mscL//argE//udk//metB//rnc//blr//ubiC//fau//leuC//galU//yjeI//yfaL//cbl//ispB//ynfH//sdiA//yfdG//murF//tatB//
GO_0008104_4	scpB//yphF//rluA//rbn//exbD//ygaH//csdA//macA//fabI//edd//deoC//yhbX//tatB//tatE//dinJ//insE-1//fepD//ftsH//rpsB//grxD//panC//cusF//uhpT//yhaM//opgD//pfkA//pdeH//glpK//hyaD//hprS//nadB//yjhG//mdtP//proB//carB//treF//ugpA//glpF//yciK//rimM//mscM//ygbN//lysA//idnT//trmA//murR//accC//mmuP//thiQ//
GO_0008156_8	ilvE//dsdX//narU//mdtB//tdcB//aspA//
GO_0008202_5	pspG//
GO_0008206_5	yfgO//
GO_0008213_7	msrB//uup//yfdC//tdcE//aceF//putA//ybcQ//trpC//
GO_0008216_5	pheT//ybdG//uraA//
GO_0008219_3	pgpB//guaB//manX//tpx//ygbN//csrA//cmoB//rsfS//ebgA//citX//pbpG//yafO//tdcB//ptsI//pspA//
GO_0008272_6	melR//ydcO//yiiM//infC//xylB//dapD//nrfB//
GO_0008295_6	rplD//ddlB//hexR//
GO_0008299_5	recO//kdpA//manA//setC//caiD//eptB//
GO_0008360_4	mlaD//idnK//ssuD//rimP//lptG//fruA//ykgF//yhbQ//dmlR//hupB//ispA//yddG//rpmA//selU//wza//dnaC//
GO_0008361_5	aphA//ybbN//feoC//mngR//helD//
GO_0008380_8	sapC//
GO_0008610_5	epmC//csiR//ribC//gspI//galP//hscC//zapB//gatC//trkA//bacA//alsC//ypdB//rlmE//pth//serC//matP//yfiC//rlmD//gshB//appB//cbpM//mrcA//emrD//glpX//cysQ//yddA//yfeW//lasT//sapB//clpX//wcaJ//yabI//alkA//lspA//sucD//rpsI//abgB//queC//cobC//caiF//nikC//eutB//thiL//caiT//crr//rffG//cysI//puuR//tsr//dnaT//fabZ//cusB//livJ//secY//yadG//envR//hflD//yidP//fryC//kefF//prpD//yfhH//malP//bglJ//ydjL//mhpA//mscM//
GO_0008614_5	ydcT//ruvA//psd//gyrA//sufA//rnhB//adeP//
GO_0008615_6	yddG//yajL//fixC//yfcR//argK//helD//yfcP//
