#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	puuC//rplY//artM//fadB//
GO_0009060_6	caiE//yhbS//yfeR//yhbS//zapE//purN//glyA//dinJ//ilvC//modA//solA//yagE//cbrC//pitB//rffH//wecE//acrA//macB//ygiW//yadC//pliG//tsaE//rhtC//hofP//ihfA//pcnB//
GO_0009061_6	lgoT//kilR//glyA//mcrB//ampD//rtcR//hisB//tamA//serS//ruvB//cusR//prkB//fadL//asnB//ymfK//nagB//fdhF//hcaF//pyrD//sanA//glgC//ykgM//fabR//acrE//ynjD//paaJ//pspA//xerC//iraD//ydiV//rplK//thiI//hfq//lrp//wzzE//malY//lpp//treR//pta//torI//sspB//gcvH//ypdC//yraI//rstB//xseB//ugpE//yeaG//surA//fklB//cspI//potH//serB//dcuC//cbl//
GO_0009062_6	mqsA//mtn//yddM//shoB//gadX//lhr//nudB//znuB//kbp//ushA//yjcE//rusA//pyrD//csrD//cheW//msrA//mepA//soxS//ybiA//yfcR//rnhB//
GO_0009063_5	argD//dinI//ynfH//dgcT//nikB//tdcB//leuC//cheA//alaA//nlpD//nrfE//yaaY//gsiD//nanR//chiP//srmB//ogrK//tdcE//ulaF//yraK//frc//ybiS//frdB//phnI//dcuC//fixC//yrdA//cydD//mrp//ssuA//prpR//yahF//yjbF//ybcF//allB//rpoH//hofQ//groL//hipB//glvC//atpB//glnH//mcrB//dmsC//bamE//xylB//rsgA//fbaA//hofN//flgJ//dacA//yabI//cfa//ydcP//xdhB//
GO_0009064_6	yddG//yagI//fimB//fadE//manY//aroE//ispF//gspF//nudG//azoR//cmoB//katG//pdxK//hprR//tas//recN//rihC//cysZ//cueO//artQ//ycfS//rssB//ybhG//nrfE//fliL//mtnN//mgrB//hupB//agaB//rlmJ//dacC//epmC//lipA//crcB//frc//sad//hslO//pepD//queA//ychF//lysU//rcnA//trmA//rsmF//ybiI//ulaA//
GO_0009065_7	rusA//ibsC//hpt//cysS//mpaA//cdgI//hemA//ispB//rbsC//truB//lplT//tonB//rplQ//yojI//yraH//mrp//yiaT//yagE//
GO_0009066_6	tamB//appA//kdpD//cspA//malG//msrB//guaD//mngA//argB//yraJ//clpP//trpE//mdtG//dauA//ymgF//ynaE//yhgF//yjcO//brnQ//add//aroB//serS//thiE//hemF//ynfF//ndk//ssuC//fkpB//nrdD//pgk//ptsG//gppA//kdpA//glnH//radA//ldcA//cyoB//sfmD//betI//narU//yeaE//wzzE//proW//ilvM//treA//rplL//yieE//puuA//
GO_0009067_7	eutK//pabC//astC//hscC//mog//yjbB//yoaB//insA-1//rzoD//yfaE//glcC//ampD//yeiL//arnF//rnpA//argK//topB//cysN//marA//arnE//rlpA//fecA//ibsE//yihO//symE//rrrQ//
GO_0009068_7	nuoE//hybE//agaA//dtd//rplB//mtlR//yfcQ//betT//lepB//acpS//yoeE//ibpB//recN//
GO_0009069_6	nanK//sgbE//treF//hscB//hyaB//xapR//secE//yafQ//rph//yciK//uvrB//yraJ//lsrC//fumA//gatB//yoaB//bacA//napF//fruA//sgrR//deoB//ilvM//efp//ilvI//rpiR//kch//pgrR//ygbM//oppD//sbcB//ndh//ais//moaA//pepN//yfbS//rluE//
GO_0009070_7	rbsK//matP//pinE//malQ//alsC//tsaE//dsbC//yphB//mscS//panB//fimB//yhdZ//entE//ydcP//marA//ugpE//ptsI//torS//cysS//narQ//
GO_0009071_7	mglC//pgm//waaU//yqaB//puuD//yceK//puuE//prpR//focA//yidK//fliM//ppsR//yceO//rfaG//
GO_0009072_5	epmB//dmlR//yhbY//frr//recX//yahF//glgS//alpA//yggD//pal//accC//ykgO//intA//ykfI//ydcR//gfcE//yfcU//nhaB//hicB//arnB//amiB//rzpR//ycaN//entE//
GO_0009073_6	ybiI//cueR//lpxK//mpaA//nuoG//gatA//asnA//pgm//bluF//nrfA//zntA//wrbA//pyrG//fnr//cdsA//recJ//ycjR//mrr//yfcG//araC//malG//
GO_0009074_6	glnS//comR//minD//
GO_0009078_6	ortT//rnd//groL//ruvA//ydfK//chaA//coaE//
GO_0009079_7	argS//ghxP//csrD//pgpC//
GO_0009080_7	ptsI//tusB//nrdA//
GO_0009081_5	ghoT//bfr//pagP//pgaA//rclR//yihV//spoT//eamB//tnaC//tdcG//rdgC//kup//pitA//dkgB//rpe//clpA//cvpA//torS//puuC//dmsB//pepD//radA//
GO_0009082_6	truC//yihS//arnF//bioD2//hybE//rplS//yiaJ//cmtA//guaA//tmk//glgC//cysD//phoU//yfcF//ade//casE//mhpT//mhpA//
GO_0009084_7	tehB//phnH//rsmE//dcuA//waaC//kefG//rhtC//patZ//entS//rpoS//gltL//spoT//araD//cysP//dgcM//kbaZ//ydiF//aes//copA//clpS//ydiQ//clpP//gapA//dedD//tatA//
GO_0009085_8	cpsB//zntA//grxD//sixA//emrY//adeQ//yoeE//exoX//arsB//copA//fliD//radA//
GO_0009086_7	fliG//clsA//yeaD//crr//codB//cusR//insA-2//gmk//gsiA//
GO_0009088_8	frmB//kdsD//
GO_0009089_6	ycgB//lipA//pspD//glvB//marA//nuoM//xanP//gltK//hscA//
GO_0009090_8	ydeO//rutE//yhjA//malZ//
GO_0009092_7	pspD//chpB//rtcB//yjcS//hypT//sfmA//
GO_0009093_7	hybO//mltF//nlpA//yeaE//pepA//
GO_0009094_6	ypdB//tisB//yibF//yhaJ//
GO_0009095_7	rmuC//evgA//yceO//cysW//
GO_0009097_7	scpC//yjiX//rrrD//yehB//kilR//fabA//der//
GO_0009098_7	dgoT//tcyL//glmM//prfC//panE//caiT//trpE//
GO_0009099_7	glvB//corA//rsmD//entS//lnt//frdA//ibsC//aceB//insK//flgI//
GO_0009100_5	yfeR//comR//ugd//insK//waaL//
GO_0009101_6	kdsB//
GO_0009102_6	nhaR//hisH//dppA//rlmE//ompT//fis//glnK//ybjN//ydaN//fabH//nanA//ais//dapD//
GO_0009103_6	rpiR//sxy//udp//cusA//wecA//envZ//acpS//araB//rplK//groL//pabA//
GO_0009106_5	tisB//fklB//
GO_0009107_6	yciH//rcsD//
GO_0009108_6	fimG//yfdO//sad//rssB//ispG//rcsD//rlmI//yqaA//norR//fabR//aspS//msrP//menE//rfaD//qorA//sgcX//efeO//ybjL//glpC//ycgR//xdhB//gabD//prpC//yiaU//pnp//pyrB//rcsD//fdnH//cynX//ybhD//cbrC//envR//kup//norW//dnaN//nepI//rihA//mlc//fruA//accD//chaC//cysN//hupA//arfB//yhfK//rhaA//ftsK//lspA//thrL//ygfI//ycjY//yehP//rpsI//osmF//pgaB//ftsH//rbsB//flgK//wcaB//cueO//azoR//ydbK//rsmD//yqcG//pflA//trpL//focA//thiL//endA//entA//ddlB//dnaB//gsiA//ychH//purD//yjiR//arnF//entF//xseA//hscA//pdeR//casB//uacT//upp//ycgR//fdoI//yebC//rhaB//frwB//fadR//rzoR//kdgK//frwC//yqeG//rsmD//mltA//rssA//yhaM//nuoG//ada//melB//mtnN//fucO//nanS//dcuD//trpS//pcm//ygfZ//ykgF//tolR//
GO_0009109_6	metB//dnaE//tyrR//rpsS//fumA//
GO_0009110_5	rph//evgA//gloA//trpE//eptC//bisC//argD//gapC//ascB//fic//ybaK//yaiV//ybfA//emrD//ypdA//hcaC//gsiB//kefC//lsrD//xseB//ivy//hrpA//xthA//corA//ccmD//bioC//napC//yadN//nfuA//dsbG//cmtB//miaB//atoC//nfsB//mdaB//manA//yneL//yhhY//yjbE//tatE//artP//pyrD//nanT//yehD//mfd//pnp//leuO//lysC//napF//hypC//frlR//rpmC//gmhB//sdiA//yhaV//nudC//kefG//
GO_0009111_5	psuT//fimF//yoeB//lptD//
GO_0009112_5	yqaE//norW//clpS//yggW//csrD//ptsP//tas//rhaR//trpGD//yihP//dhaL//prfA//cynT//bdm//kdpE//ydjK//dgoA//rcsA//mdtL//cpdB//ftsN//yqjI//tsgA//pgpB//dadA//cspG//prkB//trkG//ydcZ//chpB//csgD//etp//modC//bioD//lasT//glmU//
GO_0009113_5	btuE//ulaA//yabI//mhpT//cho//
GO_0009114_8	yqaA//
GO_0009116_5	yhbS//trmO//ccmE//hflX//pepA//selB//yhfK//nimT//ubiI//yihT//tcyN//btuC//soxS//yraN//btuR//sspA//accA//paaG//fimC//trpC//dicC//aphA//yafS//mliC//rpsR//hofN//hemB//metG//cdaR//mipA//yfaE//nrfE//yhcD//ubiF//yedF//rimL//dcp//mraZ//tqsA//appY//
GO_0009117_6	yagJ//citE//cpsG//tynA//thyA//rhsD//cusC//sgrT//menA//hinT//ybiY//tyrR//ydcZ//zur//waaG//glpR//viaA//sufC//ymgF//zitB//trpS//asnC//yqiJ//narJ//surE//rpmE//yjaA//mreB//fadA//tynA//bglB//ubiA//tatD//preA//gsiB//ykgO//glcA//dcd//endA//rsfS//dacD//rpoE//uspF//nupX//holA//rplF//epd//pykF//yabI//glgC//acrB//moeB//hupB//gatY//chbF//umuD//thiD//yfcQ//nuoB//nadE//lplT//cho//rayT//topB//yphB//ptsI//leuO//wzyE//sufE//nhaB//phnN//argR//potA//nudC//murR//ytfQ//bdcA//acrZ//elaD//pheA//satP//garP//hofM//decR//fumA//allS//rapA//nanK//ttdT//ssb//yciH//ompR//alkA//fadR//cadB//ftnB//rhtC//yfbS//nusG//proS//sfmH//trpS//yccS//rbsB//
GO_0009119_6	yddM//edd//ugpA//narZ//secE//yehW//tktB//mdtJ//mscK//truD//eutR//cyoC//yfeW//ybdM//mdtB//yfeX//hsdM//dsdX//rseB//cpdB//yhiM//ugpA//cspC//baeS//glpD//yfcU//ybdG//gshA//ydiV//yfjR//caiT//csrD//hldE//ydcS//gdhA//
GO_0009120_6	aroK//rsuA//potA//rffM//
GO_0009123_6	otsA//mutY//ortT//ydgA//ispA//mcbA//rsmA//luxS//insK//kduD//rpoE//basS//ilvA//deoC//erfK//infB//allR//tusC//yijE//agaA//rpmF//relA//glnS//fabR//dmsC//bepA//rhoL//ycgB//yagF//phnJ//insI1//thiE//lptD//arcA//pspG//rlmN//nuoM//ybiJ//yfeD//intA//lpxD//glpF//secA//lexA//speE//acrZ//
GO_0009124_7	argG//paaA//yfbS//slyA//cheW//pgi//lgoR//suhB//recD//phnN//pabB//fabD//pdeR//aphA//mntR//kup//pfkB//purU//dcuB//sdhB//avtA//gmhB//ptsG//pyrC//nfuA//nudG//dsbG//hcaE//alsB//csgG//yggX//kdsA//mltD//ggt//frlA//narJ//mioC//
GO_0009125_7	pinQ//sfmA//ibsD//tdcE//sgcE//
GO_0009126_7	uidA//galU//asnB//clsA//adeP//hypC//yafN//pdxA//sufE//ycaO//ymgA//deoB//crcB//eutA//glpR//prlF//puuD//dapB//alaC//xseB//ulaE//pheM//rimM//gadE//appA//ybiT//mdaB//panF//selU//fkpB//truC//guaD//ssuB//ftsA//
GO_0009127_8	hybG//xylE//dmsA//yfdO//modB//rfaC//yidK//aroL//priC//yjaA//yagI//nikD//dgoT//hisA//lacY//yhbX//opgC//yehP//aroP//rutG//tag//truB//ytfE//tolR//lon//yghU//dxr//pth//ais//ybbY//
GO_0009129_7	gcvA//rraA//cfa//prfA//nlpE//holE//yfaU//acrR//rpsA//ydiO//
GO_0009130_8	gsiB//nlpA//agaW//hycB//acrR//
GO_0009131_8	nagK//cas1//fhuC//ybcL//emrK//
GO_0009132_6	yciH//zapD//recC//rfbB//ycdY//purD//hypC//waaS//adiA//asd//ydaN//mdtQ//uvrB//yeeO//yfcP//glnS//tauB//malI//yjiA//ompN//nirC//pspC//sodA//frmB//rbsB//
GO_0009133_7	viaA//ompC//ytfT//
GO_0009135_7	cysD//trkH//qorA//hemA//aer//rluB//lacY//treC//adeD//tnaB//murQ//sppA//yafC//yobA//ybiV//ynbC//fruB//arcA//yfaU//tnaC//argO//yifB//yacG//
GO_0009136_8	dgoD//
GO_0009138_7	rclB//ascG//
GO_0009139_8	ybgI//argE//
GO_0009141_6	glrR//yehB//ycgR//cusA//ydbD//cdh//speA//chpS//cmoB//arsB//ydeM//idnO//moaC//lrhA//gloC//cvrA//ddpX//ydeP//ccmF//ompL//frdB//rluA//rbbA//gntK//pntB//priA//envC//fumA//pgk//amtB//yhdJ//hpt//uvrD//phr//thrC//recA//topA//trmD//
GO_0009142_7	yfhH//ilvH//csgB//rlmJ//cysP//gabP//ldtD//mfd//cysZ//sseA//yfcV//alsK//rpiB//ghxP//rplY//yieH//wcaJ//yjhP//ampE//iap//sbcB//fadI//galS//uspF//kdgR//rtcB//yfjV//gadC//
GO_0009143_7	tyrS//emrK//uxuR//yehT//
GO_0009144_7	yfbU//rlmJ//yedF//tbpA//hycA//yjiM//groL//eamB//alpA//prpB//fdhD//ldtE//glpF//dsdC//fucP//bdcR//ydfH//nlpI//ymdB//ygeV//rpsH//yeeL//lysP//rssA//gshB//pbpC//kilR//sgbH//ubiE//dmsA//nac//
GO_0009145_8	uof//sfmD//ytfT//cadB//ybeQ//ldcC//lysA//cobB//pepA//trmI//umpH//kefC//caiE//xapA//tauA//talB//ibpA//mgtL//ftsA//dxr//mtlR//ychH//modA//
GO_0009146_8	mutH//rmuC//
GO_0009147_7	tsr//ulaR//serA//yhjA//
GO_0009148_8	clpP//rsmD//
GO_0009149_8	ytfE//nadD//
GO_0009150_7	trkH//accD//csgF//dapF//otsA//rhlE//speA//gltP//rhaM//matP//mraY//ftsZ//lsrR//ppx//slyD//yhbQ//pgl//yoaB//ompA//iclR//coaA//bcp//rhtC//oppB//citG//recX//rbfA//tufA//betB//amtB//nuoI//tsaB//rnpA//asnS//pgpC//kilR//ttdR//yqeG//psd//fepC//pflB//tolA//nsrR//ftsH//sapC//folD//topAI//yciA//
GO_0009151_7	tsx//malY//
GO_0009152_8	entB//dcuB//ydjM//prs//hofP//dmsA//ibpB//nlpI//betA//bioC//mdtB//pyrL//ybiT//gnd//sodA//ilvN//rlmL//recF//yagI//yeiG//yejB//bamD//ydjL//kdgK//hycA//yfaX//rclR//yihI//plsX//ygfA//ldtD//rutG//kefB//malG//gsiA//yhfS//mltD//
GO_0009155_7	rimK//lysA//
GO_0009156_8	yhjX//gadA//yojI//rplS//rplB//yfaV//yhjC//yciH//sulA//amiC//yahF//mngB//ygjH//yaiW//thiI//gabD//rmuC//truC//mutM//cobB//ldcA//sulA//ygfZ//mqsR//yibH//ycjY//nadE//lolB//sapD//fhlA//kgtP//pspD//moaA//
GO_0009157_8	cecR//proP//gcvR//dctR//
GO_0009158_8	phoP//yfjV//holE//dgoD//ptsI//
GO_0009161_7	iclR//secF//fecB//abgT//nikE//appB//yraJ//xerD//waaZ//yneJ//waaB//fucP//hslO//abpA//gatB//dosP//lolA//rdgC//ydcS//prpB//elaB//ascG//yqaA//cirA//yahO//aqpZ//bdcR//rluC//mtgA//ilvH//hslO//lipB//fhuC//pdeL//prfB//lplT//xerD//bglF//ftsX//rseC//clsA//tdcB//
GO_0009162_7	ilvA//fimB//ybjX//srlD//
GO_0009163_6	yfbV//phnL//fadL//bacA//actP//gnd//glcD//cra//yjfP//gltL//ycfJ//hisF//dusC//yddA//ydeP//ampH//yhaC//ada//adk//
GO_0009164_6	araF//bcsA//nhaR//yehD//nfsB//mutL//rlmF//acrA//yagJ//osmY//ftsW//ibaG//mltF//
GO_0009165_7	yhjA//rsmG//ybjD//ybiT//rpsA//ygjH//speF//tyrA//dsbB//ilvH//argP//ligB//ydcI//ybdH//sutR//folP//alsB//napB//mhpA//fepE//ilvA//katE//dinI//degS//ibsB//ispA//hcaF//fhuC//flgM//pyrH//deoA//deoR//rcsA//yceO//atpG//crr//purT//ybdO//hyaC//tcyN//yjiM//mdtP//mhpA//ycfS//selU//rutF//pyrL//cysS//aphA//hslO//ompT//ugpE//sufC//ascG//fdhF//wbbK//phnG//trpE//ligB//bioP//yiaM//cadA//yhjA//mrr//smpB//gapA//cyoC//hofO//yceK//oppF//rluE//
GO_0009166_7	zapC//gabT//yafC//malQ//yiaM//mreC//osmY//uvrA//sthA//yahI//rffG//oppB//rplB//bssS//argG//ykgA//rnt//ygeV//aphA//rsmG//sgcR//sdhE//purT//rutC//soxS//atpF//ftnB//acrD//csgD//btuB//rssB//
GO_0009167_8	grcA//torD//yjiY//hrpA//dtpC//hypF//yafN//galK//yehC//basR//dhaR//fecD//citG//bamA//adiA//slmA//cbl//fimF//fliZ//ubiD//epmA//nupX//tatA//purU//mhpB//rnlA//dnaK//bglB//rseC//uspG//lrp//lolC//thrA//rcsB//
GO_0009168_9	hisA//idnK//sdhD//glnL//msrC//pntA//argF//dcuC//bcsA//hdeA//prpC//lgt//puuC//lacI//hemC//galE//intE//rarA//pnp//yejA//gadC//ldrD//rcsA//ibpB//opgE//yebG//sppA//ygbN//nimT//ulaC//
GO_0009173_8	fimA//yhfS//pth//rsmD//panB//ygjK//ybaQ//
GO_0009174_9	ppc//tyrB//
GO_0009175_9	mog//aidB//galE//dppC//gltS//
GO_0009176_8	wbbK//emrE//rph//
GO_0009177_9	ampE//adeD//yjtD//
GO_0009179_8	wzyE//argB//gadW//tcyP//yfaE//proQ//iap//talB//yjtD//fepD//rpsT//waaH//purN//ybbW//narL//oppD//rplO//rpiB//plaP//fabG//bluF//fadB//kch//
GO_0009180_9	pyrC//
GO_0009185_7	fliM//rfe//yqcG//fliD//tdcC//chpB//focB//nagA//proS//cnu//aceB//eutB//tisB//arsC//cbl//gspI//phnN//ycgB//ftsZ//abpA//rplE//rclR//hemD//hrsA//
GO_0009186_7	recF//
GO_0009187_7	phnG//ftsY//
GO_0009188_8	hyfC//lepB//
GO_0009189_8	rplF//
GO_0009190_8	tomB//yqgF//
GO_0009193_8	torS//
GO_0009194_9	trmO//
GO_0009196_8	dsdX//
GO_0009197_9	mdfA//
GO_0009199_7	ynhF//malQ//sgcC//yfbU//ycfJ//yeaV//yadV//yqaA//sapD//araF//ybiO//rcnB//cysN//ykgM//yoeB//hslV//lapA//betT//dinQ//ulaA//deoR//fabG//gcvP//arsC//dcuA//entB//ibaG//yddM//trpA//tdcG//mreB//
GO_0009200_7	yqeG//mprA//fadK//fadI//
GO_0009201_8	phoU//glcC//putP//nadB//murD//trkG//srkA//yagI//nrdE//rimI//yraI//ygeR//fruK//trmA//fabA//ynjD//ydjE//ygaH//helD//yhjD//poxB//recB//mutT//marR//
GO_0009202_8	yphB//
GO_0009203_8	waaO//
GO_0009204_8	ybhP//pgsA//bioD2//
GO_0009205_8	ygbL//ispA//recE//opgG//baeR//yfbS//lysR//bluR//setB//ghrB//hycB//ybdO//nikB//yagE//rlmJ//lsrG//dosP//alsC//evgA//rsfS//tdcF//yjaA//mutH//rlmD//alsE//sucD//yfiF//glpF//fimE//
GO_0009206_9	recQ//yeaK//bdm//hcp//holE//fkpB//ydcS//yiaL//yqcG//rlmL//ydjH//metK//ydaC//rfaG//envZ//mdtD//ghoT//grpE//tdcD//shoB//iscU//fnr//rcsB//
GO_0009208_8	aldA//allR//
GO_0009209_9	ade//
GO_0009210_9	zitB//
GO_0009211_8	yagF//ddlB//rof//
GO_0009212_9	ubiC//
GO_0009213_9	yfiE//nirB//
GO_0009215_8	fadH//pykA//
GO_0009217_9	dsbD//rusA//
GO_0009218_7	gyrB//murQ//waaS//gspE//argG//citG//ynfE//glsB//menH//glgP//diaA//ccmC//
GO_0009219_7	iscU//arsR//ydiF//plaP//ybiT//
GO_0009220_8	cyoA//chbF//metQ//adeD//potA//fabR//
GO_0009221_8	envZ//gpmA//yieF//ebgA//
GO_0009222_7	mgrB//yiaN//mioC//yqjA//eutK//abpA//
GO_0009223_7	yqjI//exoX//
GO_0009224_9	csgF//ldcA//
GO_0009225_5	ydiR//lysA//ldtE//rrrQ//dinB//deoC//cadB//afuB//thrB//gloC//hsrA//yjbE//ydjJ//mscM//chbB//
GO_0009226_6	yahF//eamB//borD//soxS//fhuF//uxuR//ygfI//hha//yjjX//rplO//srlB//rimI//paaH//
GO_0009228_7	ydfH//pdxH//rcsA//lldP//mutH//mlaC//trpGD//paaE//fadD//wza//
GO_0009229_6	rlmB//adeD//
GO_0009231_6	cvpA//fadR//rarA//ybcM//uspC//dgoK//bioH//
GO_0009233_6	tufA//rpoE//ybiT//rutC//ridA//cpxR//ubiC//sapD//ybiV//dedD//
GO_0009234_7	csdE//dgcN//glgC//arnB//apaH//yafS//nrfF//ggt//wcaB//uxuB//
GO_0009235_5	ackA//dxr//yajQ//thiE//coaD//csiR//
GO_0009236_6	ygjH//hemC//tauC//glcF//pykA//pcm//
GO_0009237_4	yijO//rapA//fur//ycfL//ulaC//fimB//alsC//yieH//srkA//
GO_0009238_5	hcaT//gatY//ppiA//proA//rpsS//trmD//kdsA//araC//betI//
GO_0009239_6	thrA//potC//gdhA//atoC//lacI//ptsI//asr//yciE//
GO_0009240_6	iraM//umpH//phnG//queD//yhjG//
GO_0009242_6	yidZ//insE-1//purT//rsfS//cdh//gstB//cecR//agaI//ada//eamA//alsB//
GO_0009243_7	trmH//
GO_0009244_7	basR//qseC//insF-1//queF//tmcA//mug//uspE//wcaB//nlpD//cysW//deoR//ynaE//ccmF//idi//ndh//pppA//nikB//ghxP//cbpM//spy//ldrD//hxpA//paaC//parC//thrL//envZ//sdhD//tdcR//rimJ//
GO_0009245_6	livJ//ybhJ//nrdF//dgoK//rpoH//rnpA//dfp//nuoM//ydjE//rpiA//
GO_0009246_6	intE//gppA//ybhF//hmp//uvrC//malQ//mrcB//rnlB//lysC//
GO_0009247_6	trxC//gloB//rmf//tyrR//oppA//pabC//tnaA//soxR//aroC//tamB//ybhD//ybhS//
GO_0009249_6	kdpC//psuG//aceK//
GO_0009250_7	metN//ribB//zapC//yceK//rpsL//recF//ahr//yojI//dmsA//nadE//argD//focB//ubiH//rpiA//
GO_0009251_7	cusC//hflK//ycfJ//nuoF//ytfR//yghU//
GO_0009252_7	aspA//atoB//pspF//mrcA//yejA//kbp//hcaC//dgcZ//clsA//insI1//yphD//rpiB//gloB//potB//fucP//yagE//ymgC//secF//opgD//alsB//argS//topAI//cysS//nagZ//ldtB//ybbN//cnu//rph//ampG//amiD//yegD//hybC//mqsR//purA//smpB//birA//fklB//lysC//rplM//
GO_0009253_8	holB//cheR//cysN//yieF//yqaE//rhaS//uvrC//xerC//yigL//yjiR//
GO_0009254_8	lsrB//ldtD//chpS//gluQ//hha//yheT//ulaA//glsA1//recE//fucP//
GO_0009256_7	sbp//yraN//aaeA//acrD//
GO_0009257_8	paaH//frsA//yaaA//sfmA//
GO_0009259_6	afuC//bisC//treC//ybhF//tktB//sdaC//pflC//nemR//dhaL//metQ//htpG//norW//yaaY//yadM//waaS//clsA//rpsP//msrC//ybjC//ariR//rutG//rho//pepN//hisB//ribC//tdcR//chpB//ynbD//deoR//pepT//arcC//zapD//panZ//nuoG//mhpD//chbR//csgG//proA//paaK//opgE//yafC//ymgF//basS//moaE//ybhF//cspC//recN//mtlR//tmk//entH//patD//lysP//fliG//osmC//ubiG//yedX//tdcA//narW//rpoH//wbbK//rpsP//
GO_0009260_7	yfeW//patD//yagF//yobA//yihI//gadB//xylE//agaS//melA//cynT//amtB//cynX//cysK//lptB//ybdO//zinT//uspG//rnlB//cusA//fepE//fecB//bamA//hyaA//eutB//bglA//rplB//dcuC//yhaJ//yfcS//yafC//aroB//ispB//pckA//mltA//sbmC//secM//hldE//plsB//fryA//trxC//prfC//ybdZ//bglB//rluD//
GO_0009261_6	rihB//yiaJ//cheZ//pdxY//hybA//dacD//
GO_0009262_5	ybjC//yaaJ//rpsK//kgtP//lysC//trpR//agaA//adhP//arfB//ftsQ//yehB//yehW//ybdM//
GO_0009263_6	wecE//rpsT//pheS//fic//ompT//yaiV//uhpB//yehA//phoE//
GO_0009264_6	groS//ydfD//spy//evgA//pepN//
GO_0009265_7	lnt//casD//rhaD//gatC//rcsA//
GO_0009266_4	ybiW//cysS//yjjG//rimM//asd//cysK//bssS//paaJ//potE//ansA//malE//pdeD//borD//lipA//rsmF//nfo//sgbH//gshB//thrA//nfuA//cdsA//gsiA//nuoN//mscS//aas//lyxK//sfsB//rsfS//waaU//ygfI//rmuC//mltF//zapA//rpsI//cho//deaD//glgB//osmY//yhbY//tdk//dpiA//ptsI//cysM//atpG//dgcN//insE-1//rsgA//potC//ubiJ//cysD//pheT//sapA//kgtP//mntH//prlF//ltaE//idnD//rfbX//chbR//ftsX//yafQ//ygbI//adhP//idnT//lysC//bhsA//ralR//paaD//insK//phoB//bglF//deoA//idnT//rbsR//trmJ//yibT//fic//uvrC//fliT//priB//dld//yfeR//
GO_0009267_5	glgS//yggF//bioH//ptrA//rpsS//malE//proX//kdpE//rbfA//ftsH//prpD//elfA//cysG//dctR//ybhD//thiM//etk//artI//yfcS//rpsN//mgsA//luxS//ribF//yceK//mdtF//panC//
GO_0009268_4	xylR//dgkA//fadJ//pgaC//treA//ynbD//yciA//cysB//ybeY//evgA//yhfK//ygbM//higB//mscS//malY//msrB//gdhA//basR//zwf//yihV//putP//fliK//rplQ//fieF//exoX//aceK//yehU//
GO_0009271_4	yhjA//setA//pinR//
GO_0009273_5	prfC//argF//rpsB//rpe//cysQ//yfaE//cirA//gloC//aroC//hscC//
GO_0009290_6	srlR//malK//
GO_0009292_4	bluF//gatZ//
GO_0009294_5	dinD//pcnB//
GO_0009297_6	betT//yijE//greB//melB//entS//rfbB//gsiC//narG//fcl//rutG//ldtA//yobF//glpT//csgF//
GO_0009298_7	ariR//yhjD//yfgJ//
GO_0009305_7	kdsC//
GO_0009306_4	btuF//pckA//yhaO//surE//ttdB//rpsE//symE//
GO_0009308_5	nikC//ydeI//yadI//dmlR//ttdT//dsbA//wzyE//nrdF//ymjB//ilvE//tehA//sgcC//yojI//ygeR//entA//yodD//panB//uspB//luxS//malK//mltF//yqjA//ompR//pck//rplP//creC//betB//
GO_0009309_6	pepT//glcF//intS//amtB//secG//rplL//aaeR//sdhD//paaJ//potC//moeB//nrfG//lipB//mrdB//
GO_0009310_6	chbG//yebZ//trmI//lysO//rplR//yadC//potC//glcC//tnaC//yeeJ//mtnN//narI//yihS//
GO_0009311_5	rfe//adhE//dusB//rlmM//bamD//yjgX//secF//yqeG//ybjG//sutR//narH//sufA//ydjJ//tdcF//xapA//hemH//ulaA//fsr//mioC//epmB//rpsD//fimG//ccmC//folA//cusA//pinE//phoQ//ribA//ubiX//tig//pykA//glgS//fepB//rlmM//ybgP//scpB//fepG//eutK//nlpE//livG//ispB//yfcP//sucA//fepA//pspG//sixA//aspC//mcbA//grxD//guaD//hemB//phnL//nemA//
GO_0009312_6	hyi//eutR//yhcH//ddlB//recG//menF//glmU//tqsA//moaA//bdcA//zapD//rluE//yhcN//recO//mtgA//afuC//fepG//dinJ//ygdG//flgK//dctR//narW//pinQ//aidB//rstB//mdtM//paaK//rutD//yhhT//lasT//yhbQ//mug//murQ//pepT//ulaE//pppA//sgcE//betI//dmlA//uacT//yfbR//yaaA//
GO_0009313_6	dppC//frvA//ycbU//hycB//hybE//garP//yjiM//cysG//bglH//yneJ//
