#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	araH//thiH//idnT//garR//
GO_0006754_6	glpB//hemB//ptsH//queE//citE//phnI//sufE//ppiA//waaF//queA//kdpC//ilvI//glsB//btuD//hypF//add//bioF//yefM//ygdG//mobA//ybaL//yadN//
GO_0006757_5	mnmC//napD//hemF//nlpD//bssS//waaZ//gudX//yidK//yhdW//adhP//acs//holE//adk//gadC//trmB//pdxA//gadC//kbp//ampG//
GO_0006760_5	plsX//elfG//rhlE//hybE//yfgI//frsA//pgaB//hcaC//kdpA//osmF//yjjG//pta//yggW//eco//degP//preA//
GO_0006761_7	gadB//
GO_0006766_4	sufE//fabA//lexA//yhjC//ada//sbp//ftsP//dnaG//yegS//queA//uxuR//yehA//mcrB//eco//hcaR//proQ//moaB//nirB//cueR//metF//ycgR//yghG//ccmD//aroD//ygiN//ftsX//yafS//fucK//fbp//pgaC//nagC//rlmJ//nrfE//hybF//rpmC//mukB//hha//alaS//arcB//ttdT//rpmF//mglC//hdeB//zur//lspA//pfkA//yehT//cobB//yqaB//yfcV//malQ//rcdA//pdhR//sapF//tdcD//atoS//secE//mlaE//cysK//yebQ//allC//tolR//cysI//btuC//mdtB//lon//kch//
GO_0006767_5	iscS//ygfZ//sulA//epmC//ghxQ//dld//mazF//bamC//glmS//frwB//mngA//prfA//ydbD//azoR//iraD//plsC//ulaR//glnQ//rtcB//ssuD//glpK//modC//nikD//yicJ//udk//livG//hycB//acnB//feaR//yidA//xanP//rimK//trxC//dnaQ//ralR//msrQ//decR//dnaB//phnH//gloB//rihC//acrD//uspC//uof//narY//ymdB//lptD//narJ//galU//yjeI//hypD//mhpC//ybgQ//patZ//yaaU//pstB//dmsA//mdlB//truB//rpsS//trpR//mppA//marR//minC//yeiE//yciG//
GO_0006768_5	emrY//trpGD//birA//glsA1//accD//hybA//rcsF//gshB//gcd//mscM//insF-1//btuB//rne//
GO_0006771_5	yedL//rimO//adeP//mdtC//ybjD//tatB//nrfE//caiE//
GO_0006772_6	ygbI//apt//speA//glpT//fliL//yhaJ//essD//mcbR//pinR//gsiB//aldB//dnaE//
GO_0006775_5	ubiA//
GO_0006777_5	ybhP//matP//fre//coaD//copA//potI//fabH//napD//prc//
GO_0006778_5	yebK//glyA//cyoB//rsuA//elaA//ulaB//thrS//ptrA//ilvA//trpR//secB//yfhH//allS//agaI//rpsO//
GO_0006779_6	mhpT//ygiV//pdxA//hycB//lysC//nhaB//osmF//yhaV//rsmB//acpP//ydiV//modC//glpT//cca//wzzB//
GO_0006780_7	ileS//
GO_0006782_7	dgkA//ydeI//hyaA//clpP//glnB//uvrY//cyoC//
GO_0006783_5	ulaF//lon//ftp//rhsD//dsdA//sodB//rpsP//yfdO//galS//
GO_0006790_4	dcuA//lgoT//der//yraN//yjfP//ssuA//rplX//ynfK//mipA//mhpR//aspC//borD//epd//glpT//purF//aceF//bcr//rlpA//pspA//ybgI//fimZ//rmuC//cpxP//mtn//yhaV//nhaR//rpsM//bamA//yiaB//yfdS//ynbC//slmA//sfmF//ytfQ//ompL//nrfG//deoA//ynhG//pabB//tktB//gsiC//codB//rcsD//fadE//ybfA//rhmR//umpH//yoeE//bssS//yhbY//dnaX//hlyE//argA//ybiY//symE//flgD//ygfI//ssb//cutA//lptA//ybdR//yghU//yqiG//bfr//betT//rrrD//folA//csrA//gabT//guaB//insI3//htpG//dgcE//rpmA//agaV//xylE//nanA//tsx//spoT//betB//ampH//flgF//ydcT//fdnG//codA//pdxK//nimT//pitA//pepA//thrB//yejA//yacG//deoR//dfp//msrB//chpB//yieH//ycgB//cspI//yciA//rnhA//glcE//zitB//dtpA//
GO_0006792_4	intQ//
GO_0006793_4	rpsA//fumC//dnaC//gcvT//zwf//frlR//ytfQ//kdpF//dhaR//lspA//pheP//mhpB//kup//ybhF//tabA//recF//yhjB//ispB//prmC//kbaY//mhpB//argF//lpxB//sohB//phoA//pgm//gltI//lpxM//prmC//arfA//xapA//tldD//melB//fixC//polB//modB//dgcZ//yfbR//lldR//ghrB//rpsQ//fau//ubiJ//galR//entF//ppsA//secD//guaD//sgcR//hypD//fadA//ybjN//pinE//yieK//gpt//rpmE//hemA//zupT//fixC//lgoD//xylR//phoE//gsiA//dppF//paaG//ycdX//adiA//yhdH//rcsA//hofO//amiA//mak//fhuF//cheA//tauC//atoC//yhbS//paoC//ung//agaS//dmlR//recA//zapE//ynhG//rplW//ribE//yihW//ykgM//dapF//insI4//glyA//yajQ//nanC//ybjG//fadE//envR//yfeO//cspC//ytfP//yjtD//chaA//dacD//folD//eno//macA//rpnB//fliZ//znuA//rhsD//uvrC//wrbA//lolD//hyfF//sbcB//rnhA//ccmG//abgR//mdlA//osmC//mntS//kduD//yfdR//polA//yiaA//dnaA//rng//crcB//yqeA//glnL//yqaE//fliA//abgA//yicJ//yobA//thrL//agaD//rapA//uxuR//frdB//mdtI//bdcR//asnB//alaA//ubiB//murP//yagU//aaeR//suhB//ypjD//flgG//ybiT//hisB//murC//mraZ//elfD//patA//rfbD//ppiC//bcr//aphA//ppsR//fhuD//artQ//trmO//cnu//ydiQ//yihU//creB//yidP//cstA//cstA//sgcR//clsC//yjbG//ogrK//priC//ybfA//ycjD//cobB//tas//tmcA//ypdI//serB//purA//ilvB//ybjC//ushA//parC//ydcT//ytfE//ptsI//ygiS//moaD//cspE//sapF//panB//fepA//htrE//mtlR//kduI//fucI//ybeY//cysC//mgrB//appY//yggT//orn//wcaB//frdB//hsdM//rplF//lon//ybjG//rimL//sgcE//sixA//torZ//kefB//feoC//hycB//nhaR//mglA//waaC//ybfA//yjtD//fieF//ydcZ//cbrA//gadC//thrS//cbtA//ydjE//yihR//chpB//ybcQ//paaJ//ygeV//ybdR//cvpA//rhaD//cspE//yahK//sspB//sgbH//hrsA//treC//fucK//prpD//malG//ascF//aceK//mgtL//hybF//cspI//coaD//nrdA//sgrT//aroH//ilvD//rpoA//pstC//yeaG//thrA//frmR//allD//rcsB//macB//slmA//thiG//yhfK//ssuB//emrB//yfeD//ybgP//ydaC//speE//nikA//feaR//csgG//yebS//dhaL//yobA//lpxL//asnA//yihR//yejF//mobA//dsbA//pfkA//xylE//rdgC//rplA//uhpB//uspG//aceB//purR//nikA//uvrD//pnuC//ymfK//arsB//nmpC//ppiC//ccmG//creB//grxD//flgF//rluD//purN//nrdH//puuB//pheS//entE//selU//dcyD//ymjB//mdtK//yraJ//fixB//rplA//mliC//rplS//ynfH//yqiJ//prfC//pnuC//allR//rhaA//galF//hemF//plaP//phnJ//dxr//ftsZ//
GO_0006796_5	dnaT//mliC//ydjH//chbC//yhaM//yjiR//secA//rplP//yejA//csgF//fabR//eco//yfaE//phoA//secB//gsiD//ydcP//galP//cobS//acrZ//glrK//gph//hprS//lpp//ydgA//pldB//tcyJ//rhaT//srlD//rcdA//rpoH//mgsA//luxS//purF//dosP//eco//abgB//ivbL//yddA//nanA//cysC//ralR//rimO//guaC//mlaD//fliA//chbR//groL//rhtB//gpr//mzrA//ybhF//fepC//ecpR//ybjX//tusA//csdE//selD//yfcF//glpX//narQ//rraB//ytfQ//arnA//ompT//sthA//phnO//degP//holE//mltD//rhaT//ftsL//ygfI//iscA//alaE//otsB//yihR//ftsW//kdgT//osmF//cutA//rtcB//birA//rihC//epd//sgbU//lysO//sfsA//yqiG//nrdH//rsmF//malK//mdtJ//cmk//araD//dinD//hdeD//ydcR//sbcB//hsrA//yhaJ//umuC//yciK//lamB//yabI//fabD//abgT//cutC//hflC//rpmB//tatB//yhaO//yfcR//nupG//rffC//uvrC//hemE//nadA//hyfA//rpsN//parC//sdhA//insB-4//phr//hokB//wzb//proV//rrrQ//glcC//yaaY//dtpC//birA//pal//elaA//mnmC//yqiJ//yfdG//fepA//hemF//yibH//mdtF//nupX//cyoD//prc//exuR//nfi//dkgA//nlpD//ygeR//nagC//yfaU//yoeE//menC//fimZ//dpiA//tag//yjeI//yoeE//aroE//lysC//ygdG//agaB//fdoG//frlB//lgoT//fepC//cfa//yehT//glpX//nrdB//ydcM//nagA//tsaE//dsbG//glcE//eutB//secE//psd//manY//pgaB//thiI//deaD//acnA//ycdY//nikR//cutA//pgaA//mutM//tldD//csiR//yiiE//yceK//hipB//panC//ydhQ//moeA//paaH//fdhE//tsgA//rplT//serA//nadD//argR//frsA//ccmA//rfaD//fepA//yqcC//tusB//copA//gpmA//zwf//narI//artJ//creB//fecA//nimR//ygfA//yidZ//nudB//hemE//ygaZ//sdhC//eutR//yjbB//aroK//lacI//nfo//torY//fklB//ygiS//hemC//intA//lsrA//tolQ//yhcN//ampH//srlR//hisC//tabA//ymfK//msrC//bdm//aroP//purD//frwD//ppiA//yoaB//xylR//dsdA//tdcG//infB//fepG//yagG//acrD//adiY//rne//yraH//yidA//afuC//pheT//tsf//moeA//ygfZ//pgl//sgrR//mltA//dppA//fic//dnaJ//yggP//rutF//tufA//murJ//eutR//paaB//pgl//yfcS//fur//sufE//bcr//msbA//nanC//gppA//rplQ//uhpC//yehA//modA//waaJ//dppB//entF//ydcO//mnmA//yjeI//yiaB//fdoH//ftsK//yehZ//yrdA//pliG//amiA//lexA//moeA//norR//mdtF//bcsA//recX//yfiF//livK//purT//radA//
GO_0006797_5	fadM//potA//
GO_0006798_5	rnhA//
GO_0006799_5	mlaD//
GO_0006801_5	yeeY//lptG//nuoM//
GO_0006805_4	nemR//ribC//ribA//cspC//efeO//potA//rpiR//rnb//yidD//acrF//allS//secA//manZ//zitB//dadA//prs//rlpA//potC//pepA//cobT//gltI//sfsB//tyrS//znuB//
GO_0006807_3	pykF//argO//syd//serA//dgcQ//lsrD//hdeB//evgA//flgK//mlc//scpC//sgbH//dicA//ygbN//rfaD//hipA//rplC//phnC//yjgX//rlmN//rcsB//atpE//rimP//adiY//torZ//luxS//yihS//clpB//rpmJ//srlR//ymgF//uacT//lapB//bcp//fau//fliL//dnaJ//artP//kbp//malP//sufC//lon//feaB//amtB//tufB//sthA//paaX//ribC//rlpA//insH-5//pbpG//alkB//rfaG//secY//ydaN//galM//eutR//insH-6//gsiD//glrK//yhcN//puuP//ugpB//ggt//fixA//mglB//dadA//ygfA//thiQ//hyfC//folA//tsaD//insH-6//accC//recR//rhsD//yqaB//mreB//ydbK//yccS//greB//tmcA//yjbG//nrfB//ubiI//sgcC//yjiY//glxK//yphD//fdx//bcsA//metG//metG//bamA//yadM//gph//yggE//fepA//clsA//npr//ftsE//cho//paaC//tolA//ybiH//umuC//gspE//yqgB//nrdF//yahN//gapA//srlE//tauC//rhaT//ybbN//ycjW//ybdN//yheT//yqaA//ytfE//xisR//araG//glnS//pgk//rutE//ftsH//hiuH//insH-6//yoaA//cysK//mrr//agaD//glmM//nanA//uvrA//glnE//rsmG//era//trxC//yaiW//menD//higA//chbR//pinR//yggF//yegV//iaaA//sfmH//icd//potB//barA//rihB//yagI//ribB//iscX//uxaB//yjhP//rplE//guaD//pldB//waaF//lsrK//yfjR//yiiM//aaeA//bamC//betT//coaD//casC//rpsG//pinE//katE//gadB//yiaA//essD//sdhC//pheM//yddG//mrp//glsA2//recX//sucA//yhbY//yfcA//ybiS//dinI//tyrS//topAI//actP//nadC//tomB//elfG//yhdW//fecA//dmsB//ybfE//yhcH//flhC//pstS//csgB//coaA//aspC//glxK//pliG//rhaB//hscC//nupX//ldrD//hisI//yfiF//afuC//yceK//tyrS//cytR//dhaK//yhbO//ybgP//ebgA//ygaZ//thiQ//insI1//yihS//thiL//hrpA//deaD//yeeA//citC//rpsK//dinI//glsA//trkG//ynaE//ghoT//mngA//trpL//hsdM//cysG//dgoD//yedP//betA//bacA//folA//yagF//patA//ybgQ//yggF//yfaE//gatZ//cyaY//sdhA//rpoH//yfbV//glnP//panB//yciE//ydiF//ybiA//yeiG//idnK//ybaK//putP//gdhA//yfcG//torC//potF//frlR//pspD//cpdA//rfaD//nac//rpsH//ttdB//avtA//glvC//secY//etp//ydjJ//ulaE//azoR//yfiR//uvrA//fis//frsA//ispB//nrdF//ttcA//sdhC//wecC//msrC//mtlD//rsmG//rhtC//eutK//eamB//soxS//yidQ//yggE//rnlB//dxs//hpf//rimI//uvrY//eutN//wbbK//yieF//yadN//ygcW//rimM//leuS//ycfL//elaA//pta//upp//glpT//yajQ//rhoL//rutR//groL//hldE//ileS//iscU//dgcT//ampE//zntA//ghxQ//ybiJ//cpxP//hemC//yaiP//rplT//gspF//basR//fumC//cysQ//yjhP//sbmA//gutQ//cdsA//caiD//ulaA//queC//tgt//bsmA//ydbD//yqiJ//basR//ulaD//sapD//ibsC//yajO//malI//rluB//trpR//araB//pspD//mnmG//garD//yfcR//ascG//murB//nlpA//gldA//tusD//mrdB//tamB//ycgV//cysI//gpt//tsaD//hslO//nrdE//bluR//yieF//glcF//eptB//mlaF//rpmB//hsrA//nfi//allD//phnP//purD//valS//pspA//fdoI//hemF//yidE//mcbA//ydiR//gntP//crr//aes//rhaR//norV//yhdX//yieF//fimG//gatY//rpmB//alaC//gutQ//ydjL//yraR//pmbA//eutN//hdeA//ygcR//rutF//alkB//insI-2//ybcJ//pgm//recJ//modA//pdxH//yajD//hokB//cedA//sulA//rpsA//gshB//higB//hcp//rplL//nuoG//nrdE//ribE//cstA//yfgO//marA//pspA//insE-1//rpsH//mntH//yfaE//garD//yojI//rhtC//ybiH//rsmH//lptA//hemL//agaR//ribC//ycfS//rlmE//cysH//ridA//evgA//rpsG//mrr//wecC//ybaO//uvrA//tsgA//crr//fic//rcsC//xisR//yidQ//galU//yjtD//dgoD//pinR//yedA//mdtJ//abpA//ygiB//yfcQ//ulaF//dcuD//seqA//hslJ//norW//recN//rho//hyaD//rnhB//yihL//ybhR//fhlA//ascG//csiD//emrK//yidC//rlmC//yadM//pppA//tyrB//lipB//nmpC//argI//acs//yehD//nuoE//yddL//cspA//ypdA//fadB//flgF//puuE//tsaB//lpxB//seqA//cusA//hypB//nadB//gltI//gadA//roxA//speG//ychO//secG//ynfF//sspA//gloB//frsA//opgE//uvrA//dcd//osmY//patD//ispH//yrdA//gcvT//eamB//ttdA//rtcR//lipB//cstA//casE//wrbA//yeeJ//bepA//betB//ccmA//higA//yqjI//pck//ubiI//dsbD//yjeH//rraB//rstB//hrsA//mrdB//trmD//yeiL//gsiA//fadH//macA//purA//csrA//ybjL//leuS//ridA//gsiB//btuD//dinI//trmA//cnu//sspB//lolE//arcC//recG//rsmB//ibaG//paaZ//bcsA//ykgO//msrB//dauA//minD//metR//ilvA//yjjQ//mscS//frsA//lpxT//pphB//yqeF//mzrA//yoeE//cheW//yiaB//chbR//mmuM//murR//yhdX//fklB//waaY//mglC//bglH//orn//yfaU//cdh//murQ//hisB//ybcF//nadK//yahF//mocA//ypjD//hscA//aphA//fepC//rplI//gloB//rph//folP//fdrA//hybF//ybaE//panF//phnP//ompC//htpG//yceO//map//aspS//frlR//gnsB//cutC//galU//fucO//yhgH//mdtI//syd//ybjX//yiaB//glgP//ung//manX//pdeD//fhuF//idnD//sodA//yedA//prmC//hflX//nirB//caiF//exuR//sbp//srkA//yagU//fimH//bioF//yhjX//menI//idnK//rimK//chbB//rbsR//tusE//folC//plsB//ydiZ//panD//topAI//ftsA//waaF//aslB//mdtL//queF//insA-1//purF//cadA//fetB//acrB//yigL//fixC//nhaR//yahN//ybeY//pgpA//rplO//atoS//trg//mepM//casA//yjhP//glmU//hipB//murR//narJ//pck//ptsI//topA//yraR//mnmC//nrdH//rnd//appY//bacA//frvR//yejB//feaR//wzc//hemF//acpS//pppA//rhaR//bioB//pabB//mgtL//yhjG//argC//slyD//yjbF//rimJ//napB//trpL//deoR//yidD//serB//narY//ygbI//yhdX//hscC//frwC//agaA//mntP//yjhC//rplR//gcvT//ais//pgpB//dut//rhaR//leuE//ybbN//yqgB//frmB//cysZ//fryC//umuD//rpnC//prmB//mliC//yjjW//yccX//nagE//ccmH//pgi//adk//ais//slyD//cysW//aer//borD//folE//bioC//exoX//tbpA//lpoB//hofC//tyrS//tdcF//yidL//lapA//thrS//degS//ung//yfjR//mdtM//galE//tsaB//cueO//ilvD//cytR//nth//mdoG//zntR//yaiV//rpmJ//zntR//phoP//sufC//rph//rpsK//yhaJ//allC//gudP//cbtA//mltC//rcsB//pgl//argG//yqiI//allC//potF//flgD//gadC//ynjA//dmsB//serB//rpsG//idnD//yiaJ//cdd//pncB//malI//accD//tabA//yeiG//potB//dgoR//mliC//rplA//yfdG//acs//yejA//eutR//fadM//rpoA//elaA//thiP//yieH//sgbU//uvrA//eptA//thrS//sapF//yedP//sbmA//bcr//fetA//hofQ//aroB//elfA//tdcF//dinQ//yfdO//nusA//rpoS//fucP//gsiB//gntT//cpoB//sdaA//gcvT//cpoB//ygeV//livH//citE//dhaR//prmA//ascG//cpxR//bcsQ//ybjI//hrsA//yadN//cas2//mazG//rof//astC//nemA//galT//ybeY//ydjK//dcuD//motA//satP//cysS//tdcA//xapR//mepH//sufD//scpC//stpA//rplX//yahF//mhpC//yhjV//fdx//phoP//ydcT//hokE//yjbG//yiaT//yeaG//bluR//afuB//rcsD//arsB//yqhC//yjjW//fdnI//cobS//ihfA//nuoN//ispH//hemD//nudC//flhD//fruA//prpD//ygfA//ymgA//mepS//cysH//frlC//nudG//nagE//hemD//yqgB//ariR//fucK//chaA//malE//ldrD//dppB//hisF//hemE//flhC//mngB//cobC//fhuD//dhaR//rlmA//accD//glrR//rihC//pphB//paaK//yeaG//psuG//tpx//hisS//fadE//malQ//glyS//hisB//apt//tatD//yfiC//rpsI//arcA//xapB//dut//aroA//msrA//lysU//sufA//uspC//idnD//casB//rluB//hiuH//oxyR//sufD//rnt//malS//kduD//sgcR//mutH//dut//asd//cmoA//arnB//puuA//csiR//torY//mepM//marR//napA//bglX//udp//iscS//yebG//dgcZ//yeaD//yhdW//dedD//fepA//abgA//nagA//sapC//yeaG//yjtD//pgaD//cyoC//dgoT//yjtD//hflD//yghU//idnD//fbp//dkgA//phoP//metB//matP//yfbS//purN//mmuP//lplT//recX//mltF//fimF//uhpB//baeS//hdfR//mntR//tpiA//mngA//yihU//ansB//holC//narL//cdsA//mdtD//trkG//modA//yghB//ycaN//groL//csdA//yejA//arcC//speC//csgE//waaB//rpsG//kdsC//rlmE//torA//fcl//tisB//wcaJ//yafE//aceF//mdtE//thiD//zapB//asnA//tonB//agaC//actP//fliS//queD//hybD//gdhA//yebC//manY//yhcD//ybiV//zntA//uspG//pdeR//rcsF//dmsC//prmB//mdtB//iraM//yidQ//nrfD//yjbB//rayT//dcuD//fruA//cyoE//mtlR//puuC//feaR//zapC//rutF//yqiI//recX//yhjD//hisA//sfmD//truA//phoA//gatB//hyaA//paaA//queE//ydcS//yrfG//dld//pspG//yjjU//tas//napC//yjhI//mqsR//yhjC//hemL//ydjE//entC//patD//ftsY//hrsA//slmA//glnA//uidC//bssR//cbrC//ybiJ//znuC//dps//moaE//yieE//pepN//ydeP//thiC//dtd//thiD//rplS//allR//gudP//ispH//acnA//ssuA//erfK//cmoA//gfcE//gnsB//tdcA//pal//nrfC//tesB//fucA//preT//csgA//ypdF//bamB//yhjC//dinB//artQ//pdeK//aqpZ//ydiP//yhjG//treC//adeQ//maoP//aroD//ansB//mntH//gadX//narY//yhaO//fdrA//fepC//agaW//prpR//yfcQ//yghB//ydcT//prs//hcaR//aroP//pspA//bioH//fdnH//rutB//pyrG//yhbQ//fucI//lpxC//mlaB//argT//exuT//rplR//acrA//selA//potA//speD//lysU//xylR//ydcP//bcr//guaC//ftsH//yhcD//rpsM//cpdB//asmA//basS//wzzE//sspA//yjiA//argB//alsC//yahI//ybdR//waaC//sdaA//nrdB//rpsR//rimO//ppiA//acpP//sgcC//bioD//rpmH//hypF//gspF//
GO_0006808_4	ulaA//yeeO//rfbC//
GO_0006810_4	cusS//hybF//nuoG//yfhH//pth//queD//csgD//cysB//minD//rpsN//syd//narV//phnJ//queG//katG//uspB//gcvR//ybaL//kduD//dcuC//dctA//relA//murQ//rpoA//htrE//rffG//ydjL//mngB//mepM//efp//yehA//holD//pflB//ybjN//proS//hprS//glrK//tsaE//folE//murR//dcuB//borD//narJ//nadC//sfsA//wzzB//pgaA//yeeL//trmD//glpK//araB//arfA//metN//gpsA//gloC//insB-4//zapB//gmhB//ftsQ//artP//alkA//rimO//nirB//mzrA//ribD//zntR//yjfF//yjhG//fdhF//nuoM//ydiV//phnO//ribA//lpcA//rcdA//acrD//glmM//gmd//ynfE//bamA//potG//gmd//phnL//marR//aaeR//sbcC//accC//galS//ilvD//nth//ribF//argC//hflK//lgoT//nepI//pdeF//hdeB//moeB//tnaB//dgcJ//alsB//erpA//kdpD//ybgQ//insH-5//citE//metL//paaZ//birA//glgA//gpt//yhfK//acrR//sgbE//mnaT//gspF//mepA//livJ//trmL//hisM//ygjK//pdxJ//yfcR//hpf//rbsK//thiD//rnc//wcaB//yeeL//recC//exbD//tolQ//mlaC//fadB//phnC//yqcC//yneE//yeeY//mltF//rplQ//glxK//plaP//ybjC//umpG//mscS//brnQ//fumC//arnA//ompL//yhdX//efp//yahK//yhdW//evgA//recQ//sgcR//yjhG//caiE//pdxK//nikD//yegV//ybiY//yiiD//hda//sbmC//ybiH//speB//glnL//csgG//hslR//yfaU//glnK//folX//entS//cheA//secF//obgE//yjcS//flhC//hslU//dkgB//rhaB//wecA//abpB//ynjD//nac//recJ//metC//pgaD//prc//uacT//fabH//yjhB//hicA//insB-2//araG//cysS//rapZ//kdpF//ibsC//rluF//clpP//garL//yihI//lpoB//aroK//rhaS//dppD//gadB//metK//dacA//accB//bglH//etp//pnuC//ftsL//kdpF//glcE//nusG//dkgA//lacY//mdtD//hypC//yjhP//yhjC//rhmR//thrC//crfC//fadR//holC//yadG//yiiE//yejE//envZ//srmB//nuoI//narK//uspE//fadM//gutM//deoR//fsr//betT//yciA//ybcF//yfiC//ycgV//ynfF//ompT//ydiO//argI//wecB//fepD//yjjQ//selA//pepB//mntR//fabR//setB//fruK//feaR//xanP//kduI//flgF//ldtB//gcl//hrsA//tas//surA//artJ//ybgQ//astC//mntP//fliM//ppk//ubiE//cra//tyrR//kup//tatD//bioD2//clpX//ybhF//dgoK//mak//wzzB//proB//rbbA//zraR//yjjB//mtlA//xylB//lyxK//hcaC//crcB//kdgR//rpsM//exuR//oppD//insB-2//yfaV//murF//gluQ//katE//opgH//xerD//narK//pepB//garP//amiB//yigB//cusF//nagK//rsmF//rpmC//yiaL//moaD//cysD//rfe//fixC//nrfB//smpB//aes//ynbD//ldtE//rtcB//pdhR//ilvM//yahN//hofO//eptA//fhuB//pflB//ftsL//gabD//dut//ftp//plsC//dgcN//yphF//yahN//cas2//rlmI//fklB//frvA//trmO//trpA//proC//livK//rplC//kbp//ybaQ//fliZ//yjbE//cueO//lpxK//pepN//hokE//csgF//degS//mazG//pepD//xseB//glmS//ycjR//iscR//ruvA//srlR//fieF//ldcC//tehA//phoQ//fumB//ydjJ//tisB//cueR//idnT//fliS//nrdE//cpoB//dbpA//rfbD//mtlD//clpB//ydiK//yjhP//dosP//yhcN//thiM//argS//yfcS//gntT//clpB//yjjV//yhjR//erfK//sodA//tusD//nhaB//galM//araE//alsA//glgP//ygfZ//minD//proV//asnB//uraA//mnaT//hslO//glmM//ascB//yafC//paaB//aer//ydfG//tktA//agaS//gstB//bglA//iraP//roxA//gatY//fhuF//yhdX//ybhG//nhaR//narJ//recG//cmtB//adeD//purN//cdaR//kbp//proA//torZ//gnd//garR//rpoE//waaF//rlmJ//clpX//pliG//dadA//mntS//nusA//fhuB//mdtD//rseB//metE//cedA//treR//ybcF//polB//proA//argK//hpf//ynbB//lsrA//ompA//soxR//tusC//mtgA//yiiD//ymdB//folM//bamD//manZ//alsA//rrrD//eptB//orn//mutH//rclB//ppsR//insI3//glsA//dgcT//hchA//yieE//dppB//rraB//elaA//argS//metC//envR//argI//hemA//cueO//fixC//yfaX//yodD//gpt//ybiI//iaaA//ulaF//gpr//gadE//trpL//iscA//nadC//arcB//nudG//yhbQ//mdaB//gatZ//rne//gatA//yieH//ygeA//dnaK//perR//mreB//dgkA//aroE//sdhA//rplR//yfdR//plsX//lpxD//mraY//fixB//cpoB//mhpB//yiaT//hupA//sdhB//malY//yqjA//crcB//yihX//dtpA//sapF//ampD//gldA//prc//yafO//tesB//pflB//exuR//mioC//btuC//glnD//galE//gsiD//queA//gapC//dppF//tsaB//glpD//gltI//mdtK//sppA//gnsB//yahB//mazF//waaY//sfsA//barA//dgcT//seqA//yecS//adiY//uspB//putA//ykgO//pyrD//yjhG//sbmC//glxR//yhdJ//grcA//ydcM//yihI//hslR//glpX//lsrG//cspD//frlB//mdtB//livM//greA//ddpX//umpG//nusG//gloC//tap//purL//hypF//tcyL//ygfZ//moaD//mraY//pncB//hlyE//cnu//insI-2//yahB//
GO_0006811_5	yedP//mutH//pdxA//gapA//pphA//fimH//yigL//proB//hisG//pyrG//ansA//hslO//cysI//purU//cpoB//garK//hypD//ibaG//mrcB//focB//ettA//rsmB//acrE//pheP//murF//ybdM//insI1//baeR//bfr//mscL//frlC//ilvA//der//dnaA//cnu//bcsA//atpF//ampH//srlA//pgpC//yaiW//pepA//bcp//rlmA//galS//hisD//phnL//nikR//fabR//mioC//citX//rcnA//gdhA//narZ//entE//mioC//yhbQ//cho//rssB//rplF//flgE//yfaL//yciK//queE//xylF//trpE//rlmD//citT//lpxK//yggF//hscA//puuP//trpB//ibsA//yhdW//yceO//cysS//grcA//nfo//cysU//yhfS//rpnB//fmt//glmM//msbA//yphB//gadA//malX//yidP//rfaD//tktB//otsB//gcvA//treR//nanR//rutE//purF//ynbB//clcA//iscU//minE//yjhI//rpsD//trxA//paaH//yhhT//tdh//dppA//ytfT//rssA//hdeD//ymgC//ydhC//rfe//xanQ//yhcN//leuA//phnK//mdtJ//kgtP//mukB//yegS//yqhD//stpA//nlpE//nrfA//cmtB//pgl//dhaK//melR//phnC//nth//tdcE//hinT//tehB//yahD//dgoK//dauA//msrB//yjbH//ggt//radA//gadA//mglA//cmk//ybgQ//asnA//ybaK//cobC//mscM//torS//dbpA//sgcR//cysS//rseP//melA//yraJ//fliA//poxB//asd//metB//rutD//ycjP//lysS//casB//pheP//cysN//mfd//malZ//ftsE//yciV//rbn//aas//menI//folP//potC//fabR//wrbA//elfG//udp//trpD//malG//aroE//topB//rpsT//rbsK//tdcR//bglH//ftsY//ugpE//yhdJ//tauA//alsK//atoB//ybcC//pgl//metH//gpt//dpiB//lsrK//galT//citC//kdpA//galM//rarA//ydeP//mioC//yiaM//yciT//bolA//wzc//asnC//yoeB//mnmC//ydhK//pyrG//ispA//yebG//yieK//cynS//ortT//fadJ//metR//dnaG//dnaN//hyaA//higB//mdtP//moeA//fetB//casD//sucD//gyrB//feaB//tyrB//cpsB//adk//hybA//ybdZ//yidH//nadB//rhaR//metF//azoR//prpR//efp//ettA//yfcS//ydjL//slyA//rplK//yddM//rraA//ycbV//livF//yidR//wzc//yafE//araC//symE//rhsD//ydcP//metE//tpx//ygfA//moaB//ilvD//accD//ssuC//dnaB//emrE//ampE//tolC//nupC//smpB//srlE//panE//sfmA//torY//hslJ//mdoD//yfeO//rpe//rplB//fadL//thrL//rpsI//
