#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	gcd//nadA//dnaA//hypA//
GO_0006808_4	nrfC//aroP//sufA//
GO_0006810_4	galT//hslV//xapA//zapE//fepE//uxuB//yfiE//thyA//surA//rsmE//kdgR//rsmI//zntA//guaD//ldtC//helD//rhaA//lipB//rsmA//ybbN//yehZ//zntA//uxaC//gshB//ampH//ccmG//frdD//barA//suhB//metQ//clpA//bglH//menA//arsR//tonB//cof//arnB//rutA//cysE//rhtB//intZ//uidC//alaA//ascF//glnQ//trkH//fimI//amyA//rtcR//atpH//ftsL//mutL//mcrA//motA//murA//metF//ldtD//rluC//ulaD//yedA//rodZ//glcB//focB//tusC//nagA//nudG//yfhM//nuoL//narV//gpmM//rplR//bamD//hrsA//ynaI//rapZ//oppC//nikA//lpcA//ftnA//proB//patD//tsaD//speA//dam//grcA//gatZ//dcuA//parE//ghoT//ldtB//pyrL//tsaC//uhpB//yjiQ//phoE//rhaB//higB//ptsI//nrdF//recN//phoB//lpxL//glpA//yjbG//fdoI//cspD//cheW//yjhH//relA//ascF//oppA//htpG//dhaK//ybfA//ileS//sgbH//purU//rlmC//cvrA//proP//aes//hybA//uspE//pepT//alsC//ybgI//wzzE//tnaA//rhoL//mdlB//glcA//hsdM//proS//yegS//selA//yfaE//ychO//glpD//pgrR//hdeB//fadM//ycdY//gsiC//ralR//pldB//manY//hisA//mgrB//cmk//trpB//mioC//alaS//rutG//dacC//cmoB//yqjH//raiA//mazF//maoP//trpC//hyi//sufE//tyrA//ygjH//yegV//yaiW//cobC//speC//arcA//ptsI//chbA//rutA//adeD//nirB//glpG//ribD//bipA//fucK//ydjH//folM//queG//malZ//uxaC//aroE//ygbL//lpcA//fdhF//ycaO//yobF//hypF//ppiA//rffT//ilvA//ompW//cpoB//glmU//garK//ydjM//cirA//vsr//nanA//cmoM//hybG//dicB//gdhA//rlmG//manY//gcd//yhcH//rutD//lpoA//dinJ//cynX//yhbQ//dxr//tap//prpB//mltC//puuD//cydB//opgG//pinR//moaC//phnG//yoaB//ybaK//uxuR//yaiV//lyxK//yhcH//nuoL//ycjU//mtlR//tig//rplQ//mdtK//puuP//ycdY//emrY//ybdH//ymdB//upp//yegV//btuF//pepB//ybaM//sdhE//ydiK//clsA//fliL//qseC//lldR//hycI//fumA//arsB//glpK//yajO//fadR//yqiI//yahI//phoA//ybgP//fbaA//secM//folA//rlpA//sodC//ldcC//rbsD//sppA//ilvA//ybiH//cusB//ymgF//dtpD//insE-1//ssuD//citC//flgC//tyrB//cheB//plsX//rhmR//panD//folC//gnd//gspE//fdoG//polB//hofN//ybiI//glpD//yjjI//dhaM//agaA//speC//yajD//tabA//leuS//fimH//ulaF//cysE//wza//fruB//agaR//mglA//panZ//menF//comR//oppD//rpnB//smpB//paaG//asnB//nuoI//cspD//ydeO//crcB//idnO//sapF//hisP//yidP//atpA//obgE//ygaH//gloB//pinQ//rpmH//ymfK//recG//yfjV//yhjA//rfaE//rlmL//nanK//phnG//dnaG//ligA//mutL//fkpB//fes//btuF//flgI//dsdC//frmA//groL//mgtL//argE//ilvM//glpF//adhP//pspD//exbB//sfmH//yacG//rayT//yciG//paaJ//yhdH//bdm//purR//yieL//cdaR//trmJ//ybhD//mrcB//ygbI//tktA//thiC//recC//ydhC//ileS//trpR//rpsI//livJ//pyrH//yadV//agaR//nrfE//dgcM//rpiR//rpsK//recG//sufD//lysP//fur//phnK//hprR//ynfK//nanA//fau//yegT//trg//glcD//iap//frlB//mcbR//zinT//nac//rutG//ycdX//frlC//umpH//topAI//psuG//satP//ldtA//ybaE//ampE//prmA//sapA//dnaN//ghxQ//sucC//crcB//cynX//holE//btuE//nrdH//nrdI//yhjG//tas//pyrD//mdtP//tdcC//prc//mcrB//ubiC//lon//ulaB//ydiQ//yihV//dkgA//rfaC//yqaA//thrL//sspB//deoD//rsgA//yoeB//lgt//rplE//ghxQ//frvB//nepI//clcA//nfo//cas2//rzpD//sgcE//yagG//hofP//chaA//dsbC//ibsE//frr//flgJ//ldrB//dkgA//gcvP//yfeR//sgcX//pepQ//rplI//wzc//frr//priB//rapA//selB//hldE//dnaE//sxy//scpC//yodD//ycjP//sapD//srlB//ptsN//atpA//rzoD//yfcU//aroE//hmp//carA//envZ//zapE//moaC//clpP//argD//hldE//atoS//holE//osmC//trmJ//ykgA//yidC//glnL//focA//thrA//hsrA//rihC//metI//gcvT//fadJ//gltP//yfiR//thiM//yohC//ftsW//ytfE//glgX//yjiA//narQ//malQ//phoE//rpsP//rutG//rlmI//ppk//frwC//rplD//fixC//csgE//pfkB//mlc//ubiA//cstA//kdgR//emrY//npr//manA//uspF//fabH//ileS//eptA//tcyN//yqaE//ycjY//ndk//yoeE//cheA//ccmE//nikB//nepI//ykfM//sdhE//cspD//slt//cynX//betT//elaA//trmI//rdgB//yedX//agaA//yggW//valS//cpxP//fabB//arsC//secM//nagE//argR//feoA//nemA//thiQ//hybF//rapZ//fetB//yiaN//glgC//manY//wcaC//htpG//asnA//mcbA//ybaT//yjjI//glpG//decR//purL//ldcC//rpsR//phnI//ubiX//elfC//pntB//frlA//malY//ppsR//kefG//gyrA//trpC//mnmE//endA//yhaJ//srlR//ybhR//
GO_0006811_5	selD//rne//argC//gsiC//gntR//ydfH//btuE//chpB//ttcA//aspS//elbB//pta//rffC//rpsB//dusC//abgA//btuR//der//tar//pdeF//tas//rihA//kdpE//poxB//betA//csrD//brnQ//yneL//fepE//yicJ//glcB//trpB//kdgR//pmbA//trpR//ygbI//chbF//fdhD//tsaC//ybaL//lyxK//cvpA//mdtG//fixB//uxuA//yahF//paaF//cueO//dsbG//tdcF//cheA//asmA//yihQ//mrcB//moaE//iraM//ydaN//rfe//waaJ//prpC//araF//yedP//mdtM//diaA//ydcO//bolA//yidP//fepB//frvB//rlmB//pgi//yhjB//rutF//rpsT//secA//barA//mltD//essD//ppiC//fdnI//speB//ygaV//yphB//uvrD//prmC//araG//umpH//frdA//garD//selD//yggF//clpX//cmoM//yhcD//alkB//rfaE//tatC//dinI//nadB//rng//gatD//tonB//fimF//malE//emrD//yjbE//btuB//folM//yjbF//pdxH//livH//aer//holB//ibsA//ebgA//ebgR//nuoM//waaP//yifB//phnJ//cdh//yfaU//dinQ//nuoH//rssA//hdeA//ulaC//deoD//ykgF//ccmA//hdhA//holD//sfsA//ribB//pmbA//nrdB//gyrA//mnmC//waaG//insB-4//recT//yfbU//dgoR//yeiE//pepN//sufE//tmcA//ykgO//groL//phnK//gspF//ribC//lldD//ppiA//dtpD//fhuF//dnaT//mmuP//yeeA//nusA//sutR//tolB//xisE//ydeO//amiA//gadB//idnT//fliA//eutD//cyoD//ddlB//sucC//ubiG//manA//gsiB//ldrA//xisE//uup//nrdE//dsbA//rlmJ//moaB//cas2//insI1//ttdB//mepM//thiH//yfiC//rpsA//rpmH//radA//glnK//torI//lpxL//serB//gltX//zapE//osmC//rhmR//rpsT//frdB//fadB//ompG//cpdB//sdhC//gntR//speF//rcsD//ybhS//metC//ssuB//yacG//yiaM//metC//alkA//truC//yidZ//astC//bglA//ispU//hyfA//glk//soxS//insA-1//lrhA//agaC//recB//yhdZ//cysG//putA//yahK//hyaC//yghW//crcB//ydcZ//intE//sanA//narL//ygcR//yfcU//nuoH//rho//ykgF//cca//insH-6//ykfI//yjiX//fliZ//nrfE//eutR//aroL//speD//rpsO//zupT//yafS//gpmM//accA//rpiR//ybdH//focB//ydiQ//deaD//elyC//rfe//yfgO//argB//yjjQ//lacZ//hypC//ispU//endA//argK//alaS//rplY//fes//ftsW//yehZ//yaaJ//pth//speA//cpxP//hcaF//tmcA//gntK//cyoB//pcnB//xylA//
GO_0006812_6	yagJ//preA//fieF//mmuM//hisS//ygiB//ftsX//trkH//asd//fumA//degS//hdeD//ydjL//mtlR//nanK//frlA//mhpC//rlmH//waaY//yqcC//btuD//dgcZ//dnaG//fabR//rpoE//csgE//polA//nirB//tdcR//exoX//abpA//ymdB//nemA//gdhA//rlmE//cbtA//recO//elaD//trmJ//dgoK//ydiP//rluE//yghO//mutY//leuC//cynS//pheP//bcr//sdaB//cra//rpmJ//ydiR//azoR//yehB//dtpD//rcsF//gcvP//narK//fumA//gpr//ybeY//wzc//hypA//ydjH//chbG//ruvA//caiD//ptsG//ppx//lgoD//ybbY//iaaA//yihV//lptF//fixC//dgkA//ppiA//cysZ//fliG//tdcE//cadA//atoS//fhuB//ybhJ//acrB//dtpC//kdpE//dgcN//yggF//speB//mdoD//bcr//rfaG//yjhC//rpoE//relE//fepE//aceB//flgB//hcaE//ynfE//fadE//infC//mntP//yicJ//cysH//proS//phoB//yjjX//basR//sgcE//barA//yddL//rarA//sad//zinT//yahB//symE//bglX//cbrC//recQ//rraB//yjbF//xylG//yhaM//tdcA//yobF//higA//dgcQ//ldtD//alaE//ubiF//pitB//glvB//yfdR//ybiV//degS//gatC//garD//dsbD//yajQ//nikE//yjiX//cbtA//etp//frlR//recF//bamE//yciA//rsmA//acrR//yjiX//ybiV//rplQ//yidL//dnaN//yeeO//ybaE//yieE//smpB//fucP//hxpB//pinR//yohC//rhaM//mdtK//wzc//yebK//dapA//yiaM//rpsP//
GO_0006813_8	yciK//relB//moeA//sgcA//ligB//sapF//cho//ycjQ//caiF//motA//glgS//aceB//frdA//selA//glnK//gadB//lpxC//
GO_0006814_8	pbpG//oppD//truD//fucO//flgD//cspB//leuD//yegS//mtlR//
GO_0006816_9	hicA//
GO_0006817_8	ghoT//rplP//yadG//zapE//elaD//mhpC//eptA//yoaB//gabT//
GO_0006820_6	kdsD//ycbX//ybgP//pgaB//ymgC//yihW//acrB//ynbD//nrdE//sfmH//yjjW//mepA//lptC//plsB//bglB//ribD//yqjI//rbn//cysI//hisH//fkpA//speF//mdtP//pphA//accD//feaR//yghB//btuC//ydaN//ygbN//araF//yfhH//hisA//atoB//argE//ydjK//iscX//nrdA//asnS//flgA//murC//yeeL//mlc//ypdA//comR//yjaA//cmoM//fadM//ynjD//sgbU//agaC//flgB//insB-4//ydhC//frvA//acrF//yfeW//nikD//phr//aqpZ//yafC//prs//fepG//rplO//glsA2//agaB//panE//sgcE//bisC//matP//norV//ydcZ//fkpB//ybiI//glpX//ltaE//degQ//yebQ//ulaR//tmk//topA//mdtG//mraY//lptG//yacG//aldA//gadX//hscC//hscB//ulaE//pgpB//pnuC//sufB//dinG//yrbG//nagA//rsmF//frmA//iscA//yiiM//yciH//elfC//chbR//leuA//yegD//glgC//aceK//ygeX//tdcA//thrA//sfmF//wzzB//frvA//nudC//msbA//hchA//glgA//wecA//ycjQ//sgcC//manX//oxyR//adeD//gmk//rlpA//ybcQ//preA//ybhJ//ompW//minE//ynjD//nfsB//tauC//caiB//rssB//priB//yfiC//insI1//tag//ybjD//mnmA//rodZ//etk//lpxC//dps//thrB//glpK//yfeD//arcB//yijO//arcB//ycjW//symE//kdsC//yadN//yadK//sugE//napF//rodZ//frvR//rimP//dedD//yhhZ//rihB//kdsB//ccmG//yidA//rsmF//trmH//ydjJ//erpA//wzb//fre//thyA//rpsP//mlaE//frwD//
GO_0006821_8	yfeO//rssA//xthA//
GO_0006824_8	syd//alr//ldtC//yhbY//
GO_0006825_9	hemA//mdtD//osmE//yfaE//rpiB//ftsX//dcd//
GO_0006826_9	pheS//fixC//asnA//selU//upp//ynfL//zitB//zur//ypjD//ycjP//chbC//ydjE//cueR//elaD//copA//tadA//arnE//
GO_0006828_9	frsA//rnd//ilvL//
GO_0006829_9	ydjM//rmf//yieH//glyS//rpoE//yhaC//yfaX//dsdC//iscX//
GO_0006833_6	yciE//
GO_0006835_8	rplT//mlaC//phnK//pdxH//radA//rfbD//hcaE//yggP//adiC//mepA//eptB//yihW//deoB//lpoB//
GO_0006836_5	ybjX//frmA//envR//mocA//cpsG//folE//yihV//glpF//rplP//tsx//
GO_0006846_7	mdoD//lptA//
GO_0006847_8	purT//
GO_0006855_6	nusG//waaL//yabI//yhbX//cadA//ynfH//yddG//chbC//nupX//glgS//fhlA//glnH//tatD//xylF//ybdR//secF//erfK//pal//mppA//tadA//yjeI//yfhH//ybeF//opgE//rnpA//hicB//norR//fecA//nrfF//symE//galE//fruB//fnr//rutF//uacT//yidP//mzrA//aroL//ssb//ccmE//citE//rarA//yneE//fadR//mutM//dhaR//phnN//yfcU//scpB//pgrR//ruvB//ybaT//cheW//hisF//gsiA//dgcZ//intA//tktA//
GO_0006857_7	tnaB//atpE//yihL//btuF//rpmB//entS//fieF//ydcT//rsmF//ydjL//leuE//fimH//tdcB//ugd//sdaB//pcm//tisB//gmk//gadW//bioP//infB//arnD//der//gloC//yfiE//pykF//acrZ//
GO_0006862_7	macB//
GO_0006863_7	xerC//narG//era//ravA//ppiA//osmY//yfcF//rsmG//
GO_0006865_6	cysB//ygjH//trpR//tilS//yehU//mnmE//dedD//yfbV//cynX//arcC//mdtK//yejB//infB//ybaQ//yddM//pstS//phnL//nrfA//xseB//sfsB//yoaB//ggt//ycjR//recT//adeQ//ykgM//flgG//yidL//crl//yadG//cca//lsrD//hybF//nadD//moeB//gsiA//insK//yibA//afuB//rbsA//pspF//tufA//ompC//eamB//kefG//ssb//ascF//cirA//ugd//ftsL//secB//moeA//fliS//ydhJ//appB//nfi//rplS//bamB//yfiF//sfmD//pspG//dnaN//oppC//sodA//ydcR//yehA//btuC//nuoM//fdoH//mcbA//glnE//prmA//ybiA//
GO_0006868_7	rpsP//lrp//yafS//
GO_0006869_6	nirB//puuE//zntA//holD//ulaD//caiE//hiuH//tufB//pepN//uhpB//exoX//cysC//gntU//rpiB//napC//mgsA//yciT//sgcR//nirB//mdtL//malZ//ycaN//gyrB//
GO_0006873_5	clpA//tag//nemR//ybjN//eutB//abpA//citC//torC//dedD//hycH//ptsP//rclR//thiL//wzyE//gadX//sdhA//uvrY//wecE//yoeE//rne//dnaK//nuoG//mdtN//adhP//rfbD//nemR//ybaK//ddpA//osmF//acpP//
GO_0006874_8	ribF//
GO_0006875_7	trmH//gdhA//bglF//mug//setC//ghxQ//rlmL//hyaC//panZ//ydcP//thiC//dps//leuE//bglJ//yfcR//ybcL//ybiO//mdfA//yjbH//nfo//zipA//
GO_0006876_8	msbA//
GO_0006878_9	priC//fpr//elfA//yaaJ//ygiV//
GO_0006879_9	rpmC//yiaO//dcm//agaR//ubiA//yciE//iclR//pstC//ldtC//yciH//dgoR//
GO_0006880_4	ppc//paaE//panZ//
GO_0006882_8	waaA//
GO_0006883_8	folD//dkgB//katG//
GO_0006884_4	msrA//melB//tdcR//yjjX//bipA//
GO_0006885_9	araC//decR//yraI//yibF//yejB//hybF//hofC//ompN//fes//rlmG//rspB//
GO_0006886_5	cydD//sfmC//ydcP//murG//eutD//uof//ghxP//yjjV//ybdG//yciF//mdtF//
GO_0006928_3	paaC//yfcG//chbC//sodA//vsr//pitA//lolA//opgG//alaC//dgcZ//glsA1//cobS//sgbH//yafO//leuB//bluR//mtlA//btuR//tyrR//purN//yehW//lrp//frwB//malX//ispF//tolA//rplX//yejF//bipA//rlmG//fabA//chiP//sodB//glgA//lsrC//ihfA//malK//ybbY//moaD//dcuB//gadA//glpG//gltL//gltI//
GO_0006935_4	yfbS//rutA//bssS//xdhB//yghW//hicA//hcp//ibsA//tdcB//gudX//der//yegV//mnmA//mraZ//artP//nuoF//
GO_0006950_3	lpxK//paaJ//cas1//yihL//fdhE//sohB//queG//sohB//purT//cheA//htpG//yqiG//hcaB//fixC//afuB//mdtL//seqA//intS//eptC//opgH//nanR//yrdA//alpA//sdaB//rsmC//rsmB//hdfR//ulaG//yraI//feoA//yciE//ebgA//ppk//elfG//thiE//xseA//parE//lolD//narP//flgK//argB//mdtA//yahO//tolB//gmd//nadC//kefB//tusA//rutR//lptB//menD//rutD//ssuD//yqeF//glpT//polB//yjbB//nuoF//yjhI//hlyE//nuoB//proQ//ubiA//dnaX//yidD//ypdI//lplT//dcp//pitA//gntP//yjjG//amiC//yiaU//miaB//atpA//ccmE//glnD//yegD//dgcN//yeaE//yggN//nirB//lplT//mnmA//feoA//eamB//ridA//fepG//ybhG//rhmR//yegS//dapB//sfmF//agaC//lolA//gnsB//sfsB//relB//manZ//topA//pabB//nagD//glsB//hcaE//ruvA//nth//fdoG//yiaF//agaR//yjeI//glsA//cbrA//cyaY//asd//lpxP//speG//rhoL//csiD//rapA//yfgO//ilvA//yihW//araH//amiC//queA//yafS//bamE//hscA//sdhE//pgpA//baeS//hyfR//mhpC//panD//iscR//pdxA//cbrC//arnD//bioD//trpD//yiaA//lptE//rplQ//nupG//tufA//fadB//rpsL//cbeA//malS//ydiF//hisQ//yjiQ//fecA//napF//zur//yidK//cpsB//ybgP//ptsN//ybaL//narH//bioC//xanQ//xapB//dcuS//sdaB//rimJ//adk//yfcV//cirA//glk//ybjL//selB//metF//rsmF//pagP//yjjV//stpA//holA//fucP//nanR//iraP//dcm//rho//dinB//potD//ttdT//menA//ubiJ//dacD//nrfF//yjaZ//ychH//argH//narZ//potF//rlmD//yciT//yhjX//pdeL//folC//spy//tus//apt//bglB//eco//zraS//mutM//nadE//ygiB//pspA//ybiI//kch//hypT//thrL//yfeW//mprA//gspJ//arfA//fixA//bglA//asr//crfC//pppA//ssuA//rstB//yehP//rnb//serB//fadM//puuD//cas2//oppF//rpsN//dhaL//dgcE//eptB//ibpB//blr//fimH//ydiK//flgB//uspC//metG//nadD//gatZ//yadV//cysE//tcdA//ruvA//glgX//torC//alaE//kefG//glk//pepD//speE//pfkB//dld//yijO//recT//yidZ//btuC//agaD//cusR//sbcC//bfr//dpiB//abgT//dnaX//yjjB//ygaZ//rrrQ//yiaO//yqiH//pnuC//ybgQ//ftsE//hokE//pgi//entC//ydjM//efp//atpE//thiD//entS//cdd//ftsK//tpiA//yehT//zraS//hipA//yehP//fnr//acpT//yciA//ubiJ//mtfA//pheT//hisD//mobA//ruvA//rplK//alsC//tsaE//napC//fadH//osmE//mepM//alsE//murG//mdtJ//rsmI//frmB//yddG//rffG//yiaF//phoU//nrfC//yahO//cmoM//idnT//dacA//yihX//truA//yfhM//glyA//yjbB//cobT//yebK//melB//glsB//rutA//acpP//fepE//astB//hexR//ygiB//dgcE//purA//ytfR//yphC//gldA//glcE//chaC//agaS//dsbC//pabC//glnD//purD//wecA//yidC//ydgA//dosP//metH//patA//cra//menH//accB//hmp//rplQ//glsA1//glpT//tusD//coaA//mioC//nrdG//pstA//trkG//mltF//uidR//xerD//bolA//mcrB//aroH//dhaK//araD//murB//ycjP//yeaD//ahpC//insE-1//lpd//rplT//pdxH//nusA//rpiA//hrsA//arnE//idi//ompT//ccmA//sgcR//yebS//hemN//dacC//rnb//gcd//yeaD//htpX//gntK//tusC//gcvT//mdoD//gnd//dnaE//ldhA//panB//yeiL//ykfM//yfcQ//tilS//glpD//dsbG//rrrD//cmk//nagD//wecE//yghW//pyrL//eco//tap//ybjG//degP//putA//mdtG//torY//tusE//ompA//rseC//tufB//gspJ//yjaA//rssA//fumC//dgt//rstB//bluR//cpsB//adeD//pdeK//fliS//psd//yqiJ//zipA//ybiY//xylA//kdgR//rclC//queC//maoP//recF//rnc//kduI//yqgB//focB//fucK//chbC//argS//mmuP//atpA//nadE//lacZ//paaF//rclA//kdsC//accC//ynbC//yneE//ycjU//rhmD//yahO//lsrK//fepE//lapA//clcA//artP//trpL//ycjQ//citE//ybdZ//minC//
GO_0006952_4	pyrC//nudC//xylR//nrfF//mdtJ//gpt//potE//glcF//ibsA//rtcB//maeA//cmtA//
GO_0006970_4	nirD//yjfP//pyrL//nikC//cyoB//gnsB//murP//cvrA//rhaA//mutS//mntR//yfcP//ftsW//yqeA//fabG//zapE//ydjJ//ybhG//ttdR//truC//relE//nhaB//hemF//alaA//phnP//lysO//pgpA//fhlA//ycfH//gsiB//groL//yieE//eamA//ytfT//frdA//narJ//ppsA//pdeF//
GO_0006972_5	gph//ydhJ//yfdC//yhdH//glpA//der//fumA//kefB//caiT//murG//ettA//tpx//tqsA//gapA//
GO_0006974_5	galT//mtlR//aspC//alaS//uidC//idnD//pcm//ydeM//phnP//tolC//ilvM//yfcQ//gstB//leuS//yfbR//fmt//lolE//elyC//aidB//yobA//bdcA//ebgR//ptsH//atpH//ilvE//ynfF//tufB//cysB//cobT//rfbC//crl//srlD//sanA//ptsG//deaD//mdtL//bioA//gutM//lpxK//opgE//rsmE//gutQ//psuT//gntP//casB//modB//tdh//yagI//ralR//fumA//yhdX//nrfF//secE//rcsF//bolA//cobB//ydiV//htpX//frc//nanS//yehT//tbpA//galS//uxaB//yfcQ//kdpD//pcm//yieE//thiE//aphA//poxB//gntP//rimI//ahr//gatC//glnS//gatA//crcB//ybdH//metR//pgaB//ftsX//mazG//radA//yegV//rlmE//fruA//otsB//gatD//pdxJ//hxpA//prpD//hsdR//bolA//zraS//yidZ//rayT//sdiA//btuR//araB//tus//ftnA//artM//secD//sgcA//nuoN//ecpR//ccmA//mgsA//yfiC//minE//yddM//ygfZ//hisH//degP//ychH//glsA2//yedF//otsB//rsgA//frsA//artJ//ugpB//lsrA//ydiR//cheR//yfhH//fadM//sppA//ydjL//ydeP//rlmE//tsaC//yraR//selB//hybA//malQ//vsr//ompA//pepQ//ubiJ//alaE//rcsD//ytfR//ycjP//waaO//evgS//entE//yfgO//yieF//citX//afuB//oxyR//npr//sdaC//ftp//livH//ycjD//fcl//sutR//hycI//grxD//yihV//frdA//lpcA//ybbN//abpB//ghrB//ecpR//arfA//ygbN//ogrK//rlmF//selB//yebK//kup//yjjW//pphB//norR//lipB//mlaB//manA//yheT//yfdG//glpG//flgM//yhjG//oxc//rmuC//pstS//mltA//glpC//dtd//tadA//yoaB//nrfA//fruB//mdoD//tonB//nanE//yafO//ybhD//ydcM//melB//yhhY//gatC//ynhF//insE-1//ftsN//rpsN//tcyN//uxuR//fabH//hsdM//rapZ//paaG//pdhR//fecC//asnC//clpA//rpsH//sgcX//atpF//ruvA//bacA//cueR//pepN//ascB//puuP//mltG//yghG//rfbX//narL//lhr//dps//tktA//mraY//cspA//napF//yggF//xthA//ydcP//yibT//rplI//pth//tig//
GO_0006979_4	dtpB//cra//yijE//cyoA//gadW//wcaJ//elyC//rffH//potB//entA//pgpB//thiM//udk//ybdG//chaA//kdpA//kduI//umpG//yhcH//recJ//yhjG//spoT//caiD//yhjR//yhaC//otsA//rpiA//mntP//ffh//mdlA//amtB//rcsB//gutQ//cyaA//fic//uhpA//yghU//abgR//hemA//pdxK//hisI//dgcM//uraA//tauB//phnG//mdoG//nuoF//ftsE//gntK//rffH//atpC//mhpR//yahK//lacZ//sdaC//fumA//fadI//napF//flgC//rlmH//avtA//lldR//ldcC//sfmA//cobS//cfa//hyfR//fre//thrC//arfA//nrdF//rpoD//glpT//ompC//mnmC//raiA//cecR//insI-1//alkB//fabD//nrdF//psuT//yidQ//msrP//pspA//yjgX//
GO_0006986_5	flhA//ddpX//agp//yihR//lsrG//fkpB//
GO_0006995_6	dxr//ibsB//
GO_0006996_4	yfjR//yneJ//sgcA//mtlR//proA//fetA//yqaE//pyrD//secD//hypT//ubiJ//leuO//gapA//hycB//nlpD//leuO//pta//atpE//aroB//wecE//ygcW//pgpC//dnaX//tsx//coaD//cysB//adhE//ulaF//umuC//fbp//ydfG//ptsH//metI//ykfM//mprA//sgcC//prmA//zapB//cheA//
GO_0007010_5	ugpB//
GO_0007059_3	rpsP//tauD//wcaJ//rna//dmlA//sgcA//btuC//pabB//gcl//nlpD//
GO_0007062_4	eno//abgA//citT//narX//
GO_0007154_3	phoA//lptA//feoC//yfeR//gltK//selA//yfiE//gadW//fliA//iclR//ulaG//amiA//yraI//decR//yiiM//artQ//ssuC//nuoB//bisC//hns//sodA//kduI//yciG//hupA//truB//ihfA//dmlA//ttdT//rcsD//cas3//dtpB//yeiG//xapB//gspE//crfC//dnaC//trpB//flgD//nanA//valS//rpsK//ydiV//yihV//cmoA//sutR//murF//rbn//rpoE//rodZ//amiA//waaF//tsaC//uof//evgA//yddM//
GO_0007155_3	pta//hxpB//galR//creC//hrsA//pdxB//ascF//mutL//ydhQ//tufB//rraB//ymfA//sgcA//gpp//nrfF//yqhD//insB-2//hyaB//yibT//yciV//dinG//ybhI//etk//yfdS//yafO//poxB//yqcC//argO//sodC//yiaU//fes//frmR//aes//ybiV//asnS//
GO_0007163_3	ghxQ//
GO_0007165_3	galT//cspG//paoC//crl//hyaA//sfmF//yqeA//nadE//ihfA//sufS//hemA//lpxK//ispF//yjeH//nrdH//cysC//frwB//lsrA//pepT//smrA//napC//frc//tauA//copA//mprA//ugpE//hemF//mmuP//hyfR//mhpT//ybhJ//dapB//panD//fadA//ygdG//rpsN//metQ//yibH//maeA//mdh//gdhA//fimA//menB//lacY//yggF//mqsA//recT//tamB//yoeB//cfa//trmL//mdtF//trg//nadK//yjbG//xylB//cmoM//rbsA//prpR//metF//
GO_0007166_4	rzpD//yjbE//rpnA//uhpB//
GO_0007215_5	dgoK//mlaE//rffG//dhaK//
GO_0007231_4	insK//
GO_0007234_5	cheW//
GO_0007267_3	treF//agaA//
GO_0007346_6	xerC//tcdA//lipA//
GO_0007584_4	yjhG//fabI//rhlB//fumC//
GO_0008033_9	feoB//rfe//abgB//xseB//iclR//fklB//entD//yqiG//ydiO//nuoE//yiaN//lldD//ompN//ppiC//tdcB//yrbG//cyoE//soxS//hyfA//hisS//ppsR//sbcD//mdtC//nanS//rng//yphD//asr//kdsA//hdeB//patZ//paaD//ybcQ//yqaE//yfdS//xthA//cyoD//chbC//hslO//thiD//rpmG//yegD//rluB//ybdO//ymdB//xisE//dadA//hscA//truB//amyA//rhmR//cbtA//symE//rlmJ//hslJ//setA//pitB//
GO_0008104_4	xanP//cutA//ydiK//narG//ompF//map//pdxK//cobT//ydcS//gyrB//dgcJ//glpB//fliD//fadD//insI-1//ybiI//araD//ubiC//galP//nikB//insI-1//prkB//torA//iap//narJ//yafN//add//yjjX//insI-1//rffT//entD//yibT//cydD//ygcR//clcB//nrdG//yeeJ//tadA//sspB//trpE//aspA//glsA2//cusF//ubiG//cusC//murR//hyi//yeaG//fau//
GO_0008156_8	yheT//ansA//hslR//dmlA//mdtE//elfG//
GO_0008202_5	rpsT//
GO_0008206_5	thiI//
GO_0008213_7	rlmB//obgE//mntR//glcA//ligB//ydjK//rnpA//arcA//
GO_0008216_5	yfbR//msbA//pheA//
GO_0008219_3	yjcS//curA//glsB//flhC//fixC//rhaM//macB//acpS//rpiR//cysI//mntS//clpA//sugE//yajO//dnaT//
GO_0008272_6	zipA//msrA//cheB//rpsM//fimD//lsrC//elfD//
GO_0008295_6	kdpD//ppiD//zinT//
GO_0008299_5	ybfA//lpxL//yebZ//glcC//yfaL//rsmD//
GO_0008360_4	ruvA//nusG//hycA//tdcG//yghB//dgoA//putP//clcB//secB//btuF//sfsA//gcvA//topB//hisA//cdd//casE//
GO_0008361_5	hicA//rpsD//nirD//yafN//motA//
GO_0008380_8	ompN//
GO_0008610_5	creB//abpB//fbaA//nsrR//srlA//thyA//tatD//norW//waaU//kbaY//argH//cyaY//hemH//yneJ//glpF//yajO//argI//ldhA//tsx//yhbY//amiA//atoC//mnmA//recB//cobB//dcm//bdm//cynX//lyxK//uidR//aroA//malQ//rpsP//dctR//kbaY//yfjV//yeaK//tauA//ulaA//metQ//adiY//mqsR//cspB//argF//yneE//dcuD//ynhF//kdpB//sdhE//cspI//zapD//yafQ//dsdC//bglF//ybbW//chbF//wza//zapE//fkpA//waaC//alaE//nuoM//pgk//hsdM//sfmH//cusF//paaX//
GO_0008614_5	ygiV//feaB//galU//tktB//sufE//bioC//ampG//
