#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgrR//ygeW//metI//ilvD//
GO_0006814_8	uvrY//yadI//eptA//rsmA//ligA//panB//rhtA//ygbM//tilS//
GO_0006816_9	ibpB//
GO_0006817_8	acrE//tsf//ttdA//moeB//ldrD//eptC//ynfK//arcA//recR//
GO_0006820_6	malS//pflA//potH//yebG//fsr//yggW//msrB//bioB//araH//ugpE//moeA//gsiC//lpoB//npr//bioD2//thiG//secD//ribB//purU//nfuA//ftsY//sufD//proP//sgcB//napB//ydcT//entF//mcbR//exbB//rpmB//rclB//manX//pgl//cyoC//gltB//yihX//mrr//nrdH//proP//yeaG//clcA//ycjQ//gshB//ycgR//cyoB//yddA//glpA//rlmM//fdhD//aceK//yfbU//crfC//crp//serC//mcrB//lpxH//crr//bacA//gabD//fruA//ydjE//purL//nadK//dnaX//metK//hofO//glgC//sxy//purN//panZ//rsmI//rho//cusS//mdtM//rpnB//ileS//dsbD//uspF//eno//clpS//pstA//mlc//ydfG//yijE//kbp//yfhH//betA//lsrA//tolB//ydjK//rlpA//ispB//ftsP//proA//kduI//aroD//cysD//prpB//yfiE//hrsA//bcsA//yieF//gadB//ptsP//rplE//lsrR//agaI//aer//yraH//lysS//mtr//rpsR//ybiV//amiC//aceK//ygiV//asnS//ribB//envC//pfkB//hyfF//xisE//xylE//ycbX//pfkA//yajO//preT//ldcA//perR//ydiK//bolA//cyoB//puuD//potB//hflX//glgA//dapA//paaH//csgA//xylG//rpsO//fhuF//mrdB//menE//rhoL//zntR//nrfA//proV//adk//glcD//cysU//elaD//yigL//csgD//xapA//yihT//dld//tufA//hdeA//mcrA//proB//selB//ygiN//ybdN//argK//sgbU//glpT//yehZ//mutT//dpiA//pdxY//ppiA//soxS//trpA//cyoB//ydhK//rtcR//
GO_0006821_8	yihL//hyaA//yihV//
GO_0006824_8	mepA//cysZ//rlmJ//prmA//
GO_0006825_9	yidK//roxA//hipB//thiD//cytR//dgcM//fepC//
GO_0006826_9	ydiO//pncB//ribF//trpR//ycaN//rmuC//cyoE//ybiJ//purF//rep//hybC//ldcC//yaaY//gcd//cheZ//yedA//hchA//
GO_0006828_9	appC//fepA//queA//
GO_0006829_9	phoU//dgcE//murE//pepT//rcsB//citX//chbB//yegS//ogt//
GO_0006833_6	arfA//
GO_0006835_8	ompR//cusS//pcm//yhhT//ebgA//iclR//hipB//minD//frdC//ybfE//yhcF//ascB//opgG//arcC//
GO_0006836_5	ygfA//ygcR//ycbB//yecS//garL//gudX//yedF//sfmC//rpsO//mutS//
GO_0006846_7	yqjI//ybcC//
GO_0006847_8	zraS//
GO_0006855_6	yiaB//cpdA//intF//shiA//iscA//gpp//yidK//prs//yebG//btuR//zitB//dsbC//hchA//lamB//livJ//alaS//pdxJ//lrp//metC//ssuD//uspG//pdxK//rpsI//holC//fre//zinT//glpB//rmuC//ydcP//ydbK//dinI//ulaR//rplJ//bcr//yidC//nuoI//yhdZ//yadG//agaR//aroK//mntH//ydeI//ybiT//yghO//yraI//speG//yehW//pepD//agaV//rplI//vsr//rpmB//nhaB//rcsA//fliZ//yraI//rfaD//hypA//
GO_0006857_7	prlF//crfC//polA//ttdB//glk//tnaB//ligA//hemL//syd//yedP//lpxM//lrhA//csrD//leuA//metR//rarA//rpsR//pdeK//caiD//phoA//xanQ//zinT//cdd//dgcT//mcbA//ygeW//lpp//
GO_0006862_7	ygiW//
GO_0006863_7	yiaJ//mscK//fliG//ddpX//yajL//patZ//glpR//ygfZ//
GO_0006865_6	ygfZ//trkG//phnH//kdpC//dcd//gloC//yihP//yjhB//yadV//pspD//lyxK//tehA//ydfK//yfjV//proX//prpC//mqsA//yohD//aceB//yiaB//fic//sbcD//mdaB//amyA//garD//rhaS//cutA//ivbL//lon//malE//rutA//glrK//feoC//fadR//roxA//fepB//dapA//yifB//purR//yifB//clsB//yhdX//cycA//insB-2//tauC//lysO//wcaC//csrD//dnaN//cyoA//ompG//bdcA//iscX//ptsI//pyrD//gshB//ileS//eno//bdcR//yobA//fdnH//intQ//tnaB//lsrG//yaiW//potE//torZ//rcsA//rnlA//yajQ//mntP//mutT//creC//
GO_0006868_7	lysO//rpnC//wzb//
GO_0006869_6	secM//cusA//nuoI//cbeA//yddG//kdpC//udk//glpF//minE//rzoR//sbcB//ygbL//raiA//pdeD//uvrY//yjbG//yadG//hslR//yfeD//glsA//torC//rtcB//phoA//
GO_0006873_5	rtcR//rpmC//yehZ//raiA//ytfP//yqaA//ycfH//kdsB//yfdG//uhpA//murG//waaB//tar//fadL//pdxJ//yghG//rplT//nagK//nadK//gshA//hemD//yfiR//yiaO//sad//nirB//paaX//ulaR//nei//wbbK//galF//
GO_0006874_8	purA//
GO_0006875_7	aceA//mdtO//holC//mdlA//queG//dgcN//ebgR//lipB//satP//clpX//cheR//tauA//yiiD//yeaV//wecA//aaeB//rpsP//asnC//hyfA//uvrA//pcm//
GO_0006876_8	lgt//
GO_0006878_9	ubiX//folM//mntH//lolA//lsrR//
GO_0006879_9	uvrD//rmuC//atoS//rpmG//nrfB//ppk//acrR//lipA//cas2//lgt//wzzE//
GO_0006880_4	kdpC//glcF//thiQ//
GO_0006882_8	rbsB//
GO_0006883_8	gabP//kduD//ugd//
GO_0006884_4	leuS//ykgA//mrdB//fliA//ybiJ//
GO_0006885_9	yhcD//phnM//hyaD//dedD//yfhM//potA//def//gadB//sfmD//srlR//hsdM//
GO_0006886_5	phnI//caiB//cysQ//flgG//ppiD//dcuS//degP//rutD//ribC//ydiO//trpC//
GO_0006928_3	fpr//lptE//lpxK//hyfA//sufC//bamC//rpsS//priA//pykA//yceD//sspB//xerC//nrdI//dps//dhaR//cdaR//tehA//speF//argB//alaE//glgB//hslJ//nlpA//dusB//mltD//yraK//glgA//yahO//hscA//yjbH//nlpD//ybiX//trmI//gapC//lptE//arfB//topAI//mscL//mutH//umpH//ynfH//insB-4//ydiR//katG//
GO_0006935_4	hemF//ybjN//phoA//tsx//rpsL//tatC//ynfF//yidL//idnK//ssuB//mutT//yibA//ybdG//yfgI//cmoM//insE-1//
GO_0006950_3	tusC//sbmA//znuB//galU//rcsA//ycfS//cho//ftsP//rplF//hinT//ybjL//fnr//bioA//erfK//ada//mntH//bglF//dgcJ//insH-5//rtcR//ybhJ//folD//yfaX//holC//dtpB//ariR//pdeH//elaB//recC//gsiC//ulaF//abgT//nhaB//yajL//rnc//napC//appB//yfaV//cysP//phnN//dfp//ftsK//iaaA//kdgT//waaG//nrfC//yeeL//rfbD//ccmD//yhaC//dgcQ//cysG//rlmA//dsbG//mdoD//recC//elfC//livK//iscX//tusC//argP//yqiJ//cysC//gcvT//copA//narJ//yfaE//scpB//katE//glpG//yhbY//ycfS//erpA//yeiE//mnmG//ftsW//melB//lrp//cysS//yfcQ//glpD//exuR//yjbB//rne//yegD//iscX//yrbG//era//ghoT//rlmJ//trpB//cpxR//fepG//msrP//pgaA//ybeF//potC//yghO//araH//glnE//csgB//ihfB//hxpA//recJ//gcvH//leuS//csgB//yidZ//fixA//tsgA//rfaD//fadM//rpsD//ytfP//dsbA//yidE//hipB//ydiF//ycjD//fecA//paaX//amiD//ydeT//potG//mdtM//flgE//cytR//upp//frvB//lspA//pgaC//yejE//envC//agaW//xisR//sucC//yeiL//ulaG//astC//phoR//rhaR//flgI//alr//xisR//ftsH//sgcX//cfa//hyfA//pntA//cysI//yiaL//hypD//tolC//glcE//yfcF//yiiE//rpnB//yegV//frvR//thiE//hyaC//yiaT//fadR//cobB//ftsI//emrK//mcbA//mdaB//insF-1//nlpD//potD//ppiA//sapA//gcvH//cvrA//ssuE//hisA//tamB//emrB//gmd//fabD//yafQ//ompL//asnA//fmt//waaP//yhiM//thiD//malK//bssS//frvR//ydhK//blc//ftsH//yiaT//yfgI//glnK//adeP//menE//yjhP//hokE//mdtB//rppH//ushA//folC//dicB//yjfF//cra//tmk//lpxH//cysA//nanT//hyaB//mdtM//nuoI//aes//ibsC//pyrF//fdnG//ybcJ//chaC//matP//uspE//fetB//sbp//ybaL//pagP//bssS//narU//cynX//narZ//era//rbn//amyA//rraB//argO//gnsB//fliZ//yfdG//yafC//tyrR//metB//fhuC//rrrQ//dadA//idi//rfaD//yajL//yegV//rsmB//ybdH//sdaB//decR//rlmI//yhjV//rlmD//rarD//fimC//yddA//cpoB//tolC//ybiT//yihO//rihA//yfgJ//fdhE//der//hdeB//folA//mglC//ydaN//slt//pspF//hcaC//yeeO//ttdT//pppA//hisC//luxS//phnN//hypD//glcC//frwC//yjjI//yagU//slyD//yaaJ//clpB//kdsC//pyrC//cra//lysA//agaC//metC//trxA//yidH//yajL//secA//mngR//rplP//glnA//deaD//ycbB//uxuR//yphC//elaB//phnJ//asnC//dsdC//ydiF//yiaJ//tcyN//feaB//ybgI//hisQ//norW//metC//ycaO//secY//ycjW//murA//baeS//lgoD//pmbA//priA//ttdR//gdhA//patA//lipB//gmd//curA//nupG//yafO//yehP//frlB//wrbA//nagA//rbsK//yneL//lplA//yahK//zupT//pepN//dctR//ychO//ruvB//bioP//idnK//hscA//comR//ldtD//cpxA//tsgA//envC//rfaQ//ybcJ//rssA//asr//xseA//ypdF//dnaE//mrp//rimM//kduD//minE//yehC//deoD//fecD//agaI//fdoI//yggD//nrdD//tldD//pmbA//frc//yfiC//trmJ//paaC//rnlB//hycA//yaaY//oppD//napD//rffC//prfC//tmcA//fimG//asnB//fixA//cysW//murC//ykgA//yhjR//rarA//tsaE//ybiA//yehZ//exuR//ybfA//plsX//pyrL//trkA//paaZ//nupC//folE//degQ//leuC//dmsA//gadW//cyoE//higA//htpG//mhpB//ampH//htrE//aroC//narY//pinR//wecC//yghU//yghG//dnaN//rzoD//glnA//bioC//gltK//bioH//narW//hflC//dmsA//tynA//wzzB//bglJ//ubiJ//mrcA//yraK//speC//ybaE//waaP//ffh//pgaC//ydfG//argP//glpK//recX//oxyR//nrfE//prpD//tsx//adeD//narG//tolA//sapA//rluC//kbaZ//mdh//fadB//cusF//nagB//ybjN//yidA//bioF//yjfF//dgoA//cysH//ftsY//astB//xylB//yqiH//psuG//fieF//yfhM//rfbC//hisA//ppiA//ispF//yrdA//mutH//bfr//trpA//torR//rssA//
GO_0006952_4	frvB//aroG//yeeL//frmR//udp//moeA//sfmD//recC//ssb//mgtL//artJ//yhaO//
GO_0006970_4	sbp//ynaE//ybdZ//ddlB//lolE//yciF//ychF//hisG//gshB//kbaZ//appY//wzc//ydcT//ybjC//yrdA//xerD//hemE//puuC//yjfF//brnQ//yehB//hisM//cobS//rpoD//malP//intE//patZ//hyfC//dcuD//dcuB//yiiM//scpB//hybC//deoB//lolC//mioC//rng//yjbE//
GO_0006972_5	waaL//frlC//yhdW//pphB//fre//topB//fabA//hypF//sfmF//pheP//sfmD//arnD//yohD//sdhA//
GO_0006974_5	znuA//acpP//nadD//trpR//bamA//amiB//yihO//wzyE//yfeR//iap//gatZ//gsiA//potE//lacI//ileS//hflC//xerD//ubiH//uxaC//elyC//yfhM//fadE//thrL//ribD//glpK//lolC//yfdO//pyrG//cpxR//tar//yqeG//mdaB//sspB//yjjQ//phnG//yjbE//lsrK//fumC//rlmG//yqaB//rcnA//cysG//bglX//pspD//ydiB//kdsA//galS//yabI//dmsA//cho//ynfL//hdeB//nikE//torR//mscM//ompT//yggD//yoeB//csiD//flgH//aspS//gpr//yjbB//fetB//ftsA//cspA//cysQ//ycbX//yejE//hcaT//gldA//fmt//hflK//tolC//tdcD//nadA//rmf//nhaR//rpmE//glxK//dcuD//yifB//fecD//gapA//yiaM//sgcR//nadC//rsmD//yjiY//uxuR//speF//dcuR//rstB//pdxY//hiuH//hxpA//glgB//uvrB//hisD//ydcZ//cysQ//serA//ilvM//emrB//prmC//gltX//rimJ//rpsI//nanT//accB//yqcG//dgoA//ygfA//ybfE//tehB//hisF//ykgM//cho//elaD//ruvB//pdxY//ispA//metH//speE//ulaC//yehA//ycbB//intS//nirC//pagP//guaC//ydfH//opgD//ralR//clpB//rcsB//putA//lysP//frsA//rpmJ//rlmI//pdeL//scpB//gudP//hxpB//rutF//pyrE//dgoT//panC//pbpG//rutE//ompL//tmk//kbp//gsiA//dgoR//dnaK//prc//mngA//fepA//gltD//yihU//kdgK//fdnI//aldB//ompN//speG//leuD//ssuE//alsC//bamC//pflC//hslJ//proB//glpR//ssuE//yghG//ung//mepH//cbpM//speB//stpA//waaF//fadH//stpA//hisA//ebgR//yoeB//ygeW//proP//adhP//exuR//evgA//ppk//moaE//cusA//cysP//setA//yihI//yneE//pheA//nagA//hdfR//pdxK//araD//glgS//tdcD//atpF//chbG//codA//rfbC//amiB//glsA1//ydfD//rimP//ftsL//cyoE//kdpE//fliG//oppA//obgE//cyaY//rpnD//thiC//yjcE//proC//bglX//murR//ftp//acrE//panD//ypdF//zraS//uspC//ybhP//yidZ//rplY//citE//sfsA//glpT//eutD//mdtK//rna//hisA//yehC//proP//
GO_0006979_4	deoA//ybiT//mukB//fadH//lldR//ybdG//ldrD//yhjG//mdlB//proQ//tusC//uspB//rpsT//mlaB//gor//npr//bioD2//yiaN//arsC//pspD//parC//dinQ//ychO//livG//prfA//tktA//rayT//ampH//gabP//bioA//pitB//pheA//ebgA//rsmI//mdh//entF//ynfE//glnD//birA//hflC//tabA//gltL//ymgF//truB//hemF//roxA//hybG//nhaA//vsr//rpsG//chbC//iscX//dacB//sbmA//yciV//ygcO//rplR//rpsB//holD//sucA//lnt//scpB//rhtA//rplE//ybiT//cvpA//menI//dgt//metC//pdeD//slyA//murA//yggX//yaaY//puuD//tauB//rstB//thiG//ybdO//ybeQ//mhpD//tsx//pykA//alkB//maa//fimF//
GO_0006986_5	cheA//malS//dgkA//gudP//kdpB//ulaG//
GO_0006995_6	hyaD//narX//
GO_0006996_4	lsrK//betI//yqeA//paaK//pdxJ//mdtP//frlA//emrD//metB//yfdO//rclC//dcuS//curA//yidC//stpA//ibaG//satP//iraD//elfD//borD//mntH//mdtG//proA//secE//dmlA//gcvH//ribE//phnO//waaC//yceO//agp//potC//tsx//udk//priC//queA//ftsP//eptB//nlpA//
GO_0007010_5	nlpE//
GO_0007059_3	oppB//ispU//pflB//gatB//macA//allS//nuoH//phnO//glnA//ydcZ//
GO_0007062_4	csrD//yciV//guaD//cnu//
GO_0007154_3	pal//ytfP//coaA//rpsD//yhbX//lolA//rpmC//hypF//eamB//rseC//sufD//moaE//cpdB//agaR//panC//nikE//hisC//ribD//rclR//mdtB//kdpE//secM//lspA//nlpA//ybaT//apt//xylR//codA//rplC//ugpA//cas2//secG//rbsB//rutE//idnT//yqjI//rplX//rpsS//fixC//rffT//moeB//yfiF//macB//yagG//nlpD//rdgB//hslV//garR//murA//phnH//sixA//fhuF//pdeR//rihB//glpB//
GO_0007155_3	gltP//nagC//feaB//yagI//dnaT//yagI//fucK//hybO//hycH//msrB//ftsW//pdxY//glcE//ybfE//xerD//yiaN//narZ//lptA//ycbV//mscM//paaX//yfjR//menE//yhfK//fkpB//ldrB//lgt//mdtO//tcyL//hemE//rplM//kbaZ//frlA//prfC//gltS//
GO_0007163_3	iscX//
GO_0007165_3	folA//yfcR//cpxP//rep//hypF//ssuD//rfbC//yfhM//lptA//lsrG//pinE//sgbH//gatC//yjgX//treA//lon//truA//pdxB//ruvC//arfB//xthA//ybiI//garD//yejE//fliL//phnL//fhuF//mhpT//rpsN//entB//ompC//tdcD//fryA//yfbS//tyrA//thiG//epmC//gstA//osmF//btuE//kdsA//araB//arnE//prc//ydaC//hcp//aer//uup//bglH//yagF//fliS//uvrD//bluR//yaaU//otsA//fixA//uvrY//fepE//hmp//adeD//
GO_0007166_4	btuC//phoP//atpC//thiE//
GO_0007215_5	intS//paaE//hscA//cas3//
GO_0007231_4	rhtB//
GO_0007234_5	dosP//
GO_0007267_3	marR//ygjR//
GO_0007346_6	srlA//cbtA//tnaC//
GO_0007584_4	adhP//yedL//copA//rplC//
GO_0008033_9	cmoA//tdcC//cmoB//ybcQ//fbp//btuD//hupA//bfr//epmB//napD//fruA//yqaA//prpD//lsrB//clsA//panE//oppC//iscX//rlmN//fsr//glmM//frc//ybhF//rcsD//bipA//pbpG//yacG//hofQ//ttcA//gspI//tisB//ybcQ//cedA//sgcA//frvB//ybiX//mqsR//nupC//dps//gluQ//ydfH//djlC//yhdJ//topA//csiD//fepC//glnL//ibsB//flhD//rhmR//bolA//oppC//mukB//tus//deoR//yoaA//
GO_0008104_4	hypB//eco//ispG//yiaU//ftsP//entS//ydiQ//murE//yfiR//parE//mliC//sbp//rpmH//frvB//treR//yfaX//agaC//rfaF//atoB//cyoC//cysD//caiB//hscB//pdeD//sixA//cydA//phr//mreD//yhbS//gloB//allS//ycjP//nikB//crl//galU//yfeR//yebZ//dhaL//rdgC//pyrL//yhjX//fau//ghrB//gloC//rsfS//sufS//yhdZ//cysU//tas//
GO_0008156_8	citE//yjiX//yicJ//waaB//trg//ftsY//
GO_0008202_5	yfgJ//
GO_0008206_5	glgX//
GO_0008213_7	mdtM//rfaC//rihC//gyrB//fadR//adeQ//pldB//nanT//
GO_0008216_5	nhaB//hybE//murD//
GO_0008219_3	glpT//ybjD//ybiI//queC//pabA//cysD//metG//higB//yibA//puuB//ccmF//mcrA//aroE//ygbM//cusA//
GO_0008272_6	rlmI//phoU//lpxM//tus//arnA//znuA//rplT//
GO_0008295_6	insI3//cysH//ubiF//
GO_0008299_5	tatB//gltS//minD//frdC//uspC//sgbU//
GO_0008360_4	puuB//ygjR//rpsL//appA//paaJ//waaO//ygdG//mtfA//tag//proV//trkH//rodZ//yahK//ybcF//ybhI//torR//
GO_0008361_5	gadW//yhcN//rplW//ttdT//ybaK//
GO_0008380_8	gcvP//
GO_0008610_5	rcsD//tesB//lysU//nhaA//ybhD//rodZ//rraA//dtpC//ribD//yhhT//msrQ//yecS//yejE//ubiA//mdtA//acrF//araE//yjjV//hypE//dkgB//yfdG//rplA//ybjX//yiiD//cbpM//srlE//yjtD//menI//potB//lamB//dacD//rpsH//ybfE//napD//dgcM//yafE//moaE//rcsF//tdcF//csgA//glmS//entC//sbcC//ybcF//ycgR//ydjE//ispH//rpoH//pliG//ftsB//hemE//agaA//ibsC//ydiP//hokB//yehC//clsC//plsB//hemL//fliD//ygiS//yadV//pyrF//intF//prc//ccmF//priA//
GO_0008614_5	ariR//yeaG//yrdA//htpG//pinQ//tcdA//gmk//
GO_0008615_6	yciH//ulaC//torD//cusC//yjjI//setA//cheW//
GO_0008616_8	mqsA//fdnG//mlaC//abgB//gsiA//arnA//csrA//
GO_0008617_9	ilvL//
GO_0008643_6	citX//dcd//flhD//lexA//phnN//nfi//ivbL//rcnB//tag//rbsB//ydjL//ihfA//udp//nepI//yeeY//gsiD//prpD//cueR//csrA//nac//greB//ascG//yidC//rhaS//gudX//rlmI//treR//ampH//ygaV//serC//frdB//cof//fadH//mqsA//ldhA//chbR//focB//iraM//ygeA//ybgQ//patZ//yciT//nikR//hemE//hpf//moeA//flhD//maeA//frdD//bacA//hcaF//rep//allC//wcaC//yhcH//ftsA//yjaA//cpsG//yidE//pdxB//rnhB//mepH//spoT//fur//kdsB//yjbG//ygjH//atpA//ycfS//fieF//aes//paaB//araA//bamD//rplK//cheY//rho//torI//rcsD//wzc//yehX//aroC//eamB//ahr//lpxC//ubiJ//pdeK//sgcC//insA-2//yjjU//adk//surE//mdtB//pgpC//epmC//tatC//rlmC//yejA//mdh//yifB//yhcN//ybiO//entF//clpA//hisS//rplE//rimJ//yifB//lipB//syd//fadI//mdtF//atpC//chpB//
GO_0008645_8	ppiA//cbeA//atpB//ynaE//yaaA//livG//nanT//argT//yaaY//rffT//ygcR//hpf//norW//agp//tamB//yhbS//dnaG//aldB//cysQ//pheT//seqA//tatA//gltS//eno//
GO_0008652_5	acrA//ldrD//fdoI//nuoH//casE//napD//selD//dgcF//pstC//hypA//ygiW//dnaQ//bioD//bioH//frlR//lptD//prfC//yqeF//yidE//yahO//yqiI//ccmA//waaZ//casB//selU//ahpC//norV//yehZ//ykgA//ydjL//ybiV//secE//ygeA//dcuA//gcvA//waaG//thiH//fliA//rlmB//ybiV//rcsB//yfdC//elaA//macB//yieH//mtlA//nhaR//glmS//sgcX//ydhQ//yphB//dgoT//ubiG//lepB//minE//fkpB//csrA//casB//symE//mtfA//ompR//rutD//ldhA//marA//otsA//rng//yfdG//nikE//rpmA//speF//bamB//ccmF//rplR//hypT//puuR//gluQ//yhaC//viaA//rssB//pepD//accB//srlE//cspD//ygjK//cysE//dxs//sapC//ybjD//speB//ubiX//ccmC//gcvT//ybaO//hisS//lpxB//hycB//frsA//pabC//galU//ccmD//yqiG//cusR//ybbN//mcbR//yfiF//yidC//ycgR//fabG//nuoE//ynfF//parC//dkgA//nupX//dsdC//
GO_0008653_5	trmB//fixB//ygiW//hypT//tilS//srlR//adiA//rraA//uof//lpp//araG//ubiH//rbfA//
GO_0008654_5	mipA//mtlR//purN//ung//ygbN//cra//csrA//ydjE//dhaR//rsmJ//tig//adiC//lysC//waaS//yfdC//rbsA//agaV//ydiP//proV//ptsG//nanA//hprR//acpP//allC//lplA//ynaI//ydaN//lolA//pdhR//prmA//oppD//yrbG//cnu//abgA//potE//
GO_0008655_5	rplQ//ybcQ//prpR//proW//metG//metF//efp//
GO_0009050_6	argT//rpmJ//
GO_0009052_6	tdcF//ralR//arcC//rsuA//nadA//tpx//ibaG//
GO_0009056_3	rhaM//umuD//yobF//potG//yaaY//rlmH//mdtD//yehD//phnM//mrcA//ycbU//ydfG//entE//hybG//ugpE//mscS//lpxP//rarD//moeA//ldtB//maoP//ihfB//sfmA//waaJ//yidL//aroB//glnH//gcvR//ykfM//ynaE//opgC//tusD//sbcB//rutR//priC//ibsB//ubiF//yciF//rhmR//ydiR//opgE//yebS//sfmA//dmlA//tehB//fimB//yiiE//rpe//fabD//yedL//bluR//ygjH//yiaJ//yhjA//purL//ydfG//yhdH//nusA//kdpB//corA//yidH//exoX//nhaA//sapA//trxC//rbsR//aceA//amyA//exuR//waaS//frdB//xerD//cysS//ybhF//slyD//wcaJ//yfcF//dpiB//cysH//srlE//crl//hprS//cyaA//argH//yhaC//rffG//rplS//truA//ycbU//metB//plsB//hisP//alsC//rfaD//yfdG//ycfH//ftp//cho//recQ//hisD//yadG//yfcP//mug//csgB//chpS//rfaF//fis//cysC//insI1//cobS//yddG//yajL//purB//aroL//gntT//prfA//pinQ//hybD//yifB//eutB//flgB//glnL//ydiQ//dmsB//yjhH//sapC//sohB//ydjJ//pphA//mgsA//ddpA//ymgF//yicJ//dmlA//artM//ascB//fliA//ygbL//rimJ//fhuC//ftsP//mdtK//lgt//cdd//ypjD//zitB//sohB//pyrE//malS//yoaA//yagF//ascF//flgJ//fumC//psd//epmB//lldP//ymgA//mdoG//clsB//hyfF//puuB//lgoT//hslO//clsB//casE//rpoA//yjbF//mppA//setA//tsaC//lipA//rpoS//yadI//tdcE//rbsK//plsX//nrfF//xerD//proB//cmoB//dicA//dppB//bioC//cheW//sufE//uvrY//cysE//hscC//murP//hchA//rbbA//gcvH//pdxK//hemA//yrbG//msrP//mutH//folA//ubiE//flgA//tas//rho//sfmC//prpC//ygiW//leuA//guaA//ttcA//ihfA//grxD//truC//trmO//atoS//yhfS//clsC//rnc//zapB//abgR//hisB//tdcF//rhaB//katE//exuR//agp//yafS//fecB//ldhA//hyi//minE//leuD//ada//proB//yhdZ//patZ//secM//kgtP//trkG//eutA//ydhK//yaaA//flgI//hslO//metH//nrfC//wzzE//yhaO//hflK//purD//tomB//essD//ppx//mraY//thrS//ggt//idnO//selB//fis//torI//yggX//yghG//livM//accB//yehU//aspC//yegD//cecR//hokB//fis//nfuA//acnA//yfdS//ispU//sapC//fbaA//rnt//miaB//rplC//ygbM//sucB//ptsN//rpsO//znuA//cysS//zntA//cptB//trmA//nrdH//grxD//cueR//dcyD//xerD//nrdH//arnA//lpxL//yfbR//fkpB//yggD//mocA//xisE//sbmC//zwf//ycdY//yeeY//yhaJ//moaB//mtlR//gatD//rbsK//cas2//rplO//yahF//ulaE//arcB//yihT//menE//yeeY//cyaA//panF//csrD//ydaC//ubiA//uspF//gltB//xylR//dosP//uxaB//yiaM//mmuM//murG//pstB//rlmF//lipA//iscR//rraB//rcsC//btuC//thrB//parE//atpH//elaD//gudP//rcnA//narK//mdtN//ubiC//glvB//cysG//seqA//stpA//uspG//cdgI//gpp//slt//dcuD//yoaA//minE//gatC//dnaC//aroB//hdeA//atpG//mdtN//rfbB//nuoH//sfmH//cutC//yqjH//ygeA//gabT//pitA//flhC//gltP//tcyJ//yidR//iscS//osmF//yjbF//tsgA//aroH//citC//metQ//lolD//slyA//mreB//zraS//metN//ftsK//pnp//yoeB//mltD//ydfG//ynaI//satP//gltL//sufS//rlmN//epmA//opgH//garK//lpxC//araE//fadD//thiD//yraJ//ispU//yihU//greA//tsaE//sbcD//pdeK//atpD//nanR//hofO//narY//yhjD//
GO_0009057_5	cheA//yfeX//yqaA//alpA//rplY//gntP//yjbG//rlmE//tisB//uxuB//yidK//yihS//oxc//ftnB//xylA//priB//mdlB//flhD//hyaB//rstB//lpxT//fepA//birA//yfiE//bluF//ycfH//setB//aroL//arfA//yhaJ//ascF//rlmL//rimM//lgoT//mgtA//lsrR//arsC//fklB//yqaA//dcm//clpA//dacC//minE//potI//glvC//hisF//yrdA//polB//pcm//ftsA//bioD2//xerD//elyC//rlmC//
