#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	diaA//sapD//lsrK//ralR//
GO_0010558_7	afuC//menC//rbfA//ybiX//hypT//hha//apt//idnT//lpxD//tufB//shoB//glmU//ymfK//nth//leuO//rpsN//lysU//umpH//trkA//tatB//csgF//sgbH//recT//hflX//fliG//secB//fryC//rpsO//rpsT//yehY//ada//rbsR//tynA//ydcT//feoC//nagC//panZ//adeQ//ycjD//hybG//otsA//envR//treA//mscS//preT//ymjB//yehT//hpf//aspC//fixC//yciG//minE//soxR//gcvT//tktA//narG//paaB//ymfA//yeeO//pgl//nrfA//phnN//psuT//sxy//lplA//elfD//rutB//rpsS//emrY//yihX//ycfL//acrB//yciV//waaS//umuD//ycjD//artI//ybcF//rffG//fbaA//waaF//glvB//citX//pntA//ycdY//rhmD//fliL//gspE//rpiR//mdtF//hisM//rhoL//ydfD//hypB//tdcA//insI4//gcvP//sapB//feoC//cyoC//argF//ybgQ//rplO//cbl//deoA//rplS//hypB//argO//nagK//nagZ//ybbN//rph//aceK//murR//yhhY//mcrA//ibpA//selB//ydfK//tcdA//
GO_0010562_7	allB//cdaR//
GO_0010563_7	yihT//waaQ//
GO_0010564_6	ycjR//ribE//ppk//metC//rfaH//
GO_0010565_6	ndk//prmA//yiaN//mhpT//kbp//btuE//
GO_0010604_6	sapA//nrdA//ppiC//dapB//proX//narK//dcd//ygaZ//ycjY//rlmN//ygeX//artI//kbaY//plsC//entH//yqiH//wecA//hrsA//yfgJ//ygjR//chaA//deoC//yadI//rutD//acrE//dkgA//btuR//yddG//mdtJ//nfi//mscM//ybjD//ykgO//ycjP//xapR//yacG//torD//yfdS//agaI//scpB//prlF//dppA//folX//hycA//yqaB//ccmA//eco//sfmF//hchA//rimK//rutE//phnI//rdgC//yccS//mgtA//pgi//tpx//tdh//csrA//garP//ypdI//alsB//mocA//ydjL//ubiA//oxc//dppB//arnA//tilS//yidD//agaC//amiB//yihT//yqgB//topA//uxaA//yrbG//clcB//rplS//ftsX//zraS//aspS//cobS//treC//rplI//hokE//yjcE//ybbW//hemN//yehP//ispH//appB//lit//
GO_0010605_6	folX//pheA//ydjJ//rhaD//rffH//thiD//rffH//yeiL//intF//yggW//mreC//yhaC//metF//mltD//dnaX//oxyR//pdeR//pgpA//trpL//ybiH//yiaN//gspI//yqhC//ydiP//chbG//fsr//mqsR//preA//yhjA//arnB//pfkA//npr//malY//ldtE//casE//manX//cysZ//cyaY//yfeX//rihA//glpX//casB//mreB//hslR//edd//selA//waaP//recJ//zipA//rhsD//efeO//ghrB//cpxP//garR//metQ//tap//lpp//rluB//ftsL//arcB//fecD//btuB//opgB//ybgP//ydhJ//ccmC//ftsP//ydiV//ompW//uxuR//cueR//cheW//ais//metH//emrD//gstB//pal//dgcN//rpsB//dtd//nagD//deoC//mglC//uhpA//yfjR//macB//ybdR//yiaU//ftsB//parC//nhaA//mdaB//cyoA//fruK//asmA//ilvN//malZ//yfbV//pyrF//yhgF//mngB//yhjA//yadK//appB//mntS//pykF//lplT//folX//lsrB//selD//cydB//ybiT//metB//rplX//moaA//rimK//rsmI//holC//yjhG//ydhQ//degS//rpsJ//zinT//ftsQ//setA//glnH//clpS//ibsE//dgkA//zipA//yjiR//ybiT//nac//ftsW//mdtK//btuF//nrdB//bisC//dppB//folA//dinJ//melB//dpiB//hflX//
GO_0010608_7	rseB//rzoD//nhaB//glnK//arfA//tpx//yqhC//yehC//pyrC//xthA//fadA//araH//dps//gluQ//yeeO//rhlB//metL//gspF//nanC//zraR//map//gpsA//nuoE//sgcR//yahB//wecA//rlmL//codB//ybdO//xseA//gdhA//fabZ//yhdH//tdcE//napC//yjcE//yhdW//yeeL//ybjI//cysD//waaP//yaaU//mlc//argT//
GO_0010628_7	recF//cysZ//yfeO//yfhH//yiaO//ldrB//ratA//aroP//paaK//chaC//fis//rpnB//chbB//rbsK//cysI//chbA//yqiJ//yehY//yohD//asnS//phoQ//waaF//dgcQ//aes//dinQ//ushA//nrdF//aroH//napD//ogt//sodB//gspI//dsbB//cheY//hofQ//aqpZ//ubiD//acrB//queF//basR//lgt//ulaD//argE//exbB//aer//pabC//moaE//tdcC//ygaZ//cvrA//pyrD//narW//gutQ//aroL//ygbL//cca//yihW//ybgQ//ygcW//mazG//ydiQ//yggN//crcB//yqiG//nikB//alsE//yhjV//rppH//acpT//yqhC//tatA//dgcT//fepC//yaaJ//mlaE//fliD//pitA//fabI//gabT//eco//aroD//lipB//yeaE//
GO_0010629_7	cheA//pgi//rlmD//blr//lldR//yiaL//mtnN//uspG//macB//chaC//paoC//pykA//purB//pepQ//cvrA//frlC//ispU//yraH//gltK//mdaB//kduD//yfbR//skp//lpxH//yfiR//cusC//atpC//ompL//ydcM//potE//waaG//ccmC//sfmH//ccmC//garD//yejA//ybaL//selB//leuO//gltX//dgoK//dppB//lpp//frlC//trg//mscM//yfgI//cysB//gapA//borD//rsmJ//yehP//hiuH//pflC//rimO//trkA//adeQ//phoR//tisB//metE//rraB//cmk//araH//hofN//bluF//hemB//ycgV//yiaU//dgcN//cpsG//fruK//ygfX//uidA//pgk//maeA//xerD//ymgA//rlmA//rlmH//yieL//acnA//napB//elfC//fhuD//hofM//deoB//yjbE//amtB//ortT//uspC//ilvD//yaiP//bamE//ihfB//tdk//ptsH//argK//yhjB//ibaG//yoeE//rpmC//alpA//nfsB//zapD//treB//glcC//xanP//atpA//rihC//rutC//yfaL//yfdS//ftsL//ulaR//ygeA//gutQ//zraR//frlR//ftsX//yaaY//lysA//hybA//ddlB//dnaX//ygbI//rpnC//gcvA//argG//
GO_0010638_7	chbF//epmA//
GO_0010639_7	sspA//hpf//lgoD//
GO_0010646_5	flgJ//
GO_0010648_6	phnO//
GO_0010675_6	nrdG//tldD//glpA//rhtA//idnT//hicA//
GO_0010676_7	glsB//glgP//
GO_0010677_7	narV//
GO_0010699_4	ompG//lgoR//
GO_0010810_5	ileS//phnC//
GO_0010817_4	ycgR//waaF//csiD//macA//ycfH//ycfS//fecD//rcsB//potE//sdaB//aldA//fdnI//fucK//fdnH//
GO_0010827_7	mraY//
GO_0010829_7	leuC//
GO_0010876_4	tusA//
GO_0010906_6	fdx//glnE//
GO_0010907_7	ykfM//
GO_0010911_5	abpA//rbn//cyaY//
GO_0010921_6	rng//osmE//nfsB//yggN//
GO_0010941_5	eptB//
GO_0010948_7	elaB//flgE//
GO_0010951_8	accC//fadD//
GO_0010962_7	agaI//pabC//
GO_0010966_8	ybiX//
GO_0010967_6	fimI//
GO_0010974_7	pdeH//
GO_0012501_4	cysW//ftsA//ddlB//tusA//purU//dnaA//ansB//groL//astB//sufD//iraP//kdsC//aqpZ//
GO_0014070_5	dacD//yfbS//
GO_0015031_5	mscS//bepA//accD//pheT//yafN//dicA//bssS//sstT//queF//cysI//yehU//lyxK//truB//pspG//ybfE//rfbD//rluE//yjiA//tomB//nupC//putA//wbbK//dsdA//aroA//rapZ//trxA//arsC//pstS//narQ//nrfC//fliZ//yqeA//trpB//ppiC//proQ//sppA//hofO//rimO//yrfG//yegD//rpmB//
GO_0015074_6	moeA//rhaR//bioC//ymgF//dgcE//ygcW//ydfG//
GO_0015628_5	pheT//pbpG//add//aidB//carB//
GO_0015669_5	ssuE//
GO_0015670_6	ydcZ//
GO_0015672_7	rhaT//gsiC//pyrL//oppF//rzoD//lpd//ubiF//mak//ygcR//arnD//ilvB//deoC//ygaV//ung//rlmL//uidR//yjhG//mglB//hrpA//minD//ycjD//hycA//ftsB//yodD//proX//hofN//yijO//yjiQ//nudF//ybeQ//ampD//phr//prpD//frlA//casD//rffM//bdcR//manX//rlmM//ychF//frlA//ddpA//caiF//
GO_0015673_9	insH-5//
GO_0015675_9	tas//argO//aaeR//barA//ychH//fucK//tig//purB//
GO_0015679_10	mnmA//exuR//
GO_0015682_8	fruA//paaD//mrp//speC//pflA//nfi//mutS//ubiF//ratA//yihL//clsA//fes//
GO_0015684_9	gntK//cydC//cnu//hyfR//guaA//
GO_0015685_8	yeiL//queF//mtnN//dnaQ//mog//tig//
GO_0015687_7	dhaK//metI//tyrB//yggT//
GO_0015688_6	rplW//lolB//rhtB//argI//treF//citG//dcyD//mak//pabC//dfp//dnaA//atpF//sucC//ynfK//dppA//fimD//crcB//mreC//
GO_0015689_8	nrdA//cdsA//yihL//
GO_0015691_9	wecA//narH//murQ//pgi//
GO_0015692_8	dsdX//
GO_0015693_9	entA//trpR//
GO_0015695_6	bdm//yfiF//lptD//psuG//narP//metH//yhbS//nanE//yhgF//gltX//oppC//thiE//nrdI//dtpB//bioH//ftsZ//cydD//metK//yeaE//nrdR//ydcI//yggN//dhaK//dtpB//atpD//chbF//fepC//dkgA//ybcM//hyfC//
GO_0015696_6	lptB//mreD//fdnI//yeiL//dcuR//galP//fucA//malI//artJ//ygiS//fau//cheA//yrfG//nupG//priC//dhaK//sapD//yegS//ppsR//rpoE//ygbL//fadM//ydcP//ulaA//ispH//fadL//kup//ygbI//fpr//lsrK//tamB//
GO_0015697_7	rhaR//pal//yieF//ftp//kup//hdfR//cysD//alkA//holB//uspF//afuB//yiaL//hflK//
GO_0015698_7	yedX//gapC//napA//fhlA//yddL//purR//nepI//tnaB//yeeJ//ihfB//cdaR//hupB//argG//nanS//rutG//pgaA//yagG//cusF//parC//ribB//nadC//pflC//elfG//macB//cyoA//yiaU//tusD//kbp//cusF//bsmA//gcvA//ytfP//dadA//tag//yjiX//pyrG//yfhM//malZ//intE//ccmG//rbsD//
GO_0015699_8	rpe//
GO_0015700_8	greB//clsB//
GO_0015706_6	ycaN//uxaC//yhbQ//
GO_0015707_6	pnuC//yfiF//fabI//entS//ldcC//mqsA//
GO_0015709_6	fhuC//
GO_0015710_8	mscK//nagB//
GO_0015711_6	ruvA//pgm//btuE//leuA//mepA//hflX//waaS//ybhI//dmlR//lpxP//ridA//argP//yfaV//hldE//yehY//ccmD//chaA//fepB//paaC//nuoE//yjgX//nuoH//ycjY//deoD//sfmH//glnP//dgcF//mdtE//nagB//fryC//yqeF//corA//ispH//casE//yejF//rbsR//dcyD//yehA//zraR//fucA//ftsK//rpsG//cusA//nupC//pykF//fimG//tomB//yeaG//ydcM//dxr//yfjV//recC//znuB//yeeY//nuoE//amyA//pflB//ltaE//yfdO//ushA//metE//yfeO//ycjW//yeeJ//nrfD//fliL//serS//nudG//fabA//pdeF//dgoT//glpX//ydcR//frmB//dgt//cysE//yeaG//parE//dnaT//cspD//matP//glpK//wzzE//bglF//yebQ//insH-5//eptA//lysO//ttdA//mrr//fabH//ypdA//iraP//potD//ydeE//insI1//edd//aidB//mak//gsiC//yghU//fliG//rsmJ//fucK//gudP//amyA//malS//ralR//waaJ//bioD2//poxB//pstA//zur//waaQ//ygbI//nikA//ydaV//yehU//ygcR//ygbI//nrfD//galU//nsrR//soxS//ilvD//yddM//rffC//uspG//yneJ//rimL//pdhR//yjiM//accD//aldA//kdpE//alr//ttdA//paaF//srmB//aroF//paaZ//yhbY//fepE//cas2//
GO_0015712_7	dicB//
GO_0015718_8	rtcB//dapA//potA//ruvB//ppiC//matP//hofC//ftsW//hisD//paaC//mhpT//nikA//dacD//ldhA//bfr//yjjG//fimA//entE//erpA//rplQ//fadA//yeiG//aspA//rffH//
GO_0015721_7	yraR//dppF//
GO_0015724_7	lpoB//casE//hxpA//
GO_0015726_8	poxB//
GO_0015727_7	trpS//ibpA//
GO_0015733_7	clpB//
GO_0015734_6	metN//grpE//dmlR//
GO_0015735_8	chpB//
GO_0015736_9	rbsK//
GO_0015739_7	ptsP//
GO_0015740_9	ubiG//torC//yigB//glgB//cydB//dctA//nadC//deoR//infB//
GO_0015741_10	ilvL//lgt//
GO_0015743_10	hemL//
GO_0015744_6	frr//yedP//rcnB//
GO_0015747_6	nadK//
GO_0015748_6	cheA//xseB//znuB//rpiR//pdxJ//lon//insA-1//flhA//yahF//cbtA//glpF//sulA//ampD//yiaA//lepB//
GO_0015749_7	matP//yjcE//macB//ygcO//gltL//gor//vsr//basR//yajO//guaD//mreC//asd//ydfK//cysG//moeB//gcvP//ibaG//murF//bglH//phnL//thrS//lepB//hcaR//rfaB//lpxT//ynjA//frvA//mrdB//miaB//ttdB//dnaB//yegD//paaK//rfaH//yjbE//ybiW//paoC//yfbV//ftsA//cadA//rseP//serS//bcp//yedF//xapA//
GO_0015750_8	serA//ddpX//bhsA//bioD//nanS//ycgB//fucO//recN//ycjR//yiaL//yjiQ//napF//minE//
GO_0015751_9	rfaC//waaL//nrfC//ycjQ//hicA//metQ//
GO_0015752_9	ldtA//dacC//tadA//hyfC//argA//rhaS//
GO_0015753_9	queG//yagI//rihB//
GO_0015754_9	eutA//mtfA//yqeA//
GO_0015755_9	cysQ//purN//spy//adiC//tcdA//thyA//yfiC//ileS//murE//topAI//nudC//
GO_0015756_9	dcm//ade//
GO_0015757_9	prpR//tdcA//gltX//fetB//lyxK//nrdF//yiaU//
GO_0015760_8	nuoN//
GO_0015761_9	fepD//rlmA//mazF//
GO_0015762_9	copA//
GO_0015764_7	zntR//ilvE//yjcO//thrC//
GO_0015765_8	aslB//lysC//rpnA//malS//
GO_0015766_8	pepD//rimL//focA//yegT//yiaA//yphC//mutH//nth//matP//kdsC//queA//chaC//tdh//ftsX//
GO_0015767_9	ygaZ//dacA//fruA//hprS//
GO_0015768_9	rayT//cstA//viaA//malP//bioF//pspG//
GO_0015769_9	yjbE//
GO_0015771_9	rluD//dgcT//dxs//glvC//
GO_0015772_7	ghxQ//thiE//ghoT//paaJ//murI//cstA//nanK//ygeV//yceD//zinT//umuC//rpsO//chpS//bcr//yjbF//yeaK//nagB//
GO_0015774_7	mocA//cbtA//emrD//bluF//miaB//pcnB//
GO_0015778_7	gadE//
GO_0015791_7	ygeW//yehY//bfr//recG//coaE//panF//yfaX//greB//
GO_0015793_7	waaP//ymgC//
GO_0015794_7	gatY//uvrB//betT//kdgT//yfgJ//
GO_0015795_7	lolB//
GO_0015796_7	glcD//srlA//agaA//lolC//
GO_0015797_7	rluB//chaC//
GO_0015800_7	yajL//asnS//ygaZ//sfmC//
GO_0015801_7	zapD//ydjE//citG//cmoM//msbA//etk//fadB//wzb//
GO_0015802_7	aldB//hypA//dapD//clpP//proV//fucP//mazG//
GO_0015803_7	agaI//hcaD//lptE//cadB//araH//artQ//potC//pdeH//ttdR//ahpC//pgpC//
GO_0015804_7	lyxK//mdtN//hscC//dgcQ//crcB//rffH//dxs//mltC//yajD//lon//tusC//yceO//rnpA//nhaA//dkgA//yaiV//higA//adiC//hemH//seqA//mcrA//rlmC//fre//yddL//csdE//cheY//ubiJ//blr//intZ//xylR//ybhG//umuD//nrdI//
GO_0015806_6	ecpR//
GO_0015807_7	insB-4//tar//yggP//livJ//asd//ycjQ//ybhP//fumA//cpsB//artI//sgcX//preA//ggt//purD//rimJ//dinD//pgi//rfaG//degP//hslV//crfC//gfcE//pckA//ulaE//hexR//yiaN//mug//icd//yeeL//hisI//dgcF//alsE//lrp//pgk//yagG//bolA//galU//tufB//
GO_0015808_8	kbp//cbeA//
GO_0015809_7	narZ//rhaR//uxuA//pdeR//wzzB//hexR//
GO_0015810_8	bioD//rhaM//
GO_0015811_7	cusC//rplD//lsrG//atpH//tsaC//
GO_0015813_6	waaS//rbsC//rodZ//
GO_0015814_7	mdtQ//
GO_0015816_6	ygfZ//
GO_0015817_7	rbsC//
GO_0015818_7	entD//glnA//hokB//pdxH//pflC//sdhE//deoD//
GO_0015820_7	bdcR//pyrB//yqiH//ybiX//cadC//tonB//mlaC//rnhB//panE//
GO_0015821_7	amiC//modA//actP//pgaA//amiD//
GO_0015822_7	uhpA//acnB//
GO_0015823_7	yfiF//ariR//queF//selD//selU//yfiE//rarA//
GO_0015824_7	ttcA//rpsR//
GO_0015825_8	selU//
GO_0015826_7	ileS//pepD//btuF//
GO_0015827_7	accD//nadD//dtpC//
GO_0015828_7	cycA//metE//
GO_0015829_7	srlA//rnr//aroB//bluF//fsr//paaE//elfC//ccmE//hpt//
GO_0015830_7	rluC//sgrT//pepD//
GO_0015833_6	glcE//sfmF//phnH//fimC//apaH//pbpG//rpnC//folC//yiaN//dinJ//glpK//yiaO//dgcE//yahB//caiE//yhiM//flgG//mglA//potA//ybiH//essD//bioD2//shoB//fhuD//ycgV//pyrD//fdoI//cysG//kbaY//yccS//ubiC//holE//cusC//nrfE//yidZ//efeO//ynbB//kbaZ//ygiB//flgF//glvC//fimH//pdeF//clpB//ycgV//leuB//yjfP//aaeR//nuoL//frwD//rmuC//murA//znuA//ydcO//cmoB//ydbK//nrdH//hflK//tusE//btuR//uhpA//dgcM//ffh//pgl//pheT//kefB//paaB//yigB//htpX//yaaJ//rbn//yhdZ//cspE//gor//pgk//secE//sgrT//wza//
GO_0015834_7	glnB//gspJ//exbD//edd//htpG//
GO_0015835_6	exuT//ymgA//osmF//rutB//
GO_0015836_7	yqjI//srlA//gshA//
GO_0015838_8	pitB//waaU//nuoH//yjjI//hypC//paaA//xylH//phoQ//yhjV//rhlB//rluA//tdcF//gcvT//
GO_0015839_7	fkpA//
GO_0015846_6	topB//ybjI//iclR//yidZ//agaR//dnaQ//elfG//insK//cydC//intE//treB//ldtA//yjjI//accB//selB//infC//rsmF//
GO_0015847_7	aceF//mltD//rffH//ybaO//nanS//rplL//yiaF//zapC//csgD//gph//rluA//argP//yidA//yeiG//hicB//
GO_0015848_7	kduI//entS//yggP//pal//acpS//argE//
GO_0015849_6	sthA//rpoA//pheT//rpsI//mcrB//pgk//argR//waaG//ybiW//abpB//ftp//fur//ppc//yeaE//dcyD//rpmH//emrE//nuoE//cspI//rzoD//dtpA//nac//mdtD//yhjR//ykgA//yidR//bisC//ndh//sgbE//fliT//sodA//elfD//rlmE//mdoG//ydcO//gdhA//nrdD//gcvA//phnJ//gnsB//ydjL//uvrY//alsA//shoB//dbpA//glcF//bssS//recJ//glsA2//bioH//pgsA//yejA//sgcR//ydcI//yjgX//araF//hisQ//truB//murQ//hflK//yojI//map//gntU//ascF//yhaV//dicC//cdsA//appY//hcaD//rhtB//cstA//glpK//waaS//appY//queD//yfbU//cysD//mcbR//pcm//lolC//fau//gutQ//cmoA//mioC//selD//recB//nudB//tolQ//bcr//phoB//ilvN//ihfA//gfcE//rplS//ettA//cadB//pitB//alpA//potC//kch//mdtJ//yoeE//ahpC//yeaG//uspB//gstA//perR//ribE//dgoA//rclB//potD//rpiB//rffM//tag//sdhE//
GO_0015850_6	ydaC//yihW//fadH//ytfT//frlR//relE//alsC//gntP//tufB//pnuC//fhuC//adeQ//rpsQ//sohB//aroH//argE//gudP//gph//csgF//ghxQ//fhlA//cobC//ynhG//
GO_0015851_6	elfC//cynT//rimO//pth//acnB//ybaM//mgtA//dcuR//yihP//syd//rpsB//ybgI//
GO_0015853_8	tdh//rfaD//
GO_0015854_8	cynS//sdaB//
GO_0015855_7	msrQ//yphB//rbsR//
GO_0015856_8	lolB//
GO_0015857_6	rclA//ebgA//
GO_0015858_7	tauD//aslB//ftsX//nudC//gcvH//kduI//pgpB//guaC//hipA//
GO_0015860_7	sgcB//galF//
GO_0015861_9	ptsH//uxaA//
GO_0015862_9	rssB//cdh//
GO_0015863_8	xisE//
GO_0015864_8	mqsA//cstA//
GO_0015871_6	yhdX//nsrR//sfmA//caiF//ydaN//
GO_0015878_6	gadX//
GO_0015879_9	metG//
GO_0015882_7	murE//yoaB//exbB//
GO_0015886_6	hemD//ompC//nikR//yhcH//ykgO//yfdS//csiD//opgE//ygjK//
GO_0015887_7	holC//
GO_0015888_6	secB//
GO_0015889_6	cusR//bglF//cca//allD//entA//ribD//wecC//
GO_0015891_6	mtlR//cspD//yebQ//nfo//fmt//fepE//flgJ//phnK//ybaK//kdsB//ptrA//lpcA//narG//hiuH//ygbM//
GO_0015893_5	rluB//rcnR//carB//gltX//rsmJ//fruA//xylR//yeeJ//glpA//yhjB//yedX//yhdJ//thiP//lsrG//queE//frdA//tldD//crr//yraK//fabI//flgE//ycdX//appY//yahI//hflK//cspG//mgtL//ligA//ynhF//asmA//rlmJ//ccmC//dtpB//metL//yoeB//ybaL//panF//cdh//cca//xisR//dps//puuA//gabD//yraK//tolA//leuS//pstC//waaZ//hcaE//ychH//cbtA//hyfF//ogt//macB//phr//ilvM//panE//gsiD//yijO//aqpZ//sad//cydB//gatB//sufE//sdhC//flgA//cmoB//nagD//cadC//dbpA//carA//zraS//pagP//sfmD//gabD//rplL//ccmG//birA//yiaM//exuT//ahr//ttdT//pdxJ//tonB//entA//ogrK//emrB//csgE//rplC//ydhJ//efeO//yfiC//aer//hisP//nadK//tsaB//secE//
GO_0015906_6	cpxR//hycH//glyA//rof//cmoB//
GO_0015908_7	adeQ//cbeA//
GO_0015909_8	tadA//
GO_0015912_8	rbsB//
GO_0015914_7	kdgT//yicJ//mocA//mscK//blr//yeaD//tauD//
GO_0015920_7	argS//aaeR//yjiQ//lptG//ldtB//yahK//cspI//ssuB//ttdB//
GO_0015931_6	mrr//lldP//pflC//yfhH//ampD//yfiE//cynT//yebS//miaA//nuoE//kdpE//fliT//
GO_0015936_6	feaR//cdgI//hslR//pheS//
GO_0015937_7	yggP//kdgR//ssuA//dkgB//
GO_0015939_5	truB//etp//spoT//insH-5//lolC//
GO_0015940_6	ptsN//rayT//gntT//leuE//yiaT//
GO_0015942_6	lysC//ptsN//lolB//yohC//aroH//norV//putA//yfbR//hemD//
GO_0015944_4	plsX//cysC//yihP//hokB//idnT//yhjG//ftnA//
GO_0015949_5	ypdI//pbpG//rfaC//tdcF//hslR//ytfR//miaA//yfiE//ccmH//yihQ//trmA//yfdC//pgaD//diaA//murJ//mmuM//fur//cpsB//putA//rhlE//iscU//gloA//serB//rhlB//
GO_0015950_6	katG//yeeA//trmJ//
GO_0015951_7	atpF//yceD//
GO_0015968_6	ttdT//
GO_0015969_8	murB//hyaB//
GO_0015980_4	thyA//eutB//cpoB//nhaR//dhaM//sbcD//phnO//relA//potH//zipA//ptsI//caiT//iscU//yafS//fumA//trmJ//msrA//adhP//intA//rbn//fruK//greA//rlmB//mgtA//mdh//creC//gudD//udp//yhjA//ydcS//bglB//acrD//ychH//lptE//copA//hlyE//cysW//eutB//phnN//yfiE//potH//gshB//trg//yedL//yfhM//hyfR//znuA//gntK//sgrR//btuD//cusA//waaB//cbrC//menH//eamA//npr//lolD//trmA//cobB//ydiV//prmB//pyrB//gapC//flhA//phoU//ycgR//nfo//yneJ//rclA//frlR//glcF//adiA//mngB//eutA//nlpD//nuoM//hypF//nusG//dnaB//bglH//kdsB//ydgA//fabI//intA//oxc//yegT//
GO_0015985_9	rluD//fau//yhaO//rsmG//
GO_0015986_7	fkpB//fecD//rssA//cdsA//
GO_0015988_9	ilvI//comR//yggT//fruK//nmpC//paaK//pinE//ydiP//
GO_0015990_10	flgH//ahr//tmk//glpB//kdpB//gloC//dmlR//yciF//
GO_0016024_7	glsB//
GO_0016032_5	rpsD//galS//gspI//eutN//narX//chbF//hisH//glnQ//rlmB//der//opgC//yjiY//gldA//ghoS//nemR//hslJ//sapD//emrD//
GO_0016036_6	smrA//ldcC//tktA//yeaD//mioC//thrC//
GO_0016042_5	yfeX//pgpC//yihX//xylE//alr//yqiH//deoA//cusC//yfdO//tabA//bioF//gmhB//efp//yaiW//tbpA//mdoD//hokE//ytfT//agaD//aroD//gadW//menB//rhoL//ynaI//
GO_0016043_3	pppA//ydcR//nac//recD//mrp//mhpD//yjjG//fabG//flgH//msbA//clsC//tpiA//umuC//lpd//potF//exuR//tdcA//ssuB//phnJ//hypA//rsmD//ahpC//rplS//nimT//envY//ydhK//nadC//entH//brnQ//yihI//tdcC//metH//mreC//yehP//nmpC//ptsH//betB//ydhK//dauA//ribE//nagB//ulaR//minD//gatD//ybjC//rpnA//rlmD//fimE//rnpA//frvB//ccmD//gor//dcuB//rspB//garD//mnmC//ldtD//ampE//ytfP//yiaB//glvC//uxaC//seqA//yneJ//glyS//mscL//mdoD//galU//glsA//phoP//phnK//atpF//ybhJ//ycjW//ydcS//cadB//degQ//purB//astB//yfbU//treF//lapA//mreB//icd//cpoB//tolR//uvrD//iaaA//glvB//nirB//ytfR//cpxP//prlF//gntT//ppsR//uidA//yjbG//yjjW//yoaA//rplR//yehU//mraY//yjbH//potG//hcaE//erpA//nupC//csgA//feoA//infC//purA//ushA//tolC//topA//ydjH//priC//rpnB//cheB//acrE//yjiX//guaD//rbsB//iscS//argK//yehA//nuoH//aceK//rnb//cbpM//surE//yedL//livM//elyC//mioC//marA//tnaC//tdk//sapF//sutR//sstT//uxuA//hisG//ghrB//pepA//yghB//yfbU//mnmC//ycaN//dcm//rnd//proX//accA//hemB//dxs//phoE//mukB//flgA//hicA//yeeY//paaX//metH//mntS//yaiV//tadA//yijE//gudP//yeeY//yibT//mdtC//truD//fimE//srlR//rnd//melR//hpf//ampH//topA//aaeA//nrfA//ybeQ//garR//opgE//nikA//dsbD//mak//rusA//trkH//rsmG//sgrR//cynS//oppD//cmtA//sucB//lldD//yeaG//yeeJ//crp//yhhZ//borD//ykfM//pgl//betB//artI//umuC//rpoA//pppA//gpt//rzpR//citC//zapB//
GO_0016051_5	basR//uxuA//hyfA//phnL//metG//glpK//der//smpB//ykfM//modC//satP//mrdB//mdtD//caiB//hypA//sapC//fetB//nrdA//secD//bioD2//allB//yheT//gsiD//arcB//gltB//epmA//asd//trpR//bssS//sbp//ssuE//agaR//uup//rlmL//cueR//argD//pdxA//dppC//aaeR//waaY//gltB//cysC//ybjI//nth//sucA//frmB//raiA//xanQ//gloA//pyrH//gsiD//mscS//prfB//argD//yaaY//yjjV//fliZ//mazG//intA//nagC//glpD//narI//sapC//ptrA//prpD//cysM//yagF//kefG//glnL//rcnA//glnQ//topA//fadA//yciV//nuoL//paaX//ydiF//queC//sufC//rfaD//yehX//pflB//ynjD//araA//yeiE//putP//yphF//xylG//ribC//fabA//murJ//ygbI//rpsJ//kefB//artP//ygjK//hypF//yqaE//yoaB//mog//uspF//ulaA//ygcW//
GO_0016052_5	mngR//acpP//fabI//phnL//lolB//ebgA//ompT//dgcJ//mobA//astB//fixC//aceB//glcB//icd//trpD//aroK//fimD//fdnI//ydeP//agaA//ulaC//appA//mtr//appY//ycjD//yfeR//cysD//ydfH//mtlA//yejA//gcvT//gabP//yeeA//kgtP//aroC//puuP//yfbV//ptsG//eco//blr//patD//sgcX//ttdR//ygeA//fdx//glvC//dapD//grcA//zapE//pgpA//proB//entC//caiE//kdpA//hda//epd//ispB//sfsA//exbD//msrC//aroB//yejF//ldtB//frr//rpmE//yghU//holD//yidR//amtB//yeiE//yfiC//gadB//tmk//ygeV//ygjK//mgsA//yidE//yccA//shoB//leuD//ybiW//secY//frlC//mdtC//etp//ypdB//ndh//emrD//dcuD//gstA//argI//prmC//aas//aroL//nanK//dgkA//mdtL//tolB//btuR//glcA//uxuR//frvR//rdgB//trpD//intE//entD//yegV//rcnA//slt//zur//ftsE//ydiO//paaD//def//metH//
