#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rbsD//cobS//cysQ//ascB//
GO_0010498_6	fdx//
GO_0010501_7	ycjP//hscB//decR//ribB//rpmB//sgcB//radA//lrp//flgI//
GO_0010528_5	rpsA//
GO_0010556_6	wecE//yeeO//ynfK//potH//degQ//clpB//tdcA//murJ//sspA//uhpB//yehC//uxuA//argH//hyfF//agaS//dsbD//yhiM//glrK//aroH//tag//tcyJ//ddlA//ybaO//amiB//hupA//ybeQ//rraA//zwf//aroL//rutG//topB//metF//yjbE//torS//mraZ//ompL//yjjU//wzzB//dicA//pepD//yeiG//ugpC//yehC//eno//tmcA//glnH//btuR//lysO//emrB//ygbM//add//acrA//lpp//trpA//polB//rplM//obgE//acpT//phnL//clcB//dsdX//yhcH//recX//thiL//ompN//fecB//purF//pdeK//lgoD//sutR//adiC//ydcI//glnK//flgG//yfaL//rhlB//hsdM//ynfL//motA//speB//ybhF//fliA//yadV//fabD//casA//yceD//sspB//cpxR//mdtF//yeaD//yjhC//argH//glk//dtpD//hycI//hflK//yajR//ybfE//yibA//pdeD//yoaB//rtcR//ymfA//mepM//hexR//purA//lysO//rplB//prmC//tatD//speE//yjjQ//yhdJ//topB//hisM//mcrB//gcvT//rplW//cysU//comR//tsaB//mhpC//ppx//sutR//gpr//selU//wecC//tomB//fbaA//basS//rpsK//rapA//ompR//thrA//hypF//tusD//aroA//alaC//ynbB//gatD//lacY//gshB//ycjW//gatD//rluE//osmC//tyrS//tktA//ftsE//feoB//malI//glrK//iaaA//dusB//purD//yigL//nikE//rpoA//gsiB//suhB//mraZ//sfmA//xisR//hyfA//sufC//hscC//etk//dinD//minD//lpp//yeaG//yiaA//bdcR//pinQ//tcyL//hscC//cpxA//pphB//queC//acrE//eno//ptsG//ygbM//bglX//frlC//ftsA//yjfF//uhpB//slmA//panD//sdaC//rfe//nmpC//narP//potE//rimO//ymdB//yeiG//malY//suhB//yahF//ygcO//rutF//ilvN//allC//rhaM//rpe//tauA//blc//era//aroA//wcaB//malI//sdhE//chbR//hscA//cvrA//aceK//minE//galM//fhlA//yidL//caiD//dpiA//yciE//nanK//fecB//ogt//frmA//yedA//rbsR//yadK//ftsB//cas1//sbmC//ygcR//gpsA//ydjL//smpB//yeiG//rlmI//murI//dfp//caiB//casC//secD//yedA//glsB//ldrD//gudD//murJ//groS//ybaK//arsR//lplT//pinQ//acpT//hisH//ybhR//minD//fabR//yeeL//evgS//gyrA//fimA//yiaT//clsC//tyrB//tnaC//gltX//yhcF//hcaR//iscU//cas2//zapE//fdhD//feaB//phnJ//ybbN//ppx//rpsE//cytR//hybA//nfi//glsB//bdcR//dacB//lpxB//entC//dinG//pdxA//yhfK//gmk//purR//putA//higB//ydiZ//ilvM//secB//gpp//opgD//phoA//edd//ppiA//kdgT//hycI//motA//prmC//pspG//kduI//tsaE//mcrA//
GO_0010557_7	bssS//yhaC//dcuD//malI//bamD//ligB//cusR//lpxP//ytfT//folM//rhtA//yahN//ybgP//pyrB//yhaJ//garD//bioA//yidR//yhfK//gutQ//waaC//arsB//sgcX//fixA//insB-2//artJ//paaZ//dppA//lpcA//yehZ//ybiA//garP//kdpA//ugpA//uxaB//purF//ccmF//araH//rcsB//mdtI//pyrF//fre//ybdH//insF-1//yccX//thiI//ldtA//dgcE//fruA//ftsW//hofP//yhcF//cysW//torD//glnL//sgcB//frdA//ygjR//frsA//nagE//cysG//nupC//torI//torC//glxR//accC//cspA//lpxC//atpG//dxr//tdcC//gatA//yfdS//eutN//abgA//ynfH//xylH//glnP//insI-2//hslV//ampD//wecE//
GO_0010558_7	yjjG//nadD//ynhF//rluC//ydbD//srlA//pphB//lolA//yqaA//hupB//lldR//ychF//yiiE//nei//tufA//ypdF//bioC//rpnD//yagU//nsrR//eptA//nuoE//sdiA//dhaK//dsdX//thrA//pspG//prlF//nikA//glsB//rpsK//sspA//tsx//araA//galR//aqpZ//tnaC//nth//csiR//pck//rsmG//luxS//cspD//nlpA//bcsA//rclC//yihR//nuoL//eutA//hslR//sodC//ptsH//yeaV//tcyP//fadD//metQ//soxS//dmsB//pdeF//ydeO//pcnB//alsC//nsrR//ybaM//bamA//bioF//ulaR//glvC//setB//mscS//dcuS//surA//ahr//yehB//wrbA//mgtL//pphB//ydiB//mngB//frvR//yehY//rfaF//qseB//rfe//cysK//dmlR//ytfQ//puuC//ppiA//rutF//ybdM//truB//ecpR//slyA//leuO//xerC//csgA//yadN//caiB//arsR//glmM//ubiJ//waaC//nanR//fdhF//narI//yjhG//ymgF//pabB//pheS//metN//mdtN//paaZ//rutB//hprS//mrcB//dfp//glnH//dcuC//ybgP//
GO_0010562_7	dapA//def//
GO_0010563_7	dkgB//ycjW//
GO_0010564_6	dppD//plsB//azoR//metG//gfcE//
GO_0010565_6	glcE//amyA//frr//sbp//argG//gmhB//
GO_0010604_6	manZ//pgm//ycfH//rsmC//queA//pheP//wzc//ybeY//alsC//dcyD//fre//dapF//tmcA//proS//torY//tufA//csrA//macB//trmD//sbcC//tomB//rpmH//zapA//rutA//bcsQ//serB//flgK//ptsN//galF//fimZ//ptsH//nanC//tadA//tsf//agaB//blc//apt//manX//gluQ//purU//metL//cysN//erfK//topAI//plaP//mazF//rnd//topA//galT//entE//cpxA//frlA//sgbU//murQ//fsr//kdpB//cmk//ypjD//ytfT//soxS//lsrB//radA//ugpC//yfaX//pgaA//intE//citG//rrrQ//metG//adiC//yqeF//ddlB//fklB//frvR//yebZ//ybbW//mntS//cspE//gshB//ubiH//ldtB//sgcR//cfa//lolA//rffG//dctR//yfcQ//dicB//waaU//pgrR//yiaA//yihO//rdgB//
GO_0010605_6	accA//glyS//cof//nrdR//ymjB//yhaO//purC//ugpA//arcC//cyoE//lnt//caiB//caiE//pdeD//wcaJ//wbbK//rplY//fdhE//ygbI//ldcC//yiaL//hcaC//tauA//lolC//mqsA//murG//yehD//ydaV//pyrE//ybaE//pgaC//ybdM//mdtO//fliM//symE//ybjI//ogt//mdlA//iaaA//fimD//etk//ygeV//ybbN//bioH//adiC//rhmD//dxr//sufS//fadH//yccS//frr//yggD//ampE//nudB//rplO//recF//uidR//elaA//cyoB//phnL//lepB//ydhC//purD//yccX//trmL//frlB//nanR//torZ//fimZ//fiu//gpmA//rihC//gluQ//gabD//yfgO//chbG//ygeV//nirB//yggN//ycaN//fimB//ygaH//rbsC//hisF//nirB//sfmC//narU//yhfK//ribB//pta//wecC//ompW//rhaS//yibT//ytfQ//mppA//yqhD//ftnB//kefC//nirD//ydiP//ybfE//zipA//aroC//insA-2//hisA//glnD//mepM//aroD//yghG//flgA//narK//eptA//trmD//yccS//hypC//ydhC//flgC//yhbQ//ybhI//msrP//priB//ynfE//sugE//waaP//clsC//rpsA//dppD//ydbK//lptA//hsrA//cyaA//mepH//tatD//dgoR//yagF//fimD//blc//marR//ypdI//rlmM//yggP//bglX//focB//
GO_0010608_7	otsA//amiB//ftsZ//holA//tsaE//glpD//yehT//rpoS//thiI//rlmN//basR//hemB//ccmH//wbbK//yjjQ//bglA//polA//phnP//secA//opgG//yfhH//osmE//ghxQ//truA//ompR//cyoD//yadV//hybG//adhE//fimH//xylA//idnO//recQ//eamB//fdoH//folD//ygjR//prmB//yigB//bamD//nuoB//ybdZ//oppA//hupA//
GO_0010628_7	potG//cpxP//ortT//agp//ynfE//yidC//asmA//sdaA//acpP//rbn//nadK//frdC//zinT//malK//udk//arfA//ycgV//entB//ftsN//lysU//rimO//envZ//patZ//thiQ//treR//rnpA//yfcV//dgoR//cynX//amiC//truD//fadR//tauC//marA//prc//ugpB//secE//leuA//prmA//metH//ybdO//rplP//rplP//rbn//sdhB//zinT//galP//yihU//serA//cspI//rpnB//rtcB//flhA//afuB//nemR//atoB//waaF//lpxK//iscS//yidC//gph//fixC//glsA1//ddpA//oxyR//tyrA//kdpB//zitB//lipA//idnK//rnpA//mdtB//ygcR//pdxH//rbsC//yhaO//ykgO//kdpD//zapC//tdcF//nupC//priA//atpF//
GO_0010629_7	gluQ//cydA//crl//glcA//gspJ//rhmD//tcyP//hslR//yagG//mgrB//ydhQ//obgE//dmsC//dinD//gatC//insE-1//ansA//yehP//rpsD//pfkA//higB//dhaL//wecA//ybfE//ygfA//patZ//rsmD//glnS//hisH//ydhC//ygfI//fkpB//pgpC//ldtB//minC//yqjA//ybjG//glnB//cobT//yeiL//metQ//clcB//yhjG//essD//nuoI//hcaE//yfdO//rplQ//coaA//rpsT//iaaA//zupT//ycfH//ulaG//clpS//pinE//trpB//allS//ygeX//tusB//yeeL//cpxA//hycA//ygjR//adhE//deoD//yfdS//ada//ampH//fliS//rrrQ//parE//yidD//rhaT//yobF//nrfC//fliT//lolC//adhP//nrfA//menE//tdcG//gltS//kdpF//ybdN//tauD//degS//ybeF//yeiE//ymjB//exoX//ribA//waaB//amiD//argD//galF//ydiP//mngB//sspB//hemC//artP//tilS//sutR//elbB//mipA//rhaT//nagB//dgcZ//pgpA//secY//yqeA//ssuB//ftsN//frmB//ugpB//ompL//parC//kduI//gltX//ydjL//frmA//ychH//feoB//bluR//hypA//ascF//ybdH//yhhZ//
GO_0010638_7	rimM//pepT//
GO_0010639_7	grcA//hflD//glvB//
GO_0010646_5	pdxJ//
GO_0010648_6	shoB//
GO_0010675_6	fliL//recT//matP//tauA//murP//tktB//
GO_0010676_7	yafS//sufB//
GO_0010677_7	wzc//
GO_0010699_4	trkA//narU//
GO_0010810_5	fumB//hemH//
GO_0010817_4	ilvA//rimK//ttdA//ynaI//tsf//tyrS//yfcQ//elfA//ygeR//rpsD//yfdC//yciV//insI3//adhP//
GO_0010827_7	phoA//
GO_0010829_7	dppB//
GO_0010876_4	rph//
GO_0010906_6	glnP//cheW//
GO_0010907_7	csgD//
GO_0010911_5	hypE//betA//sufD//
GO_0010921_6	glcB//hofC//cspG//ompR//
GO_0010941_5	phnI//
GO_0010948_7	lldD//glcB//
GO_0010951_8	waaJ//dgoA//
GO_0010962_7	aspC//nirB//
GO_0010966_8	araB//
GO_0010967_6	rclB//
GO_0010974_7	surE//
GO_0012501_4	yehW//hybO//fhlA//tdcA//yhaC//opgE//folC//queG//apt//rplD//bioD//modC//nrdI//
GO_0014070_5	hxpA//csgG//
GO_0015031_5	ydjK//mpaA//wzzE//yqgB//dsbB//ulaR//frlC//envZ//gltB//fdnI//dhaM//nmpC//fepD//fhuC//menD//gntR//phnI//adk//higB//sgbU//erpA//pspD//bglF//udk//yibT//ydfK//srlA//ralR//csgG//sufA//msrC//eptB//menC//yfcS//birA//fryB//ppsR//clcA//oppB//ssuA//fadK//
GO_0015074_6	yhaC//mdfA//puuB//murP//yggP//yccS//cutC//
GO_0015628_5	rutA//opgB//cusA//iscA//yoaB//
GO_0015669_5	tauA//
GO_0015670_6	gntK//
GO_0015672_7	garD//yceK//waaP//proQ//ynbC//glpD//yegV//purR//evgS//recC//yadC//murF//clpB//rlmG//lldP//gadC//ymfK//dfp//clcA//nrfA//trmB//fdnG//frdB//codA//yegT//pfkB//yggW//folE//soxS//mtr//ahr//rpsM//rmuC//mdtI//rimI//emrB//fdnI//amtB//setB//chbG//corA//nuoE//glrR//
GO_0015673_9	fdoH//
GO_0015675_9	cadC//rpmE//hokE//eptA//dpiB//glpR//ribD//mngB//
GO_0015679_10	ypdC//zinT//
GO_0015682_8	chbB//sppA//yidR//menA//crr//arnT//ybcF//tabA//gshB//ppsA//mnaT//rbsC//
GO_0015684_9	sdiA//pheA//ispU//lpxD//dld//
GO_0015685_8	sdaC//purT//kbp//aspC//tdcE//yehD//
GO_0015687_7	bdcA//rarA//yhaM//ydhJ//
GO_0015688_6	yfiE//moaE//queA//bcr//ruvB//eco//hchA//alaS//yhfK//yciA//trkA//tusA//tsx//xerD//hemN//chpB//yebS//nrfE//
GO_0015689_8	mdtL//fabI//sufA//
GO_0015691_9	ydeI//hha//nudB//rbfA//
GO_0015692_8	yjbF//
GO_0015693_9	dsbD//lpxC//
GO_0015695_6	mglC//uup//sdhB//mlaE//fimH//ilvA//recN//prmA//yfdS//ldrA//ygiV//secE//mntR//aroL//tsaE//fryA//gloC//cho//secY//poxB//yjtD//aroF//dfp//rhaR//rimM//surE//agaB//galM//yghW//pinE//
GO_0015696_6	ydaC//ygiV//sdhB//lpcA//dgcF//torC//oppB//ispA//tolB//acpH//trmL//waaF//sfsB//cyoD//nrfD//rlmF//agaR//hyfC//rsmD//ybeY//hofQ//pykF//yfeW//ansB//glcC//yehU//yahO//yfeR//fic//malS//acrD//
GO_0015697_7	glpA//yiaU//frwC//amiA//leuB//pheS//melB//mutM//iscX//cobC//folP//hyfR//treC//
GO_0015698_7	ubiA//prmB//alkB//srlR//ydjM//msbA//rbsA//groS//ycjY//pspA//dadA//groS//yidD//rimM//mutY//ftsL//yfcU//metG//ybiJ//nanE//guaD//qseC//mdtB//pdxH//yghW//rmf//alaE//nrdH//flgD//accB//aspC//moaA//dnaJ//alkB//gpr//lacZ//lysA//yibH//envY//nfo//ariR//
GO_0015699_8	tnaB//
GO_0015700_8	fre//yaiW//
GO_0015706_6	rplY//manY//narU//
GO_0015707_6	purD//zntR//puuE//acs//yidC//arnD//
GO_0015709_6	infC//
GO_0015710_8	aidB//flhD//
GO_0015711_6	fhlA//acrF//xylE//yahK//murD//guaB//sohB//ybdH//seqA//oppB//citG//deoA//mscL//pflC//yidK//paaA//mdtA//rpe//purA//argR//yciG//xapB//rapZ//araG//ampG//hypT//perR//rbfA//yehA//osmY//dicA//rluF//kch//holB//phoR//mgrB//ybbN//cpxR//yqiG//menH//yfdG//galR//intS//yfcS//mzrA//tsaB//pstC//gudP//sfmA//polA//acrZ//rpsA//yfcA//sgrT//fdx//yoeB//chpS//yeaV//cca//cspD//decR//yfiC//mltA//mntH//thiI//dgcN//yjbF//dkgB//proC//yoaB//hicB//allD//menC//yeaE//yfcA//fepB//rzoD//csrA//yggX//nirB//fieF//rfaE//hflD//cvrA//accA//proW//dinB//nudF//dbpA//clpP//mdtF//lldD//tgt//fiu//yciF//hemG//sgbU//alpA//pyrG//secB//dacC//dicB//pphA//rmuC//ghxP//sstT//abgT//agaS//arnE//ymjB//roxA//fimI//seqA//lptD//sstT//fnr//ygeA//ilvB//ydcS//crr//wzb//rplQ//lpxK//fepA//yqcG//arnD//yqaB//selU//queF//yciT//rnhB//mscL//phnK//garK//trkH//adiC//cydB//ycjD//phnH//sodB//torS//yieH//zntR//tktA//
GO_0015712_7	cyoD//
GO_0015718_8	ypjD//zipA//yehX//ugpB//ilvN//ndh//yrfG//dut//eco//fucO//cobU//tdcB//trpS//gatB//zitB//hslR//frsA//ygaZ//prfC//mgsA//sapC//plsC//prlF//symE//
GO_0015721_7	ychO//ccmG//
GO_0015724_7	fcl//pyrF//puuB//
GO_0015726_8	ebgR//
GO_0015727_7	rhaB//asmA//
GO_0015733_7	grcA//
GO_0015734_6	uvrB//rnhA//fimA//
GO_0015735_8	holC//
GO_0015736_9	ydhQ//
GO_0015739_7	lptD//
GO_0015740_9	rimJ//ihfA//phnC//rdgC//nrfC//citE//lexA//yejE//gadB//
GO_0015741_10	prpC//nlpE//
GO_0015743_10	yhaM//
GO_0015744_6	raiA//mdtN//cysP//
GO_0015747_6	sgcC//
GO_0015748_6	opgH//ygdG//wza//ypdB//yihU//ycgR//hofN//kdpE//alpA//nuoF//maeA//fadM//yadC//elyC//mdtE//
GO_0015749_7	rpsD//elfG//rsmD//sucD//tdcG//glpF//flgF//lacY//alaA//bglA//ttdA//tatA//ycfL//hisI//sapA//hypA//iap//bioD//metG//intQ//tcyP//puuC//yjiX//adiA//accB//fruK//ydcT//rsmB//nikR//murA//insI-1//blr//alsA//znuA//pphA//der//mrr//ybhF//cspD//sgcB//pabC//proS//kdgK//gstB//rhtB//
GO_0015750_8	speB//ynfL//nikB//manZ//rplX//dsdC//shoB//atoB//yhaV//sdaB//galF//bisC//sgrR//
GO_0015751_9	yraN//chiP//fecC//gudX//parE//yhjC//
GO_0015752_9	cdgI//gloC//rplN//kefC//rcsD//ddlA//
GO_0015753_9	radA//yjjU//atpF//
GO_0015754_9	hofQ//ftsH//eptB//
GO_0015755_9	yfeD//ydjJ//menC//hyfF//prmB//glxK//pldB//rpnB//galR//ompL//dnaT//
GO_0015756_9	yahO//aceK//
GO_0015757_9	glpC//ruvA//ymjB//fliG//uacT//mdtF//ubiC//
GO_0015760_8	mnmG//
GO_0015761_9	viaA//lptB//folE//
GO_0015762_9	tsaE//
GO_0015764_7	metR//yahB//rplQ//rpsH//
GO_0015765_8	yaiV//glnS//hofC//agaC//
GO_0015766_8	pflA//zur//ppiA//msrA//menD//phr//dnaB//yahK//rfaG//birA//cyoB//allD//uxuR//elfA//
GO_0015767_9	xanP//rluF//pgaD//yedF//
GO_0015768_9	rpmA//roxA//yfeD//manZ//zraR//queE//
GO_0015769_9	dinB//
GO_0015771_9	ydjJ//mngA//tnaC//xapA//
GO_0015772_7	rpsD//trg//yhaV//abgA//cbeA//yfdS//yhjB//cysE//epmB//fimG//yeaD//lhr//dgcQ//acnA//fiu//dnaB//tus//
GO_0015774_7	cysA//rpoA//deoB//hemE//mlaD//cho//
GO_0015778_7	rlpA//
GO_0015791_7	guaD//hemE//truB//elfC//yqcC//pnp//hslR//rnhA//
GO_0015793_7	lldD//yihU//
GO_0015794_7	yigL//lptB//nadE//rihB//yfcU//
GO_0015795_7	ruvB//
GO_0015796_7	gldA//tonB//rseB//yghW//
GO_0015797_7	rtcR//nuoH//
GO_0015800_7	speA//narZ//chpS//fecB//
GO_0015801_7	clpX//csgF//ebgR//bamE//ynaI//fabG//yheT//yhaC//
GO_0015802_7	coaA//envC//arsB//mocA//casB//rfaB//ade//
GO_0015803_7	cnu//obgE//lolB//acrE//cysI//arcC//hofC//glgX//fryB//yhiM//yddG//
GO_0015804_7	yhbY//sulA//kdsA//yiiM//purT//nusG//kefF//nagA//rng//yhjG//ccmE//hflC//ytfR//htrE//rlmH//fruA//rplF//menD//bssS//rclA//codA//sutR//flgE//holE//tpx//dnaN//gntU//rcsD//potB//lacI//yjhB//fic//thrL//
GO_0015806_6	cysW//
GO_0015807_7	hyaB//ygfI//caiD//entA//fimB//crfC//panF//tadA//torY//copA//rfaD//frlR//idnK//recT//hmp//opgB//era//yqeG//higA//argT//mdtN//rcsA//gapC//treB//ccmH//rpmG//dacB//rcsC//hybD//prc//htrE//glcA//aroE//gatD//alaC//narK//mdoD//nuoM//
GO_0015808_8	cydC//yfaX//
GO_0015809_7	metI//recR//mngB//hofO//rplS//ansB//
GO_0015810_8	ansB//tar//
GO_0015811_7	truA//rsmA//umuD//apt//kilR//
GO_0015813_6	ascG//lacI//flgG//
GO_0015814_7	sapD//
GO_0015816_6	ycfH//
GO_0015817_7	bioD//
GO_0015818_7	ibaG//arsR//ydcT//yiaM//fdhE//ycgB//yhbY//
GO_0015820_7	lolA//cydA//elfG//aphA//curA//fadM//yjcE//alaE//blr//
GO_0015821_7	yehW//yihR//cbrA//rzpD//ffh//
GO_0015822_7	mscM//murF//
GO_0015823_7	rbsA//mfd//rhaR//zapC//waaF//ybgI//panC//
GO_0015824_7	ygjK//yaaA//
GO_0015825_8	ydeT//
GO_0015826_7	yfdO//yhaJ//mgsA//
GO_0015827_7	lipA//csgE//mutY//
GO_0015828_7	nudF//xanQ//
GO_0015829_7	speF//chiP//bcr//ihfB//rfbC//flgD//thiG//cusC//phnK//
GO_0015830_7	murP//garD//yjfP//
GO_0015833_6	yajR//surE//mobA//tdcE//ydhJ//potA//csgB//rfaF//ralR//hscB//metQ//deoA//cheY//ptsI//accC//yajD//tolB//puuE//agaW//caiF//sapC//pspD//torS//kilR//nupG//dinI//cysK//poxB//glnP//plsC//hemL//proS//nfo//yafS//yidZ//ynfE//sufD//csiD//ratA//mltF//yhjR//malS//hdeB//torR//ydaN//ldrD//fcl//nuoM//dicC//ycjW//hcaD//hemF//nimT//yfcV//ydcP//ihfA//purR//yraJ//rffG//cvpA//ansA//pliG//zapC//chaC//rlmN//gltK//phoP//rpnC//copA//shiA//yfdC//mtr//argF//lpp//mlaD//proC//nuoH//dgcQ//
GO_0015834_7	yciV//yiaA//yahN//casA//sgbH//
GO_0015835_6	hemF//oppA//guaB//cysG//
GO_0015836_7	baeS//hipB//ynfF//
GO_0015838_8	ubiC//slyA//pdeL//relE//dgoR//sapC//rlmH//panZ//srlB//napC//kdgK//pntB//yqgB//
GO_0015839_7	tatB//
GO_0015846_6	frvB//coaD//dpiA//ybiW//glyS//ybbY//cadB//ibsE//thrA//dcuB//dppC//leuO//mlaB//fabA//pgaA//pyrE//mtr//
GO_0015847_7	yciK//pcm//uspF//mdtI//hemD//ttdT//miaA//lpxT//degS//hokB//ftsI//lasT//mutY//tyrA//bipA//
GO_0015848_7	cysM//minD//lsrK//hsrA//katE//rihC//
GO_0015849_6	lpxK//sufE//paaC//yfjR//csrA//fepB//speD//rlmF//hisC//uvrD//bioC//dapD//yijE//malP//lpxK//glpK//ispA//ygcW//kefG//tolC//dmsA//epd//yhcF//bioF//caiD//yjtD//aroA//aspS//feaR//cyoA//ygaV//mdlB//hofO//narK//yfbU//lpcA//pstC//menB//nanS//rhlB//moaE//gpmA//tusC//dam//lsrK//yafS//hcaC//lit//yedL//malS//cysG//dtpC//hslO//nemA//mntR//phnP//purU//frmR//relB//rpsO//surE//fes//fdoI//murA//narH//emrB//hscC//dgcE//sgrT//acrA//era//hofP//ypdF//fabG//tadA//entD//kbaY//blc//hemD//fcl//ynfF//nemR//focB//ynaE//appC//fdhF//yfaL//lpoB//yihR//alsC//dnaQ//rpoH//mhpT//yrfG//gstA//ibaG//sfmD//trpE//gcvP//csgF//kdgR//fetA//phoP//dgoT//yadC//pheS//yeaD//gpr//lpxK//glxK//metH//ymdB//zntA//pflC//ldhA//
GO_0015850_6	aaeA//plsX//ftsW//xylA//pheM//clpA//gspF//rlmA//evgA//potB//era//relA//rclA//galT//mdtL//agaW//crcB//rfaH//sad//aroE//hisC//ibpA//ynjD//
GO_0015851_6	clcB//tsx//rpsN//rpiR//ygiW//yfaU//pheT//lldP//stpA//yajO//exuR//rfaD//
GO_0015853_8	hybG//mdtI//
GO_0015854_8	yhhT//recX//
GO_0015855_7	uraA//msrB//dgoR//
GO_0015856_8	adk//
GO_0015857_6	radA//nanS//
GO_0015858_7	gcd//cdaR//pbpG//glgP//cutC//hlyE//yraI//wecC//sgrT//
GO_0015860_7	rbbA//kefC//
GO_0015861_9	yieL//alpA//
GO_0015862_9	ssuE//yadI//
GO_0015863_8	menB//
GO_0015864_8	iscU//csgA//
GO_0015871_6	rpiA//lplA//yghO//accA//rsgA//
GO_0015878_6	envR//
GO_0015879_9	mqsA//
GO_0015882_7	spy//nrfE//ung//
GO_0015886_6	lpxD//abgB//yjbG//mdtG//yagG//hsdM//cmk//xylF//fadL//
GO_0015887_7	rpmC//
GO_0015888_6	nagD//
GO_0015889_6	kdpC//gyrB//lldD//arnF//hicA//rffG//cheB//
GO_0015891_6	gntR//tmcA//lpxK//pabA//adiA//yfcU//djlC//nlpA//gltK//rplP//rffC//agaS//lrp//adk//cysK//
GO_0015893_5	selD//mglA//menD//ccmF//hcaC//fbp//cpsB//xapR//ycjW//yddM//ydeO//maa//hfq//leuA//dxr//yibH//yjjV//yhjX//evgS//tehB//ybjI//yadC//insI4//ariR//pal//carB//tcyL//gpmM//mtlA//ileS//asr//icd//rplW//hofN//tdcG//argE//tig//yphB//mqsA//obgE//trkA//yhcD//yddL//yebS//yhbX//sbcB//potD//pck//glgX//fixB//rplB//metE//rpnC//ydiO//rseC//hisB//gntT//btuB//atpF//fiu//aqpZ//rcnR//xylR//htpX//rluB//ybdM//mcrB//hybA//ansA//fis//mrcB//ompR//gloA//rfbC//glyA//lptB//phnI//mntS//trpE//torY//mnmC//yjcS//ascF//narG//cysK//gudP//aidB//ydeP//prfC//yjtD//arcC//ubiD//hinT//sucB//fieF//trpE//csiR//
GO_0015906_6	entF//wrbA//rfbB//bdcR//rclB//
GO_0015908_7	murG//phoA//
GO_0015909_8	yjiR//
GO_0015912_8	yjcS//
GO_0015914_7	fimZ//rpsT//secY//yaaA//yiiD//rhmR//narW//
GO_0015920_7	rsmC//galF//yafQ//yjhC//yidA//hemE//lrp//crp//nirB//
GO_0015931_6	umpH//alsE//hrpA//pdeF//comR//cpsB//yijE//ygeV//ascB//ydiQ//kdpD//insI-2//
GO_0015936_6	wrbA//sgcX//entC//pth//
GO_0015937_7	dnaC//rnpA//paaE//ygeX//
GO_0015939_5	hybB//ftsB//priA//fhuB//wecC//
GO_0015940_6	lpxC//yfcV//slt//rffT//greA//
GO_0015942_6	yhbO//raiA//paaD//hisM//holE//nirB//yjcS//nuoB//pyrB//
GO_0015944_4	aidB//nhaA//ymgF//glpF//glmS//ydcP//pgaA//
GO_0015949_5	higA//casA//ygbM//rlmM//rspB//mnmG//pyrH//torA//relE//hisP//phoP//hypC//fliM//hdhA//ccmG//yafQ//smpB//btuD//atoB//rlmN//tomB//fadD//nrdR//relE//
GO_0015950_6	mglB//yqgB//ibsD//
GO_0015951_7	metB//acpP//
GO_0015968_6	ybaO//
GO_0015969_8	pdeR//lepB//
GO_0015980_4	bglX//rlmE//bglB//cspA//dsdC//bioP//rsuA//rng//rstB//cheA//fadD//yjbB//yfiE//polB//bcsQ//fliK//sodC//yiaF//hdeA//proQ//entA//dnaJ//rpoA//yfcP//ygiN//dsdC//hybA//ravA//fecD//nikC//sulA//ihfA//dacC//chbF//yaaY//hybE//mhpA//secM//purN//narX//sfsB//rpmH//deoC//srlD//dxr//clpB//afuB//alaA//macA//xylG//osmE//cadB//nimT//kdpE//ssuE//ytfP//ppiC//phoQ//kdgK//rfbD//napB//hisF//kbp//ybiI//maeA//prfB//rlmH//waaY//torC//truA//gltX//abgA//ygaV//rayT//crl//gcvR//ade//gudP//srlE//mltG//mdtF//waaU//cdh//lapB//yfeX//asnA//
GO_0015985_9	rusA//pcnB//arnA//treB//
GO_0015986_7	kbaZ//uidC//yjiX//ccmD//
GO_0015988_9	rseP//katE//hfq//sgbE//dacD//maeA//tdcD//atpH//
GO_0015990_10	rutD//gntP//hyfF//narW//pphB//cysP//frr//araB//
GO_0016024_7	rplS//
GO_0016032_5	rplK//ppiC//ettA//insH-6//yjfF//rluF//mog//nrdH//gcvT//cho//nfi//yjhB//fdoG//cadB//yfcS//yihV//fucO//acpP//
GO_0016036_6	aroL//metG//rsgA//speF//yfcV//yieL//
GO_0016042_5	cynX//ydiK//ulaR//cptB//argD//ychH//cpsG//aslB//ogt//rlmN//topB//cobB//katG//lpcA//fdhD//appA//thrB//ppiD//ftsH//tusB//mzrA//uxaC//thiP//trg//
