# Copied from: /Users/Daniela/Documents/CCG/colaboraciones/Misha/TUs/datasets/tus_2_as_regulons.txt. Only TUs with 2 or more genes were considered.
# From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Tue Feb 27 11:02:06 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
# Only TUs of 2 or more genes.
# Repetitions were omitted using: 
aaeXAB	aaeX//aaeA//aaeB//
rimP-nusA-infB	rimP//nusA//infB//
rirA-waaQGPSBOJYZU	rirA//waaQ//waaG//waaP//waaS//waaB//waaO//waaJ//waaY//waaZ//waaU//
rlmE-ftsH	rlmE//ftsH//
rlmL-uup	rlmL//uup//
rluD-yfiH	rluD//yfiH//
rluE-nudJ	rluE//nudJ//
rnc-era	rnc//era//
rnc-era-recO-pdxJ-acpS	rnc//era//recO//pdxJ//acpS//
rnlAB	rnlA//rnlB//
rnt-lhr	rnt//lhr//
rpe-gph-trpS	rpe//gph//trpS//
rph-pyrE	rph//pyrE//
rpiR-alsBACE	rpiR//alsB//alsA//alsC//alsE//
rplJL-rpoBC	rplJ//rplL//rpoB//rpoC//
rplKAJL-rpoBC	rplK//rplA//rplJ//rplL//rpoB//rpoC//
rplM-rpsI	rplM//rpsI//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	rplN//rplX//rplE//rpsN//rpsH//rplF//rplR//rpsE//rpmD//rplO//secY//rpmJ//
rplT-pheM	rplT//pheM//
rplU-rpmA	rplU//rpmA//
rplU-rpmA-yhbE-obgE	rplU//rpmA//yhbE//obgE//
rpmBG	rpmB//rpmG//
rpmBG-mutM	rpmB//rpmG//mutM//
rpmF-plsX-fabHDG	rpmF//plsX//fabH//fabD//fabG//
rpmH-rnpA	rpmH//rnpA//
rpmI-rplT	rpmI//rplT//
rpoBC	rpoB//rpoC//
rpoE-rseABC	rpoE//rseA//rseB//rseC//
rpoN-hpf-ptsN-rapZ-npr	rpoN//hpf//ptsN//rapZ//npr//
rpoZ-spoT-trmH-recG	rpoZ//spoT//trmH//recG//
rppH-ptsP	rppH//ptsP//
rpsA-ihfB	rpsA//ihfB//
rpsF-priB-rpsR-rplI	rpsF//priB//rpsR//rplI//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	rpsJ//rplC//rplD//rplW//rplB//rpsS//rplV//rpsC//rplP//rpmC//rpsQ//
rpsLG-fusA-tufA	rpsL//rpsG//fusA//tufA//
rpsMKD-rpoA-rplQ	rpsM//rpsK//rpsD//rpoA//rplQ//
rpsO-pnp	rpsO//pnp//
rpsP-rimM-trmD-rplS	rpsP//rimM//trmD//rplS//
rpsU-dnaG-rpoD	rpsU//dnaG//rpoD//
rrlA-rrfA	rrlA//rrfA//
rrlB-rrfB	rrlB//rrfB//
rrlE-rrfE	rrlE//rrfE//
rrlH-rrfH	rrlH//rrfH//
rrsA-ileT-alaT-rrlA-rrfA	rrsA//ileT//alaT//rrlA//rrfA//
rrsB-gltT-rrlB-rrfB	rrsB//gltT//rrlB//rrfB//
rrsC-gltU-rrlC-rrfC	rrsC//gltU//rrlC//rrfC//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrsD//ileU//alaU//rrlD//rrfD//thrV//rrfF//
rrsE-gltV-rrlE-rrfE	rrsE//gltV//rrlE//rrfE//
rrsG-gltW-rrlG-rrfG	rrsG//gltW//rrlG//rrfG//
rrsH-ileV-alaV-rrlH-rrfH	rrsH//ileV//alaV//rrlH//rrfH//
rseABC	rseA//rseB//rseC//
rsfS-rlmH-mrdAB-rlpA	rsfS//rlmH//mrdA//mrdB//rlpA//
rsmA-apaGH	rsmA//apaG//apaH//
rsmD-yhhL	rsmD//yhhL//
rsmE-gshB	rsmE//gshB//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	rsmH//ftsL//ftsI//murE//murF//mraY//murD//ftsW//murG//murC//ddlB//ftsQ//ftsA//ftsZ//lpxC//
rspAB	rspA//rspB//
rssAB	rssA//rssB//
rstAB	rstA//rstB//
rsxABCDGE-nth	rsxA//rsxB//rsxC//rsxD//rsxG//rsxE//nth//
rtcBA	rtcB//rtcA//
rutABCDEFG	rutA//rutB//rutC//rutD//rutE//rutF//rutG//
ruvAB	ruvA//ruvB//
rybA-mntS	rybA//mntS//
safA-ydeO	safA//ydeO//
sanA-yeiS	sanA//yeiS//
sapABCDF	sapA//sapB//sapC//sapD//sapF//
sbcDC	sbcD//sbcC//
sbmA-yaiW	sbmA//yaiW//
scpA-argK-scpBC	scpA//argK//scpB//scpC//
sdaCB	sdaC//sdaB//
sdhCDAB-sucABCD	sdhC//sdhD//sdhA//sdhB//sucA//sucB//sucC//sucD//
sdhDAB	sdhD//sdhA//sdhB//
sdhE-cptA	sdhE//cptA//
secB-gpsA	secB//gpsA//
secE-nusG	secE//nusG//
secG-leuU	secG//leuU//
secMA-mutT	secM//secA//mutT//
selAB	selA//selB//
selD-topB	selD//topB//
seqA-pgm	seqA//pgm//
serB-radA	serB//radA//
serC-aroA	serC//aroA//
serV-argVYZQ	serV//argV//argY//argZ//argQ//
sfmCD	sfmC//sfmD//
sfmHF	sfmH//sfmF//
sfsA-dksA	sfsA//dksA//
sgcXBCQAER	sgcX//sgcB//sgcC//sgcQ//sgcA//sgcE//sgcR//
sgrR-sroA-tbpA-thiPQ	sgrR//sroA//tbpA//thiP//thiQ//
sgrST-setA	sgrS//sgrT//setA//
skp-lpxD-fabZ-lpxA	skp//lpxD//fabZ//lpxA//
slp-dctR	slp//dctR//
solA-yceO	solA//yceO//
speAB	speA//speB//
speF-potE	speF//potE//
srlAEBD-gutM-srlR-gutQ	srlA//srlE//srlB//srlD//gutM//srlR//gutQ//
sroG-ribB	sroG//ribB//
sspAB	sspA//sspB//
ssrS-fau	ssrS//fau//
ssuEADCB	ssuE//ssuA//ssuD//ssuC//ssuB//
stfE-tfaE	stfE//tfaE//
sucAB	sucA//sucB//
sucABCD	sucA//sucB//sucC//sucD//
sufABCDSE	sufA//sufB//sufC//sufD//sufS//sufE//
surA-pdxA-rsmA-apaGH	surA//pdxA//rsmA//apaG//apaH//
tag-yiaC	tag//yiaC//
talA-tktB	talA//tktB//
tamAB-ytfP	tamA//tamB//ytfP//
tar-tap-cheRBYZ	tar//tap//cheR//cheB//cheY//cheZ//
tatABC	tatA//tatB//tatC//
tatABCD	tatA//tatB//tatC//tatD//
tauABCD	tauA//tauB//tauC//tauD//
tdcABCDEFG	tdcA//tdcB//tdcC//tdcD//tdcE//tdcF//tdcG//
tdcBCDEFG	tdcB//tdcC//tdcD//tdcE//tdcF//tdcG//
tehAB	tehA//tehB//
tesA-ybbO	tesA//ybbO//
tff-rpsB-tsf	tff//rpsB//tsf//
tgt-yajC	tgt//yajC//
thiCEFSGH	thiC//thiE//thiF//thiS//thiG//thiH//
thiMD	thiM//thiD//
thrLABC	thrL//thrA//thrB//thrC//
thrS-infC	thrS//infC//
thrS-infC-rpmI-rplT-pheMST-ihfA	thrS//infC//rpmI//rplT//pheM//pheS//pheT//ihfA//
thrU-tyrU-glyT-thrT-tufB	thrU//tyrU//glyT//thrT//tufB//
tnaCAB	tnaC//tnaA//tnaB//
tolB-pal-cpoB	tolB//pal//cpoB//
tolC-ygiABC	tolC//ygiA//ygiB//ygiC//
tomB-hha	tomB//hha//
topAI-yjhQ	topAI//yjhQ//
torCAD	torC//torA//torD//
torYZ	torY//torZ//
treBC	treB//treC//
trmI-yggL	trmI//yggL//
trpCBA	trpC//trpB//trpA//
trpLEDCBA	trpL//trpE//trpD//trpC//trpB//trpA//
tsaB-yeaY	tsaB//yeaY//
tsaE-amiB-mutL-miaA-hfq-hflXKC	tsaE//amiB//mutL//miaA//hfq//hflX//hflK//hflC//
ttdABT	ttdA//ttdB//ttdT//
tyrS-pdxY	tyrS//pdxY//
tyrTV-tpr	tyrT//tyrV//tpr//
tyrV-tpr	tyrV//tpr//
ubiCA	ubiC//ubiA//
ubiEJB	ubiE//ubiJ//ubiB//
udk-dcd	udk//dcd//
ugpBAECQ	ugpB//ugpA//ugpE//ugpC//ugpQ//
uhpABC	uhpA//uhpB//uhpC//
uidABC	uidA//uidB//uidC//
ulaABCDEF	ulaA//ulaB//ulaC//ulaD//ulaE//ulaF//
umpG-pcm	umpG//pcm//
umuDC	umuD//umuC//
uof-fur	uof//fur//
upp-uraA	upp//uraA//
usg-truA-dedA	usg//truA//dedA//
uvrYC	uvrY//uvrC//
uxaCA	uxaC//uxaA//
uxuAB	uxuA//uxuB//
valUXY-lysV	valU//valX//valY//lysV//
valVW	valV//valW//
valZ-lysY	valZ//lysY//
waaA-coaD	waaA//coaD//
waaQGPSBOJYZU	waaQ//waaG//waaP//waaS//waaB//waaO//waaJ//waaY//waaZ//waaU//
waaYZ	waaY//waaZ//
waaZU	waaZ//waaU//
wbbIJK	wbbI//wbbJ//wbbK//
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	wcaC//wcaD//wcaE//wcaF//gmd//fcl//gmm//wcaI//cpsB//cpsG//wcaJ//wzxC//
wcaKLM	wcaK//wcaL//wcaM//
wrbA-yccJ	wrbA//yccJ//
wza-wzb-wzc	wza//wzb//wzc//
wza-wzb-wzc-wcaAB	wza//wzb//wzc//wcaA//wcaB//
xanQ-guaD-ghxQ	xanQ//guaD//ghxQ//
xapAB	xapA//xapB//
xdhABC	xdhA//xdhB//xdhC//
xerD-dsbC-recJ	xerD//dsbC//recJ//
xseB-ispA-dxs-yajO	xseB//ispA//dxs//yajO//
xylAB	xylA//xylB//
xylFGHR	xylF//xylG//xylH//xylR//
yabPQ	yabP//yabQ//
yacC-speED	yacC//speE//speD//
yadGH	yadG//yadH//
yadMLKC	yadM//yadL//yadK//yadC//
yadV-htrE	yadV//htrE//
yaeP-rof	yaeP//rof//
yaeQ-arfB-nlpE	yaeQ//arfB//nlpE//
yafDE	yafD//yafE//
yafNOP	yafN//yafO//yafP//
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	yafY//ykfB//ykfF//yafX//ykfG//ykfH//yafW//ykfI//
yagAB-insX	yagA//yagB//insX//
yagEF	yagE//yagF//
yagGH	yagG//yagH//
yagML	yagM//yagL//
yahDEFG	yahD//yahE//yahF//yahG//
yahIJ	yahI//yahJ//
yaiA-aroM	yaiA//aroM//
yaiXO	yaiX//yaiO//
yajC-secDF	yajC//secD//secF//
yajG-ampG	yajG//ampG//
ybaB-recR	ybaB//recR//
ybaST	ybaS//ybaT//
ybbAP	ybbA//ybbP//
ybbY-glxK	ybbY//glxK//
ybcLM	ybcL//ybcM//
ybcN-ninE-ybcO-rusA-ylcG	ybcN//ninE//ybcO//rusA//ylcG//
ybeD-lipB	ybeD//lipB//
ybeM_1M_2	ybeM_1//ybeM_2//
ybeR-djlB	ybeR//djlB//
ybeU-djlC	ybeU//djlC//
ybeX-lnt	ybeX//lnt//
ybeZY	ybeZ//ybeY//
ybeZYX-lnt	ybeZ//ybeY//ybeX//lnt//
ybfHG	ybfH//ybfG//
ybfOC	ybfO//ybfC//
ybgA-phr	ybgA//phr//
ybgC-tolQRA	ybgC//tolQ//tolR//tolA//
ybgIJKL-nei	ybgI//ybgJ//ybgK//ybgL//nei//
ybgQPO	ybgQ//ybgP//ybgO//
ybhP-clsB-ybhN	ybhP//clsB//ybhN//
ybiYW	ybiY//ybiW//
ybjC-nfsA-rimK-ybjN	ybjC//nfsA//rimK//ybjN//
ybjJI	ybjJ//ybjI//
ybjO-rlmC	ybjO//rlmC//
ybjQ-amiD	ybjQ//amiD//
ycaI-msbA-lpxK-ycaQ	ycaI//msbA//lpxK//ycaQ//
ycaR-kdsB	ycaR//kdsB//
ycbK-gloC	ycbK//gloC//
yccFS	yccF//yccS//
ycdXY	ycdX//ycdY//
yceD-rpmF	yceD//rpmF//
yceJI	yceJ//yceI//
ycgZ-ymgA-ariR-ymgC	ycgZ//ymgA//ariR//ymgC//
ychE_2-yhcF	ychE_2//yhcF//
ychG_1G_2	ychG_1//ychG_2//
ychQA-kdsA	ychQ//ychA//kdsA//
yciCB	yciC//yciB//
yciGFE	yciG//yciF//yciE//
yciK-btuR	yciK//btuR//
yciVOQ	yciV//yciO//yciQ//
yciZT	yciZ//yciT//
ycjMNOPQRSTUV-ymjB	ycjM//ycjN//ycjO//ycjP//ycjQ//ycjR//ycjS//ycjT//ycjU//ycjV//ymjB//
ycjXF	ycjX//ycjF//
ycjXF-tyrR	ycjX//ycjF//tyrR//
ycjY-ymjDC-mpaA	ycjY//ymjD//ymjC//mpaA//
ydaGF	ydaG//ydaF//
ydaSTUVW-rzpR	ydaS//ydaT//ydaU//ydaV//ydaW//rzpR//
ydbH-ynbE-ydbL	ydbH//ynbE//ydbL//
ydbK-ompN	ydbK//ompN//
ydcSTUV-patD	ydcS//ydcT//ydcU//ydcV//patD//
yddAB	yddA//yddB//
yddLKJ	yddL//yddK//yddJ//
ydeNM	ydeN//ydeM//
ydeTSR	ydeT//ydeS//ydeR//
ydfABC	ydfA//ydfB//ydfC//
ydfUT	ydfU//ydfT//
ydgI-folM	ydgI//folM//
ydgK-rsxABCDGE-nth	ydgK//rsxA//rsxB//rsxC//rsxD//rsxG//rsxE//nth//
ydhIJK	ydhI//ydhJ//ydhK//
ydhXUT	ydhX//ydhU//ydhT//
ydhYVW	ydhY//ydhV//ydhW//
ydhYVWXUT	ydhY//ydhV//ydhW//ydhX//ydhU//ydhT//
ydiFO	ydiF//ydiO//
ydiJ-menI-ydiH	ydiJ//menI//ydiH//
ydiNB-aroD	ydiN//ydiB//aroD//
ydiQRST-fadK	ydiQ//ydiR//ydiS//ydiT//fadK//
ydjA-selD-topB	ydjA//selD//topB//
ydjLKJIHG	ydjL//ydjK//ydjJ//ydjI//ydjH//ydjG//
ydjXYZ-ynjABCD	ydjX//ydjY//ydjZ//ynjA//ynjB//ynjC//ynjD//
yeaGH	yeaG//yeaH//
yeaR-yoaG	yeaR//yoaG//
yeaVW	yeaV//yeaW//
yebC-ruvC	yebC//ruvC//
yebST	yebS//yebT//
yecDE	yecD//yecE//
yecM-cutC	yecM//cutC//
yecN-cmoAB	yecN//cmoA//cmoB//
yedEF	yedE//yedF//
yedN_1N_2	yedN_1//yedN_2//
yedRJ	yedR//yedJ//
yedS_1S_2	yedS_1//yedS_2//
yedWV	yedW//yedV//
yeeED	yeeE//yeeD//
yeeL_1L_2	yeeL_1//yeeL_2//
yeeRST-cbeA-cbtA-yeeW	yeeR//yeeS//yeeT//cbeA//cbtA//yeeW//
yefM-yoeB	yefM//yoeB//
yegLK	yegL//yegK//
yegRZ	yegR//yegZ//
yegTUV	yegT//yegU//yegV//
yehDCBA	yehD//yehC//yehB//yehA//
yehLMPQ	yehL//yehM//yehP//yehQ//
yehUT	yehU//yehT//
yeiR-lpxT	yeiR//lpxT//
yejABEF	yejA//yejB//yejE//yejF//
yejLM	yejL//yejM//
yfaATS_1S_2QP	yfaA//yfaT//yfaS_1//yfaS_2//yfaQ//yfaP//
yfaD-ypaA	yfaD//ypaA//
yfaVU	yfaV//yfaU//
yfaX-rhmD	yfaX//rhmD//
yfaX-rhmD-yfaVU	yfaX//rhmD//yfaV//yfaU//
yfbUT	yfbU//yfbT//
yfcUTSRQPO	yfcU//yfcT//yfcS//yfcR//yfcQ//yfcP//yfcO//
yfdGHI	yfdG//yfdH//yfdI//
yfdONMLK	yfdO//yfdN//yfdM//yfdL//yfdK//
yfdPQ	yfdP//yfdQ//
yfdRST	yfdR//yfdS//yfdT//
yfdX-frc-oxc-yfdVE	yfdX//frc//oxc//yfdV//yfdE//
yfeCD	yfeC//yfeD//
yfeKS	yfeK//yfeS//
yfeYX	yfeY//yfeX//
yffB-dapE-ypfN	yffB//dapE//ypfN//
yffMN	yffM//yffN//
yffOP	yffO//yffP//
yffQR	yffQ//yffR//
yfgHI	yfgH//yfgI//
yfhM-pbpC	yfhM//pbpC//
yfiP-patZ	yfiP//patZ//
yfiR-dgcN	yfiR//dgcN//
yfiR-dgcN-yfiB	yfiR//dgcN//yfiB//
yfjPQ	yfjP//yfjQ//
yfjR-ypjK-yfjST	yfjR//ypjK//yfjS//yfjT//
yfjXY-ypjJ-yfjZ-ypjF	yfjX//yfjY//ypjJ//yfjZ//ypjF//
ygaVP	ygaV//ygaP//
ygaXY	ygaX//ygaY//
ygaZH	ygaZ//ygaH//
ygbJK	ygbJ//ygbK//
ygbLM	ygbL//ygbM//
ygcNOP	ygcN//ygcO//ygcP//
ygcRQ	ygcR//ygcQ//
ygeLK	ygeL//ygeK//
ygfB-pepP-ubiHI	ygfB//pepP//ubiH//ubiI//
ygfK-ssnA	ygfK//ssnA//
ygfM-xdhD	ygfM//xdhD//
ygfTS	ygfT//ygfS//
yggDC	yggD//yggC//
yggSTU-rdgB-yggW	yggS//yggT//yggU//rdgB//yggW//
yggX-mltC	yggX//mltC//
yggX-mltC-nupG	yggX//mltC//nupG//
yghED	yghE//yghD//
yghSR	yghS//yghR//
yghX_2X_1	yghX_2//yghX_1//
ygiF-glnE	ygiF//glnE//
ygiM-cca	ygiM//cca//
ygjJK	ygjJ//ygjK//
yhaBC	yhaB//yhaC//
yhaKL	yhaK//yhaL//
yhaOM	yhaO//yhaM//
yhbE-obgE	yhbE//obgE//
yhbTS	yhbT//yhbS//
yhbUV	yhbU//yhbV//
yhcAD-ychE_1	yhcA//yhcD//ychE_1//
yhdN-zntR	yhdN//zntR//
yhdT-panF-prmA	yhdT//panF//prmA//
yhdWXYZ	yhdW//yhdX//yhdY//yhdZ//
yheO-tusDCB	yheO//tusD//tusC//tusB//
yheSTU	yheS//yheT//yheU//
yhfXW-php-yhfUTS	yhfX//yhfW//php//yhfU//yhfT//yhfS//
yhfZY	yhfZ//yhfY//
yhhZ-yrhA-insAB-6A-6B-6	yhhZ//yrhA//insAB-6//insA-6//insB-6//
yhiI-rbbA-yhhJ	yhiI//rbbA//yhhJ//
yiaKLMNO-lyxK-sgbHUE	yiaK//yiaL//yiaM//yiaN//yiaO//lyxK//sgbH//sgbU//sgbE//
yiaWV	yiaW//yiaV//
yibIH	yibI//yibH//
yibN-grxC-secB-gpsA	yibN//grxC//secB//gpsA//
yicJI	yicJ//yicI//
yicR-rpmBG	yicR//rpmB//rpmG//
yicR-rpmBG-mutM	yicR//rpmB//rpmG//mutM//
yidHGF	yidH//yidG//yidF//
yidKJ	yidK//yidJ//
yieEF	yieE//yieF//
yieP-hsrA	yieP//hsrA//
yifL-dapF-yigA-xerC-yigB	yifL//dapF//yigA//xerC//yigB//
yifNO	yifN//yifO//
yigGF	yigG//yigF//
yihLM	yihL//yihM//
yihPO	yihP//yihO//
yihUTS	yihU//yihT//yihS//
yihVW	yihV//yihW//
yihXY-dtd-yiiD	yihX//yihY//dtd//yiiD//
yiiS-uspD	yiiS//uspD//
yjbEFGH	yjbE//yjbF//yjbG//yjbH//
yjbFGH	yjbF//yjbG//yjbH//
yjbLM	yjbL//yjbM//
yjbQR	yjbQ//yjbR//
yjdIJ	yjdI//yjdJ//
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	yjeF//tsaE//amiB//mutL//miaA//hfq//hflX//hflK//hflC//
yjeNO	yjeN//yjeO//
yjfIJ	yjfI//yjfJ//
yjfKLMC	yjfK//yjfL//yjfM//yjfC//
yjgX_1X_2	yjgX_1//yjgX_2//
yjhBC	yjhB//yjhC//
yjhIHG	yjhI//yjhH//yjhG//
yjiHG-iadA	yjiH//yjiG//iadA//
yjiML	yjiM//yjiL//
yjiPQ	yjiP//yjiQ//
yjiXA	yjiX//yjiA//
yjjB-dnaTC	yjjB//dnaT//dnaC//
yjjB-dnaTC-yjjA	yjjB//dnaT//dnaC//yjjA//
yjjQ-bglJ	yjjQ//bglJ//
yjjUV	yjjU//yjjV//
ykfA-yafZ	ykfA//yafZ//
ykfBF-yafX-ykfGH-yafW-ykfI	ykfB//ykfF//yafX//ykfG//ykfH//yafW//ykfI//
ykfGH-yafW-ykfI	ykfG//ykfH//yafW//ykfI//
ykfJ-prfH	ykfJ//prfH//
ykgEFG	ykgE//ykgF//ykgG//
ykgMO	ykgM//ykgO//
ymcE-gnsA	ymcE//gnsA//
ymdB-clsC	ymdB//clsC//
ymdE-ycdU	ymdE//ycdU//
ymfA-ycfZ	ymfA//ycfZ//
ymfED	ymfE//ymfD//
ymfH-xisE-intE	ymfH//xisE//intE//
ymfTLMNR-beeE-jayE-ymfQ-ycfK-ymfS	ymfT//ymfL//ymfM//ymfN//ymfR//beeE//jayE//ymfQ//ycfK//ymfS//
ymgA-ariR	ymgA//ariR//
ymgGD	ymgG//ymgD//
ymgH-ycgI	ymgH//ycgI//
ymiA-yciX	ymiA//yciX//
ymjC-mpaA	ymjC//mpaA//
ynaA-lomR_1	ynaA//lomR_1//
ynaK-ydaY	ynaK//ydaY//
ynbABCD	ynbA//ynbB//ynbC//ynbD//
yneHG	yneH//yneG//
ynfB-speG	ynfB//speG//
ynfEFGH-dmsD	ynfE//ynfF//ynfG//ynfH//dmsD//
ynfO-ydfO	ynfO//ydfO//
yobA-yebZY	yobA//yebZ//yebY//
yobB-exoX	yobB//exoX//
yobF-cspC	yobF//cspC//
yohJK	yohJ//yohK//
ypdABC	ypdA//ypdB//ypdC//
ypeA-yfeZ	ypeA//yfeZ//
ypfJ-tmcA	ypfJ//tmcA//
yphCB	yphC//yphB//
yphFED	yphF//yphE//yphD//
ypjM_1M_2	ypjM_1//ypjM_2//
ypjM_3-yfjU	ypjM_3//yfjU//
yqaBA	yqaB//yqaA//
yqaE-kbp	yqaE//kbp//
yqcC-truC-yqcA	yqcC//truC//yqcA//
yqcE-ygcE	yqcE//ygcE//
yqeIJ	yqeI//yqeJ//
yqgEF	yqgE//yqgF//
yqhD-dkgA	yqhD//dkgA//
yqiJK	yqiJ//yqiK//
yqjA-mzrA	yqjA//mzrA//
yqjCDEK	yqjC//yqjD//yqjE//yqjK//
yraIJK	yraI//yraJ//yraK//
yrbG-kdsD	yrbG//kdsD//
yrbG-kdsDC-lptCAB	yrbG//kdsD//kdsC//lptC//lptA//lptB//
yrbN-deaD	yrbN//deaD//
yrdD-tsaC-aroE-yrdB	yrdD//tsaC//aroE//yrdB//
yrfG-hslR	yrfG//hslR//
ytfQRT-yjfF	ytfQ//ytfR//ytfT//yjfF//
ytjB-lplA	ytjB//lplA//
znuCB	znuC//znuB//
zraSR	zraS//zraR//
