# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Fri Nov 23 12:16:12 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10001	alr	ALARACECAT-RXN//
EG10980	sucB	RXN0-1147//RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10981	sucC	SUCCCOASYN-RXN//
EG10982	sucD	SUCCCOASYN-RXN//
EG10990	tdcB	4.3.1.17-RXN//RXN-15122//RXN-15125//THREDEHYD-RXN//
EG10993	tdh	THREODEHYD-RXN//RXN-14249//
EG10994	tdk	DURIDKI-RXN//THYKI-RXN//
EG10996	tgt	RXN0-1321//
EG10998	thrA	HOMOSERDEHYDROG-RXN//ASPARTATEKIN-RXN//
EG10999	thrB	HOMOSERKIN-RXN//RXN0-6564//
EG11000	thrC	THRESYN-RXN//
EG11001	thrS	THREONINE--TRNA-LIGASE-RXN//
EG11002	thyA	THYMIDYLATESYN-RXN//
EG11005	tnaA	RXN-15129//TRYPTOPHAN-RXN//RXN-15578//LCYSDESULF-RXN//
EG11015	tpiA	TRIOSEPISOMERIZATION-RXN//
EG11017	treA	TREHALA-RXN//
EG11024	trpA	TRYPSYN-RXN//RXN0-2382//RXN0-2381//RXN0-2381//
EG11025	trpB	TRYPSYN-RXN//RXN0-2382//RXN0-2382//RXN0-2381//
EG11026	trpC	IGPSYN-RXN//PRAISOM-RXN//
EG11027	trpD	ANTHRANSYN-RXN//PRTRANS-RXN//
EG11028	trpE	ANTHRANSYN-RXN//
EG11030	trpS	TRYPTOPHAN--TRNA-LIGASE-RXN//
EG11032	trxB	THIOREDOXIN-REDUCT-NADPH-RXN//
EG11039	tyrA	PREPHENATEDEHYDROG-RXN//CHORISMATEMUT-RXN//
EG11040	tyrB	2.6.1.57-RXN//TYROSINE-AMINOTRANSFERASE-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//PHEAMINOTRANS-RXN//
EG11043	tyrS	TYROSINE--TRNA-LIGASE-RXN//
EG11045	udp	URPHOS-RXN//
EG11050	ugpQ	RXN-14160//RXN-14136//GLYCPDIESTER-RXN//RXN-14073//
EG11055	uidA	BETA-GLUCURONID-RXN//
EG11060	ushA	RXN-14025//RXN-14142//THYMIDYLATE-5-PHOSPHATASE-RXN//RXN-14161//BIS5-ADENOSYL-TRIPHOSPHATASE-RXN//5-NUCLEOTID-RXN//RXN-18241//AMP-DEPHOSPHORYLATION-RXN//UDPSUGARHYDRO-RXN//RXN0-3741//RXN0-5292//RXN-14026//RXN-14143//4-NITROPHENYLPHOSPHATASE-RXN//
EG11065	uxaB	ALTRO-OXIDOREDUCT-RXN//
EG11066	uxuA	MANNONDEHYDRAT-RXN//
EG11067	valS	VALINE--TRNA-LIGASE-RXN//
EG11074	xylA	XYLISOM-RXN//
EG11075	xylB	RXN0-382//XYLULOKIN-RXN//
EG11079	ribF	FADSYN-RXN//RIBOFLAVINKIN-RXN//
EG11081	ispH	ISPH2-RXN//RXN0-884//
EG11082	rihC	INOSINE-NUCLEOSIDASE-RXN//RXN0-361//URIDINE-NUCLEOSIDASE-RXN//ADENOSINE-NUCLEOSIDASE-RXN//RXN0-363//
EG11090	mtn	RXN0-6550//ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN//METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN//
EG11095	acpH	3.1.4.14-RXN//
EG11102	gsk	GUANOSINEKIN-RXN//INOSINEKIN-RXN//
EG11135	pncA	NICOTINAMID-RXN//PYRAZIN-RXN//
EG11138	nudB	RXN0-384//H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN//
EG11143	ubiG	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN//DHHB-METHYLTRANSFER-RXN//
EG11158	fau	5-FORMYL-THF-CYCLO-LIGASE-RXN//
EG11171	tsaD	RXN-14570//
EG11172	tdcD	PROPKIN-RXN//
EG11175	garK	GKI-RXN//
EG11176	garR	TSA-REDUCT-RXN//RXN0-5289//
EG11189	waaC	RXN0-5057//RXN0-5118//
EG11190	coaD	PANTEPADENYLYLTRAN-RXN//
EG11195	yidA	RXN-15312//RXN0-7250//SUGAR-PHOSPHATASE-RXN//SORBITOL-6-PHOSPHATASE-RXN//MANNITOL-1-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//RXN0-7249//GLUCOSE-1-PHOSPHAT-RXN//RXN0-5186//RXN-14483//RXN0-7251//
EG11198	glmU	2.3.1.157-RXN//NAG1P-URIDYLTRANS-RXN//
EG11202	yigB	RXN0-5187//RIBOPHOSPHAT-RXN//
EG11204	murI	GLUTRACE-RXN//
EG11205	murB	UDPNACETYLMURAMATEDEHYDROG-RXN//
EG11221	zwf	GLU6PDEHYDROG-RXN//
EG11223	argH	ARGSUCCINLYA-RXN//
EG11226	leuA	2-ISOPROPYLMALATESYN-RXN//
EG11234	ydiB	RXN-7967//SHIKIMATE-5-DEHYDROGENASE-RXN//RXN-7968//
EG11239	ybhA	F16BDEPHOS-RXN//3.1.3.74-RXN//
EG11245	yggF	F16BDEPHOS-RXN//
EG11253	ldtD	RXN-16660//RXN0-5402//RXN-16665//RXN-16664//
EG11265	cmk	RXN-7913//RXN-11832//
EG11284	fabZ	4.2.1.59-RXN//RXN-11481//RXN-10656//4.2.1.58-RXN//RXN-11477//RXN-9533//RXN-9537//3-HYDROXYDECANOYL-ACP-DEHYDR-RXN//RXN-9520//RXN-9557//RXN-9655//4.2.1.61-RXN//RXN0-2144//RXN-10660//
EG11286	argE	ACETYLORNDEACET-RXN//
EG11294	ispE	2.7.1.148-RXN//
EG11306	lipA	RXN0-949//
EG11314	purB	AICARSYN-RXN//AMPSYN-RXN//
EG11317	fabD	MALONYL-COA-ACP-TRANSACYL-RXN//
EG11318	fabG	RXN-9524//RXN0-2142//3-OXOACYL-ACP-REDUCT-RXN//RXN-10659//RXN-9528//RXN-11480//RXN-10655//RXN-9514//RXN-11476//RXN-9532//RXN-9536//RXN-9540//RXN-9518//RXN-9556//
EG11319	galU	GLUC1PURIDYLTRANS-RXN//
EG11321	ribD	RIBOFLAVINSYNREDUC-RXN//RIBOFLAVINSYNDEAM-RXN//
EG11322	ribE	LUMAZINESYN-RXN//
EG11324	ubiH	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN//
EG11325	acnA	ACONITATEDEHYDR-RXN//RXN-14047//ACONITATEHYDR-RXN//
EG11326	codA	RXN0-6708//CYTDEAM-RXN//
EG11329	gabD	SUCCSEMIALDDEHYDROG-RXN//
EG11331	ribA	GTP-CYCLOHYDRO-II-RXN//
EG11332	upp	URACIL-PRIBOSYLTRANS-RXN//
EG11333	ubiI	2-OCTAPRENYLPHENOL-HYDROX-RXN//
EG11335	nadR	2.7.7.1-RXN//RIBOSYLNICOTINAMIDE-KINASE-RXN//
EG11339	waaG	RXN0-5120//
EG11340	waaP	RXN0-5121//
EG11341	waaQ	RXN0-5122//
EG11351	waaB	RXN0-5124//
EG11352	waaO	RXN0-5125//
EG11353	waaJ	RXN0-5126//2.4.1.58-RXN//
EG11358	murA	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN//
EG11368	menB	NAPHTHOATE-SYN-RXN//
EG11369	ubiC	CHORPYRLY-RXN//
EG11370	ubiA	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN//
EG11371	pgpC	PGPPHOSPHA-RXN//
EG11374	folK	H2PTERIDINEPYROPHOSPHOKIN-RXN//
EG11375	folE	GTP-CYCLOHYDRO-I-RXN//
EG11377	plsC	RXN-17009//1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN//RXN-17019//RXN-17021//RXN-17023//RXN-17008//RXN-17011//RXN-17010//RXN-1623//
EG11396	ubiD	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN//
EG11402	treC	TRE6PHYDRO-RXN//
EG11406	ribC	RIBOFLAVIN-SYN-RXN//
EG11407	dadA	DALADEHYDROG-RXN//
EG11408	dadX	ALARACECAT-RXN//
EG11409	lpxK	TETRAACYLDISACC4KIN-RXN//
EG11417	nrdD	RXN0-724//RXN0-745//RIBONUCLEOSIDE-TRIP-REDUCT-RXN//RXN0-723//RXN0-746//
EG11418	dcd	DCTP-DEAM-RXN//
EG11423	waaU	RXN0-5127//2.4.1.56-RXN//
EG11425	waaY	RXN0-5123//
EG11427	tktA	2TRANSKETO-RXN//1TRANSKETO-RXN//
EG11442	gcvT	GCVT-RXN//GCVT-RXN//RXN-8629//GCVP-RXN//GCVMULTI-RXN//
EG11443	rpiA	RIB5PISOM-RXN//
EG11444	scpA	METHYLMALONYL-COA-MUT-RXN//
EG11448	acs	ACETATE--COA-LIGASE-RXN//PROPIONATE--COA-LIGASE-RXN//
EG11451	wecB	UDPGLCNACEPIM-RXN//
EG11452	wecC	UDPMANNACADEHYDROG-RXN//
EG11453	rffG	DTDPGLUCDEHYDRAT-RXN//
EG11454	rffH	DTDPGLUCOSEPP-RXN//
EG11455	rffC	TDPFUCACTRANS-RXN//
EG11458	rffM	UDPMANACATRANS-RXN//
EG11470	yigL	RXN-15312//RXN0-7250//SUGAR-PHOSPHATASE-RXN//SORBITOL-6-PHOSPHATASE-RXN//MANNITOL-1-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//RXN0-7249//GLUCOSE-1-PHOSPHAT-RXN//RXN0-5186//RXN-14483//RXN0-7251//3.1.3.74-RXN//
EG11473	ubiE	ADOMET-DMK-METHYLTRANSFER-RXN//2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN//
EG11485	hemG	PROTOPORGENOXI-RXN//RXN0-6259//
EG11487	pdxH	PNPOXI-RXN//PMPOXI-RXN//
EG11490	gadB	GLUTDECARBOX-RXN//
EG11493	pabC	ADCLY-RXN//
EG11501	adiA	ARGDECARBOX-RXN//
EG11511	mog	RXN-8344//
EG11517	glpX	F16BDEPHOS-RXN//
EG11528	fabI	RXN-11478//RXN-9658//RXN-9661//RXN-9558//RXN-9657//RXN-9660//RXN-9663//ENOYL-ACP-REDUCT-NADH-RXN//RXN0-2145//RXN-10661//RXN-9659//RXN-11482//RXN-9662//RXN-10657//
EG11530	fadD	ACYLCOASYN-RXN//
EG11531	cfa	2.1.1.79-RXN//
EG11532	menC	O-SUCCINYLBENZOATE-COA-SYN-RXN//
EG11539	pyrH	RXN-12002//
EG11542	tesA	RXN-9555//RXN-9550//LYSOPHOSPHOLIPASE-RXN//THIOESTER-RXN//
EG11543	hemE	UROGENDECARBOX-RXN//
EG11546	nadC	QUINOPRIBOTRANS-RXN//
EG11547	rnt	RXN0-6484//RXN0-6483//
EG11553	glmM	5.4.2.10-RXN//
EG11556	talB	TRANSALDOL-RXN//
EG11557	caiD	CARNDETRU-RXN//
EG11558	caiC	LCARNCOALIG-RXN//
EG11559	caiB	RXN0-3601//
EG11560	caiA	CROBETREDUCT-RXN//
EG11575	leuD	RXN-8991//RXN-13163//3-ISOPROPYLMALISOM-RXN//
EG11576	leuC	RXN-8991//RXN-13163//3-ISOPROPYLMALISOM-RXN//
EG11577	leuB	3-ISOPROPYLMALDEHYDROG-RXN//RXN-13158//
EG11583	gcl	GLYOCARBOLIG-RXN//
EG11585	thiC	PYRIMSYN1-RXN//
EG11586	thiE	THI-P-SYN-RXN//RXN-12611//
EG11587	thiF	RXN-9789//RXN-9788//
EG11589	thiG	THIAZOLSYN2-RXN//
EG11590	thiH	RXN-11319//
EG11591	lipB	RXN0-947//
EG11595	moaA	RXN-8340//
EG11597	moaD	RXN-8342//
EG11598	moaE	RXN-8342//
EG11602	glnE	GSADENYLATION-RXN//GSDEADENYLATION-RXN//
EG11608	clsA	CARDIOLIPSYN-RXN//
EG11620	rnb	RXN0-6479//
EG11623	sdaB	4.3.1.17-RXN//RXN-15125//
EG11646	psuK	PSEUDOURIDINE-KINASE-RXN//
EG11647	accA	RXN0-5055//
EG11648	dkgB	RXN0-5141//RXN0-4281//RXN0-7020//
EG11665	bacA	RXN-11776//UNDECAPRENYL-DIPHOSPHATASE-RXN//
EG11669	atoD	ACETOACETYL-COA-TRANSFER-RXN//
EG11670	atoA	ACETOACETYL-COA-TRANSFER-RXN//
EG11672	atoB	ACETYL-COA-ACETYLTRANSFER-RXN//
EG11673	folB	H2NEOPTERINALDOL-RXN//RXN-10856//
EG11675	panB	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN//
EG11692	adeD	CATAL-RXN//ADENINE-DEAMINASE-RXN//
EG11698	galM	ALDOSE1EPIM-RXN//
EG11699	gpmA	RXN-15509//RXN-15512//RXN-15511//RXN-15510//RXN-15513//
EG11701	udk	URKI-RXN//URIDINEKIN-RXN//CYTIKIN-RXN//CYTIDINEKIN-RXN//
EG11735	efeB	PROTOHEMEFERROCHELAT-RXN//
EG11736	gmhB	RXN0-4361//
EG11746	panC	PANTOATE-BETA-ALANINE-LIG-RXN//
EG11747	panD	ASPDECARBOX-RXN//
EG11751	otsA	TREHALOSE6PSYN-RXN//
EG11752	otsB	TREHALOSEPHOSPHA-RXN//
EG11757	tsaE	RXN-14570//
EG11781	nrfA	RXN-18605//
EG11787	gmd	GDPMANDEHYDRA-RXN//
EG11788	fcl	1.1.1.271-RXN//
EG11796	lplA	RXN-17127//RXN-8655//RXN0-5098//RXN-8654//RXN0-1141//RXN-13039//
EG11797	talA	TRANSALDOL-RXN//
EG11809	purT	ACETATEKIN-RXN//GARTRANSFORMYL2-RXN//
EG11810	gcvP	GCVT-RXN//RXN-8629//GCVP-RXN//GCVP-RXN//GCVMULTI-RXN//
EG11814	torA	RXN0-5264//
EG11815	torC	RXN0-5264//
EG11816	ispF	RXN0-302//
EG11817	umpG	RXN-14025//RXN-14142//RXN-14090//RXN-7609//3-NUCLEOTID-RXN//5-NUCLEOTID-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-14026//RXN-14126//
EG11822	puuB	RXN0-3921//
EG11827	rpiB	RXN0-303//RIB5PISOM-RXN//
EG11829	mobA	RXN-16456//RXN0-262//RXN-16457//
EG11836	hemN	HEMN-RXN//
EG11845	yihS	RXN-15296//MANNOSE-ISOMERASE-RXN//
EG11846	yihT	RXN-15298//
EG11847	yihU	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN//RXN-15299//
EG11848	yihV	RXN-15297//
EG11850	yihX	GLUCOSE-1-PHOSPHAT-RXN//
EG11865	rhaM	RXN0-5306//
EG11866	rhaD	RHAMNULPALDOL-RXN//
EG11867	rhaA	LYXISOM-RXN//RHAMNISOM-RXN//
EG11868	rhaB	RHAMNULOKIN-RXN//
EG11880	menA	DMK-RXN//
EG11893	dacD	RXN-16649//BETA-LACTAMASE-RXN//
EG11904	gldA	RXN-8632//GLYCDEH-RXN//AMINOPROPDEHYDROG-RXN//
EG11934	aphA	RXN-14025//RXN-14142//THYMIDYLATE-5-PHOSPHATASE-RXN//RXN-14161//RXN-14523//ACID-PHOSPHATASE-RXN//RXN-14090//RXN-14534//RXN-14505//RXN0-5114//RXN-7609//RXN-14522//3-NUCLEOTID-RXN//RXN-14525//5-NUCLEOTID-RXN//DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-7607//RXN-14473//RXN0-3741//RXN0-5292//RXN-14026//RXN-14143//RXN-14521//RXN-14524//RXN-14126//
EG11946	nrfC	RXN-18604//
EG11947	nrfD	RXN-18604//
EG11956	alsK	ALLOSE-KINASE-RXN//
EG11957	alsE	RXN0-304//
EG11963	lldD	L-LACTDEHYDROGFMN-RXN//
EG11978	rfbA	DTDPGLUCOSEPP-RXN//
EG11979	rfbC	DTDPDEHYDRHAMEPIM-RXN//
EG11981	glf	GALPMUT-RXN//
EG12026	yeiG	S-FORMYLGLUTATHIONE-HYDROLASE-RXN//GLYOXII-RXN//
EG12030	rihB	RXN0-361//RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN//URIDINE-NUCLEOSIDASE-RXN//
EG12033	psuG	RXN0-5398//
EG12061	napB	NITRATE-REDUCTASE-CYTOCHROME-RXN//
EG12062	napH	RXN-18584//
EG12064	napG	RXN-18584//
EG12067	napA	NITRATE-REDUCTASE-CYTOCHROME-RXN//
EG12069	mqo	MALATE-DEHYDROGENASE-ACCEPTOR-RXN//
EG12100	tktB	2TRANSKETO-RXN//1TRANSKETO-RXN//
EG12144	pgm	PHOSPHOGLUCMUT-RXN//
EG12150	cobS	COBALAMIN5PSYN-RXN//
EG12151	cobT	DMBPPRIBOSYLTRANS-RXN//
EG12152	idnK	GLUCONOKIN-RXN//
EG12189	hemF	RXN0-1461//
EG12192	nadK	NAD-KIN-RXN//
EG12198	chbG	RXN-11313//RXN0-7001//
EG12210	waaF	RXN0-5061//
EG12221	acpT	HOLO-ACP-SYNTH-RXN//ENTDB-RXN//
EG12237	arsC	RXN-982//
EG12245	treF	TREHALA-RXN//
EG12253	kdgK	DEOXYGLUCONOKIN-RXN//
EG12272	ghrB	YIAE1-RXN//GLYOXYLATE-REDUCTASE-NADP+-RXN//RXN0-300//RXN0-7021//1.1.1.215-RXN//
EG12279	yiaK	RXN0-703//
EG12284	lyxK	LYXK-RXN//RXN0-704//
EG12285	sgbH	RXN0-705//
EG12286	sgbU	LXULRU5P-RXN//
EG12287	sgbE	RIBULPEPIM-RXN//
EG12293	yiaY	THREODEHYD-RXN//RXN-14249//
EG12294	grxC	RXN0-7271//PRODISULFREDUCT-RXN//
EG12296	gpmM	3PGAREARR-RXN//
EG12302	tmk	DTMPKI-RXN//
EG12312	coaE	DEPHOSPHOCOAKIN-RXN//
EG12316	acnB	ACONITATEDEHYDR-RXN//4.2.1.99-RXN//RXN-14047//ACONITATEHYDR-RXN//
EG12345	ydfG	RXN-16003//RXN-16001//RXN-8974//RXN-16000//RXN0-2201//
EG12357	fadK	ACYLCOASYN-RXN//
EG12362	menF	ISOCHORSYN-RXN//
EG12381	nrdF	RXN0-748//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//RXN0-747//RXN0-722//
EG12384	ybcF	CARBAMATE-KINASE-RXN//
EG12399	dhaM	2.7.1.121-RXN//
EG12407	iaaA	ASPARAGHYD-RXN//
EG12411	rfbD	DTDPDEHYRHAMREDUCT-RXN//
EG12412	rfbB	DTDPGLUCDEHYDRAT-RXN//
EG12417	gatD	1.1.1.251-RXN//
EG12419	gatY	TAGAALDOL-RXN//
EG12423	tauD	RXN0-299//
EG12432	ydiF	ACETOACETYL-COA-TRANSFER-RXN//
EG12437	menE	O-SUCCINYLBENZOATE-COA-LIG-RXN//
EG12438	menH	RXN-9310//
EG12440	mpl	RXN0-7022//RXN0-2361//
EG12522	garD	GALACTARDEHYDRA-RXN//
EG12606	fabF	2.3.1.179-RXN//3-OXOACYL-ACP-SYNTH-RXN//3-OXOACYL-ACP-SYNTH-BASE-RXN//
EG12629	gntK	GLUCONOKIN-RXN//
EG12666	lpxH	LIPIDXSYNTHESIS-RXN//
EG12688	grxB	RXN0-7271//PRODISULFREDUCT-RXN//
EG12712	luxS	RIBOSYLHOMOCYSTEINASE-RXN//
EG12715	dxr	DXPREDISOM-RXN//
EG12734	uxaA	ALTRODEHYDRAT-RXN//
EG12768	kbaY	TAGAALDOL-RXN//
EG12867	ampH	RXN-16649//
EG12882	gss	GSPSYN-RXN//GSPAMID-RXN//
EG12957	glk	GLUCOKIN-RXN//GLUCOSAMINE-KINASE-RXN//
EG13139	tynA	AMINEOXID-RXN//RXN-9597//AMACETOXID-RXN//AMINEPHEN-RXN//
EG13236	mngB	RXN0-5216//
EG13238	cobU	COBINPGUANYLYLTRANS-RXN//COBINAMIDEKIN-RXN//
EG20049	dgoA	DEHYDDEOXPHOSGALACT-ALDOL-RXN//
EG20051	dgoK	DEHYDDEOXGALACTKIN-RXN//
EG20080	glcB	MALSYN-RXN//
EG20091	gpsA	GLYC3PDEHYDROGBIOSYN-RXN//
EG20098	hpt	GUANPRIBOSYLTRAN-RXN//HYPOXANPRIBOSYLTRAN-RXN//
EG20173	pta	PHOSACETYLTRANS-RXN//PTAALT-RXN//
EG20248	uxuB	MANNONOXIDOREDUCT-RXN//
EG20257	nrdE	RXN0-748//RIBONUCLEOSIDE-DIP-REDUCTII-RXN//RXN0-747//RXN0-722//
EG30069	rnpB	RXN0-6480//3.1.26.5-RXN//
EG50006	eutB	ETHAMLY-RXN//
EG50007	eutC	ETHAMLY-RXN//
EG50009	gadA	GLUTDECARBOX-RXN//
EG50010	frmA	RXN-2962//
EG50011	folP	H2PTEROATESYNTH-RXN//
G0-8601	glcF	GLYCOLATEDEHYDRO-RXN//
G0-9281	alaB	ALANINE-AMINOTRANSFERASE-RXN//
G0-9461	pdxB	ERYTHRON4PDEHYDROG-RXN//
G592	ldhA	DLACTDEHYDROGNAD-RXN//
G6092	ispU	RXN-8999//
G6094	ldcC	LYSDECARBOX-RXN//
G6099	gloB	GLYOXII-RXN//
G6105	fadE	ACYLCOADEHYDROG-RXN//
G6106	lpcA	RXN0-4301//
G6196	prpB	METHYLISOCITRATE-LYASE-RXN//
G6198	prpC	2-METHYLCITRATE-SYNTHASE-RXN//CITSYN-RXN//
G6199	prpD	2-METHYLCITRATE-DEHYDRATASE-RXN//
G6200	prpE	PROPIONATE--COA-LIGASE-RXN//
G6205	mhpE	MHPELY-RXN//
G6208	frmB	S-FORMYLGLUTATHIONE-HYDROLASE-RXN//
G6234	thiL	THI-P-KIN-RXN//
G6237	dxs	DXS-RXN//
G6238	thiI	RXN-9788//
G6239	panE	2-DEHYDROPANTOATE-REDUCT-RXN//
G6244	fadM	RXN0-5390//
G6245	queC	RXN-12093//
G6275	allA	UREIDOGLYCOLATE-LYASE-RXN//
G6278	glxR	RXN0-5289//
G6281	allB	ALLANTOINASE-RXN//
G6283	glxK	GKI-RXN//
G6284	allE	URUR-RXN//
G6285	allC	ALLANTOATE-DEIMINASE-RXN//
G6286	allD	RXN0-7024//
G6339	citG	2.7.8.25-RXN//
G6340	citX	2.7.7.61-RXN//
G6341	citF	CITRYLY-RXN//CITTRANS-RXN//CITLY-RXN//
G6342	citE	CITRYLY-RXN//CITTRANS-RXN//CITLY-RXN//
G6343	citD	CITRYLY-RXN//CITTRANS-RXN//CITLY-RXN//
G6344	citC	CITC-RXN//
G6349	cobC	RXN-8770//RXN-16788//
G6350	nadD	NICONUCADENYLYLTRAN-RXN//
G6358	rihA	RXN0-361//URIDINE-NUCLEOSIDASE-RXN//
G6365	ubiF	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN//
G6397	pgl	6PGLUCONOLACT-RXN//
G6406	clsB	CARDIOLIPSYN-RXN//RXN0-7272//
G6422	ldtB	RXN-16665//RXN-16664//
G6425	ybiV	RXN-15312//RXN0-7250//SUGAR-PHOSPHATASE-RXN//SORBITOL-6-PHOSPHATASE-RXN//MANNITOL-1-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//RXN0-7249//GLUCOSE-1-PHOSPHAT-RXN//RXN0-5186//RXN-14483//RXN0-7251//
G6439	ybjG	UNDECAPRENYL-DIPHOSPHATASE-RXN//
G6442	ybjI	RXN0-5187//RIBOPHOSPHAT-RXN//
G6452	amiD	RXN0-5225//
G6455	ltaE	LTAA-RXN//PHENYLSERINE-ALDOLASE-RXN//RXN0-6563//THREONINE-ALDOLASE-RXN//
G6475	gloC	GLYOXII-RXN//
G6477	ssuD	RXN0-280//RXN-15341//RXN0-6973//RXN-13418//
G6479	ssuE	RXN-12444//
G6519	rutE	RXN-8974//
G6520	rutD	RXN0-6452//
G6521	rutC	RXN0-6461//
G6522	rutB	RXN0-6460//RXN-12895//RXN-12894//RXN-12896//RXN0-6451//
G6523	rutA	RXN-12886//RXN0-6444//
G6551	clsC	RXN0-7012//
G6565	lpoB	RXN-16649//RXN-16659//RXN-16650//
G6567	nagZ	RXN0-5226//3.2.1.52-RXN//
G6571	ldtC	RXN-16665//RXN-16664//
G6621	ldcA	RXN0-2061//RXN0-5227//
G6626	dhaL	2.7.1.121-RXN//
G6627	dhaK	2.7.1.121-RXN//
G6644	puuA	RXN0-3901//
G6645	puuD	RXN0-3942//
G6646	puuE	GABATRANSAM-RXN//
G6661	ycjG	RXN0-5228//
G6662	mpaA	RXN0-961//
G6708	paaZ	RXNMETA-12672//RXN0-6511//3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN//RXNMETA-12671//
G6709	paaA	RXN0-2042//
G6710	paaB	RXN0-2042//
G6711	paaC	RXN0-2042//
G6713	paaE	RXN0-2042//
G6714	paaF	RXN-2425//
G6715	paaG	RXN0-6510//
G6716	paaH	RXN0-2044//
G6718	paaJ	RXN0-6512//RXN-3641//
G6719	paaK	RXN-10819//
G6755	patD	AMINOBUTDEHYDROG-RXN//
G6760	curA	RXN0-6677//RXN0-6676//
G6775	adhP	ALCOHOL-DEHYDROG-RXN//ALCOHOL-DEHYDROG-GENERIC-RXN//
G6798	lsrK	RXN0-5461//
G6804	lsrF	RXN-15943//
G6805	lsrG	RXN-15216//RXN0-6720//
G6811	sad	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN//
G6862	folM	DIHYDROFOLATEREDUCT-RXN//RXN0-6367//
G6879	pdxY	PYRIDOXKIN-RXN//
G6880	anmK	RXN0-4621//
G6886	sodC	SUPEROX-DISMUT-RXN//
G6891	gloA	GLYOXI-RXN//
G6904	ldtE	RXN-16660//RXN0-5402//RXN-16665//RXN-16664//
G6906	sufS	RXN0-308//SELENOCYSTEINE-LYASE-RXN//RXN0-279//
G6912	menI	RXN-9311//
G6940	astE	SUCCGLUDESUCC-RXN//
G6941	astB	SUCCARGDIHYDRO-RXN//
G6942	astD	SUCCGLUALDDEHYD-RXN//
G6943	astA	ARGININE-N-SUCCINYLTRANSFERASE-RXN//
G6944	astC	ACETYLORNTRANSAM-RXN//SUCCORNTRANSAM-RXN//
G6952	ynjE	RXN-12473//
G6954	nudG	RXN0-6957//RXN-14188//
G6967	yeaE	RXN0-4281//
G6986	dmlA	1.1.1.83-RXN//3-ISOPROPYLMALDEHYDROG-RXN//RXN-13158//TARTRATE-DEHYDROGENASE-RXN//
G6991	tsaB	RXN-14570//
G7020	cmoA	RXN0-7066//
G7021	cmoB	RXN0-7067//
G7055	hchA	RXN-17634//RXN-17630//GLYOXIII-RXN//RXN-17632//
G7073	ldtA	RXN-16665//RXN-16664//
G7091	ugd	UGD-RXN//
G7128	gatZ	TAGAALDOL-RXN//
G7129	fbaB	F16ALDOLASE-RXN//
G7135	thiD	PYRIMSYN3-RXN//OHMETPYRKIN-RXN//
G7147	mepS	RXN0-5227//
G7164	nudI	DCTP-PYROPHOSPHATASE-RXN//DUTP-PYROP-RXN//RXN0-5107//
G7166	arnB	RXN0-1863//
G7167	arnC	RXN0-3521//
G7168	arnA	RXN0-1862//RXN0-1861//
G7170	arnT	RXN0-2001//
G7175	rbn	RXN0-4222//
G7184	alaA	ALANINE-AMINOTRANSFERASE-RXN//
G7195	folX	H2NTPEPIM-RXN//
G7212	fadJ	RXN-17776//RXN-17798//RXN-17785//OHBUTYRYL-COA-EPIM-RXN//RXN0-5393//RXN-17794//RXN-17781//RXN-17797//ENOYL-COA-HYDRAT-RXN//RXN-14393//OHACYL-COA-DEHYDROG-RXN//RXN-17790//RXN-17777//RXN-17793//RXN-7931//RXN-17780//ENOYL-COA-DELTA-ISOM-RXN//RXN-17786//RXN-17789//
G7213	fadI	RXN-17795//RXN-17782//RXN-14394//KETOACYLCOATHIOL-RXN//RXN-17791//RXN-17778//RXN-17787//RXN-17799//
G7241	lpxP	PALMITOTRANS-RXN//
G7242	alaC	ALANINE-AMINOTRANSFERASE-RXN//
