# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yeiR//
yfeKS	
yfeYX	glcD//
yffB_dapE_ypfN	rfbC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	kduD//
yfiP_patZ	lpxK//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	glmM//
ygaXY	
ygaZH	dusB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pbpC//dgcM//ldtC//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	aroK//
yggX_mltC	patD//
yggX_mltC_nupG	qor//adk//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	lpoB//ligB//
ygiM_cca	fucK//
ygjJK	umpH//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	waaA//hyaB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	leuB//mltF//eutD//ydiF//murD//trpC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	gcd//
yicJI	pncB//
yicR_rpmBG	
yicR_rpmBG_mutM	serC//
yidHGF	
yidKJ	
yieEF	scpA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ddlA//glf//
yifNO	
yigGF	
yihLM	
yihPO	bcsZ//
yihUTS	rsmB//phnN//xdhC//
yihVW	rutD//
yihXY_dtd_yiiD	fsaA//arsC//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	cof//speC//glcB//kdsB//speD//nadE//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	kbaY//nrdA//
yjiHG_iadA	cfa//
yjiML	
yjiPQ	
yjiXA	rluA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	pgpA//ispE//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	dmsC//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	cynS//
ynfB_speG	nirB//
ynfEFGH_dmsD	gadB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ydfG//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	opgE//
yqaE_kbp	
yqcC_truC_yqcA	psuG//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nfi//eptC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	kdsD//
yrbG_kdsDC_lptCAB	waaQ//nanM//epmB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	waaP//sucA//
yrfG_hslR	rnb//
ytfQRT_yjfF	serS//
ytjB_lplA	rsmB//
znuCB	tadA//
zraSR	
