# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rbsD//
yfdX_frc_oxc_yfdVE	bglB//hisB//iaaA//
yfeCD	
yfeKS	
yfeYX	ilvI//
yffB_dapE_ypfN	allB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	lpoA//
yfiP_patZ	xapA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	cobT//
ygaXY	
ygaZH	ilvD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	narI//glpD//mtgA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	sucB//
yggX_mltC	ilvA//
yggX_mltC_nupG	treA//speC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ddlA//rluA//
ygiM_cca	malP//
ygjJK	ldtE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	mpaA//waaU//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	tcdA//yibQ//queG//hemA//hypB//dhaL//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	mltD//
yicJI	ycaO//
yicR_rpmBG	
yicR_rpmBG_mutM	xdhB//
yidHGF	
yidKJ	
yieEF	wrbA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ileS//queC//
yifNO	
yigGF	
yihLM	
yihPO	wzc//
yihUTS	hemE//torA//pdeR//
yihVW	cadA//
yihXY_dtd_yiiD	hisD//yceF//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	nudL//glmS//sad//sucA//nagA//sdhB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ispG//mobA//
yjiHG_iadA	guaC//
yjiML	
yjiPQ	
yjiXA	purB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ltaE//yajO//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	nagB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	dmsB//
ynfB_speG	tehB//
ynfEFGH_dmsD	plsB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	waaF//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ispD//
yqaE_kbp	
yqcC_truC_yqcA	arnC//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	sdhA//phoA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	waaF//
yrbG_kdsDC_lptCAB	yjeF//lsrG//sdhD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	yghA//cyaA//
yrfG_hslR	trmI//
ytfQRT_yjfF	narH//
ytjB_lplA	prmC//
znuCB	paaG//
zraSR	
