# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cpsG//
yfdX_frc_oxc_yfdVE	ppk//hpt//sdhB//
yfeCD	
yfeKS	
yfeYX	umuC//
yffB_dapE_ypfN	katG//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	fucA//
yfiP_patZ	gapA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	frlB//
ygaXY	
ygaZH	hyi//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pgl//lpd//gltD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ligA//
yggX_mltC	leuS//
yggX_mltC_nupG	rffH//folP//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	yghU//fre//
ygiM_cca	cysN//
ygjJK	nanK//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	dapE//trmH//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	lldD//pabB//idi//mutL//ppiC//purH//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	arnT//
yicJI	lpxA//
yicR_rpmBG	
yicR_rpmBG_mutM	paaZ//
yidHGF	
yidKJ	
yieEF	nrdF//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	kefF//rsmG//
yifNO	
yigGF	
yihLM	
yihPO	rluD//
yihUTS	argA//polA//ttdA//
yihVW	glyS//
yihXY_dtd_yiiD	trpA//uvrA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	gnd//pgaC//etp//ldtC//dinB//thiG//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ligB//paaY//
yjiHG_iadA	ilvI//
yjiML	
yjiPQ	
yjiXA	proA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	relA//nanK//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	alsK//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	serC//
ynfB_speG	truC//
ynfEFGH_dmsD	pdeR//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	gltD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	fadI//
yqaE_kbp	
yqcC_truC_yqcA	yhhW//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	purM//ilvD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	glpQ//
yrbG_kdsDC_lptCAB	chbF//yfcG//hycB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	cynT//lpxM//
yrfG_hslR	thrC//
ytfQRT_yjfF	pykF//
ytjB_lplA	entD//
znuCB	yghA//
zraSR	
