# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmI//
yfdRST	pldB//
yfdX_frc_oxc_yfdVE	paaG//thiM//sucC//
yfeCD	
yfeKS	
yfeYX	tdcE//
yffB_dapE_ypfN	menD//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	trmO//
yfiP_patZ	fadH//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ydfG//
ygaXY	
ygaZH	murD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	yeiR//yciV//aroK//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ycjG//
yggX_mltC	thiK//
yggX_mltC_nupG	ldtD//rfbD//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	dusA//mltB//
ygiM_cca	fabH//
ygjJK	cynT//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	pgsA//purD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	eutD//malY//narI//ygeX//murD//fucU//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	accB//
yicJI	opgE//
yicR_rpmBG	
yicR_rpmBG_mutM	nudK//
yidHGF	
yidKJ	
yieEF	tpiA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ribB//mutL//
yifNO	
yigGF	
yihLM	
yihPO	tktB//
yihUTS	ttdB//tktB//gstA//
yihVW	pgaD//
yihXY_dtd_yiiD	dgoK//ddlA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rluE//cysJ//lgoD//rffH//citG//hyi//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	guaB//folE//
yjiHG_iadA	menI//
yjiML	
yjiPQ	
yjiXA	purE//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	gmhB//hcaB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	aroA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	proC//
ynfB_speG	mutL//
ynfEFGH_dmsD	thiG//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	sucD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rsuA//
yqaE_kbp	
yqcC_truC_yqcA	rimK//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	eno//rlmI//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	hemG//
yrbG_kdsDC_lptCAB	apaH//murD//prpB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	dmlA//treA//
yrfG_hslR	nhoA//
ytfQRT_yjfF	sgbH//
ytjB_lplA	ampD//
znuCB	ispE//
zraSR	
