# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pabC//
yfdX_frc_oxc_yfdVE	ycjG//nudK//yfeW//
yfeCD	
yfeKS	
yfeYX	hcaD//
yffB_dapE_ypfN	entB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	cpsB//
yfiP_patZ	hcp//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	gmhB//
ygaXY	
ygaZH	sdhA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	mutS//rdoA//luxS//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rluA//
yggX_mltC	aroA//
yggX_mltC_nupG	mmuM//queF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	hypF//ynfF//
ygiM_cca	apt//
ygjJK	gloC//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	ampH//abgB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	hemB//ybcF//moeA//galK//yfdR//acpH//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	mcrC//
yicJI	glcD//
yicR_rpmBG	
yicR_rpmBG_mutM	gluQ//
yidHGF	
yidKJ	
yieEF	rlmI//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	nudI//gloB//
yifNO	
yigGF	
yihLM	
yihPO	sdhD//
yihUTS	galT//nirB//hcaB//
yihVW	ybhA//
yihXY_dtd_yiiD	rutC//cysD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ribB//torA//fucI//hycB//ghrA//ppx//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	narY//lpoB//
yjiHG_iadA	rbsD//
yjiML	
yjiPQ	
yjiXA	waaG//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ansA//narI//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	cdsA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	mhpF//
ynfB_speG	mhpF//
ynfEFGH_dmsD	yfiC//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ilvB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	selD//
yqaE_kbp	
yqcC_truC_yqcA	guaC//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	aceB//cobS//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	mrdA//
yrbG_kdsDC_lptCAB	deoC//acpT//queC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	glnS//glgP//
yrfG_hslR	nudJ//
ytfQRT_yjfF	miaB//
ytjB_lplA	cyaA//
znuCB	atoB//
zraSR	
