# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	bcsZ//
yfdPQ	
yfdRST	lipB//
yfdX_frc_oxc_yfdVE	wcaJ//pflB//napA//
yfeCD	
yfeKS	
yfeYX	cueO//
yffB_dapE_ypfN	acnB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	bioB//
yfiP_patZ	malQ//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	phnM//
ygaXY	
ygaZH	pldA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	argS//iscS//eno//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	allC//
yggX_mltC	sdhC//
yggX_mltC_nupG	luxS//aphA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	apt//ispE//
ygiM_cca	dmsB//
ygjJK	proB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rutE//alkA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	treC//trmL//dmsA//ispU//cmoB//prmC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	nadE//
yicJI	rihC//
yicR_rpmBG	
yicR_rpmBG_mutM	yicI//
yidHGF	
yidKJ	
yieEF	ampC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	recG//queC//
yifNO	
yigGF	
yihLM	
yihPO	rbn//
yihUTS	amyA//patD//preT//
yihVW	umuC//
yihXY_dtd_yiiD	metA//otsA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rimK//galU//lplA//dhaM//pykA//psuK//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	yfeW//frlD//
yjiHG_iadA	aroL//
yjiML	
yjiPQ	
yjiXA	paaI//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	argB//paaY//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	mnmE//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	idnK//
ynfB_speG	yggF//
ynfEFGH_dmsD	glpX//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	queF//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ppk//
yqaE_kbp	
yqcC_truC_yqcA	ldtC//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ydfG//rfaE//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	murG//
yrbG_kdsDC_lptCAB	putA//hemC//ynfE//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	dkgA//glgC//
yrfG_hslR	gluQ//
ytfQRT_yjfF	rnd//
ytjB_lplA	rsuA//
znuCB	cdd//
zraSR	
