# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yqjG//
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	folC//
yfdX_frc_oxc_yfdVE	rutA//waaC//gpp//
yfeCD	
yfeKS	
yfeYX	melA//
yffB_dapE_ypfN	alaA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ulaD//
yfiP_patZ	araB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	uxaA//
ygaXY	
ygaZH	sdaA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	tsaC//mepS//ahpF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	fadM//
yggX_mltC	hisI//
yggX_mltC_nupG	pphA//ldtC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	hisG//nadA//
ygiM_cca	uxuA//
ygjJK	rihA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	yeiR//thrB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	nemA//yiaK//ulaG//ulaD//dxs//carA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	lyxK//
yicJI	xthA//
yicR_rpmBG	
yicR_rpmBG_mutM	gltB//
yidHGF	
yidKJ	
yieEF	galT//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	etk//aldA//
yifNO	
yigGF	
yihLM	
yihPO	lysA//
yihUTS	hemG//mmuM//rlmM//
yihVW	paaE//
yihXY_dtd_yiiD	lhgO//patD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	nrfC//rsmE//yjjX//guaB//xdhA//pgpA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	puuC//yqjG//
yjiHG_iadA	astD//
yjiML	
yjiPQ	
yjiXA	garK//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	accC//aspS//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	dnaE//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ligA//
ynfB_speG	metF//
ynfEFGH_dmsD	menB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	yhdJ//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	hemC//
yqaE_kbp	
yqcC_truC_yqcA	malZ//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	dacD//lacA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	dgt//
yrbG_kdsDC_lptCAB	narY//ogt//galT//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	citD//yghA//
yrfG_hslR	guaD//
ytfQRT_yjfF	thiD//
ytjB_lplA	thiI//
znuCB	leuS//
zraSR	
