# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rhaA//
yfdONMLK	
yfdPQ	
yfdRST	gor//
yfdX_frc_oxc_yfdVE	accA//gsk//abgB//
yfeCD	
yfeKS	
yfeYX	kdsA//
yffB_dapE_ypfN	tktB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	bioB//
yfiP_patZ	treF//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	lhgO//
ygaXY	
ygaZH	dnaE//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	murD//mtgA//tsaC//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rbsD//
yggX_mltC	sdhD//
yggX_mltC_nupG	hycC//aroL//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ispG//rutC//
ygiM_cca	ushA//
ygjJK	waaB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	prpC//thrC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	narH//cobS//fumA//nirD//ubiE//mhpE//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	uxuB//
yicJI	nadD//
yicR_rpmBG	
yicR_rpmBG_mutM	yhdH//
yidHGF	
yidKJ	
yieEF	sucA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	dgt//fucU//
yifNO	
yigGF	
yihLM	
yihPO	mltD//
yihUTS	yghU//hdhA//nudE//
yihVW	folP//
yihXY_dtd_yiiD	fdhF//tatD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yfbT//thiF//gdhA//frc//mpl//fabH//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	sdhB//leuC//
yjiHG_iadA	proC//
yjiML	
yjiPQ	
yjiXA	ung//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	yccX//emtA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	entF//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	tsaD//
ynfB_speG	lacZ//
ynfEFGH_dmsD	rsmA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	treF//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ymdB//
yqaE_kbp	
yqcC_truC_yqcA	serS//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nfsA//murG//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	glcF//
yrbG_kdsDC_lptCAB	phnL//tnaA//ndh//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	tsaC//clsC//
yrfG_hslR	hisG//
ytfQRT_yjfF	sdaA//
ytjB_lplA	rsmJ//
znuCB	nfi//
zraSR	
