# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pdeF//
yfdX_frc_oxc_yfdVE	murD//betB//tdcG//
yfeCD	
yfeKS	
yfeYX	eptB//
yffB_dapE_ypfN	eda//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	iscS//
yfiP_patZ	purK//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	rbsD//
ygaXY	
ygaZH	paoB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	garK//lgoD//rlmJ//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	sgbH//
yggX_mltC	yegS//
yggX_mltC_nupG	ppsA//nfi//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	avtA//adhP//
ygiM_cca	nth//
ygjJK	lpxP//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	waaL//ubiD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	sdhA//yicI//nanE//etk//treF//cynS//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	kdsA//
yicJI	lpxA//
yicR_rpmBG	
yicR_rpmBG_mutM	cysD//
yidHGF	
yidKJ	
yieEF	gabT//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	leuC//suhB//
yifNO	
yigGF	
yihLM	
yihPO	tmcA//
yihUTS	ilvG_2//ribC//folP//
yihVW	selD//
yihXY_dtd_yiiD	menH//metG//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	uvrB//hcp//frdB//clsC//mepS//waaY//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	dgkA//glpB//
yjiHG_iadA	gloC//
yjiML	
yjiPQ	
yjiXA	cysI//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dam//truC//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ubiH//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	yjjX//
ynfB_speG	pspE//
ynfEFGH_dmsD	fucA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	dinB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	glyA//
yqaE_kbp	
yqcC_truC_yqcA	asnB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	pphB//sgbU//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	uxaA//
yrbG_kdsDC_lptCAB	selB//pcm//hisC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	gmd//mtlD//
yrfG_hslR	recF//
ytfQRT_yjfF	rluC//
ytjB_lplA	rnpA//
znuCB	ahpC//
zraSR	
