# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	melA//
yfdX_frc_oxc_yfdVE	pncB//dusC//nudF//
yfeCD	
yfeKS	
yfeYX	waaO//
yffB_dapE_ypfN	yeiR//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	opgB//
yfiP_patZ	kdsD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	aslA//
ygaXY	
ygaZH	idnD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	rlmA//cobU//sgbH//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	speD//
yggX_mltC	nrdE//
yggX_mltC_nupG	tyrB//dapA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	thiD//fumA//
ygiM_cca	uxaB//
ygjJK	sodA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	hisF//fabH//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	bglA//ltaE//ndk//wrbA//kdsB//rsmD//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	hpt//
yicJI	ybjG//
yicR_rpmBG	
yicR_rpmBG_mutM	hycF//
yidHGF	
yidKJ	
yieEF	tig//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	trmJ//pheS//
yifNO	
yigGF	
yihLM	
yihPO	lldD//
yihUTS	dgcM//mnaT//wcaJ//
yihVW	phnN//
yihXY_dtd_yiiD	speD//speF//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rlmF//mhpB//malS//bglX//metK//dacA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	kduD//rhaD//
yjiHG_iadA	thrC//
yjiML	
yjiPQ	
yjiXA	menH//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rutD//mug//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	fumA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	cysJ//
ynfB_speG	selA//
ynfEFGH_dmsD	aroD//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	glmM//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yciV//
yqaE_kbp	
yqcC_truC_yqcA	glyA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	acnB//rlmB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rihB//
yrbG_kdsDC_lptCAB	dhaL//menB//wrbA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	cysQ//pfkB//
yrfG_hslR	sgbE//
ytfQRT_yjfF	mtgA//
ytjB_lplA	xdhC//
znuCB	galM//
zraSR	
