# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	tesA//
yfdONMLK	
yfdPQ	
yfdRST	hycC//
yfdX_frc_oxc_yfdVE	argK//dacA//paaK//
yfeCD	
yfeKS	
yfeYX	fbaB//
yffB_dapE_ypfN	murB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ybjI//
yfiP_patZ	mhpE//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ahr//
ygaXY	
ygaZH	rutD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	dinB//galU//udp//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	purT//
yggX_mltC	tdk//
yggX_mltC_nupG	astE//rpiB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ubiH//pabC//
ygiM_cca	citD//
ygjJK	rsmE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	moeA//rbsD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	udp//lsrG//kefF//tsaD//pgpA//waaP//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	pdeR//
yicJI	hycB//
yicR_rpmBG	
yicR_rpmBG_mutM	ubiH//
yidHGF	
yidKJ	
yieEF	lhgO//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	nrdD//ubiE//
yifNO	
yigGF	
yihLM	
yihPO	waaQ//
yihUTS	gcvT//asnA//dgcM//
yihVW	frmB//
yihXY_dtd_yiiD	yjjX//rluE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	epmC//lpxP//treA//maeA//dusA//purA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	tdh//folB//
yjiHG_iadA	glpC//
yjiML	
yjiPQ	
yjiXA	lpxB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	bcsB//avtA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	metB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	gmd//
ynfB_speG	hisS//
ynfEFGH_dmsD	gapA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ulaG//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	recF//
yqaE_kbp	
yqcC_truC_yqcA	lpxM//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	hisH//ilvM//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ilvN//
yrbG_kdsDC_lptCAB	trmH//gatD//ribA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	rdoA//cdsA//
yrfG_hslR	hisA//
ytfQRT_yjfF	nudC//
ytjB_lplA	pdxH//
znuCB	glyA//
zraSR	
