# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	manA//
yfdRST	rlmA//
yfdX_frc_oxc_yfdVE	nagK//hcp//frlC//
yfeCD	
yfeKS	
yfeYX	gmd//
yffB_dapE_ypfN	bfr//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	gabT//
yfiP_patZ	hemN//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ubiH//
ygaXY	
ygaZH	bfr//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	ybiV//bfr//rne//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	patZ//
yggX_mltC	ahr//
yggX_mltC_nupG	kduD//yihT//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	edd//gloA//
ygiM_cca	yfdR//
ygjJK	insI-3//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	trpC//rpiA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	gabT//hycG//zwf//dcm//nudB//mnmG//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	pheT//
yicJI	hchA//
yicR_rpmBG	
yicR_rpmBG_mutM	melA//
yidHGF	
yidKJ	
yieEF	ynfH//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	proB//tam//
yifNO	
yigGF	
yihLM	
yihPO	astD//
yihUTS	tdcB//coaE//murA//
yihVW	thrS//
yihXY_dtd_yiiD	lysA//aroA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	pabA//murD//queD//mutM//thiK//bioC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mltF//pspE//
yjiHG_iadA	thiK//
yjiML	
yjiPQ	
yjiXA	ada//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rfe//paoA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	zwf//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	entB//
ynfB_speG	aceB//
ynfEFGH_dmsD	yqjH//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	nagK//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ybjG//
yqaE_kbp	
yqcC_truC_yqcA	pck//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	yciA//rne//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	recO//
yrbG_kdsDC_lptCAB	valS//rfe//dgt//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	dcd//kdsC//
yrfG_hslR	moaE//
ytfQRT_yjfF	atoA//
ytjB_lplA	rne//
znuCB	deoA//
zraSR	
