# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	epmB//
yfdX_frc_oxc_yfdVE	aes//hemB//sad//
yfeCD	
yfeKS	
yfeYX	arnB//
yffB_dapE_ypfN	dmlA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ispD//
yfiP_patZ	yibQ//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	pheT//
ygaXY	
ygaZH	argE//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	lysU//dacA//nadB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	dut//
yggX_mltC	dnaE//
yggX_mltC_nupG	recR//hemN//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	thiE//ldtC//
ygiM_cca	ychF//
ygjJK	dusB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	glmS//yqjG//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	solA//umpG//yiaK//nfsB//can//hycC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	fruK//
yicJI	wcaJ//
yicR_rpmBG	
yicR_rpmBG_mutM	ulaD//
yidHGF	
yidKJ	
yieEF	rhaB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	can//trmJ//
yifNO	
yigGF	
yihLM	
yihPO	lysU//
yihUTS	panC//yfbT//bioA//
yihVW	glgX//
yihXY_dtd_yiiD	spoT//gldA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	insI-2//lpxT//yfbT//ldcC//cysK//ispG//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	pinE//ileS//
yjiHG_iadA	gcvT//
yjiML	
yjiPQ	
yjiXA	hemL//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	kefF//phnO//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gltA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	nanE//
ynfB_speG	valS//
ynfEFGH_dmsD	gdhA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	pgpB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yjhG//
yqaE_kbp	
yqcC_truC_yqcA	dgcT//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	mhpD//thiF//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	gpmA//
yrbG_kdsDC_lptCAB	gpmA//epmA//wrbA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	murD//metE//
yrfG_hslR	ygeX//
ytfQRT_yjfF	citF//
ytjB_lplA	ruvB//
znuCB	gpmA//
zraSR	
