# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ydjG//
yfdX_frc_oxc_yfdVE	miaB//rutE//rffH//
yfeCD	
yfeKS	
yfeYX	hyuA//
yffB_dapE_ypfN	puuB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	thiD//
yfiP_patZ	puuB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	dmsB//
ygaXY	
ygaZH	mtn//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	purT//putA//hyaB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	glnE//
yggX_mltC	def//
yggX_mltC_nupG	mltC//allC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	lpxH//yfcF//
ygiM_cca	yidA//
ygjJK	serS//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	gstA//tilS//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	gatZ//ispG//nagA//nagB//ftsI//proB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	frlD//
yicJI	thiD//
yicR_rpmBG	
yicR_rpmBG_mutM	glpX//
yidHGF	
yidKJ	
yieEF	ldtD//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	rihA//dcyD//
yifNO	
yigGF	
yihLM	
yihPO	gpp//
yihUTS	pdxY//yceF//hycB//
yihVW	galE//
yihXY_dtd_yiiD	bioB//pgl//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	epmC//dut//thrC//sodC//rsmJ//ndk//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	maeB//ldtB//
yjiHG_iadA	hisI//
yjiML	
yjiPQ	
yjiXA	fklB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	gloA//ppiC//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rbsD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	coaA//
ynfB_speG	arnC//
ynfEFGH_dmsD	yqjG//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	bcsA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yihU//
yqaE_kbp	
yqcC_truC_yqcA	galM//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ybhA//aroD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	glgP//
yrbG_kdsDC_lptCAB	ispU//mak//metK//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	lpxL//accC//
yrfG_hslR	paaH//
ytfQRT_yjfF	citX//
ytjB_lplA	mcrC//
znuCB	yibQ//
zraSR	
