# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dld//
yfdPQ	
yfdRST	yfcF//
yfdX_frc_oxc_yfdVE	speB//hemA//ftsI//
yfeCD	
yfeKS	
yfeYX	bioF//
yffB_dapE_ypfN	glpQ//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	idnD//
yfiP_patZ	pdxH//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	lysU//
ygaXY	
ygaZH	prpB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	prpB//pheA//glpK//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	glgX//
yggX_mltC	tyrS//
yggX_mltC_nupG	dnaQ//tmk//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	mak//mnmA//
ygiM_cca	rsmE//
ygjJK	alaC//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	tcdA//paaF//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	deoA//yjjG//nudG//pyrG//metG//eptC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	pyrH//
yicJI	cdd//
yicR_rpmBG	
yicR_rpmBG_mutM	metG//
yidHGF	
yidKJ	
yieEF	waaB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	nadC//moeB//
yifNO	
yigGF	
yihLM	
yihPO	nanM//
yihUTS	garD//aes//solA//
yihVW	nrdA//
yihXY_dtd_yiiD	rfbD//hemN//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	gloA//queD//serC//betA//uxaB//lpxB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	nanE//cysN//
yjiHG_iadA	fsaB//
yjiML	
yjiPQ	
yjiXA	nudI//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	astA//ddlB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ycjU//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	gltB//
ynfB_speG	hmp//
ynfEFGH_dmsD	btuR//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	mgsA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	katE//
yqaE_kbp	
yqcC_truC_yqcA	cysI//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	sucB//argI//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	hisC//
yrbG_kdsDC_lptCAB	allB//ybjI//citX//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	queF//mug//
yrfG_hslR	tilS//
ytfQRT_yjfF	rsmD//
ytjB_lplA	psuK//
znuCB	paaI//
zraSR	
