# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmC//
yfdX_frc_oxc_yfdVE	lpoB//maeB//argI//
yfeCD	
yfeKS	
yfeYX	hdhA//
yffB_dapE_ypfN	ydbC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	pgaC//
yfiP_patZ	allE//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	fbaA//
ygaXY	
ygaZH	yfaU//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	tig//malQ//speD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	astD//
yggX_mltC	ycjG//
yggX_mltC_nupG	accB//nrdF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	cueO//dnaE//
ygiM_cca	entB//
ygjJK	prpD//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	torC//phnP//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	codA//phr//lysC//prs//lacA//dgcM//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	eutD//
yicJI	cysD//
yicR_rpmBG	
yicR_rpmBG_mutM	sufS//
yidHGF	
yidKJ	
yieEF	ydiB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	hemB//citG//
yifNO	
yigGF	
yihLM	
yihPO	ilvB//
yihUTS	ribF//dnaQ//mtn//
yihVW	katG//
yihXY_dtd_yiiD	murD//sodA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	atoA//ltaE//fes//nanM//dmsA//ubiX//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	insI-2//ycjG//
yjiHG_iadA	folB//
yjiML	
yjiPQ	
yjiXA	fumB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ndk//ubiI//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	lacA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ubiE//
ynfB_speG	mocA//
ynfEFGH_dmsD	nanK//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	gcl//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rluE//
yqaE_kbp	
yqcC_truC_yqcA	chbG//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	frdC//menI//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	idi//
yrbG_kdsDC_lptCAB	sgbE//mtlD//fdhF//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ldcA//glgB//
yrfG_hslR	thiI//
ytfQRT_yjfF	lpxP//
ytjB_lplA	cobU//
znuCB	frmB//
zraSR	
