# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cobT//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	gpp//
yfdX_frc_oxc_yfdVE	fau//iscS//rpiA//
yfeCD	
yfeKS	
yfeYX	maeA//
yffB_dapE_ypfN	nagK//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	nagK//
yfiP_patZ	ravA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	fadI//
ygaXY	
ygaZH	tktA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	melA//hemG//deoD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	glgX//
yggX_mltC	rlmJ//
yggX_mltC_nupG	yfeW//accA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	idnO//carB//
ygiM_cca	ravA//
ygjJK	pdxB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	glnA//hypB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	hisI//menD//efeB//frdB//murC//recO//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	cobC//
yicJI	dcm//
yicR_rpmBG	
yicR_rpmBG_mutM	rsmH//
yidHGF	
yidKJ	
yieEF	thyA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	curA//cdsA//
yifNO	
yigGF	
yihLM	
yihPO	ispB//
yihUTS	ychF//lpxA//mazG//
yihVW	glmM//
yihXY_dtd_yiiD	phnO//narH//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	fucI//cheR//carB//pabB//ddlB//paoC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	nadD//prmC//
yjiHG_iadA	wecC//
yjiML	
yjiPQ	
yjiXA	pyrI//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ndk//rluD//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	tsaE//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	hycF//
ynfB_speG	cysQ//
ynfEFGH_dmsD	fabI//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	yigB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yqhD//
yqaE_kbp	
yqcC_truC_yqcA	tktA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	dapA//cyaA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ppiA//
yrbG_kdsDC_lptCAB	mcrA//pgpA//glpA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	argH//uidA//
yrfG_hslR	btuR//
ytfQRT_yjfF	scpB//
ytjB_lplA	nrfD//
znuCB	lpxH//
zraSR	
