#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	yrhA//
lit	b0072//
livJ	b0710//
livKHMGF	b0512//b0803//b0402//b1050//b0002//
lldPRD	b3415//b2230//b3580//
loiP	b4011//
lolA-rarA	b2961//b3105//
lolB-ispE-prs	b2188//b2552//b4100//
lolCDE	b0223//b3628//b1781//
lomR_2-stfR-tfaR	b2145//b3693//b4380//
lon	b4032//
lpcA	b4312//
lpd	b1089//
lpoA	b2623//
lpp	b4454//
lptAB	b1092//b1373//
lptB-rpoN-hpf-ptsN-rapZ	b2343//b1365//b3971//b0027//b3621//
lptD	b3385//
lptD-surA-pdxA	b0279//b2157//b2852//
lptFG	b2601//b1889//
lpxC	b0117//
lpxD	b1219//
lpxL	b1197//
lpxM	b2902//
lpxP	b0472//
lrhA	b4204//
lrp	b0068//
lspA-fkpB-ispH	b2558//b1549//b3199//
lsrACDBFG-tam	b1053//b2311//yfaS_1//b3742//b4608//b1659//b4559//
lsrK	b2462//
lsrRK	b3184//b0326//
ltaE-ybjT	b1041//b0107//
luxS	b1821//
lysA	b0637//
lysC	b3038//
lysO	b1772//
lysP	b1723//
lysQ	b1166//
lysR	b2610//
lysT-valT-lysW	b0612//b1400//b0979//
lysU	b2260//
lysZ	b2762//
maa	b2237//
macAB	b2100//b4482//
macB	b4392//
maeA	b3356//
maeB	b2548//
mak	b0846//
malEFG	b0228//b0324//b2248//
malI	b0916//
malK-lamB-malM	b2133//b2270//b1831//
malPQ	pbl//b3341//
malQ	b4297//
malS	b1821//
malT	b2933//
malXY	b3783//b2306//
malZ	b2872//
manA	b0618//
manXYZ	b3041//b1513//C0067//
maoP	b1430//
map-glnD-dapD	b1650//b2953//b1952//
marC	b1003//
marRAB	b4312//b1422//b2536//
matP	b1681//
mazEFG	b4114//b0267//b3187//
mcaS	b2892//
mcbA	b1717//
mcbR	b3984//
mcrA	b1353//
mcrBC	b0167//b0867//
mdaB	b1560//
mdfA	b0928//
mdh	b4120//
mdlAB	b3126//b3937//
mdtABCD-baeSR	b3346//b2121//b2135//b0454//b4191//b2761//
mdtEF	b1321//b4357//
mdtG	b3200//
mdtH	b2507//
mdtJI	b0262//b1696//
mdtK	b4009//
mdtL	b4277//
mdtM-yjiN	b2499//b0427//
mdtNOP	qseG//b4017//b0217//
mdtQ	b0686//
melAB	b2333//b0686//
melR	b3664//
menA-rraA	b3149//b3232//
menBCE	b4411//b0001//b3293//
menDHBCE	b0553//ymdE//b2586//b3107//b1074//
menFDHBCE	b2633//b2749//b2889//b4058//b4239//b0422//
mepH	b0234//
mepM	b4162//
mepS	b3190//
metA	b2447//
metBL	b0475//b0659//
metC	b3354//
metE	b4536//
metF	b3656//
metG	b0223//
metH	b2156//
metJ	b3952//
metK	b4453//
metNIQ	b2776//b0863//b4083//
metR	b4045//
metT-leuW-glnUW-metU-glnVX	b0860//b2898//b4381//b4365//b3679//b2374//b0068//
metY	b4303//
metY-rimP-nusA-infB	b0974//b3045//b3755//b0684//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	b1695//b1694//b0803//b1957//b2825//b4181//b2141//b3670//
metZWV	b3923//b1374//b4088//
mfd	b4251//
mglAC	b2147//b0688//
mglBAC	b0175//b0702//b0522//
mgrB	b4421//
mgrR	b0166//
mgsA	b0534//
mgtLA	b0444//b0269//
mhpABCDFE	b3239//b1460//b3068//b4613//b1214//b2947//
mhpR-lacI	b3503//b3627//
mhpT	b1464//
miaA-hfq-hflXKC	b2285//b4223//b1822//b4353//b1476//
miaB	b2571//
micA	b2795//
micC	b1035//
micF	b1701//
micL	b4361//
minCDE	b2201//b2726//b3176//
mioC	b1729//
mipA	b1536//
mlaA	b0318//
mlaFEDCB	b2058//b0316//b0338//b0324//b2866//
mlc	b2892//
mlc-ynfK	b3324//b4317//
mliC	b0934//
mlrA	b0684//
mltA	b3884//
mltB	b4098//
mltD	b2823//
mltF	b0061//
mmuPM	b1624//b0306//
mnaT-ydcZ	b2578//b0293//
mngAB	b1422//b3893//
mngR	b0677//
mnmA	b0808//
mnmC	b2047//
mnmE	b1189//
mnmG-rsmG	sraA//b0970//
mntH	rhsE//
mntP	b0329//
mntR-ybiR	yedN_1//b3025//
moaABCDE	b1245//b1063//b2472//b1178//b0334//
moaBCDE	b1214//b0839//b3423//b2642//
mobAB	b2331//b0032//
mocA	b2429//
modABC	ychG_1//b4429//b4050//
modEF	b2611//b2218//
moeAB	b2451//b1804//
mog	b3847//
mokB	b0425//
mokC-hokC	b3085//b2420//
molR_1	b1255//
molR_2	b1262//
molR_3-yehI	b0775//b3249//
motAB-cheAW	b3369//b0963//b0542//b4025//
mpaA	b3864//
mpl	b1065//
mppA	b3590//
mprA-emrAB	b3875//b2691//b1833//
mqo	b2176//
mqsRA	b4143//b2598//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b3356//b0198//b3184//b1765//b4124//b3369//b0747//b2817//b3348//b1568//b3304//b2457//yfaS_1//b4525//b2873//b0772//
mrcA	b3600//
mrcB	b2421//
mreB	b1589//
mreBCD	b1291//b1991//b4398//
mreCD	b3729//ficA//
mrp	b3127//
mrr	b4179//
mscK	b0674//
mscL	b3409//
mscS	b2259//
msrA	b2845//
msrB	b1473//
msrC	b1682//
msrPQ	b0164//b3228//
msyB	b2875//
mtfA	b2422//
mtlADR	b2440//b2676//b2796//
mtn-btuF-yadS	b1851//b2488//b3302//
mtr	b1892//
mug	b0276//
murA	b1237//
murB-birA	b1394//b2044//
murJ	b1805//
murQP	b0172//b3905//
murQP-yfeW	b2309//b4233//b2817//
murR	b2634//
mutH	b2487//
mutL-miaA-hfq-hflXKC	b0923//b2061//b1842//b1173//b1947//b4445//
mutM	b1085//
mutS	b0226//
mutY-yggX	b1334//ilvG_2//
mutY-yggX-mltC	b3337//b3148//b4009//
mutY-yggX-mltC-nupG	b2840//b4168//b3513//b0897//
nac	b3830//
nadA-pnuC	b2169//b1790//
nadB	b1804//
nadC	b4145//
nadE	b3660//
nadK	b0281//
nagA	b1047//
nagBAC-umpH	b1625//b3140//b2388//b0440//
nagC	b2855//
nagE	b2818//
nagK-cobB	b3908//b1328//
nanA	b2997//
nanATEK-yhcH	yedN_2//b3904//b3019//b0174//b3732//
nanC	b1880//
nanCM	b3493//b2647//
nanCMS	b2377//b2143//b2935//
nanR	b3951//
nanS	b0047//
napFDAGHBC	b2871//b2676//b1853//b3855//b4403//b2092//b2619//
napFDAGHBC-ccmABCDEFGH	b1344//b0398//b2986//b3833//b2911//b1706//b0283//b2960//b0270//b2447//b0145//b1413//b3568//b0744//b1422//
narGHJI	ychG_2//b1526//b3213//b2027//
narK	b3069//
narP	b1174//
narQ	b3897//
narU	b0827//
narWV	b0662//b0388//
narXL	b1208//b1841//
narZYWV	b3619//b2948//b0384//b2786//
ndh	b1011//
ndk	b4002//
nemA	b1701//
nemR	b1335//
nemRA	b1653//b2834//
nemRA-gloA	b2011//b0805//b3396//
nepI	b2436//
nfo	b0885//
nfrBA	ypaA//b2855//
nfsB	b1448//
nfuA	b1211//
nhaAR	b0487//b0445//
nhaB	b0825//
nhaR	b3229//
nhoA	b0352//
nikABCDER	b0844//b2202//b0585//b3870//b4509//b2576//
nikR	b1399//
nimR	b1851//
nimT	b2640//
nirBDC-cysG	b4165//b3544//b0939//b1604//
nlpA	b1319//
nlpC	b2197//
nlpD-rpoS	b4598//b1555//
nlpI	b2058//
nmpC	b0843//
nohA-ydfN-tfaQ	b4096//b3149//b3531//
nohB	b0963//
norR	b3595//
norVW	b0480//b0031//
nrdAB-yfaE	b3179//b1704//b0707//
nrdDG	b0771//b4542//
nrdG	b3934//
nrdHIEF	b2389//b1593//b3219//b3153//
nrdR-ribDE-nusB-thiL-pgpA	b3560//b1121//b4014//b0536//b0705//b0552//
nrfABCDEFG	yedN_1//b4529//b3966//b2615//b4242//b0957//b1470//
nsrR-rnr-rlmB-yjfI	b0109//b3276//b1737//b1823//
nudB-yebC-ruvC	b3528//b1917//b2453//
nudC-hemE-nfi	b1439//b0249//b2847//
nudE	b3429//
nudF-yqiB-cpdA-yqiA-parE	b3197//b1843//b1902//b0077//b4482//
nudG	b2888//
nudI	b1432//
nudK	b1379//
nuoABCEFGHIJKLMN	b1034//b0303//b3501//b2528//b2512//b1144//b1327//ychE_2//b0113//b3119//b1026//b2386//b0440//
nuoMN	b3724//b1732//
nupC	b4662//
nupG	b0483//
nupX	insEF-1//
ogrK	b0342//
ogt	b0766//
ohsC	b3582//
ompA	b2851//
ompC	b2381//
ompF	b3562//
ompG	b2783//
ompL	b3206//
ompN	b4164//
ompR-envZ	b1086//b3417//
ompT	b0416//
ompW	b1259//
ompX	b1480//
omrA	b0065//
omrB	b0484//
opgB	b3502//
opgC	b0056//
opgD	b1572//
opgE	b3059//
opgGH	b2845//b2341//
oppABCDF	rirA//b4027//b3173//b3625//b0246//
orn	b0852//
ortT	b3027//
osmB	b3487//
osmC	b3332//
osmE	b3595//
osmF-yehYXW	b0476//b2446//b1093//b4349//
osmY	gadF//
otsA	b1517//
otsBA	b3758//b4365//
oxc	b0184//
oxyR	b3211//
oxyS	b1982//
paaABCDEFGHIJK	b2779//b1692//b0023//b0373//b3334//b2437//b0222//b1165//b3544//b1003//b4350//
paaXY	b2915//b0341//
paaZ	b2906//
pabA	b4669//
pabB-nudL	b1838//b0278//
pabC-mltG-tmk-holB-ycfH	b0459//b1524//yghX_1//b3085//b2364//
pagP	b3010//
panBC	b0226//b1533//
panD	b3440//
panE-yajL	b0674//b0762//
panZ	b2196//
paoABCD	b3344//b3704//b3675//b2447//
parC	b4175//
patA	b2520//
patD	b3085//
patZ	b4317//
pbl	b1089//
pbpG	b1769//
pck	b1951//
pcnB-folK	b2212//b1528//
pdeA	b4116//
pdeB	b1595//
pdeC	b4060//
pdeD	b4005//
pdeF	b0789//
pdeG	b0467//
pdeH	b3361//
pdeI-dgcI	b2532//b1404//
pdeK	b3138//
pdeL	b3473//
pdeN	b0104//
pdeR	b4613//
pdhR-aceEF-lpd	b4054//b2527//b2369//b0460//
pdxA-rsmA	b0373//b0630//
pdxA-rsmA-apaGH	b0761//b1311//b3865//b0921//
pdxB-usg-truA-dedA	b3273//b0491//b0638//b2178//
pdxH-tyrS-pdxY	b3517//b2350//b3441//
pdxJ-acpS	b0318//b3907//
pdxK	b0144//
pdxY	b0798//
pepA	b2016//
pepB	b1314//
pepD	b0408//
pepE	b1139//
pepN	b1753//
pepQ-yigZ-trkH-hemG	b3897//b0385//b3345//b1311//
pepT	b0935//
perR	b1747//
pfkA	b0887//
pfkB	b1148//
pflA	b2549//
pflB	b2938//
pflDC	b1296//b2589//
pgaABCD	b2349//b0171//b1463//b3194//
pgi	b0259//
pgk	b1019//
pgk-fbaA	b3202//b4214//
pgl	b0322//
pgpB	b4437//
pgpC-tadA	b2662//b0119//
pgrR	b3711//
pgsA	b0075//
pheLA	b0894//b1262//
pheM	b3412//
pheMST-ihfA	b3218//b3724//b2625//b1733//
pheP	b3320//
pheU	b3771//
pheV	b2530//
phnCDE_1E_2FGHIJKLMNOP	b0844//b0787//b3987//b2671//b1213//b1880//b2946//b2919//b2276//b2226//b2618//b1644//b1294//b1458//b2805//
phnLMNOP	ecpE//b2501//b3357//b1740//b1153//
phoA-psiF	b3652//b3124//
phoBR	b3610//b1642//
phoE	b1263//
phoH	b0583//
phoPQ	b1338//b3283//
phoQ	b0067//
phoU	b0084//
phr	b1793//
pinE	b2703//
pinH	b1458//
pinQ	b2479//
pinR	b2385//
pitA	b3030//
pitB	b3717//
plaP	b0085//
pldA	b1868//
pldB-yigL	b1393//b4357//
pliG	b1371//
plsB	b1864//
plsC	b1911//
plsX-fabHDG	b2472//b0157//b2250//b1643//
pmbA	b4136//
pmrD	b4176//
pncB	b3337//
pncC	b2074//
pnp	b2229//
pntAB	b3487//b3490//
polA	b4041//
polB	b1904//
potABCD	b3897//b0186//b2332//b0832//
potFGHI	ycgH_1//b0874//b3956//b1147//
poxB	b3172//
poxB-ltaE-ybjT	b4287//b0850//b2149//
ppa	b1699//
ppc	b2141//
ppdAB-ygdB-ppdC-recC	b3412//b0670//b2534//b3333//b0186//
ppdD-hofBC	b0544//insB-7_2//b0143//
pphA	b0250//
pphB	b0791//
ppiA	b1092//
ppiB-lpxH	b4249//b2547//
ppiC	b2327//
ppiD	yafF//
ppk-ppx	b1375//b0258//
pppA	b2038//
ppsA	b3698//
ppsR	b2559//
pptA	b3860//
pqiAB	b0921//mltG//
pqqL	b2385//
preTA	b1941//b3167//
prfB-lysS	yedS_1//b1103//
prfC	b4081//
priA	b3309//
priC-ybaM	b4067//b0081//
prkB	insAB-1//
prlC-rsmJ	b3432//b0549//
prlF-yhaV	b1988//b1900//
prmB-aroC-mepA-yfcA-epmC-yfcL	b3426//b1065//b4368//b3158//b3519//b2764//
proBA	b1284//b2670//
proC	b0931//
proK	b2089//
proL	b4251//
proP	b1105//
proQ-prc	b2691//b2311//
proS	b2767//
proVWX	b1192//b0988//b2297//
prpBCDE	b4090//b4422//b3394//b3835//
prpR	b2355//
prs	b2513//
psd-mscM	b4707//b2924//
psiE	b2547//
pspABCDE	b2067//b2506//b3153//b0942//b4140//
pspBCDE	b1800//b4226//b1630//b1736//
pspE	b3071//
pspF	b3647//
pspG	b0773//
pssA	b3571//
pstB-phoU	b0709//b4198//
pstCAB-phoU	b3186//b2686//b3574//b1736//
pstS	b1253//
pstSCA	b0364//b1914//b3608//
pstSCAB-phoU	b2311//b2938//b2063//b2712//b2025//
psuKG	b4685//b3047//
psuT	b4685//
pta	b2676//
pth-ychF	b4415//b3586//
ptrA	b3556//
ptrA-recBD	b2185//b0953//b1512//
ptrB	b2734//
ptsA-fsaB-gldA	b0786//b0773//b4199//
ptsG	b0787//
ptsHI-crr	b3795//yrhC//b0163//
purA	b4251//
purC	b3195//
purEK	b1844//b3623//
purHD	b3374//b1110//
purL	b1860//
purMN	b3059//b4637//
purR	b2950//
purT	b4460//
purU	b1082//
putA	b0342//
putP	b2578//
puuAP	b0867//b0321//
puuCBE	ychE_1//b2127//b4625//
puuDRCBE	b2179//b0131//b3875//b4433//b1070//
puuP	b3238//
pykA	b1109//
pykF	b1790//
pyrC	b4135//
pyrD	insCD-1//
pyrF-yciH	b0911//b2364//
pyrG-eno	b0564//b4320//
pyrH	b0874//
pyrLBI	b3368//b2704//b0717//
qmcA-ybbJ	b1935//b4606//
qor	b1396//
qorB	b4447//
qseBC	b2961//b2063//
qseG	b3730//
queA	b3031//
queC	b3035//
queD	b1201//
queE	b1993//
queF	b0699//
queG	b0950//
racC	b3508//
racR	b3483//
radA-nadR	b0906//b0446//
radD	b2583//
raiA	b2420//
ralA	b2406//
rapA	b1429//
rapA-rluA	b0081//b1179//
rarD	b4441//
ratAB	b0382//b3261//
ravA-viaA	b1662//b1568//
rayT	b3648//
rbn	b2984//
rbsDACBKR	b2435//b0507//b0801//b0259//b2044//b3378//
rcdA	b0864//
rclABC	b1379//b4472//b3950//
rclBC	b2428//b0050//
rclR	b3098//
rcnAB	b0282//b1318//
rcnB	b1826//
rcnR	b0020//
rcsA	b0064//
rcsB	b3454//
rcsC	b2813//
rcsDB	b4274//b0088//
rcsF-trmO	b1021//b3433//
rdgB-yggW	b0857//b0821//
rdgC	b0518//
rdlA	b4299//
rdlB	b1689//
rdlC	insCD-1//
rdlD	b0336//
rdoA-dsbA	b4206//b4268//
recA	mltG//
recAX	b3791//b3428//
recC	3'ETS<sup><i>leuZ</i></sup>//
recET-ralR-ydaC-xisR-intR	b0745//b1094//b3235//b0659//b4118//b2913//
recF	b3189//
recG	b3219//
recN	b3673//
recQ	b2496//
relA	b3519//
relA-mazEF	b4109//b0155//b0171//
relBE	b2413//b2463//
relBE-hokD	b3724//b4251//b3256//
rem	b1819//
renD-emrE	b2660//b3070//
rep	b3425//
rfaD-waaFCL	b4126//b4043//b1513//b3801//
rfaE	b3212//
rfaH	b0321//
rfbACX	b0706//b4434//b3634//
rfbBDACX	b1521//b4367//b0986//b0735//b4471//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	b2437//b1682//b3896//b2053//b0602//b2640//b3378//b1668//b2782//b1997//b3089//b1014//
rhaBAD	b0700//yifN//b2147//
rhaD	b0586//
rhaM	b3573//
rhaSR	b3701//b1540//
rhaT	b3673//
rhlB	b0890//
rhlE	sraA//
rhoL	ychG_1//
rhoL-rho	b0821//b2696//
rhsA-yibA	b0314//b0265//
rhsB	b4044//
rhsC-ybfB	b3124//b2014//
rhsD-ybbC-ylbH-ybbD	b3200//b3582//b0133//b2983//
rhsE-ydcD	b0042//b2821//
rhtA	b4260//
rhtB	b4386//
rhtC	b0156//
ribA	b3831//
ribC	b1064//
ribE-nusB-thiL-pgpA	b3177//yeeL_1//b0474//b0408//
ribF-ileS-lspA-fkpB-ispH	b0511//b4021//b1311//b1586//b3696//
ridA	b1569//
rihA	b1987//
rihB	b2192//
rihC	b1695//
rimJ	b0195//
rimK-ybjN	b4097//yfaS_1//
rimL	b0013//
rimO	b3089//
rimP-nusA-infB	yghE//b1486//b3463//
rirA-waaQGPSBOJYZU	qorB//b4261//b1290//b3455//b1191//b1348//b0464//b3718//b0453//b1442//b1911//
rlmA	b2422//
rlmD	b1144//
rlmE-ftsH	b4257//b4251//
rlmF	ychE_1//
rlmG	b1882//
rlmI	b1220//
rlmJ	b2035//
rlmL-uup	b1798//b3929//
rlmM	b1285//
rlmN	b1465//
rluB	b3211//
rluC	b0944//
rluD-yfiH	b0446//b0439//
rluE-nudJ	intG//b2676//
rluF	b1413//
rmf	b1093//
rmuC	b2916//
rna	cpxQ//
rnb	b3666//
rnc-era	b2709//b3018//
rnc-era-recO-pdxJ-acpS	b3990//b1693//b3311//b1483//b3893//
rnd	b0909//
rne	b0481//
rnhA	b2606//
rnk	b4057//
rnlA	b1202//
rnlAB	b2551//b0590//
rnlB	b0034//
rnpB	b3723//
rnt-lhr	b2054//b4301//
rob	b0987//
rodZ	b1273//
roxA	b3734//
rpe-gph-trpS	b2845//b1977//b0177//
rph	b0687//
rph-pyrE	b0063//b1187//
rpiA	b3686//
rpiB	b1022//
rpiR-alsBACE	b0860//b3336//b1612//b1242//b1929//
rplJL-rpoBC	b4001//b4445//yjiV//b2240//
rplKAJL-rpoBC	b3237//b1411//b3578//b2400//b3166//b2241//
rplL	yjgX_2//
rplM-rpsI	b2610//b2517//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	b4002//b1054//b3523//b2346//b4076//b1680//b0901//b4301//b2144//b2347//b4095//insCD-3//
rplT	b4221//
rplT-pheM	b0528//b0517//
rplU-rpmA	b1623//b0284//
rplU-rpmA-yhbE-obgE	b0792//b0858//yedS_1//insEF-1//
rplY	b2168//
rpmBG	ycgH_2//b2245//
rpmBG-mutM	b1780//b3187//b1687//
rpmE	b2320//
rpmF-plsX-fabHDG	b1498//ycgH_1//b3629//ychE_1//b1881//
rpmH-rnpA	b1855//b2569//
rpmI-rplT	b4544//b3367//
rpoBC	b2255//b2341//
rpoD	b3275//
rpoE-rseABC	b4412//b2097//b2011//b1013//
rpoH	b0492//
rpoN-hpf-ptsN-rapZ-npr	b3235//b2290//b1887//b2985//b1904//
rpoS	b4077//
rpoZ-spoT-trmH-recG	b4146//b3706//b3795//b0001//
rppH-ptsP	b2494//b2106//
rprA	b3798//
rpsA-ihfB	b2011//b1055//
rpsF-priB-rpsR-rplI	insCD-6//b3872//b0207//b4057//
rpsI	b1698//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	b1372//b3839//b3917//b0339//b1081//b3107//b1946//b1614//b2621//b0182//b1402//
rpsLG-fusA-tufA	b4421//b4414//b4669//b4355//
rpsMKD-rpoA-rplQ	b2269//b4133//insAB-1//b4329//b1290//
rpsO	b2719//
rpsO-pnp	insCD-1//b3693//
rpsP-rimM-trmD-rplS	b3428//b0473//b3072//b4225//
rpsT	b2324//
rpsU	b1585//
rpsU-dnaG-rpoD	b1265//b0393//b1676//
rraA	b0411//
rraB	b1959//
rrfG	b1359//
rrlA-rrfA	b1207//b0526//
rrlB-rrfB	b0977//b4341//
rrlE-rrfE	b1040//b0345//
rrlH-rrfH	b1661//b1434//
rrsA-ileT-alaT-rrlA-rrfA	b3989//b3038//b2977//b0341//b3324//
rrsB-gltT-rrlB-rrfB	b0479//b2066//b2944//b1940//
rrsC-gltU-rrlC-rrfC	b0966//b4342//b2906//b0269//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	b2179//b1106//b2623//b0152//b3890//b4383//b3735//
rrsE-gltV-rrlE-rrfE	b2903//b4301//b3773//b3754//
rrsG-gltW-rrlG-rrfG	b4125//b2696//b0195//b2959//
rrsH-ileV-alaV-rrlH-rrfH	b0075//b1061//b4472//b3938//b3170//
rsd	b1638//
rseABC	b2795//b2666//b1162//
rseP	b2215//
rseX	b1234//
rsfS-rlmH-mrdAB-rlpA	b3600//b1447//b3378//b0023//b2040//
rsgA	b0849//
rsmA-apaGH	b3356//b4311//b1877//
rsmB	b4132//
rsmC	b3555//
rsmD-yhhL	b1579//b0238//
rsmE-gshB	b1085//b2877//
rsmF	b2559//
rsmG	b3804//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b3167//b4166//b0509//b0034//b0026//b3938//b4436//b2746//b0631//b2630//b0174//b3526//b2317//b1392//b2483//
rsmI	b2625//
rspAB	b3401//b1281//
rssAB	b4419//b0741//
rssB	b1087//
rstAB	b0255//b1935//
rsuA	b4474//
rsxABCDGE-nth	b1790//b0706//b2752//b3396//b0770//b4592//b3649//
rtcBA	b0167//b0008//
rtcR	b4200//
rttR	b3594//
rutABCDEFG	b2061//insAB-3//b0386//b1290//b1010//b1024//b3445//
rutR	b3143//
ruvAB	b3875//b4445//
ruvC	b2193//
rybA-mntS	b0128//b2747//
rybB	b4458//
rydB	b0470//
rydC	b4330//
ryeA	b1568//
ryfA	b0376//
ryfD	b1245//
ryhB	b1045//
ryjA	b3376//
ryjB	b1560//
rzoD	b0500//
rzoR	b1389//
sad	b0744//
safA-ydeO	b1701//b1075//
sanA-yeiS	b1036//b1859//
sapABCDF	b2712//b1861//b0836//b2699//b3444//
satP	b4613//
sbcB	b3212//
sbcDC	b2616//b1183//
sbmA-yaiW	b1133//b0883//
sbmC	b2568//
sbp	b2660//
scpA-argK-scpBC	b3177//b2851//b1892//b2747//
sdaA	b1625//
sdaCB	b0381//b0740//
sdhCDAB-sucABCD	b3773//b0377//b0060//b0584//b0170//b2448//b1415//b0202//
sdhDAB	b2364//b2287//b1433//
sdhE-cptA	b1797//b0533//
sdiA	b1261//
sdsN	b3712//
sdsR	b2732//
secB-gpsA	b4005//b3544//
secE-nusG	b0013//b2951//
secG	b1443//
secG-leuU	b3203//b3826//
secMA-mutT	b0252//b3398//b1348//
selAB	b4169//b0975//
selC	b3103//
selD-topB	b0924//b1474//
selU	b2280//
seqA-pgm	b2721//b2649//
serA	b1440//
serB	b1777//
serB-radA	b1389//b1953//
serC	b2315//
serC-aroA	b0461//b0326//
serS	b1861//
serT	b3272//
serU	b2012//
serV-argVYZQ	b3712//b4463//sroE//b3589//b1342//
serW	insAB-3//
serX	b1642//
setB	b4167//
setC	b0978//
sfmA	b0081//
sfmCD	b2027//b4169//
sfmHF	b3875//b1320//
sfsA-dksA	b0622//b3533//
sfsB	b4048//
sgcXBCQAER	b0403//b1301//b1794//b0010//b1599//b0654//b2235//
sgrR-sroA-tbpA-thiPQ	b0330//b0518//b1729//b0475//b2012//
sgrST-setA	b4434//b1207//b2947//
shiA	b0970//
shoB	b3457//
sibA	b3439//
sibB	b3533//
sibC	b2562//
sibD	b4400//
sibE	b1711//
sieB	b2504//
sixA	b3891//
skp-lpxD-fabZ-lpxA	b0453//b4254//b0932//b0222//
slp-dctR	b2705//yeeL_1//
slt	b1256//
slyA	sroD//
slyB	b2137//
slyD	b2511//
slyX	b1782//
smf	b1421//
smg	b3064//
smpB	b4670//
smrA	b2090//
smrB	b1205//
sodA	b1247//
sodB	b2087//
sodC	b4148//
sohB	b3845//
sokB	b1953//
sokC	b2548//
solA-yceO	b0708//b2177//
soxR	b0761//
soxS	b1530//
speAB	b1959//b2746//
speB	b3171//
speC	IS128//
speF-potE	b0540//b2746//
spf	b1272//
sppA	b3174//
spy	b2181//
sra	ysdC//
sraA	b1529//
sraB	b2662//
sraG	molR_2//
srlAEBD-gutM-srlR-gutQ	insAB-1//b3573//b3829//b2384//b0952//b3639//b0206//
srlR	b0257//
srmB	b0432//
sroA	b3492//
sroG-ribB	b0286//b0167//
sroH	b4261//
ssb	b3807//
sseA	b1923//
sseB	b3268//
ssnA	b1780//
sspAB	b3127//b0634//
ssrA	b2732//
ssrS	b0544//
ssrS-fau	b2856//b2636//
sstT	b1460//
ssuEADCB	b1137//b3496//b1473//b2780//b4142//
stfE-tfaE	b1330//b2828//
sthA	yjiV//
stpA	b1304//
sucAB	b0794//b3836//
sucABCD	b4437//b3657//b0804//b1611//
sufABCDSE	b3761//b3544//b0615//b1079//b1398//b0890//
sugE	b3138//
suhB	b1337//
sulA	b0751//
surA-pdxA-rsmA-apaGH	b3781//b0478//b1759//b2204//b2174//
sutR	b0314//
sxy	b0688//
syd	b3186//
symE	b0952//
symR	b0016//
tabA	b3725//
tag-yiaC	b2862//b0629//
talA	b1719//
talA-tktB	b1570//b2597//
talB	b1495//
tam	b2181//
tamAB-ytfP	b4210//b0746//b2764//
tar-tap-cheRBYZ	b4567//b0670//b0523//b0301//b0917//b1289//
tas	b2248//
tatABC	b2872//cybC//b0394//
tatABCD	b1895//b3645//b2411//b4000//
tatD	ysdC//
tatE	b1086//
tauABCD	b3731//b2393//b2136//b0177//
tcdA	b0059//
tcyJ	b4381//
tcyP	b1158//
tdcABCDEFG	b4541//b4127//b3305//b2275//b2284//b4203//b0928//
tdcBCDEFG	b1274//b2307//b2183//b2258//b2719//b4359//
tdcR	b3284//
tdk	b3811//
tehAB	b2820//b1973//
tesA-ybbO	b1263//b3182//
tesB	b3034//
tfaD	b0714//
tfaS	b1368//
tfaX	insEF-4//
tff-rpsB-tsf	b2277//b1316//b2447//
tgt-yajC	b0778//b3261//
thiCEFSGH	b3827//b0439//b0742//b2794//b3451//b4421//
thiI	msrP//
thiMD	b4075//b3194//
thpR	b4273//
thrL	b0191//
thrLABC	b2033//b2559//b2561//b1713//
thrS-infC	b1140//b2197//
thrS-infC-rpmI-rplT-pheMST-ihfA	b0431//b0932//b1355//b2347//b3469//b4289//b4127//b3664//
thrU-tyrU-glyT-thrT-tufB	C0465//b4293//b0296//b0161//b3822//
thrW	b3813//
thyA	b4318//
tig	b1609//
tilS	b2023//
tisB	b3995//
tktA	b3566//
tktB	b2171//
tldD	b0244//
tnaC	b4167//
tnaCAB	b2875//b2906//b3957//
tolB-pal-cpoB	b2642//b3222//b1254//
tolC-ygiABC	b2942//b0852//b3629//b1098//
tomB-hha	b4208//b4161//
tonB	b2403//
topA	b4011//
topAI-yjhQ	b0053//b1418//
torCAD	b1718//b3250//b2152//
torI	b2140//
torR	b0605//
torS	b1430//
torT	b0756//
torYZ	b1288//b0919//
tp2	b1049//
tpiA	b2352//
tpke11	b1015//
tpke70	b1078//
tpx	b4185//
tqsA	b2143//
treA	b2608//
treBC	b4318//b3445//
treF	b0502//
treR	b2467//
trg	b4624//
trkA	b3703//
trkG	b4480//
trmA	b2326//
trmI-yggL	b2296//b4371//
trmJ	b2245//
trmL	b2610//
