# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yrfG//
yfdX_frc_oxc_yfdVE	dhaK//hcp//deoB//
yfeCD	
yfeKS	
yfeYX	rutA//
yffB_dapE_ypfN	prmB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	pcm//
yfiP_patZ	astE//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	accB//
ygaXY	
ygaZH	kdgK//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	dmsA//fadB//nagA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	accA//
yggX_mltC	pdeH//
yggX_mltC_nupG	nadR//paaB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	tesA//ybaS//
ygiM_cca	hcaD//
ygjJK	entB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	nrfC//citG//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	frdD//epmA//folP//lgoD//epmC//glf//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	galU//
yicJI	prpD//
yicR_rpmBG	
yicR_rpmBG_mutM	talA//
yidHGF	
yidKJ	
yieEF	acpT//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	plsB//metB//
yifNO	
yigGF	
yihLM	
yihPO	kefF//
yihUTS	argH//rutE//allC//
yihVW	yneH//
yihXY_dtd_yiiD	serC//murC//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	dusB//fadI//argK//yibQ//yihT//pheT//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	lpoA//araB//
yjiHG_iadA	nrfA//
yjiML	
yjiPQ	
yjiXA	arnT//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	lacA//pabA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	udk//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	sthA//
ynfB_speG	ybhA//
ynfEFGH_dmsD	cmk//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	folP//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	fabB//
yqaE_kbp	
yqcC_truC_yqcA	umuC//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	murE//dacA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	fucU//
yrbG_kdsDC_lptCAB	yieF//xylB//epmC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	wecC//cyoE//
yrfG_hslR	ynfE//
ytfQRT_yjfF	waaC//
ytjB_lplA	sufS//
znuCB	iscS//
zraSR	
