# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	mog//
yfdX_frc_oxc_yfdVE	insI-1//cysG//rlmC//
yfeCD	
yfeKS	
yfeYX	treC//
yffB_dapE_ypfN	fadB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	hisI//
yfiP_patZ	yfcG//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	dusC//
ygaXY	
ygaZH	phnP//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	garL//araB//narH//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	dam//
yggX_mltC	rph//
yggX_mltC_nupG	ldtA//dmlA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	preT//dusB//
ygiM_cca	katG//
ygjJK	fumC//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	mngB//rutA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	argS//yihU//nadB//rlmG//nadR//fadH//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	yhhW//
yicJI	frmB//
yicR_rpmBG	
yicR_rpmBG_mutM	cfa//
yidHGF	
yidKJ	
yieEF	fadJ//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	gcvP//nrfB//
yifNO	
yigGF	
yihLM	
yihPO	aceB//
yihUTS	nudF//iaaA//guaA//
yihVW	yigB//
yihXY_dtd_yiiD	ppiC//trpE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	entF//entE//pheT//add//ribD//speB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	pgaD//rfaD//
yjiHG_iadA	nudK//
yjiML	
yjiPQ	
yjiXA	bfr//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ybjG//hemN//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	cobT//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	adeD//
ynfB_speG	ileS//
ynfEFGH_dmsD	gsk//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	puuE//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ybaS//
yqaE_kbp	
yqcC_truC_yqcA	mhpD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	gloA//torY//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	pphA//
yrbG_kdsDC_lptCAB	hisH//talA//speD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	mrcA//yahK//
yrfG_hslR	epmB//
ytfQRT_yjfF	tcdA//
ytjB_lplA	galT//
znuCB	dkgB//
zraSR	
