# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	trxB//
yfdX_frc_oxc_yfdVE	cobT//plsC//rlmM//
yfeCD	
yfeKS	
yfeYX	uvrA//
yffB_dapE_ypfN	ahr//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	add//
yfiP_patZ	cdh//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	pldB//
ygaXY	
ygaZH	allB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	glpQ//tesB//menB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	glgP//
yggX_mltC	ubiA//
yggX_mltC_nupG	prs//folK//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	cueO//acpT//
ygiM_cca	rsmI//
ygjJK	gstB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rlmD//glnE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ispG//trpD//fadA//phoA//rutB//gpmA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ydiO//
yicJI	proC//
yicR_rpmBG	
yicR_rpmBG_mutM	ispG//
yidHGF	
yidKJ	
yieEF	truC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	dgcC//galM//
yifNO	
yigGF	
yihLM	
yihPO	gdhA//
yihUTS	pheS//yeiR//sdaB//
yihVW	fklB//
yihXY_dtd_yiiD	rffC//yahK//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	tsaE//pinE//mepS//gudD//yccX//betA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	dgkA//xylA//
yjiHG_iadA	sgbH//
yjiML	
yjiPQ	
yjiXA	gudD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rffH//cdh//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ycaO//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	murA//
ynfB_speG	xylB//
ynfEFGH_dmsD	ubiH//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	nrfA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	cysN//
yqaE_kbp	
yqcC_truC_yqcA	tehB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	mnmA//hycC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	mmuM//
yrbG_kdsDC_lptCAB	otsA//hypF//pyrI//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	entA//ybcF//
yrfG_hslR	recO//
ytfQRT_yjfF	ubiF//
ytjB_lplA	cynS//
znuCB	ascB//
zraSR	
