# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ravA//
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	nanA//
yfdX_frc_oxc_yfdVE	dam//argB//rluB//
yfeCD	
yfeKS	
yfeYX	metF//
yffB_dapE_ypfN	murC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	pphB//
yfiP_patZ	add//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	speB//
ygaXY	
ygaZH	slt//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	hcaC//ppiB//murG//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	cobS//
yggX_mltC	fabB//
yggX_mltC_nupG	ampC//asnB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	rsmE//mobA//
ygiM_cca	speE//
ygjJK	cynS//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	paoC//cysJ//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	rluD//trpE//xapA//lsrG//tag//nrfC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	frmA//
yicJI	yqjH//
yicR_rpmBG	
yicR_rpmBG_mutM	wzb//
yidHGF	
yidKJ	
yieEF	eptC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	gpsA//argC//
yifNO	
yigGF	
yihLM	
yihPO	napB//
yihUTS	katG//miaB//kbaY//
yihVW	pyrD//
yihXY_dtd_yiiD	glyS//mnmE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	fklB//speA//gabD//serA//aphA//cmoA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	pbpC//thiL//
yjiHG_iadA	ldcC//
yjiML	
yjiPQ	
yjiXA	alsK//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ldcA//yhdJ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	yfeW//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	mug//
ynfB_speG	tadA//
ynfEFGH_dmsD	rhaB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	alaA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	waaO//
yqaE_kbp	
yqcC_truC_yqcA	rpiB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nudC//betA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	entA//
yrbG_kdsDC_lptCAB	rfe//rutA//proC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ugd//paaY//
yrfG_hslR	mtlD//
ytfQRT_yjfF	cobU//
ytjB_lplA	pyrF//
znuCB	mrdA//
zraSR	
