# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yjjG//
yfdX_frc_oxc_yfdVE	nrdB//frdB//leuS//
yfeCD	
yfeKS	
yfeYX	yeiR//
yffB_dapE_ypfN	frlC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	napB//
yfiP_patZ	paaJ//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ghrA//
ygaXY	
ygaZH	hyaA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	mnaT//purL//kefF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	glcF//
yggX_mltC	pdxJ//
yggX_mltC_nupG	menF//purK//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	plsC//cysQ//
ygiM_cca	ppiC//
ygjJK	hyi//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	wecC//glcE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	pfkA//rfbA//ybjG//rph//wbbI//ruvA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	argD//
yicJI	btuE//
yicR_rpmBG	
yicR_rpmBG_mutM	nrdE//
yidHGF	
yidKJ	
yieEF	idi//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	apt//waaP//
yifNO	
yigGF	
yihLM	
yihPO	ybdL//
yihUTS	dusA//phnM//nth//
yihVW	nagA//
yihXY_dtd_yiiD	dusB//menF//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rdoA//prmB//hemH//hemN//napG//hisG//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ubiA//gnd//
yjiHG_iadA	yeaG//
yjiML	
yjiPQ	
yjiXA	argD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rpiA//frc//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	napH//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	rhaD//
ynfB_speG	sdhA//
ynfEFGH_dmsD	rlmH//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	mltD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	murC//
yqaE_kbp	
yqcC_truC_yqcA	ppa//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	murC//sucB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	gloA//
yrbG_kdsDC_lptCAB	kduD//mcrB//phoA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	yeiG//murB//
yrfG_hslR	rlmF//
ytfQRT_yjfF	rfe//
ytjB_lplA	yeiG//
znuCB	patA//
zraSR	
