# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ygaP//
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	arsC//
yfdX_frc_oxc_yfdVE	bioD//waaC//puuD//
yfeCD	
yfeKS	
yfeYX	hemN//
yffB_dapE_ypfN	ydfG//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	argG//
yfiP_patZ	allB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	pncB//
ygaXY	
ygaZH	fbp//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	scpC//speB//gloA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	truC//
yggX_mltC	aroC//
yggX_mltC_nupG	rlmG//hisA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	acs//ascB//
ygiM_cca	hcaF//
ygjJK	argD//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	gdhA//yagE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	murG//ileS//trpE//xthA//lysS//kdsD//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	glnA//
yicJI	ldtE//
yicR_rpmBG	
yicR_rpmBG_mutM	nanA//
yidHGF	
yidKJ	
yieEF	purL//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	entE//narY//
yifNO	
yigGF	
yihLM	
yihPO	menC//
yihUTS	moaA//acnB//gshB//
yihVW	paaG//
yihXY_dtd_yiiD	rsmA//rsmE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	argB//dhaK//pabA//hemH//valS//lipB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	gshB//moaA//
yjiHG_iadA	pldA//
yjiML	
yjiPQ	
yjiXA	lipB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	waaH//pphB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	lgoD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	nagZ//
ynfB_speG	glpA//
ynfEFGH_dmsD	fre//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	menE//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	murG//
yqaE_kbp	
yqcC_truC_yqcA	wcaJ//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	thrS//nfsA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ldcC//
yrbG_kdsDC_lptCAB	lipB//umuC//adhE//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	argS//dapE//
yrfG_hslR	yjjG//
ytfQRT_yjfF	thiM//
ytjB_lplA	rne//
znuCB	pbpC//
zraSR	
