# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	puuE//
yfdRST	dcm//
yfdX_frc_oxc_yfdVE	fkpB//selD//dgt//
yfeCD	
yfeKS	
yfeYX	patA//
yffB_dapE_ypfN	hyaA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	hemL//
yfiP_patZ	eutD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	gapA//
ygaXY	
ygaZH	ydjG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	acnB//fadM//yliI//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	frdD//
yggX_mltC	fucU//
yggX_mltC_nupG	glcB//puuC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	glmS//dgcM//
ygiM_cca	pgpB//
ygjJK	ldcC//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	sucC//acpS//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	uxuB//dnaE//atoD//ddlA//fabB//mocA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	trmD//
yicJI	ilvB//
yicR_rpmBG	
yicR_rpmBG_mutM	tesB//
yidHGF	
yidKJ	
yieEF	trmA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	yihX//yhdH//
yifNO	
yigGF	
yihLM	
yihPO	lysA//
yihUTS	bioC//fadJ//frdC//
yihVW	metK//
yihXY_dtd_yiiD	lpxH//coaD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	abgB//ispH//gph//sodC//yeaE//rluA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	lpxK//ogt//
yjiHG_iadA	yihX//
yjiML	
yjiPQ	
yjiXA	preT//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	relA//kbaZ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	fabA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	pdxJ//
ynfB_speG	ldtA//
ynfEFGH_dmsD	umpH//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	dxr//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	pyrC//
yqaE_kbp	
yqcC_truC_yqcA	gcd//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	acs//idnK//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ung//
yrbG_kdsDC_lptCAB	phnM//scpC//galK//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	selA//metG//
yrfG_hslR	atoA//
ytfQRT_yjfF	argB//
ytjB_lplA	mazG//
znuCB	torA//
zraSR	
