# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	birA//
yfdX_frc_oxc_yfdVE	ybaS//hyaC//lipB//
yfeCD	
yfeKS	
yfeYX	dosP//
yffB_dapE_ypfN	caiA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	citE//
yfiP_patZ	gabT//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	rffC//
ygaXY	
ygaZH	luxS//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	paoC//murE//polA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	aslA//
yggX_mltC	tmcA//
yggX_mltC_nupG	dhaM//dgoK//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	alaS//ushA//
ygiM_cca	paaG//
ygjJK	mrdA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	ilvD//murC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	menH//rsmE//waaH//recF//tdcD//rnb//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	waaC//
yicJI	purC//
yicR_rpmBG	
yicR_rpmBG_mutM	serA//
yidHGF	
yidKJ	
yieEF	mobA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	dhaM//pgaB//
yifNO	
yigGF	
yihLM	
yihPO	metB//
yihUTS	phr//malQ//wbbI//
yihVW	fadD//
yihXY_dtd_yiiD	dgcM//bioF//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	hisA//astB//gcd//cheB//caiD//cfa//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	gabD//kdsD//
yjiHG_iadA	dhaL//
yjiML	
yjiPQ	
yjiXA	cof//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	aceA//garR//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	manA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	mltD//
ynfB_speG	hyi//
ynfEFGH_dmsD	dgoA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	rph//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	talB//
yqaE_kbp	
yqcC_truC_yqcA	torA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nudI//bioB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	cpsG//
yrbG_kdsDC_lptCAB	mnmG//dusA//rbsK//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	arnT//folD//
yrfG_hslR	murC//
ytfQRT_yjfF	nrdB//
ytjB_lplA	pta//
znuCB	abgA//
zraSR	
