# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ppk//
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	wecC//
yfiP_patZ	pta//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	btuE//
ygaXY	
ygaZH	argF//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	psuK//leuC//yagE//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ilvA//
yggX_mltC	torA//
yggX_mltC_nupG	bioH//lipB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	umuC//rihA//
ygiM_cca	coaA//
ygjJK	lpcA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	uxaA//menE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	phr//metK//mltA//tilS//alkB//lpxK//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	yliI//
yicJI	tyrA//
yicR_rpmBG	
yicR_rpmBG_mutM	clsC//
yidHGF	
yidKJ	
yieEF	rutA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ahr//hycG//
yifNO	
yigGF	
yihLM	
yihPO	yqjG//
yihUTS	treC//aspS//aroB//
yihVW	ycjU//
yihXY_dtd_yiiD	tdcE//rsuA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	tatD//astC//araD//aldA//tag//aroC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	coaD//glcE//
yjiHG_iadA	pdxH//
yjiML	
yjiPQ	
yjiXA	murF//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ppc//citX//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	kdsB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	fabA//
ynfB_speG	dsdA//
ynfEFGH_dmsD	adhE//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	pfkA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	katG//
yqaE_kbp	
yqcC_truC_yqcA	kdsD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nanA//phnH//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	amyA//
yrbG_kdsDC_lptCAB	cdh//paaH//cyaA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	gabT//yfcG//
yrfG_hslR	citF//
ytfQRT_yjfF	dcd//
ytjB_lplA	sgbU//
znuCB	rlmA//
zraSR	
