# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	kbl//
yfdRST	gatD//
yfdX_frc_oxc_yfdVE	pdxA//ulaG//sucA//
yfeCD	
yfeKS	
yfeYX	speD//
yffB_dapE_ypfN	sdhA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	fes//
yfiP_patZ	rihA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	cysI//
ygaXY	
ygaZH	rihC//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	metF//umuD//mdh//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	argE//
yggX_mltC	rutE//
yggX_mltC_nupG	yfeX//ung//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ldcC//deoB//
ygiM_cca	hisF//
ygjJK	ribA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	coaD//rfaE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	otsA//glpQ//arnB//fumC//speB//puuE//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	pykA//
yicJI	gss//
yicR_rpmBG	
yicR_rpmBG_mutM	orn//
yidHGF	
yidKJ	
yieEF	rfbA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	trmH//hpt//
yifNO	
yigGF	
yihLM	
yihPO	pfkB//
yihUTS	surA//spoT//acpH//
yihVW	hisH//
yihXY_dtd_yiiD	glgP//pdeR//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	fucU//cpsB//gcd//pyrG//rdgB//cmoA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	rsmA//astA//
yjiHG_iadA	rhaM//
yjiML	
yjiPQ	
yjiXA	bioC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dld//lsrK//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	yjhG//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ilvD//
ynfB_speG	dgcM//
ynfEFGH_dmsD	proC//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	murD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	psd//
yqaE_kbp	
yqcC_truC_yqcA	yiaK//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nrfB//ispA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	yigB//
yrbG_kdsDC_lptCAB	gatZ//queG//yqhD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	orn//ydiO//
yrfG_hslR	recR//
ytfQRT_yjfF	gcvH//
ytjB_lplA	folM//
znuCB	umuC//
zraSR	
