#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	pinH//
livJ	b1774//
livKHMGF	b4558//b1585//b2210//b3338//b3062//
lldPRD	b0081//b0997//b3249//
loiP	b0260//
lolA-rarA	b1189//b3587//
lolB-ispE-prs	b1371//b3456//b2954//
lolCDE	b0227//b0200//b4205//
lomR_2-stfR-tfaR	b1441//b4001//b3348//
lon	b2576//
lpcA	b0606//
lpd	b0305//
lpoA	b0143//
lpp	b0995//
lptAB	b1120//b0722//
lptB-rpoN-hpf-ptsN-rapZ	b1927//b3769//b0858//b3494//b3060//
lptD	b3472//
lptD-surA-pdxA	b2420//b0964//b3528//
lptFG	b2590//b2033//
lpxC	b2412//
lpxD	b1235//
lpxL	b3826//
lpxM	insEF-3//
lpxP	b0937//
lrhA	b4090//
lrp	b1116//
lspA-fkpB-ispH	b1714//b2824//b2796//
lsrACDBFG-tam	b3618//b0145//b1099//b2872//b2533//b1076//b4084//
lsrK	b3230//
lsrRK	b2464//b3888//
ltaE-ybjT	b3759//b3129//
luxS	b3553//
lysA	b1306//
lysC	b1530//
lysO	b4030//
lysP	b0575//
lysQ	b4355//
lysR	b2692//
lysT-valT-lysW	b0421//b3736//b4055//
lysU	b2702//
lysZ	b2091//
maa	b0957//
macAB	b3409//b3382//
macB	b1694//
maeA	b3117//
maeB	b3665//
mak	b0233//
malEFG	b4234//b2305//b3756//
malI	b0832//
malK-lamB-malM	b3458//b2822//b0038//
malPQ	b4090//b2022//
malQ	b0304//
malS	b3017//
malT	b1609//
malXY	b0824//b0064//
malZ	b1701//
manA	b4429//
manXYZ	b0115//insCD-3//b1982//
maoP	b3428//
map-glnD-dapD	b0465//b1799//b1413//
marC	b1077//
marRAB	b2661//b3226//b3218//
matP	b2586//
mazEFG	b2535//b4032//insAB-5//
mcaS	b2976//
mcbA	b0722//
mcbR	b0935//
mcrA	b2470//
mcrBC	b3859//b4254//
mdaB	b2956//
mdfA	b3579//
mdh	b2580//
mdlAB	b3209//b4402//
mdtABCD-baeSR	b0724//b4095//b1660//b4554//b3559//b1251//
mdtEF	b3956//b2195//
mdtG	b4206//
mdtH	b0111//
mdtJI	b3953//b0528//
mdtK	b2815//
mdtL	b3535//
mdtM-yjiN	b3323//b3782//
mdtNOP	b0146//b1008//b2173//
mdtQ	b3977//
melAB	b0788//b3350//
melR	b2757//
menA-rraA	b2791//b0798//
menBCE	b2263//b0005//b2551//
menDHBCE	b0972//b1540//b1671//b0477//b3715//
menFDHBCE	b4597//b2253//b0918//b0391//b0988//b3756//
mepH	b4118//
mepM	b2774//
mepS	b3196//
metA	b3181//
metBL	b0038//b3093//
metC	b3361//
metE	b3314//
metF	b3903//
metG	b2588//
metH	b0422//
metJ	b0062//
metK	b4206//
metNIQ	b3026//b3602//b0788//
metR	b3756//
metT-leuW-glnUW-metU-glnVX	b0533//b3722//b2628//b2638//b4133//b0303//b2264//
metY	b3002//
metY-rimP-nusA-infB	b1251//b4318//b2742//b0354//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	b2218//b2019//b1497//b3068//b2399//b0752//b4207//b1520//
metZWV	b0605//b4136//b3082//
mfd	b1955//
mglAC	b1760//b3518//
mglBAC	b3757//b2522//b3830//
mgrB	b0967//
mgrR	b0355//
mgsA	b1789//
mgtLA	b3987//b1224//
mhpABCDFE	b1660//b1299//b2929//b1330//b0745//ficA//
mhpR-lacI	b2075//b0026//
mhpT	b1253//
miaA-hfq-hflXKC	b3124//b0110//b2103//b4066//b0377//
miaB	b0203//
micA	b4160//
micC	b4208//
micF	b0116//
micL	b4253//
minCDE	b1189//b0916//b1305//
mioC	b4027//
mipA	b2205//
mlaA	b2958//
mlaFEDCB	b1273//b1559//b3166//b1559//b4232//
mlc	b0759//
mlc-ynfK	b2093//b3644//
mliC	b1301//
mlrA	b3480//
mltA	b0218//
mltB	b0442//
mltD	b2408//
mltF	b0845//
mmuPM	b1573//b2802//
mnaT-ydcZ	b3263//b4034//
mngAB	b3783//b2707//
mngR	b2517//
mnmA	b2044//
mnmC	ychE_1//
mnmE	b1331//
mnmG-rsmG	b3272//b2194//
mntH	b1042//
mntP	b2201//
mntR-ybiR	b1752//b2818//
moaABCDE	b0326//b1083//b1295//b1774//b2006//
moaBCDE	b0803//b2037//b2065//b1799//
mobAB	b2329//b3818//
mocA	b3857//
modABC	b3446//b1596//b3404//
modEF	b2348//b1988//
moeAB	b1001//b0811//
mog	b0490//
mokB	b0234//
mokC-hokC	b2668//b2899//
molR_1	b2327//
molR_2	b4525//
molR_3-yehI	b1697//b2465//
motAB-cheAW	b1501//b1991//b0722//b3046//
mpaA	b3317//
mpl	b4151//
mppA	b3949//
mprA-emrAB	b0909//b2468//b1258//
mqo	b2758//
mqsRA	b2392//b1784//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0075//b2329//b2132//b3538//xisR//b2425//b1509//b0959//b0996//b0777//b0744//b4292//b1952//b3012//b2949//b4209//
mrcA	b4304//
mrcB	b2545//
mreB	b1376//
mreBCD	b0986//b1276//b0496//
mreCD	b2483//b0304//
mrp	b3753//
mrr	b2091//
mscK	b3590//
mscL	b3251//
mscS	b0699//
msrA	b1260//
msrB	b3867//
msrC	b2464//
msrPQ	b0679//b3783//
msyB	b1942//
mtfA	b3351//
mtlADR	b0102//b4094//b0264//
mtn-btuF-yadS	b0843//b1515//b3497//
mtr	b2287//
mug	b0558//
murA	b2563//
murB-birA	b0687//b3212//
murJ	b2903//
murQP	b3298//b4296//
murQP-yfeW	b4256//b2691//b3888//
murR	b0752//
mutH	b4517//
mutL-miaA-hfq-hflXKC	b1797//b1492//b3795//b2488//b3075//b0317//
mutM	b2692//
mutS	b0784//
mutY-yggX	msrQ//b0345//
mutY-yggX-mltC	b1689//b2855//b1600//
mutY-yggX-mltC-nupG	b4127//b1908//b3576//b0705//
nac	b1199//
nadA-pnuC	b2698//b3337//
nadB	b1921//
nadC	b4099//
nadE	b2245//
nadK	b0561//
nagA	b0611//
nagBAC-umpH	b2795//b1787//b3907//b1855//
nagC	b0617//
nagE	b2724//
nagK-cobB	b4355//b0711//
nanA	b0472//
nanATEK-yhcH	b3088//b3181//b1516//b3881//b0316//
nanC	b4469//
nanCM	b1332//b2662//
nanCMS	b1082//b2430//b1161//
nanR	b0119//
nanS	b0485//
napFDAGHBC	b1390//b3267//b2460//b3516//b3710//b4185//b3278//
napFDAGHBC-ccmABCDEFGH	b2761//b3521//b4271//b1958//b1072//b3882//b3967//b3608//b2747//b0518//b2473//b3012//b4357//b1843//b1930//
narGHJI	b4323//b3384//b2695//b1597//
narK	b4518//
narP	b4221//
narQ	b1805//
narU	b4212//
narWV	b0369//b1718//
narXL	b3744//b0873//
narZYWV	b4319//b0318//b2269//b4145//
ndh	b2308//
ndk	b3298//
nemA	b1095//
nemR	b2777//
nemRA	b2583//b2875//
nemRA-gloA	b2575//b1131//b2080//
nepI	b1122//
nfo	b3663//
nfrBA	b3983//b2003//
nfsB	b1990//
nfuA	b4533//
nhaAR	b2721//b2893//
nhaB	b4153//
nhaR	tfaS//
nhoA	b0027//
nikABCDER	b0919//b3654//b4288//b1378//b3173//b4475//
nikR	b1537//
nimR	b1231//
nimT	b4294//
nirBDC-cysG	b2717//b3908//b1415//b1585//
nlpA	b3803//
nlpC	b1773//
nlpD-rpoS	b4323//b3415//
nlpI	b0037//
nmpC	b1488//
nohA-ydfN-tfaQ	b4197//b0567//b2763//
nohB	b1871//
norR	b2426//
norVW	b1495//b0754//
nrdAB-yfaE	b2812//b3758//b4501//
nrdDG	b2600//b3343//
nrdG	b1679//
nrdHIEF	b0476//b0136//b1489//b3980//
nrdR-ribDE-nusB-thiL-pgpA	b2760//b1404//b0231//b3314//b4157//b1385//
nrfABCDEFG	b1203//b4608//b1672//b1476//b0316//b1158//b3082//
nsrR-rnr-rlmB-yjfI	b3326//b1231//b1526//b3320//
nudB-yebC-ruvC	b0496//b2014//b2314//
nudC-hemE-nfi	b1212//b0998//b3877//
nudE	b3136//
nudF-yqiB-cpdA-yqiA-parE	b2195//b3180//b3335//b1641//b0142//
nudG	b4509//
nudI	b2245//
nudK	b3300//
nuoABCEFGHIJKLMN	b0352//b2786//b0571//b2255//b2903//b3782//b1832//b3955//b2015//b3106//b3282//b3154//b2992//
nuoMN	b3130//b1334//
nupC	b4354//
nupG	b1288//
nupX	b3396//
ogrK	b0174//
ogt	b4179//
ohsC	b0465//
ompA	b3982//
ompC	b1969//
ompF	b2305//
ompG	b3270//
ompL	b4435//
ompN	b0593//
ompR-envZ	b4016//b3731//
ompT	b4047//
ompW	b0819//
ompX	b2398//
omrA	b0494//
omrB	b3236//
opgB	b2491//
opgC	b1753//
opgD	b2976//
opgE	insAB-2//
opgGH	b0932//b2483//
oppABCDF	b0603//b4362//b3213//b2908//b1457//
orn	b3186//
ortT	b1900//
osmB	b1040//
osmC	b1486//
osmE	b2771//
osmF-yehYXW	b4080//b2282//b4076//yedS_2//
osmY	b2735//
otsA	b0329//
otsBA	b2195//b3851//
oxc	b0484//
oxyR	b0803//
oxyS	ymdE//
paaABCDEFGHIJK	b3476//b2949//b3014//b4518//b2516//b3092//b0460//b4286//b0767//b2578//b1621//
paaXY	b3986//b3928//
paaZ	b2384//
pabA	b2643//
pabB-nudL	b0032//b1756//
pabC-mltG-tmk-holB-ycfH	b3057//b2091//b3517//b0088//b1687//
pagP	b2361//
panBC	b3804//b0311//
panD	b0179//
panE-yajL	b3297//b2299//
panZ	b3170//
paoABCD	b0039//b4017//b2729//b2296//
parC	b1957//
patA	b0873//
patD	b0187//
patZ	b3313//
pbl	b4054//
pbpG	b0504//
pck	ecpB//
pcnB-folK	b3558//b2043//
pdeA	b1047//
pdeB	b2196//
pdeC	b3080//
pdeD	b2054//
pdeF	b4428//
pdeG	b3202//
pdeH	b3460//
pdeI-dgcI	b2187//mltG//
pdeK	b4041//
pdeL	b4453//
pdeN	b0658//
pdeR	b1262//
pdhR-aceEF-lpd	b4100//b1189//b2099//b3959//
pdxA-rsmA	b2637//b3448//
pdxA-rsmA-apaGH	b1539//b2047//b1852//b2001//
pdxB-usg-truA-dedA	b0387//b0807//b3560//b2667//
pdxH-tyrS-pdxY	b2623//b0239//b2968//
pdxJ-acpS	b3378//b1431//
pdxK	b1400//
pdxY	b0008//
pepA	b3896//
pepB	b2663//
pepD	b3884//
pepE	b3739//
pepN	b1575//
pepQ-yigZ-trkH-hemG	b2300//b0346//b0599//b3998//
pepT	b1251//
perR	b0188//
pfkA	b3083//
pfkB	b0093//
pflA	b2034//
pflB	b3212//
pflDC	b0069//b1636//
pgaABCD	b0304//b4339//b4305//b4080//
pgi	insCD-3//
pgk	b0940//
pgk-fbaA	b0560//ybfH//
pgl	b0832//
pgpB	b2449//
pgpC-tadA	b3189//b0541//
pgrR	b2281//
pgsA	b2486//
pheLA	b3586//b3357//
pheM	b0125//
pheMST-ihfA	b0266//b4009//b1550//yedS_2//
pheP	b3047//
pheU	b1275//
pheV	b3186//
phnCDE_1E_2FGHIJKLMNOP	b3734//b0840//b3212//b0158//b0156//b0675//b3938//b3924//b3279//b0985//b2796//b2465//C0299//b0714//b3874//
phnLMNOP	b4382//b2843//b2849//b2755//b4478//
phoA-psiF	b0135//b4449//
phoBR	b2162//b0099//
phoE	b2680//
phoH	b1233//
phoPQ	b3503//b3234//
phoQ	b4062//
phoU	b1697//
phr	b1755//
pinE	b3874//
pinH	b4023//
pinQ	b1948//
pinR	b1948//
pitA	b0472//
pitB	b0359//
plaP	b1852//
pldA	b0278//
pldB-yigL	b2853//b2876//
pliG	b3861//
plsB	b1538//
plsC	maoP//
plsX-fabHDG	b2811//b4075//b4376//b3370//
pmbA	yifN//
pmrD	b2225//
pncB	b0037//
pncC	b1989//
pnp	b2347//
pntAB	b1168//b4322//
polA	b1172//
polB	insX//
potABCD	b2542//b4043//b4162//b2158//
potFGHI	b2623//ychE_2//b1690//b0317//
poxB	b1822//
poxB-ltaE-ybjT	b0958//b3077//b3538//
ppa	b1255//
ppc	b0917//
ppdAB-ygdB-ppdC-recC	ypaA//b1552//b2696//b4532//b4430//
ppdD-hofBC	b2498//b2165//b2098//
pphA	b3100//
pphB	b3661//
ppiA	b3526//
ppiB-lpxH	b0911//b0745//
ppiC	b3871//
ppiD	b4298//
ppk-ppx	b3649//b1468//
pppA	b0167//
ppsA	b1551//
ppsR	b0101//
pptA	b2244//
pqiAB	b4242//b4541//
pqqL	b0622//
preTA	b3416//efeU_2//
prfB-lysS	b3056//b1372//
prfC	b3147//
priA	b0153//
priC-ybaM	sroE//b2404//
prkB	b4142//
prlC-rsmJ	b2064//b3624//
prlF-yhaV	b3278//b2517//
prmB-aroC-mepA-yfcA-epmC-yfcL	b0378//b3021//b3636//b2344//b2470//b2588//
proBA	b2005//b3686//
proC	b3538//
proK	b3700//
proL	b4394//
proP	b1380//
proQ-prc	b1948//ycgH_1//
proS	ychE_1//
proVWX	b3651//b2213//b1564//
prpBCDE	b2329//sroC//b0240//b2799//
prpR	b1811//
prs	b2343//
psd-mscM	b4487//b3997//
psiE	b2543//
pspABCDE	b4414//b2991//b1338//b2518//b1884//
pspBCDE	b1136//b1674//b1431//b2849//
pspE	b2437//
pspF	b4608//
pspG	b0559//
pssA	b2098//
pstB-phoU	b1515//b0660//
pstCAB-phoU	b2542//b2452//b4134//b4184//
pstS	b3219//
pstSCA	b2498//b0898//b1502//
pstSCAB-phoU	b1774//b2786//b3752//b2187//b4337//
psuKG	b3539//b1259//
psuT	b1085//
pta	b2921//
pth-ychF	b4554//b0764//
ptrA	b0977//
ptrA-recBD	b0268//b4332//b1952//
ptrB	b2598//
ptsA-fsaB-gldA	b3804//b4141//b1342//
ptsG	b3610//
ptsHI-crr	b3660//b2410//b3582//
purA	b0095//
purC	yjgX_1//
purEK	b1492//b4296//
purHD	b3544//b3590//
purL	b3739//
purMN	b3602//tpke70//
purR	b2171//
purT	b1465//
purU	b0005//
putA	b2713//
putP	b2271//
puuAP	b2879//b0805//
puuCBE	b2405//b1915//b0288//
puuDRCBE	b2271//b3054//b1907//b2307//b3963//
puuP	b3728//
pykA	b0855//
pykF	b2751//
pyrC	b3408//
pyrD	b1108//
pyrF-yciH	b3045//b3990//
pyrG-eno	b0549//b4061//
pyrH	b3876//
pyrLBI	b0449//b3224//b0587//
qmcA-ybbJ	b0721//b3583//
qor	b0645//
qorB	b0554//
qseBC	b0279//b1714//
qseG	b1264//
queA	b0469//
queC	b4296//
queD	b4289//
queE	b0670//
queF	b2744//
queG	b4532//
racC	b0614//
racR	intG//
radA-nadR	b0785//b1409//
radD	b0888//
raiA	b4608//
ralA	b1254//
rapA	b2171//
rapA-rluA	b2141//b2929//
rarD	b0920//
ratAB	b3729//b3736//
ravA-viaA	b3873//b4345//
rayT	b4618//
rbn	b3480//
rbsDACBKR	b1661//b0727//b4134//b3820//b2793//b2047//
rcdA	sroD//
rclABC	b2823//b2315//b2585//
rclBC	b0978//b0429//
rclR	b1637//
rcnAB	b4255//b0264//
rcnB	b2067//
rcnR	b3024//
rcsA	b2584//
rcsB	b2493//
rcsC	b4173//
rcsDB	b4606//b2689//
rcsF-trmO	b3178//b2098//
rdgB-yggW	b4190//b0622//
rdgC	b3804//
rdlA	b2198//
rdlB	b4121//
rdlC	b2942//
rdlD	b0600//
rdoA-dsbA	b1732//b2830//
recA	b2618//
recAX	b0441//b2588//
recC	b3820//
recET-ralR-ydaC-xisR-intR	b2665//b0121//b2423//b1082//b3124//b2547//
recF	b1200//
recG	b2396//
recN	b0364//
recQ	b3354//
relA	b1424//
relA-mazEF	b2059//b0602//b0810//
relBE	b1295//b1813//
relBE-hokD	b1034//b0404//b4535//
rem	b1993//
renD-emrE	b2986//b0209//
rep	b0981//
rfaD-waaFCL	b3905//b1146//b0492//b1615//
rfaE	b3303//
rfaH	b2953//
rfbACX	b1708//b0903//b1997//
rfbBDACX	b3919//b3721//b4348//b2464//b1069//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	b0852//b0094//ynfP//b1507//b2470//b2292//b1497//b4392//b1859//b1438//b2097//b4328//
rhaBAD	b1227//b1270//b4585//
rhaD	b4207//
rhaM	b4027//
rhaSR	b1057//b1870//
rhaT	b1749//
rhlB	b3250//
rhlE	b3327//
rhoL	b2173//
rhoL-rho	b4391//b1844//
rhsA-yibA	b0872//b2231//
rhsB	b0125//
rhsC-ybfB	b4524//b1712//
rhsD-ybbC-ylbH-ybbD	b1192//insCD-2//b3053//b3277//
rhsE-ydcD	b0075//b0575//
rhtA	b2363//
rhtB	b4475//
rhtC	C0614//
ribA	b1356//
ribC	b2465//
ribE-nusB-thiL-pgpA	b1191//b3979//b3958//b0821//
ribF-ileS-lspA-fkpB-ispH	arpB_2//b3156//b0591//b1896//b0707//
ridA	b4126//
rihA	b2859//
rihB	b3392//
rihC	b3723//
rimJ	b3900//
rimK-ybjN	b0790//b0931//
rimL	b0570//
rimO	b1504//
rimP-nusA-infB	b2288//b0272//b4304//
rirA-waaQGPSBOJYZU	b2272//b4222//b0092//b4086//b3516//b4088//b2432//b2423//b1291//b3009//b2587//
rlmA	b1435//
rlmD	b2890//
rlmE-ftsH	b4112//b0888//
rlmF	b3698//
rlmG	b0541//
rlmI	b0532//
rlmJ	b2193//
rlmL-uup	b1879//b0425//
rlmM	b3144//
rlmN	b1280//
rluB	b3925//
rluC	b3579//
rluD-yfiH	b1687//b3418//
rluE-nudJ	b3796//b4115//
rluF	b3750//
rmf	b2883//
rmuC	b2037//
rna	b2568//
rnb	b1376//
rnc-era	b3908//b0686//
rnc-era-recO-pdxJ-acpS	b4149//b4016//b4367//b2450//b3983//
rnd	b1912//
rne	b2804//
rnhA	b3346//
rnk	b4707//
rnlA	arpB_1//
rnlAB	b1431//b0563//
rnlB	b1357//
rnpB	b1214//
rnt-lhr	b3101//b3864//
rob	b3806//
rodZ	b2696//
roxA	b1411//
rpe-gph-trpS	b1730//b3563//b2310//
rph	b3299//
rph-pyrE	b2872//b1691//
rpiA	b3805//
rpiB	b0493//
rpiR-alsBACE	b0731//b3265//b2489//b1348//b3491//
rplJL-rpoBC	b1164//b3277//b2816//b2603//
rplKAJL-rpoBC	b3899//b1330//b3211//b2540//b0431//b1271//
rplL	b1889//
rplM-rpsI	b1811//b0561//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	b2392//b3404//b4206//b0485//b2924//b0202//b1838//b0419//b4071//b2835//b3158//b2064//
rplT	b3166//
rplT-pheM	b1427//b1459//
rplU-rpmA	b4385//intG//
rplU-rpmA-yhbE-obgE	b4192//b3971//b0473//b0123//
rplY	b1026//
rpmBG	b2894//b4226//
rpmBG-mutM	b1349//b0923//b0928//
rpmE	b2742//
rpmF-plsX-fabHDG	b2735//b1248//b3360//b3791//b4363//
rpmH-rnpA	b2037//yedS_2//
rpmI-rplT	b2715//b1315//
rpoBC	b3605//b3663//
rpoD	b0910//
rpoE-rseABC	b2226//b0030//b2832//yjhE//
rpoH	b4219//
rpoN-hpf-ptsN-rapZ-npr	b1027//b3083//b2623//b2821//b3638//
rpoS	b3700//
rpoZ-spoT-trmH-recG	b2672//b4369//b4433//b0262//
rppH-ptsP	b4189//gapC_2//
rprA	b3622//
rpsA-ihfB	b3482//b2786//
rpsF-priB-rpsR-rplI	ychG_2//b0362//b2870//b3540//
rpsI	b0318//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	b3203//b0177//b3448//b1636//b3458//b1506//b4481//b2505//b2486//b4116//b0032//
rpsLG-fusA-tufA	b1335//b2153//b0239//b2913//
rpsMKD-rpoA-rplQ	b1738//b1860//b0134//b0213//b0072//
rpsO	b1049//
rpsO-pnp	b3350//b2682//
rpsP-rimM-trmD-rplS	b2948//b1895//b4165//b3791//
rpsT	b0264//
rpsU	b1402//
rpsU-dnaG-rpoD	b1723//b2392//b2178//
rraA	b3462//
rraB	b1049//
rrfG	b3356//
rrlA-rrfA	b2696//b2015//
rrlB-rrfB	b0902//b2226//
rrlE-rrfE	b1731//b3905//
rrlH-rrfH	b2379//b2591//
rrsA-ileT-alaT-rrlA-rrfA	b1962//b1180//b1906//b0806//b2733//
rrsB-gltT-rrlB-rrfB	b1254//b1605//b3480//b1152//
rrsC-gltU-rrlC-rrfC	b3026//b2952//b1941//b1952//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	b2140//b0737//b4443//b3887//b3865//b0880//b1366//
rrsE-gltV-rrlE-rrfE	b0833//b0863//b3258//b3897//
rrsG-gltW-rrlG-rrfG	b0281//b1662//b2667//b2616//
rrsH-ileV-alaV-rrlH-rrfH	b3884//b2977//b2966//b2133//b4381//
rsd	b2332//
rseABC	b2311//b3091//b3051//
rseP	b2942//
rseX	b2271//
rsfS-rlmH-mrdAB-rlpA	b3563//b4065//b1009//b2238//b3977//
rsgA	b3325//
rsmA-apaGH	b0560//sroD//b1107//
rsmB	b3875//
rsmC	b3578//
rsmD-yhhL	b1251//b3618//
rsmE-gshB	b0343//b0650//
rsmF	b0345//
rsmG	b3144//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b4260//b2240//b3568//b1981//b1320//qseG//b4050//b3267//b3147//b4120//yrhA//b0003//b0001//b2384//b0888//
rsmI	b3522//
rspAB	b2670//b3070//
rssAB	b2956//b1560//
rssB	b0647//
rstAB	b0003//b3744//
rsuA	b1152//
rsxABCDGE-nth	b3147//b2600//b1101//b4487//b3485//b2628//b3894//
rtcBA	b2483//b0411//
rtcR	b2635//
rttR	b0657//
rutABCDEFG	b2928//b0451//b1957//ykiB//b1874//b4061//b4480//
rutR	b0918//
ruvAB	sroE//b1492//
ruvC	b1947//
rybA-mntS	b3978//b0632//
rybB	b3915//
rydB	b3236//
rydC	b3014//
ryeA	b3696//
ryfA	yjhE//
ryfD	b2264//
ryhB	b0150//
ryjA	b1340//
ryjB	b0022//
rzoD	b3152//
rzoR	b3293//
sad	b0477//
safA-ydeO	b0008//b2610//
sanA-yeiS	b4479//b3172//
sapABCDF	b2863//b3706//b4094//b4262//b0954//
satP	b4139//
sbcB	b3212//
sbcDC	b1612//b2105//
sbmA-yaiW	b0414//b2594//
sbmC	b2098//
sbp	b0521//
scpA-argK-scpBC	b2068//b0111//b2967//b3790//
sdaA	b4361//
sdaCB	b4377//b2741//
sdhCDAB-sucABCD	b1719//b2523//b0797//b0995//b2144//b0124//b2870//b4472//
sdhDAB	b1540//b0611//b1552//
sdhE-cptA	b2222//b0326//
sdiA	b4028//
sdsN	b3324//
sdsR	b0506//
secB-gpsA	b2556//b3183//
secE-nusG	b1160//b2242//
secG	b3681//
secG-leuU	b3770//b1773//
secMA-mutT	b3686//b0016//b2221//
selAB	b2528//b1846//
selC	b2244//
selD-topB	b4249//b2238//
selU	b3106//
seqA-pgm	b1356//b1678//
serA	b0796//
serB	b4298//
serB-radA	b0805//b1309//
serC	b1814//
serC-aroA	b0411//b2927//
serS	b3585//
serT	b0249//
serU	b1446//
serV-argVYZQ	b2149//b0469//b2212//b4391//b2779//
serW	b2544//
serX	b2166//
setB	b2013//
setC	b0396//
sfmA	b2013//
sfmCD	b2420//b1974//
sfmHF	b2582//b3188//
sfsA-dksA	b0211//b0902//
sfsB	b1319//
sgcXBCQAER	b0214//b1349//b3622//qseG//b0350//b0761//b3123//
sgrR-sroA-tbpA-thiPQ	b2410//b1079//b4000//molR_2//b0174//
sgrST-setA	b2209//b1852//b3231//
shiA	b2048//
shoB	b4093//
sibA	b3132//
sibB	b4189//
sibC	b4339//
sibD	b1477//
sibE	b2460//
sieB	b2457//
sixA	b0091//
skp-lpxD-fabZ-lpxA	b3050//b3178//lfhA//b3233//
slp-dctR	b3071//yjhE//
slt	b2673//
slyA	b0473//
slyB	b3280//
slyD	b2807//
slyX	b2241//
smf	b1650//
smg	b1598//
smpB	b0835//
smrA	b2108//
smrB	b2340//
sodA	b4382//
sodB	b4479//
sodC	b3691//
sohB	b3901//
sokB	b2564//
sokC	b2631//
solA-yceO	b1006//b0447//
soxR	b4424//
soxS	b0975//
speAB	b4337//b1055//
speB	b0277//
speC	yafF//
speF-potE	b3240//b3972//
spf	b0984//
sppA	b4339//
spy	b1867//
sra	b3181//
sraA	b1096//
sraB	b3328//
sraG	b0349//
srlAEBD-gutM-srlR-gutQ	b1349//b3704//b2123//b4272//b0233//b4299//b2927//
srlR	b3327//
srmB	b1000//
sroA	b0794//
sroG-ribB	b3017//b2311//
sroH	b0762//
ssb	b1224//
sseA	b1162//
sseB	b0083//
ssnA	b3229//
sspAB	b1565//b2102//
ssrA	b3187//
ssrS	rhsE//
ssrS-fau	b3327//b0034//
sstT	b1252//
ssuEADCB	b3215//b0908//b4079//b0675//b1288//
stfE-tfaE	b3093//b1578//
sthA	b0226//
stpA	b3807//
sucAB	b0399//ecpE//
sucABCD	b3875//b3942//b1529//b3173//
sufABCDSE	b0617//b4518//b3807//b1823//b0505//b2913//
sugE	b4113//
suhB	b2321//
sulA	b4303//
surA-pdxA-rsmA-apaGH	b1618//b2258//b0345//b3349//b3466//
sutR	b0666//
sxy	b1164//
syd	b2600//
symE	b2409//
symR	b2242//
tabA	b2243//
tag-yiaC	b1408//b4213//
talA	b1199//
talA-tktB	b2591//b3671//
talB	b2433//
tam	b4704//
tamAB-ytfP	b4294//ecpC//b1682//
tar-tap-cheRBYZ	b3152//b4054//b0476//b3410//b2605//b3745//
tas	b3376//
tatABC	b0661//b1335//b0939//
tatABCD	b0327//b3774//b1125//b1727//
tatD	b1909//
tatE	b0591//
tauABCD	b3945//b2714//b1083//b3600//
tcdA	b0646//
tcyJ	b1485//
tcyP	b1723//
tdcABCDEFG	b4078//b2418//b3148//b4013//b1818//b1842//b3587//
tdcBCDEFG	b0134//b1082//b1352//b0228//b3394//b2881//
tdcR	b0366//
tdk	b1644//
tehAB	b3399//b2515//
tesA-ybbO	b2597//b3909//
tesB	b4606//
tfaD	b3988//
tfaS	arpB_1//
tfaX	b1528//
tff-rpsB-tsf	b2819//b2956//b2821//
tgt-yajC	b4054//b1174//
thiCEFSGH	b0211//b1710//b3690//b3253//b1855//b2863//
thiI	b2242//
thiMD	b0061//b3683//
thpR	b4168//
thrL	b1151//
thrLABC	b1218//b0496//b0343//b1998//
thrS-infC	b1016//b0268//
thrS-infC-rpmI-rplT-pheMST-ihfA	b4081//b3803//b3128//b4613//b0521//b2531//insEF-1//b4274//
thrU-tyrU-glyT-thrT-tufB	b3704//b2693//b0425//b3974//ymdE//
thrW	b1909//
thyA	b4273//
tig	b1079//
tilS	b4054//
tisB	b3320//
tktA	b2096//
tktB	b3486//
tldD	b0536//
tnaC	b4183//
tnaCAB	b1003//b3322//b1149//
tolB-pal-cpoB	b3156//b0187//b4334//
tolC-ygiABC	b0740//b0347//b4104//b0045//
tomB-hha	b1210//b1853//
tonB	b1134//
topA	b3271//
topAI-yjhQ	b0632//b1603//
torCAD	b0384//lfhA//b2786//
torI	b3896//
torR	b2983//
torS	b1693//
torT	b1767//
torYZ	b1022//b1103//
tp2	b3647//
tpiA	b3839//
tpke11	b4307//
tpke70	b3461//
tpx	b2363//
tqsA	b3551//
treA	arpB_1//
treBC	b2498//b0615//
treF	b1282//
treR	b3502//
trg	b3088//
trkA	b1428//
trkG	b2098//
trmA	b2761//
trmI-yggL	b0623//lafU//
trmJ	b2036//
trmL	b4186//
trpCBA	b1287//b0107//b0112//
trpL	b2058//
trpLEDCBA	b2299//yjhW//b4685//b3731//b4456//b1946//
