# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	narH//
yfdRST	guaC//
yfdX_frc_oxc_yfdVE	cpsB//hcaC//fsaB//
yfeCD	
yfeKS	
yfeYX	waaB//
yffB_dapE_ypfN	nudB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	metE//
yfiP_patZ	lyxK//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	mug//
ygaXY	
ygaZH	gadB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	argH//fadJ//rhaD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	iaaA//
yggX_mltC	ileS//
yggX_mltC_nupG	cysH//maa//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	galE//dgt//
ygiM_cca	hdhA//
ygjJK	ada//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	arnA//mngB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	tesA//rpiB//argI//nrfD//bfr//serC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	rsuA//
yicJI	hycD//
yicR_rpmBG	
yicR_rpmBG_mutM	selB//
yidHGF	
yidKJ	
yieEF	fumB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	rsmB//xdhC//
yifNO	
yigGF	
yihLM	
yihPO	fabD//
yihUTS	lpxP//pdeH//lipB//
yihVW	glyQ//
yihXY_dtd_yiiD	glk//pspE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	nudB//yneH//idnO//yghU//prpE//pgaD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	argA//gcl//
yjiHG_iadA	entC//
yjiML	
yjiPQ	
yjiXA	napH//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dgcP//tdcD//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	dapB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ghrA//
ynfB_speG	metG//
ynfEFGH_dmsD	araA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	pinE//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	caiA//
yqaE_kbp	
yqcC_truC_yqcA	dgcT//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	acpT//murB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	adk//
yrbG_kdsDC_lptCAB	moaA//gluQ//sufS//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	pldB//galU//
yrfG_hslR	hyi//
ytfQRT_yjfF	nanE//
ytjB_lplA	katE//
znuCB	coaD//
zraSR	
