# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmG//
yfdX_frc_oxc_yfdVE	yhdJ//rbsD//uvrA//
yfeCD	
yfeKS	
yfeYX	hcaC//
yffB_dapE_ypfN	tam//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	mhpB//
yfiP_patZ	metF//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	speG//
ygaXY	
ygaZH	pdxJ//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pfkA//wecB//yfeX//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rutD//
yggX_mltC	purB//
yggX_mltC_nupG	mltB//betA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	folB//purT//
ygiM_cca	pgl//
ygjJK	hyi//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rlmA//hflX//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	recJ//thiK//cobT//aspA//rdgB//treF//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	torZ//
yicJI	yidA//
yicR_rpmBG	
yicR_rpmBG_mutM	queA//
yidHGF	
yidKJ	
yieEF	ribF//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	bglA//fbaB//
yifNO	
yigGF	
yihLM	
yihPO	napG//
yihUTS	pykA//manA//suhB//
yihVW	yjeF//
yihXY_dtd_yiiD	rrrD//puuA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	napB//purD//paaI//leuA//glgC//murI//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	moaD//caiB//
yjiHG_iadA	talB//
yjiML	
yjiPQ	
yjiXA	thrB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	hisI//bioF//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	putA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	pta//
ynfB_speG	menH//
ynfEFGH_dmsD	ravA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	bioD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	nrdD//
yqaE_kbp	
yqcC_truC_yqcA	cynS//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	hisS//fucK//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rlmE//
yrbG_kdsDC_lptCAB	entB//sbcB//icd//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	bioB//glnA//
yrfG_hslR	rhaB//
ytfQRT_yjfF	fabH//
ytjB_lplA	pfkB//
znuCB	umpG//
zraSR	
