# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pfkA//
yfeCD	
yfeKS	
yfeYX	ybbO//
yffB_dapE_ypfN	lsrK//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	tyrB//
yfiP_patZ	queA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	nfi//
ygaXY	
ygaZH	pepD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	narZ//fabA//mutH//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	hcaD//
yggX_mltC	frlB//
yggX_mltC_nupG	paoC//pspE//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ynfE//pheT//
ygiM_cca	ushA//
ygjJK	rffG//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	prs//tsaE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ybjI//pyrB//nudB//pabB//ycaO//ispB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ubiX//
yicJI	serS//
yicR_rpmBG	
yicR_rpmBG_mutM	hmp//
yidHGF	
yidKJ	
yieEF	truB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	thiK//kbaZ//
yifNO	
yigGF	
yihLM	
yihPO	yigL//
yihUTS	ppk//phoA//selD//
yihVW	tdcD//
yihXY_dtd_yiiD	murI//aroG//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	gltX//waaJ//asd//ppa//uvrA//glgP//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	panC//adeD//
yjiHG_iadA	xdhA//
yjiML	
yjiPQ	
yjiXA	waaG//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	pncA//dusA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	nfsA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	citF//
ynfB_speG	folM//
ynfEFGH_dmsD	xdhA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	fre//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	gabD//
yqaE_kbp	
yqcC_truC_yqcA	waaJ//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	gcvP//yajO//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rimK//
yrbG_kdsDC_lptCAB	menC//thyA//ilvC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	lpcA//acnA//
yrfG_hslR	gpmM//
ytfQRT_yjfF	yihS//
ytjB_lplA	nfi//
znuCB	avtA//
zraSR	
