# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	fabA//
yfdPQ	
yfdRST	pdeH//
yfdX_frc_oxc_yfdVE	yceF//yieF//atoB//
yfeCD	
yfeKS	
yfeYX	adiA//
yffB_dapE_ypfN	uvrC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	pdxK//
yfiP_patZ	pfkB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	mak//
ygaXY	
ygaZH	fadM//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	gltA//metK//ftsI//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	lpxK//
yggX_mltC	prmB//
yggX_mltC_nupG	ubiC//pyrF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	yceF//lplA//
ygiM_cca	uvrA//
ygjJK	lyxK//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	leuC//trpC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	sodA//hycG//purM//fumC//prpD//rutB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	gcvP//
yicJI	cysH//
yicR_rpmBG	
yicR_rpmBG_mutM	mrcB//
yidHGF	
yidKJ	
yieEF	argC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	hemC//murF//
yifNO	
yigGF	
yihLM	
yihPO	paaC//
yihUTS	queF//mdh//ldtE//
yihVW	nadC//
yihXY_dtd_yiiD	mcrB//ldcC//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	gcvT//cynT//coaD//ygeX//dadX//prmC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	cysQ//yieF//
yjiHG_iadA	gltA//
yjiML	
yjiPQ	
yjiXA	pabC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	nanE//proS//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	patD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	thrA//
ynfB_speG	alkB//
ynfEFGH_dmsD	kbaY//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	mcrC//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yiaK//
yqaE_kbp	
yqcC_truC_yqcA	frmB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	yghU//slyD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ynjE//
yrbG_kdsDC_lptCAB	speF//argS//trmL//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	thrC//bcsA//
yrfG_hslR	eutC//
ytfQRT_yjfF	gloC//
ytjB_lplA	rph//
znuCB	rsmI//
zraSR	
