# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	galU//
yfdRST	lysU//
yfdX_frc_oxc_yfdVE	guaD//dusB//rrrD//
yfeCD	
yfeKS	
yfeYX	mhpE//
yffB_dapE_ypfN	gmd//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	folD//
yfiP_patZ	fucI//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	fes//
ygaXY	
ygaZH	dhaM//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	rlmL//bioC//yihX//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ilvD//
yggX_mltC	mltB//
yggX_mltC_nupG	selA//ppk//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	accC//trpC//
ygiM_cca	allD//
ygjJK	mhpE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	lpxL//folE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	yigB//glnA//dapF//dusC//purU//lacA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	mutH//
yicJI	glk//
yicR_rpmBG	
yicR_rpmBG_mutM	nrdE//
yidHGF	
yidKJ	
yieEF	trpS//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	hisD//argS//
yifNO	
yigGF	
yihLM	
yihPO	frdC//
yihUTS	pyrD//mobA//argG//
yihVW	entA//
yihXY_dtd_yiiD	guaD//mrdA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ruvA//speE//patD//tam//ogt//rfbD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	thiD//deoD//
yjiHG_iadA	fabB//
yjiML	
yjiPQ	
yjiXA	ahpC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rutE//yeiG//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ddlB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ygeX//
ynfB_speG	yciA//
ynfEFGH_dmsD	poxB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	gatD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rlmE//
yqaE_kbp	
yqcC_truC_yqcA	kduD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	dgcZ//maa//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	entH//
yrbG_kdsDC_lptCAB	paaJ//thiL//serA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	sdhD//tmcA//
yrfG_hslR	ubiI//
ytfQRT_yjfF	bglX//
ytjB_lplA	ghrB//
znuCB	kdsA//
zraSR	
