# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cfa//
yfdPQ	
yfdRST	pdeF//
yfdX_frc_oxc_yfdVE	asnS//cysQ//wzc//
yfeCD	
yfeKS	
yfeYX	nanE//
yffB_dapE_ypfN	malQ//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	cobU//
yfiP_patZ	lpd//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ybjG//
ygaXY	
ygaZH	glgB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pdxA//katE//yfiC//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	appA//
yggX_mltC	nagK//
yggX_mltC_nupG	aroK//cheB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	gabT//cyoE//
ygiM_cca	agp//
ygjJK	yihV//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	pdxB//rsgA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	prmC//rfe//menC//mepS//adk//suhB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	def//
yicJI	selA//
yicR_rpmBG	
yicR_rpmBG_mutM	rsmD//
yidHGF	
yidKJ	
yieEF	ubiH//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	sodB//rutC//
yifNO	
yigGF	
yihLM	
yihPO	pyrD//
yihUTS	rhaM//yihT//trpC//
yihVW	epmC//
yihXY_dtd_yiiD	phoA//ulaD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	bioD//phnP//tcdA//astD//moaA//dkgA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mcrB//puuA//
yjiHG_iadA	fabG//
yjiML	
yjiPQ	
yjiXA	yjeF//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	tesA//mhpC//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ybbO//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	fcl//
ynfB_speG	aslA//
ynfEFGH_dmsD	tktB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	gltB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	frc//
yqaE_kbp	
yqcC_truC_yqcA	mdh//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nth//ilvG_1//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	lpxD//
yrbG_kdsDC_lptCAB	yicI//eptA//yqhD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	mltA//emtA//
yrfG_hslR	lsrK//
ytfQRT_yjfF	asd//
ytjB_lplA	lysS//
znuCB	kdsB//
zraSR	
