# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	amiD//
yfdPQ	
yfdRST	ligB//
yfdX_frc_oxc_yfdVE	yliI//solA//trmO//
yfeCD	
yfeKS	
yfeYX	nrfA//
yffB_dapE_ypfN	ldcA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	metL//
yfiP_patZ	thiD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	arnT//
ygaXY	
ygaZH	rnt//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	deoB//gpp//folP//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	prpD//
yggX_mltC	ybjI//
yggX_mltC_nupG	mutM//tesB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ribD//hdhA//
ygiM_cca	dgoD//
ygjJK	ravA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	fabD//atoD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	otsB//rph//mobA//rihB//hycB//ahr//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	hpt//
yicJI	argI//
yicR_rpmBG	
yicR_rpmBG_mutM	clsC//
yidHGF	
yidKJ	
yieEF	gltX//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	cmk//mraY//
yifNO	
yigGF	
yihLM	
yihPO	hcp//
yihUTS	hycC//ymdB//sodB//
yihVW	ssuD//
yihXY_dtd_yiiD	yqaB//glmM//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ribE//coaE//rfe//waaU//pyrF//ydiO//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	trmD//ydjG//
yjiHG_iadA	opgE//
yjiML	
yjiPQ	
yjiXA	purL//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	frlD//wzb//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	arsC//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	araD//
ynfB_speG	hycE//
ynfEFGH_dmsD	tag//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	menB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	caiB//
yqaE_kbp	
yqcC_truC_yqcA	gcl//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	waaZ//cysC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	idnK//
yrbG_kdsDC_lptCAB	ycjG//glpA//coaD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	allC//pta//
yrfG_hslR	ndk//
ytfQRT_yjfF	ybhA//
ytjB_lplA	pdeF//
znuCB	malS//
zraSR	
