# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rne//
yfdPQ	
yfdRST	citC//
yfdX_frc_oxc_yfdVE	yciV//adiA//waaJ//
yfeCD	
yfeKS	
yfeYX	gpmA//
yffB_dapE_ypfN	aphA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	lysS//
yfiP_patZ	serC//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	cdh//
ygaXY	
ygaZH	speG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	hemA//phnM//paaC//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	paaC//
yggX_mltC	tyrA//
yggX_mltC_nupG	rutC//nrdA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	sucB//pykF//
ygiM_cca	rlmM//
ygjJK	paaK//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	metE//fau//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	purN//polB//yfeW//lacA//tdk//proA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	tam//
yicJI	yfaU//
yicR_rpmBG	
yicR_rpmBG_mutM	trmH//
yidHGF	
yidKJ	
yieEF	menI//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	guaC//yliI//
yifNO	
yigGF	
yihLM	
yihPO	phnL//
yihUTS	cof//hpt//sucB//
yihVW	rsmC//
yihXY_dtd_yiiD	dkgB//caiB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	otsA//yeiG//sseA//azoR//sdaB//fucO//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	lacZ//rfaE//
yjiHG_iadA	amn//
yjiML	
yjiPQ	
yjiXA	pepD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	cheB//rimK//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ycjG//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	tmk//
ynfB_speG	cynS//
ynfEFGH_dmsD	yhdJ//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	cysC//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	lipB//
yqaE_kbp	
yqcC_truC_yqcA	recO//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	murB//xylA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	hemG//
yrbG_kdsDC_lptCAB	torC//curA//garR//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	cysC//frmA//
yrfG_hslR	mcrB//
ytfQRT_yjfF	rpiB//
ytjB_lplA	valS//
znuCB	yjeF//
zraSR	
