# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pck//
yfdX_frc_oxc_yfdVE	trxB//kduD//ppk//
yfeCD	
yfeKS	
yfeYX	hisA//
yffB_dapE_ypfN	qor//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	torC//
yfiP_patZ	ulaG//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	bioD//
ygaXY	
ygaZH	sodA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	truB//deoA//fbaA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	atoA//
yggX_mltC	pgaC//
yggX_mltC_nupG	prpD//folK//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	yihS//metG//
ygiM_cca	narH//
ygjJK	udp//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	btuE//ansA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	mraY//trpA//glmU//lsrG//nanM//guaA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	kduD//
yicJI	pyrH//
yicR_rpmBG	
yicR_rpmBG_mutM	ilvI//
yidHGF	
yidKJ	
yieEF	mnmA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	pyrB//polA//
yifNO	
yigGF	
yihLM	
yihPO	paaH//
yihUTS	putA//ldcA//gcd//
yihVW	queF//
yihXY_dtd_yiiD	wzc//rutB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yfdR//roxA//rluE//menF//mutM//narG//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	feaB//lipA//
yjiHG_iadA	pgm//
yjiML	
yjiPQ	
yjiXA	puuD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	mhpC//sucA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	chbG//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	gloC//
ynfB_speG	fadM//
ynfEFGH_dmsD	pgpA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	dut//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	puuD//
yqaE_kbp	
yqcC_truC_yqcA	cobB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	btuR//mpaA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ispA//
yrbG_kdsDC_lptCAB	lysA//fadH//pta//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ahr//fruK//
yrfG_hslR	gatZ//
ytfQRT_yjfF	fbp//
ytjB_lplA	nagK//
znuCB	lgoD//
zraSR	
